"Rank","Name","Team","Cl","Pos","G","HBP"
"","Jett Bandy","Arizona","Jr.","C","43","9"
"","John Barr","Virginia","Sr.","OF","45","9"
"","Brian Billigen","Cornell","Jr.","OF","36","9"
"","Austin Borden","Lehigh","Sr.","INF","40","9"
"","Todd Brazeal","South Fla.","Jr.","1B","42","9"
"","Kris Bryant","San Diego","Fr.","3B","41","9"
"","Aaron Buchanan","Lamar","Sr.","INF","45","9"
"","Anthony Cirillo","Saint Joseph's","So.","INF","40","9"
"","David Coleman","Virginia","Sr.","OF","42","9"
"","Kyle Crean","Albany (NY)","Sr.","INF","36","9"
"","Garrett Custons","Air Force","So.","OF","45","9"
"","Adam Davis","Illinois","Jr.","C","39","9"
"","Will Davis","Penn","Sr.","C","39","9"
"","Drew DeKerlegand","Citadel","Fr.","INF","43","9"
"","Zeke DeVoss","Miami (FL)","So.","OF","44","9"
"","Vincent Del Vecchio","NJIT","Jr.","SS","38","9"
"","Tomo Delp","Maryland","Jr.","INF","40","9"
"","Kirk Doxey","Utah Valley","Jr.","OF","24","9"
"","Mac Doyle","Wofford","Jr.","C","44","9"
"","Ryan Durrence","Bethune-Cookman","Sr.","1B","48","9"
"","Cale Ellis","Oklahoma","Sr.","INF","34","9"
"","Mark Ellis","Southern Miss.","Sr.","INF","42","9"
"","Alex Exon","Utah Valley","Jr.","C","24","9"
"","Ryan Faidley","Eastern Ky.","Sr.","OF","42","9"
"","Niko Fraser","Elon","So.","OF","41","9"
"","Bobby Glover","Dayton","Jr.","OF","43","9"
"","Reed Gragnani","Virginia","So.","INF","40","9"
"","Cameron Green","Temple","Jr.","INF","36","9"
"","Brad Gschwind","Miami (OH)","Sr.","INF","42","9"
"","Sean Gusrang","Seton Hall","Sr.","INF","41","9"
"","Alex Guthrie","Loyola Marymount","Jr.","INF","41","9"
"","Tyler Hall","Central Mich.","Jr.","INF","44","9"
"","Frazier Hall","Southern U.","Sr.","INF","41","9"
"","Cale Hanson","Yale","Fr.","INF","42","9"
"","Cass Hargis","Southeastern La.","Sr.","OF","46","9"
"","Peyton Hart","Kennesaw St.","So.","INF","43","9"
"","Zack Helgeson","George Mason","Jr.","1B","47","9"
"","Jerry Hildredth","Mississippi Val.","Sr.","3B","46","9"
"","Matt Holland","A&M-Corpus Christi","Sr.","INF","47","9"
"","Harrison Kain","Pepperdine","Sr.","OF","35","9"
"","Anthony Kaskadden","Western Ill.","Sr.","INF","31","9"
"","Tony Kemp","Vanderbilt","Fr.","OF","43","9"
"","Cody Koch","Kent St.","Fr.","1B","29","9"
"","Mace Krol","Nicholls St.","Jr.","INF","39","9"
"","Collin Kuhn","Arkansas","Jr.","OF","36","9"
"","Adam Landecker","Southern California","So.","INF","38","9"
"","Zack Leonard","Eastern Mich.","Sr.","INF","43","9"
"","Andrew Letourneau","CSU Bakersfield","Jr.","OF","40","9"
"","null Longley","South Fla.","Fr.","-","41","9"
"","Michael Lorenzen","Cal St. Fullerton","Fr.","OF","35","9"
"","Conner Mach","Missouri","Jr.","INF","44","9"
"","Jacob Mahon","Evansville","Fr.","C","28","9"
"","Josh McKinney","Wofford","Sr.","INF","42","9"
"","Brennan Metzger","Long Beach St.","Jr.","OF","41","9"
"","David Miller","Purdue","Jr.","INF","39","9"
"","John Mishu","Princeton","So.","OF","39","9"
"","Adrian Morales","South Carolina","Sr.","INF","42","9"
"","Johnny Morales","Virginia Tech","Jr.","INF","46","9"
"","Trenton Moses","Southeast Mo. St.","Sr.","INF","41","9"
"","Tony Nix","UC Riverside","Sr.","OF","37","9"
"","Kevin Nutter","William & Mary","So.","INF","26","9"
"","Tyler Ogle","Oklahoma","Jr.","C","44","9"
"","Zach Price","Army","Jr.","INF","43","9"
"","Cole Rakar","Col. of Charleston","Sr.","OF","45","9"
"","John Rasberry","Norfolk St.","Sr.","OF","37","9"
"","Chris Rasky","West Virginia","So.","OF","32","9"
"","Trey Rickrode","McNeese St.","Fr.","INF","37","9"
"","Michael Robertson","Liberty","Jr.","OF","44","9"
"","Devin Rodriguez","California","So.","1B","40","9"
"","Brian Rowry","Southern U.","Fr.","OF","35","9"
"","Oscar Santalo","Florida A&M","Sr.","C","33","9"
"","Austin Sheffield","Manhattan","Sr.","INF","38","9"
"","Wesley Starkes","New Mexico St.","Sr.","OF","40","9"
"","Kenny Swab","Virginia","Sr.","C","38","9"
"","Jimmy Swift","Creighton","Sr.","INF","41","9"
"","Zach Thompson","Cleveland St.","Jr.","OF","30","9"
"","Maxx Tissenbaum","Stony Brook","So.","INF","40","9"
"","Jake Valdez","San Jose St.","Fr.","INF","41","9"
"","Chad Warga","Lehigh","Sr.","C","36","9"
"","Adam Weisenburger","Miami (OH)","Sr.","C","39","9"
"","Keith Werman","Virginia","Jr.","INF","47","9"
"","Charlie White","Maryland","Fr.","OF","45","9"
"","Bret Williams","Richmond","So.","P","40","9"
"","Brady Wilson","West Virginia","So.","OF","43","9"
"","Kevin Younger","CSU Bakersfield","So.","OF","38","9"
"","Garrett Yrigoyen","Nevada","Jr.","INF","39","9"
"257","Ty Afenir","Washington","So.","SS","32","8"
"","Mike Albaladejo","Fla. Atlantic","Jr.","C","41","8"
"","Zach Amrein","Illinois St.","Sr.","1B","40","8"
"","Ryan Ashe","Wright St.","Jr.","OF","40","8"
"","Trey Austin","Ark.-Pine Bluff","Sr.","OF","38","8"
"","Alex Baldock","Buffalo","So.","INF","38","8"
"","Larry Balkwill","Siena","So.","C","40","8"
"","Brandon Bayardi","UNLV","So.","OF","38","8"
"","Ryan Behmanesh","Dallas Baptist","Jr.","1B","43","8"
"","F. Berry","Bowling Green","Fr.","-","39","8"
"","Tyson Blaser","Iowa","Sr.","C","40","8"
"","Joey Bowens","Creighton","Jr.","C","35","8"
"","Ryan Brenner","Yale","Jr.","C","36","8"
"","Brent Brownlee","Mississippi St.","Jr.","OF","28","8"
"","Andrew Cain","UNC Wilmington","Jr.","INF","41","8"
"","Tyler Carpenter","UTSA","Sr.","OF","44","8"
"","Matthew Colantonio","Brown","Sr.","C","40","8"
"","Chad Comer","Texas-Arlington","Sr.","C","44","8"
"","Bryan Condotta","Georgia St.","Sr.","SS","46","8"
"","Joe Conforti","Wagner","Sr.","OF","36","8"
"","Jason Corzine","Akron","Jr.","INF","28","8"
"","Drew Dahlberg","Oklahoma","Fr.","INF","23","8"
"","Andrew Deeds","Morehead St.","Jr.","OF","40","8"
"","Michael DiRocco","San Jose St.","Jr.","C","38","8"
"","Zack Dickson","Central Ark.","Sr.","INF","39","8"
"","David Duffett","Bucknell","Jr.","INF","48","8"
"","Clay Duncan","Bowling Green","Sr.","INF","38","8"
"","Brandon Elliott","Murray St.","So.","INF","34","8"
"","Mark Elwell","Xavier","So.","OF","36","8"
"","Charles Epperson","Jackson St.","So.","OF","40","8"
"","Clint Ewing","Louisiana Tech","Sr.","C","42","8"
"","Ben Fish","Campbell","So.","C","38","8"
"","Troy Forton","Western Mich.","Jr.","P","42","8"
"","Michael Gallic","Marist","Sr.","OF","41","8"
"","Dan Gamache","Auburn","Jr.","INF","43","8"
"","Drew Geissinger","High Point","Sr.","INF","44","8"
"","Jeff Gelalich","UCLA","So.","OF","36","8"
"","Dan Godefroi","Georgetown","Sr.","OF","26","8"
"","Billy Goldman","Lehigh","Sr.","OF","36","8"
"","Todd Hagen","Savannah St.","Fr.","INF","38","8"
"","Ben Hammer","Toledo","Jr.","OF","42","8"
"","Keith Hardwick","Coastal Caro.","Jr.","1B","31","8"
"","Kenny Hatcher","Dallas Baptist","Jr.","INF","43","8"
"","Alex Hill","UNC Wilmington","Sr.","OF","44","8"
"","Drew Hillman","UC Irvine","Sr.","INF","40","8"
"","Chad Hinshaw","Illinois St.","So.","OF","40","8"
"","Jamie Holler","Col. of Charleston","Sr.","INF","45","8"
"","Jackson Hood","Stephen F. Austin","Jr.","OF","39","8"
"","Brad Hutton","Ohio St.","Fr.","INF","19","8"
"","Sean Jamieson","Canisius","Sr.","SS","42","8"
"","Casey Kalenkosky","Texas St.","Jr.","INF","44","8"
"","Bryan Karraker","New Mexico St.","Jr.","OF","42","8"
"","Brandon King","Oral Roberts","Jr.","OF","39","8"
"","Logan Kirkland","South Ala.","Fr.","2B","42","8"
"","T.C. Knipp","Indiana","Sr.","OF","43","8"
"","Harrison Lambert","Northern Colo.","So.","INF","30","8"
"","Mike LeBel","Rhode Island","Jr.","INF","43","8"
"","Mike Levine","Saint Louis","So.","SS","43","8"
"","Tom Lilja","Western Ill.","Jr.","OF","44","8"
"","Danny Lyons","George Mason","Sr.","C","31","8"
"","Steve May","Army","Sr.","INF","43","8"
"","Nick McQuail","Marist","Fr.","2B","40","8"
"","Brantley Meier","Charleston So.","Sr.","OF","43","8"
"","Chris Migani","Quinnipiac","Jr.","-","41","8"
"","Chazz Montgomery","Ark.-Pine Bluff","So.","INF","36","8"
"","Greg Muller","Albany (NY)","So.","INF","32","8"
"","Bryson Myles","Stephen F. Austin","Jr.","OF","43","8"
"","Isaac Nuti","Texas St.","Jr.","INF","40","8"
"","Jake Overstreet","South Ala.","Sr.","3B","36","8"
"","Travis Parker","Saint Louis","Sr.","3B","42","8"
"","William Piwnica-Worms","Duke","Jr.","OF","46","8"
"","Danny Poma","Hofstra","Jr.","OF","37","8"
"","Jake Proctor","Cincinnati","So.","OF","40","8"
"","Andrew Rash","Virginia Tech","So.","OF","42","8"
"","Cyle Rasmus","Elon","Jr.","INF","29","8"
"","Craig Richmond","Coppin St.","Sr.","INF","39","8"
"","Devin Rivers","Tennessee Tech","Sr.","INF","40","8"
"","Robbie Robinson","Valparaiso","Sr.","C","35","8"
"","Shon Roe","Loyola Marymount","Jr.","INF","41","8"
"","Geoff Rowan","Northwestern","Jr.","C","34","8"
"","Carter Sackett","Georgia St.","Sr.","C","38","8"
"","Jon Schwind","Marist","Jr.","3B","42","8"
"","Zach Shank","Marist","So.","SS","40","8"
"","Matt Simonelli","Citadel","Sr.","OF","42","8"
"","Scott Sommerfeld","Missouri","So.","OF","29","8"
"","Derek Sprout","Bradley","Fr.","C","38","8"
"","Jacob Tanis","Mercer","Jr.","3B","46","8"
"","Chris Taylor","Virginia","So.","INF","47","8"
"","Matt Tomczyk","NJIT","Sr.","INF","40","8"
"","Peter Verdin","Georgia","Jr.","OF","45","8"
"","Justin Viele","Santa Clara","So.","2B","40","8"
"","Jimmy Waters","Kansas","Sr.","C","44","8"
"","Joe Weik","TCU","Sr.","INF","40","8"
"","Seth Willoughby","Xavier","So.","INF","43","8"
"","Chris Wolfe","Grambling","Jr.","INF","39","8"
"","Nate Woods","Belmont","Sr.","DH","43","8"
"","Mike Yastrzemski","Vanderbilt","So.","OF","43","8"
"","Tim Zier","San Diego St.","Fr.","INF","42","8"
"355","Will Alvis","Louisiana Tech","Sr.","OF","43","7"
"","Ryan Ampleman","Missouri","Sr.","C","25","7"
"","Landon Anderson","Dallas Baptist","Jr.","OF","43","7"
"","Bobby Andrews","Auburn","Fr.","OF","30","7"
"","Matt Argyropoulos","Washington St.","Sr.","3B","39","7"
"","Jeremy Baltz","St. John's (NY)","So.","OF","39","7"
"","Yoandy Barosso","FIU","Sr.","OF","39","7"
"","Alex Bast","Air Force","So.","C","44","7"
"","Preston Beck","Texas-Arlington","So.","INF","44","7"
"","Ryan Bellamy","Xavier","Sr.","C","42","7"
"","Brett Booth","Alabama","So.","INF","43","7"
"","Zach Briggs","South Dakota St.","Jr.","C","34","7"
"","Thomas Brown","Grambling","Fr.","INF","41","7"
"","Lloyd Burchett","Ark.-Pine Bluff","Jr.","2B","33","7"
"","Tony Caldwell","Auburn","Sr.","C","41","7"
"","George Carroll","NYIT","Sr.","C","28","7"
"","Curt Casali","Vanderbilt","Sr.","C","41","7"
"","Jordan Castaldo","Arkansas St.","Sr.","INF","46","7"
"","Bryan Chaikowsky","Md.-East. Shore","Sr.","OF","42","7"
"","Selby Chidemo","Xavier","Fr.","INF","24","7"
"","Austin Cowen","Western Ill.","Jr.","INF","44","7"
"","Matt Creel","Houston","Jr.","P","34","7"
"","D.J. Crumlich","UC Irvine","Jr.","INF","40","7"
"","Jonathan Davis","Central Ark.","Fr.","INF","36","7"
"","Eli Davis","Sacramento St.","Jr.","OF","40","7"
"","Pete Diresta","Albany (NY)","Jr.","OF","34","7"
"","Matt Dittman","Illinois","Sr.","1B","38","7"
"","Aaron Dobbs","Kennesaw St.","Jr.","INF","43","7"
"","Cameron Dullnig","Western Caro.","Jr.","INF","42","7"
"","Julian Duran","San Diego","Jr.","SS","37","7"
"","Jacob Esch","Georgia Tech","Jr.","P","45","7"
"","Kyle Farmer","Georgia","So.","INF","45","7"
"","Steffan Farrell","New Orleans","Jr.","C","35","7"
"","Erick Fernandez","Georgetown","Sr.","-","41","7"
"","Chaz Frank","North Carolina","So.","OF","41","7"
"","Ronnie Freeman","Kennesaw St.","So.","C","43","7"
"","Jason Ganek","Ill.-Chicago","Sr.","INF","36","7"
"","Rolando Gautier","Austin Peay","Fr.","OF","41","7"
"","Matt Goulas","La.-Lafayette","Sr.","OF","32","7"
"","Tyler Grogg","Toledo","So.","OF","26","7"
"","Zephan Guyear","Tennessee Tech","So.","INF","26","7"
"","Jason Haditsch","Cleveland St.","Jr.","INF","35","7"
"","Brad Haynal","San Diego St.","Fr.","C","37","7"
"","Austin Hedges","Louisiana Tech","So.","INF","36","7"
"","Keith Hernandez","Delaware St.","Sr.","INF","44","7"
"","Matt Hibbert","Long Beach St.","Sr.","INF","31","7"
"","Travis Higgs","San Francisco","Sr.","C","40","7"
"","Russ Hopkins","Rutgers","Sr.","INF","37","7"
"","Chris Horning","Fairfield","Sr.","C","35","7"
"","Tyler Hutchinson","Campbell","Fr.","C","28","7"
"","Joe Iacobucci","Youngstown St.","Sr.","OF","41","7"
"","Kenny Jackson","Texas A&M","Sr.","INF","44","7"
"","Bobby Jacobs","Penn St.","Sr.","C","32","7"
"","Brett Jacobs","Washington St.","So.","OF","35","7"
"","Tre-von Johnson","Md.-East. Shore","So.","OF","43","7"
"","Armani Johnson","Youngstown St.","Sr.","OF","41","7"
"","Derek Jones","Washington St.","Jr.","OF","39","7"
"","Steven Keller","Cal St. Northridge","Jr.","C","41","7"
"","Jeff Kemp","Radford","So.","INF","38","7"
"","Jabair Khan","Temple","Jr.","OF","41","7"
"","Pi‘ikea Kitamura","Hawaii","So.","INF","42","7"
"","Patrick Koontz","UNC Asheville","Jr.","OF","36","7"
"","Kevin Krantz","Michigan","So.","OF","39","7"
"","Greg Kumpel","Saint Joseph's","So.","INF","38","7"
"","Jacob Lamb","Washington","So.","3B","40","7"
"","Sean Lamont","Georgetown","Sr.","INF","46","7"
"","James Lavinskas","Marshall","Sr.","INF","36","7"
"","Jason Leblebijian","Bradley","So.","INF","42","7"
"","Matt Leeds","Col. of Charleston","Jr.","INF","44","7"
"","Ian Leisenheimer","Maine","Jr.","DH","25","7"
"","Justin Leisenheimer","Maine","Jr.","1B","32","7"
"","Brandon Maddox","Ark.-Pine Bluff","So.","INF","37","7"
"","Craig Manuel","Rice","Jr.","C","41","7"
"","Wilmy Marrero","Southern U.","Jr.","INF","40","7"
"","Grant McCoury","Elon","So.","1B","40","7"
"","Barry McDonley","Ark.-Pine Bluff","Sr.","C","42","7"
"","Steve McGuiggan","Ill.-Chicago","Sr.","OF","26","7"
"","Ryan McMillin","Western Mich.","Jr.","INF","41","7"
"","Cole McWhorter","Utah Valley","So.","INF","25","7"
"","Brendan Mcgaheran","Lehigh","Sr.","SS","45","7"
"","Levi Michael","North Carolina","Jr.","SS","41","7"
"","Kylie Ming","Mississippi Val.","Sr.","C","45","7"
"","Evan Mistich","Oklahoma","Jr.","INF","37","7"
"","Jason Monda","Washington St.","Fr.","OF","34","7"
"","Chris Murphy","Southern Ill.","Sr.","OF","42","7"
"","Cameron Nelson","Campbell","Sr.","OF","21","7"
"","Justin Neuhart","Southern Utah","Jr.","C","38","7"
"","Dane Nielsen","BYU","Sr.","OF","39","7"
"","Khayyan Norfork","Tennessee","Sr.","2B","42","7"
"","Daniel Palka","Georgia Tech","Fr.","1B","45","7"
"","Shawn Payne","Ga. Southern","Sr.","OF","44","7"
"","D.J. Peterson","New Mexico","Fr.","3B","45","7"
"","Matt Pollock","Buffalo","So.","OF","38","7"
"","Dylan Pratt","East Tenn. St.","Jr.","OF","42","7"
"","Mason Randolph","Texas Tech","Fr.","C","22","7"
"","Jared Reaves","Alabama","Jr.","INF","47","7"
"","Ts Reed","Cal St. Northridge","Sr.","INF","43","7"
"","Jeff Reynolds","Harvard","Jr.","C","45","7"
"","Steve Rice","Towson","Sr.","OF","42","7"
"","Ralph Rizzo","Albany (NY)","Sr.","INF","34","7"
"","Logan Robbins","Western Ky.","Jr.","INF","38","7"
"","Isaac Rodriguez","Southern Miss.","So.","INF","40","7"
"","Alfredo Rodriguez","Maryland","Jr.","INF","47","7"
"","Jimmy Roesinger","Dayton","Sr.","INF","40","7"
"","Steven Ross","Marshall","Jr.","OF","27","7"
"","Jon Ryan","Ill.-Chicago","Fr.","OF","40","7"
"","Jerrud Sabourin","Indiana","Sr.","INF","44","7"
"","Chad Salem","Manhattan","Sr.","INF","38","7"
"","Chris Schaeffer","North Carolina St.","Sr.","C","37","7"
"","Cam Schiller","Oral Roberts","Jr.","INF","39","7"
"","Austin Schultz","Western Caro.","Sr.","INF","42","7"
"","Michael Seaborn","Virginia Tech","Sr.","INF","46","7"
"","Richie Shaffer","Clemson","So.","INF","44","7"
"","Jaron Shepherd","Mississippi St.","Sr.","OF","35","7"
"","Tant Shepherd","Texas","Sr.","1B","44","7"
"","Tim Smalling","Virginia Tech","Sr.","INF","45","7"
"","Austen Smith","Alabama","Fr.","INF","47","7"
"","Kyle Smith","Southern U.","Sr.","OF","22","7"
"","Sterling Smith","Prairie View","So.","OF","25","7"
"","Kevan Smith","Pittsburgh","Sr.","C","39","7"
"","Bryson Smith","Florida","Sr.","INF","23","7"
