"Rank","Name","Team","Cl","Pos","App","IP","W","L","PCT"
"","Ethan Holt","Heidelberg","So.","P","9","57.0","7","1","0.875"
"","Mitch Hunnicutt","Hanover","Fr.","P","9","55.0","7","1","0.875"
"","Jesse Meier","Birmingham-So.","Jr.","P","11","56.7","7","1","0.875"
"","David Partyka","Adrian","Sr.","P","10","57.3","7","1","0.875"
"","Matt Rogers","Western New Eng.","Sr.","P","12","65.7","7","1","0.875"
"","Jim Schult","Eastern Conn. St.","Sr.","OF","11","63.0","7","1","0.875"
"","Michael Schweiss","Dallas","Jr.","P","19","54.3","7","1","0.875"
"","Austin Blaski","Marietta","Jr.","OF","12","57.7","7","2","0.778"
"","Trevor Conner","Penn St.-Altoona","Jr.","P","9","55.3","7","2","0.778"
"","Dustin Herbert","Salisbury","Sr.","P","10","58.3","7","2","0.778"
"","Ryan Larson","Linfield","Jr.","P","12","87.7","7","2","0.778"
"","Wade Morris","Coe","So.","INF","11","58.0","7","2","0.778"
"","Ryan Pelle","Marywood","Jr.","P","11","63.3","7","2","0.778"
"","Travis Rooke-Ley","Pomona-Pitzer","Jr.","OF","13","72.3","7","2","0.778"
"","James Simmons","Hardin-Simmons","Jr.","P","20","42.7","7","2","0.778"
"","Riley Tincher","Wis.-Whitewater","Sr.","P","10","64.0","7","2","0.778"
"","Greg Vogt","Anderson (IN)","Jr.","P","12","76.3","7","2","0.778"
"","Jonny Williams","Haverford","Jr.","P","11","65.3","7","2","0.778"
"","Nathan Adams","Husson","Jr.","P","11","74.3","7","3","0.700"
"","Greg Ball","Principia","Jr.","P","13","67.0","7","3","0.700"
"","Colin Butschek","Concordia (TX)","So.","P","13","81.3","7","3","0.700"
"","Jamie Hora","Case","So.","P","13","68.3","7","3","0.700"
"","Jesus Izarra","Baruch","Jr.","P","14","68.7","7","3","0.700"
"","Marvin Prestridge","Texas-Dallas","Jr.","P","12","77.0","7","3","0.700"
"","Brandon Simon","Willamette","So.","P","10","70.0","7","3","0.700"
"","John LaMoure","Cal Lutheran","Jr.","P","13","71.7","7","4","0.636"
"","Andrew Swart","Wabash","Jr.","P","16","78.7","7","4","0.636"
"72","Bryan Bierlein","Chris. Newport","Fr.","P","10","51.7","6","0","1.000"
"","Taylor Bugh","Transylvania","Jr.","P","11","52.3","6","0","1.000"
"","C.J. Bula","Farmingdale St.","Jr.","P","10","57.7","6","0","1.000"
"","Anthony Collaro","Concordia Chicago","Sr.","P","6","42.3","6","0","1.000"
"","Matt Grenier","Becker","Fr.","P","7","40.7","6","0","1.000"
"","Kevin Herget","Kean","So.","P","12","64.3","6","0","1.000"
"","Frank Holbrook","Wheaton (MA)","So.","P","8","47.7","6","0","1.000"
"","Alex Ingram","Macalester","Sr.","P","10","47.7","6","0","1.000"
"","Andrew Kirk","Alvernia","Jr.","P","7","49.0","6","0","1.000"
"","Michael Mahay","SUNY Cortland","Sr.","P","9","51.3","6","0","1.000"
"","Charles Matarazzo","Salve Regina","Sr.","P","7","42.3","6","0","1.000"
"","Evan Michaud","Western New Eng.","Sr.","P","9","40.0","6","0","1.000"
"","Josh Orosz","Roger Williams","So.","P","9","51.3","6","0","1.000"
"","Jeff Pelkey","Keene St.","Jr.","P","12","36.7","6","0","1.000"
"","Dave Ryan","Tufts","Jr.","P","9","41.7","6","0","1.000"
"","Marc Sommerhalter","Johnson & Wales (RI)","Jr.","P","20","27.0","6","0","1.000"
"","Jordan Watkins","Lynchburg","Sr.","INF","8","42.7","6","0","1.000"
"","Bill Armstrong","Western Conn. St.","Sr.","P","12","55.3","6","1","0.857"
"","Stephen Bonser","Washington-St. Louis","So.","P","10","51.3","6","1","0.857"
"","Pj Cerreto","Ramapo","So.","P","8","45.3","6","1","0.857"
"","Kevin Chandler","Bridgewater (VA)","Jr.","P","13","75.0","6","1","0.857"
"","Patrick Clark","Misericordia","Jr.","P","10","58.0","6","1","0.857"
"","Connor Cline","Saint John's (MN)","So.","P","7","40.7","6","1","0.857"
"","Jon Harasin","Moravian","Fr.","P","8","51.7","6","1","0.857"
"","Ben Hughes","St. Olaf","Jr.","P","9","50.7","6","1","0.857"
"","Cass Kreitlow","Hamline","Sr.","P","11","44.3","6","1","0.857"
"","Curtis Mallery","Manchester","Sr.","P","11","66.7","6","1","0.857"
"","Connor Medler","Rutgers-Newark","Jr.","P","11","61.0","6","1","0.857"
"","Zane Noschese","Gallaudet","Sr.","OF","13","53.7","6","1","0.857"
"","Blaine O'Brien","Keystone","Jr.","P","9","48.3","6","1","0.857"
"","Matt Paz","Purchase St.","So.","P","8","43.0","6","1","0.857"
"","Matt Roach","Pitt.-Greensburg","Jr.","P","11","49.7","6","1","0.857"
"","Kyle Scallion","Shenandoah","Jr.","P","22","34.0","6","1","0.857"
"","Matt Schimpf","Texas-Tyler","Sr.","P","11","73.0","6","1","0.857"
"","Aaron Schuldt","SUNY Cortland","Jr.","P","8","53.7","6","1","0.857"
"","Pete Sparacino","North Park","Sr.","P","10","62.3","6","1","0.857"
"","Mike Swietanski","Rowan","Sr.","P","8","44.7","6","1","0.857"
"","Ryan Ullmann","Concordia (TX)","So.","P","16","48.7","6","1","0.857"
"","Robert Vaughn","Linfield","Sr.","P","9","54.7","6","1","0.857"
"","Scott Wall","Pacific Lutheran","Sr.","P","11","75.3","6","1","0.857"
"","Matt Wiegand","Johns Hopkins","Sr.","P","10","53.7","6","1","0.857"
"","Thor Arnesen","Messiah","Jr.","P","10","55.7","6","2","0.750"
"","Patrick Baker","SUNYIT","Jr.","P","10","50.7","6","2","0.750"
"","Michael Byers","Dallas","Jr.","P","11","44.0","6","2","0.750"
"","Mike Cieszko","Rensselaer","Sr.","INF","11","56.3","6","2","0.750"
"","Adam Clements","Hope","Jr.","C","8","56.0","6","2","0.750"
"","Nolan Corr","Wheaton (MA)","Jr.","P","9","54.3","6","2","0.750"
"","Kyle Davis","Allegheny","Fr.","INF","11","53.7","6","2","0.750"
"","Mike Duranti","Frank. & Marsh.","Sr.","P","9","53.7","6","2","0.750"
"","Dan Duval","Rensselaer","Jr.","P","10","58.3","6","2","0.750"
"","Alexander Eliopoulos","Johns Hopkins","Jr.","P","10","56.7","6","2","0.750"
"","Ron Esposito","Catholic","Sr.","P","10","63.0","6","2","0.750"
"","Drew Gay","Aurora","So.","P","9","56.7","6","2","0.750"
"","Connor Henderson","TCNJ","Sr.","P","10","69.0","6","2","0.750"
"","Jamie Hendrick","Randolph-Macon","So.","P","12","74.0","6","2","0.750"
"","Michael Judge","Methodist","Fr.","P","16","52.3","6","2","0.750"
"","Steve Kuligowski","North Park","Jr.","P","11","65.0","6","2","0.750"
"","Grant Lewis","Thomas More","So.","P","9","47.0","6","2","0.750"
"","Thomas Lindberg","Framingham St.","Sr.","P","8","50.7","6","2","0.750"
"","Caleb Long","Emory","So.","P","8","43.7","6","2","0.750"
"","Jordan Lozzi","Wesley","So.","P","11","59.0","6","2","0.750"
"","Tyler Milstead","Bridgewater (VA)","Sr.","P","10","50.7","6","2","0.750"
"","Chuck Nicholas","Alvernia","Sr.","P","10","60.0","6","2","0.750"
"","Alex Norman","Beloit","Jr.","P","8","57.0","6","2","0.750"
"","Luke Probasco","Buena Vista","Sr.","P","9","57.0","6","2","0.750"
"","Joel Pulliam","Central (IA)","Jr.","P","10","67.0","6","2","0.750"
"","Nathan Rollon","La Verne","Jr.","P","13","57.0","6","2","0.750"
"","Jordan Sigman","Chapman","Sr.","P","10","57.3","6","2","0.750"
"","Keith Spoelstra","Calvin","Sr.","P","8","51.3","6","2","0.750"
"","Ryan Zamiskie","Penn St.-Behrend","Sr.","P","8","43.0","6","2","0.750"
"","Travis Zilg","Ramapo","So.","P","11","59.3","6","2","0.750"
"","Dusty Black","Piedmont","Sr.","P","15","76.3","6","3","0.667"
"","Philip Carkhuff","Dallas","Sr.","P","14","57.3","6","3","0.667"
"","Chris Chismar","SUNY New Paltz","So.","P","9","54.7","6","3","0.667"
"","Matt Dunford","Medaille","Sr.","P","13","63.3","6","3","0.667"
"","Dan Erne","Oswego St.","So.","P","9","48.0","6","3","0.667"
"","Augie Lindmark","Luther","Jr.","P","10","66.0","6","3","0.667"
"","Adam Merzel","Washington-St. Louis","Sr.","P","11","58.7","6","3","0.667"
"","Patrick Mulligan","Westminster (PA)","Jr.","P","10","56.7","6","3","0.667"
"","Chris Phelan","Farmingdale St.","Jr.","P","11","69.7","6","3","0.667"
"","John Rice","Huntingdon","Jr.","P","12","80.7","6","3","0.667"
"","Rocky Sawyer","Scranton","Jr.","P","9","48.7","6","3","0.667"
"","Kevin Schindler","Ohio Wesleyan","Jr.","P","12","56.0","6","3","0.667"
"","Aaron Williams","Millsaps","Sr.","P","14","72.7","6","3","0.667"
"","Matt Baudino","La Verne","Sr.","P","14","67.3","6","4","0.600"
"","Hobs Donovan","DePauw","Jr.","P","13","61.7","6","4","0.600"
"","Chris Dorff","Simpson","Jr.","P","12","63.7","6","4","0.600"
"","Chance Ryan","Mary Hardin-Baylor","So.","P","12","65.3","6","4","0.600"
"","Sean White","Dickinson","Jr.","P","12","75.3","6","4","0.600"
"","James Womack","Lynchburg","Fr.","P","13","44.7","6","4","0.600"
"","Robby Williams","LaGrange","So.","P","14","76.3","6","5","0.545"
