"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"42","Michael Rocha","Oklahoma","Sr.","P","11","83.3","59","6.37"
"43","Colin Rea","Indiana St.","Jr.","P","14","70.3","50","6.40"
"44","Matt Purke","TCU","So.","P","8","40.7","29","6.41"
"45","Forrest Koumas","South Carolina","Fr.","P","13","46.0","33","6.46"
"46","Sean McKeown","Marist","Sr.","P","12","47.3","34","6.47"
"47","Will Roberts","Virginia","Jr.","P","12","69.3","50","6.49"
"48","Aaron Gates","Pepperdine","Jr.","P","10","63.7","46","6.50"
"49","Coby Cowgill","VMI","So.","P","11","62.3","45","6.50"
"50","Ryan Carpenter","Gonzaga","Jr.","P","11","74.7","54","6.51"
"51","Jonathan Meyer","Clemson","So.","P","18","47.0","34","6.51"
"52","Noe Ramirez","Cal St. Fullerton","Jr.","P","9","61.7","45","6.56"
"53","Joey Satriano","La.-Lafayette","Sr.","P","16","50.7","37","6.57"
"54","Kyler Morgan","Longwood","So.","P","17","45.0","33","6.60"
"55","James Jones","La.-Monroe","Sr.","P","17","46.3","34","6.61"
"56","Tanner Peters","UNLV","Jr.","P","11","87.0","64","6.62"
"57","John Colella","Holy Cross","So.","P","24","42.0","31","6.64"
"58","Adam Plutko","UCLA","Fr.","P","11","70.3","52","6.66"
"59","Michael Roth","South Carolina","Jr.","P","12","79.7","59","6.66"
"60","Matthew Reckling","Rice","Jr.","P","11","54.0","40","6.67"
"61","Tyler Pill","Cal St. Fullerton","Jr.","P","11","70.0","52","6.69"
"62","Kyle Hansen","St. John's (NY)","So.","P","11","69.7","52","6.71"
"63","Damon McCormick","Valparaiso","Sr.","P","11","79.0","59","6.72"
"64","Tim Kelley","Wichita St.","Sr.","P","8","42.7","32","6.74"
"65","Phil McCormick","Missouri","Sr.","P","27","45.3","34","6.75"
"66","Nick Capito","UC Santa Barbara","Sr.","P","19","45.0","34","6.80"
"67","John Soldinger","Manhattan","So.","P","11","76.7","58","6.81"
"68","Mac Thoreson","Miami (OH)","So.","P","11","72.7","55","6.81"
"69","Kurt McCune","LSU","Fr.","P","11","70.0","53","6.81"
"","Ross Stripling","Texas A&M","Jr.","P","16","70.0","53","6.81"
"71","Scott Warwick","Fairfield","Jr.","P","10","62.0","47","6.82"
"72","Abel Flores","Texas Southern","So.","P","14","52.7","40","6.83"
"73","Joe DiRocco","Seton Hall","Sr.","P","11","77.7","59","6.83"
"74","Stefan Olson","Columbia","So.","P","9","44.7","34","6.85"
"75","Brad Schreiber","Purdue","So.","P","8","47.3","36","6.85"
"76","Matt Salemi","Ill.-Chicago","Jr.","P","11","61.7","47","6.86"
"77","Charlie Cononie","Towson","Sr.","P","11","64.3","49","6.86"
"78","Chad Pierce","Milwaukee","Sr.","P","11","70.7","54","6.87"
"79","Charlie Lowell","Wichita St.","Jr.","P","12","72.0","55","6.88"
"80","Dillon Napoleon","UAB","Jr.","P","11","73.3","56","6.88"
"81","Cody Winiarski","Virginia","Sr.","P","10","52.3","40","6.88"
"82","Max Perlman","Harvard","Sr.","P","10","60.0","46","6.90"
"83","Grayson Garvin","Vanderbilt","Jr.","P","11","71.7","55","6.90"
"84","Corey Crispell","Delaware","Jr.","P","14","41.7","32","6.91"
"85","Scott Garner","Bethune-Cookman","Fr.","P","10","58.3","45","6.95"
"86","Alex Meyer","Kentucky","Jr.","P","11","78.7","61","6.98"
"87","Jarett Miller","UNC Greensboro","Jr.","P","20","49.0","38","6.98"
"88","Andy Ferguson","Arkansas St.","Sr.","P","10","63.0","49","7.00"
"","Eric Potter","Maryland","Sr.","P","14","54.0","42","7.00"
"90","Madison Boer","Oregon","Jr.","P","11","79.7","62","7.00"
"91","Vinny Nittoli","Xavier","So.","P","10","52.7","41","7.00"
"92","Logan Billbrough","William & Mary","Sr.","P","11","75.7","59","7.01"
"93","Matt Rein","Coastal Caro.","Sr.","P","13","50.0","39","7.02"
"94","Andrew Brown","Akron","Jr.","P","12","80.7","63","7.03"
"95","Steve Laudicina","Western Mich.","Fr.","P","10","53.7","42","7.04"
"96","Mike Wright","East Carolina","Jr.","P","11","70.3","55","7.04"
"97","Chris Beck","Ga. Southern","So.","P","14","67.7","53","7.05"
"98","Tyler Wilson","Virginia","Sr.","P","11","66.3","52","7.06"
"99","Mike Hamann","Toledo","So.","P","9","59.7","47","7.09"
"100","Will Campbell","Georgia St.","Sr.","P","11","67.3","53","7.09"
"101","Matt Andriese","UC Riverside","Jr.","P","10","69.7","55","7.10"
"102","Roberto Padilla","San Jose St.","Jr.","P","11","77.3","61","7.10"
"103","Ryan Woolley","UAB","Sr.","P","13","81.0","64","7.11"
"104","Kevin Brandt","East Carolina","Jr.","P","14","65.7","52","7.12"
"105","Brett Koehler","William & Mary","So.","P","22","51.7","41","7.14"
"","Bobby Shore","Oklahoma","Sr.","P","14","51.7","41","7.14"
"107","Jed Bradley","Georgia Tech","Jr.","P","11","69.3","55","7.14"
"108","Cole Johnson","Notre Dame","Sr.","P","11","74.3","59","7.15"
"109","Kyle Fitzpatrick","FIU","Jr.","P","11","49.0","39","7.16"
"110","Tanner Perkins","Western Ky.","So.","P","11","74.0","59","7.18"
"111","Alex Blackford","Arizona St.","So.","P","16","46.3","37","7.19"
"","Taylor Wolfe","Alabama","So.","P","15","46.3","37","7.19"
"113","Kyle Eastham","South Fla.","Sr.","P","14","61.3","49","7.19"
"114","Trent Howard","Central Mich.","Jr.","P","11","70.0","56","7.20"
"115","Matt Shelton","Sam Houston St.","Sr.","P","12","68.7","55","7.21"
"116","Cole Sulser","Dartmouth","Jr.","P","8","48.7","39","7.21"
"117","Mark Anderson","St. Mary's (CA)","Jr.","P","11","77.3","62","7.22"
"118","Brad Propst","Oklahoma St.","Sr.","P","11","76.0","61","7.22"
"119","Kasceim Graham","Albany (NY)","So.","P","10","56.0","45","7.23"
"120","Cade Lynch","Arkansas","So.","P","14","51.0","41","7.24"
"121","Eddie Orozco","UC Riverside","Jr.","P","8","41.0","33","7.24"
"122","Seth Grant","Appalachian St.","Jr.","P","11","63.3","51","7.25"
"123","Gerrit Cole","UCLA","Jr.","P","11","75.7","61","7.25"
"124","Josh Conway","Coastal Caro.","So.","INF","14","53.3","43","7.26"
"125","Kevin Miller","California","Sr.","P","13","64.3","52","7.28"
"126","Dallas Chadwick","Sacramento St.","Fr.","P","10","54.3","44","7.29"
"127","Karsten Whitson","Florida","Fr.","P","11","58.0","47","7.29"
"128","Dylan Vogt","Nebraska","So.","P","16","40.7","33","7.30"
"129","Randall Fant","Arkansas","So.","P","15","49.3","40","7.30"
"","Brett Shulick","Fairfield","Jr.","P","9","49.3","40","7.30"
"131","Cole Green","Texas","Sr.","P","12","65.3","53","7.30"
"132","Kyle Hendricks","Dartmouth","Jr.","P","8","54.0","44","7.33"
"","Jonathan Montoya","CSU Bakersfield","Jr.","P","11","81.0","66","7.33"
"134","Brian Johnson","Florida","So.","P","11","63.7","52","7.35"
"135","Sam Moll","Memphis","Fr.","P","11","40.3","33","7.37"
"136","Brandon Efferson","Southeastern La.","Sr.","P","11","75.7","62","7.37"
"137","Hudson Randall","Florida","So.","P","11","72.0","59","7.38"
"138","Dan Langfield","Memphis","So.","P","11","61.0","50","7.38"
"139","Corey Maines","Illinois St.","Sr.","P","11","68.3","56","7.38"
"140","Mark Hermes","North Dakota St.","So.","P","10","46.3","38","7.39"
"141","Nick Petree","Missouri St.","Fr.","P","12","67.0","55","7.39"
"142","Mike McCarthy","CSU Bakersfield","Sr.","P","12","87.7","72","7.39"
"143","Justin Sarratt","Clemson","Sr.","P","13","52.3","43","7.40"
"144","John Stilson","Texas A&M","Jr.","P","12","79.0","65","7.41"
"145","Brandon McNitt","Stony Brook","Fr.","P","12","57.0","47","7.42"
"","Zack Taylor","Stephen F. Austin","Jr.","P","12","57.0","47","7.42"
"147","Chris Pike","Fordham","Fr.","INF","13","69.0","57","7.43"
"148","Tyler Barnette","Charlotte","Fr.","P","11","64.0","53","7.45"
"149","Ben Lively","UCF","Fr.","P","11","48.3","40","7.45"
"150","Brandon Browne","UNC Greensboro","Fr.","P","12","50.7","42","7.46"
"151","Brady Rodgers","Arizona St.","So.","P","9","54.3","45","7.46"
"","Cole Swanson","San Diego St.","Fr.","P","11","54.3","45","7.46"
"153","Tyler Johnson","Stony Brook","Jr.","P","10","56.7","47","7.46"
"154","Eric Whaley","Miami (FL)","So.","P","11","66.3","55","7.47"
"155","Nathan Hyatt","Appalachian St.","So.","P","11","65.0","54","7.48"
"156","Kurt Schluter","Stetson","So.","P","10","57.7","48","7.49"
"157","John Niggli","Liberty","Jr.","P","11","63.7","53","7.49"
"158","D.J Baxendale","Arkansas","So.","P","13","48.0","40","7.50"
"159","Wes Olson","Navy","Sr.","P","15","44.3","37","7.52"
"160","David Starn","Kent St.","Jr.","P","11","73.0","61","7.52"
"161","Matt Hamann","Belmont","Jr.","P","19","61.0","51","7.52"
"162","Ken Ferrer","Elon","Sr.","P","11","63.3","53","7.54"
"163","Randy Fontanez","South Fla.","Sr.","P","11","80.0","67","7.54"
"164","Derek Varnadore","Auburn","Jr.","P","10","59.7","50","7.54"
"165","Mason Radeke","Cal Poly","Jr.","P","11","74.0","62","7.54"
"166","Matthew Neil","BYU","Sr.","P","14","51.3","43","7.54"
"167","Tyler Ray","Troy","Jr.","P","11","78.7","66","7.55"
"168","Geoffrey Thomas","Southern Miss.","So.","P","11","70.3","59","7.55"
"169","Paul Cusick","Penn","Sr.","P","11","66.7","56","7.56"
"170","Ryan Ebner","Bucknell","Jr.","P","10","58.3","49","7.56"
"171","Connor Little","Hawaii","Jr.","P","9","44.0","37","7.57"
"","Manny Martir","Virginia Tech","Sr.","P","20","44.0","37","7.57"
"173","Justin Brantley","Siena","So.","P","11","63.0","53","7.57"
"174","Troy Marks","Nevada","Jr.","P","13","46.3","39","7.58"
"175","Seth Maness","East Carolina","Sr.","P","10","70.0","59","7.59"
"176","Shaun Coughlin","Maine","Fr.","P","15","42.7","36","7.59"
"177","Tony Cingrani","Rice","Sr.","P","22","40.3","34","7.59"
"","Jordan Crane","St. Bonaventure","Jr.","P","11","40.3","34","7.59"
"179","Greg Hellhake","Creighton","Sr.","P","11","47.3","40","7.61"
"180","Casey Hauptman","Nebraska","Sr.","P","22","54.3","46","7.62"
"181","Brandon Sinnery","Michigan","Jr.","P","12","46.0","39","7.63"
"182","Brian Flynn","Wichita St.","So.","P","16","61.3","52","7.63"
"183","Kevin Gausman","LSU","Fr.","P","11","66.0","56","7.64"
"184","Christian Powell","Col. of Charleston","So.","P","12","55.3","47","7.65"
"185","Thomas Girdwood","Elon","Sr.","P","13","47.0","40","7.66"
"","Jeb Stefan","Louisiana Tech","Jr.","P","11","47.0","40","7.66"
"187","T.J. Walz","Kansas","Sr.","P","12","72.7","62","7.68"
"188","Sean Manaea","Indiana St.","Fr.","P","11","63.3","54","7.68"
"189","Steven Maxwell","TCU","Sr.","P","10","62.0","53","7.69"
"190","Mark Bordonaro","Fairfield","So.","P","17","50.3","43","7.69"
"191","Colby Holmes","South Carolina","So.","P","10","46.7","40","7.71"
"192","Michael Wacha","Texas A&M","So.","P","11","77.0","66","7.71"
"193","Kyle Birdsall","Quinnipiac","Sr.","P","9","51.3","44","7.72"
"194","Jim Birmingham","Coastal Caro.","Sr.","P","14","44.3","38","7.72"
"195","Kyle Hald","Old Dominion","Sr.","P","10","68.7","59","7.73"
"196","Greg Holt","North Carolina","Sr.","P","23","43.0","37","7.74"
"197","John Walter","Penn St.","So.","P","11","62.7","54","7.75"
"198","null Melchiorre","Fairleigh Dickinson","Fr.","-","12","58.0","50","7.76"
"199","Blake Huddleston","UAB","Sr.","P","14","48.7","42","7.76"
"200","Jake Floethe","Cal St. Fullerton","Sr.","P","14","51.0","44","7.76"
"201","Dan Russell","Western Ill.","Jr.","P","12","73.0","63","7.77"
"202","Marco Gonzales","Gonzaga","Fr.","P","11","75.3","65","7.77"
"203","Dillon Overton","Oklahoma","Fr.","P","16","56.7","49","7.78"
"204","Andrew Smith","Charlotte","Jr.","P","11","74.0","64","7.78"
"205","John Neely","Texas Tech","Jr.","P","24","49.7","43","7.79"
"206","Kyle Barraclough","St. Mary's (CA)","Jr.","P","11","76.0","66","7.82"
"207","Logan Odom","Southern California","Jr.","P","11","64.3","56","7.84"
"208","Boomer Scarborough","Southern Miss.","Fr.","P","11","41.3","36","7.85"
"209","Mike Strong","Oklahoma St.","Sr.","P","11","52.7","46","7.86"
"210","Chris Johnson","Portland","So.","P","10","56.0","49","7.88"
"","Michael Palazzone","Georgia","Jr.","P","11","80.0","70","7.88"
"","Bret Williams","Richmond","So.","P","11","72.0","63","7.88"
"213","Terrance Washington","Jackson St.","Sr.","P","11","61.7","54","7.88"
"214","Cody Allen","High Point","Jr.","P","10","67.3","59","7.89"
"215","Anthony Kupbens","UC Davis","Jr.","P","11","73.0","64","7.89"
"216","David Haselden","Clemson","Jr.","P","18","59.3","52","7.89"
"217","Tyler Niederklein","Nebraska","So.","P","13","51.3","45","7.89"
"218","Jacob Booden","Bradley","Jr.","P","10","43.3","38","7.90"
"","Brian Holmes","Wake Forest","So.","P","11","43.3","38","7.90"
"","Jon Moscot","Pepperdine","So.","P","8","43.3","38","7.90"
"221","Jared Stafford","Dallas Baptist","Sr.","P","11","74.0","65","7.91"
"222","Zach Sterling","Western Ill.","Jr.","P","13","58.0","51","7.91"
"223","C Steinman","Georgetown","So.","-","12","52.3","46","7.92"
"224","Kramer Champlin","Arizona St.","Jr.","P","11","75.0","66","7.92"
"225","Mike Jefferson","Louisiana Tech","Jr.","P","15","69.3","61","7.92"
"226","Dave Kubiak","Albany (NY)","Sr.","P","10","61.3","54","7.93"
"227","Steven Evans","Liberty","Sr.","P","12","70.3","62","7.94"
"228","Andrew Leenhouts","Northeastern","Jr.","P","10","65.7","58","7.95"
"229","Paul Mittura","Middle Tenn.","So.","P","23","43.0","38","7.95"
"230","Patrick Goelz","Bethune-Cookman","So.","P","11","54.3","48","7.96"
"231","Brian Adkins","UCF","So.","P","11","61.0","54","7.97"
"232","Drew Granier","La.-Monroe","Sr.","P","11","67.7","60","7.98"
"233","Alex Caravella","Pittsburgh","So.","P","19","44.0","39","7.98"
"234","Brandon Love","Mercer","Jr.","P","11","64.3","57","7.98"
"235","Burny Mitchem","Dayton","Jr.","P","17","73.3","65","7.98"
"","Carson Smith","Texas St.","Jr.","P","11","73.3","65","7.98"
"237","Jimmy Hodgskin","Troy","Fr.","P","11","53.0","47","7.98"
"238","Martin Agosta","St. Mary's (CA)","So.","P","10","65.3","58","7.99"
"239","Garrett Baker","Liberty","Jr.","P","18","45.0","40","8.00"
"240","Ty Blach","Creighton","So.","P","12","66.3","59","8.01"
"241","Eric Semmelhack","Milwaukee","So.","P","10","57.3","51","8.01"
"242","Rob Chamra","North Carolina St.","Sr.","P","12","46.0","41","8.02"
"243","Taylor Cole","BYU","So.","P","11","65.0","58","8.03"
"244","Charlie McCready","Charleston So.","Jr.","P","22","43.7","39","8.03"
"245","David Whitehead","Elon","Fr.","P","14","49.3","44","8.03"
"246","Patrick Johnson","North Carolina","Sr.","P","11","62.7","56","8.04"
"247","Mike Thomas","Rider","Sr.","P","10","66.0","59","8.05"
"248","Jonathan Smart","Alabama","Sr.","P","23","44.7","40","8.05"
"249","A.J. Bazdanes","Maine","Jr.","P","10","54.7","49","8.06"
"","Tucker Donahue","Stetson","Jr.","P","20","54.7","49","8.06"
"251","Tyler Iodence","UNLV","So.","P","10","41.3","37","8.06"
"252","Cory Mazzoni","North Carolina St.","Jr.","P","11","77.0","69","8.06"
"253","Jacob Williford","Northwestern St.","So.","OF","9","45.7","41","8.07"
"254","Steven Fischback","Cal Poly","Sr.","P","10","61.3","55","8.08"
"255","Matt Morgan","Purdue","Sr.","P","9","46.7","42","8.09"
"","Brandon Sandoval","Sacramento St.","Sr.","P","12","46.7","42","8.09"
"257","Phil Haig","FIU","Jr.","P","11","66.7","60","8.10"
"258","Nick Leiningen","Sacred Heart","Fr.","P","11","57.7","52","8.11"
"259","Jon Prosinski","Seton Hall","So.","P","10","54.3","49","8.12"
"260","John Anderson","Illinois","Sr.","P","12","68.7","62","8.12"
"","Tommy Gately","George Washington","Sr.","P","12","68.7","62","8.12"
"262","Stephen Peterson","Rhode Island","Sr.","P","10","62.0","56","8.13"
"263","Austin Kubitza","Rice","Fr.","P","10","65.3","59","8.13"
"","Casey Webber","Western Mich.","Jr.","P","11","65.3","59","8.13"
"265","Joe Bircher","Bradley","Jr.","P","11","73.0","66","8.14"
"266","Blake Krahenbuhl","Utah Valley","So.","P","10","53.0","48","8.15"
"267","Brandon McNelis","Northeastern","Sr.","P","10","60.7","55","8.15"
"268","Elliot Glynn","Connecticut","Sr.","P","9","46.3","42","8.16"
"269","Kurt Heyer","Arizona","So.","P","14","91.3","83","8.18"
"270","Ryan Arrowood","Appalachian St.","Jr.","P","14","67.0","61","8.19"
"271","Drew Zizinia","Tulane","Sr.","P","14","48.3","44","8.20"
"272","Buck Farmer","Georgia Tech","So.","P","11","71.3","65","8.20"
"273","Matthew Sisto","Hawaii","Jr.","P","11","64.7","59","8.21"
"274","Nathan Eppley","Rider","Sr.","P","10","60.3","55","8.21"
"275","Chad Gallagher","Marist","Jr.","P","11","76.7","70","8.21"
"276","Bobby Bolling","Radford","Sr.","P","11","69.0","63","8.22"
"277","Abel Gonzales","Rice","Sr.","P","16","48.0","44","8.25"
"","Nick Johnson","Cincinnati","Sr.","P","11","60.0","55","8.25"
"","Colby Tognetti","North Dakota St.","Sr.","P","9","48.0","44","8.25"
"280","Jeremy Gendlek","Utah Valley","Jr.","P","10","61.0","56","8.26"
"281","Dylan Clark","Elon","So.","P","15","49.0","45","8.27"
"282","Joey DeNato","Indiana","Fr.","P","12","45.7","42","8.27"
"283","Quintavious Drains","Jackson St.","Jr.","P","13","75.0","69","8.28"
"","Andy Moye","Ga. Southern","Sr.","P","11","50.0","46","8.28"
"","James Nygren","Oregon St.","Sr.","P","10","50.0","46","8.28"
"","Seth Webster","Nicholls St.","Sr.","P","11","75.0","69","8.28"
"287","Ryan VanAssche","Norfolk St.","Fr.","P","15","63.0","58","8.29"
"288","J.R. Graham","Santa Clara","Jr.","P","17","46.7","43","8.29"
"","Devin Jones","Mississippi St.","Jr.","P","12","46.7","43","8.29"
"290","Ed Kohout","Le Moyne","Jr.","P","15","54.3","50","8.29"
"291","Jake Barrett","Arizona St.","So.","P","12","67.3","62","8.29"
"292","Chris Briere","Longwood","Sr.","P","9","59.7","55","8.29"
"293","Drew Fittry","Niagara","Fr.","P","11","55.3","51","8.30"
"","Drew Rucinski","Ohio St.","Sr.","P","9","55.3","51","8.30"
"295","Chris Bates","Richmond","Fr.","P","13","47.7","44","8.30"
"296","Taylor Hubbell","La.-Lafayette","Sr.","P","12","74.7","69","8.31"
"297","Charles Basford","Samford","Jr.","P","12","61.7","57","8.31"
"298","Zach Gallagher","Hawaii","Sr.","P","13","53.0","49","8.32"
"299","Keith Bilodeau","Maine","Jr.","P","10","62.7","58","8.33"
"300","Justin Wiley","Iona","Sr.","P","11","68.0","63","8.34"
"301","Lance Day","Texas-Arlington","Jr.","P","12","82.0","76","8.34"
"302","Dean Ali","Old Dominion","Fr.","P","21","45.3","42","8.34"
"","Trent Appleby","TCU","Sr.","P","16","45.3","42","8.34"
"","Mj Schifano","Sacred Heart","Sr.","INF","11","45.3","42","8.34"
"305","Cody Fick","Evansville","Sr.","INF","8","55.0","51","8.35"
"306","Steve Easter","Alcorn St.","Jr.","P","12","79.7","74","8.36"
"","Alex Gillingham","Loyola Marymount","Jr.","P","10","79.7","74","8.36"
"308","Ben Bullard","UAB","So.","P","15","42.0","39","8.36"
"","Caleb Dudley","Louisiana Tech","So.","P","23","42.0","39","8.36"
"310","Steven Gruver","Tennessee","Jr.","P","11","76.3","71","8.37"
"","Jacob Lee","Arkansas St.","Jr.","P","11","76.3","71","8.37"
"312","Dan Jensen","Cincinnati","Sr.","P","11","68.7","64","8.38"
"313","Jonathan Thompson","Southern Miss.","Jr.","P","11","59.0","55","8.39"
"314","Cody Forsythe","Southern Ill.","So.","P","11","78.3","73","8.39"
"315","Steven Barnes","Mississippi Val.","Sr.","P","17","74.0","69","8.39"
"316","Burch Smith","Oklahoma","Jr.","P","11","60.0","56","8.40"
"317","Calvin Drummond","San Diego","So.","P","11","61.0","57","8.41"
"318","Kendall Graveman","Mississippi St.","So.","P","10","41.7","39","8.42"
"319","Paul Davis","Fla. Atlantic","Jr.","P","12","72.7","68","8.42"
"320","Dan Savas","Illinois St.","Fr.","P","10","47.0","44","8.43"
"321","Karl Maas","Sacramento St.","Sr.","P","11","63.0","59","8.43"
"322","Evan Scott","James Madison","Jr.","P","11","52.3","49","8.43"
"323","Brad Mincey","East Carolina","Sr.","P","23","48.0","45","8.44"
"324","Geoff Brown","Washington","Sr.","P","18","43.7","41","8.44"
"325","Eddie Butler","Radford","So.","P","11","67.0","63","8.46"
"326","Brooks Fiala","Miami (OH)","So.","P","13","55.3","52","8.46"
"","Paul Paez","San Diego","Fr.","P","21","55.3","52","8.46"
"328","Kyle Hunter","Dartmouth","So.","P","8","54.0","51","8.50"
"","Bobby Mares","New Mexico","So.","P","13","54.0","51","8.50"
"","Jason Wheeler","Loyola Marymount","Jr.","P","10","72.0","68","8.50"
"331","Phil Isaksson","Minnesota","Sr.","P","10","56.0","53","8.52"
"332","Tucker Hawley","Alabama","So.","P","7","43.3","41","8.52"
"333","Kevin Johnson","Illinois","So.","P","11","71.7","68","8.54"
"","Matt Lujan","San Francisco","Sr.","P","12","71.7","68","8.54"
"335","Tanner Mendonca","Sacramento St.","Fr.","P","11","52.7","50","8.54"
"336","Mike Thatcher","Hartford","Jr.","P","8","45.3","43","8.54"
"337","Phil Klein","Youngstown St.","Sr.","P","11","65.3","62","8.55"
"338","Dave Krasnowiecki","Central Conn. St.","Sr.","P","9","53.7","51","8.55"
"339","James Crockett","Southern Utah","Sr.","P","12","60.0","57","8.55"
"","Michael Jahns","Northwestern","Jr.","P","13","40.0","38","8.55"
"341","Chris Jensen","San Diego","Jr.","P","15","67.3","64","8.56"
"342","Nick Brown","Iowa","Jr.","P","7","41.0","39","8.56"
"343","Jarrett Arakawa","Hawaii","Fr.","P","12","62.0","59","8.56"
"","Eddie Gray","St. Bonaventure","So.","P","9","62.0","59","8.56"
"345","Joe Scanio","Northwestern St.","Fr.","-","17","42.0","40","8.57"
"346","Anthony Meo","Coastal Caro.","Jr.","P","11","70.3","67","8.58"
"347","Desmond Russell","Jackson St.","Fr.","INF","11","71.3","68","8.58"
"348","Marshall Thompson","West Virginia","Fr.","P","8","50.3","48","8.59"
"349","Matt Stites","Missouri","Jr.","P","11","72.3","69","8.59"
"350","Blake Treinen","South Dakota St.","Sr.","P","9","59.7","57","8.59"
"351","Scott Gussaroff","Fairfield","Sr.","P","10","63.7","61","8.62"
"","Max Krakowiak","Fordham","Sr.","P","11","63.7","61","8.62"
"353","Eric Luksis","Manhattan","So.","P","10","54.3","52","8.62"
"","Vincent Roberts","Cal St. Northridge","Jr.","P","12","54.3","52","8.62"
"355","Anthony Sambula","Cleveland St.","Sr.","P","12","73.0","70","8.63"
"356","Austin Gaines","Fla. Gulf Coast","Sr.","INF","13","42.7","41","8.64"
"357","Ray Hanson","UCF","Jr.","P","11","51.0","49","8.65"
"358","Tyler Watkins","Southeastern La.","Sr.","P","11","77.0","74","8.65"
"359","Taylor Hill","Vanderbilt","Sr.","P","11","59.3","57","8.65"
"","Tanner Poppe","Kansas","So.","P","11","59.3","57","8.65"
"361","Colin Bear","Northwestern St.","Jr.","DH","11","60.3","58","8.66"
"362","Shane Farrell","Marshall","Jr.","P","9","44.7","43","8.66"
"363","Jesse Holiday","Southern U.","So.","P","10","45.7","44","8.67"
"364","Tyler Deetjen","Valparaiso","Jr.","P","11","74.7","72","8.67"
"365","Nick Nuemann","Central Conn. St.","So.","P","9","56.0","54","8.68"
"366","Connor Sinclair","Lipscomb","Fr.","-","12","68.3","66","8.70"
"367","Matt Iannazzo","Pittsburgh","Jr.","P","10","70.3","68","8.71"
"368","Jordan Underwood","Southeast Mo. St.","Sr.","P","11","62.0","60","8.71"
"369","Tyler Melling","Miami (OH)","Sr.","P","11","63.0","61","8.71"
"370","Marc Zecchino","Virginia Tech","Jr.","P","11","64.0","62","8.72"
"371","Matthew Vedo","UC Santa Barbara","Jr.","P","12","54.7","53","8.72"
"372","Jordan Dailey","Bethune-Cookman","So.","P","22","42.3","41","8.72"
"","Chris Munnelly","North Carolina","So.","P","13","42.3","41","8.72"
"374","Harrison Musgrave","West Virginia","Fr.","P","10","56.7","55","8.73"
