"Rank","Name","Team","Cl","Pos","G","HR"
"","Taylor Honeycutt","Wingate","Sr.","C","48","9"
"","Mark Jeffery","Tarleton St.","Sr.","C","43","9"
"","Matt Johnson","Arkansas Tech","Sr.","OF","46","9"
"","Zach Krueger","Metro St.","Sr.","OF","39","9"
"","Robert LaRusso","Molloy","Sr.","1B","45","9"
"","Nick Markis","Arkansas Tech","Sr.","3B","43","9"
"","Tony Mitchell","Fla. Southern","Sr.","OF","41","9"
"","Jason Nappi","Harding","Sr.","INF","45","9"
"","Zach Smith","Erskine","Fr.","INF","51","9"
"","Kyle Wager","Colorado St.-Pueblo","Sr.","C","40","9"
"","Keith Whitman","UNC Pembroke","Sr.","OF","44","9"
"","Drew Willingham","Erskine","So.","1B","51","9"
"64","Kendall Boone","West Tex. A&M","Jr.","INF","48","8"
"","Mitchell Broughton","Quincy","Fr.","OF","41","8"
"","Sean Cotten","Tusculum","Sr.","C","50","8"
"","John Couch","Lincoln Memorial","Sr.","INF","51","8"
"","Eric Deese","Ala.-Huntsville","Jr.","DH","44","8"
"","Junnior Dishmey-Perez","Tarleton St.","Sr.","2B","36","8"
"","Tim Dye","Belmont Abbey","Sr.","OF","46","8"
"","J.T. Greenhood","Colorado St.-Pueblo","Jr.","OF","44","8"
"","Josh Haley","UNC Pembroke","Jr.","OF","48","8"
"","Jed Hanson","Neb. Omaha","Sr.","INF","46","8"
"","Chris Hardy","Bentley","Sr.","OF","37","8"
"","Gip Hendrix","Henderson St.","Sr.","OF","45","8"
"","Dustin Lawley","West Fla.","Sr.","OF","48","8"
"","Ryan Lewis","Columbus St.","Jr.","OF","46","8"
"","Jerry Lloyd","Bloomsburg","Sr.","1B","37","8"
"","Dave Lojeski","Wis.-Parkside","Sr.","INF","36","8"
"","Dusty Maggs","Nova Southeastern","Sr.","INF","46","8"
"","Andy Marinelli","West Ga.","Fr.","-","48","8"
"","Chad Nacapoy","Cal St. L.A.","Jr.","C","46","8"
"","Heath Peterson","Montevallo","Jr.","1B","43","8"
"","Matt Petty","Barry","Sr.","INF","50","8"
"","Greg Pron","West Fla.","Sr.","OF","48","8"
"","Josh Riley","Arkansas Tech","Sr.","SS","45","8"
"","Cameron Robulack","Delta St.","Jr.","1B","44","8"
"","Isaac Rome","Mo. Western St.","Sr.","INF","44","8"
"","Brad Shankle","Southeastern Okla.","Jr.","C","42","8"
"","Eric Shoemaker","Pfeiffer","Sr.","OF","45","8"
"","Mike Snyder","Fla. Southern","Jr.","INF","41","8"
"","Bobby Triglia","Valdosta St.","Jr.","INF","44","8"
"","Drew Westover","Pitt.-Johnstown","Jr.","OF","40","8"
"94","Steve Anderson","Grand Valley St.","Jr.","OF","40","7"
"","Chad Balderman","Limestone","Fr.","OF","51","7"
"","Tyler Bean","Washburn","Jr.","INF","40","7"
"","Tyler Benzel","Fla. Southern","Sr.","INF","41","7"
"","Angelo Bruno","Stonehill","Sr.","1B","43","7"
"","J.L. Buchanan","Colo. Christian","Sr.","1B","47","7"
"","Bo Darby","West Virginia St.","Sr.","INF","31","7"
"","Gus Durst","Lincoln (MO)","Sr.","OF","41","7"
"","Breylon Emory","Claflin","So.","P","23","7"
"","Christian Glisson","Valdosta St.","Jr.","C","44","7"
"","Travis Hayes","Tarleton St.","Jr.","INF","36","7"
"","Jonathan Keener","Cal St. Dom. Hills","Jr.","C","43","7"
"","Joe Kley","Winona St.","Sr.","OF","37","7"
"","Derek Kline","Millersville","Sr.","1B","45","7"
"","Chris Love","Newberry","Sr.","INF","52","7"
"","Zach Maggard","Fla. Southern","Sr.","C","37","7"
"","Garrett May","West Ga.","Fr.","-","43","7"
"","Jeremy Miller","Tex. Permian Basin","Sr.","OF","46","7"
"","Austin Moyer","Catawba","Jr.","P","41","7"
"","Cody Pate","Mars Hill","Jr.","INF","43","7"
"","K. C. Pfister","Southeastern Okla.","Sr.","OF","43","7"
"","Areo Regoli","Nova Southeastern","Jr.","OF","41","7"
"","Matt Roohan","Incarnate Word","Sr.","INF","47","7"
"","Ryan Saxon","Anderson (SC)","Sr.","2B","50","7"
"","Ryan Schoonover","Central Okla.","Sr.","OF","46","7"
"","Preston Shuey","Francis Marion","Sr.","1B","47","7"
"","Ethan Stuckly","Tarleton St.","Jr.","INF","44","7"
"","David Wade","Washburn","Sr.","INF","31","7"
"","Shawn Ward","Georgia College","Sr.","OF","49","7"
"","Travis Whipple","Emporia St.","Sr.","OF","31","7"
"","John Willner","Valdosta St.","Sr.","OF","47","7"
"","Mitch Wolfe","Eastern N.M.","Sr.","INF","42","7"
"","James Young","Barry","So.","3B","47","7"
"127","Miguel Amesquita","Lewis","Sr.","INF","29","6"
"","Justin Bagbey","Chowan","Jr.","INF","46","6"
"","Greg Baggett","Bentley","Jr.","C","38","6"
"","Chase Barnes","Pittsburg St.","Jr.","OF","38","6"
"","Eric Barnes","Oakland City","Jr.","INF","29","6"
"","Matt Barr","Davis & Elkins","So.","INF","42","6"
"","Kenny Bechaud","Mo.-St. Louis","Sr.","1B","38","6"
"","Rolando Bonner","Tusculum","Sr.","OF","43","6"
"","Kyle Buchanan","Belmont Abbey","Jr.","C","44","6"
"","Kevin Childs","Lander","Jr.","OF","37","6"
"","Tyler Choate","Southern Ind.","Sr.","P","45","6"
"","Matt Civetti","Palm Beach Atl.","Jr.","OF","42","6"
"","Jason Coker","UNC Pembroke","Sr.","INF","48","6"
"","Jess Cooper","West Tex. A&M","Jr.","INF","46","6"
"","Josh Cyr","North Ala.","So.","INF","44","6"
"","Nick DeProspo","Southern Conn. St.","Sr.","C","34","6"
"","Tom Deangelis","Seton Hill","Sr.","INF","39","6"
"","Wally Derosier","Assumption","Sr.","OF","38","6"
"","Brian Dice","Lenoir-Rhyne","Sr.","C","47","6"
"","Patrick Dockendorf","Minn. St. Mankato","Jr.","INF","40","6"
"","Wesley Dozier","Carson-Newman","Sr.","3B","49","6"
"","Travis Echols","Georgia College","So.","3B","50","6"
"","David Fox","Metro St.","Sr.","OF","40","6"
"","Trevor Gappa","Neb. Omaha","Jr.","OF","33","6"
"","Jason Garcia","St. Mary's (TX)","Sr.","OF","47","6"
"","Blake Gentry","Southeastern Okla.","Jr.","OF","45","6"
"","Matt Henriksen","Tusculum","So.","INF","48","6"
"","Josh Hohn","Catawba","Sr.","C","51","6"
"","Matt Howard","Slippery Rock","Sr.","OF","44","6"
"","Will Huff","Erskine","Fr.","INF","43","6"
"","Josh Huggins","West Fla.","Jr.","3B","47","6"
"","Nash Hutter","Shepherd","Jr.","OF","33","6"
"","Nick Jelacie","Bemidji St.","Sr.","OF","40","6"
"","Patrick Johnson","Southern Ark.","Sr.","OF","43","6"
"","Adam Jury","Slippery Rock","Sr.","INF","44","6"
"","Billy Kellum","Elizabeth City St.","Sr.","OF","41","6"
"","Trent Kinnear","Harding","Sr.","OF","40","6"
"","Cam Kneeland","Mass.-Lowell","Jr.","INF","38","6"
"","Brian Kochik","Lock Haven","Sr.","C","39","6"
"","Wade Koester","Quincy","Sr.","INF","44","6"
"","Bryan Lippincott","Concordia-St. Paul","Jr.","3B","29","6"
"","Colt Loehrs","Arkansas Tech","Sr.","OF","45","6"
"","Jeff May","Lander","So.","C","44","6"
"","Matt Mazzolla","Belmont Abbey","So.","INF","31","6"
"","Zach McCarthy","Erskine","Jr.","INF","49","6"
"","Matt Mccamley","Lock Haven","Sr.","OF","39","6"
"","Abel Medina","Cal St. Dom. Hills","Sr.","3B","45","6"
"","Luis Meija","Palm Beach Atl.","Jr.","3B","50","6"
"","Tyler Migl","St. Mary's (TX)","Jr.","OF","48","6"
"","Will Miller","West Tex. A&M","Sr.","OF","47","6"
"","Brian Moon","Cal St. L.A.","Sr.","SS","43","6"
"","Ryan Moore","Chowan","Fr.","P","50","6"
"","Jared Mothershed","North Ala.","Sr.","OF","43","6"
"","Michael Niemann","Delta St.","Sr.","OF","46","6"
"","Brian Norwood","Lewis","So.","C","30","6"
"","Daniel Petitbon","Nova Southeastern","Jr.","OF","31","6"
"","Ryan Porter","Rockhurst","Jr.","1B","43","6"
"","Tim Quinn","Assumption","Jr.","C","41","6"
"","Zach Ragsdale","Southeastern Okla.","Sr.","OF","40","6"
"","Trevor Rogers","Southern Ark.","Jr.","OF","41","6"
"","Cameron Scott","Columbus St.","So.","2B","46","6"
"","Adam Shank","St. Edward's","Jr.","OF","44","6"
"","Dan Skelly","Northeastern St.","Jr.","C","38","6"
"","Jake Sloan","North Ala.","Jr.","P","42","6"
"","Troy Snitker","North Ga.","Jr.","C","49","6"
"","Chase Stokes","Ark.-Monticello","Jr.","OF","38","6"
"","Kelvin Tanner","Clark Atlanta","Fr.","INF","30","6"
"","Nate Valdez","Cameron","Sr.","INF","43","6"
"","Justin Vasquez","Belmont Abbey","Sr.","OF","43","6"
"","Drew Walker","Armstrong","Jr.","INF","48","6"
"","Eric Walker","Southeastern Okla.","Sr.","C","45","6"
"","Deaun Williams","Lincoln Memorial","Sr.","OF","45","6"
"","Jeremy Williams","Tuskegee","So.","P","32","6"
"","John Zule","Incarnate Word","So.","INF","37","6"
"201","Tate Allison","Angelo St.","Jr.","OF","47","5"
"","Brian Bello","Colorado Mesa","Sr.","OF","34","5"
"","Mike Bisenius","Wayne St. (NE)","Jr.","OF","36","5"
"","Brad Bridgeman","UNC Pembroke","Jr.","OF","48","5"
"","Michael Brittian","Mars Hill","Sr.","OF","48","5"
"","Robert Brown","Clark Atlanta","Jr.","OF","28","5"
"","Brayan Cacique","Lake Erie","Jr.","OF","39","5"
"","Austin Chubb","Fla. Southern","Jr.","C","38","5"
"","Evan Claus","Metro St.","Jr.","1B","31","5"
"","Brad Clement","Northern Ky.","So.","INF","43","5"
"","Daniel Coffey","Mount Olive","Jr.","3B","46","5"
"","Chris Collazo","Tex. A&M Int'l","Sr.","OF","47","5"
"","Curran Collins","Quincy","Jr.","INF","33","5"
"","Chase Corn","Erskine","Fr.","OF","45","5"
"","Patrick Daugherty","Georgia College","Jr.","OF","49","5"
"","Tyler Davies","Neb. Omaha","Sr.","C","40","5"
"","Josh Dawson","Cameron","Jr.","INF","44","5"
"","Grant DeBruin","Ala.-Huntsville","Jr.","INF","45","5"
"","Daniel DeCoste","St. Anselm","Jr.","3B","43","5"
"","Patrick Deao","Mo. Southern St.","Sr.","OF","46","5"
"","Kevin Deese","West Ala.","Sr.","OF","41","5"
"","Nelson Espinal","Southwestern Okla.","Sr.","2B","39","5"
"","Kyle Foti","Flagler","Jr.","C","41","5"
"","Gene Franks","West Va. Wesleyan","Sr.","OF","36","5"
"","Sanchez Gartman","Newberry","Sr.","OF","37","5"
"","Evan Gazza","Davis & Elkins","Sr.","OF","42","5"
"","Ryan Geffert","Southern Conn. St.","Jr.","1B","37","5"
"","Jeremy Graves","Pittsburg St.","Sr.","SS","45","5"
"","Derik Grimes","Central Okla.","Jr.","INF","34","5"
"","Paden Grubbs","Southwest Baptist","Sr.","OF","43","5"
"","Alex Haag","Regis (CO)","Jr.","OF","39","5"
"","Brad Hall","North Ga.","Sr.","INF","49","5"
"","Joey Hallinan","Ohio Valley","Jr.","INF","35","5"
"","Troy Handza","California (PA)","Jr.","OF","44","5"
"","Ricky Harris","Albany St. (GA)","Fr.","C","52","5"
"","Robert Hawkins","West Virginia St.","Sr.","INF","31","5"
"","Dillon Hazlett","Emporia St.","Sr.","INF","45","5"
"","Jeff Heisey","Millersville","So.","3B","43","5"
"","Andrew Kapple","Tarleton St.","Sr.","C","41","5"
"","Aaron Kicklighter","Valdosta St.","Jr.","INF","44","5"
"","Jesse Kinzey","Mo. Southern St.","Jr.","P","45","5"
"","Matt Kuchenbecker","Minn. St. Mankato","Jr.","INF","39","5"
"","Matt Lagree","Central Mo.","Fr.","-","35","5"
"","Carlos Leyva","Cal St. Dom. Hills","Sr.","2B","43","5"
"","Preston Lyon","Pfeiffer","Jr.","INF","49","5"
"","Kevin Mager","Rollins","Jr.","INF","45","5"
"","Joe Mangum","UNC Pembroke","Sr.","INF","44","5"
"","Seth McMullen","Winona St.","So.","SS","28","5"
"","Edwin Mendoza","Southwestern Okla.","Jr.","INF","45","5"
"","Will Mulligan","Central Mo.","Fr.","-","25","5"
"","John Neese","Catawba","Sr.","OF","46","5"
"","Kyle O'Boyle","Saginaw Valley","So.","OF","39","5"
"","Jordan Owens","Lander","Jr.","1B","42","5"
"","Kevin Pillar","Cal St. Dom. Hills","Sr.","OF","45","5"
"","Micah Reaves","West Ala.","Sr.","C","37","5"
"","Tyler Reimer","Valdosta St.","Jr.","INF","33","5"
"","Alec Rosales","Northwest Mo. St.","Jr.","OF","45","5"
"","Bryan Rose","Northern Ky.","Sr.","OF","42","5"
"","Ryan Rua","Lake Erie","Jr.","SS","41","5"
"","Martin Sartin","Neb. Omaha","Jr.","OF","44","5"
"","Erik Scott","N.M. Highlands","Jr.","OF","36","5"
"","Jason Simone","Mount Olive","Sr.","OF","37","5"
"","Nash Smith","Fort Hays St.","Jr.","OF","32","5"
"","Rusty Smith","Mars Hill","Sr.","OF","49","5"
"","Jordan Smith","St. Cloud St.","So.","OF","41","5"
"","Sloan Soulia","Fort Hays St.","Sr.","C","44","5"
"","Tyler Splichal","Neb. Omaha","So.","INF","39","5"
"","C.J. Stabler","King (TN)","Sr.","INF","41","5"
"","Landon Sullins","Arkansas Tech","Jr.","C","40","5"
"","Anthony Sully","Lenoir-Rhyne","Sr.","1B","47","5"
"","Beau Suponchick","Neb. Omaha","Fr.","INF","38","5"
"","Adam Taylor","North Greenville","So.","P","44","5"
"","Josh Threlkeld","Minn. Duluth","Sr.","1B","26","5"
"","Alex Todd","Sonoma St.","Sr.","INF","44","5"
"","Jenzen Torres","Cal Poly Pomona","Jr.","C","41","5"
"","Omar Velazquez","Adelphi","Sr.","OF","42","5"
"","Andy Vogel","Newberry","So.","INF","50","5"
"","Jon Wegener","Central Mo.","Sr.","OF","24","5"
"","Jordan White","Ky. Wesleyan","Jr.","OF","35","5"
"","Abe Williams","Abilene Christian","Sr.","C","40","5"
"281","Rey Alvarez","Tex. A&M Int'l","Sr.","OF","47","4"
"","Chris Amate","American Int'l","So.","INF","31","4"
"","Greg Anderson","Colorado Mesa","Sr.","OF","44","4"
"","Branfy Arias","Tusculum","Sr.","OF","46","4"
"","Patrick Arntson","Upper Iowa","Jr.","1B","44","4"
"","Weston Baros","St. Mary's (TX)","Sr.","2B","47","4"
"","Aaron Bauman","UC San Diego","Sr.","DH","45","4"
"","Cedric Belt","Lincoln (MO)","Sr.","OF","40","4"
"","Corey Benson","Ga. Southwestern","Fr.","OF","47","4"
"","Adam Boucher","Southern Ark.","Sr.","2B","41","4"
"","Anthony Boza","Lynn","Jr.","1B","45","4"
"","Kellen Bozeman","Delta St.","Sr.","DH","46","4"
"","Tucker Brown","Central Okla.","Jr.","INF","43","4"
"","Randolph Brown","Claflin","Fr.","-","31","4"
"","Brennan Brown","Metro St.","Sr.","OF","32","4"
"","Angelo Burrage","St. Joseph's (IN)","So.","1B","41","4"
"","Ryan Buter","Wayne St. (MI)","Jr.","1B","26","4"
"","Josh Campanella","Pitt.-Johnstown","Sr.","INF","40","4"
"","Stephen Carmon","S.C. Aiken","Jr.","SS","50","4"
"","Dustin Carpenter","North Ga.","So.","INF","45","4"
"","Patrick Chandler","Rockhurst","So.","OF","37","4"
"","Trent Chapman","West Liberty","Sr.","OF","45","4"
"","Caleb Cole","Drury","Fr.","INF","45","4"
"","Evan Connell","Northwest Mo. St.","So.","OF","37","4"
"","Anthony DiFrancesco","Philadelphia U.","Sr.","3B","36","4"
"","Weston Dodson","Elizabeth City St.","Fr.","OF","40","4"
"","Eric Dorton","West Tex. A&M","Fr.","OF","48","4"
"","Eric Dow","Cal St. San B'dino","Jr.","C","38","4"
"","Jesse Dunn","Pfeiffer","Sr.","C","31","4"
"","Adrian English","Barry","Fr.","INF","50","4"
"","Ryan Engrav","Newman","Sr.","INF","42","4"
"","Nick Erminio","Seton Hill","Jr.","INF","37","4"
"","Chuck Faust","California (PA)","Sr.","OF","44","4"
"","Haven FitzSimmonds","Nova Southeastern","Sr.","C","31","4"
"","Noe Flores","Cal St. L.A.","Sr.","1B","41","4"
"","John Fouchet","Florida Tech","Sr.","INF","47","4"
"","Joey Frabasile","Belmont Abbey","Jr.","1B","46","4"
"","Adam Gemuenden","Winona St.","Jr.","1B","37","4"
"","null Gerstenslage","Mercyhurst","Fr.","-","40","4"
"","Zack Getsee","St. Joseph's (IN)","Sr.","C","37","4"
"","Brandon Gipson","Benedict","Sr.","C","40","4"
"","Eric Grabe","Tampa","Jr.","2B","45","4"
"","Jon Gray","Pfeiffer","Fr.","INF","49","4"
"","Brock Green","Ouachita Baptist","Jr.","1B","47","4"
"","Cody Grice","Grand Valley St.","Jr.","OF","42","4"
"","Kyle Harris","St. Edward's","Jr.","C","27","4"
"","Wayne Hawkins","Ark.-Monticello","Jr.","OF","28","4"
"","Tee Helsel","Mo. Southern St.","Fr.","INF","45","4"
"","Greg Herbst","St. Mary's (TX)","Sr.","1B","40","4"
"","Tyler Hickernell","Winston-Salem","So.","3B","43","4"
"","Brandon Hoefler","Fort Hays St.","Jr.","OF","44","4"
"","Brady Hohl","Neb. Omaha","Jr.","INF","46","4"
"","Patrick Hyde","Northern Ky.","So.","C","20","4"
"","Andrew Jones","Tampa","Jr.","OF","45","4"
"","R.J. Knese","Drury","Sr.","C","45","4"
"","Jimmie Koch","Florida Tech","Fr.","P","46","4"
"","Rob LaFrance","Southwestern Okla.","Jr.","OF","37","4"
"","Shane Latshaw","Mercyhurst","Jr.","OF","43","4"
"","Brain Laznik","Erskine","Sr.","OF","50","4"
"","Kellen Lee","UC San Diego","Sr.","C","32","4"
"","Jae Leeworthy","Lake Erie","Jr.","1B","40","4"
"","Michael Leviseur","Seton Hill","Jr.","C","34","4"
"","Wayne Lewis","St. Augustine's","Jr.","OF","54","4"
"","Jj Loker","S.C. Aiken","So.","INF","50","4"
"","Mike Love","Ala.-Huntsville","Jr.","OF","44","4"
"","Vincent Malzahn","St. Thomas Aquinas","Sr.","1B","43","4"
"","Ben Manlove","Cal St. Chico","So.","C","39","4"
"","Cj Matthews","Mo. Southern St.","Sr.","OF","46","4"
"","Eric Maupin","N.M. Highlands","Jr.","INF","42","4"
"","Matt Maytubby","Northeastern St.","So.","OF","30","4"
"","Will McCaleb","St. Edward's","Jr.","SS","44","4"
"","Ryan McChesney","Florida Tech","Jr.","C","47","4"
"","Colby McCord","Neb. Omaha","Jr.","C","46","4"
"","Rich McHugh","Stonehill","Jr.","C","39","4"
"","Zach Miller","Northern St.","Jr.","OF","29","4"
"","Lucas Mohon","Carson-Newman","So.","OF","42","4"
"","Mike Munoz","Franklin Pierce","Sr.","OF","41","4"
"","Davey Murphy","Ky. Wesleyan","So.","P","29","4"
"","Steele Myers","Brevard","Jr.","INF","38","4"
"","Brian Ness","Southwest Minn. St.","So.","1B","30","4"
"","Aj Nunziato","Lander","Jr.","INF","47","4"
"","Randy O'Dell","Brevard","Jr.","INF","41","4"
"","Ryan Palmer","Northwood (MI)","Jr.","C","31","4"
"","Scot Palmer","Newman","Sr.","C","45","4"
"","Manny Pedrozo","Barry","Sr.","OF","25","4"
"","Chris Pfau","Lincoln (MO)","Jr.","P","38","4"
"","Kevin Phillips","Southeastern Okla.","Jr.","INF","45","4"
"","Dan Plecki","Truman","Fr.","-","41","4"
"","Chase Presley","Harding","Jr.","INF","46","4"
"","Michael Rezin","Arkansas Tech","Jr.","1B","30","4"
"","Jeff Ridgeway","Mont. St. Billings","Sr.","OF","37","4"
"","Elliott Riege","Colorado Mines","Sr.","INF","42","4"
"","John Roberts","Armstrong","Jr.","C","46","4"
"","Claudis Robinson","Elizabeth City St.","Jr.","INF","38","4"
"","Dan Robinson","Dominican (NY)","Sr.","OF","39","4"
"","Jacob Rogers","Mount Olive","Jr.","3B","45","4"
"","Jose Rohena","Flagler","Sr.","INF","49","4"
"","Tyler Ruch","Central Mo.","Sr.","INF","46","4"
"","Kevin Rufus","Newberry","Jr.","C","48","4"
"","Dominic San Felippo","Wheeling Jesuit","Sr.","OF","35","4"
"","Roberto Sanchez","Belmont Abbey","Sr.","INF","40","4"
"","Ralph Sanchez","Concord","Fr.","INF","38","4"
"","Anthony Santa","Saint Leo","Jr.","INF","43","4"
"","Ethan Santora","Mercyhurst","Jr.","INF","44","4"
"","G Scott","Shaw","Fr.","-","16","4"
"","David Silvas","Cal St. San B'dino","Jr.","OF","41","4"
"","Donald Smith","Claflin","Jr.","OF","34","4"
"","Frank Specht","Central Mo.","Sr.","INF","38","4"
"","Kyle Stacken","Fort Hays St.","Sr.","1B","43","4"
"","Albert Stanton","Southern N.H.","Fr.","OF","39","4"
"","Zach Stone","Millersville","So.","3B","45","4"
"","Jordan Stouffer","Metro St.","Sr.","1B","40","4"
"","Kyle Thomas","Lewis","Fr.","C","30","4"
"","Michael Tomko","Gannon","So.","OF","37","4"
"","Chris Vazquez","Wingate","Jr.","SS","52","4"
"","Steven Vidaurri","Incarnate Word","Sr.","OF","47","4"
"","Marcus Weese","Davis & Elkins","Sr.","OF","42","4"
"","Tyler Wells","Southwestern Okla.","Jr.","C","25","4"
"","Kevin Wempe","Emporia St.","Sr.","INF","45","4"
"","Joseph Westbrook","Mount Olive","Sr.","OF","34","4"
"","Michael Wiseman","Wayne St. (MI)","Sr.","C","41","4"
"","Paul Young","Grand Valley St.","Sr.","OF","39","4"
"","David Zavala","Northeastern St.","Sr.","OF","36","4"
"","Troy Zawadzki","Carson-Newman","Jr.","SS","48","4"
"","Kyle Zimmerman","Ouachita Baptist","Sr.","INF","47","4"
"406","Torre Aguirre","Grand Valley St.","Sr.","OF","24","3"
"","David Albritton","Emporia St.","Sr.","C","43","3"
"","Cregg Armstrong","Claflin","So.","INF","26","3"
"","Richard Atwood","Ark.-Monticello","Sr.","1B","26","3"
"","Mike August","Millersville","Jr.","SS","45","3"
"","Drake Austin","Quincy","So.","INF","42","3"
"","John Avanzino","Rollins","Sr.","INF","33","3"
"","Josh Avery","Okla. Panhandle","Jr.","1B","42","3"
"","Nick Barbera","Pitt.-Johnstown","Sr.","INF","37","3"
"","Madison Beaird","Arkansas Tech","So.","OF","46","3"
"","Joey Benke","St. Cloud St.","Jr.","INF","36","3"
"","Derek Bettinson","Northwest Nazarene","Jr.","INF","37","3"
"","Duncan Blades","Abilene Christian","Jr.","INF","34","3"
"","Jeremy Bohnett","Harding","Fr.","OF","38","3"
"","Matt Boulter","Southern N.H.","So.","SS","44","3"
"","Eric Boyer","East Stroudsburg","So.","OF","25","3"
"","Scott Bradbury","Rockhurst","Jr.","3B","39","3"
"","Andrew Brauer","Lewis","Jr.","OF","33","3"
"","Giancarlo Brugnoni","Grand Valley St.","So.","1B","32","3"
"","Tyler Callicutt","North Greenville","Sr.","1B","44","3"
"","Garrett Campfield","West Tex. A&M","Sr.","C","45","3"
"","Michael Cantwell","St. Andrews","Sr.","OF","43","3"
"","Joel Cardinal","Valdosta St.","Sr.","INF","44","3"
"","Jon Carnahan","Delta St.","Jr.","C","24","3"
"","Zach Carter","Missouri S&T","Sr.","3B","36","3"
"","Roberto Castillo","Tex. A&M Int'l","Jr.","P","42","3"
"","Bryant Chambliss","Tuskegee","Sr.","C","31","3"
"","Ty Chancelor","Ala.-Huntsville","Jr.","OF","43","3"
"","Ryan Chesler","Millersville","So.","C","42","3"
"","Bryan Chestnut","Southern Ind.","Jr.","OF","23","3"
"","Michael Chiarelli","Western Ore.","Sr.","C","41","3"
"","K.C. Clabough","Florida Tech","Jr.","INF","47","3"
"","Cody Coffman","Tusculum","Jr.","1B","47","3"
"","Max Colaner","Northern Ky.","Jr.","OF","35","3"
"","Colin Courtland","Grand Canyon","Sr.","P","42","3"
"","Corey Cowan","Newman","Jr.","INF","47","3"
"","Jared Cowan","Grand Valley St.","Jr.","C","20","3"
"","Jake Danneffel","Metro St.","Sr.","C","20","3"
"","Chauncey Davis","Claflin","Jr.","INF","29","3"
"","Chris DeMorais","New Haven","Fr.","INF","31","3"
"","Brett Delcambre","Newman","Jr.","SS","47","3"
"","Dane Derstine","Lynn","Sr.","C","40","3"
"","Dusty Dineen","Quincy","Jr.","INF","21","3"
"","Andrew Donofry","Chestnut Hill","Sr.","C","23","3"
"","Mike Dowd","Franklin Pierce","Jr.","C","43","3"
"","Charlie Dubanoski","Augustana (SD)","Sr.","INF","40","3"
"","Cameron Duncan","Tuskegee","Fr.","P","33","3"
"","Nikko Echevarria","Nova Southeastern","Sr.","INF","33","3"
"","Damon Elder","Tampa","Jr.","OF","45","3"
"","Matt Ellinghuysen","Bemidji St.","So.","3B","30","3"
