"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"121","Landon Hallam","Central Okla.","Sr.","P","6","26.2","26","8.78"
"122","Pat Kregeloh","Shippensburg","Sr.","3B","4","25.2","25","8.77"
"123","Keith Little","Pfeiffer","Jr.","P","11","38.0","37","8.76"
"124","Timothy Buchanan","Southern Ark.","So.","P","8","48.1","47","8.75"
"125","Spenser Watkins","Western Ore.","Sr.","P","8","47.1","46","8.75"
"126","Brandon Agar","North Georgia","So.","P","8","56.2","55","8.74"
"","David Thompson","Anderson (SC)","So.","P","8","34.0","33","8.74"
"128","Ray Gambone","Wilmington (DE)","Jr.","P","4","21.2","21","8.72"
"","Dylan McGill","Wayne St. (NE)","Jr.","P","4","21.2","21","8.72"
"130","Garrett Gooding","Point Loma","Jr.","P","9","41.1","40","8.71"
"131","Paul Covelle","Franklin Pierce","So.","P","5","26.0","25","8.65"
"132","Zachary Hedges","Azusa Pacific","Jr.","P","6","42.2","41","8.65"
"133","Tyler Thompson","Pittsburg St.","Sr.","P","7","39.2","38","8.62"
"134","Jordan DeLorenzo","West Florida","Jr.","P","7","51.1","49","8.59"
"135","Bryce Bellin","Minn. St. Mankato","Sr.","1B","5","27.1","26","8.56"
"","Taylor Peed","S.C. Aiken","Sr.","P","9","41.0","39","8.56"
"137","Brain Bayliss Jr.","St. Joseph's (IN)","So.","P","5","26.1","25","8.54"
"138","Neal Horan","Stonehill","Jr.","P","4","25.1","24","8.53"
"","Blake Sullivan","Southern Ark.","So.","P","13","31.2","30","8.53"
"140","Jaime Paxton","Southeastern Okla.","---","P","9","30.2","29","8.51"
"141","Jonathon Mulford","Adelphi","So.","P","4","24.1","23","8.51"
"142","Daniel Barfield","Francis Marion","So.","P","6","28.2","27","8.48"
"143","J.D. Salles","Fresno Pacific","Sr.","P","8","61.2","58","8.46"
"144","Colby Wisdom","Valdosta St.","Jr.","P","11","27.2","26","8.46"
"145","Terence Berry","Lincoln (PA)","Fr.","OF","5","21.1","20","8.44"
"","Joe Gnacinski","Mercyhurst","Jr.","P","3","16.0","15","8.44"
"147","Bryan Smith","Trevecca Nazarene","So.","P","6","41.2","39","8.42"
"148","Richard Cruz-Sanchez","Eckerd","Sr.","P","7","34.1","32","8.39"
"149","Andrew Groves","Northwest Nazarene","Jr.","P","8","29.0","27","8.38"
