"Rank","Name","Team","Cl","Pos","G","AB","H"
"","Chris Love","Newberry","Sr.","INF","52","191","62"
"","Edwin Mendoza","Southwestern Okla.","Jr.","INF","45","157","62"
"","Will Miller","West Tex. A&M","Sr.","OF","47","182","62"
"","Matt Petty","Barry","Sr.","INF","50","196","62"
"","Anthony Sully","Lenoir-Rhyne","Sr.","1B","47","188","62"
"","Logan Williams","Southern Ark.","Sr.","3B","44","170","62"
"103","Tyler Benzel","Fla. Southern","Sr.","INF","41","158","61"
"","Rolando Bonner","Tusculum","Sr.","OF","43","163","61"
"","Jarius Brown","Stillman","Fr.","OF","41","155","61"
"","Jordan Erisman","North Ga.","Jr.","INF","49","203","61"
"","David Fox","Metro St.","Sr.","OF","40","144","61"
"","Blake Gentry","Southeastern Okla.","Jr.","OF","45","176","61"
"","Brock Green","Ouachita Baptist","Jr.","1B","47","160","61"
"","Derek Ingui","Franklin Pierce","Sr.","DH","43","150","61"
"","Kevin McCall","Mercyhurst","Sr.","1B","44","162","61"
"","Matthew Pullos","Colorado Mines","So.","OF","43","157","61"
"","Micah Robinson","Limestone","Sr.","INF","52","194","61"
"","Cody Shelton","Wingate","Fr.","INF","48","166","61"
"","Jeremy Soliday","Southwestern Okla.","Jr.","3B","44","151","61"
"","Nick Thimesch","Drury","Fr.","OF","45","181","61"
"","Chris Vazquez","Wingate","Jr.","SS","52","199","61"
"118","Casey Allison","Wingate","Jr.","OF","54","213","60"
"","Andrew Anderson","Ga. Southwestern","Jr.","INF","48","195","60"
"","Jorge Chavarria","Palm Beach Atl.","Fr.","SS","47","194","60"
"","David Christy","Limestone","Sr.","2B","52","207","60"
"","Zach Cohen","Angelo St.","Jr.","INF","47","157","60"
"","Alexi Colon","Tusculum","Jr.","OF","50","181","60"
"","Sean Cotten","Tusculum","Sr.","C","50","174","60"
"","Patrick Donahue","Tampa","Sr.","INF","43","156","60"
"","Jason Garcia","St. Mary's (TX)","Sr.","OF","47","165","60"
"","Evan Gazza","Davis & Elkins","Sr.","OF","42","154","60"
"","Brandon Gipson","Benedict","Sr.","C","40","130","60"
"","Derek Hooper","North Ga.","So.","INF","48","185","60"
"","Brain Laznik","Erskine","Sr.","OF","50","176","60"
"","Colt Loehrs","Arkansas Tech","Sr.","OF","45","174","60"
"","Keoni Manago","Hawaii Hilo","Sr.","OF","39","150","60"
"","Nick Markis","Arkansas Tech","Sr.","3B","43","159","60"
"","Jeremy Miller","Tex. Permian Basin","Sr.","OF","46","175","60"
"","Logan Parker","Northwest Nazarene","So.","OF","44","154","60"
"","Anthony Ragos","Davis & Elkins","So.","OF","42","158","60"
"","Ryan Rua","Lake Erie","Jr.","SS","41","150","60"
"","Bret Schwartz","Central Mo.","Jr.","SS","46","179","60"
"","Jordan Smith","St. Cloud St.","So.","OF","41","150","60"
"140","Tyler Bair","Grand Canyon","Sr.","OF","47","186","59"
"","Chad Balderman","Limestone","Fr.","OF","51","180","59"
"","Zak Blair","Mercyhurst","So.","INF","44","164","59"
"","Michael Brittian","Mars Hill","Sr.","OF","48","180","59"
"","Andrew Castaneda","Colorado St.-Pueblo","Jr.","OF","46","165","59"
"","Ladarrius Cole","West Ala.","Jr.","OF","41","166","59"
"","Charlie Dubanoski","Augustana (SD)","Sr.","INF","40","140","59"
"","Ryan Faison","Mount Olive","Sr.","INF","46","190","59"
"","Joey Frabasile","Belmont Abbey","Jr.","1B","46","161","59"
"","Chandler Goode","Tex. Permian Basin","Sr.","OF","46","170","59"
"","Brandon James","Lake Erie","Sr.","OF","41","141","59"
"","Dustin Lawley","West Fla.","Sr.","OF","48","184","59"
"","Keegan Morrow","Central Okla.","Jr.","OF","44","164","59"
"","Gelson Perez","Lincoln Memorial","Jr.","INF","49","176","59"
"","Ryan Porter","Rockhurst","Jr.","1B","43","151","59"
"","Ryan Saxon","Anderson (SC)","Sr.","2B","50","187","59"
"","Robert Skinner","Lander","Sr.","INF","49","170","59"
"","Chris Vazquez","Belmont Abbey","Sr.","C","45","166","59"
"","Jordan Whitman","Cal Poly Pomona","So.","OF","45","170","59"
"","Mitch Wolfe","Eastern N.M.","Sr.","INF","42","154","59"
"160","Mike August","Millersville","Jr.","SS","45","149","58"
"","Tucker Brown","Central Okla.","Jr.","INF","43","160","58"
"","Bryan Butcher","Morehouse","Jr.","C","41","142","58"
"","Grant DeBruin","Ala.-Huntsville","Jr.","INF","45","151","58"
"","Damon Elder","Tampa","Jr.","OF","45","164","58"
"","Garrett Furr","Catawba","So.","DH","50","193","58"
"","Matt Henriksen","Tusculum","So.","INF","48","168","58"
"","Matt Howard","Slippery Rock","Sr.","OF","44","149","58"
"","Robert Kelly","St. Anselm","So.","1B","44","160","58"
"","Michael Knox","Mount Olive","Jr.","DH","46","160","58"
"","Jason Nappi","Harding","Sr.","INF","45","149","58"
"","Luis Penate","Nova Southeastern","Sr.","INF","45","182","58"
"","Omar Velazquez","Adelphi","Sr.","OF","42","162","58"
"","Derrick Walls","Incarnate Word","Fr.","OF","47","179","58"
"","Casey Winckowski","Erskine","Sr.","INF","51","189","58"
"","Andre Yates","Southwestern Okla.","Jr.","2B","47","157","58"
"176","Bruce Alter","Columbus St.","Sr.","3B","45","175","57"
"","Ryan Bostian","Catawba","Jr.","OF","53","216","57"
"","Dion Bryant","Stillman","Jr.","OF","41","159","57"
"","Eric Deese","Ala.-Huntsville","Jr.","DH","44","152","57"
"","Collin Elmore","St. Edward's","Jr.","INF","42","174","57"
"","Carlos Guzman","Molloy","Fr.","OF","45","168","57"
"","Jed Hanson","Neb. Omaha","Sr.","INF","46","165","57"
"","Zane Hensley","Tarleton St.","Sr.","DH","46","162","57"
"","Joe Maloney","Limestone","Jr.","C","52","185","57"
"","Randy O'Dell","Brevard","Jr.","INF","41","147","57"
"","Michael Price","Armstrong","Sr.","OF","48","175","57"
"","Jerry Rodriguez","Tex. A&M-Kingsville","Sr.","INF","46","158","57"
"","Caleb Saggus","Augusta St.","Jr.","OF","47","181","57"
"","Mike Snyder","Fla. Southern","Jr.","INF","41","160","57"
"","Keith Whitman","UNC Pembroke","Sr.","OF","44","153","57"
"191","Rey Alvarez","Tex. A&M Int'l","Sr.","OF","47","177","56"
"","Stephen Bellantoni","S.C. Aiken","Jr.","OF","50","194","56"
"","Al Benson","Limestone","Jr.","OF","52","187","56"
"","Nick Bergeman","Upper Iowa","Sr.","OF","44","171","56"
"","Jacob Campbell","Albany St. (GA)","Fr.","OF","47","158","56"
"","Tyler Cappelmann","Francis Marion","Sr.","INF","47","168","56"
"","Rudy Casillas","Upper Iowa","Jr.","INF","44","167","56"
"","Kaleb Cunningham","Indianapolis","Sr.","INF","43","156","56"
"","Mike Dowd","Franklin Pierce","Jr.","C","43","160","56"
"","Austin Dubberly","Montevallo","So.","INF","39","159","56"
"","Alex Frederick","Armstrong","Jr.","SS","46","175","56"
"","Christian Glisson","Valdosta St.","Jr.","C","44","151","56"
"","Garrett Harris","Angelo St.","Jr.","OF","45","140","56"
"","Josh Hohn","Catawba","Sr.","C","51","184","56"
"","Joe Huwer","Eastern N.M.","Jr.","C","41","149","56"
"","Joey Ianiero","Bloomsburg","Sr.","INF","40","141","56"
"","Colin Kish","Fla. Southern","Jr.","OF","40","156","56"
"","Dane Kolkmeyer","Mo. Southern St.","So.","INF","38","138","56"
"","Matt McAllester","Ashland","Sr.","2B","45","148","56"
"","Abel Medina","Cal St. Dom. Hills","Sr.","3B","45","170","56"
"","Cody Pack","Lincoln Memorial","Sr.","OF","51","179","56"
"","Thomas Padro","Anderson (SC)","Jr.","INF","50","192","56"
"","Chris Pfau","Lincoln (MO)","Jr.","P","38","146","56"
"","Ryan Reddick","Pittsburg St.","So.","C","44","148","56"
"","Jake Rierson","Limestone","Jr.","P","52","170","56"
"","Tyler Ruch","Central Mo.","Sr.","INF","46","156","56"
"","Brian Simone","West Ala.","Sr.","OF","41","156","56"
"","Travis Taijeron","Cal Poly Pomona","Sr.","OF","45","153","56"
"","Drew Willingham","Erskine","So.","1B","51","195","56"
"220","Jared Allen","Ga. Southwestern","Sr.","INF","48","184","55"
"","Adrian Bringas","Cal St. Chico","Sr.","3B","40","146","55"
"","Dallas Burke","Mo. Southern St.","Jr.","C","41","140","55"
"","Jonathon Dalton","Carson-Newman","Sr.","OF","50","173","55"
"","Patrick Deao","Mo. Southern St.","Sr.","OF","46","167","55"
"","Daniel Dillard","Western Ore.","Sr.","OF","42","159","55"
"","Dan Hayduk","Mount Olive","Sr.","SS","44","165","55"
"","Brandon Hoefler","Fort Hays St.","Jr.","OF","44","175","55"
"","Derek Kline","Millersville","Sr.","1B","45","157","55"
"","Cam Kneeland","Mass.-Lowell","Jr.","INF","38","150","55"
"","Taye Larry","West Fla.","Jr.","OF","47","181","55"
"","Teddy Leverett","S.C. Aiken","Jr.","OF","46","170","55"
"","Bryan Lippincott","Concordia-St. Paul","Jr.","3B","29","118","55"
"","Sean McDonald","Northwest Nazarene","Jr.","OF","44","170","55"
"","Danny Nelson","Cal St. Monterey Bay","Jr.","INF","44","166","55"
"","Aj Nunziato","Lander","Jr.","INF","47","182","55"
"","Joel Potts","Drury","Sr.","3B","45","143","55"
"","Anthony Santa","Saint Leo","Jr.","INF","43","165","55"
"","John Sgromolo","Flagler","Jr.","1B","48","183","55"
"","Jon Shoutta","Regis (CO)","Fr.","1B","43","145","55"
"","Preston Shuey","Francis Marion","Sr.","1B","47","173","55"
"","David Silvas","Cal St. San B'dino","Jr.","OF","41","159","55"
"","Darryl Stringfield","Virginia St.","Sr.","P","47","154","55"
"","Drew Walker","Armstrong","Jr.","INF","48","166","55"
"","Kyle Zimmerman","Ouachita Baptist","Sr.","INF","47","170","55"
"245","Andrew Archer","Ga. Southwestern","Jr.","OF","48","180","54"
"","Patrick Arntson","Upper Iowa","Jr.","1B","44","158","54"
"","Cedric Belt","Lincoln (MO)","Sr.","OF","40","155","54"
"","Bret Blevins","Concord","Fr.","INF","40","149","54"
"","Justin Blinn","Southern Ind.","Sr.","OF","45","171","54"
"","John Bonebrake","Newman","Sr.","INF","46","165","54"
"","Tyler Choate","Southern Ind.","Sr.","P","45","154","54"
"","Brett Cisper","Northern Ky.","So.","INF","43","156","54"
"","Andy Cotton","Emporia St.","Sr.","INF","45","172","54"
"","J Cox","Virginia St.","Fr.","-","46","152","54"
"","Arrow Cunningham","Central Okla.","Sr.","C","43","133","54"
"","Patrick Daugherty","Georgia College","Jr.","OF","49","181","54"
"","Ryan Daughtry","Barton","Jr.","OF","43","161","54"
"","Chris Edgar","Millersville","Jr.","OF","44","146","54"
"","Ryan Engrav","Newman","Sr.","INF","42","158","54"
"","Kyle Jones","Sonoma St.","Sr.","OF","44","149","54"
"","Evan Kehoe","UC San Diego","Sr.","INF","46","160","54"
"","Zach Krueger","Metro St.","Sr.","OF","39","148","54"
"","Tyson Littlewood","Dixie St.","Jr.","INF","47","155","54"
"","Gavin Meyer","Quincy","So.","OF","44","157","54"
"","Cody Pate","Mars Hill","Jr.","INF","43","164","54"
"","Alec Rosales","Northwest Mo. St.","Jr.","OF","45","156","54"
"","Shannon Rush","Virginia St.","Sr.","INF","44","138","54"
"","Taylor Sibala","Pittsburg St.","Sr.","2B","42","166","54"
"","Frank Sirolli","Indiana (PA)","Sr.","OF","46","145","54"
"","Brandon Small","Albany St. (GA)","Jr.","SS","45","150","54"
"","Sloan Soulia","Fort Hays St.","Sr.","C","44","155","54"
"","Matt Toth","Lake Erie","Jr.","OF","39","138","54"
"","Marcus Weese","Davis & Elkins","Sr.","OF","42","146","54"
"","Corbin Williams","Albany St. (GA)","So.","2B","43","156","54"
"275","Nick Adams","Rollins","Jr.","INF","46","169","53"
"","Steve Anderson","Grand Valley St.","Jr.","OF","40","129","53"
"","Mike Barnhill","Armstrong","So.","2B","48","174","53"
"","Anthony Boza","Lynn","Jr.","1B","45","172","53"
"","Joey Bristyan","Grand Canyon","Jr.","OF","45","161","53"
"","Dustin Brown","Saint Leo","Jr.","OF","44","169","53"
"","Tony Brunetti","Rollins","Sr.","OF","45","172","53"
"","Trent Chapman","West Liberty","Sr.","OF","45","159","53"
"","Tom Deangelis","Seton Hill","Sr.","INF","39","138","53"
"","Christian Diaz","Mars Hill","Jr.","INF","48","169","53"
"","Brian Dice","Lenoir-Rhyne","Sr.","C","47","165","53"
"","Brian Erie","Northern Ky.","Sr.","C","41","147","53"
"","Will Fulmer","Montevallo","Fr.","INF","42","165","53"
"","Logan Gillis","Bentley","So.","INF","39","163","53"
"","Braxton Graven","Bellarmine","Sr.","OF","44","149","53"
"","Brad Hall","North Ga.","Sr.","INF","49","188","53"
"","Garret Keenan","Saint Rose","Sr.","OF","41","158","53"
"","Shane Latshaw","Mercyhurst","Jr.","OF","43","137","53"
"","Brett Mazmanian","Ouachita Baptist","Jr.","C","42","146","53"
"","Brock McCallister","Francis Marion","Jr.","INF","41","158","53"
"","Colby McCord","Neb. Omaha","Jr.","C","46","166","53"
"","Keith Morrisroe","Concord","Jr.","C","41","145","53"
"","Nigel Morton","Southwest Baptist","Sr.","INF","43","165","53"
"","Travis Murrary","Palm Beach Atl.","Jr.","C","49","175","53"
"","Chris Newcomb","Saint Leo","Fr.","OF","45","162","53"
"","Michael Niemann","Delta St.","Sr.","OF","46","170","53"
"","Chris O'Neil","Southern N.H.","Sr.","OF","42","168","53"
"","Ronald Patterson","Brevard","Sr.","OF","42","166","53"
"","Chris Rawlings","Barton","Jr.","INF","44","164","53"
"","Mark Sanborn","Mass.-Lowell","Jr.","1B","40","160","53"
"","Roberto Sanchez","Belmont Abbey","Sr.","INF","40","163","53"
"","Erick Sanderson","Anderson (SC)","So.","P","49","181","53"
"","Michael Schmidt","North Ala.","Jr.","INF","44","159","53"
"","Jason Solma","Mo. Western St.","So.","INF","44","136","53"
"","James Tedder","Wingate","So.","INF","51","181","53"
"","Jason Trulin","Neb.-Kearney","Sr.","OF","38","141","53"
"","Matt Umba","Wilmington (DE)","Sr.","SS","40","141","53"
"","Nate Valdez","Cameron","Sr.","INF","43","157","53"
"","Brad Vance","Southern Ind.","Jr.","C","45","175","53"
"","Andy Vogel","Newberry","So.","INF","50","186","53"
"","Christian Wise","Southwestern Okla.","Jr.","INF","44","166","53"
"316","Manny Acosta","Cal St. L.A.","Fr.","INF","45","152","52"
"","Matt Boulter","Southern N.H.","So.","SS","44","149","52"
"","Brad Bridgeman","UNC Pembroke","Jr.","OF","48","148","52"
"","Daniel Coffey","Mount Olive","Jr.","3B","46","165","52"
"","Jason Coker","UNC Pembroke","Sr.","INF","48","177","52"
"","Caleb Cole","Drury","Fr.","INF","45","162","52"
"","Corey Cowan","Newman","Jr.","INF","47","186","52"
"","Michael Dugan","Kutztown","Sr.","INF","39","141","52"
"","Tyler Hancock","Central Okla.","Jr.","INF","41","154","52"
"","Brian Hansen","St. Cloud St.","So.","OF","41","158","52"
"","Ricky Harris","Albany St. (GA)","Fr.","C","52","186","52"
"","David Harvey","Morehouse","Jr.","OF","37","119","52"
"","Shayne Houck","Kutztown","Jr.","INF","39","136","52"
"","Terrell Jones","North Ga.","Jr.","OF","39","155","52"
"","Joseph Leftridge","Angelo St.","Jr.","OF","45","155","52"
"","Eric Maupin","N.M. Highlands","Jr.","INF","42","133","52"
"","Kyle Meads","Elizabeth City St.","So.","INF","40","143","52"
"","Ernesto Ortiz","Grand Canyon","Jr.","SS","42","153","52"
"","Carmine Pellechia","Molloy","Jr.","OF","45","162","52"
"","Ryan Powers","Saint Leo","Sr.","INF","44","153","52"
"","Tyler Phan Thornton","Colorado Mines","Jr.","INF","44","172","52"
"","Kyle Webb","Concord","Sr.","INF","42","142","52"
"","Michael White","Stonehill","Jr.","OF","43","159","52"
"","Cody Young","Lock Haven","Sr.","SS","39","146","52"
"340","David Albritton","Emporia St.","Sr.","C","43","149","51"
"","Aaron Bauman","UC San Diego","Sr.","DH","45","168","51"
"","Nate Baumann","Augustana (SD)","Sr.","OF","39","144","51"
"","Trey Buck","Southern Ark.","Jr.","SS","45","143","51"
"","Seve Carbajal","Colo. Christian","Jr.","C","47","163","51"
"","Cody Coffman","Tusculum","Jr.","1B","47","145","51"
"","Gene Franks","West Va. Wesleyan","Sr.","OF","36","131","51"
"","Nate Fudala","Flagler","Jr.","INF","49","178","51"
"","Ryan Goodman","Cal Poly Pomona","Fr.","INF","45","190","51"
"","Dalton Hardee","Mars Hill","Sr.","INF","42","164","51"
"","Dan Hennigan","Franklin Pierce","Jr.","2B","43","154","51"
"","Eric Herman","Shippensburg","Jr.","INF","48","161","51"
"","Joseph Horsely","Lincoln Memorial","Jr.","INF","51","176","51"
"","Josh Huggins","West Fla.","Jr.","3B","47","162","51"
"","R.J. Knese","Drury","Sr.","C","45","165","51"
"","Preston Lyon","Pfeiffer","Jr.","INF","49","190","51"
"","C.J. Maszal","Wayne St. (MI)","Jr.","OF","37","121","51"
"","Jeff May","Lander","So.","C","44","168","51"
"","Blake May","Anderson (SC)","Jr.","INF","50","186","51"
"","Jacob Mays","Concord","Jr.","P","42","138","51"
"","Evan Melendez","Ashland","Sr.","OF","45","157","51"
"","Scot Palmer","Newman","Sr.","C","45","165","51"
"","Richard Pirkle","Georgia College","Sr.","C","50","167","51"
"","Vern Powell","Indiana (PA)","Sr.","3B","46","148","51"
"","Josh Riley","Arkansas Tech","Sr.","SS","45","158","51"
"","Zach Rowles","Minn. St. Mankato","Sr.","INF","41","155","51"
"","Mike Santora","Cal Poly Pomona","Jr.","INF","45","167","51"
"","Jordan Smith","Barton","Sr.","OF","44","161","51"
"","Zach Stone","Millersville","So.","3B","45","145","51"
"","Ryan Vanbeek","Northwest Nazarene","Sr.","C","44","160","51"
"","Josh Wenger","Concord","So.","INF","43","150","51"
"","Jordan White","Ky. Wesleyan","Jr.","OF","35","132","51"
"","Josh Young","Georgia College","Jr.","OF","49","176","51"
"","James Young","Barry","So.","3B","47","172","51"
"","Chris Zittrouer","Armstrong","So.","INF","47","160","51"
"375","A.J. Alexander","N.M. Highlands","Jr.","OF","41","132","50"
"","Blake Amaral","Hawaii Pacific","Jr.","INF","34","129","50"
"","Tyler Anthony","Central Mo.","Sr.","OF","46","131","50"
"","Bryce Baugh","West Tex. A&M","Jr.","INF","45","153","50"
"","Josh Beal","Stillman","Fr.","-","39","134","50"
"","Corey Benson","Ga. Southwestern","Fr.","OF","47","168","50"
"","Roberto Castillo","Tex. A&M Int'l","Jr.","P","42","139","50"
"","Josh Catalano","Chowan","Fr.","INF","47","156","50"
"","Craig Denman","Mercyhurst","Sr.","OF","44","147","50"
"","O'Koyea Dickson","Sonoma St.","Jr.","INF","44","158","50"
"","Patrick Dockendorf","Minn. St. Mankato","Jr.","INF","40","129","50"
"","Jimmy Franklin","Christian Bros.","Jr.","OF","44","163","50"
"","Jon Gray","Pfeiffer","Fr.","INF","49","190","50"
"","Cody Grice","Grand Valley St.","Jr.","OF","42","129","50"
"","Joe Halley","Cameron","Sr.","INF","45","159","50"
"","Gip Hendrix","Henderson St.","Sr.","OF","45","149","50"
"","Matt Jacobs","Mass.-Lowell","Jr.","OF","39","158","50"
"","David Kaplan","Metro St.","So.","2B","40","142","50"
"","Jesse Kinzey","Mo. Southern St.","Jr.","P","45","151","50"
"","Joe Kley","Winona St.","Sr.","OF","37","135","50"
"","Richard McCarren","Adelphi","Sr.","OF","42","150","50"
"","Devon Myers","Truman","Jr.","C","44","154","50"
"","Jordan Owens","Lander","Jr.","1B","42","155","50"
"","K. C. Pfister","Southeastern Okla.","Sr.","OF","43","152","50"
"","Noah Ringenberger","Northeastern St.","So.","OF","34","125","50"
"","Dan Robinson","Dominican (NY)","Sr.","OF","39","150","50"
"","Kyle Roden","Bellarmine","Sr.","C","43","132","50"
"","J.R. Roland","Abilene Christian","Jr.","OF","42","139","50"
"","Jake Sloan","North Ala.","Jr.","P","42","141","50"
"","Bob Terry","Regis (CO)","So.","OF","41","148","50"
"405","Branfy Arias","Tusculum","Sr.","OF","46","149","49"
"","Chris Ballou","Tex. A&M-Kingsville","Jr.","OF","42","141","49"
"","Michael Cantwell","St. Andrews","Sr.","OF","43","147","49"
"","Josh Carpenter","North Ala.","Fr.","SS","39","130","49"
"","Ryan Cook","Tex. A&M-Kingsville","Jr.","OF","39","144","49"
"","Kyle Cummings","Southern Conn. St.","Fr.","INF","37","147","49"
"","Michael Dushane","Tiffin","Jr.","OF","41","150","49"
"","Travis Echols","Georgia College","So.","3B","50","178","49"
"","Kalab Evans","Grand Canyon","Jr.","C","45","151","49"
"","Shawn Frigon","Assumption","Sr.","SS","42","165","49"
"","Tyler Gray","Ashland","Fr.","1B","43","144","49"
"","Josh Grenier","Saint Martin's","So.","DH","47","170","49"
"","Wess Hollins","Eckerd","Sr.","OF","44","156","49"
"","Trey Horn","West Tex. A&M","Sr.","INF","42","148","49"
"","Evan King","California (PA)","So.","INF","43","154","49"
"","Tanner Laran","Ark.-Monticello","Jr.","OF","40","140","49"
"","Vincent Malzahn","St. Thomas Aquinas","Sr.","1B","43","145","49"
"","Patrick Melvin","Miles","Sr.","1B","39","125","49"
"","Clayton Miller","Armstrong","Fr.","C","43","160","49"
"","Nathan Minnich","Shepherd","Jr.","1B","33","108","49"
"","Clay Mohr","N.M. Highlands","Jr.","OF","44","148","49"
"","Jared Mothershed","North Ala.","Sr.","OF","43","140","49"
"","Mark O'Flynn","Merrimack","So.","P","36","143","49"
"","Jordan Parker","Ala.-Huntsville","Sr.","INF","36","129","49"
"","Areo Regoli","Nova Southeastern","Jr.","OF","41","151","49"
