"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"47","Ryan Domschot","Adrian","Sr.","P","9","57.3","41","6.44"
"48","Dustin Andrus","Marian (WI)","Sr.","P","7","37.7","27","6.45"
"","Andrew Sinon","Gwynedd-Mercy","Jr.","P","9","37.7","27","6.45"
"50","Evan Hilberg","Linfield","Sr.","P","12","39.0","28","6.46"
"51","Shawn Marcelle","Newbury","Fr.","P","18","41.7","30","6.47"
"52","Kyle D'Alessio","Hardin-Simmons","Jr.","P","10","58.3","42","6.48"
"53","Cole Lentz","La Roche","Fr.","P","8","43.0","31","6.49"
"54","Ryan Healy","Amherst","Sr.","P","9","37.3","27","6.51"
"55","Kyle Smith","Brockport","Sr.","P","9","67.3","49","6.55"
"56","Andrew Aizenstadt","Babson","Sr.","INF","9","56.3","41","6.55"
"57","Zach Rafferty","Anna Maria","Sr.","P","10","45.3","33","6.56"
"58","Andrew LeBlanc","Clark (MA)","So.","P","8","52.0","38","6.58"
"59","Luke Westphal","Wis.-Oshkosh","Jr.","P","6","42.3","31","6.60"
"60","Cody Colly","Mount Union","Sr.","P","9","44.7","33","6.64"
"","James Womack","Lynchburg","Fr.","P","13","44.7","33","6.64"
"62","Wade Morris","Coe","So.","INF","11","58.0","43","6.67"
"63","Justin Kohls","Bethany Lutheran","Sr.","P","10","41.7","31","6.69"
"64","Aaron Schuldt","SUNY Cortland","Jr.","P","8","53.7","40","6.70"
"65","Matt Reynolds","Luther","Jr.","INF","8","44.3","33","6.70"
"66","Zach Lauersdorf","Wis.-La Crosse","Jr.","P","14","36.0","27","6.75"
"","Derek Miller","Tufts","Sr.","P","8","44.0","33","6.75"
"68","Curtis Arsi","Rowan","Jr.","P","9","57.3","43","6.75"
"","Brian Cubero","Lehman","Jr.","P","12","57.3","43","6.75"
"70","Eric Anderson","Whitworth","Sr.","P","11","43.7","33","6.80"
"71","Andy Lowe","Heidelberg","Sr.","P","24","45.0","34","6.80"
"72","Mark Larini","La Verne","Sr.","INF","14","83.3","63","6.81"
"73","Dylan Papa","Montclair St.","Fr.","P","12","50.0","38","6.84"
"74","Joel Pulliam","Central (IA)","Jr.","P","10","67.0","51","6.85"
"75","Cody Koback","Wis.-Stevens Point","Jr.","P","8","43.3","33","6.86"
"","Rob Rogers","Keystone","So.","P","9","43.3","33","6.86"
"77","Ben Klimesh","Trinity (TX)","Jr.","P","16","81.3","62","6.86"
"78","Travis Ratliff","SUNY Cortland","Sr.","P","9","49.7","38","6.88"
"79","Eric Howard","Lasell","Fr.","P","9","45.7","35","6.89"
"","Matt Ruth","Elizabethtown","So.","P","9","45.7","35","6.89"
"81","Sean Minor","WPI","Jr.","P","9","54.7","42","6.91"
"82","Corey Batista","Bridgewater St.","So.","P","9","52.0","40","6.92"
"83","Chad Rafferty","St. Joseph's (ME)","So.","P","7","45.3","35","6.95"
"84","Zach Schneider","Webster","Fr.","P","9","54.3","42","6.96"
"85","Phil Brua","Oberlin","Sr.","P","20","51.7","40","6.96"
"86","Kris Edwards","St. Thomas (MN)","Sr.","P","13","46.3","36","7.00"
"87","Albert Baez","Purchase St.","Sr.","P","9","55.3","43","7.00"
"88","Caleb Long","Emory","So.","P","8","43.7","34","7.00"
"89","C.J. Bula","Farmingdale St.","Jr.","P","10","57.7","45","7.02"
"90","Kalen Mace","Dubuque","Jr.","P","9","42.3","33","7.02"
"91","David Cydrus","Otterbein","So.","P","10","47.3","37","7.04"
"92","Brad Watson","Wartburg","Sr.","P","11","74.0","58","7.05"
"93","Chad Sherman","Texas-Tyler","Sr.","P","11","72.7","57","7.06"
"94","Nick Soldano","North Park","So.","INF","9","47.0","37","7.09"
"95","Augie Lindmark","Luther","Jr.","P","10","66.0","52","7.09"
"96","Joseph Lucas","Bridgewater (VA)","So.","P","13","86.3","68","7.09"
"97","Ben Hughes","St. Olaf","Jr.","P","9","50.7","40","7.10"
"98","Alexander Eliopoulos","Johns Hopkins","Jr.","P","10","56.7","45","7.14"
"99","Brad Fogle","Mount Union","Fr.","C","11","40.3","32","7.15"
"100","Ryan Taylor","Gettysburg","So.","P","10","74.3","59","7.15"
"101","Brad Higgins","Keystone","Sr.","P","8","44.0","35","7.16"
"102","Michael Bortolotti","Babson","Fr.","P","8","40.0","32","7.20"
"103","Mike Duranti","Frank. & Marsh.","Sr.","P","9","53.7","43","7.21"
"104","Kurt Neimeyer","SUNY Maritime","Fr.","3B","8","43.7","35","7.21"
"105","Mike Huyser","Simpson","Sr.","P","9","57.3","46","7.23"
"106","Adam Clements","Hope","Jr.","C","8","56.0","45","7.23"
"107","Anthony Collaro","Concordia Chicago","Sr.","P","6","42.3","34","7.23"
"108","Ben Lause","Centre","Jr.","P","9","51.0","41","7.24"
"109","David Nowaczyk","Benedictine (IL)","So.","P","6","36.0","29","7.25"
"110","Anthony Cavalier","Rutgers-Camden","Sr.","P","9","39.7","32","7.25"
"111","Brian Ranta","George Fox","Jr.","P","12","84.3","68","7.26"
"112","Evan Fitzpatrick","Dickinson","Sr.","INF","11","60.7","49","7.27"
"113","Eric Spring","Messiah","Sr.","P","9","48.3","39","7.27"
"114","John LaMoure","Cal Lutheran","Jr.","P","13","71.7","58","7.28"
"115","Teddy Smoyer","Hendrix","Jr.","P","11","59.3","48","7.28"
"116","Connor Cline","Saint John's (MN)","So.","P","7","40.7","33","7.30"
"117","Tim Verthein","Wis.-La Crosse","So.","P","8","43.0","35","7.33"
"118","Dave Ryan","Tufts","Jr.","P","9","41.7","34","7.34"
"119","Garrett Methvin","LeTourneau","So.","P","9","63.7","52","7.35"
"120","James Simmons","Hardin-Simmons","Jr.","P","20","42.7","35","7.38"
"121","Nathan Young","Salisbury","Sr.","P","8","50.0","41","7.38"
"122","Rocky Sawyer","Scranton","Jr.","P","9","48.7","40","7.39"
"123","A Beaule","Union (NY)","Fr.","-","7","37.7","31","7.40"
"124","Brian Koehl","Heidelberg","Sr.","P","9","54.7","45","7.40"
"125","Greg Goldsmith","Chris. Newport","So.","P","11","60.7","50","7.41"
"126","Ray Gerard","Monmouth (IL)","So.","P","8","43.7","36","7.41"
"127","Hobs Donovan","DePauw","Jr.","P","13","61.7","51","7.44"
"128","Russell Gilliam","Neumann","So.","P","10","52.0","43","7.44"
"129","Doug Papuga","Wentworth Inst.","Sr.","P","7","42.3","35","7.45"
"130","Paul Brown","Simpson","Sr.","P","8","47.0","39","7.47"
"131","Steven Dooley","Webster","So.","P","12","39.7","33","7.48"
"132","Emmett Goodman","Oglethorpe","So.","P","19","51.7","43","7.49"
"133","Brandon McCloskey","Widener","So.","P","7","36.0","30","7.50"
"","Jimmy Spagna","John Carroll","Fr.","1B","10","36.0","30","7.50"
"135","Jeff Borges","Salem St.","Sr.","P","12","56.3","47","7.51"
"136","Ken Smith","SUNY Oneonta","Sr.","P","9","50.3","42","7.51"
"137","Ryan Zamiskie","Penn St.-Behrend","Sr.","P","8","43.0","36","7.53"
"138","Jim Dimon","Eastern Conn. St.","Jr.","P","10","59.7","50","7.54"
"139","Philip Carkhuff","Dallas","Sr.","P","14","57.3","48","7.54"
"140","Will Daley","Dickinson","Fr.","P","8","37.0","31","7.54"
"","Collin Shaw","Mt. St. Joseph","Fr.","P","7","37.0","31","7.54"
"142","Roman Mondalto","Westfield St.","Jr.","P","8","47.7","40","7.55"
"143","Kory Cleveland","Texas-Tyler","Sr.","P","11","63.0","53","7.57"
"144","Justin D'Amato","St. John Fisher","Fr.","P","10","57.0","48","7.58"
"","Matt Regan","Juniata","Jr.","P","9","57.0","48","7.58"
"146","Kiel Jindra","MIT","Fr.","P","10","46.3","39","7.58"
"147","Brandon Simon","Willamette","So.","P","10","70.0","59","7.59"
"148","Kyle Hart","Redlands","So.","P","15","78.3","66","7.59"
"149","Max McKenna","Amherst","Sr.","P","8","51.0","43","7.59"
"","Michael Pinnola","SUNY New Paltz","So.","P","9","51.0","43","7.59"
