"Rank","Name","Team","Cl","Pos","G","AB","TB"
"59","Nick Alosco","Johnson & Wales (RI)","Sr.","INF","41","164","89"
"","Forrest Chadwick","Southern Me.","Fr.","INF","32","140","89"
"","Ricardo Lizcano","Heidelberg","Jr.","INF","35","131","89"
"","Pat Warrington","Southern Vt.","Jr.","OF","36","141","89"
"63","Dan Haugh","Wheaton (MA)","Jr.","INF","35","134","88"
"","Trey Martin","Wheaton (IL)","So.","3B","35","134","88"
"","Bill Pace","Neumann","So.","C","35","134","88"
"","Chris Sweeney","King's (PA)","So.","OF","34","126","88"
"67","Nate Carlson","Redlands","Sr.","INF","37","141","86"
"","Jason Henning","Redlands","So.","INF","36","136","86"
"","Matt Oliveto","FDU-Florham","Sr.","OF","32","123","86"
"","Luke Saunders","Chris. Newport","Jr.","INF","44","166","86"
"","Trey Such","Methodist","Jr.","C","44","150","86"
"","Montana Timmons","Wabash","So.","OF","41","150","86"
"","Brian Weeks","Hardin-Simmons","Sr.","INF","42","166","86"
"","Kyle Wooden","Guilford","Sr.","INF","35","135","86"
"","Justin Zeller","Wheaton (IL)","Jr.","OF","36","138","86"
"76","Jeff Donovan","Wis.-Whitewater","Sr.","INF","32","124","85"
"","Mike Galetta","Haverford","Sr.","3B","38","146","85"
"","Bobby Hillier","Thiel","Jr.","3B","35","130","85"
"","Brian Inghram","Methodist","Sr.","INF","44","156","85"
"","Corey McDonald","Worcester St.","Sr.","OF","34","116","85"
"","Ryan Normoyle","Washington Col.","Jr.","SS","35","142","85"
"","Andy Vega","Keystone","Sr.","OF","32","103","85"
"83","Conor Cavanagh","Lasell","Sr.","OF","36","125","84"
"","Zach Deutscher","North Park","Sr.","C","35","131","84"
"","Sam Hill","Birmingham-So.","Sr.","C","38","143","84"
"86","Devan Jones","Suffolk","Fr.","INF","39","142","83"
"","Esteban Meletiche","Keystone","Jr.","INF","34","122","83"
"","Jake Northrup","Endicott","Fr.","P","40","125","83"
"","Jacob Pierce","Va. Wesleyan","So.","C","35","124","83"
"","John Snyder","Marietta","Sr.","OF","32","119","83"
"91","Kevin Calbick","Trinity (TX)","Sr.","OF","37","135","82"
"","Jake Cintolo","Suffolk","Fr.","3B","39","145","82"
"","Jason Cohen","DePauw","So.","INF","40","144","82"
"","Brian Jordan","Randolph-Macon","Jr.","OF","42","166","82"
"95","Ryan Dudzinski","Western New Eng.","Sr.","OF","40","140","81"
"","Kenny Durling","Misericordia","So.","OF","34","129","81"
"","Zach Frentsos","Ohio Wesleyan","Sr.","OF","38","153","81"
"","Matt Hampp","Wittenberg","Jr.","C","37","138","81"
"","J.D. Hulse","Birmingham-So.","Sr.","OF","39","152","81"
"","Todd Keneborus","St. Joseph's (ME)","Sr.","OF","40","132","81"
"","David Kinney","Clarkson","Jr.","INF","30","119","81"
"","Michael Kovacs","Rose-Hulman","Sr.","OF","35","141","81"
"","Tripp Lancaster","Methodist","Sr.","OF","44","182","81"
"","Garrett Methvin","LeTourneau","So.","P","40","148","81"
"","Erik Munzer","Pomona-Pitzer","So.","OF","39","157","81"
"","Michael Pascarella","Pitt.-Bradford","Fr.","INF","31","102","81"
"","Clayton Truex","Linfield","So.","INF","37","129","81"
"","Drew Zuckerman","Transylvania","Sr.","C","29","106","81"
"109","Tony Deshler","Brandeis","Sr.","INF","41","162","80"
"","Tyler Hardcastle","Muskingum","Sr.","2B","34","139","80"
"","Jonathan Mason","Bridgewater (VA)","So.","OF","44","170","80"
"","Timothy Novom","Pomona-Pitzer","Fr.","OF","36","158","80"
"","Daniel Putnam","Wis.-Whitewater","Sr.","OF","32","135","80"
"","Mike Rubino","Western New Eng.","So.","INF","40","152","80"
"","Brandon Thigpen","Methodist","So.","INF","43","149","80"
"116","Anthony Defilippo","Waynesburg","Sr.","INF","35","125","79"
"","Josh Fredrick","Mary Hardin-Baylor","Jr.","INF","38","153","79"
"","Dan Gleiberman","Whittier","Sr.","3B","38","127","79"
"","Kevin Kloewer","Buena Vista","Sr.","C","33","118","79"
"","Hal Landers","Wheaton (MA)","Jr.","OF","35","156","79"
"","Christian Muscarello","Trinity (TX)","Fr.","INF","44","164","79"
"","Michael Pratt","St. Joseph's (ME)","So.","INF","40","129","79"
"","Ethan Rieker","Susquehanna","Jr.","INF","33","122","79"
"","Brady Roundtree","Anderson (IN)","Sr.","2B","35","141","79"
"","Ian Sanders","Franklin","Sr.","INF","34","128","79"
"126","Connor Bierfeldt","Western Conn. St.","So.","P","29","95","78"
"","Jeff Butera","Haverford","Sr.","OF","38","144","78"
"","Curtis Cornett","Piedmont","Jr.","INF","43","166","78"
"","Art Levenson","Rensselaer","Jr.","OF","32","124","78"
"","Shayne Paskanik","Va. Wesleyan","Jr.","OF","36","138","78"
"","Steve Seminerio","FDU-Florham","Jr.","SS","32","138","78"
"","Nathan Tomaszewski","LeTourneau","Jr.","INF","40","142","78"
"133","Kyle Billig","Washington-St. Louis","Fr.","OF","43","158","77"
"","LeJuan Edwards","Hardin-Simmons","Sr.","OF","42","164","77"
"","Zack Galasso","Saint Vincent","Jr.","OF","36","134","77"
"","Matt Gilbert","Rhodes","Sr.","P","43","166","77"
"","Ben Gresh","Ursinus","Jr.","OF","33","112","77"
"","Jay Hiller","Hardin-Simmons","So.","OF","40","159","77"
"","Oscar Ibieta","Schreiner","Sr.","1B","37","132","77"
"","Tim Knezovich","Ohio Wesleyan","Jr.","1B","38","139","77"
"","Angus Neary","Wilkes","Jr.","INF","35","116","77"
"","Joseph Odom","Huntingdon","Fr.","C","40","144","77"
"","Josef Schaetzle","Old Westbury","Sr.","DH","41","160","77"
"","Derek Smith","Pitt.-Bradford","So.","INF","31","105","77"
"","Christian Spurr","Ramapo","So.","INF","36","129","77"
"","Nick Stein","Coe","So.","OF","34","116","77"
"147","Shane Bennett","Mississippi Col.","Sr.","INF","40","153","76"
"","Ryan Miller","Wheaton (IL)","Jr.","SS","35","139","76"
"","Bobby Newman","Rose-Hulman","So.","3B","35","127","76"
"","Brandon Owashi","Redlands","Sr.","OF","36","155","76"
"","Mike Petti","Carthage","Sr.","OF","31","118","76"
"","Lynden Pindling","Rhodes","So.","SS","44","158","76"
"","Mathieu Vallieres","Neumann","Sr.","OF","26","101","76"
"","Dan Winterstein","George Fox","Sr.","OF","35","143","76"
