"Rank","Name","Team","Cl","Pos","App","IP","SV"
"","Gary Gurino-Burns","Caldwell","Fr.","P","8","12.7","3"
"","Jimmy Kelly","Palm Beach Atl.","Fr.","P","8","17.3","3"
"","Allen Rodarte","Cal Poly Pomona","Jr.","P","8","8.7","3"
"","Dominick Ruscitti","Kutztown","Fr.","-","8","16.3","3"
"","null Vernesoni","Fairmont St.","Fr.","-","8","8.7","3"
"","Ryan Beck","East Stroudsburg","Jr.","P","9","21.3","3"
"","Richie Mariano","Hawaii Hilo","Jr.","C","9","14.7","3"
"","Kyle Petty","California (PA)","So.","P","9","17.7","3"
"","Nick Anderson","Concordia-St. Paul","Sr.","P","11","41.7","3"
"","Brad Carter","Western Ore.","Sr.","P","11","14.3","3"
"","Kade Kauk","Central Okla.","Sr.","INF","11","16.3","3"
"","Chris Stallion","Oakland City","Jr.","P","11","31.3","3"
"","Christopher Whitney","Grand Valley St.","Fr.","P","11","36.7","3"
"","Cory Yuh","Hawaii Pacific","So.","P","11","28.0","3"
"","Chris Allard","Truman","Fr.","-","12","15.0","3"
"","Scottie Deason","Montevallo","Sr.","INF","12","14.0","3"
"","James Johndrow","Lincoln (MO)","Sr.","SS","12","18.3","3"
"","Kerry Schachenmeye","Washburn","Jr.","P","12","19.0","3"
"","John-Austin Shepard","Tusculum","Fr.","P","12","19.3","3"
"","Brian Shorkey","St. Edward's","Jr.","P","12","14.3","3"
"","Derek Wojcik","Winona St.","So.","INF","12","21.0","3"
"","Michael Cruz","Cal St. Dom. Hills","Jr.","P","13","31.0","3"
"","Peter Denyssenko","Concordia (NY)","Sr.","P","13","59.7","3"
"","Rob McCarty","Saint Michael's","So.","P","13","16.3","3"
"","Ryan Moore","Chowan","Fr.","P","13","22.7","3"
"","Evan Anderson","Post","So.","P","14","29.0","3"
"","James Mannara","Florida Tech","So.","P","14","22.0","3"
"","Blake Sills","Columbus St.","Sr.","P","14","15.3","3"
"","Steven Godowski","Bloomfield","Sr.","P","15","52.0","3"
"","Mario Madera","Upper Iowa","Jr.","P","15","26.3","3"
"","Patrick Mincey","Francis Marion","Sr.","P","15","22.3","3"
"","Wayne Richardson","Nyack","Sr.","INF","15","87.7","3"
"","Nate Van Bibber","Metro St.","Sr.","P","15","44.3","3"
"","Austin Brown","Mo. Southern St.","Jr.","P","16","38.7","3"
"","Dustin Bryant","Ala.-Huntsville","Sr.","P","16","51.7","3"
"","Gage Daniels","Newman","Jr.","P","16","43.7","3"
"","Leonard Giammanco","Cal St. Stanislaus","Sr.","P","17","36.3","3"
"","Dustin Haithcox","Brevard","Fr.","P","17","16.7","3"
"","Doug Shields","Southern Ark.","Jr.","P","17","62.3","3"
"","Randall Wright","West Ga.","So.","P","17","22.7","3"
"","Chris Villa","Tex. A&M Int'l","Jr.","P","18","22.3","3"
"","Seth Warren","Ill.-Springfield","Fr.","P","18","26.3","3"
"","Shawn Kale","Lynn","Jr.","P","19","44.3","3"
"","Justin Kuks","West Tex. A&M","Jr.","P","19","71.3","3"
"","Jake Guengerich","Fla. Southern","Jr.","P","20","37.7","3"
"","Taylor Hamilton","Colorado Mesa","Sr.","P","20","22.0","3"
"","John Markley","Winston-Salem","So.","P","20","54.0","3"
"","Zach Sneed","Abilene Christian","Sr.","P","21","59.3","3"
"","Kyle DiMartino","Dixie St.","Jr.","P","22","43.3","3"
"","Brett Kinsel","Emporia St.","Sr.","P","22","37.3","3"
"","Steven Starbird","Lincoln Memorial","Sr.","P","22","68.3","3"
"","Mike Mullen","Carson-Newman","Sr.","P","25","31.0","3"
"169","Michael Cardinale","Oakland City","So.","INF","4","3.0","2"
"","Nick D'Angelo","St. Thomas Aquinas","Fr.","OF","5","5.0","2"
"","Billy Ninemire","Harding","So.","INF","5","5.0","2"
"","Travis Bradshaw","Western Ore.","Jr.","P","6","8.0","2"
"","Ryan Rua","Lake Erie","Jr.","SS","6","5.7","2"
"","Cory Buckley","Neb. Omaha","Jr.","P","7","26.7","2"
"","Greg Gonzalez","Dominican (NY)","Fr.","P","7","11.3","2"
"","J.D. Ingalls","Lake Erie","So.","P","7","13.7","2"
"","Noah Ringenberger","Northeastern St.","So.","OF","7","7.7","2"
"","Stephen Castiglione","Southwestern Okla.","Jr.","OF","8","9.7","2"
"","Blake Culberson","Armstrong","Sr.","P","8","16.7","2"
"","Jason Lewis","West Virginia St.","Fr.","P","8","21.3","2"
"","Eric Panko","Clarion","Sr.","P","8","24.0","2"
"","Ryan Brezinski","Bemidji St.","So.","P","9","21.3","2"
"","Kevin Dultz","San Fran. St.","Sr.","C","9","23.7","2"
"","Eric Fowler","Armstrong","Jr.","P","9","11.7","2"
"","Jordan Kraus","Wheeling Jesuit","So.","P","9","34.3","2"
"","Michael Shepherd","Ohio Valley","Jr.","INF","9","9.3","2"
"","Kyle Weary","California (PA)","Fr.","P","9","13.3","2"
"","Andy Young","Mansfield","Jr.","P","9","34.0","2"
"","Cody Davis","Tampa","Jr.","OF","10","13.3","2"
"","Silas Dill","Southern Ind.","Jr.","P","10","22.0","2"
"","Joe Gunkel","West Chester","Fr.","P","10","49.3","2"
"","Ryan Hulme","California (PA)","Jr.","P","10","11.7","2"
"","null Kraft","Pittsburg St.","Fr.","-","10","10.3","2"
"","Stephen Marsar","Mercy","Sr.","P","10","28.3","2"
"","Chris Pfau","Lincoln (MO)","Jr.","P","10","47.3","2"
"","null Powers","Southern N.H.","Fr.","-","10","12.0","2"
"","Bryan Raines","Hawaii Hilo","Jr.","P","10","35.3","2"
"","Martin Arias","Bluefield St.","Sr.","P","11","26.3","2"
"","Aaron Baker","Central Mo.","So.","-","11","19.0","2"
"","Mark Fochesato","St. Thomas Aquinas","Sr.","P","11","37.0","2"
"","Bryan Jamieson","Bemidji St.","Sr.","P","11","17.7","2"
"","Joshua Karr","Wingate","Jr.","INF","11","14.7","2"
"","Justin Moore","Dominican (NY)","Jr.","P","11","59.3","2"
"","Andrew Reck","Neb. Omaha","Jr.","P","11","24.7","2"
"","Daniel Simmons","UC San Diego","Sr.","P","11","29.7","2"
"","Danny Torres","Cal St. Dom. Hills","Sr.","P","11","13.3","2"
"","Cori Warren","Rollins","Sr.","P","11","17.0","2"
"","Nick Wilson","Arkansas Tech","So.","P","11","20.0","2"
"","Randolph Brown","Claflin","Fr.","-","12","23.0","2"
"","Frank Cummings","Mercy","So.","OF","12","26.0","2"
"","Neil Hesek","St. Anselm","Jr.","P","12","58.7","2"
"","Brian Kilway","Lake Erie","Fr.","P","12","40.7","2"
"","Ted Nanez","Arkansas Tech","Jr.","P","12","17.3","2"
"","Samuel O'Neill","Mercyhurst","Jr.","P","12","18.3","2"
"","Chris Pascual","Hawaii Hilo","So.","P","12","37.7","2"
"","Jeff Rauh","UC San Diego","Jr.","P","12","31.3","2"
"","Jordan Schwellenback","Northwood (MI)","Fr.","P","12","20.7","2"
"","Josh Scott","Shippensburg","So.","P","12","33.7","2"
"","Marshall Stalvey","Saint Leo","Sr.","P","12","42.7","2"
"","Tyler Treinen","Fort Hays St.","Jr.","P","12","21.0","2"
"","Justin Watley","Cameron","Jr.","P","12","18.7","2"
"","Christian Wright","Davis & Elkins","Fr.","P","12","13.7","2"
"","Brent Hallmark","Delta St.","Sr.","P","13","12.3","2"
"","Joey Juarez","Colorado St.-Pueblo","Jr.","P","13","45.0","2"
"","Mackenzie King","Pace","Sr.","P","13","65.7","2"
"","Andrew Klausmeier","Cal St. Dom. Hills","So.","P","13","19.7","2"
"","Thomas Lee","Sonoma St.","Jr.","P","13","63.0","2"
"","Nick Lichtenberger","Rockhurst","So.","P","13","33.3","2"
"","Brandon Miller","Lander","So.","P","13","9.3","2"
"","Brice Rivenbark","Winston-Salem","Jr.","P","13","69.0","2"
"","Nicholas Albero","Dowling","So.","P","14","41.0","2"
"","Austin Bartley","Shippensburg","Fr.","P","14","16.0","2"
"","Jason Cochcroft","S.C. Aiken","Sr.","C","14","68.0","2"
"","Peter Herrin","Colorado Mines","Fr.","P","14","24.0","2"
"","Dustin Johnson","St. Edward's","Sr.","P","14","16.7","2"
"","Nick Mayle","Fairmont St.","Fr.","P","14","24.7","2"
"","Ajay Meyer","Ashland","Sr.","P","14","85.0","2"
"","Adam Ogburn","Rollins","Fr.","P","14","25.3","2"
"","Shane Sullivan","Wheeling Jesuit","So.","P","14","19.7","2"
"","T Unthank","Central Mo.","So.","-","14","18.3","2"
"","Tyler Carpenter","Columbus St.","Fr.","P","15","61.3","2"
"","Michael Franklin","Tusculum","Jr.","P","15","28.3","2"
"","Dylan Hochevar","Tusculum","Jr.","P","15","69.0","2"
"","Sadarius Lewis","Elizabeth City St.","Sr.","P","15","64.7","2"
"","Neil Pezzullo","Pace","Jr.","P","15","17.7","2"
"","Tom Piatt","Urbana","So.","P","15","19.3","2"
"","Sean Tracy","Coker","Jr.","P","15","61.3","2"
"","Ryan Brown","Northwest Nazarene","Jr.","P","16","19.7","2"
"","Kyle Christian","Newberry","So.","P","16","20.7","2"
"","Ben Currie","Wingate","Fr.","P","16","71.0","2"
"","Chris Hallett","Paine","Fr.","SS","16","55.7","2"
"","Andy Heston","Northern Ky.","Sr.","P","16","44.0","2"
"","Larry Plum","Salem Int'l","Jr.","P","16","37.3","2"
"","Darrin Tew","Lander","Sr.","P","16","40.7","2"
"","Hunter Aronson","Regis (CO)","So.","P","17","19.3","2"
"","Derek Benham","Colorado Mesa","Jr.","P","17","19.3","2"
"","Taylor Burns","Ouachita Baptist","Jr.","P","17","51.3","2"
"","Cody Church","Lincoln Memorial","Sr.","OF","17","40.0","2"
"","David Combs","Mount Olive","Sr.","P","17","29.3","2"
"","Mitchell Frazier","Barton","So.","P","17","24.3","2"
"","Riley McDermott","Anderson (SC)","Jr.","P","17","27.7","2"
"","Ken Nesbitt","Albany St. (GA)","Jr.","P","17","99.0","2"
"","Joe Tart","S.C. Aiken","Sr.","P","17","20.0","2"
"","Landon Wahl","Gannon","Jr.","P","17","37.7","2"
"","Cody Barrett","Ala.-Huntsville","So.","P","18","27.7","2"
"","Doug Carel","Southwestern Okla.","Jr.","P","18","38.3","2"
"","Cameron Falcon","Wingate","Sr.","P","18","26.3","2"
"","William Krasne","Rollins","Sr.","P","18","57.3","2"
"","Matthew Robinson","Georgia College","Fr.","INF","18","26.0","2"
"","Michael Von Stein","Stonehill","Jr.","P","18","19.7","2"
"","Ross Whitley","Catawba","So.","P","18","21.0","2"
"","Brian Willis","UNC Pembroke","Sr.","P","18","53.0","2"
"","Justin Burns","UC San Diego","Jr.","P","19","33.0","2"
"","Stephen Daneman","Ga. Southwestern","Sr.","P","19","39.0","2"
"","Taylor Grover","S.C. Aiken","Fr.","P","19","16.3","2"
"","Matt White","Rollins","Sr.","P","19","54.0","2"
"","Jake Paolinetti","Cal St. Monterey Bay","So.","P","20","30.3","2"
"","Phillip Quade","Cal St. Stanislaus","Jr.","P","21","30.3","2"
"","Jonathon Escobar","Tex. A&M-Kingsville","Fr.","-","22","20.0","2"
"","Casey Jones","North Ala.","Sr.","P","22","37.7","2"
"","Jeremy Smith","S.C. Aiken","Sr.","P","22","51.3","2"
"","T.J. Mullins","Barry","Jr.","P","23","42.0","2"
"","Kit Carter","Erskine","So.","P","27","33.3","2"
"","Tyler McKendree","Flagler","Sr.","P","27","38.0","2"
"","Andrew Thompson","Limestone","Jr.","P","30","31.0","2"
"","Kalen Hruza","Northwest Nazarene","Sr.","C","32","21.7","2"
