"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"153","Dan Gamache","Auburn","Jr.","INF","43","151","50","25","8","0","3","0.451"
"","Kevin Quaranto","Siena","Sr.","1B","44","133","38","30","15","6","0","0.451"
"155","Brandon Bayardi","UNLV","So.","OF","38","125","43","18","8","2","0","0.451"
"","Daniel Merck","Gardner-Webb","Sr.","INF","42","165","55","33","4","2","1","0.451"
"","Kenny Swab","Virginia","Sr.","C","38","120","37","23","9","1","1","0.451"
"158","Mark Onorati","Manhattan","Sr.","OF","38","146","51","11","16","0","2","0.451"
"159","Jacob Perales","A&M-Corpus Christi","Sr.","OF","46","162","57","25","5","1","1","0.451"
"160","Mel Skochdopole","Dayton","Fr.","INF","42","128","41","26","6","2","6","0.451"
"161","Jacob Daniel","Eastern Ky.","Jr.","OF","43","152","56","16","10","4","2","0.451"
"","Ryan Still","Houston","Sr.","2B","45","140","42","27","13","2","9","0.451"
"163","Brock Hebert","Southeastern La.","So.","INF","45","167","59","20","12","3","3","0.450"
"164","Tyler Forney","New Mexico St.","Jr.","INF","38","95","37","9","4","3","4","0.450"
"165","Taylor Shaw","Southern Utah","So.","C","37","118","37","18","13","2","1","0.450"
"166","Devon Travis","Florida St.","So.","2B","44","171","56","32","7","1","3","0.450"
"167","Doug Dekoning","Milwaukee","Sr.","OF","40","157","59","18","4","1","2","0.450"
"","David Herbek","James Madison","Sr.","SS","45","179","67","17","15","9","2","0.450"
"","Benji Jackson","Gardner-Webb","So.","-","35","111","35","25","3","1","2","0.450"
"","Scott Wingo","South Carolina","Sr.","INF","43","142","44","30","7","1","7","0.450"
"171","Joe Meggs","Washington","Jr.","OF","30","110","39","7","12","0","6","0.450"
"172","Kevin Plawecki","Purdue","So.","C","42","164","59","16","14","4","0","0.449"
"173","Phillip Ervin","Samford","Fr.","P","43","157","60","17","3","1","1","0.449"
"174","Ben Waldrip","Jacksonville St.","Jr.","1B","36","138","52","13","6","1","0","0.449"
"175","Ben Thomas","Xavier","Sr.","1B","40","161","62","19","3","4","0","0.449"
"176","Greg Zebrack","Penn","So.","OF","39","146","49","19","11","0","1","0.449"
"177","Aaron Buchanan","Lamar","Sr.","INF","45","164","47","40","9","1","2","0.449"
"178","Eddie Rohan","Winthrop","Sr.","C","45","167","58","22","11","3","0","0.448"
"179","Jeff Holm","Michigan St.","Sr.","1B","40","155","59","20","3","5","0","0.448"
"180","Brock Chaffin","Missouri St.","Jr.","DH","39","127","43","20","6","1","1","0.448"
"181","Kes Carter","Western Ky.","Jr.","OF","40","164","59","26","1","1","0","0.448"
"182","Jake Matuszak","Central Conn. St.","Jr.","OF","39","146","53","20","4","2","7","0.448"
"183","Jeff Cammans","Rhode Island","Jr.","OF","42","155","57","14","10","2","6","0.448"
"184","Jake Lowery","James Madison","Jr.","C","45","187","68","28","2","2","0","0.447"
"185","Will Faulkner","IPFW","Sr.","SS","38","138","50","19","3","1","1","0.447"
"","Juluis Green","Savannah St.","Jr.","INF","45","113","30","25","17","6","4","0.447"
"","Josh Wright","Old Dominion","Jr.","INF","38","137","48","19","5","0","4","0.447"
"188","Steve Fernandez","Saint Louis","So.","OF","33","92","27","27","1","3","0","0.447"
"189","Jeremy Patton","FIU","Jr.","INF","43","171","58","31","4","2","0","0.447"
"190","David Chester","Pittsburgh","Sr.","1B","41","150","48","30","6","2","0","0.447"
"191","Trent Cook","UNLV","Jr.","1B","46","186","74","17","1","2","1","0.447"
"192","Les Aulds","La.-Monroe","Jr.","INF","41","149","49","31","3","3","6","0.446"
"","Brandon Meredith","San Diego St.","Jr.","1B","42","142","41","32","10","2","0","0.446"
"","Mike Yastrzemski","Vanderbilt","So.","OF","43","141","42","33","8","4","7","0.446"
"195","Zach Briggs","South Dakota St.","Jr.","C","34","88","27","15","7","0","2","0.445"
"196","Matt Duffy","Tennessee","Sr.","3B","42","145","46","25","10","2","1","0.445"
"197","Tyler Hannah","Troy","Jr.","INF","44","165","57","25","6","2","7","0.444"
"","Brad Hook","South Ala.","Jr.","1B","43","133","41","30","5","3","0","0.444"
"","Trey Rallis","Yale","Sr.","INF","41","148","54","19","3","1","0","0.444"
"","Matt Rice","Western Ky.","Sr.","C","44","185","68","28","0","3","0","0.444"
"201","Pat Dameron","Delaware","Sr.","INF","43","168","59","29","3","5","0","0.444"
"","John McCambridge","Xavier","Sr.","INF","43","177","64","21","6","1","4","0.444"
"","Hunter Ridge","UNC Wilmington","So.","INF","44","175","64","23","4","3","0","0.444"
"204","Alex Dickerson","Indiana","Jr.","OF","43","169","62","21","4","2","0","0.444"
"205","Brian Martin","Pacific","Sr.","1B","39","155","57","20","2","1","1","0.444"
"","Harold Riggins","North Carolina St.","Jr.","INF","43","140","43","30","6","2","1","0.444"
"207","Brad Steinbach","St. Bonaventure","Sr.","3B","36","132","45","20","6","2","0","0.444"
"208","Michael Blanchard","Austin Peay","Jr.","OF","39","125","43","18","6","2","6","0.444"
"","Michael Letzter","Butler","Sr.","C","36","131","48","17","2","1","1","0.444"
"210","Brandon Eckerle","Michigan St.","Sr.","OF","40","175","69","15","2","2","2","0.443"
"211","Jace Peterson","McNeese St.","Jr.","INF","46","183","57","39","5","1","0","0.443"
"212","Seth Granger","McNeese St.","Jr.","OF","45","187","71","20","2","1","0","0.443"
"","Weston Lewis","Chicago St.","Jr.","OF","37","115","38","14","10","1","3","0.443"
"214","Zeke Blanton","Gardner-Webb","So.","-","33","106","33","23","2","0","1","0.443"
"215","Austin Wulf","Tennessee Tech","So.","OF","41","155","48","24","13","0","4","0.443"
"216","Dario Pizzano","Columbia","So.","OF","43","156","56","22","3","2","0","0.443"
"217","Vincent Mejia","Tex.-Pan American","Jr.","INF","37","136","47","24","2","3","0","0.442"
"","Paul Snieder","Northwestern","Jr.","INF","38","138","48","23","2","2","2","0.442"
"219","Jonathan Pace","Southeastern La.","Jr.","INF","46","174","60","22","10","2","7","0.442"
"220","Ronnie Richardson","UCF","So.","OF","44","163","49","27","15","1","1","0.442"
"221","Ryan Cypret","Ohio St.","So.","INF","36","141","51","16","5","1","1","0.442"
"","Danny Poma","Hofstra","Jr.","OF","37","140","52","12","8","3","2","0.442"
"223","Alex Baldock","Buffalo","So.","INF","38","143","50","17","8","2","0","0.441"
"224","Brian Rowry","Southern U.","Fr.","OF","35","135","47","15","9","2","0","0.441"
"225","Eldred Barnett","Grambling","Jr.","OF","40","152","54","25","3","6","0","0.441"
"226","Trentt Copeland","Evansville","Jr.","INF","39","131","47","17","3","1","5","0.441"
"","Mike McCarthy","Tex.-Pan American","Jr.","C","37","131","48","17","2","2","0","0.441"
"228","Chris Andreas","Sam Houston St.","Sr.","OF","46","174","60","27","6","4","0","0.441"
"229","Beau Amaral","UCLA","So.","OF","38","138","44","19","11","0","5","0.440"
"230","Ryan Emery","Arkansas St.","So.","DH","45","158","50","29","6","0","7","0.440"
"","Richie Shaffer","Clemson","So.","INF","44","153","47","31","7","2","0","0.440"
"232","Todd McRae","Troy","Sr.","C","42","126","40","17","13","3","7","0.440"
"233","Andrew Rash","Virginia Tech","So.","OF","42","158","56","17","8","1","0","0.440"
"234","T.J. Rich","Memphis","Jr.","1B","44","160","51","32","5","3","3","0.440"
"","Joey Rickard","Arizona","So.","OF","43","177","68","16","4","3","8","0.440"
"236","Ryan Fleming","Georgia St.","Sr.","OF","44","143","41","38","5","5","0","0.440"
"237","Matt Tenaglia","James Madison","So.","1B","45","168","58","28","5","6","0","0.440"
"238","Kevin Mihalik","Lehigh","Sr.","1B","44","155","55","24","1","2","1","0.440"
"239","Travis Jankowski","Stony Brook","So.","OF","40","137","51","16","2","2","3","0.439"
"","Jake Sharrock","Jacksonville St.","Sr.","SS","39","127","40","25","4","1","0","0.439"
"241","Shane Basen","Charlotte","So.","INF","43","157","48","39","0","2","7","0.439"
"","Nick Rickles","Stetson","Jr.","C","44","170","63","20","4","4","1","0.439"
"","Ryan Terry","Monmouth","Sr.","INF","43","175","65","15","7","1","0","0.439"
"244","Bryan Karraker","New Mexico St.","Jr.","OF","42","122","41","16","8","2","0","0.439"
"","Cory Turner","Radford","So.","OF","36","121","41","18","6","3","0","0.439"
"246","Jake Hibberd","Wright St.","Jr.","INF","40","173","69","11","3","2","2","0.439"
"","Dylan Pratt","East Tenn. St.","Jr.","OF","42","153","49","27","7","2","0","0.439"
"248","Jonathan Koscso","South Fla.","Sr.","INF","43","170","55","17","18","0","2","0.439"
"","Kyle Kubitza","Texas St.","Jr.","INF","44","163","49","37","4","1","2","0.439"
"","Justin Shults","UC Riverside","Sr.","INF","37","128","38","33","1","2","1","0.439"
"","Justin Wilson","Charlotte","Sr.","OF","44","168","58","31","1","5","2","0.439"
"252","Byron McKoy","Temple","Sr.","OF","41","178","68","21","4","9","1","0.439"
"253","Frank Solis","Jackson St.","Jr.","3B","39","143","48","25","2","1","4","0.439"
"254","Jeremy Gum","West Virginia","Sr.","DH","41","137","46","8","17","0","7","0.438"
"255","Casey Coy","Northern Colo.","Jr.","INF","42","141","44","24","10","3","1","0.438"
"","Sean Madigan","UC Irvine","Sr.","OF","40","140","44","29","5","4","3","0.438"
"257","Pete Lavin","San Francisco","Sr.","OF","44","182","64","26","2","0","0","0.438"
"258","Pete Leonello","LIU Brooklyn","Fr.","OF","40","141","47","26","1","1","3","0.438"
"259","Grant Buckner","West Virginia","Sr.","SS","43","159","57","14","10","2","7","0.438"
"260","Brett Botsford","Le Moyne","Jr.","OF","42","160","52","27","5","0","1","0.438"
"261","Taylor Dugas","Alabama","Jr.","OF","47","177","57","32","5","1","0","0.437"
"262","Spiker Helms","Missouri St.","Jr.","INF","41","161","49","33","5","0","2","0.437"
"263","Daniel Aldrich","Col. of Charleston","Fr.","OF","43","158","61","14","5","6","0","0.437"
"","Michael Lowe","Mississippi Val.","Jr.","OF","44","147","46","24","10","2","3","0.437"
"","Cameron Seitzer","Oklahoma","Jr.","INF","44","158","55","20","5","0","5","0.437"
"266","Erik Underwood","Jacksonville St.","Jr.","INF","42","145","54","15","4","3","3","0.437"
"","Danny Weiss","Davidson","Sr.","1B","38","129","37","31","5","2","1","0.437"
"268","Jeremy Maas","Penn","Sr.","P","36","141","52","11","6","0","2","0.437"
"269","Nick Camastro","Manhattan","So.","INF","38","115","38","14","10","3","11","0.437"
"270","Torsten Boss","Michigan St.","So.","INF","40","152","56","20","3","6","4","0.436"
"","Dan Marsh","Wright St.","Sr.","OF","40","147","45","24","10","0","9","0.436"
"272","Michael Carpen","Chicago St.","Sr.","2B","37","147","54","16","2","0","3","0.436"
"273","Darren Crabtree","Stephen F. Austin","Sr.","1B","43","156","52","29","1","2","0","0.436"
"","Dan Paolini","Siena","Jr.","2B","44","158","54","24","4","2","0","0.436"
"275","Rolando Gautier","Austin Peay","Fr.","OF","41","142","46","22","7","1","2","0.436"
"276","Jason Esposito","Vanderbilt","Jr.","INF","43","168","60","13","12","2","3","0.436"
"","Rafael Lopez","Florida St.","Sr.","C","39","124","38","26","4","2","1","0.436"
"278","Ryan Bernal","BYU","Sr.","1B","37","138","46","20","5","0","2","0.436"
"","Taylor Ratliff","Jacksonville","Fr.","INF","37","139","49","20","2","2","3","0.436"
"280","Derek Trent","East Tenn. St.","Sr.","C","42","160","58","16","7","3","0","0.435"
"281","Jeff Abt","Lamar","Jr.","OF","43","116","35","27","2","2","1","0.435"
"282","Nolan Earley","South Ala.","So.","OF","42","163","55","24","5","1","0","0.435"
"283","Anthony Flenoy","Texas Southern","Jr.","OF","40","140","51","14","5","2","7","0.435"
"","Chad Wright","Kentucky","Jr.","OF","45","172","57","21","12","2","6","0.435"
"","Austin Wynns","Fresno St.","So.","C","38","120","42","15","3","0","7","0.435"
"286","Jeff Bland","Navy","Sr.","C","45","134","37","26","13","2","4","0.434"
"287","Ennis Coble","Dartmouth","So.","INF","36","132","47","14","5","1","0","0.434"
"288","Jared Reaves","Alabama","Jr.","INF","47","171","61","21","7","6","2","0.434"
"289","Alan Denman","Campbell","Sr.","INF","42","147","47","19","16","7","1","0.434"
"","Daniel Russell","Eastern Mich.","So.","OF","42","161","54","23","5","0","4","0.434"
"291","Chad Salem","Manhattan","Sr.","INF","38","145","52","13","7","1","0","0.434"
"292","Steve Cochrane","Ga. Southern","Sr.","INF","44","160","55","29","1","6","1","0.434"
"293","Tristan Moore","Wright St.","Jr.","OF","39","146","49","22","4","1","7","0.434"
"294","Michael Adamson","Southeast Mo. St.","Sr.","OF","43","174","63","25","0","4","0","0.433"
"295","Will Skinner","Middle Tenn.","Sr.","OF","44","177","63","19","5","0","1","0.433"
"296","Will Davis","Penn","Sr.","C","39","138","42","23","9","1","0","0.433"
"297","Rafael Perez","Prairie View","Sr.","OF","39","118","40","19","2","2","3","0.433"
"298","Jj Edwards","Sacred Heart","Sr.","INF","43","164","65","10","2","2","11","0.433"
"","Jack Myers","Appalachian St.","Sr.","OF","41","162","61","15","1","0","1","0.433"
"300","Kyle Wren","Georgia Tech","Fr.","OF","45","191","71","20","2","2","2","0.433"
"301","Chris Benson","Utah Valley","Sr.","OF","38","173","69","9","2","1","0","0.432"
"","D.J. Hicks","UCF","Jr.","DH","43","158","56","24","0","3","1","0.432"
"","Andrew Karmeris","North Florida","Jr.","INF","41","158","55","22","3","2","0","0.432"
"304","Marquis Riley","N.C. A&T","Jr.","2B","44","166","59","22","2","2","0","0.432"
"","Zachary Voight","New Mexico St.","Jr.","3B","44","162","55","25","3","2","5","0.432"
"306","Nick Pulsonetti","Monmouth","Sr.","OF","39","138","47","21","2","1","0","0.432"
"307","Taylor Featherston","TCU","Jr.","SS","44","172","61","14","14","6","1","0.432"
"308","Joe Etcheverry","Northern Ill.","Sr.","1B","40","135","39","29","5","0","1","0.432"
"309","Jeremy Baltz","St. John's (NY)","So.","OF","39","143","44","28","7","5","1","0.432"
"310","Taylor Heon","Southeast Mo. St.","Sr.","INF","33","113","35","23","2","1","3","0.432"
"311","Nick Martini","Kansas St.","Jr.","OF","43","156","50","26","6","2","3","0.432"
"312","Trey Hernandez","A&M-Corpus Christi","Sr.","INF","45","158","50","34","1","4","0","0.431"
"313","Jordan Hankins","Austin Peay","Fr.","2B","40","133","47","17","2","1","0","0.431"
