"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"61","Tom Coughlin","Central Conn. St.","Sr.","P","2","13.0","8","5.54"
"62","John Maloney","High Point","Sr.","P","12","25.2","16","5.61"
"63","DJ Roche","NJIT","Sr.","P","4","20.2","13","5.66"
"64","Johnny Lieske","UAB","Jr.","P","7","33.1","21","5.67"
"65","Jeff Gold","Oregon","Sr.","P","6","39.2","25","5.67"
"66","Reed Garrett","VMI","Jr.","P","6","38.0","24","5.68"
"67","Grant Watson","UCLA","Jr.","P","6","41.0","26","5.71"
"68","Robert Tyler","Georgia","Fr.","P","7","33.0","21","5.73"
"69","Conor Fisk","Southern Miss.","Sr.","P","4","26.2","17","5.74"
"70","Jordan Brink","Fresno St.","Jr.","P","7","36.0","23","5.75"
"","Daniel Gossett","Clemson","Jr.","P","6","36.0","23","5.75"
"72","Nick Bates","Saint Louis","Jr.","P","7","29.2","19","5.76"
"73","Dan Savas","Illinois St.","Jr.","P","6","39.0","25","5.77"
"74","Lucas Whitehill","Brown","Sr.","P","3","9.1","6","5.79"
"75","Matt Fraudin","Gardner-Webb","Jr.","P","7","48.0","31","5.81"
"76","Scott Squier","Hawaii","Jr.","P","6","41.2","27","5.83"
"77","Carson Herndon","Liberty","Jr.","P","6","27.2","18","5.86"
"78","Cole Prejean","McNeese St.","Jr.","P","8","30.2","20","5.87"
"","Austin Robichaux","La.-Lafayette","Jr.","P","6","46.0","30","5.87"
"","Justin Thomas","Quinnipiac","Fr.","P","5","30.2","20","5.87"
"81","Montana Durapau","Bethune-Cookman","Sr.","P","9","52.0","34","5.88"
"82","Jason Foley","Sacred Heart","Fr.","P","6","21.1","14","5.91"
"","Dylan Nelson","Radford","So.","P","5","32.0","21","5.91"
"","Fernando Rosa","Rutgers","Fr.","P","6","21.1","14","5.91"
"85","David Hearne","Notre Dame","So.","P","10","35.0","23","5.91"
"","Bailey Ober","Col. of Charleston","Fr.","P","6","35.0","23","5.91"
"87","Bryan Chenoweth","Cincinnati","So.","P","8","22.2","15","5.96"
"88","Jalen Beeks","Arkansas","Jr.","P","6","34.2","23","5.97"
"89","Jon Keller","Alabama","Jr.","P","6","33.0","22","6.00"
"","Alex Palsha","Sacramento St.","Jr.","P","14","24.0","16","6.00"
"","Josh Prevost","Seton Hall","Sr.","P","6","48.0","32","6.00"
"","Jack Rogalla","Binghamton","Sr.","P","6","39.0","26","6.00"
"","Brycen Rutherford","Cal St. Northridge","Sr.","P","6","36.0","24","6.00"
"","Hunter Schryver","Villanova","Fr.","P","6","21.0","14","6.00"
"","Kyle Wilcox","Bryant","So.","P","4","18.0","12","6.00"
"96","Chris Ellis","Ole Miss","Jr.","P","6","40.1","27","6.02"
"97","George Michael","Delaware St.","So.","P","5","31.1","21","6.03"
"98","Michael Murray","FGCU","So.","P","6","44.2","30","6.04"
"99","Wil Crowe","South Carolina","Fr.","P","6","38.2","26","6.05"
"","Andrew Rohrbach","Long Beach St.","So.","P","6","38.2","26","6.05"
"101","Jacob Smigelski","UC Riverside","Sr.","P","5","35.2","24","6.06"
"102","Frankie Vanderka","Stony Brook","Sr.","P","5","32.2","22","6.06"
"103","Aaron Garza","Houston","Jr.","P","6","46.0","31","6.07"
"104","Lucas Bakker","Elon","Jr.","P","6","43.0","29","6.07"
"","Erick Fedde","UNLV","Jr.","P","6","43.0","29","6.07"
"106","Dylan Craig","Illinois St.","So.","P","6","37.0","25","6.08"
"","Luke Leftwich","Wofford","So.","P","6","37.0","25","6.08"
"108","Nolan Blackwood","Memphis","Fr.","P","13","23.2","16","6.08"
"109","Jeff Brigham","Washington","Jr.","P","6","34.0","23","6.09"
"","Zachary Fowler","Jacksonville St.","Jr.","P","6","34.0","23","6.09"
"","Zech Lemond","Rice","Jr.","P","8","34.0","23","6.09"
"","Andrew Woods","VMI","Jr.","P","6","34.0","23","6.09"
"113","Jared Gaynor","George Mason","Sr.","P","7","51.2","35","6.10"
"","Logan Jernigan","North Carolina St.","Jr.","P","6","31.0","21","6.10"
"115","Caleb Johnson","Eastern Ky.","Fr.","P","6","25.0","17","6.12"
"","Connor Jones","Virginia","Fr.","P","9","25.0","17","6.12"
"117","Corey Miller","Pepperdine","Sr.","P","6","47.0","32","6.13"
"118","Lee Lawler","Towson","So.","P","6","22.0","15","6.14"
"119","Harrison Musgrave","West Virginia","Jr.","P","6","41.0","28","6.15"
"120","Mick VanVossen","Michigan St.","Jr.","P","6","38.0","26","6.16"
"121","Josh Wirsu","Ga. Southern","Jr.","P","6","30.2","21","6.16"
"122","Brandon Fleming","Florida A&M","So.","P","14","23.1","16","6.17"
"123","John McGillicuddy","High Point","Jr.","P","6","43.2","30","6.18"
"124","Ben Ballantine","Michigan","Sr.","P","6","32.0","22","6.19"
"125","Cody Crouse","FIU","Fr.","P","6","29.0","20","6.21"
"126","Adam Hall","Xavier","So.","P","7","37.2","26","6.21"
"","Kolton Mahoney","BYU","So.","P","7","37.2","26","6.21"
"128","Aaron Myers","Longwood","Jr.","P","6","49.0","34","6.24"
"129","Michael Burke","Buffalo","Sr.","P","5","36.0","25","6.25"
"130","Steven Spann","Northwestern St.","Sr.","P","10","27.1","19","6.26"
"131","Aaron Hauge","Southern Ill.","Jr.","P","5","28.2","20","6.28"
"","Travis Hayes","Southeast Mo. St.","Jr.","P","9","28.2","20","6.28"
"133","Ben Tidwell","Troy","Jr.","P","7","24.1","17","6.29"
"134","Jeremy Null","Western Caro.","Jr.","P","6","44.1","31","6.29"
"135","Cameron Roegner","Bradley","So.","P","6","20.0","14","6.30"
"136","William Munro","Fresno St.","Jr.","P","6","25.2","18","6.31"
"137","Sean Fitzgerald","Notre Dame","Sr.","P","6","41.1","29","6.31"
"138","Steven O'Bryant","McNeese St.","Jr.","P","10","31.1","22","6.32"
"139","Kevin Duchene","Illinois","So.","P","5","37.0","26","6.32"
"140","Cale Elam","Wichita St.","Sr.","P","5","34.0","24","6.35"
"","Kaleb Jon Fontenot","McNeese St.","So.","P","7","22.2","16","6.35"
"142","David Koll","Bradley","Jr.","P","6","29.2","21","6.37"
"143","Brad Stone","North Carolina St.","So.","P","6","24.0","17","6.38"
"144","Jon Harris","Missouri St.","So.","P","5","31.0","22","6.39"
"","Chris Oliver","Arkansas","Jr.","P","6","31.0","22","6.39"
"146","Calvin Mathews","Iowa","So.","P","6","38.0","27","6.39"
"","Slater Lee","Cal Poly","Fr.","P","6","25.1","18","6.39"
"148","James Kaprielian","UCLA","So.","P","6","39.1","28","6.41"
"149","Thomas Eshelman","Cal St. Fullerton","So.","P","6","49.0","35","6.43"
"","Matt McCall","Ga. Southern","Sr.","P","15","28.0","20","6.43"
"151","Ross Mitchell","Mississippi St.","Jr.","P","9","43.1","31","6.44"
"","Tate Scioneaux","Southeastern La.","So.","P","6","43.1","31","6.44"
"153","Cameron Giannini","Southern Miss.","Sr.","P","6","36.1","26","6.44"
"154","Cameron Allen","UALR","Jr.","P","5","29.1","21","6.44"
"155","Thomas Thorpe","Oregon","Jr.","P","6","40.1","29","6.47"
"156","Nick Andros","Lipscomb","Jr.","P","7","25.0","18","6.48"
"157","Casey Mulholland","South Fla.","Jr.","P","6","34.2","25","6.49"
"158","Dustin Hunt","Northeastern","Fr.","P","5","26.1","19","6.49"
"159","Vaughn Hayward","Bryant","Sr.","P","5","18.0","13","6.50"
"","Alex Luna","UAB","Jr.","P","6","36.0","26","6.50"
"161","Cody Schumacher","Missouri St.","Sr.","P","6","37.1","27","6.51"
"162","Shane McCain","Troy","Sr.","P","6","40.0","29","6.53"
"163","Jared Poche'","LSU","Fr.","P","6","33.0","24","6.55"
"164","Kyle McKenzie","Tulane","Sr.","P","6","23.1","17","6.56"
"165","Reid Love","East Carolina","Jr.","P","6","26.0","19","6.58"
"","Lukas Schiraldi","Texas","Jr.","P","5","26.0","19","6.58"
"167","Ryan Williams","East Carolina","Sr.","P","14","41.0","30","6.59"
"168","Ben Smith","Coastal Caro.","Jr.","P","6","28.2","21","6.59"
"","Jared West","Houston","So.","P","6","28.2","21","6.59"
"170","Taylor Jones","Gonzaga","So.","P","5","32.2","24","6.61"
"","Dirk Masters","Sam Houston St.","So.","INF","6","32.2","24","6.61"
"172","Anthony Marzi","UConn","Sr.","P","6","36.2","27","6.63"
"173","Max Cordy","UC Davis","So.","P","4","20.1","15","6.64"
"","Stephen Moore","Navy","Jr.","P","6","40.2","30","6.64"
"175","Trent Thornton","North Carolina","So.","P","6","42.0","31","6.64"
"176","Harry Stanwyck","UC Davis","Sr.","P","5","28.1","21","6.67"
"177","John Sheehan","William & Mary","Sr.","P","5","29.2","22","6.67"
"178","Alex Klonowski","Northern Ill.","Sr.","INF","6","33.2","25","6.68"
"179","Scott Schultz","Oregon St.","Sr.","P","9","35.0","26","6.69"
"180","Benton Moss","North Carolina","Jr.","P","6","43.0","32","6.70"
"181","Elliot Ashbeck","Bradley","So.","P","4","20.0","15","6.75"
"","Chad Bradford","UALR","So.","P","6","25.1","19","6.75"
"","Preston Brown","Mississippi St.","So.","P","7","32.0","24","6.75"
"","Justin Jacome","UC Santa Barbara","So.","P","5","34.2","26","6.75"
"","Matt McCormick","LIU Brooklyn","Sr.","P","5","24.0","18","6.75"
"","Andrew McGee","Monmouth","Sr.","P","5","36.0","27","6.75"
"","Aaron Rhodes","Florida","So.","P","12","28.0","21","6.75"
"","David Stagg","Indiana St.","Jr.","P","6","38.2","29","6.75"
"","Chris Viall","Stanford","Fr.","P","5","24.0","18","6.75"
"190","Aaron Brown","Pepperdine","Jr.","OF","6","42.1","32","6.80"
"191","Matt Cooper","Hawaii","Sr.","P","6","41.0","31","6.80"
"","A.J. Reed","Kentucky","Jr.","P","6","41.0","31","6.80"
"193","Justin Alleman","Michigan St.","So.","P","6","37.0","28","6.81"
"","Christian Trent","Ole Miss","So.","P","6","37.0","28","6.81"
"195","Mike Shawaryn","Maryland","Fr.","P","6","35.2","27","6.81"
"196","Brad Kuntz","Baylor","Jr.","P","6","33.0","25","6.82"
"197","Heath Dwyer","VCU","Jr.","P","5","31.2","24","6.82"
"","Christopher Mourelle","FIU","Fr.","P","7","31.2","24","6.82"
"199","Koby Gauna","Cal St. Fullerton","Jr.","P","9","30.1","23","6.82"
"","Aaron Michel","Western Ill.","So.","P","5","30.1","23","6.82"
