"Rank","Name","Team","Cl","Pos","App","IP","SV"
"","Robert Huber","Duke","Sr.","P","12","17.2","4"
"","Jacob Knott","Lipscomb","Sr.","P","12","23.1","4"
"","Jake Shull","Fresno St.","So.","P","12","14.2","4"
"","Travis Burnette","Longwood","So.","P","13","28.1","4"
"","Aaron Fossas","Wake Forest","So.","P","13","21.2","4"
"","Bryan Sova","Creighton","Sr.","P","13","16.2","4"
"","Ralph Garza Jr.","Oklahoma","So.","P","15","19.2","4"
"","Marc Picciola","Nicholls St.","Sr.","P","15","18.2","4"
"","Morgan Pittman","Mercer","Jr.","P","16","25.1","4"
"94","J.D. Davis","Cal St. Fullerton","Jr.","INF","5","5.0","3"
"","Michael Foster","Northeastern","Jr.","INF","5","7.0","3"
"","Tyler Powell","Western Caro.","Jr.","P","5","4.2","3"
"","Tucker Rekucki","Bucknell","Jr.","P","5","7.1","3"
"","Brett Schreiber","Hofstra","Sr.","P","5","12.2","3"
"","Ryan Cook","Richmond","Jr.","P","6","16.1","3"
"","Chris Garza","Houston Baptist","Jr.","P","6","10.0","3"
"","Kyle McKenzie","Tulane","Sr.","P","6","23.1","3"
"","Robert Pearson","Texas Southern","Jr.","INF","6","8.0","3"
"","Eric Snyder","Fairleigh Dickinson","Jr.","P","6","7.1","3"
"","Cameron Stone","Stony Brook","Fr.","P","6","14.0","3"
"","Tanner Anderson","Harvard","Jr.","3B","7","22.1","3"
"","Kevin Casey","William & Mary","Sr.","INF","7","8.1","3"
"","Nick Cassell","Lehigh","Sr.","P","7","17.1","3"
"","Matt Dennis","Bradley","Fr.","P","7","13.1","3"
"","Jonathan Holder","Mississippi St.","Jr.","P","7","13.2","3"
"","Brent Mason","UALR","So.","P","7","7.2","3"
"","Dalton Sawyer","Minnesota","So.","P","7","15.0","3"
"","Travis Thomas","VMI","Sr.","P","7","6.1","3"
"","Matt Trowbridge","Central Mich.","Jr.","P","7","7.1","3"
"","Zach Batchelor","Temple","Jr.","P","8","10.2","3"
"","Greg Brody","Belmont","Sr.","INF","8","7.2","3"
"","Nick Burdi","Louisville","Jr.","P","8","8.0","3"
"","Taylor Chris","Cal Poly","Jr.","P","8","14.2","3"
"","Tyler Cohen","Loyola Marymount","Fr.","INF","8","11.0","3"
"","Timothy Davis","Georgetown","So.","P","8","12.0","3"
"","Michael Gunn","Arkansas","Jr.","P","8","11.0","3"
"","Tyler Jay","Illinois","So.","P","8","16.2","3"
"","Adam Lau","UAB","So.","OF","8","5.1","3"
"","Zech Lemond","Rice","Jr.","P","8","34.0","3"
"","Wynston McMartin","Miami (OH)","So.","P","8","12.2","3"
"","Jeremy Rhoades","Illinois St.","Jr.","P","8","25.0","3"
"","Josh Roeder","Nebraska","Jr.","P","8","6.2","3"
"","Dan Talley","Northern Colo.","Sr.","P","8","9.1","3"
"","Ryan Thomas","Marist","Fr.","C","8","10.0","3"
"","Brayden Torres","UNLV","So.","P","8","15.0","3"
"","Corey Walter","West Virginia","Sr.","P","8","11.2","3"
"","Reagan Bazar","La.-Lafayette","Fr.","P","9","12.0","3"
"","Gabe Berman","Western Mich.","So.","P","9","14.2","3"
"","Morgan Croft","Arkansas St.","Sr.","P","9","21.0","3"
"","Montana Durapau","Bethune-Cookman","Sr.","P","9","52.0","3"
"","Houston Hibberd","San Francisco","Sr.","P","9","20.1","3"
"","Nick Hibbing","Iowa","Jr.","P","9","10.2","3"
"","Colin Milon","George Washington","Sr.","P","9","15.1","3"
"","Craig Pearcy","Morehead St.","So.","P","9","24.2","3"
"","Luke Scherzer","Virginia Tech","Fr.","P","9","14.1","3"
"","Joseph Shaw","Dallas Baptist","So.","P","9","15.0","3"
"","Kevin Burgee","Georgia St.","Jr.","P","10","11.0","3"
"","Jared Carkuff","Austin Peay","So.","P","10","13.0","3"
"","Dustin Carlson","LIU Brooklyn","Jr.","P","10","11.2","3"
"","Mike Gomez","FIU","---","P","10","10.2","3"
"","Josh Laxer","Ole Miss","Jr.","P","10","15.2","3"
"","Thomas Lowery","UAB","Fr.","P","10","21.2","3"
"","J.D. Moore","South Dakota St.","Jr.","P","10","7.1","3"
"","Logan Onda","UTSA","Jr.","P","10","24.2","3"
"","Matt Saeta","Davidson","Jr.","P","10","11.1","3"
"","Kevin Walsh","Ark.-Pine Bluff","Jr.","P","10","8.2","3"
"","Charlie Butler","Maine","Fr.","P","11","22.1","3"
"","Adam Cherry","La Salle","Jr.","P","11","15.0","3"
"","Dan Hyatt","Morehead St.","Sr.","P","11","10.2","3"
"","Billy Laing","Butler","Sr.","P","11","22.0","3"
"","Matt Lees","VCU","Jr.","P","11","18.0","3"
"","Daniel Przeniczny","Xavier","Jr.","P","11","9.1","3"
"","Scott Robinson","UNC Asheville","Sr.","P","11","9.2","3"
"","Terrance Dedrick","Auburn","Sr.","P","12","13.0","3"
"","Danny Fernandez","Lamar","Jr.","P","12","15.1","3"
"","Thomas Gill","VCU","Jr.","P","12","18.0","3"
"","Ryan Harris","Florida","Jr.","P","12","16.1","3"
"","Jason Jester","Texas A&M","Sr.","P","12","12.2","3"
"","John Maloney","High Point","Sr.","P","12","25.2","3"
"","Adam Maxon","Jacksonville","Sr.","P","12","14.2","3"
"","Jordan Piche'","Kansas","Sr.","P","12","23.1","3"
"","Zach Plesac","Ball St.","Fr.","P","12","33.1","3"
"","Troy Rallings","Washington","So.","P","12","19.2","3"
"","Aaron Rhodes","Florida","So.","P","12","28.0","3"
"","Marc Skinner","Troy","---","P","12","14.2","3"
"","Nolan Blackwood","Memphis","Fr.","P","13","23.2","3"
"","Scott Effross","Indiana","So.","P","13","24.2","3"
"","Reece Karalus","Santa Clara","So.","P","13","15.0","3"
"","Brant Masters","Furman","Sr.","P","13","11.0","3"
"174","Ben Ancheff","Central Ark.","Jr.","P","3","2.2","2"
"","Josh Ingham","Central Conn. St.","Sr.","INF","3","6.0","2"
"","Will Cox","Mississippi St.","Jr.","P","4","8.0","2"
"","Brian Glowicki","Minnesota","Fr.","P","4","7.1","2"
"","Cale Hanson","Yale","Sr.","INF","4","3.0","2"
"","Juliene Jones","Hawaii","So.","OF","4","3.2","2"
"","Craig Lanza","UC Davis","Jr.","P","4","1.2","2"
"","Jay Flaa","North Dakota St.","Jr.","P","5","9.1","2"
"","Cory Folk","Buffalo","Sr.","P","5","11.2","2"
"","Greg Harrison","Furman","Sr.","1B","5","4.1","2"
"","Trevor Jaunich","North Dakota St.","Jr.","P","5","12.2","2"
"","Andrew Massey","Gardner-Webb","So.","P","5","6.1","2"
"","Mike Adams","Wagner","So.","P","6","8.1","2"
"","Nygeal Andrews","Radford","So.","INF","6","10.2","2"
"","Ian Bentley","NJIT","So.","P","6","14.0","2"
"","Jason Foley","Sacred Heart","Fr.","P","6","21.1","2"
"","Conor Krauss","Seton Hall","Jr.","P","6","11.0","2"
"","Bryce Lahrman","Dayton","Sr.","P","6","12.1","2"
"","Josh Martinez","Houston Baptist","Jr.","INF","6","12.1","2"
"","Ryan McCranie","Savannah St.","So.","C","6","8.0","2"
"","Nick Morrissey","Sacred Heart","Jr.","P","6","15.0","2"
"","Jeff Paglione","Monmouth","Jr.","P","6","6.1","2"
"","Kyle Pruemer","Southern Ill.","Fr.","P","6","7.0","2"
"","Steven Schuler","Saint Joseph's","Sr.","P","6","7.0","2"
"","Jonathan York","Princeton","Sr.","INF","6","12.2","2"
"","Mike Bunal","Binghamton","So.","OF","7","9.2","2"
"","Max Carter","Bakersfield","Fr.","INF","7","10.0","2"
"","Will Dennis","Seattle","So.","P","7","11.1","2"
"","Rafael Diaz","Southern U.","Jr.","P","7","10.2","2"
"","Clayton Haltom","Tex.-Pan American","Jr.","OF","7","5.2","2"
"","Pat Haynes","Western Mich.","So.","P","7","11.0","2"
"","John Houston","UT Martin","Sr.","P","7","9.1","2"
"","Kevin Hughes","Buffalo","Sr.","P","7","18.1","2"
"","Trevor Lacosse","Bryant","Jr.","P","7","12.1","2"
"","Trent Lunsford","Indiana St.","Fr.","P","7","15.1","2"
"","Hayden McCutcheon","Col. of Charleston","Fr.","P","7","13.0","2"
"","Kenny Oakley","UNLV","So.","P","7","30.2","2"
"","Jon Olczak","North Carolina St.","So.","P","7","7.1","2"
"","Peter Resnick","Bradley","So.","P","7","17.1","2"
"","Trent Shelton","Oregon St.","Fr.","P","7","9.1","2"
"","Bryan Chenoweth","Cincinnati","So.","P","8","22.2","2"
"","Jason Driver","Winthrop","Sr.","P","8","17.0","2"
"","Myles Gentry","Mississippi St.","So.","P","8","12.2","2"
"","Christian Hull","Southeast Mo. St.","Sr.","P","8","21.2","2"
"","Jake Matthys","Kansas St.","So.","P","8","7.2","2"
"","Garrett Nimmo","Bakersfield","Fr.","P","8","17.0","2"
"","Kyle Paul","Towson","Sr.","P","8","16.2","2"
"","Jack Quigley","Northwestern","Sr.","P","8","7.2","2"
"","Andre Rodriquez","Jackson St.","Sr.","P","8","16.0","2"
"","Erik Samples","USC Upstate","Jr.","INF","8","11.0","2"
"","Daniel Seeba","USC Upstate","Sr.","INF","8","9.0","2"
"","Eric Sharff","Delaware St.","Fr.","P","8","11.2","2"
"","Kevin Sprague","UC Riverside","Jr.","P","8","11.2","2"
"","James Traylor","South Ala.","Jr.","P","8","12.2","2"
"","Adam Tyson","Toledo","Sr.","P","8","8.2","2"
"","Dan Wertz","Sacred Heart","Jr.","P","8","9.2","2"
"","Tyler Wiedenfield","Stephen F. Austin","Jr.","P","8","16.2","2"
"","Andrew Bartek","Navy","So.","P","9","11.2","2"
"","Troy Barton","Eastern Ill.","Sr.","P","9","12.1","2"
"","Trevor Bettencourt","Tennessee","So.","P","9","13.1","2"
"","Tim Black","Central Mich.","Jr.","P","9","12.1","2"
"","Sean-Luke Brija","Gonzaga","So.","P","9","10.1","2"
"","Jake Cole","New Mexico","Jr.","P","9","16.2","2"
"","Michael Costello","Radford","Sr.","P","9","18.1","2"
"","Riley Ferrell","TCU","So.","P","9","12.1","2"
"","Koby Gauna","Cal St. Fullerton","Jr.","P","9","30.1","2"
"","Jacob Gosselin-Deschesnes","Maine","Jr.","P","9","21.1","2"
"","Hobie Harris","Pittsburgh","Jr.","P","9","22.1","2"
"","Travis Lakins","Ohio St.","Fr.","P","9","20.2","2"
"","Jacob Lindgren","Mississippi St.","Jr.","P","9","15.1","2"
"","Chad Michaud","Utah Valley","Jr.","P","9","9.0","2"
"","Zach Moreau","Grambling","Sr.","P","9","35.0","2"
"","Pascal Paul","West Virginia","Sr.","P","9","12.1","2"
"","Brian Poag","N.C. A&T","Jr.","P","9","24.0","2"
"","Armando Ruiz","Alabama St.","Jr.","P","9","10.2","2"
"","Desmond Russell","Jackson St.","Sr.","INF","9","44.2","2"
"","Janick Serrallonga","South Fla.","Sr.","P","9","21.1","2"
"","Geoff Soja","Niagara","Sr.","P","9","16.1","2"
"","Tyler Thorne","Stanford","Fr.","P","9","17.0","2"
"","Nathan Thornhill","Texas","Sr.","P","9","35.2","2"
"","Corey Wells","Ohio","Fr.","P","9","9.1","2"
"","Robert Whaley","Appalachian St.","Jr.","P","9","8.1","2"
"","Vincenzo Aiello","Rider","So.","P","10","11.2","2"
"","Jack Anderson","Penn St.","So.","P","10","22.0","2"
"","Kyle Davis","Southern California","So.","INF","10","13.1","2"
"","Taylor Edens","VMI","So.","P","10","19.0","2"
"","Michael Goldberg","Davidson","Sr.","P","10","13.1","2"
"","Brandon Kirkham","Lamar","Jr.","P","10","14.2","2"
"","Mason Klotz","Southeastern La.","So.","P","10","11.2","2"
"","Joe Kuzia","St. John's (NY)","Jr.","P","10","18.0","2"
"","Jake Lowery","Michigan St.","Fr.","P","10","9.1","2"
"","David Mahoney","UConn","Jr.","P","10","8.1","2"
"","Ethan McKenney","Bowling Green","Sr.","P","10","13.2","2"
"","Matt Meurer","Villanova","Sr.","P","10","21.1","2"
"","Ryan Moseley","Texas Tech","Fr.","P","10","17.2","2"
"","Alan Scott","Sam Houston St.","Sr.","P","10","21.2","2"
"","Kyle Shields","N.C. Central","Jr.","P","10","21.1","2"
"","Sam Sorenson","Navy","So.","P","10","16.2","2"
"","Sean Stutzman","Dallas Baptist","So.","P","10","18.2","2"
"","David Suarez","Illinois St.","Sr.","P","10","13.0","2"
"","Parker Bugg","LSU","Fr.","P","11","14.2","2"
"","Zack Erwin","Clemson","So.","P","11","25.0","2"
"","Redmond Floyd","Ark.-Pine Bluff","Sr.","P","11","9.2","2"
"","Devin Hemmerich","Norfolk St.","Fr.","P","11","26.0","2"
"","Brad Kirschner","Xavier","Fr.","P","11","18.2","2"
"","Seth Laigaist","New Orleans","Jr.","INF","11","20.0","2"
"","Shay Maltese","Cal St. Northridge","Sr.","P","11","21.2","2"
"","Jeremy McGowan","Troy","Jr.","P","11","19.2","2"
"","Greg Mosel","Southeast Mo. St.","Jr.","P","11","16.0","2"
"","Matt Sims","UTSA","Sr.","P","11","19.0","2"
"","Jacob Dorris","A&M-Corpus Christi","Jr.","P","12","14.1","2"
"","Jonny Drozd","Texas Tech","Sr.","P","12","25.1","2"
"","Tyler Jordan","Ball St.","Sr.","P","12","25.2","2"
"","Kaleb Keith","A&M-Corpus Christi","So.","P","12","17.0","2"
"","Sean Kennedy","Virginia Tech","So.","P","12","14.2","2"
"","Brad Nease","St. Mary's (CA)","Sr.","P","12","21.2","2"
"","Will Stillman","Wofford","So.","P","12","15.0","2"
"","Adam Swim","UNC Greensboro","Fr.","P","12","12.2","2"
"","Tyler Bray","La.-Monroe","Sr.","P","13","19.0","2"
"","Brandon Koch","Dallas Baptist","So.","P","13","15.0","2"
"","Hunter McIntosh","Alabama St.","So.","P","13","16.1","2"
"","Jordan Strittmatter","South Fla.","Jr.","OF","13","12.2","2"
"","Trent Thompson","UCF","Fr.","P","13","20.0","2"
"","Breckin Williams","Missouri","So.","P","13","17.0","2"
"","Ethan Wortkoetter","Presbyterian","Fr.","P","13","20.2","2"
"","Andy Cox","Tennessee","So.","P","14","32.0","2"
"","Ryan Williams","East Carolina","Sr.","P","14","41.0","2"
"","Bret Dahlson","Loyola Marymount","Sr.","P","16","19.1","2"
"","Justin McClavin","Kennesaw St.","Sr.","P","16","29.0","2"
