"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"66","Chad Salem","Manhattan","Sr.","INF","38","145","90","0.621"
"67","Luke Tendler","N.C. A&T","Fr.","INF","44","166","103","0.620"
"68","Steve Nikorak","Temple","Sr.","3B","41","176","109","0.619"
"69","Bo Reeder","East Tenn. St.","Jr.","INF","42","181","112","0.619"
"70","Derek Trent","East Tenn. St.","Sr.","C","42","160","99","0.619"
"71","Matt Holland","A&M-Corpus Christi","Sr.","INF","47","178","110","0.618"
"72","Ben Waldrip","Jacksonville St.","Jr.","1B","36","138","85","0.616"
"73","Ken Battiston","Eastern Mich.","Sr.","OF","42","169","104","0.615"
"74","Cameron Edman","Gonzaga","Sr.","C","39","135","83","0.615"
"75","Parker Hipp","New Mexico St.","So.","C","38","127","78","0.614"
"76","Mac Doyle","Wofford","Jr.","C","44","171","105","0.614"
"77","Alex Bacon","North Florida","Fr.","OF","39","150","92","0.613"
"78","Chris Burke","Iona","Jr.","INF","41","147","90","0.612"
"79","Tom Murphy","Buffalo","So.","C","38","139","85","0.612"
"80","Joey Rapp","La.-Monroe","Jr.","INF","43","157","96","0.611"
"81","Brendon Kelliher","George Washington","Sr.","OF","43","175","107","0.611"
"82","Jonathan Griffin","UCF","Sr.","INF","44","172","105","0.610"
"83","Jeremy Schaffer","Tulane","Jr.","C","44","164","100","0.610"
"84","Bryson Myles","Stephen F. Austin","Jr.","OF","43","179","109","0.609"
"85","Matt Gedman","Massachusetts","Sr.","SS","35","148","90","0.608"
"86","Trey Hernandez","A&M-Corpus Christi","Sr.","INF","45","158","96","0.608"
"","D.J. Hicks","UCF","Jr.","DH","43","158","96","0.608"
"88","Joe Sclafani","Dartmouth","Jr.","SS","38","155","94","0.606"
"89","Steve Ulaky","Delaware","Sr.","1B","44","190","115","0.605"
"90","Rance Roundy","UNLV","Sr.","OF","40","154","93","0.604"
"91","Chad Zurcher","Memphis","Jr.","INF","42","151","91","0.603"
"92","Jordan Sivertsen","Southern Ill.","Jr.","OF","43","148","89","0.601"
"93","Dan Gulbransen","Jacksonville","So.","OF","42","163","98","0.601"
"94","Brian Billigen","Cornell","Jr.","OF","36","120","72","0.600"
"","Kyle Borden","Rhode Island","Sr.","OF","36","110","66","0.600"
"","Drew Gadaire","Davidson","Jr.","OF","39","155","93","0.600"
"97","James Brooks","Utah","Jr.","INF","37","172","103","0.599"
"98","Tyler Naquin","Texas A&M","So.","OF","43","169","101","0.598"
"99","James Ramsey","Florida St.","Jr.","OF","44","164","98","0.598"
"100","Eric Helmrich","Marist","Jr.","DH","33","104","62","0.596"
"101","Kolten Wong","Hawaii","Jr.","INF","40","151","90","0.596"
"102","Erich Weiss","Texas","Fr.","3B","44","146","87","0.596"
"","Greg Zebrack","Penn","So.","OF","39","146","87","0.596"
"104","Mike McCann","Manhattan","Sr.","OF","38","136","81","0.596"
"105","Brad Miller","Clemson","Jr.","INF","37","126","75","0.595"
"106","Dusty Quattlebaum","Gardner-Webb","Jr.","INF","41","160","95","0.594"
"107","Jeff Holm","Michigan St.","Sr.","1B","40","155","92","0.594"
"108","Jacob Daniel","Eastern Ky.","Jr.","OF","43","152","90","0.592"
"109","Shaun Cooper","Utah","Jr.","OF","38","156","92","0.590"
"110","Andrew Parker","Towson","So.","C","40","129","76","0.589"
"111","Mark Onorati","Manhattan","Sr.","OF","38","146","86","0.589"
"112","Jarod Berggren","Northern Colo.","Jr.","OF","40","136","80","0.588"
"","Ben Thoma","Eastern Ill.","Jr.","OF","36","136","80","0.588"
"114","John Moreland","Mercer","Sr.","1B","44","143","84","0.587"
"115","Trey Mancini","Notre Dame","Fr.","INF","38","133","78","0.586"
"116","Ben Klafczynski","Kent St.","Sr.","OF","42","164","96","0.585"
"117","Dane Phillips","Oklahoma St.","So.","C","43","176","103","0.585"
"118","Chris Benson","Utah Valley","Sr.","OF","38","173","101","0.584"
"119","Nick Ciardiello","Holy Cross","Sr.","OF","48","168","98","0.583"
"120","Shane Kennedy","North Florida","Fr.","INF","31","103","60","0.583"
"121","Scott Davis","Delaware St.","Jr.","INF","43","158","92","0.582"
"122","Wilmy Marrero","Southern U.","Jr.","INF","40","155","90","0.581"
"123","Cameron Perkins","Purdue","So.","INF","42","181","105","0.580"
"124","Saxon Butler","Samford","Jr.","INF","45","176","102","0.580"
"125","Jonathan Davis","Central Ark.","Fr.","INF","36","128","74","0.578"
"126","Landon Anderson","Dallas Baptist","Jr.","OF","43","173","100","0.578"
"127","Colin Moran","North Carolina","Fr.","3B","43","161","93","0.578"
"128","Tim Smalling","Virginia Tech","Sr.","INF","45","187","108","0.578"
"129","Bob Donato","Bucknell","Jr.","OF","46","168","97","0.577"
"130","Tyler Jones","LIU Brooklyn","Jr.","C","41","137","79","0.577"
"131","Andrew Karmeris","North Florida","Jr.","INF","41","158","91","0.576"
"132","Stewart Ijames","Louisville","Jr.","OF","40","153","88","0.575"
"133","Zach Johnson","Oklahoma St.","Jr.","1B","42","160","92","0.575"
"","Jeff McVaney","Texas St.","Jr.","OF","44","160","92","0.575"
"","Matthew Scruggs","East Tenn. St.","Jr.","OF","42","160","92","0.575"
"136","Lee Orr","McNeese St.","Jr.","INF","46","195","112","0.574"
"137","Sean Deegan","Penn St.","Jr.","OF","40","169","97","0.574"
"138","Zach Rhodes","South Dakota St.","Jr.","DH","32","115","66","0.574"
"139","Eric Phillips","Ga. Southern","Jr.","INF","44","176","101","0.574"
"140","Mark Micowski","Georgia St.","Sr.","OF","46","190","109","0.574"
"141","Jarrod Parks","Mississippi St.","Sr.","3B","42","143","82","0.573"
"142","David Chester","Pittsburgh","Sr.","1B","41","150","86","0.573"
"143","Brance Rivera","TCU","Jr.","OF","44","178","102","0.573"
"144","Matt Rice","Western Ky.","Sr.","C","44","185","106","0.573"
"145","Michael Letzter","Butler","Sr.","C","36","131","75","0.573"
"146","Greg Brody","Belmont","Fr.","INF","45","152","87","0.572"
"147","Jake Hibberd","Wright St.","Jr.","INF","40","173","99","0.572"
"148","Ryan Terry","Monmouth","Sr.","INF","43","175","100","0.571"
"149","Robert Refsnyder","Arizona","So.","INF","43","170","97","0.571"
"150","Thomas Pope","UNC Wilmington","Jr.","OF","44","156","89","0.571"
"151","Ryan Aguayo","New Mexico St.","Sr.","INF","44","149","85","0.570"
"152","Jordan Steranka","Penn St.","Jr.","3B","41","167","95","0.569"
"153","Corey Davis","Wright St.","Jr.","C","38","146","83","0.568"
"154","Alex Foltz","James Madison","Sr.","OF","37","139","79","0.568"
"155","Jaycob Brugman","BYU","Fr.","OF","35","132","75","0.568"
"156","B.A. Vollmuth","Southern Miss.","Jr.","INF","40","162","92","0.568"
"157","Tyler Ogle","Oklahoma","Jr.","C","44","148","84","0.568"
"","Phil Sorensen","UT Martin","Fr.","INF","36","111","63","0.568"
"159","Eldred Barnett","Grambling","Jr.","OF","40","152","86","0.566"
"160","Hunter Ridge","UNC Wilmington","So.","INF","44","175","99","0.566"
"161","Will Davis","Penn","Sr.","C","39","138","78","0.565"
"","Nick Pulsonetti","Monmouth","Sr.","OF","39","138","78","0.565"
"163","Ryan Ferguson","Temple","Sr.","C","41","177","100","0.565"
"164","Trey Nielsen","Utah","Fr.","INF","36","131","74","0.565"
"165","Anthony Dilligard","Texas Southern","Jr.","OF","39","124","70","0.565"
"166","Peter O'Brien","Bethune-Cookman","Jr.","C","48","179","101","0.564"
"167","Dave Ciocchi","Binghamton","Jr.","1B","37","133","75","0.564"
"","Johnny Field","Arizona","Fr.","INF","39","133","75","0.564"
"169","Zack Helgeson","George Mason","Jr.","1B","47","181","102","0.564"
"170","Ryan Court","Illinois St.","Sr.","INF","40","142","80","0.563"
"171","Kris Bryant","San Diego","Fr.","3B","41","151","85","0.563"
"172","Brent Tanner","South Ala.","Sr.","C","43","167","94","0.563"
"173","Drew Turocy","Akron","Jr.","OF","41","160","90","0.563"
"174","Adam McFarland","Gardner-Webb","Jr.","OF","37","137","77","0.562"
"175","Cameron Logan","Texas Southern","Jr.","INF","34","98","55","0.561"
"176","Doug Dekoning","Milwaukee","Sr.","OF","40","157","88","0.561"
"177","Torsten Boss","Michigan St.","So.","INF","40","152","85","0.559"
"178","Ryan Bernal","BYU","Sr.","1B","37","138","77","0.558"
"179","Travis Shaw","Kent St.","Jr.","INF","42","165","92","0.558"
"180","Matt Hillsinger","Radford","Jr.","OF","43","174","97","0.557"
"181","Braden Kline","Cincinnati","Jr.","C","31","115","64","0.557"
"182","Mark Haddow","UC Santa Barbara","Sr.","OF","38","142","79","0.556"
"183","Steve Cochrane","Ga. Southern","Sr.","INF","44","160","89","0.556"
"184","Bryan Soloman","Eastern Ky.","Fr.","INF","44","169","94","0.556"
"185","Preston Tucker","Florida","Jr.","INF","44","178","99","0.556"
"186","Nick Ferdinand","Delaware","Jr.","OF","39","135","75","0.556"
"187","Justin Boudreaux","Southeastern La.","Jr.","INF","46","182","101","0.555"
"188","Kes Carter","Western Ky.","Jr.","OF","40","164","91","0.555"
"189","Ryan Wright","Louisville","Jr.","SS","43","166","92","0.554"
"190","Phillip Ervin","Samford","Fr.","P","43","157","87","0.554"
"191","Rony Rodriguez","Miami (FL)","Jr.","INF","44","141","78","0.553"
"192","Brandon Elliott","Murray St.","So.","INF","34","123","68","0.553"
"193","Ryan Behmanesh","Dallas Baptist","Jr.","1B","43","161","89","0.553"
"194","Anthony Rendon","Rice","Jr.","3B","44","143","79","0.552"
"195","Brant Jones","Longwood","Sr.","2B","40","163","90","0.552"
"196","Matt Williams","Liberty","Jr.","INF","44","174","96","0.552"
"197","Clint Moore","Army","Sr.","INF","39","149","82","0.550"
"198","Rand Ravnaas","Georgetown","Jr.","OF","43","171","94","0.550"
"199","Jeff Harkensee","Southeastern La.","Sr.","OF","46","182","100","0.549"
"","Derrick Workman","Mercer","Fr.","OF","46","182","100","0.549"
"201","Kyle Bluestein","Jacksonville St.","Jr.","OF","35","124","68","0.548"
"202","Joe Perez","Hofstra","Jr.","INF","37","135","74","0.548"
"203","Jason Esposito","Vanderbilt","Jr.","INF","43","168","92","0.548"
"204","Trevor Edwards","UNC Greensboro","Jr.","C","41","137","75","0.547"
"205","Johnny Bladel","James Madison","So.","OF","40","148","81","0.547"
"206","Shawn Payne","Ga. Southern","Sr.","OF","44","181","99","0.547"
"207","Mike McGee","Florida St.","Sr.","OF","43","150","82","0.547"
"208","Cory Turner","Radford","So.","OF","36","121","66","0.545"
"209","Chris O'Dowd","Dartmouth","So.","C","38","147","80","0.544"
"210","Phillip Chapman","Memphis","Sr.","C","43","160","87","0.544"
"","Ronnie Freeman","Kennesaw St.","So.","C","43","160","87","0.544"
"212","Chritien Matz","Ark.-Pine Bluff","Fr.","C","39","138","75","0.543"
"213","Brock Chaffin","Missouri St.","Jr.","DH","39","127","69","0.543"
"214","Michael Gallic","Marist","Sr.","OF","41","162","88","0.543"
"215","Matt Fleishman","Villanova","Jr.","OF","42","164","89","0.543"
"216","Marquis Riley","N.C. A&T","Jr.","2B","44","166","90","0.542"
"","Zach Stephens","Tennessee Tech","Fr.","1B","41","166","90","0.542"
"218","Zac Fisher","New Mexico St.","So.","C","38","120","65","0.542"
"219","Daniel Palka","Georgia Tech","Fr.","1B","45","170","92","0.541"
"220","Grant Buckner","West Virginia","Sr.","SS","43","159","86","0.541"
"221","Steve Antolik","High Point","Sr.","OF","44","174","94","0.540"
"222","Michael Chiaravalloti","Iona","Jr.","1B","35","100","54","0.540"
"","Phil Pohl","Clemson","Jr.","C","41","150","81","0.540"
"224","Greg Dupell","Navy","So.","INF","48","176","95","0.540"
"225","Alex Hudak","Fla. Atlantic","Jr.","OF","43","152","82","0.539"
"226","Matt Mack","Radford","Jr.","3B","43","165","89","0.539"
"227","Jeremy Maas","Penn","Sr.","P","36","141","76","0.539"
"","Jesse Wierzbicki","North Carolina","Sr.","1B","41","141","76","0.539"
"229","Rob Kral","Col. of Charleston","Jr.","C","45","154","83","0.539"
"230","Tim Egerton","Belmont","Sr.","OF","45","167","90","0.539"
"231","Alex Baldock","Buffalo","So.","INF","38","143","77","0.538"
"","Nate Woods","Belmont","Sr.","DH","43","156","84","0.538"
"233","Nathan Carter","Air Force","Sr.","OF","41","147","79","0.537"
"234","Ryan Burgess","Radford","So.","1B","37","95","51","0.537"
"235","Pete Diresta","Albany (NY)","Jr.","OF","34","136","73","0.537"
"236","Pablo Bermudez","FIU","Jr.","OF","41","159","85","0.535"
"237","Tommy Flynn","Mt. St. Mary's","Sr.","OF","38","146","78","0.534"
"238","Chad Oberacker","Tennessee Tech","Sr.","P","41","161","86","0.534"
"239","L.J. Mazzilli","Connecticut","So.","INF","44","182","97","0.533"
"240","Danny Avella","Monmouth","So.","INF","35","107","57","0.533"
"241","Tyler Hall","Central Mich.","Jr.","INF","44","169","90","0.533"
"","Tyler Sibley","Texas St.","Jr.","INF","41","169","90","0.533"
"243","Rob Lind","Georgia St.","Sr.","2B","46","154","82","0.532"
"244","Zach Noonan","Murray St.","Sr.","OF","39","139","74","0.532"
"245","Zach Wright","East Carolina","Jr.","C","44","158","84","0.532"
"246","Robby Newman","Longwood","Jr.","OF","39","111","59","0.532"
"247","Andrew Cain","UNC Wilmington","Jr.","INF","41","160","85","0.531"
"248","Cole Frenzel","Arizona","So.","INF","43","162","86","0.531"
"249","Jason Banos","Columbia","Sr.","OF","37","130","69","0.531"
"250","Justin Riddell","Cincinnati","Sr.","OF","40","149","79","0.530"
"251","Billy Goldman","Lehigh","Sr.","OF","36","134","71","0.530"
"252","Matt Tenaglia","James Madison","So.","1B","45","168","89","0.530"
"253","Garrett Buechele","Oklahoma","Jr.","INF","44","185","98","0.530"
"254","Alex Sherrod","Southern California","Jr.","OF","33","119","63","0.529"
"","Mark Threlkeld","Louisiana Tech","Jr.","INF","46","170","90","0.529"
"","Chris Wychock","Towson","Sr.","3B","41","153","81","0.529"
"257","Daniel Bowman","Coastal Caro.","Jr.","OF","43","172","91","0.529"
"258","Mike Petello","La.-Lafayette","Sr.","OF","39","157","83","0.529"
"259","Todd Baumgartner","Arkansas St.","Sr.","OF","46","195","103","0.528"
"260","Brandon Meredith","San Diego St.","Jr.","1B","42","142","75","0.528"
"261","Byron McKoy","Temple","Sr.","OF","41","178","94","0.528"
"262","Spencer Branigan","Penn","So.","1B","37","125","66","0.528"
"263","Kyle Robinson","Arkansas","Sr.","OF","41","144","76","0.528"
"","Maxx Tissenbaum","Stony Brook","So.","INF","40","144","76","0.528"
"265","Kyle Gaedele","Valparaiso","Jr.","OF","43","163","86","0.528"
"266","Trey Rallis","Yale","Sr.","INF","41","148","78","0.527"
"267","Alex Staehely","Creighton","So.","INF","41","152","80","0.526"
"","Alex Yarbrough","Ole Miss","So.","INF","44","171","90","0.526"
"269","Sam Mulroy","Princeton","Jr.","C","40","154","81","0.526"
"270","Jon Berti","Bowling Green","Jr.","INF","35","135","71","0.526"
"271","Casey McElroy","Auburn","Jr.","INF","44","177","93","0.525"
"272","Drew Hillman","UC Irvine","Sr.","INF","40","158","83","0.525"
"273","Greg Kumpel","Saint Joseph's","So.","INF","38","139","73","0.525"
"","Billy Moon","Gonzaga","So.","OF","38","139","73","0.525"
"275","David Coleman","Virginia","Sr.","OF","42","120","63","0.525"
"276","Mason Katz","LSU","So.","INF","40","141","74","0.525"
"277","Matt Skole","Georgia Tech","Jr.","3B","43","164","86","0.524"
"278","Charles Epperson","Jackson St.","So.","OF","40","145","76","0.524"
"279","M.L. Williams","Lipscomb","Jr.","OF","43","187","98","0.524"
"280","Bryce Redeker","Miami (OH)","Jr.","OF","44","168","88","0.524"
"","Sam Roberts","VMI","Sr.","INF","44","168","88","0.524"
"","Dan Schafferman","George Mason","Jr.","OF","38","147","77","0.524"
"","Scott Woodward","Coastal Caro.","Sr.","OF","42","147","77","0.524"
"284","Jose Behar","FIU","Sr.","C","38","128","67","0.523"
"285","Mitchell Kauweloa","Southern Utah","Jr.","OF","39","151","79","0.523"
"286","Chris Marconcini","Duke","Fr.","1B","46","174","91","0.523"
"287","Josh Adams","Florida","Sr.","INF","43","153","80","0.523"
"","Zach Borenstein","Eastern Ill.","Jr.","OF","39","153","80","0.523"
"289","Jason King","Kansas St.","Jr.","INF","43","159","83","0.522"
"290","Paul Snieder","Northwestern","Jr.","INF","38","138","72","0.522"
"291","Ryan Fuller","Connecticut","Jr.","INF","42","163","85","0.521"
"","Kyle Kubitza","Texas St.","Jr.","INF","44","163","85","0.521"
"293","James McCann","Arkansas","Jr.","C","41","140","73","0.521"
"","Danny Poma","Hofstra","Jr.","OF","37","140","73","0.521"
"295","Ricky Pacione","Marist","Sr.","OF","42","167","87","0.521"
"296","Kevin Patterson","Auburn","Sr.","OF","43","144","75","0.521"
"","Nick Rountree","UALR","Jr.","C","38","144","75","0.521"
"298","Alex Dickerson","Indiana","Jr.","OF","43","169","88","0.521"
"299","Tristan Moore","Wright St.","Jr.","OF","39","146","76","0.521"
"300","Mike Carson","Oakland","So.","INF","34","123","64","0.520"
"301","Mike Mergenthaler","Richmond","Sr.","OF","43","175","91","0.520"
"","Brent Seifert","Missouri St.","Jr.","INF","41","175","91","0.520"
"303","John McCambridge","Xavier","Sr.","INF","43","177","92","0.520"
"304","Barrett Barnes","Texas Tech","So.","OF","46","179","93","0.520"
"","Sam Eberle","Jacksonville St.","Jr.","INF","42","179","93","0.520"
"306","Trentt Copeland","Evansville","Jr.","INF","39","131","68","0.519"
"307","John Lenherr","VCU","Sr.","OF","41","164","85","0.518"
"308","Marc Schoch","La Salle","Jr.","C","39","143","74","0.517"
"309","Ryan Durrence","Bethune-Cookman","Sr.","1B","48","172","89","0.517"
"310","Michael Adamson","Southeast Mo. St.","Sr.","OF","43","174","90","0.517"
"311","Jared Baehl","Evansville","Sr.","INF","38","147","76","0.517"
"312","D.J. Peterson","New Mexico","Fr.","3B","45","178","92","0.517"
"313","Dan Gamache","Auburn","Jr.","INF","43","151","78","0.517"
"314","Jose Rodriguez","Col. of Charleston","Jr.","OF","45","182","94","0.516"
"315","Zac Jordan","TCU","Jr.","OF","34","93","48","0.516"
"","Justin Lacy","Longwood","So.","1B","40","155","80","0.516"
"317","Derek Luciano","UCF","Sr.","INF","39","126","65","0.516"
"318","Tyler Koelling","Southern Miss.","Sr.","OF","43","190","98","0.516"
"319","John Hicks","Virginia","Jr.","C","47","194","100","0.515"
"320","Ryan Dalton","UTSA","So.","INF","42","163","84","0.515"
"","John Hogan","Austin Peay","So.","1B","41","163","84","0.515"
"322","Brandon Hairston","Norfolk St.","Sr.","1B","40","132","68","0.515"
"323","Derek Jones","Washington St.","Jr.","OF","39","134","69","0.515"
"324","Alex Jones","Northern Ill.","Jr.","INF","41","169","87","0.515"
"325","Josh Dezse","Ohio St.","Fr.","DH","37","142","73","0.514"
"","Carlos Lopez","Wake Forest","Jr.","OF","40","142","73","0.514"
"327","Nick Kime","VCU","So.","INF","33","113","58","0.513"
"328","Adrian Perez","Temple","Sr.","SS","41","191","98","0.513"
"329","Drew Pettit","Canisius","Jr.","INF","42","154","79","0.513"
"330","Jake Davies","Georgia Tech","Jr.","P","44","156","80","0.513"
"","Ryan Kresky","Fairleigh Dickinson","Jr.","INF","41","156","80","0.513"
"332","Ricky Oropesa","Southern California","Jr.","1B","43","158","81","0.513"
"333","Matt Stilll","Charleston So.","Sr.","3B","37","119","61","0.513"
"334","Doug Bream","Liberty","Sr.","OF","40","164","84","0.512"
"335","Richie Goodenow","Lipscomb","Sr.","P","44","166","85","0.512"
"","Ryan Haas","Delaware St.","So.","INF","43","166","85","0.512"
"337","Pat Dameron","Delaware","Sr.","INF","43","168","86","0.512"
"338","Kyle Weldon","Miami (OH)","Sr.","INF","43","172","88","0.512"
"339","Matt Argyropoulos","Washington St.","Sr.","3B","39","131","67","0.511"
"340","Jeremy Gum","West Virginia","Sr.","DH","41","137","70","0.511"
"","Matt Pace","Ark.-Pine Bluff","Sr.","3B","41","137","70","0.511"
"342","Trent Cook","UNLV","Jr.","1B","46","186","95","0.511"
"343","Tucker Nathans","Fairfield","Sr.","2B","37","143","73","0.510"
"","Matt Pollock","Buffalo","So.","OF","38","143","73","0.510"
"345","Neal Pritchard","Elon","Sr.","INF","46","145","74","0.510"
"346","Grant Fillipitch","Butler","Sr.","INF","38","147","75","0.510"
"347","Desmond Russell","Jackson St.","Fr.","INF","39","149","76","0.510"
"348","Khayyan Norfork","Tennessee","Sr.","2B","42","157","80","0.510"
"349","Dj Leonard","Bethune-Cookman","Sr.","OF","47","161","82","0.509"
"350","Brad Kimball","Bradley","Jr.","OF","38","110","56","0.509"
"351","Austin Barnes","Arizona St.","Jr.","C","31","112","57","0.509"
"352","Alex Bast","Air Force","So.","C","44","171","87","0.509"
"","Mark Ginther","Oklahoma St.","Jr.","INF","43","171","87","0.509"
"","Devon Travis","Florida St.","So.","2B","44","171","87","0.509"
"355","Taylor Dugas","Alabama","Jr.","OF","47","177","90","0.508"
"356","Ronnie Shaban","Virginia Tech","Jr.","INF","45","183","93","0.508"
"357","Tanner Waite","New Mexico St.","Fr.","C","43","124","63","0.508"
"358","Adam Bryant","Troy","Sr.","INF","44","193","98","0.508"
"359","David Andriese","UC Riverside","Fr.","OF","35","130","66","0.508"
"","Riley Good","UTSA","Fr.","OF","45","195","99","0.508"
"361","Chris Baker","Old Dominion","Jr.","C","41","162","82","0.506"
"362","Jason Coats","TCU","Jr.","OF","44","172","87","0.506"
"363","Derek Hamblen","Belmont","Sr.","OF","45","188","95","0.505"
"364","Joey Burney","Old Dominion","Fr.","INF","31","95","48","0.505"
"365","Andrew Pitts","Alabama St.","Fr.","OF","30","103","52","0.505"
"","Gray Stafford","Marshall","So.","INF","36","103","52","0.505"
"367","Carlos Lopez","Cal St. Fullerton","Jr.","INF","33","113","57","0.504"
"368","Nathan Melendres","Miami (FL)","Jr.","OF","39","129","65","0.504"
"369","Danny Muno","Fresno St.","Sr.","INF","38","139","70","0.504"
"370","Matt Duffy","Tennessee","Sr.","3B","42","145","73","0.503"
"","Jabari Henry","FIU","So.","OF","41","145","73","0.503"
"372","Mj Schifano","Sacred Heart","Sr.","INF","43","147","74","0.503"
"373","Luke Maile","Kentucky","So.","C","43","149","75","0.503"
"","Levi Michael","North Carolina","Jr.","SS","41","149","75","0.503"
"375","Richie Shaffer","Clemson","So.","INF","44","153","77","0.503"
"376","Mitch Wells","Central Conn. St.","Jr.","INF","41","159","80","0.503"
"377","Tyler Hannah","Troy","Jr.","INF","44","165","83","0.503"
"","Jared Womack","Oklahoma St.","Jr.","C","42","165","83","0.503"
"379","Jared Reaves","Alabama","Jr.","INF","47","171","86","0.503"
"380","Tobi Adeyemi","Florida A&M","Sr.","OF","48","185","93","0.503"
"381","Greg Bachman","Austin Peay","Sr.","INF","41","144","72","0.500"
"","Ennis Coble","Dartmouth","So.","INF","36","132","66","0.500"
"","Alex DeLeon","Kansas","So.","C","33","82","41","0.500"
"","Chris Elder","Oral Roberts","Sr.","OF","39","154","77","0.500"
