"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"34","Will Fulmer","Montevallo","So.","INF","49","204","12","17.0"
"35","Nick Billinger","Regis (CO)","Jr.","2B","45","169","10","16.9"
"36","Ladarrius Cole","West Ala.","Sr.","OF","38","135","8","16.9"
"37","David Weber","Benedict","Jr.","1B","35","101","6","16.8"
"38","Tyler Gaby","King (TN)","So.","OF","37","134","8","16.8"
"39","Adam Taylor","North Greenville","Jr.","OF","53","200","12","16.7"
"40","Michael McCoy","Mo. Southern St.","Jr.","INF","46","165","10","16.5"
"","Ryan Brockett","New Haven","Sr.","SS","38","132","8","16.5"
"","Andrew Pickering","West Virginia St.","So.","INF","40","132","8","16.5"
"43","Landon Young","Southwest Baptist","So.","INF","44","129","8","16.1"
"44","Orry Engebretsen","Minn. Duluth","Jr.","INF","43","144","9","16.0"
"45","Brian Ernst","East Stroudsburg","Jr.","1B","46","159","10","15.9"
"46","A Jones","Winston-Salem","Fr.","-","50","173","11","15.7"
"47","Zach Stone","Millersville","Jr.","3B","46","141","9","15.7"
"48","Nate Fudala","Flagler","Sr.","INF","47","187","12","15.6"
"49","Mike Palkovitz","Pitt.-Johnstown","Fr.","P","43","140","9","15.6"
"50","Eitan Maoz","UNC Pembroke","Sr.","C","38","139","9","15.4"
"51","Bret Schwartz","Central Mo.","Sr.","INF","44","154","10","15.4"
"52","Joe Antenucci","St. Thomas Aquinas","Sr.","OF","44","153","10","15.3"
"53","Justin Rosales","Colorado Mesa","Jr.","2B","39","122","8","15.3"
"54","Julio Zubillaga","Catawba","So.","2B","46","167","11","15.2"
"55","John Calhoun","Washburn","Sr.","INF","39","149","10","14.9"
"56","T Nolan","St. Andrews","Fr.","-","37","104","7","14.9"
"57","Michael Cokinos","St. Mary's (TX)","Jr.","C","49","178","12","14.8"
"58","Lee Voth-Gaeddert","Missouri S&T","Sr.","OF","39","147","10","14.7"
"59","Brandon Bates","St. Mary's (TX)","Jr.","DH","49","176","12","14.7"
"60","Lucas Matecki","Mo.-St. Louis","Jr.","OF","40","146","10","14.6"
"61","Paul Giel","Concordia-St. Paul","Jr.","OF","36","131","9","14.6"
"62","Michael Schulze","Mo. Western St.","So.","INF","44","160","11","14.5"
"63","Buddy Sosnoskie","Francis Marion","Sr.","OF","47","189","13","14.5"
"64","John Neill","Drury","Jr.","C","41","116","8","14.5"
"65","Peter Bako","Southeastern Okla.","Sr.","OF","39","130","9","14.4"
"66","Brandon Hoefler","Fort Hays St.","Sr.","OF","44","173","12","14.4"
"67","Eric Dawson","Emporia St.","Jr.","INF","41","158","11","14.4"
"68","Aaron Scoville","Shepherd","So.","INF","46","172","12","14.3"
"","Tyler Ding","Tampa","So.","OF","33","86","6","14.3"
"70","Jordan Erisman","North Ga.","Sr.","INF","48","214","15","14.3"
"71","Tyler Adams","Upper Iowa","So.","OF","42","171","12","14.3"
"72","Jesse Daywalt","Chestnut Hill","Sr.","2B","41","142","10","14.2"
"73","Vince Smarrelli","Bloomsburg","So.","INF","45","156","11","14.2"
"74","Dan Hennigan","Franklin Pierce","Sr.","2B","45","170","12","14.2"
"75","Andy Stichter","Charleston (WV)","Sr.","INF","38","126","9","14.0"
"76","Michael Pomeroy","Grand Canyon","Jr.","OF","48","181","13","13.9"
"77","Al Benson","Limestone","Sr.","OF","43","151","11","13.7"
"78","Jonattan Fernandez","Bloomfield","Jr.","INF","35","137","10","13.7"
"79","Alex Frederick","Armstrong","Sr.","SS","47","178","13","13.7"
"80","Brandon Lowe","Morehouse","So.","INF","35","109","8","13.6"
"81","Jason Merjano","Cal St. Monterey Bay","Jr.","SS","46","177","13","13.6"
"82","Ashton McCoy","Emporia St.","Jr.","INF","39","149","11","13.5"
"83","Ken Post","Mercy","So.","INF","39","135","10","13.5"
"","Jackie Samora","Grand Canyon","So.","2B","37","108","8","13.5"
"85","Jeffery Jones","Miles","Sr.","SS","41","121","9","13.4"
"86","Bobby Twedt","Saint Martin's","Jr.","INF","44","161","12","13.4"
"87","Jordan Draeger","Bluefield St.","Sr.","C","38","107","8","13.4"
"88","David Frazier","North Greenville","Sr.","INF","53","200","15","13.3"
"","John McCarty","Virginia St.","Jr.","C","43","120","9","13.3"
"90","John Sgromolo","Flagler","Sr.","1B","49","186","14","13.3"
"91","Cory Dorman","Lock Haven","Sr.","OF","44","146","11","13.3"
"92","Tommy Barnes","Neb.-Kearney","Jr.","1B","43","159","12","13.3"
"","Eric Weiss","Columbus St.","Sr.","OF","44","159","12","13.3"
"","Eric Terwilliger","Findlay","Fr.","OF","37","106","8","13.3"
"95","Drew Miller","Southwest Baptist","So.","C","44","145","11","13.2"
"96","Joe Harbach","Wilmington (DE)","Sr.","OF","41","158","12","13.2"
"","Kolin McMillen","Mercyhurst","Fr.","INF","42","158","12","13.2"
"98","Demetrius Morris","Lincoln (PA)","So.","INF","27","92","7","13.1"
"99","Andrew Abreu","Dowling","So.","INF","37","144","11","13.1"
"100","Austin Lastimado","Pittsburg St.","Jr.","INF","44","156","12","13.0"
"","Tj Yasuhara","Cal St. Chico","Sr.","INF","45","156","12","13.0"
"102","Josh Salmon","Henderson St.","Jr.","INF","41","142","11","12.9"
"103","Josh Dawson","Cameron","Sr.","INF","48","167","13","12.8"
"104","Madison Beaird","Arkansas Tech","Jr.","OF","49","192","15","12.8"
"105","Mike Santora","Cal Poly Pomona","Sr.","INF","48","191","15","12.7"
"106","Brad Foss","Pittsburg St.","So.","INF","43","140","11","12.7"
"107","Luis Quinones","Eastern N.M.","Jr.","OF","46","176","14","12.6"
"108","Cody Coffman","Tusculum","Sr.","INF","54","201","16","12.6"
"109","Ross Easterling","Charleston (WV)","Jr.","SS","42","138","11","12.5"
"110","Derrik Strzalkowski","Grand Valley St.","Sr.","INF","39","100","8","12.5"
"","Ryan Williams","Tiffin","Jr.","OF","36","100","8","12.5"
"112","Brett Bullard","Claflin","Jr.","INF","36","137","11","12.5"
"113","Noah Blackhurst","West Virginia St.","So.","INF","44","149","12","12.4"
"","Keith Morrisroe","Concord","Sr.","SS","50","149","12","12.4"
"115","Evan Hester","West Ga.","Fr.","-","45","161","13","12.4"
"116","Chris Santoscoy","Fort Hays St.","Jr.","INF","35","99","8","12.4"
"117","Dustin Fackrell","Colorado Mesa","Sr.","1B","46","173","14","12.4"
"118","Michael Leviseur","Seton Hill","Sr.","C","48","148","12","12.3"
"119","Pat McCarthy","Seton Hill","So.","INF","40","123","10","12.3"
"120","Joe Crane","Chestnut Hill","Jr.","INF","40","135","11","12.3"
"","Dylan Tice","Indiana (PA)","Fr.","INF","42","135","11","12.3"
"122","Michael Morrissette","Bellarmine","Jr.","INF","42","147","12","12.3"
"","Robert Horn","Pace","Jr.","INF","36","98","8","12.3"
"124","Daniel Duran","Cal St. L.A.","Sr.","INF","42","158","13","12.2"
"","Sheldon Howell","Fort Hays St.","Sr.","INF","44","158","13","12.2"
"126","Greg Hamrock","East Central","Jr.","INF","47","170","14","12.1"
"127","Joe Pudlo","St. Joseph's (IN)","Sr.","OF","38","109","9","12.1"
"128","Sean Craig","Dowling","Jr.","INF","37","121","10","12.1"
"129","Brad Alberts","Washburn","---","INF","38","133","11","12.1"
"","Bryan Lippincott","Concordia-St. Paul","Sr.","3B","40","133","11","12.1"
"131","Frank Salerno","St. Thomas Aquinas","Jr.","INF","45","169","14","12.1"
"132","Jordan White","Ky. Wesleyan","Sr.","OF","45","168","14","12.0"
"","Mike Godwin","Wilmington (DE)","Sr.","C","41","144","12","12.0"
"134","Chris Rawlings","Barton","Sr.","INF","48","179","15","11.9"
"135","Wayne Lewis","St. Augustine's","Sr.","OF","50","167","14","11.9"
"136","James Katsiroubas","Mass.-Lowell","Sr.","3B","43","154","13","11.8"
"137","Brandon Mack","Chowan","Fr.","-","49","189","16","11.8"
"138","Andrew Bock","Mercy","Jr.","OF","39","141","12","11.8"
"","Zach Cohen","Angelo St.","Sr.","INF","42","141","12","11.8"
"","Luis Saenz","N.M. Highlands","Sr.","OF","43","141","12","11.8"
"141","Rudy Weiser","Emporia St.","Sr.","C","42","117","10","11.7"
"142","Kyle Zozaya","Cal St. East Bay","Jr.","INF","41","140","12","11.7"
"143","Matthew Magee","West Ala.","Jr.","INF","44","162","14","11.6"
"144","Nate Blessman","Ill.-Springfield","Sr.","OF","41","150","13","11.5"
"","Adrian English","Barry","So.","INF","41","150","13","11.5"
"146","Michel Coffey","Ga. Southwestern","Jr.","C","47","196","17","11.5"
"147","Blake May","Anderson (SC)","Sr.","INF","49","184","16","11.5"
"","Kevin Phillips","Southeastern Okla.","Sr.","INF","47","161","14","11.5"
"","Percy Evans","Virginia St.","So.","INF","43","138","12","11.5"
"150","Wesley Camp","Newberry","Fr.","P","41","149","13","11.5"
"151","Johnny Pitt","Elizabeth City St.","Jr.","INF","29","103","9","11.4"
"152","Max Wheeler","Southwestern Okla.","Sr.","OF","44","160","14","11.4"
"153","Chauncey Davis","Claflin","Sr.","INF","40","148","13","11.4"
"154","Jimmy Smelcer","Mo. Western St.","Jr.","INF","33","91","8","11.4"
"155","William Gorman","Paine","Jr.","INF","47","159","14","11.4"
"156","Mickey Zudonyi","Felician","Sr.","2B","44","170","15","11.3"
"157","Craig Matteo","Adelphi","Sr.","INF","39","147","13","11.3"
"158","John Duran","Ga. Southwestern","Jr.","INF","47","192","17","11.3"
"159","Tommy Roush","Findlay","Jr.","INF","44","135","12","11.3"
"160","Michael Jordan","Benedict","Sr.","INF","36","101","9","11.2"
"161","Cory Jensen","Fla. Southern","Sr.","OF","41","157","14","11.2"
"162","T Moore","Winston-Salem","Fr.","-","39","145","13","11.2"
"163","Mike Diorio","Lynn","Sr.","INF","43","156","14","11.1"
"","Rick Reigner","Philadelphia U.","So.","OF","41","156","14","11.1"
"165","Billy O'Connor","West Fla.","Jr.","C","39","122","11","11.1"
"166","Lucas Miller","Incarnate Word","Jr.","INF","39","133","12","11.1"
"167","Joe Solomeno","Pace","Jr.","INF","36","144","13","11.1"
"168","Austin Dubberly","Montevallo","Jr.","INF","49","187","17","11.0"
"","J.C. Ochoa","Fort Hays St.","Sr.","INF","43","143","13","11.0"
"","George Hajjar","Felician","Sr.","OF","40","132","12","11.0"
"","Casey Hall","Stillman","Sr.","INF","42","110","10","11.0"
"","Reid Carter","Neb.-Kearney","Fr.","OF","34","99","9","11.0"
"173","Lance Rorex","Carson-Newman","Sr.","3B","51","186","17","10.9"
"","Michael Wilson","Francis Marion","So.","INF","46","186","17","10.9"
"175","Cody Foster","Cal St. Chico","Sr.","OF","46","175","16","10.9"
"176","Jack Hudson","West Virginia St.","So.","INF","44","131","12","10.9"
"","Jorge Ynoa","Caldwell","Sr.","OF","37","131","12","10.9"
"178","Zack Carlson","Emporia St.","Jr.","INF","35","109","10","10.9"
"179","Shane Kroker","Cal St. Chico","Sr.","INF","36","98","9","10.9"
"180","Fico Kondla","Coker","So.","3B","45","163","15","10.9"
"181","Steve Anderson","Grand Valley St.","Sr.","OF","44","152","14","10.9"
"","Carlos Asuaje","Nova Southeastern","So.","INF","40","152","14","10.9"
"183","Zach Bothwell","Colorado Mines","Fr.","INF","39","130","12","10.8"
"","Reid Rothenbuhler","Findlay","So.","INF","43","130","12","10.8"
"185","Grant DeBruin","Ala.-Huntsville","Sr.","INF","48","184","17","10.8"
"186","Derek Hirsch","St. Thomas Aquinas","So.","OF","41","119","11","10.8"
"187","Trey Buck","Southern Ark.","Sr.","SS","46","173","16","10.8"
"188","Joe Andrade","Dixie St.","Sr.","C","45","162","15","10.8"
"","Scott Berkes","Clarion","Sr.","3B","37","108","10","10.8"
"","Caleb Kemna","Lincoln (MO)","Jr.","SS","38","108","10","10.8"
"191","Lukas Graves","Tusculum","Sr.","OF","53","205","19","10.8"
"192","Zack Wiley","Le Moyne","Jr.","INF","42","151","14","10.8"
"193","Jordan Edgerton","UNC Pembroke","Fr.","-","38","129","12","10.8"
"194","Matt Odegaard","Minn. St. Mankato","Sr.","1B","37","118","11","10.7"
"195","Chase Barnes","Pittsburg St.","Sr.","OF","44","150","14","10.7"
"196","Tyler Bourdo","S.C. Aiken","Sr.","INF","47","182","17","10.7"
"197","Jason Berrios","Concordia (NY)","Sr.","OF","37","139","13","10.7"
"","Zach Miller","Saint Leo","Sr.","INF","39","139","13","10.7"
"199","Mike Blanchard","Hillsdale","Sr.","OF","42","128","12","10.7"
"","Keith Curcio","Fla. Southern","Fr.","INF","36","128","12","10.7"
