"Rank","Name","Team","Cl","Pos","G","AB","TB"
"","Mike Martinez","FIU","Jr.","1B","43","181","90"
"","Kilby Perdomo","Alcorn St.","Sr.","OF","37","136","90"
"","Marquis Riley","N.C. A&T","Jr.","2B","44","166","90"
"","Chad Salem","Manhattan","Sr.","INF","38","145","90"
"","Tyler Sibley","Texas St.","Jr.","INF","41","169","90"
"","Zach Stephens","Tennessee Tech","Fr.","1B","41","166","90"
"","Mark Threlkeld","Louisiana Tech","Jr.","INF","46","170","90"
"","Drew Turocy","Akron","Jr.","OF","41","160","90"
"","Kolten Wong","Hawaii","Jr.","INF","40","151","90"
"","Alex Yarbrough","Ole Miss","So.","INF","44","171","90"
"185","Ryan Behmanesh","Dallas Baptist","Jr.","1B","43","161","89"
"","Marc Bourgeois","Southern Miss.","Sr.","OF","39","142","89"
"","Steve Cochrane","Ga. Southern","Sr.","INF","44","160","89"
"","Ryan Durrence","Bethune-Cookman","Sr.","1B","48","172","89"
"","Matt Fleishman","Villanova","Jr.","OF","42","164","89"
"","Pete Lavin","San Francisco","Sr.","OF","44","182","89"
"","Matt Mack","Radford","Jr.","3B","43","165","89"
"","Pratt Maynard","North Carolina St.","Jr.","C","45","182","89"
"","Nick Orvin","Citadel","Jr.","OF","42","178","89"
"","Jordan Poirrier","La.-Lafayette","Sr.","2B","45","182","89"
"","Thomas Pope","UNC Wilmington","Jr.","OF","44","156","89"
"","Jordan Sivertsen","Southern Ill.","Jr.","OF","43","148","89"
"","Matt Tenaglia","James Madison","So.","1B","45","168","89"
"198","Doug Dekoning","Milwaukee","Sr.","OF","40","157","88"
"","Alex Dickerson","Indiana","Jr.","OF","43","169","88"
"","Michael Gallic","Marist","Sr.","OF","41","162","88"
"","Stewart Ijames","Louisville","Jr.","OF","40","153","88"
"","Chase Jensen","Houston","So.","SS","44","194","88"
"","Bryce Redeker","Miami (OH)","Jr.","OF","44","168","88"
"","Sam Roberts","VMI","Sr.","INF","44","168","88"
"","Kyle Weldon","Miami (OH)","Sr.","INF","43","172","88"
"206","Alex Bast","Air Force","So.","C","44","171","87"
"","Greg Brody","Belmont","Fr.","INF","45","152","87"
"","Michael Burruss","Ga. Southern","So.","OF","44","199","87"
"","Phillip Chapman","Memphis","Sr.","C","43","160","87"
"","Jason Coats","TCU","Jr.","OF","44","172","87"
"","Phillip Ervin","Samford","Fr.","P","43","157","87"
"","Ronnie Freeman","Kennesaw St.","So.","C","43","160","87"
"","Mark Ginther","Oklahoma St.","Jr.","INF","43","171","87"
"","Alex Jones","Northern Ill.","Jr.","INF","41","169","87"
"","Tom Lilja","Western Ill.","Jr.","OF","44","175","87"
"","Ellis Lowe","Campbell","Sr.","INF","43","186","87"
"","Ricky Pacione","Marist","Sr.","OF","42","167","87"
"","Devon Travis","Florida St.","So.","2B","44","171","87"
"","Erich Weiss","Texas","Fr.","3B","44","146","87"
"","Greg Zebrack","Penn","So.","OF","39","146","87"
"221","Eldred Barnett","Grambling","Jr.","OF","40","152","86"
"","Grant Buckner","West Virginia","Sr.","SS","43","159","86"
"","David Chester","Pittsburgh","Sr.","1B","41","150","86"
"","Pat Dameron","Delaware","Sr.","INF","43","168","86"
"","Shane Davis","George Mason","Sr.","DH","45","180","86"
"","Cole Frenzel","Arizona","So.","INF","43","162","86"
"","Kyle Gaedele","Valparaiso","Jr.","OF","43","163","86"
"","Max Muncy","Baylor","So.","1B","45","175","86"
"","Chad Oberacker","Tennessee Tech","Sr.","P","41","161","86"
"","Mark Onorati","Manhattan","Sr.","OF","38","146","86"
"","Jace Peterson","McNeese St.","Jr.","INF","46","183","86"
"","Jared Reaves","Alabama","Jr.","INF","47","171","86"
"","Joey Rickard","Arizona","So.","OF","43","177","86"
"","Matt Skole","Georgia Tech","Jr.","3B","43","164","86"
"","Jantzen Witte","TCU","So.","INF","44","174","86"
"236","Ryan Aguayo","New Mexico St.","Sr.","INF","44","149","85"
"","Pablo Bermudez","FIU","Jr.","OF","41","159","85"
"","Torsten Boss","Michigan St.","So.","INF","40","152","85"
"","Kris Bryant","San Diego","Fr.","3B","41","151","85"
"","Andrew Cain","UNC Wilmington","Jr.","INF","41","160","85"
"","Eric Charles","Purdue","Jr.","INF","43","174","85"
"","Ryan Fuller","Connecticut","Jr.","INF","42","163","85"
"","C.J. Gillman","Dayton","Jr.","INF","44","175","85"
"","Richie Goodenow","Lipscomb","Sr.","P","44","166","85"
"","Ryan Haas","Delaware St.","So.","INF","43","166","85"
"","Ryan Hutchison","Western Ky.","Jr.","OF","44","187","85"
"","Matt Igara","Western Ill.","Jr.","OF","44","179","85"
"","Kyle Kubitza","Texas St.","Jr.","INF","44","163","85"
"","John Lenherr","VCU","Sr.","OF","41","164","85"
"","Joseph McCrary III","Savannah St.","So.","OF","47","173","85"
"","Tom Murphy","Buffalo","So.","C","38","139","85"
"","Eric Oxford","Holy Cross","Sr.","1B","48","184","85"
"","Richie Rodriguez","Eastern Ky.","Jr.","SS","44","173","85"
"","Ben Waldrip","Jacksonville St.","Jr.","1B","36","138","85"
"255","Colin Bear","Northwestern St.","Jr.","DH","45","169","84"
"","Doug Bream","Liberty","Sr.","OF","40","164","84"
"","Garrett Custons","Air Force","So.","OF","45","174","84"
"","Ryan Dalton","UTSA","So.","INF","42","163","84"
"","Marty Gantt","Col. of Charleston","Jr.","OF","45","175","84"
"","John Hogan","Austin Peay","So.","1B","41","163","84"
"","Chase Jaramillo","Nicholls St.","Sr.","INF","44","178","84"
"","Andy Mee","Fla. Atlantic","Sr.","OF","43","180","84"
"","Ryan Mooney","Sam Houston St.","Sr.","INF","46","193","84"
"","John Moreland","Mercer","Sr.","1B","44","143","84"
"","Brian Nephew","Texas-Arlington","Sr.","INF","45","185","84"
"","Tyler Ogle","Oklahoma","Jr.","C","44","148","84"
"","Brent Ohrman","Eastern Mich.","Jr.","INF","43","180","84"
"","Nate Woods","Belmont","Sr.","DH","43","156","84"
"","Chad Wright","Kentucky","Jr.","OF","45","172","84"
"","Zach Wright","East Carolina","Jr.","C","44","158","84"
"271","Brandon Bayardi","UNLV","So.","OF","38","125","83"
"","Preston Beck","Texas-Arlington","So.","INF","44","169","83"
"","Taylor Black","Kentucky","Sr.","INF","45","185","83"
"","Billy Burns","Mercer","Jr.","OF","45","173","83"
"","Aaron Conway","Missouri St.","Sr.","OF","40","172","83"
"","Johnny Coy","Wichita St.","So.","INF","46","187","83"
"","Corey Davis","Wright St.","Jr.","C","38","146","83"
"","Cameron Edman","Gonzaga","Sr.","C","39","135","83"
"","Tyler Hannah","Troy","Jr.","INF","44","165","83"
"","Drew Hillman","UC Irvine","Sr.","INF","40","158","83"
"","Mark Jones","Stetson","Jr.","INF","42","166","83"
"","Jason King","Kansas St.","Jr.","INF","43","159","83"
"","Rob Kral","Col. of Charleston","Jr.","C","45","154","83"
"","Tyler McNeely","Illinois St.","Sr.","OF","40","124","83"
"","Mike Petello","La.-Lafayette","Sr.","OF","39","157","83"
"","Jarryd Reid","Florida A&M","Jr.","OF","38","133","83"
"","Danny Stienstra","San Jose St.","Sr.","INF","46","183","83"
"","Jared Womack","Oklahoma St.","Jr.","C","42","165","83"
"289","Chris Baker","Old Dominion","Jr.","C","41","162","82"
"","Alex Hudak","Fla. Atlantic","Jr.","OF","43","152","82"
"","Matt Johns","Western Caro.","Sr.","INF","41","165","82"
"","Braden Kapteyn","Kentucky","Jr.","INF","45","171","82"
"","Zack Kometani","San Diego","Jr.","C","41","165","82"
"","Sean Lamont","Georgetown","Sr.","INF","46","172","82"
"","Dj Leonard","Bethune-Cookman","Sr.","OF","47","161","82"
"","Zack Leonard","Eastern Mich.","Sr.","INF","43","167","82"
"","Rob Lind","Georgia St.","Sr.","2B","46","154","82"
"","Thomas McCarthy","Kentucky","Jr.","INF","45","167","82"
"","Mike McGee","Florida St.","Sr.","OF","43","150","82"
"","Clint Moore","Army","Sr.","INF","39","149","82"
"","Jarrod Parks","Mississippi St.","Sr.","3B","42","143","82"
"","Kenton Parmley","Southeast Mo. St.","Jr.","INF","41","170","82"
"","Ryan Retz","High Point","So.","1B","44","180","82"
"","Eddie Rohan","Winthrop","Sr.","C","45","167","82"
"","Tyler Spillner","Purdue","Jr.","OF","43","175","82"
"","Riccio Torrez","Arizona St.","Jr.","INF","41","166","82"
"","Taylor White","South Ala.","Sr.","OF","43","193","82"
"308","Johnny Bladel","James Madison","So.","OF","40","148","81"
"","Brian Blasik","Dayton","Jr.","INF","29","128","81"
"","Kameron Brunty","Southern Miss.","Jr.","OF","42","176","81"
"","Ben Carhart","Stetson","Jr.","INF","44","176","81"
"","Nick Delguidice","Fla. Atlantic","Sr.","INF","43","165","81"
"","Nolan Earley","South Ala.","So.","OF","42","163","81"
"","Cody Elliott","Ball St.","Jr.","OF","39","163","81"
"","Taylor Featherston","TCU","Jr.","SS","44","172","81"
"","Cory Franklin","Florida A&M","Jr.","C","45","168","81"
"","Eduardo Gonzalez","Alcorn St.","Jr.","1B","42","163","81"
"","Levi Hyams","Georgia","Jr.","INF","45","179","81"
"","Koby Kraemer","Indiana St.","So.","INF","42","167","81"
"","Justin Lesson","Georgetown","So.","OF","46","188","81"
"","D.J. Long","Delaware","So.","INF","44","179","81"
"","Brandon Loy","Texas","Jr.","SS","44","178","81"
"","Mike McCann","Manhattan","Sr.","OF","38","136","81"
"","Sam Mulroy","Princeton","Jr.","C","40","154","81"
"","Jon Myers","Saint Louis","Sr.","3B","42","169","81"
"","Ricky Oropesa","Southern California","Jr.","1B","43","158","81"
"","Patrick Palmeiro","UAB","Jr.","INF","44","180","81"
"","Jacob Perales","A&M-Corpus Christi","Sr.","OF","46","162","81"
"","Phil Pohl","Clemson","Jr.","C","41","150","81"
"","Gerald Runyan","Bucknell","Jr.","OF","46","167","81"
"","Mac Williamson","Wake Forest","So.","OF","43","163","81"
"","Chris Wychock","Towson","Sr.","3B","41","153","81"
"333","Josh Adams","Florida","Sr.","INF","43","153","80"
"","Jarod Berggren","Northern Colo.","Jr.","OF","40","136","80"
"","Coty Blanchard","Jacksonville St.","Fr.","SS","40","163","80"
"","Zach Borenstein","Eastern Ill.","Jr.","OF","39","153","80"
"","Raymond Church","Fla. Atlantic","Sr.","INF","43","171","80"
"","Ryan Court","Illinois St.","Sr.","INF","40","142","80"
"","Jake Davies","Georgia Tech","Jr.","P","44","156","80"
"","Dustin DeMuth","Indiana","Fr.","INF","44","187","80"
"","Mark Hudson","Sam Houston St.","Sr.","OF","44","169","80"
"","Matthew James","UTSA","Jr.","INF","45","161","80"
"","Ryan Kresky","Fairleigh Dickinson","Jr.","INF","41","156","80"
"","Justin Lacy","Longwood","So.","1B","40","155","80"
"","David Lyon","Kent St.","Jr.","C","42","163","80"
"","Jonathan Murphy","Jacksonville","Jr.","OF","42","190","80"
"","Khayyan Norfork","Tennessee","Sr.","2B","42","157","80"
"","Chris O'Dowd","Dartmouth","So.","C","38","147","80"
"","Alex Staehely","Creighton","So.","INF","41","152","80"
"","Graham Sullivan","VMI","Sr.","OF","44","172","80"
"","Ben Thoma","Eastern Ill.","Jr.","OF","36","136","80"
"","Drew Walsh","LIU Brooklyn","Jr.","INF","41","165","80"
"","Jake Watts","Gardner-Webb","Jr.","P","41","172","80"
"","Mitch Wells","Central Conn. St.","Jr.","INF","41","159","80"
"","Garrett Wittels","FIU","Jr.","INF","44","184","80"
"356","Alex Azor","Navy","Jr.","OF","49","194","79"
"","Nathan Carter","Air Force","Sr.","OF","41","147","79"
"","Brandon Eckerle","Michigan St.","Sr.","OF","40","175","79"
"","Kyle Farmer","Georgia","So.","INF","45","172","79"
"","Alex Foltz","James Madison","Sr.","OF","37","139","79"
"","Justin Glass","Cincinnati","Fr.","OF","41","165","79"
"","Anthony Gomez","Vanderbilt","So.","INF","43","188","79"
"","Mark Haddow","UC Santa Barbara","Sr.","OF","38","142","79"
"","Stephen Hagen","Texas Tech","Jr.","INF","47","174","79"
"","Alex Hill","UNC Wilmington","Sr.","OF","44","158","79"
"","Tyler Jones","LIU Brooklyn","Jr.","C","41","137","79"
"","Trey Karlen","UT Martin","Sr.","3B","39","158","79"
"","Mitchell Kauweloa","Southern Utah","Jr.","OF","39","151","79"
"","Brendan Mcgaheran","Lehigh","Sr.","SS","45","180","79"
"","Dave Milanes","Navy","So.","C","48","180","79"
"","Mike Nemeth","Connecticut","Sr.","INF","45","175","79"
"","Jeremy Patton","FIU","Jr.","INF","43","171","79"
"","Drew Pettit","Canisius","Jr.","INF","42","154","79"
"","Caleb Ramsey","Houston","Sr.","OF","44","172","79"
"","Anthony Rendon","Rice","Jr.","3B","44","143","79"
"","Justin Riddell","Cincinnati","Sr.","OF","40","149","79"
"","Daniel Rockett","UTSA","So.","OF","44","170","79"
"","Michael Seaborn","Virginia Tech","Sr.","INF","46","181","79"
"","Justin Wilson","Charlotte","Sr.","OF","44","168","79"
"380","Jayce Boyd","Florida St.","So.","1B","44","163","78"
"","Tom Coulombe","Rhode Island","Sr.","INF","43","177","78"
"","Tommy Coyle","North Carolina","So.","2B","43","181","78"
"","Robert Crews","Stetson","Jr.","INF","43","170","78"
"","Will Davis","Penn","Sr.","C","39","138","78"
"","Brian Dillon","Fairleigh Dickinson","Sr.","OF","41","160","78"
"","Tommy Flynn","Mt. St. Mary's","Sr.","OF","38","146","78"
"","Dan Gamache","Auburn","Jr.","INF","43","151","78"
"","Alex Guerra","Radford","Sr.","INF","43","160","78"
"","Reed Harper","Austin Peay","So.","INF","41","157","78"
"","Brock Hebert","Southeastern La.","So.","INF","45","167","78"
"","Parker Hipp","New Mexico St.","So.","C","38","127","78"
"","Joel Hutter","Dallas Baptist","Jr.","INF","42","158","78"
"","Angel Ibanez","Tex.-Pan American","So.","INF","37","157","78"
"","Trey Mancini","Notre Dame","Fr.","INF","38","133","78"
"","Stephen Marino","Stony Brook","Sr.","INF","40","158","78"
"","Nick Pulsonetti","Monmouth","Sr.","OF","39","138","78"
"","Trey Rallis","Yale","Sr.","INF","41","148","78"
"","Jimmy Rider","Kent St.","Jr.","INF","42","186","78"
"","Rony Rodriguez","Miami (FL)","Jr.","INF","44","141","78"
"","Tant Shepherd","Texas","Sr.","1B","44","156","78"
"","Chris Taylor","Virginia","So.","INF","47","198","78"
"","Dan Ward","Ohio","Fr.","-","43","168","78"
"403","Mikel Alvarez","Fla. Gulf Coast","Sr.","INF","44","182","77"
"","Alex Baldock","Buffalo","So.","INF","38","143","77"
"","Ryan Bernal","BYU","Sr.","1B","37","138","77"
"","Jordan Castaldo","Arkansas St.","Sr.","INF","46","159","77"
"","Darren Crabtree","Stephen F. Austin","Sr.","1B","43","156","77"
"","Casanova Donaldson","Tennessee Tech","Sr.","OF","41","159","77"
"","Chris Elder","Oral Roberts","Sr.","OF","39","154","77"
"","Blaise Fernandez","George Mason","Fr.","INF","43","163","77"
"","Nick Johnson","Bethune-Cookman","Fr.","-","46","154","77"
"","Kash Kalkowski","Nebraska","So.","OF","42","155","77"
"","Adam McFarland","Gardner-Webb","Jr.","OF","37","137","77"
"","Kevin Mihalik","Lehigh","Sr.","1B","44","155","77"
"","Jonathan Pace","Southeastern La.","Jr.","INF","46","174","77"
"","Raph Rhymes","LSU","So.","INF","45","171","77"
"","T.J. Rich","Memphis","Jr.","1B","44","160","77"
"","Dan Schafferman","George Mason","Jr.","OF","38","147","77"
"","Cameron Seitzer","Oklahoma","Jr.","INF","44","158","77"
"","Richie Shaffer","Clemson","So.","INF","44","153","77"
"","Trent Whitehead","East Carolina","Sr.","OF","44","173","77"
"","Brett Williams","North Carolina St.","Jr.","OF","45","165","77"
"","Brandon Williams","Georgia St.","Jr.","3B","45","172","77"
"","Jacob Wilson","Memphis","Jr.","INF","44","170","77"
"","Scott Woodward","Coastal Caro.","Sr.","OF","42","147","77"
"426","Jared Baehl","Evansville","Sr.","INF","38","147","76"
"","Peter Copa","Massachusetts","Sr.","3B","35","121","76"
"","Chris Dudics","Toledo","Sr.","INF","43","182","76"
"","Charles Epperson","Jackson St.","So.","OF","40","145","76"
"","Robert Griffith","Sacred Heart","Jr.","1B","43","160","76"
"","Jonathan Houston","Central Ark.","Sr.","1B","41","153","76"
"","Michael Johnson","Samford","Sr.","INF","45","180","76"
"","Matt Koch","Loyola Marymount","Jr.","C","41","161","76"
"","Mike LeBel","Rhode Island","Jr.","INF","43","180","76"
"","Jeremy Maas","Penn","Sr.","P","36","141","76"
"","Wade Mathis","Lamar","Sr.","INF","45","176","76"
"","Justin McDavid","West Virginia","Sr.","INF","43","174","76"
"","Daniel Merck","Gardner-Webb","Sr.","INF","42","165","76"
"","Sean Miller-Jones","Central Conn. St.","Sr.","INF","41","159","76"
