"Rank","Name","Team","Cl","Pos","G","2B"
"","Jorge Chavarria","Palm Beach Atl.","Fr.","SS","47","17"
"","Anthony DiFrancesco","Philadelphia U.","Sr.","3B","36","17"
"","Derek Fulmer","North Greenville","Jr.","P","44","17"
"","Justin Miller","Southeastern Okla.","Sr.","OF","45","17"
"","Greg Pron","West Fla.","Sr.","OF","48","17"
"","John Roberts","Armstrong","Jr.","C","46","17"
"","David Silvas","Cal St. San B'dino","Jr.","OF","41","17"
"","Brandon Small","Albany St. (GA)","Jr.","SS","45","17"
"","T.J. Werner","St. Andrews","Jr.","OF","36","17"
"","Cody Young","Lock Haven","Sr.","SS","39","17"
"","Josh Young","Georgia College","Jr.","OF","49","17"
"51","Blake Amaral","Hawaii Pacific","Jr.","INF","34","16"
"","Joe Andrade","Dixie St.","Jr.","C","43","16"
"","Sean Cotten","Tusculum","Sr.","C","50","16"
"","Brian Erie","Northern Ky.","Sr.","C","41","16"
"","Sean Estand","St. Joseph's (IN)","Sr.","3B","44","16"
"","Brandon Gipson","Benedict","Sr.","C","40","16"
"","J.T. Greenhood","Colorado St.-Pueblo","Jr.","OF","44","16"
"","Jason Hamm","Saint Leo","Sr.","C","42","16"
"","Trey Horn","West Tex. A&M","Sr.","INF","42","16"
"","Deryk Marks","Augustana (SD)","Sr.","INF","43","16"
"","Jordan Parker","Ala.-Huntsville","Sr.","INF","36","16"
"","Josh Riley","Arkansas Tech","Sr.","SS","45","16"
"","Matt Roohan","Incarnate Word","Sr.","INF","47","16"
"","Chris Ross","Montevallo","Jr.","OF","43","16"
"","Jordan Smith","St. Cloud St.","So.","OF","41","16"
"66","Carlos Asuaje","Nova Southeastern","Fr.","INF","45","15"
"","Mike August","Millersville","Jr.","SS","45","15"
"","Aaron Bauman","UC San Diego","Sr.","DH","45","15"
"","Mike Bisenius","Wayne St. (NE)","Jr.","OF","36","15"
"","J.L. Buchanan","Colo. Christian","Sr.","1B","47","15"
"","K.C. Clabough","Florida Tech","Jr.","INF","47","15"
"","Ryan Daughtry","Barton","Jr.","OF","43","15"
"","Patrick Deao","Mo. Southern St.","Sr.","OF","46","15"
"","Wesley Dozier","Carson-Newman","Sr.","3B","49","15"
"","Mike Godwin","Wilmington (DE)","Jr.","P","39","15"
"","Aaron Headrick","Western Ore.","Sr.","INF","39","15"
"","Kenny Held","Cameron","Sr.","OF","44","15"
"","Matt Henriksen","Tusculum","So.","INF","48","15"
"","Rashad Ingram","St. Augustine's","Sr.","INF","54","15"
"","Kyle Jones","Sonoma St.","Sr.","OF","44","15"
"","Andrew Jones","Tampa","Jr.","OF","45","15"
"","Robert Kelly","St. Anselm","So.","1B","44","15"
"","Matt Kuchenbecker","Minn. St. Mankato","Jr.","INF","39","15"
"","Shane Latshaw","Mercyhurst","Jr.","OF","43","15"
"","Adam Lewis","Mars Hill","Sr.","C","49","15"
"","Bryan Lippincott","Concordia-St. Paul","Jr.","3B","29","15"
"","Colt Loehrs","Arkansas Tech","Sr.","OF","45","15"
"","Kevin Mager","Rollins","Jr.","INF","45","15"
"","Kevin McCall","Mercyhurst","Sr.","1B","44","15"
"","Will Miller","West Tex. A&M","Sr.","OF","47","15"
"","Mike Munoz","Franklin Pierce","Sr.","OF","41","15"
"","Luis Penate","Nova Southeastern","Sr.","INF","45","15"
"","Ryan Rua","Lake Erie","Jr.","SS","41","15"
"","Jake Sloan","North Ala.","Jr.","P","42","15"
"","Jordan Smith","Barton","Sr.","OF","44","15"
"","Sloan Soulia","Fort Hays St.","Sr.","C","44","15"
"","Ethan Stuckly","Tarleton St.","Jr.","INF","44","15"
"","Kale Sumner","Hawaii Pacific","So.","INF","45","15"
"","Shawn Ward","Georgia College","Sr.","OF","49","15"
"","John Willner","Valdosta St.","Sr.","OF","47","15"
"","Mitch Wolfe","Eastern N.M.","Sr.","INF","42","15"
"102","Juan Alvarez","Lincoln Memorial","Sr.","INF","51","14"
"","Spencer Ammons","Mo.-St. Louis","Jr.","3B","38","14"
"","Tyler Bean","Washburn","Jr.","INF","40","14"
"","Tony Blake","Dominican (NY)","So.","OF","32","14"
"","Ryan Bostian","Catawba","Jr.","OF","53","14"
"","Jason Coker","UNC Pembroke","Sr.","INF","48","14"
"","John Couch","Lincoln Memorial","Sr.","INF","51","14"
"","J Cox","Virginia St.","Fr.","-","46","14"
"","Jonathon Dalton","Carson-Newman","Sr.","OF","50","14"
"","Mike Dowd","Franklin Pierce","Jr.","C","43","14"
"","Nick Erminio","Seton Hill","Jr.","INF","37","14"
"","Noe Flores","Cal St. L.A.","Sr.","1B","41","14"
"","Logan Gillis","Bentley","So.","INF","39","14"
"","Christian Glisson","Valdosta St.","Jr.","C","44","14"
"","Josh Haley","UNC Pembroke","Jr.","OF","48","14"
"","Josh Hohn","Catawba","Sr.","C","51","14"
"","Vallmer Jordan","Morehouse","Jr.","OF","33","14"
"","Dustin Lawley","West Fla.","Sr.","OF","48","14"
"","Preston Lyon","Pfeiffer","Jr.","INF","49","14"
"","Joe Maloney","Limestone","Jr.","C","52","14"
"","Jeff May","Lander","So.","C","44","14"
"","Will McGinnis","Delta St.","Sr.","OF","43","14"
"","Dodson McPherson","Wingate","Jr.","OF","54","14"
"","Patrick Melvin","Miles","Sr.","1B","39","14"
"","Edwin Mendoza","Southwestern Okla.","Jr.","INF","45","14"
"","Jordan Mitchelhill","Neb.-Kearney","Sr.","2B","43","14"
"","Jared Mothershed","North Ala.","Sr.","OF","43","14"
"","Gelson Perez","Lincoln Memorial","Jr.","INF","49","14"
"","Heath Peterson","Montevallo","Jr.","1B","43","14"
"","Cale Rogers","Wingate","Sr.","OF","54","14"
"","Anthony Salinas","Fort Hays St.","Jr.","OF","39","14"
"","Jackie Samora","Grand Canyon","Fr.","2B","44","14"
"","Kyle Saul","UC San Diego","Sr.","C","45","14"
"","Kalvin Scheler","Bellarmine","Jr.","OF","38","14"
"","Cameron Scott","Columbus St.","So.","2B","46","14"
"","Spencer Shockley","Mo. Western St.","So.","INF","44","14"
"","Kyle Stacken","Fort Hays St.","Sr.","1B","43","14"
"","Jordan Stouffer","Metro St.","Sr.","1B","40","14"
"","Anthony Sully","Lenoir-Rhyne","Sr.","1B","47","14"
"","Ian Tomkins","Abilene Christian","Sr.","C","46","14"
"","Bobby Triglia","Valdosta St.","Jr.","INF","44","14"
"","Justin Vasquez","Belmont Abbey","Sr.","OF","43","14"
"","Omar Velazquez","Adelphi","Sr.","OF","42","14"
"","Steven Vidaurri","Incarnate Word","Sr.","OF","47","14"
"","Keith Whitman","UNC Pembroke","Sr.","OF","44","14"
"","Abe Williams","Abilene Christian","Sr.","C","40","14"
"148","Nick Adams","Rollins","Jr.","INF","46","13"
"","Andrew Anderson","Ga. Southwestern","Jr.","INF","48","13"
"","Branfy Arias","Tusculum","Sr.","OF","46","13"
"","John Avanzino","Rollins","Sr.","INF","33","13"
"","Tyler Bair","Grand Canyon","Sr.","OF","47","13"
"","Nate Baumann","Augustana (SD)","Sr.","OF","39","13"
"","John Bolding","Erskine","Sr.","INF","51","13"
"","Anthony Boza","Lynn","Jr.","1B","45","13"
"","Andrew Camardella","Dominican (NY)","So.","INF","38","13"
"","Michael Chiarelli","Western Ore.","Sr.","C","41","13"
"","Alexi Colon","Tusculum","Jr.","OF","50","13"
"","Kaleb Cunningham","Indianapolis","Sr.","INF","43","13"
"","Patrick Daugherty","Georgia College","Jr.","OF","49","13"
"","Drew Davenport","Missouri S&T","Sr.","C","37","13"
"","Kevin Deese","West Ala.","Sr.","OF","41","13"
"","Eric Deese","Ala.-Huntsville","Jr.","DH","44","13"
"","Christian Diaz","Mars Hill","Jr.","INF","48","13"
"","Travis Echols","Georgia College","So.","3B","50","13"
"","Damon Elder","Tampa","Jr.","OF","45","13"
"","Gene Franks","West Va. Wesleyan","Sr.","OF","36","13"
"","Andrew Garcia","Cameron","Jr.","1B","44","13"
"","P.J. Garcia","Grand Canyon","Jr.","2B","35","13"
"","Chandler Goode","Tex. Permian Basin","Sr.","OF","46","13"
"","Eric Grabe","Tampa","Jr.","2B","45","13"
"","Derek Hooper","North Ga.","So.","INF","48","13"
"","Aaron Johnson","Saint Martin's","Sr.","DH","47","13"
"","Cam Kneeland","Mass.-Lowell","Jr.","INF","38","13"
"","Michael Knox","Mount Olive","Jr.","DH","46","13"
"","Jp LaMunyon","North Ala.","Jr.","3B","43","13"
"","Chase Larsson","Cameron","Jr.","OF","44","13"
"","Brain Laznik","Erskine","Sr.","OF","50","13"
"","Mike Love","Ala.-Huntsville","Jr.","OF","44","13"
"","C.J. Maszal","Wayne St. (MI)","Jr.","OF","37","13"
"","Sam Mcgill","Ouachita Baptist","Sr.","P","45","13"
"","Billy Ninemire","Harding","So.","INF","46","13"
"","Kyle O'Boyle","Saginaw Valley","So.","OF","39","13"
"","Ernesto Ortiz","Grand Canyon","Jr.","SS","42","13"
"","Jordan Owens","Lander","Jr.","1B","42","13"
"","Andy Petz","Washburn","Sr.","C","41","13"
"","Kyle Pond","Cal St. Dom. Hills","Sr.","DH","41","13"
"","Joel Potts","Drury","Sr.","3B","45","13"
"","Chris Pula","West Chester","Fr.","INF","40","13"
"","Anthony Santa","Saint Leo","Jr.","INF","43","13"
"","Donald Smith","Claflin","Jr.","OF","34","13"
"","Mike Snyder","Fla. Southern","Jr.","INF","41","13"
"","Jeremy Soliday","Southwestern Okla.","Jr.","3B","44","13"
"","Zach Stone","Millersville","So.","3B","45","13"
"","Kelvin Tanner","Clark Atlanta","Fr.","INF","30","13"
"","Brad Vance","Southern Ind.","Jr.","C","45","13"
"","Travis Wilcox","Tex. Permian Basin","So.","INF","45","13"
"","Jordan Williams","Colorado Mines","So.","C","40","13"
"","Michael Wiseman","Wayne St. (MI)","Sr.","C","41","13"
"","Selwyn Young","Benedict","Sr.","SS","39","13"
"201","Raiko Alfonso","Tampa","Jr.","SS","43","12"
"","Cregg Armstrong","Claflin","So.","INF","26","12"
"","Weston Baros","St. Mary's (TX)","Sr.","2B","47","12"
"","Madison Beaird","Arkansas Tech","So.","OF","46","12"
"","Stephen Bellantoni","S.C. Aiken","Jr.","OF","50","12"
"","Corey Benson","Ga. Southwestern","Fr.","OF","47","12"
"","Zachary Blanchard","Bellarmine","Sr.","C","44","12"
"","Eric Bond","Dixie St.","Jr.","OF","37","12"
"","Ryan Brnovich","Saint Leo","So.","INF","45","12"
"","Angelo Bruno","Stonehill","Sr.","1B","43","12"
"","Dion Bryant","Stillman","Jr.","OF","41","12"
"","Trey Buck","Southern Ark.","Jr.","SS","45","12"
"","Khatim Butler","Elizabeth City St.","Sr.","P","40","12"
"","Garrett Campfield","West Tex. A&M","Sr.","C","45","12"
"","Dan Catalano","Lenoir-Rhyne","Sr.","INF","44","12"
"","Tyler Choate","Southern Ind.","Sr.","P","45","12"
"","Zach Cohen","Angelo St.","Jr.","INF","47","12"
"","Tj Cox","Ark.-Monticello","So.","INF","38","12"
"","Ross Curley","Bentley","Sr.","INF","39","12"
"","Josh Dawson","Cameron","Jr.","INF","44","12"
"","Grant DeBruin","Ala.-Huntsville","Jr.","INF","45","12"
"","Daniel DeCoste","St. Anselm","Jr.","3B","43","12"
"","Junnior Dishmey-Perez","Tarleton St.","Sr.","2B","36","12"
"","Patrick Donahue","Tampa","Sr.","INF","43","12"
"","Charlie Dubanoski","Augustana (SD)","Sr.","INF","40","12"
"","Tyson Edwards","Cal Poly Pomona","Sr.","DH","41","12"
"","Collin Elmore","St. Edward's","Jr.","INF","42","12"
"","Kyle Foti","Flagler","Jr.","C","41","12"
"","John Fouchet","Florida Tech","Sr.","INF","47","12"
"","Ryan Geffert","Southern Conn. St.","Jr.","1B","37","12"
"","Brad Hall","North Ga.","Sr.","INF","49","12"
"","Lans Hardin","Christian Bros.","Jr.","OF","41","12"
"","Wayne Hawkins","Ark.-Monticello","Jr.","OF","28","12"
"","Zane Hensley","Tarleton St.","Sr.","DH","46","12"
"","Tyler Hickernell","Winston-Salem","So.","3B","43","12"
"","Shayne Houck","Kutztown","Jr.","INF","39","12"
"","Joe Huber","St. Joseph's (IN)","Sr.","INF","44","12"
"","Jesse Kinzey","Mo. Southern St.","Jr.","P","45","12"
"","Derek Kline","Millersville","Sr.","1B","45","12"
"","Robert LaRusso","Molloy","Sr.","1B","45","12"
"","Taye Larry","West Fla.","Jr.","OF","47","12"
"","Kekoa Lee","Hawaii Hilo","Sr.","P","41","12"
"","Zak Leonhardt","Angelo St.","Sr.","INF","46","12"
"","Ryan Lewis","Columbus St.","Jr.","OF","46","12"
"","Tyson Littlewood","Dixie St.","Jr.","INF","47","12"
"","Dave Lojeski","Wis.-Parkside","Sr.","INF","36","12"
"","Dusty Maggs","Nova Southeastern","Sr.","INF","46","12"
"","Vincent Malzahn","St. Thomas Aquinas","Sr.","1B","43","12"
"","Keoni Manago","Hawaii Hilo","Sr.","OF","39","12"
"","Shannon McCormick","Northern Ky.","Sr.","INF","43","12"
"","Clayton Miller","Armstrong","Fr.","C","43","12"
"","Josh Miller","S.C. Aiken","So.","C","46","12"
"","Devon Myers","Truman","Jr.","C","44","12"
"","Chad Nacapoy","Cal St. L.A.","Jr.","C","46","12"
"","Michael Niemann","Delta St.","Sr.","OF","46","12"
"","Kendal Norman","Henderson St.","Sr.","C","39","12"
"","Chris O'Neil","Southern N.H.","Sr.","OF","42","12"
"","Emmanuel Pappadakis","Virginia St.","Fr.","OF","47","12"
"","Carmine Pellechia","Molloy","Jr.","OF","45","12"
"","Ryan Powers","Saint Leo","Sr.","INF","44","12"
"","Chris Reese","Arkansas Tech","Jr.","INF","44","12"
"","Colby Robison","Mont. St. Billings","So.","INF","39","12"
"","Eric Rodriguez","Benedict","Sr.","OF","34","12"
"","Lucas Romeo","Adelphi","Jr.","INF","38","12"
"","Tyler Ruch","Central Mo.","Sr.","INF","46","12"
"","Drew Ryan","Urbana","Fr.","3B","40","12"
"","Ralph Sanchez","Concord","Fr.","INF","38","12"
"","Ryan Saxon","Anderson (SC)","Sr.","2B","50","12"
"","Michael Schmidt","North Ala.","Jr.","INF","44","12"
"","Ryan Schoonover","Central Okla.","Sr.","OF","46","12"
"","Felix Segovia","Neb.-Kearney","Sr.","C","31","12"
"","Adam Shank","St. Edward's","Jr.","OF","44","12"
"","Colton Smith","Bemidji St.","Sr.","INF","40","12"
"","Troy Snitker","North Ga.","Jr.","C","49","12"
"","C.J. Stabler","King (TN)","Sr.","INF","41","12"
"","Albert Stanton","Southern N.H.","Fr.","OF","39","12"
"","Jon Stockton","Concordia-St. Paul","Sr.","OF","29","12"
"","Nick Sydnor","Concord","Fr.","OF","44","12"
"","Kyle Turnier","Pace","Jr.","INF","39","12"
"","Chris Vazquez","Wingate","Jr.","SS","52","12"
"","Joseph Westbrook","Mount Olive","Sr.","OF","34","12"
"","Jere Wilkins","St. Augustine's","Fr.","-","42","12"
"","Logan Williams","Southern Ark.","Sr.","3B","44","12"
"","Paul Young","Grand Valley St.","Sr.","OF","39","12"
"","Kyle Zimmerman","Ouachita Baptist","Sr.","INF","47","12"
"286","Jared Allen","Ga. Southwestern","Sr.","INF","48","11"
"","Tate Allison","Angelo St.","Jr.","OF","47","11"
"","Justin Bagbey","Chowan","Jr.","INF","46","11"
"","Chad Balderman","Limestone","Fr.","OF","51","11"
"","Eric Barnes","Oakland City","Jr.","INF","29","11"
"","Peter Barrows","Bridgeport","Sr.","1B","33","11"
"","Tyler Benzel","Fla. Southern","Sr.","INF","41","11"
"","Derek Bettinson","Northwest Nazarene","Jr.","INF","37","11"
"","Bret Blevins","Concord","Fr.","INF","40","11"
"","Rolando Bonner","Tusculum","Sr.","OF","43","11"
"","Brad Bridgeman","UNC Pembroke","Jr.","OF","48","11"
"","Adrian Bringas","Cal St. Chico","Sr.","3B","40","11"
"","Mitchell Broughton","Quincy","Fr.","OF","41","11"
"","David Buchanan","West Ga.","Sr.","C","45","11"
"","Zach Cadet","Cal St. Stanislaus","Sr.","OF","33","11"
"","Zach Carter","Missouri S&T","Sr.","3B","36","11"
"","Ryan Chesler","Millersville","So.","C","42","11"
"","Jordan Chiero","Tiffin","Jr.","INF","43","11"
"","Chris Collazo","Tex. A&M Int'l","Sr.","OF","47","11"
"","Curran Collins","Quincy","Jr.","INF","33","11"
"","Andy Cotton","Emporia St.","Sr.","INF","45","11"
"","Josh Cyr","North Ala.","So.","INF","44","11"
"","Mike De La Rosa","Incarnate Word","So.","INF","42","11"
"","Brett Delcambre","Newman","Jr.","SS","47","11"
"","Brian Dice","Lenoir-Rhyne","Sr.","C","47","11"
"","Daniel Dillard","Western Ore.","Sr.","OF","42","11"
"","Stuart Drew","West Ga.","Jr.","2B","48","11"
"","Treavor Dubiel","Davis & Elkins","Fr.","P","28","11"
"","Michael Dugan","Kutztown","Sr.","INF","39","11"
"","Adrian English","Barry","Fr.","INF","50","11"
"","R.J. Etchebarren","Grand Canyon","Sr.","OF","46","11"
"","Kalab Evans","Grand Canyon","Jr.","C","45","11"
"","Dylan Flynn","Mass.-Lowell","Fr.","OF","35","11"
"","Mike Foley","Assumption","Sr.","C","42","11"
"","Joey Frabasile","Belmont Abbey","Jr.","1B","46","11"
"","Evan Gazza","Davis & Elkins","Sr.","OF","42","11"
"","null Gerstenslage","Mercyhurst","Fr.","-","40","11"
"","Ricky Harris","Albany St. (GA)","Fr.","C","52","11"
"","Robert Hawkins","West Virginia St.","Sr.","INF","31","11"
"","Dan Hayduk","Mount Olive","Sr.","SS","44","11"
"","A.J. Hecker","Tex. A&M-Kingsville","Sr.","INF","42","11"
"","Val Helldobler","Tiffin","Jr.","INF","42","11"
"","Daniel Hiatt","Coker","Sr.","SS","42","11"
"","Daniel Homann","St. Edward's","Fr.","C","36","11"
"","Josh Huggins","West Fla.","Jr.","3B","47","11"
"","Yuki Ishida","Washington Adventist","Sr.","INF","19","11"
"","Cory Jensen","Fla. Southern","Jr.","OF","41","11"
"","Taylor Johnson","St. Edward's","So.","2B","44","11"
"","Keanu Kapana","Hawaii Pacific","Fr.","C","39","11"
"","Evan Kehoe","UC San Diego","Sr.","INF","46","11"
"","Chandler Klute","Neb.-Kearney","So.","C","35","11"
"","Brenton Kopecek","Davis & Elkins","Jr.","OF","42","11"
"","Jerry Lloyd","Bloomsburg","Sr.","1B","37","11"
"","Zach Maggard","Fla. Southern","Sr.","C","37","11"
"","Joe Mangum","UNC Pembroke","Sr.","INF","44","11"
"","Andy Marinelli","West Ga.","Fr.","-","48","11"
"","Eric Maupin","N.M. Highlands","Jr.","INF","42","11"
"","Jacob Mays","Concord","Jr.","P","42","11"
"","Brett Mazmanian","Ouachita Baptist","Jr.","C","42","11"
"","David McCarthy","Seton Hill","Sr.","INF","37","11"
"","Will McCord","Missouri S&T","Jr.","OF","39","11"
"","Sean McDonald","Northwest Nazarene","Jr.","OF","44","11"
"","Bobby Mclaughlin","Alderson-Broaddus","So.","3B","35","11"
"","Kyle Meads","Elizabeth City St.","So.","INF","40","11"
"","Tony Mitchell","Fla. Southern","Sr.","OF","41","11"
"","Lucas Mohon","Carson-Newman","So.","OF","42","11"
"","Victor Monteagudo","Felician","Jr.","C","42","11"
"","Ryan Moore","Chowan","Fr.","P","50","11"
"","Jason Nappi","Harding","Sr.","INF","45","11"
"","Randy O'Dell","Brevard","Jr.","INF","41","11"
"","Cody Pack","Lincoln Memorial","Sr.","OF","51","11"
"","Scot Palmer","Newman","Sr.","C","45","11"
"","Daniel Petitbon","Nova Southeastern","Jr.","OF","31","11"
"","Matt Petty","Barry","Sr.","INF","50","11"
"","Cory Phillips","Grand Valley St.","Sr.","INF","36","11"
"","Matthew Pullos","Colorado Mines","So.","OF","43","11"
"","Tim Quinn","Assumption","Jr.","C","41","11"
"","Tim Rainey","Tarleton St.","Sr.","OF","46","11"
"","Jeff Rice","Augusta St.","Fr.","INF","43","11"
"","Kyle Rice","S.C. Aiken","Sr.","C","41","11"
"","Dale Ricketts","North Ala.","Sr.","C","32","11"
"","Timothy Rines","Southern N.H.","Sr.","SS","43","11"
"","Melvin Robinson","Lincoln (PA)","Sr.","OF","28","11"
"","J.R. Roland","Abilene Christian","Jr.","OF","42","11"
"","Isaac Rome","Mo. Western St.","Sr.","INF","44","11"
"","Bryan Rose","Northern Ky.","Sr.","OF","42","11"
"","Roberto Sanchez","Belmont Abbey","Sr.","INF","40","11"
"","Ethan Santora","Mercyhurst","Jr.","INF","44","11"
"","Mike Santora","Cal Poly Pomona","Jr.","INF","45","11"
"","Albert Selanders","Central Mo.","So.","C","42","11"
"","Thomas Shull","Cal St. Stanislaus","Sr.","INF","39","11"
"","Frank Sirolli","Indiana (PA)","Sr.","OF","46","11"
"","Billy Smith","West Virginia St.","So.","OF","33","11"
"","Tyler Splichal","Neb. Omaha","So.","INF","39","11"
"","Chase Stokes","Ark.-Monticello","Jr.","OF","38","11"
"","Darryl Stringfield","Virginia St.","Sr.","P","47","11"
"","Travis Taijeron","Cal Poly Pomona","Sr.","OF","45","11"
"","Adam Taylor","North Greenville","So.","P","44","11"
"","Matt Toth","Lake Erie","Jr.","OF","39","11"
"","Joe Vaskas","Emporia St.","Jr.","INF","43","11"
"","Cameron Watten","Abilene Christian","Sr.","3B","41","11"
"","Drew Willingham","Erskine","So.","1B","51","11"
"","Julio Zubillaga","Catawba","Fr.","2B","51","11"
"389","Matt Albaugh","Kutztown","So.","C","35","10"
"","A.J. Alexander","N.M. Highlands","Jr.","OF","41","10"
"","Rey Alvarez","Tex. A&M Int'l","Sr.","OF","47","10"
"","Raphael Amey","Kentucky St.","Jr.","SS","38","10"
"","Steve Anderson","Grand Valley St.","Jr.","OF","40","10"
"","Greg Anderson","Colorado Mesa","Sr.","OF","44","10"
"","Matt Anderson","Cal St. Chico","Jr.","OF","40","10"
"","Cody Baker","Lincoln Memorial","So.","OF","51","10"
"","Cameron Bankston","Abilene Christian","Sr.","C","46","10"
"","Nick Barbera","Pitt.-Johnstown","Sr.","INF","37","10"
"","Nick Barnes","Charleston (WV)","Sr.","INF","43","10"
"","Chase Barnes","Pittsburg St.","Jr.","OF","38","10"
"","Matt Barr","Davis & Elkins","So.","INF","42","10"
"","Bryce Baugh","West Tex. A&M","Jr.","INF","45","10"
"","Randy Beard","Concord","So.","OF","44","10"
"","Kenny Bechaud","Mo.-St. Louis","Sr.","1B","38","10"
"","Justin Beranek","Wayne St. (NE)","So.","OF","36","10"
"","Justin Blinn","Southern Ind.","Sr.","OF","45","10"
"","Adam Boucher","Southern Ark.","Sr.","2B","41","10"
"","null Bryant-28","Benedict","Fr.","-","24","10"
"","Josh Carpenter","North Ala.","Fr.","SS","39","10"
"","Andrew Castaneda","Colorado St.-Pueblo","Jr.","OF","46","10"
"","David Christy","Limestone","Sr.","2B","52","10"
"","Brett Cisper","Northern Ky.","So.","INF","43","10"
"","Matt Cmiel","Ill.-Springfield","Fr.","OF","38","10"
"","Mike Coffey","Metro St.","Sr.","OF","34","10"
"","Brian Collins","Shepherd","Sr.","INF","16","10"
"","Garrett Cook","King (TN)","Fr.","OF","41","10"
"","Justin Croft","West Ga.","Fr.","-","43","10"
"","Kyle Cummings","Southern Conn. St.","Fr.","INF","37","10"
"","Caleb Dalman","Wayne St. (MI)","Sr.","SS","37","10"
"","Scottie Deason","Montevallo","Sr.","INF","40","10"
"","Patrick Dockendorf","Minn. St. Mankato","Jr.","INF","40","10"
"","Weston Dodson","Elizabeth City St.","Fr.","OF","40","10"
"","Bryan Dorsey","Southern Conn. St.","Jr.","OF","31","10"
"","Ryan Engrav","Newman","Sr.","INF","42","10"
"","Ryan Faison","Mount Olive","Sr.","INF","46","10"
"","Wade Finke","St. Joseph's (IN)","Sr.","INF","37","10"
"","Jimmy Franklin","Christian Bros.","Jr.","OF","44","10"
"","Will Fulmer","Montevallo","Fr.","INF","42","10"
"","Nick Fuoco","Coker","Sr.","1B","38","10"
"","Garrett Furr","Catawba","So.","DH","50","10"
"","Luis Gonzalez","Concordia (NY)","So.","C","36","10"
"","Jon Gray","Pfeiffer","Fr.","INF","49","10"
"","Cody Grice","Grand Valley St.","Jr.","OF","42","10"
"","Brian Hansen","St. Cloud St.","So.","OF","41","10"
"","Brady Hohl","Neb. Omaha","Jr.","INF","46","10"
"","Joey Ianiero","Bloomsburg","Sr.","INF","40","10"
"","Mike Jackson","Stillman","Jr.","OF","41","10"
"","Matt Jacobs","Mass.-Lowell","Jr.","OF","39","10"
"","F. Johnson","Shaw","Fr.","-","45","10"
"","Pierce Joseph","St. Augustine's","Sr.","OF","54","10"
"","Jonathan Keener","Cal St. Dom. Hills","Jr.","C","43","10"
"","Trent Kinnear","Harding","Sr.","OF","40","10"
"","Ryan Kirkland","Anderson (SC)","Jr.","OF","50","10"
"","Joe Kley","Winona St.","Sr.","OF","37","10"
"","Nick La Face","UC San Diego","Fr.","C","34","10"
"","Nick LaCroix","Franklin Pierce","So.","OF","33","10"
"","Tanner Laran","Ark.-Monticello","Jr.","OF","40","10"
"","Joseph Leftridge","Angelo St.","Jr.","OF","45","10"
"","Matt Maringer","Indianapolis","Jr.","3B","32","10"
"","Chris Matzner","Cal St. L.A.","Sr.","3B","45","10"
"","Kyle McNiff","American Int'l","Sr.","OF","36","10"
"","Luis Meija","Palm Beach Atl.","Jr.","3B","50","10"
"","Jose Mendoza","Henderson St.","Sr.","INF","42","10"
"","Ben Miller","Shippensburg","Jr.","INF","48","10"
