"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"53","Bobby Wahl","Ole Miss","So.","P","11","60.3","21","14","2.09"
"54","Paul Sewald","San Diego","Sr.","P","11","64.3","25","15","2.10"
"55","Martin Agosta","St. Mary's (CA)","Jr.","P","11","81.0","27","19","2.11"
"56","Benton Moss","North Carolina","Fr.","P","11","50.7","19","12","2.13"
"57","Andrew Waszak","Michigan St.","Jr.","P","11","71.7","19","17","2.13"
"58","Josh Conway","Coastal Caro.","Jr.","P","9","54.7","16","13","2.14"
"59","Dakota Bacus","Indiana St.","Jr.","P","12","84.0","24","20","2.14"
"","Colton Turner","Texas St.","Jr.","P","10","63.0","26","15","2.14"
"61","Kevin Brandt","East Carolina","Sr.","P","11","75.0","25","18","2.16"
"62","Dj Snelten","Minnesota","So.","P","13","70.0","20","17","2.19"
"63","Dylan Floro","Cal St. Fullerton","Jr.","P","11","74.0","24","18","2.19"
"64","Thomas Austin","Troy","Jr.","P","24","49.3","17","12","2.19"
"65","Matt Flemer","California","Sr.","1B","11","82.0","26","20","2.20"
"66","Taylor Haydel","Western Ky.","Jr.","P","20","53.0","16","13","2.21"
"67","Will Hudgins","Notre Dame","Sr.","P","11","73.0","33","18","2.22"
"68","Michael Wacha","Texas A&M","Jr.","P","11","77.0","22","19","2.22"
"69","Alex Gonzalez","Oral Roberts","So.","P","12","52.3","21","13","2.24"
"70","Clay C. Smith","Saint Louis","So.","P","11","72.3","24","18","2.24"
"71","Jace Fry","Oregon St.","Fr.","P","8","52.0","23","13","2.25"
"","Rayan Gonzalez","Bethune-Cookman","Sr.","P","11","68.0","21","17","2.25"
"","Drew Steckenrider","Tennessee","Jr.","OF","23","56.0","16","14","2.25"
"74","Jake Reed","Oregon","Fr.","P","11","75.7","22","19","2.26"
"75","David Starn","Kent St.","Sr.","P","11","71.7","24","18","2.26"
"76","Justin Amlung","Louisville","Jr.","P","11","75.3","22","19","2.27"
"77","Braden Shipley","Nevada","So.","P","11","67.3","19","17","2.27"
"78","Kevin Wild","Valparaiso","Sr.","P","11","79.0","25","20","2.28"
"79","John Niggli","Liberty","Sr.","P","12","78.7","21","20","2.29"
"80","Eddie Orozco","UC Riverside","Sr.","P","11","70.3","24","18","2.30"
"81","Tyler Costello","Radford","Fr.","P","10","66.0","21","17","2.32"
"","Shawn Stuart","Long Beach St.","Sr.","P","10","66.0","20","17","2.32"
"83","Joe Bircher","Bradley","Sr.","P","11","80.7","26","21","2.34"
"84","Jarrett Arakawa","Hawaii","So.","P","11","73.0","29","19","2.34"
"85","Pat Lowery","Columbia","Sr.","P","9","53.7","22","14","2.35"
"86","Dan Tobik","UT Martin","Jr.","P","21","46.0","19","12","2.35"
"87","Kyle McGowin","Savannah St.","So.","P","13","80.3","23","21","2.35"
"88","Mike Augliera","Binghamton","Sr.","P","9","57.3","19","15","2.36"
"89","Jordan John","Oklahoma","So.","P","20","80.0","26","21","2.36"
"","Ricky Knapp","Fla. Gulf Coast","So.","P","11","80.0","23","21","2.36"
"91","Scott Foster","Akron","Sr.","P","14","45.7","13","12","2.36"
"92","Matt Kuna","Toledo","Sr.","P","12","53.3","18","14","2.36"
"93","Christian Powell","Col. of Charleston","Jr.","P","12","68.3","22","18","2.37"
"94","Ben Lively","UCF","So.","P","14","53.0","17","14","2.38"
"95","Chris Stratton","Mississippi St.","Jr.","P","11","75.3","22","20","2.39"
"96","Tyler Olson","Gonzaga","Sr.","P","11","79.0","34","21","2.39"
"97","Joe Scanio","Northwestern St.","Sr.","P","25","56.3","22","15","2.40"
"98","Mike Murphy","Rider","So.","P","10","71.3","32","19","2.40"
"99","Joey DeNato","Indiana","So.","P","11","71.0","21","19","2.41"
"100","Kurt Heyer","Arizona","Jr.","P","11","85.7","34","23","2.42"
"101","James Buckelew","Belmont","So.","P","10","52.0","20","14","2.42"
"102","Tyler Herb","Coastal Caro.","So.","P","11","66.7","29","18","2.43"
"103","Trent Blank","Baylor","Sr.","P","13","70.3","22","19","2.43"
"","Erik Mattingly","Creighton","Sr.","OF","11","40.7","13","11","2.43"
"105","Nate Koneski","Holy Cross","Sr.","P","10","59.0","23","16","2.44"
"106","Evan Stecko-Haley","Stony Brook","Sr.","P","10","55.3","19","15","2.44"
"107","Corey Littrell","Kentucky","So.","P","11","66.3","18","18","2.44"
"108","Marcus Stroman","Duke","Jr.","P","11","81.0","25","22","2.44"
"109","Matt McClain","Delaware St.","So.","P","11","69.7","30","19","2.45"
"110","Jeff Emens","Missouri","Sr.","P","20","55.0","19","15","2.45"
"","Vince Voiro","Penn","Sr.","P","10","66.0","29","18","2.45"
"112","David Napoli","Tulane","Jr.","P","11","69.3","23","19","2.47"
"113","Ryan Connolly","Coastal Caro.","Jr.","P","26","43.7","18","12","2.47"
"114","Sean Furney","Rhode Island","Jr.","P","13","47.3","17","13","2.47"
"115","Mike Hoekstra","Eastern Ill.","Sr.","P","11","76.3","33","21","2.48"
"116","Anthony Tzamtzis","North Carolina St.","Jr.","P","12","43.0","16","12","2.51"
"117","Scott Warwick","Fairfield","Sr.","P","9","53.7","21","15","2.51"
"118","Ryne Stanek","Arkansas","So.","P","11","64.3","22","18","2.52"
"119","Jeff Hoffman","East Carolina","Fr.","P","14","50.0","16","14","2.52"
"","Dayne Quist","UC Davis","Sr.","P","10","75.0","26","21","2.52"
"121","Spencer Medick","Elon","Jr.","P","12","60.7","24","17","2.52"
"122","Matt Reed","South Fla.","Sr.","P","10","57.0","21","16","2.53"
"123","Ryan Donahue","La Salle","---","-","21","46.3","20","13","2.53"
"124","Eric Whaley","Miami (FL)","Jr.","P","10","60.3","26","17","2.54"
"125","Rafael Pineda","Texas A&M","Jr.","P","11","67.3","25","19","2.54"
"126","Alex Balog","San Francisco","So.","P","12","63.7","22","18","2.54"
"127","Kevin Christy","La Salle","Sr.","P","11","67.0","27","19","2.55"
"128","Michael Roth","South Carolina","Sr.","P","11","73.7","22","21","2.56"
"129","Joey Wagman","Cal Poly","Jr.","P","11","76.7","28","22","2.58"
"130","Hoby Milner","Texas","Jr.","P","26","55.7","23","16","2.59"
"131","Jared Ruxer","Louisville","Fr.","P","11","48.7","16","14","2.59"
"132","Thomas Harlan","Fresno St.","Sr.","P","15","73.0","29","21","2.59"
"","Sam Moll","Memphis","So.","P","11","73.0","30","21","2.59"
"134","David Roseboom","S.C. Upstate","So.","P","11","59.0","24","17","2.59"
"135","Alex Robinett","Army","Fr.","P","11","51.7","18","15","2.61"
"136","Ryan Billo","Evansville","So.","P","10","55.0","19","16","2.62"
"137","Kenny O'Brien","George Washington","Jr.","P","16","48.0","19","14","2.63"
"138","Andrew Barbosa","South Fla.","Sr.","P","12","61.7","21","18","2.63"
"139","John Straka","North Dakota St.","Jr.","P","11","78.7","28","23","2.63"
"140","Jonathan Dziedzic","Lamar","Jr.","P","10","51.3","18","15","2.63"
"141","Kyle Anderson","Cal Poly","Sr.","P","11","71.7","28","21","2.64"
"142","Kevin Brady","Clemson","Jr.","P","11","58.0","21","17","2.64"
"143","Cale Tassi","Milwaukee","Jr.","P","11","75.0","30","22","2.64"
"144","David Randall","Mercer","Jr.","P","12","61.3","23","18","2.64"
"","Stephen Tarpley","Southern California","Fr.","P","11","61.3","22","18","2.64"
"146","Tyler Davis","Washington","Fr.","P","14","51.0","18","15","2.65"
"147","Dan Child","Oregon St.","So.","P","12","74.7","35","22","2.65"
"148","Steven Ewing","Miami (FL)","Jr.","P","12","71.3","26","21","2.65"
"149","Mike Compton","Florida St.","Fr.","P","11","57.7","18","17","2.65"
"150","Johnathan Frebis","Middle Tenn.","Fr.","P","11","64.3","22","19","2.66"
"151","Daniel Koger","Auburn","Fr.","P","11","60.7","30","18","2.67"
"152","Zak Edgington","UC Santa Barbara","Sr.","P","16","57.0","25","17","2.68"
"153","Alex Wood","Georgia","So.","P","12","73.7","23","22","2.69"
"154","Pat Light","Monmouth","Jr.","P","11","80.3","30","24","2.69"
"155","Jordan Egan","Norfolk St.","Jr.","P","14","50.0","27","15","2.70"
"","Tyler Joyner","East Carolina","Jr.","P","12","70.0","24","21","2.70"
"157","Abe Bobb","San Francisco","So.","P","11","63.3","21","19","2.70"
"158","Rick Marks","Cornell","Sr.","P","10","53.3","20","16","2.70"
"159","Erick Fedde","UNLV","Fr.","P","11","69.7","29","21","2.71"
"160","Lance Breedlove","Purdue","Sr.","P","11","73.0","26","22","2.71"
"161","Kyle Zimmer","San Francisco","Jr.","P","11","76.3","23","23","2.71"
"162","Matt Anderson","Long Beach St.","Jr.","P","11","66.3","23","20","2.71"
"163","Ross Stripling","Texas A&M","Sr.","P","11","86.0","27","26","2.72"
"164","Pat Ludwig","Yale","Sr.","P","9","62.7","29","19","2.73"
"165","Mark Appel","Stanford","Jr.","P","10","79.0","26","24","2.73"
"166","Austin House","New Mexico","Jr.","P","11","75.7","28","23","2.73"
"167","Ben Bullard","UAB","Jr.","P","11","72.3","29","22","2.74"
"168","Ryan Garton","Fla. Atlantic","Sr.","P","11","68.7","24","21","2.75"
"169","Kris Gardner","Wichita St.","Fr.","P","10","49.0","17","15","2.76"
"170","Chase Brookshire","Belmont","Jr.","P","10","65.3","21","20","2.76"
"","Ryan Torgerson","Indiana St.","Jr.","P","11","65.3","28","20","2.76"
"172","Chase Stevens","Oklahoma St.","Jr.","P","16","48.7","18","15","2.77"
"173","Desmond Russell","Jackson St.","So.","INF","14","90.7","33","28","2.78"
"174","Brett Harman","Maryland","Sr.","P","11","71.0","24","22","2.79"
"175","Dylan Covey","San Diego","So.","P","12","67.7","29","21","2.79"
"176","Drew Bowen","Oral Roberts","Sr.","P","8","48.0","20","15","2.81"
"","Brent Choban","Ohio","Sr.","P","11","80.0","35","25","2.81"
"","Andro Cutura","Southeastern La.","Fr.","INF","10","48.0","16","15","2.81"
"179","Jordan Wilcox","LIU Brooklyn","Fr.","P","12","51.0","17","16","2.82"
"180","Matt Pegler","Col. of Charleston","Jr.","P","11","63.7","26","20","2.83"
"","Kyle Westwood","North Florida","Jr.","P","10","63.7","23","20","2.83"
"182","Alex Alemann","Saint Louis","Jr.","P","11","70.0","23","22","2.83"
"183","Blake Barnes","Oklahoma St.","Sr.","P","20","60.3","23","19","2.84"
"184","Zach Adkins","Delaware St.","Jr.","P","12","50.7","22","16","2.84"
"185","Blake Ware","McNeese St.","Jr.","P","12","69.7","31","22","2.84"
"186","Jacob Kemmerer","Liberty","Sr.","P","14","53.7","23","17","2.85"
"187","Matt Mancini","Saint Peter's","Jr.","P","10","56.7","25","18","2.86"
"188","Anthony Montefusco","George Mason","Jr.","P","11","72.3","29","23","2.86"
"189","Caleb Smith","Sam Houston St.","So.","P","12","69.0","27","22","2.87"
"190","Francis Brooke","Northwestern","Sr.","P","12","72.0","34","23","2.88"
"191","Trevor Megill","Loyola Marymount","Fr.","P","11","65.7","29","21","2.88"
"192","Aaron Weisberg","George Washington","So.","P","11","68.7","30","22","2.88"
"193","Adam Gunn","Utah Valley","Jr.","P","11","59.3","23","19","2.88"
"","Dennis Torres","Massachusetts","Jr.","P","8","59.3","26","19","2.88"
"195","Mat Batts","UNC Wilmington","So.","P","11","71.7","31","23","2.89"
"196","Parker French","Texas","Fr.","P","20","62.3","31","20","2.89"
"197","Mike Theodore","Michigan St.","So.","P","10","46.7","19","15","2.89"
"198","Matt Price","South Carolina","Jr.","P","15","49.7","18","16","2.90"
"199","Stephen Bougher","South Dakota St.","Jr.","P","10","59.0","26","19","2.90"
"200","Alex McRae","Jacksonville","Fr.","P","13","71.3","37","23","2.90"
"201","Aaron West","Washington","Jr.","P","12","65.0","23","21","2.91"
"202","Joe Pistorese","Washington St.","Fr.","P","11","43.3","20","14","2.91"
"203","Chris Matulis","UCF","Sr.","P","13","52.3","19","17","2.93"
"204","Joe Yermal","Charlotte","Sr.","P","10","55.3","21","18","2.93"
"205","Will Handlin","Murray St.","Jr.","P","22","46.0","17","15","2.93"
"","Brian Miller","Vanderbilt","Fr.","P","25","46.0","22","15","2.93"
"207","Johnny Melero","San Jose St.","So.","P","10","52.0","23","17","2.94"
"208","Ethan Ogburn","North Carolina St.","Jr.","P","13","55.0","22","18","2.95"
"209","Brandon Yarusi","Wofford","Jr.","P","11","76.3","28","25","2.95"
"210","Will Dorsey","Stetson","Sr.","P","13","67.0","27","22","2.96"
"","Andrew Thurman","UC Irvine","So.","P","11","67.0","24","22","2.96"
"212","Matthew Sisto","Hawaii","Sr.","P","11","76.0","30","25","2.96"
"","Randy Zeigler","La.-Monroe","Jr.","P","12","76.0","33","25","2.96"
"214","R.J. Hively","Ole Miss","Sr.","P","11","57.7","26","19","2.96"
"215","Kyle Lloyd","Evansville","Jr.","P","10","60.7","21","20","2.97"
"216","Chris Capper","BYU","Jr.","P","10","66.7","36","22","2.97"
"","Will Harris","Georgetown","Sr.","P","10","66.7","29","22","2.97"
"218","Mason Melatokis","Northwestern St.","Jr.","P","20","45.3","15","15","2.98"
"219","Pierce Johnson","Missouri St.","Jr.","P","9","60.3","26","20","2.99"
"220","Patrick Peterson","Temple","Fr.","P","12","66.3","27","22","2.99"
"221","Calvin Drummond","San Diego","Jr.","P","13","72.3","33","24","2.99"
"222","Zak Hermans","Princeton","Jr.","P","9","63.0","27","21","3.00"
"","Brandon Leibrandt","Florida St.","Fr.","P","11","57.0","22","19","3.00"
"","Ben Singer","Bowling Green","So.","P","22","45.0","24","15","3.00"
"","Ryan Strufing","Long Beach St.","So.","P","11","63.0","25","21","3.00"
"226","Kevin Ferguson","Northeastern","Jr.","P","9","62.7","27","21","3.01"
"227","Tyler McDonald","McNeese St.","So.","P","14","53.7","19","18","3.02"
"228","Michael Schulle","Houston Baptist","Sr.","P","16","50.7","21","17","3.02"
"229","Ryan Farrar","VCU","Jr.","P","11","74.3","28","25","3.03"
"230","Jacob Lee","Arkansas St.","Sr.","P","11","65.3","25","22","3.03"
"231","Justin Haley","Fresno St.","Jr.","C","16","62.3","24","21","3.03"
"232","Alex Loftin","Akron","Sr.","P","12","53.3","25","18","3.04"
"233","Andrew Benak","Rice","Jr.","P","11","50.3","17","17","3.04"
"","Brady Kirkpatrick","Maryland","So.","P","11","50.3","26","17","3.04"
"","Kyle Rupe","Indiana St.","Fr.","P","13","50.3","18","17","3.04"
"236","Connor Sinclair","Lipscomb","Sr.","C","11","71.0","28","24","3.04"
"237","Kendall Graveman","Mississippi St.","Jr.","P","11","68.0","31","23","3.04"
"238","Anthony Izzio","South Ala.","Jr.","P","9","47.3","18","16","3.04"
"","Charles Zubrod","Miami (OH)","So.","P","11","47.3","21","16","3.04"
"240","Josh Cotham","Lipscomb","Sr.","P","10","56.0","20","19","3.05"
"241","Koby Gauna","Cal St. Fullerton","Fr.","P","13","50.0","28","17","3.06"
"","Chris Horne","Norfolk St.","Jr.","P","14","50.0","20","17","3.06"
"243","Ryan Retz","High Point","Jr.","1B","9","61.7","28","21","3.06"
"244","Taylor Braun","Wright St.","So.","P","8","47.0","17","16","3.06"
"245","Gabriel Hernandez","Bethune-Cookman","Jr.","P","12","58.7","24","20","3.07"
"246","Andy Hunter","Gonzaga","Sr.","P","11","73.3","31","25","3.07"
"247","Ryan Harvey","Seton Hall","Jr.","P","13","49.7","25","17","3.08"
"","Grahamm Wiest","Cal St. Fullerton","Fr.","P","10","49.7","21","17","3.08"
"249","Kyle Finnegan","Texas St.","So.","P","12","76.0","33","26","3.08"
"250","Brian Holmes","Wake Forest","Jr.","P","11","64.3","25","22","3.08"
