"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"85","Ryne Rush","High Point","Fr.","INF","43","157","12","13.1"
"86","Derrick Chung","Sacramento St.","Sr.","C","44","170","13","13.1"
"","Tyler Spillner","Purdue","Sr.","OF","41","170","13","13.1"
"88","Zach George","Arkansas St.","So.","INF","38","143","11","13.0"
"89","Daniel Marra","South Dakota St.","Jr.","INF","39","141","11","12.8"
"90","Bryan Aanderud","Liberty","Jr.","INF","48","179","14","12.8"
"91","Eric Stamets","Evansville","Jr.","INF","44","166","13","12.8"
"92","Cody DeMera","Ark.-Pine Bluff","Jr.","OF","43","152","12","12.7"
"","Tyler Tewell","Appalachian St.","Jr.","C","41","152","12","12.7"
"94","Tyler Vaughn","Troy","So.","INF","35","113","9","12.6"
"95","Matt Holsman","Fairleigh Dickinson","Sr.","INF","41","138","11","12.5"
"96","Alex Buccilli","Coastal Caro.","Jr.","OF","39","125","10","12.5"
"97","Derek Vigoa","Penn","Sr.","INF","39","137","11","12.5"
"98","Will Fadness","Milwaukee","Jr.","C","40","149","12","12.4"
"99","Dairio Little","N.C. A&T","Jr.","OF","43","161","13","12.4"
"","Einar Muniz","Alabama St.","Fr.","INF","48","161","13","12.4"
"101","Drew Walsh","LIU Brooklyn","Sr.","SS","45","173","14","12.4"
"102","Nick Camastro","Manhattan","Jr.","INF","42","147","12","12.3"
"103","Jason Vosler","Northeastern","Fr.","INF","38","146","12","12.2"
"104","Jordan Stampler","S.C. Upstate","Jr.","INF","41","158","13","12.2"
"105","Kevin Flynn","Hofstra","Sr.","DH","35","121","10","12.1"
"","Frank Schwindel","St. John's (NY)","So.","C","37","121","10","12.1"
"107","Matt Bowman","Princeton","Jr.","SS","38","133","11","12.1"
"","Tony Crudo","Northern Colo.","Sr.","INF","41","133","11","12.1"
"109","Michael Burruss","Ga. Southern","Jr.","OF","45","193","16","12.1"
"110","Kolby Arnst","Houston Baptist","Sr.","OF","42","168","14","12.0"
"","Tanner Mathis","Ole Miss","Jr.","OF","44","168","14","12.0"
"","Chesny Young","Mercer","Fr.","INF","47","168","14","12.0"
"","Tre-von Johnson","Md.-East. Shore","Jr.","OF","41","156","13","12.0"
"","Danny Oh","California","Sr.","OF","32","84","7","12.0"
"115","Kyle Burnam","Indiana St.","Sr.","OF","45","179","15","11.9"
"","Alex Mejia","Arizona","Jr.","INF","42","179","15","11.9"
"117","Andrew Istler","Duke","Fr.","P","40","107","9","11.9"
"118","Scott Kalush","UC Davis","Sr.","C","38","118","10","11.8"
"119","Sean Moysh","Utah Valley","Jr.","OF","41","165","14","11.8"
"120","Travis Jankowski","Stony Brook","Jr.","OF","44","164","14","11.7"
"121","Andrew Green","East Tenn. St.","Jr.","OF","43","163","14","11.6"
"122","Zeth Stone","Samford","Jr.","INF","45","185","16","11.6"
"","Johnny Thomas","Middle Tenn.","Jr.","INF","46","185","16","11.6"
"124","Alex Bacon","North Florida","So.","OF","43","150","13","11.5"
"125","Eric Charles","Purdue","Sr.","INF","40","160","14","11.4"
"126","Dan Olinger","Minnesota","So.","C","46","171","15","11.4"
"127","Jeremy Baltz","St. John's (NY)","Jr.","OF","44","170","15","11.3"
"128","Travis Isaak","Murray St.","Sr.","INF","42","181","16","11.3"
"129","Adam Frazier","Mississippi St.","So.","INF","44","169","15","11.3"
"130","Jose Longoria","Grambling","Jr.","C","33","134","12","11.2"
"131","Brandon Gonnella","Towson","So.","P","35","89","8","11.1"
"132","Christopher Torres","Tex.-Pan American","Jr.","C","32","111","10","11.1"
"","Derik Wilson","Pittsburgh","So.","SS","36","111","10","11.1"
"134","Zach Rhodes","South Dakota St.","Sr.","OF","41","144","13","11.1"
"","Will Watson","Northwestern St.","Jr.","1B","41","144","13","11.1"
"136","Chase Okey","UT Martin","Sr.","C","40","155","14","11.1"
"137","Dylan Craig","Belmont","Sr.","OF","44","165","15","11.0"
"","Jake Davies","Georgia Tech","Sr.","P","45","165","15","11.0"
"","Jensen Park","Northern Colo.","Fr.","OF","43","154","14","11.0"
"","Richard Stock","Nebraska","Jr.","C","39","154","14","11.0"
"","Brock Harding","Southern Ill.","Jr.","INF","38","132","12","11.0"
"","Kyle Teaf","South Fla.","Fr.","INF","44","132","12","11.0"
"143","Michael Faulkner","Arkansas St.","Jr.","OF","40","164","15","10.9"
"","Mike Genovese","Seton Hall","Jr.","INF","44","164","15","10.9"
"145","Whitt Dorsey","South Ala.","Jr.","C","40","153","14","10.9"
"","Cullen Wacker","Auburn","Jr.","OF","43","153","14","10.9"
"147","Jon Wilson","Niagara","Sr.","SS","40","142","13","10.9"
"148","Trey Porras","New Mexico","Sr.","OF","34","109","10","10.9"
"149","Corey LeVier","San Diego","Sr.","INF","43","163","15","10.9"
"150","Troy Marrow","N.C. Central","So.","INF","44","152","14","10.9"
