"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"99","Jeff Kemp","Radford","Jr.","INF","41","172","99","0.576"
"","Kyle Schwarber","Indiana","Fr.","C","45","172","99","0.576"
"101","Austin Heaps","Utah Valley","Sr.","OF","41","153","88","0.575"
"102","Jayce Boyd","Florida St.","Jr.","1B","42","162","93","0.574"
"103","Tristan Moore","Wright St.","Sr.","OF","44","176","101","0.574"
"104","Justin Lacy","Longwood","Jr.","DH","39","147","84","0.571"
"105","Sam Eberle","Jacksonville St.","Sr.","INF","38","142","81","0.570"
"106","Jimmy Risi","Butler","Jr.","1B","41","128","73","0.570"
"107","Jared Hammer","Hofstra","Jr.","1B","42","158","90","0.570"
"108","Bobby Brown","Arizona","Sr.","OF","32","116","66","0.569"
"109","Zac Johnson","Illinois St.","Jr.","INF","38","146","83","0.568"
"110","Bobby Glover","Dayton","Sr.","OF","45","190","108","0.568"
"111","Garrett Custons","Air Force","Jr.","OF","36","139","79","0.568"
"112","Blake Johnson","UALR","Jr.","C","33","127","72","0.567"
"113","Jordan Owen","UT Martin","Sr.","OF","43","157","89","0.567"
"114","Jeremy Schaffer","Tulane","Sr.","C","44","166","94","0.566"
"","Jose Trevino","Oral Roberts","Fr.","INF","44","166","94","0.566"
"116","Thomas Brown","Grambling","So.","INF","35","145","82","0.566"
"117","Logan Pierce","Troy","Jr.","INF","44","168","95","0.565"
"118","Brian Billigen","Cornell","Sr.","OF","38","138","78","0.565"
"","Jake Hibberd","Wright St.","Sr.","INF","44","184","104","0.565"
"120","Bob Donato","Bucknell","Sr.","OF","46","177","100","0.565"
"121","Billy Burgess","Utah Valley","Sr.","OF","40","154","87","0.565"
"122","David Olson","Campbell","Jr.","P","43","156","88","0.564"
"123","Clinton Freeman","East Tenn. St.","So.","P","43","172","97","0.564"
"124","D Hopkins","Southern U.","---","1B","34","110","62","0.564"
"","Adam Brett Walker","Jacksonville","Jr.","1B","45","165","93","0.564"
"126","Christian Walker","South Carolina","Jr.","INF","44","158","89","0.563"
"127","Taylor Ard","Washington St.","Jr.","1B","39","167","94","0.563"
"128","Zac Mitchell","Belmont","Sr.","INF","44","153","86","0.562"
"129","Aaron Nardone","Delaware St.","So.","C","41","137","77","0.562"
"130","Anthony Stokes","Bethune-Cookman","So.","1B","35","116","65","0.560"
"131","Mac Williamson","Wake Forest","Jr.","OF","41","150","84","0.560"
"132","Tyler Horan","Virginia Tech","So.","OF","45","159","89","0.560"
"133","Joey Rapp","La.-Monroe","Sr.","INF","44","168","94","0.560"
"134","Rick Devereaux","Pittsburgh","Sr.","C","42","177","99","0.559"
"135","D.J. Hicks","UCF","Jr.","1B","45","161","90","0.559"
"","Trevor Kirk","UNLV","Sr.","OF","40","161","90","0.559"
"","Carlos Lopez","Wake Forest","Sr.","OF","45","161","90","0.559"
"138","Bryan Conway","Richmond","Sr.","C","40","145","81","0.559"
"139","Ty Wiesemeyer","Illinois St.","Sr.","OF","39","154","86","0.558"
"140","Tyler Naquin","Texas A&M","Jr.","OF","44","172","96","0.558"
"141","Jacob Wilson","Memphis","Sr.","INF","42","165","92","0.558"
"142","Tom Bourdon","Boston College","So.","OF","45","201","112","0.557"
"143","Jake Arrington","Sam Houston St.","Sr.","INF","38","135","75","0.556"
"","Roger Bernal","Tex.-Pan American","Sr.","INF","36","153","85","0.556"
"","Albert Carpen","Chicago St.","Sr.","OF","37","126","70","0.556"
"","Brock Hebert","Southeastern La.","Jr.","INF","45","171","95","0.556"
"147","Dustin Selzer","Dartmouth","So.","INF","35","128","71","0.555"
"148","Brandon Murray","Col. of Charleston","So.","OF","41","139","77","0.554"
"149","Derek Fisher","Virginia","Fr.","OF","42","159","88","0.553"
"150","A.J. Jamison","Eastern Ky.","Sr.","INF","38","161","89","0.553"
"151","Garrett Koster","Elon","Sr.","INF","44","163","90","0.552"
"152","Phillip Ervin","Samford","So.","P","45","183","101","0.552"
"153","Alex Friedrich","UCF","Sr.","OF","44","167","92","0.551"
"154","Matt Hillsinger","Radford","Sr.","OF","43","158","87","0.551"
"155","Tim Colwell","North Dakota St.","So.","OF","43","178","98","0.551"
"156","George Roberts","Kent St.","Jr.","INF","43","160","88","0.550"
"157","Brandon Thomas","Georgia Tech","Jr.","OF","44","171","94","0.550"
"158","Tyler Wells","Ohio","Fr.","OF","40","142","78","0.549"
"159","Evan Campbell","Kent St.","Jr.","INF","42","186","102","0.548"
"160","Cody Hudson","Austin Peay","Jr.","OF","37","135","74","0.548"
"161","Corey Dick","UNC Wilmington","Fr.","INF","39","115","63","0.548"
"162","Luis Diaz","N.C. Central","Jr.","OF","44","157","86","0.548"
"163","James Brooks","Utah","Sr.","INF","42","170","93","0.547"
"","Greg Dupell","Navy","Jr.","INF","48","170","93","0.547"
"","Nick Schneeberger","Tulane","Sr.","INF","44","170","93","0.547"
"166","Nick Anderson","North Dakota St.","Sr.","OF","40","139","76","0.547"
"167","Dario Pizzano","Columbia","Jr.","OF","44","150","82","0.547"
"168","Jeff Gelalich","UCLA","Jr.","OF","40","152","83","0.546"
"169","Eli Hynes","Memphis","Sr.","OF","44","174","95","0.546"
"170","Bryan Bleakley","NJIT","Sr.","C","36","121","66","0.545"
"","Ben Magsig","Eastern Mich.","Sr.","INF","41","132","72","0.545"
"172","Chris Cruz","Cornell","So.","P","44","156","85","0.545"
"173","Zac Fisher","New Mexico St.","Jr.","C","43","169","92","0.544"
"174","Eduardo Gonzalez","Alcorn St.","Sr.","1B","44","173","94","0.543"
"175","Anthony Azar","Sam Houston St.","So.","C","39","140","76","0.543"
"","Dan Evatt","Baylor","Sr.","1B","35","105","57","0.543"
"177","Jeff McVaney","Texas St.","Sr.","OF","42","168","91","0.542"
"","Dane Opel","Missouri","Jr.","OF","40","144","78","0.542"
"179","Cameron Flynn","Kentucky","Sr.","OF","42","133","72","0.541"
"180","Jason Vosler","Northeastern","Fr.","INF","38","146","79","0.541"
"181","Cameron Bentley","UALR","Sr.","OF","42","178","96","0.539"
"182","Michael Chiaravalloti","Iona","Sr.","1B","40","128","69","0.539"
"183","Michael Garcia","Eastern Ky.","Sr.","OF","40","130","70","0.538"
"","Cameron Perkins","Purdue","Jr.","INF","40","169","91","0.538"
"","J.P. Sportman","Central Conn. St.","So.","INF","42","156","84","0.538"
"186","Matt Fleishman","Villanova","Sr.","OF","45","184","99","0.538"
"187","Joey Cujas","VCU","So.","INF","44","158","85","0.538"
"188","Cameron McGriff","Southern U.","Sr.","INF","41","162","87","0.537"
"189","Max Himmelstein","UMBC","Sr.","1B","37","136","73","0.537"
"","Dalton Rouleau","Hofstra","Jr.","INF","36","136","73","0.537"
"191","Stephen Bruno","Virginia","Jr.","INF","44","177","95","0.537"
"","Nick Colwell","North Dakota St.","Sr.","OF","43","177","95","0.537"
"","Tyler Sciacca","Villanova","Sr.","SS","45","177","95","0.537"
"194","Stewart Ijames","Louisville","Sr.","OF","44","166","89","0.536"
"195","Ryan Tella","Auburn","So.","OF","44","170","91","0.535"
"196","Andy Smith","Liberty","Jr.","OF","41","144","77","0.535"
"197","Vincent Mejia","Tex.-Pan American","Sr.","INF","36","116","62","0.534"
"198","Thomas Pope","UNC Wilmington","Sr.","OF","41","161","86","0.534"
"","Bryan Soloman","Eastern Ky.","So.","INF","41","161","86","0.534"
"200","Danny Collins","Troy","So.","INF","44","182","97","0.533"
