"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"59","Jeff Popick","Colorado Mesa","Sr.","OF","43","153","61","0.399"
"60","Lee Neumann","Angelo St.","Jr.","OF","50","176","70","0.398"
"61","Michael Hughey","Limestone","Jr.","SS","42","171","68","0.398"
"62","Braden Box","Colorado Mesa","Jr.","INF","43","156","62","0.397"
"63","Tommy Barnes","Neb.-Kearney","Jr.","1B","43","159","63","0.396"
"","Aaron Guinn","Tusculum","Sr.","1B","54","212","84","0.396"
"","Jason Stone","Incarnate Word","Jr.","OF","31","106","42","0.396"
"66","Calvin Graves","Franklin Pierce","So.","OF","40","134","53","0.396"
"67","Jos Catalano","Chowan","Fr.","-","48","170","67","0.394"
"68","Drew Miller","Southwest Baptist","So.","C","44","145","57","0.393"
"69","Jake Warner","Pitt.-Johnstown","So.","C","48","168","66","0.393"
"","Jordan White","Ky. Wesleyan","Sr.","OF","45","168","66","0.393"
"","Landon Wilson","Stillman","Jr.","OF","39","140","55","0.393"
"72","Allen Staton","North Greenville","Fr.","P","53","191","75","0.393"
"73","Kyle Dalton","Concordia-St. Paul","Fr.","2B","39","135","53","0.393"
"74","Sheldon Howell","Fort Hays St.","Sr.","INF","44","158","62","0.392"
"75","Phil Imholte","St. Cloud St.","Jr.","OF","44","153","60","0.392"
"","Jorrell Johnson","LeMoyne-Owen","So.","INF","31","102","40","0.392"
"77","Josh Haley","UNC Pembroke","Sr.","OF","49","197","77","0.391"
"78","Ryan McChesney","Florida Tech","Sr.","C","45","151","59","0.391"
"79","Jermaine Berry","Mount Olive","Jr.","3B","42","164","64","0.390"
"80","Kyle Koeneman","Carson-Newman","Sr.","1B","49","154","60","0.390"
"81","Austin Rycroft","Central Okla.","Sr.","OF","48","180","70","0.389"
"","Ryan Siegel","Mercyhurst","Fr.","OF","44","162","63","0.389"
"","Tyler Phan Thornton","Colorado Mines","Sr.","INF","33","126","49","0.389"
"84","Spencer Shockley","Mo. Western St.","Jr.","INF","44","139","54","0.388"
"85","Will Tankersley","S.C. Aiken","Fr.","OF","45","165","64","0.388"
"86","Lee Voth-Gaeddert","Missouri S&T","Sr.","OF","39","147","57","0.388"
"87","Brendan Costantino","Seton Hill","So.","INF","49","178","69","0.388"
"88","Brian Wuest","Neb.-Kearney","Jr.","1B","44","160","62","0.388"
"89","Alex Haag","Regis (CO)","Sr.","OF","43","142","55","0.387"
"","Josh Salmon","Henderson St.","Jr.","INF","41","142","55","0.387"
"","Lucas Skjefte","Minn. St. Mankato","Jr.","INF","39","142","55","0.387"
"92","Adam Gemuenden","Winona St.","Sr.","1B","40","124","48","0.387"
"","Shane Keddy","Assumption","Jr.","3B","38","155","60","0.387"
"94","Ty Gilmore","Mont. St. Billings","Fr.","INF","38","137","53","0.387"
"95","Jon Kemmer","Clarion","Jr.","OF","40","119","46","0.387"
"96","Kolin McMillen","Mercyhurst","Fr.","INF","42","158","61","0.386"
"97","Mike Russo","St. Thomas Aquinas","Fr.","-","38","114","44","0.386"
"98","Clifton Taylor","Elizabeth City St.","Jr.","OF","26","96","37","0.385"
"99","Andrew Naegeli","Maryville (MO)","So.","OF","36","135","52","0.385"
"","Tommy Roush","Findlay","Jr.","INF","44","135","52","0.385"
"101","Brett Moreland","Flagler","Jr.","C","49","208","80","0.385"
"102","Matt Barr","Davis & Elkins","Jr.","INF","47","138","53","0.384"
"103","Brendan Collins","Saint Leo","Fr.","OF","37","133","51","0.383"
"","Travis Parsons","Wayne St. (NE)","Sr.","1B","40","133","51","0.383"
"105","Shane Latshaw","Mercyhurst","Sr.","OF","48","175","67","0.383"
"106","null Castilow","West Liberty","Fr.","-","37","110","42","0.382"
"107","null Ammar","Wheeling Jesuit","Fr.","-","39","126","48","0.381"
"108","Danny Susdorf","UC San Diego","Jr.","OF","44","176","67","0.381"
"109","Tyler Gaby","King (TN)","So.","OF","37","134","51","0.381"
"110","Grant DeBruin","Ala.-Huntsville","Sr.","INF","48","184","70","0.380"
"111","Joe Kornbrust","Emporia St.","Sr.","INF","42","163","62","0.380"
"112","Emilio Fernandez","Bloomfield","Sr.","OF","37","142","54","0.380"
"113","Robert Brown","Clark Atlanta","Sr.","OF","34","108","41","0.380"
"114","Eric Renegar","Brevard","Jr.","INF","48","182","69","0.379"
"115","Chuck Duarte","Abilene Christian","Jr.","INF","50","169","64","0.379"
"","Frank Salerno","St. Thomas Aquinas","Jr.","INF","45","169","64","0.379"
"117","Matt Toth","Lake Erie","Sr.","OF","42","140","53","0.379"
"118","Mike Diorio","Lynn","Sr.","INF","43","156","59","0.378"
"119","Cory Flickinger","West Va. Wesleyan","Sr.","OF","43","143","54","0.378"
"120","Derek Hansen","Augustana (SD)","Jr.","INF","43","151","57","0.377"
"121","Brandon Schwanz","Saginaw Valley","Sr.","OF","36","106","40","0.377"
"122","Cameron Dullnig","Tex. A&M-Kingsville","Sr.","2B","44","138","52","0.377"
"","Devon Zenn","Sonoma St.","Jr.","INF","41","138","52","0.377"
"124","Michael Jordan","Benedict","Sr.","INF","36","101","38","0.376"
"125","Luis Saenz","N.M. Highlands","Sr.","OF","43","141","53","0.376"
"126","Patrick Chandler","Rockhurst","Jr.","OF","42","157","59","0.376"
"","Jason Dahl","Southern Ark.","Sr.","OF","46","157","59","0.376"
"","Brett Neill","Drury","Jr.","INF","42","157","59","0.376"
"129","Michael McCoy","Mo. Southern St.","Jr.","INF","46","165","62","0.376"
"","Rafael Thomas","Southern Ark.","Sr.","OF","44","165","62","0.376"
"131","Zach Taylor","Armstrong","Jr.","OF","48","205","77","0.376"
"132","Steve Anderson","Grand Valley St.","Sr.","OF","44","152","57","0.375"
"","Mike Blanchard","Hillsdale","Sr.","OF","42","128","48","0.375"
"","Brady Capshaw","Southern Ark.","Jr.","3B","42","144","54","0.375"
"","Tyler Christophel","Southwest Baptist","Sr.","OF","44","160","60","0.375"
"","Carter Haponski","Slippery Rock","Sr.","OF","36","120","45","0.375"
"","Cam Kneeland","Mass.-Lowell","Sr.","INF","43","176","66","0.375"
"","Jarrod Kramer","Bloomsburg","Sr.","3B","44","144","54","0.375"
"","Joe Petosa","Felician","Jr.","OF","40","136","51","0.375"
"","Luis Quinones","Eastern N.M.","Jr.","OF","46","176","66","0.375"
"141","Dion Bryant","Stillman","Sr.","OF","44","187","70","0.374"
"","Landon Sullins","Arkansas Tech","Sr.","C","49","187","70","0.374"
"143","Darryl Baca","Metro St.","Fr.","C","42","155","58","0.374"
"144","Zach Miller","Saint Leo","Sr.","INF","39","139","52","0.374"
"145","Igor Molina","Charleston (WV)","Jr.","INF","41","123","46","0.374"
"146","Jordan Easom","West Tex. A&M","Sr.","OF","45","158","59","0.373"
"147","Nate Blessman","Ill.-Springfield","Sr.","OF","41","150","56","0.373"
"148","Cade Stallings","Tusculum","Jr.","INF","54","201","75","0.373"
"149","R.J. Dennard","Armstrong","Fr.","C","45","161","60","0.373"
"","Brett Scarberry","Anderson (SC)","Sr.","C","44","161","60","0.373"
"151","Cody Montz","Kutztown","Sr.","INF","41","145","54","0.372"
"","Chad Murphy","Shepherd","Jr.","C","46","145","54","0.372"
"153","Toby Semler","Angelo St.","Sr.","INF","50","188","70","0.372"
"154","Andrew Ciennik","Wayne St. (MI)","Sr.","2B","41","121","45","0.372"
"155","Seth McMullen","Winona St.","Jr.","SS","42","156","58","0.372"
"156","Jarvis Smith","West Tex. A&M","Jr.","OF","37","113","42","0.372"
"157","Logan Bouts","Concordia-St. Paul","Sr.","DH","40","148","55","0.372"
"158","Josh Miller","S.C. Aiken","Jr.","C","46","183","68","0.372"
"159","Bryce Bastien","Maryville (MO)","Fr.","OF","39","132","49","0.371"
"","Joe Candela","Dowling","Jr.","INF","39","132","49","0.371"
"161","Jake Sloan","North Ala.","Sr.","P","50","159","59","0.371"
"162","Sean McDonald","Northwest Nazarene","Sr.","OF","45","186","69","0.371"
"163","Alex Miller","Neb.-Kearney","Jr.","OF","43","151","56","0.371"
"164","Chris Schindler","Colorado St.-Pueblo","Sr.","C","45","143","53","0.371"
"165","Bret Blevins","Concord","So.","INF","48","170","63","0.371"
"","Scott Bradbury","Rockhurst","Sr.","3B","42","170","63","0.371"
"","Dan Hennigan","Franklin Pierce","Sr.","2B","45","170","63","0.371"
"168","Aj Nunziato","Lander","Sr.","INF","48","197","73","0.371"
"169","Bryan Butcher","Morehouse","Sr.","C","36","135","50","0.370"
"170","Blake Gentry","Southeastern Okla.","Sr.","OF","46","173","64","0.370"
"171","Bo Folkinga","Western Ore.","Sr.","OF","36","138","51","0.370"
"","Jeremy Williams","Tuskegee","Jr.","P","42","138","51","0.370"
"173","Derek Nakasato","Hawaii Pacific","Fr.","OF","42","157","58","0.369"
"174","Kendall Boone","West Tex. A&M","Sr.","INF","46","176","65","0.369"
"175","Kyle Davis","N.M. Highlands","Jr.","OF","34","103","38","0.369"
"176","Michael Schmidt","North Ala.","Sr.","INF","50","179","66","0.369"
"177","Kyle Cummings","Southern Conn. St.","So.","INF","39","152","56","0.368"
"178","Justin Sizemore","Palm Beach Atl.","Sr.","1B","38","125","46","0.368"
"179","Nick Whitty","Indianapolis","Jr.","C","41","106","39","0.368"
"180","Will Fulmer","Montevallo","So.","INF","49","204","75","0.368"
"","Wes Koenig","St. Edward's","Jr.","1B","40","136","50","0.368"
"","Kameron McCreless","Stillman","So.","INF","42","136","50","0.368"
"183","Matthew Black","North Ga.","Sr.","INF","43","166","61","0.367"
"","Nash Smith","Fort Hays St.","Sr.","OF","43","166","61","0.367"
"185","Darren Dworak","Cal St. San B'dino","Sr.","DH","41","147","54","0.367"
"","Zach Gawrych","Tampa","So.","OF","35","98","36","0.367"
"187","Tucker Brown","Central Okla.","Sr.","INF","47","177","65","0.367"
"","Garrett Tuck","UC San Diego","So.","SS","48","177","65","0.367"
"189","Mitch Roy","Alderson-Broaddus","Sr.","OF","45","161","59","0.366"
"190","Mike Bolling","Lewis","Sr.","OF","46","172","63","0.366"
"191","Billy Richard","St. Mary's (TX)","Jr.","OF","49","183","67","0.366"
"192","William Smalls","Albany St. (GA)","Sr.","SS","38","134","49","0.366"
"","Kelend Smith","Miles","Fr.","1B","41","134","49","0.366"
"194","Nick Thimesch","Drury","So.","OF","42","156","57","0.365"
"","Lance Vannoy","Davis & Elkins","Fr.","OF","36","104","38","0.365"
"196","Patrick Dockendorf","Minn. St. Mankato","Sr.","INF","40","137","50","0.365"
"","Robert Patete","East Stroudsburg","Fr.","3B","42","137","50","0.365"
"","Jarrod Reed","Francis Marion","Jr.","OF","43","137","50","0.365"
"","Justin Riddle","Ala.-Huntsville","So.","C","46","137","50","0.365"
"","Colby White","Maryville (MO)","Jr.","OF","42","137","50","0.365"
