"Rank","Name","Team","Cl","Pos","App","IP","W","L","PCT"
"","Brady Rodgers","Arizona St.","Jr.","P","11","83.7","7","2","0.778"
"","Ross Stripling","Texas A&M","Sr.","P","11","86.0","7","2","0.778"
"","Justin Amlung","Louisville","Jr.","P","11","75.3","7","3","0.700"
"","Aaron Burke","Coastal Caro.","Jr.","P","25","50.3","7","3","0.700"
"","Adam Gunn","Utah Valley","Jr.","P","11","59.3","7","3","0.700"
"","Justin Jackson","Sam Houston St.","Sr.","P","11","66.3","7","3","0.700"
"","Kevin Johnson","Illinois","Jr.","P","11","71.3","7","3","0.700"
"","Alex Keudell","Oregon","Sr.","P","12","81.7","7","3","0.700"
"","John Kravetz","Illinois","Fr.","P","12","67.7","7","3","0.700"
"","Pat Light","Monmouth","Jr.","P","11","80.3","7","3","0.700"
"","Matt McClain","Delaware St.","So.","P","11","69.7","7","3","0.700"
"","Braden Shipley","Nevada","So.","P","11","67.3","7","3","0.700"
"","Matthew Sisto","Hawaii","Sr.","P","11","76.0","7","3","0.700"
"","Calvin Drummond","San Diego","Jr.","P","13","72.3","7","4","0.636"
"","Michael Kraft","UTSA","So.","P","11","63.7","7","4","0.636"
"75","Alex Alemann","Saint Louis","Jr.","P","11","70.0","6","0","1.000"
"","Matt Fyffe","Eastern Ky.","Sr.","P","18","42.7","6","0","1.000"
"","Colby Holmes","South Carolina","Jr.","P","10","52.0","6","0","1.000"
"","Corey Littrell","Kentucky","So.","P","11","66.3","6","0","1.000"
"","Brian McAfee","Cornell","Fr.","P","9","56.0","6","0","1.000"
"","Preston Morrison","TCU","Fr.","P","14","67.3","6","0","1.000"
"","Michael Oros","Sam Houston St.","Sr.","P","19","42.0","6","0","1.000"
"","Cody Schumacher","Missouri St.","Jr.","P","12","64.3","6","0","1.000"
"","Matt Sergey","Campbell","Sr.","P","11","73.3","6","0","1.000"
"","Michael Wacha","Texas A&M","Jr.","P","11","77.0","6","0","1.000"
"","Zach Adkins","Delaware St.","Jr.","P","12","50.7","6","1","0.857"
"","Mike Aldrete","San Jose St.","Jr.","INF","16","26.3","6","1","0.857"
"","Mark Appel","Stanford","Jr.","P","10","79.0","6","1","0.857"
"","Joe Bircher","Bradley","Sr.","P","11","80.7","6","1","0.857"
"","Josh Davis","Belmont","Jr.","P","16","39.7","6","1","0.857"
"","Patrick Eckelbarger","Liberty","Sr.","P","11","59.0","6","1","0.857"
"","Mike Hauschild","Dayton","Sr.","P","13","81.3","6","1","0.857"
"","Andrew Heaney","Oklahoma St.","Jr.","P","11","84.0","6","1","0.857"
"","Tom Jameson","Nevada","Jr.","P","11","68.3","6","1","0.857"
"","Tyler Johnson","Stony Brook","Sr.","P","8","52.3","6","1","0.857"
"","Clark Labitan","Virginia Tech","Jr.","P","25","38.0","6","1","0.857"
"","Cameron Maldonado","Southern Ill.","Sr.","P","11","61.3","6","1","0.857"
"","Brandon McNitt","Stony Brook","So.","P","10","63.7","6","1","0.857"
"","Dayne Quist","UC Davis","Sr.","P","10","75.0","6","1","0.857"
"","David Roseboom","S.C. Upstate","So.","P","11","59.0","6","1","0.857"
"","Kyle Rupe","Indiana St.","Fr.","P","13","50.3","6","1","0.857"
"","Gera Sanchez","New Mexico","Sr.","P","16","49.7","6","1","0.857"
"","Michael Suk","Nicholls St.","Jr.","P","14","53.7","6","1","0.857"
"","Ryan Van Spronsen","Wagner","Sr.","P","10","83.0","6","1","0.857"
"","Konner Wade","Arizona","So.","P","13","80.0","6","1","0.857"
"","D.J Baxendale","Arkansas","Jr.","P","12","59.7","6","2","0.750"
"","Clay C. Smith","Saint Louis","So.","P","11","72.3","6","2","0.750"
"","Dylan Craig","Illinois St.","Fr.","P","11","57.0","6","2","0.750"
"","Nick Dignacco","Army","So.","P","11","56.7","6","2","0.750"
"","Jake Drehoff","Southern Miss.","Fr.","P","11","71.7","6","2","0.750"
"","Seth Grant","Appalachian St.","Sr.","P","11","70.0","6","2","0.750"
"","Zak Hermans","Princeton","Jr.","P","9","63.0","6","2","0.750"
"","Brian Holmes","Wake Forest","Jr.","P","11","64.3","6","2","0.750"
"","Matt Iannazzo","Pittsburgh","Sr.","P","12","71.0","6","2","0.750"
"","Connor Kaufmann","Cornell","So.","P","9","47.3","6","2","0.750"
"","Nate Koneski","Holy Cross","Sr.","P","10","59.0","6","2","0.750"
"","Kyle McGowin","Savannah St.","So.","P","13","80.3","6","2","0.750"
"","Morgan McKinney","Western Caro.","Jr.","P","11","68.0","6","2","0.750"
"","David Napoli","Tulane","Jr.","P","11","69.3","6","2","0.750"
"","Andrew Pierce","Southern Miss.","Jr.","P","11","74.0","6","2","0.750"
"","Jon Prosinski","Seton Hall","Jr.","P","11","73.3","6","2","0.750"
"","Ryan Retz","High Point","Jr.","1B","9","61.7","6","2","0.750"
"","Tyler Skulina","Kent St.","So.","P","11","63.7","6","2","0.750"
"","Rob Smorol","Rutgers","Jr.","P","11","67.7","6","2","0.750"
"","John Straka","North Dakota St.","Jr.","P","11","78.7","6","2","0.750"
"","Josh Walker","New Mexico","So.","P","13","57.3","6","2","0.750"
"","Ryan Wilkinson","Toledo","So.","P","15","56.0","6","2","0.750"
"","Taylor Aikenhead","CSU Bakersfield","So.","P","10","59.0","6","3","0.667"
"","Lance Breedlove","Purdue","Sr.","P","11","73.0","6","3","0.667"
"","Alex Byo","Tulane","Jr.","P","10","62.7","6","3","0.667"
"","Brent Choban","Ohio","Sr.","P","11","80.0","6","3","0.667"
"","Jarron Cito","South Ala.","Jr.","P","11","65.0","6","3","0.667"
"","Dylan Covey","San Diego","So.","P","12","67.7","6","3","0.667"
"","Matt Davenport","William & Mary","Sr.","P","13","86.0","6","3","0.667"
"","Jose De Leon","Southern U.","So.","P","11","66.3","6","3","0.667"
"","Nathan Dorris","Southern Ill.","Jr.","P","11","57.7","6","3","0.667"
"","Will Dorsey","Stetson","Sr.","P","13","67.0","6","3","0.667"
"","Mike Eliasen","Fairleigh Dickinson","Sr.","INF","11","73.7","6","3","0.667"
"","Buck Farmer","Georgia Tech","Jr.","P","11","74.7","6","3","0.667"
"","Matt Flemer","California","Sr.","1B","11","82.0","6","3","0.667"
"","Dylan Floro","Cal St. Fullerton","Jr.","P","11","74.0","6","3","0.667"
"","Jeff Gold","Oregon","So.","P","13","48.7","6","3","0.667"
"","Brett Harman","Maryland","Sr.","P","11","71.0","6","3","0.667"
"","Jesse Holiday","Southern U.","Jr.","P","11","61.0","6","3","0.667"
"","Branden Kline","Virginia","Jr.","P","12","71.7","6","3","0.667"
"","Kyle Kraus","Portland","Sr.","P","11","84.7","6","3","0.667"
"","John Kuchno","Ohio St.","So.","P","13","49.0","6","3","0.667"
"","Brandon Lee","S.C. Upstate","Jr.","P","12","67.7","6","3","0.667"
"","Dominic Leone","Clemson","Jr.","P","11","57.0","6","3","0.667"
"","Brandon Love","Mercer","Sr.","P","12","66.7","6","3","0.667"
"","Brandon Magallones","Northwestern","Fr.","P","11","65.3","6","3","0.667"
"","Rob Marcello","Appalachian St.","Jr.","P","11","64.0","6","3","0.667"
"","Taylor Massey","Dallas Baptist","Sr.","P","11","59.0","6","3","0.667"
"","Jacob Mayers","Richmond","Jr.","P","11","77.3","6","3","0.667"
"","Andrew McGee","Monmouth","So.","P","14","61.3","6","3","0.667"
"","Corey Miller","Pepperdine","So.","P","12","67.3","6","3","0.667"
"","Matt Mitchell","Grambling","Jr.","P","11","69.3","6","3","0.667"
"","Travis Radke","Portland","Fr.","P","11","61.3","6","3","0.667"
"","James Reeves","Citadel","Fr.","P","17","43.3","6","3","0.667"
"","Sam Selman","Vanderbilt","Jr.","P","11","48.3","6","3","0.667"
"","Connor Sinclair","Lipscomb","Sr.","C","11","71.0","6","3","0.667"
"","Caleb Smith","Sam Houston St.","So.","P","12","69.0","6","3","0.667"
"","Cy Sneed","Dallas Baptist","Fr.","P","11","59.0","6","3","0.667"
"","Ryne Stanek","Arkansas","So.","P","11","64.3","6","3","0.667"
"","Michael Trionfo","Towson","Jr.","P","10","57.0","6","3","0.667"
"","Andrew Vasquez","UC Santa Barbara","Fr.","P","11","67.3","6","3","0.667"
"","Joey Wagman","Cal Poly","Jr.","P","11","76.7","6","3","0.667"
"","Joe Yermal","Charlotte","Sr.","P","10","55.3","6","3","0.667"
"","Duke von Schamann","Texas Tech","So.","INF","11","79.0","6","3","0.667"
"","Troy Barton","Eastern Ill.","Jr.","P","12","51.3","6","4","0.600"
"","Adam Hoelscher","A&M-Corpus Christi","Jr.","P","12","70.0","6","4","0.600"
"","A.J. Johnson","George Mason","Sr.","P","11","63.7","6","4","0.600"
"","Ricky Knapp","Fla. Gulf Coast","So.","P","11","80.0","6","4","0.600"
"","Phil Maton","Louisiana Tech","Fr.","P","14","69.0","6","4","0.600"
"","Hoby Milner","Texas","Jr.","P","26","55.7","6","4","0.600"
"","Austin Pettibone","UC Santa Barbara","Fr.","P","12","63.0","6","4","0.600"
"","Josh Renfro","Col. of Charleston","Sr.","P","12","63.7","6","4","0.600"
"","Dan Weigel","Bucknell","So.","P","11","71.7","6","4","0.600"
"","Andrew Brown","Akron","Sr.","P","11","76.0","6","5","0.545"
"","Eric Erickson","Miami (FL)","Sr.","P","11","69.0","6","5","0.545"
"","Dan Smith","Monmouth","Jr.","P","11","66.7","6","5","0.545"
