"Rank","Name","Team","Cl","Pos","G","R"
"","Michael Bueker","Mars Hill","Sr.","INF","48","41"
"","Jordan Coons","Central Mo.","Sr.","INF","44","41"
"","R.J. Dennard","Armstrong","Fr.","C","45","41"
"","Travis Echols","Georgia College","Jr.","3B","48","41"
"","Cody Foster","Cal St. Chico","Sr.","OF","46","41"
"","Brian Hansen","St. Cloud St.","Jr.","OF","45","41"
"","A Jones","Winston-Salem","Fr.","-","50","41"
"","Dan Kemp","Franklin Pierce","Jr.","SS","45","41"
"","Kyle Morrow","Pitt.-Johnstown","So.","C","49","41"
"","Justin Pearson","Ala.-Huntsville","Jr.","OF","44","41"
"","Matt Perkowski","Palm Beach Atl.","Jr.","OF","38","41"
"","Jack Provine","West Chester","Jr.","OF","39","41"
"","Luis Quinones","Eastern N.M.","Jr.","OF","46","41"
"","Buddy Sosnoskie","Francis Marion","Sr.","OF","47","41"
"","Rafael Thomas","Southern Ark.","Sr.","OF","44","41"
"","Donald Walter","Cal Poly Pomona","Jr.","OF","48","41"
"178","Tyler Adams","Upper Iowa","So.","OF","42","40"
"","David Amberson","Western Ore.","Jr.","OF","34","40"
"","Joe Antenucci","St. Thomas Aquinas","Sr.","OF","44","40"
"","Cody Baker","Lincoln Memorial","Jr.","OF","49","40"
"","Matt Boulter","Southern N.H.","Jr.","SS","48","40"
"","Jordan Chovanec","Delta St.","So.","OF","45","40"
"","Jess Cooper","West Tex. A&M","Sr.","INF","44","40"
"","Dustin Fackrell","Colorado Mesa","Sr.","1B","46","40"
"","Alex Frederick","Armstrong","Sr.","SS","47","40"
"","Mike Gasque","Lenoir-Rhyne","So.","INF","48","40"
"","Jake Hartley","Indianapolis","Jr.","1B","45","40"
"","Jay Hartman","Lock Haven","Fr.","-","46","40"
"","Brandon Mack","Chowan","Fr.","-","49","40"
"","Kameron McCreless","Stillman","So.","INF","42","40"
"","Connor Obrochta","Tampa","So.","OF","43","40"
"","Cody Queen","Brevard","Fr.","C","46","40"
"","Eric Renegar","Brevard","Jr.","INF","48","40"
"","Noah Ringenberger","Tarleton St.","Jr.","OF","44","40"
"","Chris Schindler","Colorado St.-Pueblo","Sr.","C","45","40"
"","Luis Serrano","Paine","Jr.","C","51","40"
"","Adam Taylor","North Greenville","Jr.","OF","53","40"
"","Dj Turo","West Ala.","Jr.","INF","48","40"
"200","Mike Bolling","Lewis","Sr.","OF","46","39"
"","Eric Dorton","West Tex. A&M","So.","OF","37","39"
"","Chuck Duarte","Abilene Christian","Jr.","INF","50","39"
"","Daniel Duran","Cal St. L.A.","Sr.","INF","42","39"
"","Taylor Eaves","Ark.-Monticello","Fr.","INF","44","39"
"","Chris Edgar","Millersville","Sr.","OF","46","39"
"","David Frazier","North Greenville","Sr.","INF","53","39"
"","Garrett Hardey","Tarleton St.","Sr.","1B","42","39"
"","Ryan Hathaway","Charleston (WV)","Sr.","OF","44","39"
"","Derek Hooper","North Ga.","Jr.","INF","48","39"
"","Jon Kennedy","Nyack","Fr.","OF","33","39"
"","Bobby Mclaughlin","Alderson-Broaddus","Jr.","INF","45","39"
"","Keith Meyer","Bloomsburg","Sr.","SS","42","39"
"","Chad Murphy","Shepherd","Jr.","C","46","39"
"","Danny Nelson","Cal St. Monterey Bay","Sr.","INF","46","39"
"","Jon Neuberger","Bluefield St.","Sr.","INF","41","39"
"","Marc Rogier","Oakland City","Jr.","OF","39","39"
"","Ethan Santora","Mercyhurst","Sr.","INF","47","39"
"","Jake Sloan","North Ala.","Sr.","P","50","39"
"","Brett Teschner","Columbus St.","Jr.","C","49","39"
"","Ian Vazquez","Belmont Abbey","So.","SS","51","39"
"","Trent Wagner","Tex. A&M-Kingsville","Jr.","OF","45","39"
"","Nate Wilder","Arkansas Tech","Sr.","3B","49","39"
"","Zack Wiley","Le Moyne","Jr.","INF","42","39"
"","Josh Young","Georgia College","Sr.","OF","47","39"
"","Julio Zubillaga","Catawba","So.","2B","46","39"
