"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"63","Devan Ahart","Akron","Jr.","OF","19","77","46","0.597"
"64","Matt Shortall","Texas-Arlington","Sr.","OF","23","109","65","0.596"
"65","David Kimbrough","Delaware St.","Jr.","INF","15","52","31","0.596"
"66","Jordan Luplow","Fresno St.","Jr.","OF","24","91","54","0.593"
"67","Jake Salpietro","Fairfield","So.","3B","15","59","35","0.593"
"68","Ryan Lindemuth","William & Mary","---","2B","22","81","48","0.593"
"69","Ron Farley","Delaware St.","Fr.","OF","17","49","29","0.592"
"70","Max Murphy","Bradley","Jr.","OF","19","71","42","0.592"
"71","Drew Weeks","North Florida","Jr.","OF","23","93","55","0.591"
"72","Tyler Filliben","Samford","Jr.","INF","22","83","49","0.590"
"73","Zarley Zalewski","Kent St.","So.","INF","20","78","46","0.590"
"74","Stryker Brown","Ga. Southern","Sr.","INF","25","90","53","0.589"
"75","Dominiq Harris","Prairie View","Sr.","INF","18","68","40","0.588"
"","Bennie Robinson","Florida A&M","Sr.","INF","21","85","50","0.588"
"77","Forrest Brandt","Davidson","Sr.","OF","20","80","47","0.588"
"","Luke Tendler","N.C. A&T","Sr.","OF","23","80","47","0.588"
"79","Emmanuel Marrero","Alabama St.","Jr.","INF","29","109","64","0.587"
"80","Julio Nunez","Alabama A&M","Sr.","3B","25","92","54","0.587"
"81","Jordan McDonald","UNC Greensboro","Jr.","INF","21","75","44","0.587"
"82","Mike Papi","Virginia","Jr.","OF","22","77","45","0.584"
"83","Scott Price","Tennessee","Sr.","1B","23","89","52","0.584"
"84","Zach Fish","Oklahoma St.","Jr.","OF","24","84","49","0.583"
"","Chase Raffield","Georgia St.","Sr.","OF","24","84","49","0.583"
"86","Will Allen","Ole Miss","Sr.","INF","25","98","57","0.582"
"87","Brett Siddall","Canisius","So.","OF","17","62","36","0.581"
"88","Dan Potempa","Iowa","Jr.","OF","18","50","29","0.580"
"89","Mackenzie Handel","Stephen F. Austin","Sr.","OF","22","78","45","0.577"
"90","Francisco Tellez","UC Riverside","So.","1B","20","85","49","0.576"
"91","Isaac Smith","Bradley","Jr.","OF","19","54","31","0.574"
"92","Lee Longo","Eastern Mich.","Sr.","INF","19","75","43","0.573"
"93","Derek Gibson","Southeast Mo. St.","Sr.","INF","23","84","48","0.571"
"94","Trevin Hall","Troy","Jr.","OF","24","93","53","0.570"
"95","Alexander Lee","Radford","Sr.","INF","20","79","45","0.570"
"96","Sean Hagen","Eastern Ky.","Sr.","C","23","81","46","0.568"
"97","Andrew Ely","Washington","Jr.","INF","22","74","42","0.568"
"98","Mitch Montaldo","Penn","Jr.","INF","15","53","30","0.566"
"99","Sheldon Neuse","Oklahoma","Fr.","INF","25","99","56","0.566"
"100","Andrew Daniel","San Diego","Jr.","INF","22","92","52","0.565"
"101","Hunter Higgerson","Radford","Jr.","INF","23","85","48","0.565"
"102","John Clay Reeves","Rice","Jr.","C","24","94","53","0.564"
"103","Jace Conrad","La.-Lafayette","Jr.","2B","24","87","49","0.563"
"","Christin Stewart","Tennessee","So.","OF","23","87","49","0.563"
"105","Auston Bousfield","Ole Miss","Jr.","OF","25","103","58","0.563"
"106","Austin Baker","Arkansas St.","So.","OF","23","89","50","0.562"
"","Taylor Ward","Fresno St.","So.","C","24","89","50","0.562"
"108","Ben Arkin","Davidson","Jr.","INF","18","57","32","0.561"
"109","Matt Dacey","Richmond","So.","INF","18","75","42","0.560"
"110","Greg Harisis","Santa Clara","Sr.","INF","20","84","47","0.560"
"111","Max Andresen","Miami (OH)","Jr.","C","16","59","33","0.559"
"112","Connor McKay","Kansas","Jr.","OF","24","93","52","0.559"
"113","Sam Foy","Davidson","So.","INF","20","86","48","0.558"
"114","Mike Alexander","Delaware St.","Sr.","P","16","54","30","0.556"
"","Connor Brown","James Madison","Sr.","INF","17","72","40","0.556"
"","Casey Jones","Elon","Jr.","INF","23","90","50","0.556"
"","Sikes Orvis","Ole Miss","Jr.","INF","25","81","45","0.556"
"","Justin Thomas","Rider","Jr.","3B","20","72","40","0.556"
"","Matt Weckerle","NJIT","Sr.","OF","12","45","25","0.556"
"120","Tim Hoehn","William & Mary","Fr.","INF","22","83","46","0.554"
"121","Austin Cousino","Kentucky","Jr.","OF","24","105","58","0.552"
"122","Adam Kirsch","Texas Tech","Sr.","OF","25","87","48","0.552"
"123","Hezekiah Randolph","New Orleans","Fr.","OF","19","69","38","0.551"
"124","Garrett Chapman","Ga. Southern","Fr.","INF","23","89","49","0.551"
"125","Will Craig","Wake Forest","Fr.","INF","25","80","44","0.550"
"","Josh Goossen-Brown","San Diego","Sr.","OF","21","60","33","0.550"
"127","Norm Donkin","Delaware","Jr.","OF","22","82","45","0.549"
"128","Pete Leonello","LIU Brooklyn","Sr.","OF","18","73","40","0.548"
"129","Scott Kingery","Arizona","So.","INF","26","95","52","0.547"
"130","Brandon Gomez","FIU","Fr.","OF","21","53","29","0.547"
"131","Michael Conforto","Oregon St.","Jr.","OF","24","75","41","0.547"
"132","Tim Swatek","Fordham","Sr.","P","19","66","36","0.545"
"133","Nick Torres","Cal Poly","Jr.","OF","23","90","49","0.544"
"134","Kody Adams","Ga. Southern","Jr.","OF","20","70","38","0.543"
"135","Mike Fitzgerald","Indiana St.","Sr.","OF","17","59","32","0.542"
"136","Evan Ocello","Holy Cross","Jr.","OF","19","83","45","0.542"
"","Alex Robles","Austin Peay","Fr.","INF","22","83","45","0.542"
"138","Michael Burke","Buffalo","Sr.","P","17","48","26","0.542"
"","Eric Mayers","VMI","Sr.","OF","17","48","26","0.542"
"140","Devin Caldwell","SIU Edwardsville","Sr.","OF","21","85","46","0.541"
"141","Brian O'Keefe","Saint Joseph's","Jr.","C","17","74","40","0.541"
"","Austen Smith","Alabama","Sr.","INF","22","74","40","0.541"
"143","Cody Leichman","Central Mich.","Jr.","1B","22","76","41","0.539"
"144","Demetre Taylor","Eastern Ill.","Jr.","OF","21","78","42","0.538"
"145","Mark Williams","La Salle","Jr.","P","20","67","36","0.537"
"146","Brian MacDonald","Hofstra","Jr.","P","14","54","29","0.537"
"147","Clinton Freeman","East Tenn. St.","Sr.","INF","23","95","51","0.537"
"148","J.D. Davis","Cal St. Fullerton","Jr.","INF","21","82","44","0.537"
"149","Jordan Hopkins","Tennessee Tech","Jr.","C","21","69","37","0.536"
"150","Bryan Reynolds","Vanderbilt","Fr.","OF","25","97","52","0.536"
"151","Andrew Knizner","North Carolina St.","Fr.","3B","19","71","38","0.535"
"152","Tyler Baumgartner","Oregon","Sr.","OF","22","86","46","0.535"
"","William Brown","Coppin St.","Jr.","C","15","43","23","0.535"
"","Taylor Gushue","Florida","Jr.","C","24","86","46","0.535"
"155","Sean Godfrey","Ball St.","Sr.","OF","24","101","54","0.535"
"156","Wes Satzinger","North Dakota St.","Sr.","INF","16","58","31","0.534"
"157","Sal Annunziata","Seton Hall","Jr.","INF","19","73","39","0.534"
"","Ruhlman D.J.","Seton Hall","Jr.","P","19","73","39","0.534"
"","Jimmy Luppens","Canisius","Sr.","1B","21","73","39","0.534"
"160","Sean Guite","UNC Greensboro","Sr.","INF","23","90","48","0.533"
"161","Nick Backlund","Mercer","Sr.","1B","25","92","49","0.533"
"","Mike Vigliarolo","Saint Louis","Jr.","INF","22","92","49","0.533"
"163","Tommy Cunningham","Saint Joseph's","Sr.","INF","17","64","34","0.531"
"164","Kyle Schwarber","Indiana","Jr.","C","21","83","44","0.530"
"165","Chris Marconcini","Duke","Jr.","INF","25","100","53","0.530"
"166","Rob McCunney","Fordham","Sr.","INF","17","51","27","0.529"
"167","Troy Kuhn","Ohio St.","So.","INF","22","87","46","0.529"
"168","Taylor Sparks","UC Irvine","Jr.","INF","23","89","47","0.528"
"169","Aaron Machbitz","South Dakota St.","Sr.","INF","22","91","48","0.527"
"170","Tyler Adkison","San Diego St.","Fr.","OF","19","55","29","0.527"
"","Tanner Lubach","Nebraska","Jr.","C","17","55","29","0.527"
"172","Al Robbins","South Dakota St.","Jr.","INF","22","74","39","0.527"
"173","Tim McKay","Lehigh","Jr.","C","13","38","20","0.526"
"174","Robert Pehl","Washington","Jr.","2B","22","86","45","0.523"
"175","Eric Gutierrez","Texas Tech","So.","INF","26","88","46","0.523"
"","Michael Strentz","La.-Lafayette","Jr.","C","23","88","46","0.523"
"177","Heath Quinn","Samford","Fr.","OF","23","92","48","0.522"
"178","Jack St. Clair","Holy Cross","Jr.","OF","19","71","37","0.521"
"179","Mark Podlas","Dayton","Sr.","OF","16","48","25","0.521"
"180","Thomas Miller","Middle Tenn.","Fr.","C","18","73","38","0.521"
"181","Matt Durst","Southern Miss.","Jr.","C","20","77","40","0.519"
"182","Kyle Weston","James Madison","So.","INF","19","79","41","0.519"
"183","Sean McMullen","LSU","Sr.","OF","22","81","42","0.519"
"184","Connor Bright","South Carolina","Jr.","INF","22","83","43","0.518"
"185","Robert Currie","Navy","So.","OF","23","85","44","0.518"
"186","Scott Heath","Maine","Jr.","P","21","58","30","0.517"
"","Kenny Jackson","Hofstra","Sr.","OF","15","58","30","0.517"
"188","Jordan Betts","Duke","Sr.","INF","23","89","46","0.517"
"189","Nathaniel Causey","Arizona St.","Jr.","C","19","60","31","0.517"
"190","Anthony Gonsolin","St. Mary's (CA)","So.","INF","23","91","47","0.516"
"191","Jesse Baker","UTSA","So.","INF","24","101","52","0.515"
"192","P.J. Torres","Austin Peay","Sr.","C","20","72","37","0.514"
"193","Richard Amion","Alabama St.","Jr.","OF","29","111","57","0.514"
"","Grayson Greiner","South Carolina","Jr.","C","22","74","38","0.514"
"195","Grant Kay","Louisville","Jr.","INF","23","76","39","0.513"
"196","Casey Grayson","Houston","Sr.","1B","23","78","40","0.513"
"","Sean McHugh","Purdue","Sr.","C","19","78","40","0.513"
"","Brandon Murray","Col. of Charleston","Sr.","OF","23","78","40","0.513"
"199","Carter Williamson","N.C. Central","Sr.","C","23","80","41","0.513"
"","Taylor Zeutenhorst","Iowa","Sr.","OF","20","80","41","0.513"
"201","Jacob Hayes","Indiana St.","Jr.","INF","20","82","42","0.512"
"","Dykota Spiess","Western Caro.","Sr.","INF","21","82","42","0.512"
"203","Garrett Boulware","Clemson","Jr.","C","23","86","44","0.512"
"204","Kristoffer Koerper","New Mexico St.","Sr.","INF","23","88","45","0.511"
"205","Dale Carey","Miami (FL)","Sr.","OF","24","94","48","0.511"
"","Mike Rampone","NJIT","Jr.","INF","13","47","24","0.511"
"207","Jacob Hunter","Yale","Sr.","INF","15","57","29","0.509"
"208","Christian Santisteban","Manhattan","So.","INF","18","59","30","0.508"
"209","Sam Tolleson","UCF","Jr.","INF","19","61","31","0.508"
"210","John Mullen","Bryant","Jr.","INF","16","65","33","0.508"
"","Scott Slappey","Miami (OH)","Jr.","INF","16","65","33","0.508"
"212","Nick Lynch","UC Davis","Jr.","INF","19","69","35","0.507"
"213","Andrew Calica","UC Santa Barbara","So.","OF","20","71","36","0.507"
"","Tyler Detmer","Ill.-Chicago","Jr.","OF","18","71","36","0.507"
"","Kurt Hoekstra","Western Mich.","So.","INF","20","71","36","0.507"
"216","Paschal Petrongolo","Jacksonville St.","So.","C","20","73","37","0.507"
"217","Bryan Soloman","Eastern Ky.","Sr.","INF","23","77","39","0.506"
"218","Zach Lucas","Louisville","Jr.","INF","23","79","40","0.506"
"","Robby Sunderman","Dayton","Sr.","INF","21","79","40","0.506"
"220","Kyle Martin","South Carolina","Jr.","1B","22","81","41","0.506"
"221","Chayse Marion","McNeese St.","Sr.","INF","22","83","42","0.506"
"","Ridge Smith","Austin Peay","Fr.","C","22","83","42","0.506"
"223","Austin Darby","Nebraska","Jr.","OF","21","85","43","0.506"
"","Danny Grauer","Liberty","Sr.","P","22","85","43","0.506"
"","Ryan Kennedy","Florida A&M","Jr.","INF","21","85","43","0.506"
"","Doug Kraeger","Richmond","So.","INF","21","85","43","0.506"
"","Zander Wiel","Vanderbilt","So.","INF","25","85","43","0.506"
"228","Austin Byler","Nevada","Jr.","INF","23","87","44","0.506"
"229","Jackson Glines","Michigan","Jr.","OF","24","89","45","0.506"
"230","Jacob Hoyle","Western Caro.","Jr.","P","22","93","47","0.505"
"231","Earl Burl","Alcorn","Jr.","P","23","78","39","0.500"
"","Anthony Critelli","Holy Cross","Fr.","INF","19","74","37","0.500"
"","Bill Cullen","VCU","Sr.","OF","23","84","42","0.500"
"","Brandon Delk","Longwood","Jr.","OF","25","100","50","0.500"
"","Chase Harris","New Mexico","Sr.","OF","25","108","54","0.500"
"","Connor Jones","Villanova","Sr.","OF","21","78","39","0.500"
"","Zach Marberry","Stephen F. Austin","Sr.","C","20","70","35","0.500"
"","Mitch Meyer","Kansas St.","Jr.","OF","19","60","30","0.500"
"","Austin Miller","Loyola Marymount","Fr.","OF","24","86","43","0.500"
"","Danny Murphy","Saint Louis","Jr.","OF","22","76","38","0.500"
"","Connor Panas","Canisius","Jr.","INF","18","60","30","0.500"
"","Ben Roberts","Washington St.","So.","OF","16","46","23","0.500"
"","Steven Shelinsky","Pittsburgh","Sr.","OF","20","60","30","0.500"
"","Bradley Strong","Western Caro.","Jr.","INF","22","94","47","0.500"
"","Jose Trevino","Oral Roberts","Jr.","INF","22","92","46","0.500"
"","Boomer White","TCU","So.","C","23","90","45","0.500"
"","Pat Wilson","Milwaukee","Sr.","1B","12","48","24","0.500"
"","Adam Young","UC Davis","Sr.","INF","17","50","25","0.500"
"249","Andrew Guillotte","McNeese St.","Jr.","OF","22","101","50","0.495"
"250","Drew Adams","Lipscomb","Sr.","OF","25","99","49","0.495"
"","Zach Zarzour","Tennessee Tech","Sr.","2B","24","99","49","0.495"
