"Rank","Name","Team","Cl","Pos","G","RBI"
"103","Joe Andrade","Dixie St.","Sr.","C","45","42"
"","Thomas Biocic","Arkansas Tech","Jr.","1B","42","42"
"","Logan Bouts","Concordia-St. Paul","Sr.","DH","40","42"
"","Tucker Brown","Central Okla.","Sr.","INF","47","42"
"","R.J. Dennard","Armstrong","Fr.","C","45","42"
"","Patrick Dockendorf","Minn. St. Mankato","Sr.","INF","40","42"
"","Cory Flickinger","West Va. Wesleyan","Sr.","OF","43","42"
"","Adam Gendall","Southwestern Okla.","Sr.","P","44","42"
"","B Harrison","Winston-Salem","Fr.","-","48","42"
"","Matthew Magee","West Ala.","Jr.","INF","44","42"
"","Kameron McCreless","Stillman","So.","INF","42","42"
"","Drew Miller","Southwest Baptist","So.","C","44","42"
"","Zach Miller","Saint Leo","Sr.","INF","39","42"
"","Ryan Small","Tarleton St.","Jr.","INF","44","42"
"","Michael Tomko","Gannon","Jr.","OF","46","42"
"","Paul Winterbottom","Stillman","Fr.","INF","43","42"
"119","Andrew Brauer","Lewis","Sr.","OF","46","41"
"","Kyle Buchanan","Belmont Abbey","Sr.","C","51","41"
"","Curran Collins","Quincy","Sr.","INF","38","41"
"","Brendan Costantino","Seton Hill","So.","INF","49","41"
"","P Martin","Winston-Salem","Fr.","-","50","41"
"","Jon Neuberger","Bluefield St.","Sr.","INF","41","41"
"","Aaron Parnell","UNC Pembroke","Sr.","INF","49","41"
"","Areo Regoli","Nova Southeastern","Sr.","OF","40","41"
"127","Madison Beaird","Arkansas Tech","Jr.","OF","49","40"
"","Brad Clement","Northern Ky.","Jr.","INF","46","40"
"","Chase Corn","Erskine","So.","OF","52","40"
"","Nash Hutter","Shepherd","Sr.","OF","45","40"
"","Joe Kornbrust","Emporia St.","Sr.","INF","42","40"
"","Jordan May","Ark.-Fort Smith","Sr.","OF","44","40"
"","Michael McCoy","Mo. Southern St.","Jr.","INF","46","40"
"","Jon Minucci","Southern N.H.","Jr.","OF","48","40"
"","Chris Pula","West Chester","So.","1B","41","40"
"","Ethan Santora","Mercyhurst","Sr.","INF","47","40"
"","Jenzen Torres","Cal Poly Pomona","Sr.","C","49","40"
"","Dj Turo","West Ala.","Jr.","INF","48","40"
"","Joe Vaskas","Emporia St.","Sr.","INF","39","40"
"","Phillip Williams","Barton","Jr.","P","48","40"
"","Landon Wilson","Stillman","Jr.","OF","39","40"
"","Anthony Zarrella","Adelphi","Jr.","INF","40","40"
"143","Blake Amaral","Hawaii Pacific","Sr.","INF","45","39"
"","Joey Benke","St. Cloud St.","Sr.","INF","42","39"
"","Steven Brault","Regis (CO)","So.","P","39","39"
"","Sean Collette","Alderson-Broaddus","Jr.","OF","45","39"
"","Jess Cooper","West Tex. A&M","Sr.","INF","44","39"
"","Alex Frederick","Armstrong","Sr.","SS","47","39"
"","Bill Gerstenslager","S.C. Aiken","Jr.","1B","49","39"
"","Blake Gibbs","Cal St. Chico","Jr.","OF","46","39"
"","Joe Harbach","Wilmington (DE)","Sr.","OF","41","39"
"","Rick Hepworth","East Central","Sr.","INF","48","39"
"","Brandon Mack","Chowan","Fr.","-","49","39"
"","Seth McMullen","Winona St.","Jr.","SS","42","39"
"","Lee Neumann","Angelo St.","Jr.","OF","50","39"
"","Gelson Perez","Lincoln Memorial","Sr.","INF","47","39"
"","Chris Ross","Montevallo","Sr.","OF","49","39"
"","Erick Sanderson","Anderson (SC)","Jr.","INF","43","39"
"","Robbie Zinsmeister","Indiana (PA)","Jr.","SS","49","39"
"160","Evan Baglieri","Gannon","Sr.","C","46","38"
"","Brad Bridgeman","UNC Pembroke","Sr.","OF","48","38"
"","Randolph Brown","Claflin","So.","-","38","38"
"","John Calhoun","Washburn","Sr.","INF","39","38"
"","Brady Capshaw","Southern Ark.","Jr.","3B","42","38"
"","Ryan Dardenne","Southern Ark.","Fr.","C","41","38"
"","Ryan Daughtry","Barton","Sr.","OF","47","38"
"","Cody Foster","Cal St. Chico","Sr.","OF","46","38"
"","David Garcia","Cal St. Monterey Bay","Jr.","2B","46","38"
"","Andy Hall","Missouri S&T","Sr.","OF","39","38"
"","Bryant Hayman","Valdosta St.","Fr.","C","41","38"
"","Sam Kidd","Delta St.","Jr.","OF","46","38"
"","Wes Koenig","St. Edward's","Jr.","1B","40","38"
"","Brock McCallister","Francis Marion","Sr.","INF","47","38"
"","Ryan McChesney","Florida Tech","Sr.","C","45","38"
"","Derek Mendoza","Grand Canyon","Jr.","INF","46","38"
"","Ryan Messina","Shepherd","So.","C","41","38"
"","Randy O'Dell","Brevard","Sr.","INF","44","38"
"","Tyler Padgett","Paine","So.","3B","43","38"
"","Brett Parsons","Angelo St.","Sr.","OF","45","38"
"","Tommy Roush","Findlay","Jr.","INF","44","38"
"","Anthony Santa","Saint Leo","Sr.","1B","39","38"
"","Cameron Sherrer","Mount Olive","Sr.","SS","47","38"
"","Nash Smith","Fort Hays St.","Sr.","OF","43","38"
"","Mike Snyder","Fla. Southern","Sr.","INF","41","38"
"","Eric Swain","Northwest Mo. St.","Jr.","INF","44","38"
"","Ivan Vieitez","Lenoir-Rhyne","Fr.","OF","49","38"
"187","Ben Albano","Lewis","So.","OF","43","37"
"","Steve Anderson","Grand Valley St.","Sr.","OF","44","37"
"","Matt Barr","Davis & Elkins","Jr.","INF","47","37"
"","Brandon Bates","St. Mary's (TX)","Jr.","DH","49","37"
"","Albert Baur","Newberry","Fr.","INF","45","37"
"","Simon Beloff","Shippensburg","Jr.","OF","48","37"
"","Ryan Bostian","Catawba","Sr.","OF","50","37"
"","Marshall Burford","St. Edward's","Jr.","OF","43","37"
"","Phil Delisle","Nyack","Sr.","INF","33","37"
"","Chuck Duarte","Abilene Christian","Jr.","INF","50","37"
"","Jordan Easom","West Tex. A&M","Sr.","OF","45","37"
"","Brian Ernst","East Stroudsburg","Jr.","1B","46","37"
"","Curt Fuqua","Lincoln Memorial","Jr.","INF","49","37"
"","Tyler Hancock","Newman","Sr.","INF","45","37"
"","Evan Hester","West Ga.","Fr.","-","45","37"
"","Michael Leviseur","Seton Hill","Sr.","C","48","37"
"","Casey Maloney","Armstrong","Jr.","OF","48","37"
"","J.P. Maples","Central Okla.","Jr.","OF","34","37"
"","Matt Marra","Le Moyne","Sr.","INF","44","37"
"","Quaid McKinnon","Angelo St.","Jr.","INF","50","37"
"","Rafael Medina","Bloomfield","Sr.","1B","37","37"
"","Nick Pressley","Lincoln Memorial","Sr.","C","49","37"
"","Nate Ramler","Mo. Western St.","Jr.","OF","43","37"
"","Vince Smarrelli","Bloomsburg","So.","INF","45","37"
"","Zach Steele","Northwest Nazarene","Sr.","OF","44","37"
"","Will Tankersley","S.C. Aiken","Fr.","OF","45","37"
"","Justin Vasquez","Belmont Abbey","Jr.","OF","46","37"
"","Drew Walker","Armstrong","Sr.","INF","48","37"
"","Jeremy Williams","Tuskegee","Jr.","P","42","37"
