"Rank","Name","Team","Cl","Pos","G","SF"
"","Christopher Leach","Trinity (CT)","Fr.","C","9","3"
"","Billy Lirely","Texas-Tyler","Sr.","OF","21","3"
"","Trey Litsey","Centre","Jr.","1B","19","3"
"","Blake Littlejohn","Millsaps","Sr.","C","23","3"
"","Jarrod Mancine","Wooster","Sr.","OF","12","3"
"","Alex Markakis","St. Joseph's (ME)","Sr.","OF","12","3"
"","Dave Mason","Fitchburg St.","Sr.","OF","14","3"
"","Carter McEachern","Trinity (TX)","So.","INF","23","3"
"","Mike McFarland","Catholic","Jr.","C","17","3"
"","Scott Merkel","Stevenson","Sr.","OF","13","3"
"","Eric Monroe","Heidelberg","Jr.","INF","17","3"
"","Luke Myer","Wash. & Lee","So.","OF","18","3"
"","Garrett Nelson","Texas-Tyler","Jr.","2B","15","3"
"","Patrick O'Grady","Gettysburg","Sr.","OF","14","3"
"","Parker Olson","St. Scholastica","Sr.","2B","15","3"
"","Nick Palmiero","Rensselaer","Jr.","INF","10","3"
"","Wes Peacock","Emory","Jr.","OF","25","3"
"","Ryan Pearson","Capital","Sr.","INF","15","3"
"","Will Pharis","Huntingdon","Fr.","INF","24","3"
"","Braden Rahman","Concordia-M'head","Sr.","INF","11","3"
"","Matt Reynolds","Ferrum","Jr.","INF","22","3"
"","John Rizzo","Claremont-M-S","Jr.","P","22","3"
"","Matt Roland","Penn St.-Altoona","So.","OF","9","3"
"","Bryan Sanderson","Bridgewater (VA)","Sr.","INF","20","3"
"","Ellis Schaefer","Wesleyan (CT)","Fr.","INF","13","3"
"","Matt Simmons","Hendrix","Jr.","OF","22","3"
"","Dustin Stuck","Alvernia","Jr.","INF","14","3"
"","Blake Thompson","Coast Guard","Jr.","P","12","3"
"","Alex Thornton","Dallas","Sr.","OF","26","3"
"","Clayton Truex","Linfield","Sr.","INF","21","3"
"","Andrew Tucker","Hampden-Sydney","Sr.","OF","22","3"
"","Grant Van Putten","Calvin","Jr.","OF","8","3"
"","Cory VanDomelen","Linfield","Jr.","INF","21","3"
"","Andrew Wallis","Rhodes","Jr.","INF","21","3"
"","Thomas Weber","Hendrix","Sr.","P","21","3"
"","Jeremy Wolf","Trinity (TX)","So.","OF","23","3"
"","Jordan Woullard","Emory & Henry","Jr.","INF","19","3"
