"Rank","Name","Team","Cl","Pos","App","IP","W","L","PCT"
"","Kevin Pettine","Southern Conn. St.","Sr.","P","11","69.0","7","0","1.000"
"","Skye Severns","St. Mary's (TX)","Jr.","P","12","55.7","7","0","1.000"
"","Jeffrey Stoner","Francis Marion","Fr.","P","12","63.0","7","0","1.000"
"","Eric Aschley","Mercyhurst","Jr.","P","10","55.0","7","1","0.875"
"","Jonathan Cornelius","Florida Tech","Sr.","P","14","89.0","7","1","0.875"
"","John Gale","West Virginia St.","Sr.","P","10","51.3","7","1","0.875"
"","Ryan Garman","Grand Valley St.","Fr.","P","8","45.7","7","1","0.875"
"","Zack Gronek","Missouri S&T","Jr.","P","11","64.0","7","1","0.875"
"","Joe Harris","Wilmington (DE)","Sr.","P","12","57.7","7","1","0.875"
"","Lamar Lewis","Benedict","Jr.","P","12","53.0","7","1","0.875"
"","Bradshaw Perry","Metro St.","Sr.","P","10","61.7","7","1","0.875"
"","Drew Provence","North Greenville","Jr.","P","9","61.0","7","1","0.875"
"","Taylor Robinson","Mass.-Lowell","So.","P","12","54.0","7","1","0.875"
"","Jamie Treml","Wilmington (DE)","Fr.","P","14","56.3","7","1","0.875"
"","Chris Zbin","Southern Conn. St.","Jr.","P","12","76.7","7","1","0.875"
"","Nick Baker","Cal St. Chico","Fr.","P","11","57.7","7","2","0.778"
"","Dave Bartuska","Dominican (NY)","Jr.","P","10","66.3","7","2","0.778"
"","Chris Base","Armstrong","Jr.","P","13","99.7","7","2","0.778"
"","Jason Beaumont","Lynn","Jr.","P","13","77.7","7","2","0.778"
"","Michael Benjamin","North Greenville","Sr.","P","10","63.3","7","2","0.778"
"","Josh Branstetter","Delta St.","So.","P","10","67.7","7","2","0.778"
"","J.T. Brodrick","Northwest Nazarene","Sr.","P","12","78.0","7","2","0.778"
"","William Calhoun","Abilene Christian","Sr.","DH","17","46.0","7","2","0.778"
"","Thomas Campbell","Columbus St.","Sr.","P","12","88.7","7","2","0.778"
"","Kyle Dyer","Drury","Sr.","P","11","79.0","7","2","0.778"
"","Nick Gillung","Mercyhurst","Sr.","P","11","59.7","7","2","0.778"
"","Charlie Henderson","Regis (CO)","Jr.","P","11","84.7","7","2","0.778"
"","Joe Holtmeyer","Neb. Omaha","Jr.","P","10","58.7","7","2","0.778"
"","Don Lisi","Central Mo.","Sr.","P","11","60.3","7","2","0.778"
"","Brian Maloney","Franklin Pierce","Sr.","P","10","74.0","7","2","0.778"
"","Scott Shipman","Augusta St.","So.","P","12","81.0","7","2","0.778"
"","Connor Beer","Fort Hays St.","Jr.","P","11","65.3","7","3","0.700"
"","Ricky Cramer","Cameron","Sr.","P","12","82.0","7","3","0.700"
"","Andrew Guest","Erskine","Sr.","P","15","62.0","7","3","0.700"
"","Greg Herbst","St. Mary's (TX)","Sr.","1B","13","81.7","7","3","0.700"
"","Cory Hopper","Lander","Jr.","P","14","84.3","7","3","0.700"
"","Johnny Hornbuckle","North Ala.","Jr.","P","13","68.3","7","3","0.700"
"","Guido Knudson","UC San Diego","Sr.","P","12","82.3","7","3","0.700"
"","Roy Metter","Neb.-Kearney","Sr.","P","12","57.3","7","3","0.700"
"","Danny Parker","Arkansas Tech","Fr.","P","11","55.0","7","3","0.700"
"","Max Rusch","Flagler","Jr.","P","27","62.3","7","3","0.700"
"","Justin Somers","Wingate","So.","P","16","56.3","7","3","0.700"
"","Scott Strickland","Armstrong","Jr.","P","14","102.7","7","3","0.700"
"","Cody Greibling","Mo. Southern St.","Jr.","P","13","64.7","7","4","0.636"
"","James Mahler","Dixie St.","Jr.","P","12","67.3","7","4","0.636"
"","Ken Nesbitt","Albany St. (GA)","Jr.","P","17","99.0","7","5","0.583"
"","Brett Abell","Mo. Southern St.","Jr.","P","13","82.7","7","6","0.538"
"","Jayson Huett","Northwest Mo. St.","Sr.","P","25","62.3","7","6","0.538"
"","Aaron Newcomb","Delta St.","Jr.","P","13","79.3","7","6","0.538"
"104","Jonathan Gonzalez","Adelphi","Sr.","P","11","72.7","6","0","1.000"
"","Jake Hosey","Emporia St.","Sr.","P","10","45.7","6","0","1.000"
"","Michael Jordan","Benedict","Jr.","INF","13","49.0","6","0","1.000"
"","Scott Lieser","St. Cloud St.","So.","P","11","40.7","6","0","1.000"
"","Mike Loseke","Neb.-Kearney","Jr.","P","14","46.3","6","0","1.000"
"","Bill Maple","Grand Valley St.","Fr.","P","9","33.0","6","0","1.000"
"","James Rhodes","Cameron","Jr.","P","18","58.3","6","0","1.000"
"","Steve Simon","Southern Conn. St.","Sr.","P","9","50.3","6","0","1.000"
"","Sean Albury","Nova Southeastern","Sr.","P","20","22.3","6","1","0.857"
"","Kenny Arnerich","Sonoma St.","Sr.","P","11","68.7","6","1","0.857"
"","Tyler Choate","Southern Ind.","Sr.","P","10","60.7","6","1","0.857"
"","David Combs","Mount Olive","Sr.","P","17","29.3","6","1","0.857"
"","Steven Corbett","Post","Jr.","P","10","62.0","6","1","0.857"
"","Gregg Downing","Franklin Pierce","Jr.","P","8","52.7","6","1","0.857"
"","Zach Gove","Emporia St.","So.","P","16","46.0","6","1","0.857"
"","Derek Kline","Millersville","Sr.","1B","9","46.0","6","1","0.857"
"","Mike McMonagle","Millersville","Jr.","P","9","44.7","6","1","0.857"
"","Justin Moore","Dominican (NY)","Jr.","P","11","59.3","6","1","0.857"
"","Cy Mozingo","West Va. Wesleyan","Sr.","P","9","55.3","6","1","0.857"
"","Phillip Mozingo","Francis Marion","Sr.","P","11","45.3","6","1","0.857"
"","Jake Paolinetti","Cal St. Monterey Bay","So.","P","20","30.3","6","1","0.857"
"","Chase Pickering","West Virginia St.","Jr.","P","9","40.3","6","1","0.857"
"","Eric Rosenberger","Mansfield","Sr.","P","9","50.0","6","1","0.857"
"","Lucas Sanford","Cal St. San B'dino","Sr.","P","11","49.0","6","1","0.857"
"","Gus Schlosser","Fla. Southern","Sr.","P","12","81.3","6","1","0.857"
"","Brad Schnelle","Seton Hill","Fr.","P","10","51.3","6","1","0.857"
"","Mike Scudero","Adelphi","Sr.","P","12","67.3","6","1","0.857"
"","Todd Stachura","Neb.-Kearney","Sr.","P","11","75.7","6","1","0.857"
"","Lee Stoppelman","Central Mo.","Fr.","-","11","54.0","6","1","0.857"
"","Blake Wixson","Drury","Sr.","P","10","53.7","6","1","0.857"
"","Gabriel Asakura","Cal St. L.A.","Jr.","P","12","65.0","6","2","0.750"
"","Logan Birr","St. Cloud St.","Jr.","P","10","49.7","6","2","0.750"
"","Tom Bush","Shippensburg","So.","P","12","51.7","6","2","0.750"
"","Jared Christensen","Colorado Mesa","Jr.","P","12","60.3","6","2","0.750"
"","Corey Collins","Metro St.","Sr.","P","10","56.7","6","2","0.750"
"","Casey Cooperman","Bloomsburg","Fr.","P","10","55.0","6","2","0.750"
"","Timothy Flight","Southern N.H.","So.","P","10","70.3","6","2","0.750"
"","Robert Frank","St. Thomas Aquinas","So.","P","11","57.0","6","2","0.750"
"","Zach Jeney","Slippery Rock","Sr.","P","11","55.3","6","2","0.750"
"","Austin Johnson","Lincoln Memorial","So.","P","11","70.7","6","2","0.750"
"","Nik Jurado","Mo. Western St.","Jr.","P","14","56.3","6","2","0.750"
"","Robert Kelly","St. Anselm","So.","1B","9","60.0","6","2","0.750"
"","Brodie Leibrandt","Columbus St.","So.","P","11","62.7","6","2","0.750"
"","Michael McIver","Saint Martin's","Sr.","P","8","49.3","6","2","0.750"
"","Dan McMahon","USciences","So.","P","11","79.3","6","2","0.750"
"","Austin Moyer","Catawba","Jr.","P","11","59.3","6","2","0.750"
"","Cam Nobles","Western Ore.","Sr.","P","10","53.0","6","2","0.750"
"","Brent Queen","Hawaii Pacific","So.","P","10","65.0","6","2","0.750"
"","Jacob Rickett","North Ga.","Sr.","P","24","40.0","6","2","0.750"
"","Brett Shankin","Wayne St. (MI)","Sr.","P","11","55.7","6","2","0.750"
"","Doug Shields","Southern Ark.","Jr.","P","17","62.3","6","2","0.750"
"","Jason Sterrett","Bellarmine","So.","P","11","58.7","6","2","0.750"
"","John Tuttle","Catawba","Fr.","P","14","62.3","6","2","0.750"
"","Josh Ziemba","Florida Tech","So.","P","11","66.7","6","2","0.750"
"","Tyler Carpenter","Columbus St.","Fr.","P","15","61.3","6","3","0.667"
"","Cody Church","Lincoln Memorial","Sr.","OF","17","40.0","6","3","0.667"
"","David Geiger","Fort Hays St.","Sr.","P","12","58.3","6","3","0.667"
"","Blake Hobby","North Ga.","Jr.","P","13","93.3","6","3","0.667"
"","Kevin Holdsworth","West Va. Wesleyan","Sr.","P","9","54.0","6","3","0.667"
"","Jeb Huber","West Ala.","Jr.","P","13","81.0","6","3","0.667"
"","Tim Jones","Tex. A&M-Kingsville","Sr.","P","13","71.3","6","3","0.667"
"","Pat Lahey","Lewis","Jr.","OF","9","52.3","6","3","0.667"
"","Austin Leary","Stillman","Fr.","-","14","62.7","6","3","0.667"
"","Ethan Marsh","Pfeiffer","Sr.","OF","24","65.3","6","3","0.667"
"","Dave Middendorf","Northern Ky.","Sr.","P","13","82.3","6","3","0.667"
"","Casey Mitchell","Saint Martin's","Sr.","P","14","74.0","6","3","0.667"
"","Chris Nelson","Wingate","Sr.","C","13","78.0","6","3","0.667"
"","Joel Sanchez","Felician","Sr.","P","12","74.7","6","3","0.667"
"","Mark Sappington","Rockhurst","So.","P","11","66.7","6","3","0.667"
"","Steven Thiele","Belmont Abbey","Jr.","P","11","64.0","6","3","0.667"
"","Keith Vasquez","Incarnate Word","Jr.","P","13","45.0","6","3","0.667"
"","Brian Willis","UNC Pembroke","Sr.","P","18","53.0","6","3","0.667"
"","Jared Winder","Davis & Elkins","Sr.","P","12","64.0","6","3","0.667"
"","Brett Ash","Washburn","So.","P","10","60.0","6","4","0.600"
"","Kyle Butler","Montevallo","Sr.","P","12","74.7","6","4","0.600"
"","Irving Camacho","West Tex. A&M","Jr.","P","17","63.3","6","4","0.600"
"","Mark Himmelberg","Rockhurst","Jr.","P","12","54.7","6","4","0.600"
"","Dan McKinney","Southeastern Okla.","Jr.","P","11","53.3","6","4","0.600"
"","Matthew Metz","Molloy","So.","P","10","61.3","6","4","0.600"
"","Brandon Proctor","Concord","So.","OF","15","57.3","6","4","0.600"
"","Drew Shaulis","Pitt.-Johnstown","Sr.","OF","10","62.0","6","4","0.600"
"","Eddie Sipple","Fla. Southern","Sr.","P","14","59.0","6","4","0.600"
"","Bryan Tuttle","Pfeiffer","So.","P","14","72.0","6","4","0.600"
"","Michael Ward","Western Ore.","Sr.","P","11","75.0","6","4","0.600"
"","Coltin White","Grand Canyon","Jr.","C","15","51.0","6","4","0.600"
"","Tyler Witzel","Coker","So.","P","13","84.0","6","4","0.600"
"","Grady Wood","Western Ore.","Jr.","P","11","77.3","6","4","0.600"
"","Reece Cross","Ark.-Monticello","Sr.","P","12","66.7","6","5","0.545"
"","John DesChamps","Chowan","Jr.","P","14","82.3","6","5","0.545"
"","Brett Hauber","Felician","Jr.","P","15","55.3","6","5","0.545"
"","Stephen Johnson","St. Edward's","So.","P","13","66.7","6","5","0.545"
"","Cory Rupert","Indianapolis","Sr.","P","11","58.3","6","5","0.545"
"","Brandon Simmons","Mo. Western St.","So.","P","12","74.0","6","5","0.545"
"","Chris Thomas","Lander","So.","P","13","79.3","6","5","0.545"
"","Andrew Virgili","Lynn","Jr.","P","13","88.0","6","5","0.545"
"","Dalton Self","Paine","Fr.","SS","16","102.3","6","6","0.500"
"","Robby Thigpen","Carson-Newman","Jr.","P","13","72.0","6","6","0.500"
"","John Gonzales","Tex. A&M Int'l","Sr.","P","16","85.0","6","8","0.429"
"202","Tad Barton","Millersville","Fr.","P","8","35.0","5","0","1.000"
"","Bryce Bellin","Minn. St. Mankato","Fr.","1B","14","36.7","5","0","1.000"
"","Kyle Fischer","St. Cloud St.","Fr.","P","6","30.7","5","0","1.000"
"","Kenny Frosch","Palm Beach Atl.","Jr.","P","17","25.3","5","0","1.000"
"","Brandyn Greer","Tarleton St.","Sr.","P","20","37.0","5","0","1.000"
"","Logan Holthaus","Harding","So.","P","10","63.3","5","0","1.000"
"","Aaron Hoverson","Winona St.","So.","P","9","36.3","5","0","1.000"
"","Jonathan Paez","West Tex. A&M","Sr.","P","13","56.7","5","0","1.000"
"","Jake Sowell","Tarleton St.","Sr.","P","25","39.3","5","0","1.000"
"","Eilas Tuma","UC San Diego","Jr.","P","21","34.0","5","0","1.000"
"","Nick Anderson","Concordia-St. Paul","Sr.","P","11","41.7","5","1","0.833"
"","Dan Bartlett","Caldwell","Fr.","P","9","53.3","5","1","0.833"
"","Matt Bartolomei","Bridgeport","Jr.","P","19","52.3","5","1","0.833"
"","Ben Brown","Neb. Omaha","Sr.","P","10","55.7","5","1","0.833"
"","Kurt Bruce","Wilmington (DE)","Sr.","P","11","62.0","5","1","0.833"
"","Alejandro De Moya","Palm Beach Atl.","So.","P","18","31.0","5","1","0.833"
"","Thomas Fekete","Limestone","Jr.","P","13","35.3","5","1","0.833"
"","Andy Fennell","Lincoln Memorial","Jr.","P","13","76.0","5","1","0.833"
"","Shaun Hancock","Bridgeport","Jr.","P","8","36.7","5","1","0.833"
"","Joe Jablonski","Grand Valley St.","Sr.","P","10","54.0","5","1","0.833"
"","Jeffery Jones","Miles","Jr.","P","9","56.0","5","1","0.833"
"","Jason Lembo","Molloy","Jr.","P","10","48.7","5","1","0.833"
"","Kirk Lind","Western Ore.","Jr.","P","15","47.0","5","1","0.833"
"","Jeremy Peed","Limestone","Jr.","P","13","42.0","5","1","0.833"
"","Luke Putz","Minn. St. Mankato","Sr.","P","9","49.0","5","1","0.833"
"","Shawn Riesgraf","St. Cloud St.","So.","P","10","40.0","5","1","0.833"
"","E Silkwood","Central Mo.","So.","-","12","31.0","5","1","0.833"
"","Zach Soulier","Stonehill","Fr.","P","10","37.3","5","1","0.833"
"","A.J. Turnier","Southern Conn. St.","Fr.","P","11","30.0","5","1","0.833"
"","Michael Von Stein","Stonehill","Jr.","P","18","19.7","5","1","0.833"
"","David Arredondo","Cal St. L.A.","Jr.","P","13","73.3","5","2","0.714"
"","Jordan Blanchard","Dixie St.","Jr.","P","14","49.0","5","2","0.714"
"","Derek Brooks","Emporia St.","Jr.","INF","14","46.3","5","2","0.714"
"","Josh Corrales","Cal St. Dom. Hills","Jr.","P","12","82.7","5","2","0.714"
"","Tyson Gau","Augustana (SD)","So.","P","11","56.0","5","2","0.714"
"","Ryan Griffin","Ala.-Huntsville","Jr.","P","10","50.3","5","2","0.714"
"","Brandon Hardin","Delta St.","Jr.","P","12","63.0","5","2","0.714"
"","Steven Hathaway","Franklin Pierce","Fr.","P","7","35.3","5","2","0.714"
"","Mark Heard","Northwood (MI)","Jr.","P","9","51.0","5","2","0.714"
"","Isaac Hicks","Nova Southeastern","Sr.","P","13","67.7","5","2","0.714"
"","Dylan Hochevar","Tusculum","Jr.","P","15","69.0","5","2","0.714"
"","Curtis Hudson","Mount Olive","Sr.","P","11","55.0","5","2","0.714"
"","Troy Hunter","Dixie St.","So.","P","13","56.0","5","2","0.714"
"","Jack Leathersich","Mass.-Lowell","Jr.","P","10","65.0","5","2","0.714"
"","Fabian Lopez","Upper Iowa","So.","P","7","47.7","5","2","0.714"
"","John Markley","Winston-Salem","So.","P","20","54.0","5","2","0.714"
"","Atlee Pearson","Erskine","Sr.","P","21","48.3","5","2","0.714"
"","Adam Radick","Mo.-St. Louis","Jr.","P","10","55.7","5","2","0.714"
"","Richard Raraigh","Seton Hill","Sr.","P","8","44.7","5","2","0.714"
"","Mario Rojas","Newberry","So.","P","9","49.3","5","2","0.714"
"","Rich Ruff","Quincy","Sr.","P","9","48.7","5","2","0.714"
"","Alex Simmons","North Ga.","Sr.","P","18","28.0","5","2","0.714"
"","Cody Stull","Belmont Abbey","Fr.","P","13","59.3","5","2","0.714"
"","Ryan Turner","Tarleton St.","Jr.","P","23","35.0","5","2","0.714"
"","Ziggie Vanderwall","Southern Ark.","Jr.","P","13","57.7","5","2","0.714"
"","John Wenker","Winona St.","Jr.","P","8","41.7","5","2","0.714"
"","Shane Youngdale","Cal St. Dom. Hills","Sr.","P","12","82.3","5","2","0.714"
"","Barry Amett","Ill.-Springfield","Fr.","P","14","47.0","5","3","0.625"
"","Josh Bagley","UNC Pembroke","Sr.","P","11","68.3","5","3","0.625"
"","Derek Beasley","S.C. Aiken","Fr.","P","14","55.7","5","3","0.625"
"","Carson Beauchaine","Saginaw Valley","So.","P","8","48.7","5","3","0.625"
"","James Conlee","Angelo St.","So.","P","28","53.7","5","3","0.625"
"","Corey Davidson","Cameron","Sr.","P","14","50.0","5","3","0.625"
"","Frank DeJiulio","Tampa","Jr.","P","15","47.0","5","3","0.625"
"","Thomas Deboer","Saint Martin's","Jr.","P","13","64.0","5","3","0.625"
"","Mike Dedrick","Dixie St.","So.","P","12","73.7","5","3","0.625"
"","Taylor Dennis","Southern Ind.","Sr.","P","13","47.7","5","3","0.625"
"","Dylan Evans","Colorado Mesa","Jr.","P","12","64.7","5","3","0.625"
"","Ryan Frevret","Ala.-Huntsville","Sr.","P","11","66.0","5","3","0.625"
"","Jeremy Gigliotti","East Stroudsburg","Sr.","P","10","53.0","5","3","0.625"
"","Wally Goodline","Cal St. L.A.","Sr.","P","12","75.3","5","3","0.625"
"","Kyle Grana","Bellarmine","Fr.","P","12","58.3","5","3","0.625"
"","Alex Guilford","Montevallo","Fr.","P","18","68.7","5","3","0.625"
"","Ste Hamilton","St. Augustine's","Fr.","-","10","44.3","5","3","0.625"
"","Eric Haughn","Stonehill","Jr.","P","9","60.0","5","3","0.625"
"","Joseph Herbert","Winston-Salem","Fr.","P","14","53.0","5","3","0.625"
"","Aaron Hilt","Ashland","Jr.","P","8","44.3","5","3","0.625"
"","Josh Kehr","Davis & Elkins","So.","P","10","51.7","5","3","0.625"
"","Ryan MacNamara","California (PA)","Sr.","P","9","37.0","5","3","0.625"
"","Tim Mayza","Millersville","Fr.","P","9","47.0","5","3","0.625"
"","Brad Monroe","Southern N.H.","Jr.","P","11","66.3","5","3","0.625"
"","Nate O'Bryan","Saint Martin's","Fr.","-","15","44.7","5","3","0.625"
"","Carl O'Neal","St. Mary's (TX)","So.","C","13","75.7","5","3","0.625"
"","Landon Patterson","St. Edward's","Sr.","P","14","68.3","5","3","0.625"
"","Eric Peck","New Haven","Jr.","P","17","22.3","5","3","0.625"
"","Eric Pettepher","Georgia College","Sr.","P","12","76.0","5","3","0.625"
"","Charles Pollock","Northwest Nazarene","Jr.","P","11","37.7","5","3","0.625"
"","Manny Rodriguez","Barry","Jr.","P","13","94.7","5","3","0.625"
"","Andrew Simonik","Lock Haven","Sr.","P","11","49.7","5","3","0.625"
"","Tyler Vails","Stillman","Fr.","P","13","60.0","5","3","0.625"
"","Josh White","Limestone","Jr.","P","18","51.0","5","3","0.625"
"","Garrett Yount","Rollins","Jr.","P","14","53.3","5","3","0.625"
"","Dennis Bronson","Morehouse","Sr.","P","9","53.0","5","4","0.556"
"","Joe Candelmo","Mansfield","So.","P","9","57.7","5","4","0.556"
"","Chris Douglas","Indiana (PA)","Jr.","P","12","51.7","5","4","0.556"
"","Derek Fogel","Washburn","Fr.","P","11","66.0","5","4","0.556"
"","Trent Franzago","Ga. Southwestern","Jr.","P","10","70.0","5","4","0.556"
"","Leonard Giammanco","Cal St. Stanislaus","Sr.","P","17","36.3","5","4","0.556"
"","Michael Greene","Hawaii Pacific","Sr.","P","11","72.0","5","4","0.556"
"","Brett Kennedy","Valdosta St.","Sr.","P","17","75.3","5","4","0.556"
"","Sadarius Lewis","Elizabeth City St.","Sr.","P","15","64.7","5","4","0.556"
"","Trent Mertz","Kutztown","Sr.","P","11","42.0","5","4","0.556"
"","Andy Noga","East Stroudsburg","So.","P","10","56.3","5","4","0.556"
"","Rick Reyna","Angelo St.","Jr.","P","14","64.0","5","4","0.556"
"","Bryant Rutledge","Angelo St.","Jr.","P","11","65.0","5","4","0.556"
"","Zach Sneed","Abilene Christian","Sr.","P","21","59.3","5","4","0.556"
"","Nolan Snell","Colorado Mesa","So.","P","12","68.0","5","4","0.556"
"","Rico Solomon","Virginia St.","Fr.","P","13","56.3","5","4","0.556"
"","Jordan Stern","Central Okla.","Sr.","P","12","78.7","5","4","0.556"
"","Brad Thomas","Ashland","So.","P","13","53.0","5","4","0.556"
"","Ryan Weatherholtz","Concord","Fr.","P","13","67.7","5","4","0.556"
"","Aaron Brandt","Saint Leo","Jr.","P","13","73.0","5","5","0.500"
"","Toby Inouye","Hawaii Pacific","Sr.","P","11","62.3","5","5","0.500"
"","Andy Lewton","Fort Hays St.","Sr.","P","11","68.3","5","5","0.500"
"","Bentley Massey","Barton","Jr.","P","12","71.3","5","5","0.500"
"","Cory Rhodes","King (TN)","Fr.","P","10","67.3","5","5","0.500"
"","Cole Robison","Newberry","Fr.","P","12","71.7","5","5","0.500"
"","Erick Sanderson","Anderson (SC)","So.","P","11","57.0","5","5","0.500"
"","Darryl Stringfield","Virginia St.","Sr.","P","12","66.7","5","5","0.500"
"","Sean Tighe","Nova Southeastern","Jr.","P","15","65.3","5","5","0.500"
"","Aaron Brooks","Cal St. San B'dino","Jr.","P","12","85.7","5","6","0.455"
"","Kyle Burkhardt","Newman","Jr.","P","13","76.0","5","6","0.455"
"","Cameron Cecil","Elizabeth City St.","Fr.","P","15","71.3","5","6","0.455"
"","Cody Pruett","Bluefield St.","Fr.","P","11","61.0","5","6","0.455"
"","Brady Wager","Grand Canyon","So.","P","12","75.0","5","6","0.455"
"327","Mike Calzetta","Mass.-Lowell","Fr.","P","8","40.3","4","0","1.000"
"","Garrett Cole","Mass.-Lowell","So.","P","8","37.7","4","0","1.000"
"","Andrew DeSousa","Winona St.","Sr.","P","7","40.3","4","0","1.000"
"","Vinny Depierro","Mass.-Lowell","So.","P","8","30.3","4","0","1.000"
"","Kyle DiMartino","Dixie St.","Jr.","P","22","43.3","4","0","1.000"
"","Jeremy Hall","Mount Olive","Sr.","P","13","49.7","4","0","1.000"
"","Jarrott Hooks","Francis Marion","Jr.","P","15","39.3","4","0","1.000"
"","Kalen Hruza","Northwest Nazarene","Sr.","C","32","21.7","4","0","1.000"
"","Brett Kinsel","Emporia St.","Sr.","P","22","37.3","4","0","1.000"
"","Jake Kresse","Neb.-Kearney","Sr.","P","21","36.3","4","0","1.000"
"","Josh Lee","Cal St. San B'dino","Jr.","P","19","24.7","4","0","1.000"
"","Thane Lees","Northern St.","So.","P","10","25.3","4","0","1.000"
"","Braxton Lewis","UNC Pembroke","Jr.","P","21","36.3","4","0","1.000"
"","Ryan Moore","Chowan","Fr.","P","13","22.7","4","0","1.000"
"","Phillip Quade","Cal St. Stanislaus","Jr.","P","21","30.3","4","0","1.000"
"","Sammy Rivas","St. Mary's (TX)","Sr.","P","28","36.0","4","0","1.000"
"","Matthew Suggs","Ga. Southwestern","Fr.","P","7","16.7","4","0","1.000"
"","Brian Warheit","Seton Hill","Sr.","P","15","29.7","4","0","1.000"
"","Christopher Whitney","Grand Valley St.","Fr.","P","11","36.7","4","0","1.000"
"","Tyler Abma","Drury","So.","P","13","37.7","4","1","0.800"
"","Nick Avila","Nova Southeastern","Sr.","P","15","82.0","4","1","0.800"
"","Marc Baker","Mansfield","Sr.","P","8","20.7","4","1","0.800"
"","Doug Carel","Southwestern Okla.","Jr.","P","18","38.3","4","1","0.800"
"","Joey Cifuentes","Southern Ark.","Jr.","P","9","32.7","4","1","0.800"
