"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"67","J.T. Triantos","Frank. & Marsh.","Jr.","1B","37","118","6","19.7"
"68","Matt Stahl","Allegheny","Sr.","P","27","98","5","19.6"
"69","Kyle Rose","Mt. Aloysius","Sr.","OF","25","78","4","19.5"
"70","Tyler Millward","Albion","Sr.","OF","34","116","6","19.3"
"71","Kyle Allaire","Rhode Island Col.","Jr.","SS","32","135","7","19.3"
"","Sean Vollenweider","Ohio Wesleyan","Fr.","3B","38","135","7","19.3"
"73","Austin Brown","Loras","Sr.","OF","32","115","6","19.2"
"74","Eric Rehbein","Mary Washington","Sr.","INF","40","152","8","19.0"
"","Richard Melendez","Baruch","Sr.","SS","35","133","7","19.0"
"76","Will Baine","Middlebury","Jr.","SS","24","94","5","18.8"
"77","Joshua Clark","Nichols","Sr.","INF","28","93","5","18.6"
"78","Alex Kelly","Middlebury","Fr.","SS","22","74","4","18.5"
"79","Austin Rock","Moravian","Jr.","C","28","73","4","18.3"
"80","Taylor Fish","Gust. Adolphus","Jr.","INF","28","91","5","18.2"
"81","Ben Esser","Guilford","So.","INF","30","108","6","18.0"
"","Greg Mehuron","Colby-Sawyer","Jr.","SS","34","108","6","18.0"
"","Kevin Prindle","Hamilton","So.","OF","27","90","5","18.0"
"","Kody Godsey","Lancaster Bible","Fr.","3B","24","72","4","18.0"
"85","Matt Tuneski","Dickinson","Jr.","INF","35","125","7","17.9"
"","Nick Vennochi","Emerson","Sr.","C","36","125","7","17.9"
"87","George Simmons","Carroll (WI)","Sr.","2B","28","107","6","17.8"
"88","Trevor Popp","North Park","Sr.","OF","35","142","8","17.8"
"89","Jeff Donovan","Wis.-Whitewater","Sr.","INF","32","124","7","17.7"
"90","Evan Bukowski","Penn St.-Behrend","So.","C","28","88","5","17.6"
"91","Mike Kovach","Beloit","Sr.","INF","30","122","7","17.4"
"92","Kevin Shields","Frank. & Marsh.","So.","INF","31","87","5","17.4"
"93","Willie Brechun","Heidelberg","Sr.","INF","36","139","8","17.4"
"94","Ian Vandeford","Illinois Col.","Sr.","INF","26","104","6","17.3"
"95","Cayden Cunniff","East Tex. Baptist","So.","C","38","121","7","17.3"
"","Steve Motika","Elizabethtown","Jr.","C","32","121","7","17.3"
"97","Brandon Lumadue","Medaille","Sr.","OF","31","103","6","17.2"
"98","Miguel Davis","Washington-St. Louis","Sr.","3B","46","153","9","17.0"
"","Tyler Hadzinsky","Chapman","Jr.","2B","29","102","6","17.0"
"100","Jason Lash","Heidelberg","Sr.","SS","36","135","8","16.9"
"","Daniel Putnam","Wis.-Whitewater","Sr.","OF","32","135","8","16.9"
"102","Thomas Gier","Concordia Chicago","Fr.","3B","33","118","7","16.9"
"103","Tim Kahle","St. Thomas (MN)","Sr.","SS","33","101","6","16.8"
"104","Dwight Wilcox","Washington Col.","Jr.","C","28","84","5","16.8"
"105","Cody Koback","Wis.-Stevens Point","Jr.","P","33","134","8","16.8"
"106","Jacob Hoffman","Pacific Lutheran","Fr.","OF","27","100","6","16.7"
"107","Luke Johnson","Thiel","Sr.","OF","34","133","8","16.6"
"108","Bill Nikolski","Rensselaer","Sr.","OF","32","116","7","16.6"
"109","Justin Barkhurst","Wis. Lutheran","Sr.","INF","35","132","8","16.5"
"110","Erich Lange","Cazenovia","So.","OF","26","82","5","16.4"
"","Drew Lundquist","Minn.-Morris","So.","OF","23","82","5","16.4"
"112","Matthew Militello","Hilbert","Jr.","OF","30","98","6","16.3"
"113","Geoff Kimmel","Wesley","Sr.","INF","36","129","8","16.1"
"114","Michael Hoffman","Buena Vista","Sr.","OF","33","128","8","16.0"
"","Cody Nevils","Wis. Lutheran","Fr.","OF","34","112","7","16.0"
"","Scott Ortega","Edgewood","Jr.","2B","32","112","7","16.0"
"","Mark Glennerster","Staten Island","Sr.","INF","29","96","6","16.0"
"","Roberto Valenti","Southern Me.","Jr.","OF","27","80","5","16.0"
"119","Zach Boyes","Johnson & Wales (RI)","So.","OF","39","143","9","15.9"
"120","Cameron Fishman","Centre","Jr.","C","33","111","7","15.9"
"","Craig Schaefer","Webster","Sr.","C","33","111","7","15.9"
"","Kyle Trainer","Bluffton","Jr.","INF","33","111","7","15.9"
"123","Corey Booth","Brockport","Jr.","INF","29","95","6","15.8"
"124","Dan Quirk","Grove City","Sr.","OF","29","79","5","15.8"
"125","Eric Gantenbein","George Fox","Sr.","3B","35","142","9","15.8"
"","Matt June","SUNY Cortland","Jr.","2B","37","142","9","15.8"
"","Scott Kelly","TCNJ","So.","INF","35","142","9","15.8"
"","Ryan Normoyle","Washington Col.","Jr.","SS","35","142","9","15.8"
"129","Sean Lubin","La Roche","Fr.","C","34","126","8","15.8"
"130","Jeremy Juhl","Augustana (IL)","So.","INF","28","110","7","15.7"
"131","Kyle Hobar","Greenville","Sr.","INF","32","109","7","15.6"
"132","Brandon Owashi","Redlands","Sr.","OF","36","155","10","15.5"
"","Jay Thompson","Bridgewater (VA)","Jr.","INF","43","155","10","15.5"
"","Greg Van Sickler","Shenandoah","Sr.","P","39","155","10","15.5"
"","Derek Hiroskey","Wis.-Oshkosh","Sr.","1B","32","124","8","15.5"
"","Anthony Montalbano","Swarthmore","Jr.","INF","26","93","6","15.5"
"137","Will Salley","Wash. & Lee","So.","C","30","108","7","15.4"
"138","Jr Jarrell","Whitworth","Jr.","INF","39","154","10","15.4"
"139","Michael Murphy","TCNJ","So.","OF","35","123","8","15.4"
"","Chris Simard","Gettysburg","Sr.","INF","34","123","8","15.4"
"","Matt Trocke","Wis.-La Crosse","Sr.","SS","33","123","8","15.4"
"142","Matt Hampp","Wittenberg","Jr.","C","37","138","9","15.3"
"","Kellen Jarrett","Delaware Valley","Sr.","OF","30","92","6","15.3"
"","Eric Sousanes","North Park","Fr.","INF","29","92","6","15.3"
"145","Matt Richards","Case","Jr.","OF","43","153","10","15.3"
"146","Esteban Meletiche","Keystone","Jr.","INF","34","122","8","15.3"
"","Dennis Nover","St. Joseph's (L.I.)","Jr.","INF","36","122","8","15.3"
"","Chris Ray","Alvernia","So.","INF","34","122","8","15.3"
"149","Mike Rubino","Western New Eng.","So.","INF","40","152","10","15.2"
"150","Matt Moore","Webster","Jr.","C","30","91","6","15.2"
