"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"69","Noe Ramirez","Cal St. Fullerton","Jr.","P","9","61.7","11","1.60"
"70","Kyle Westwood","North Florida","So.","P","10","56.0","10","1.61"
"71","Justin Malone","Georgia St.","Jr.","P","11","67.0","12","1.61"
"72","Les Williams","Northeastern","Sr.","P","10","72.3","13","1.62"
"73","James Nygren","Oregon St.","Sr.","P","10","50.0","9","1.62"
"74","Robert Jeroszko","Col. of Charleston","Sr.","P","8","44.3","8","1.63"
"75","Geoff Whitaker","Columbia","Sr.","P","9","55.3","10","1.63"
"76","Chad Gallagher","Marist","Jr.","P","11","76.7","14","1.64"
"77","Jake Sabol","Central Mich.","Jr.","P","11","59.7","11","1.66"
"78","Kyle Hendricks","Dartmouth","Jr.","P","8","54.0","10","1.67"
"","Ryan Sorce","Troy","So.","P","12","54.0","10","1.67"
"80","Kent Emanuel","North Carolina","Fr.","P","13","59.3","11","1.67"
"","David Haselden","Clemson","Jr.","P","18","59.3","11","1.67"
"82","Seth Maness","East Carolina","Sr.","P","10","70.0","13","1.67"
"83","Seth Webster","Nicholls St.","Sr.","P","11","75.0","14","1.68"
"84","Cameron Hobson","Dayton","Jr.","P","12","74.7","14","1.69"
"85","Brad Mincey","East Carolina","Sr.","P","23","48.0","9","1.69"
"86","Bobby Bolling","Radford","Sr.","P","11","69.0","13","1.70"
"87","Jordan Dailey","Bethune-Cookman","So.","P","22","42.3","8","1.70"
"88","Dan Bracey","Columbia","Sr.","P","9","52.7","10","1.71"
"89","Adam Conley","Washington St.","Jr.","P","12","79.0","15","1.71"
"90","Burny Mitchem","Dayton","Jr.","P","17","73.3","14","1.72"
"91","Brian Stroud","Western Mich.","Sr.","P","11","73.0","14","1.73"
"92","Brad Allen","Arkansas St.","Sr.","P","12","62.3","12","1.73"
"93","Will Campbell","Georgia St.","Sr.","P","11","67.3","13","1.74"
"94","Mike Caldwell","High Point","Sr.","P","10","51.7","10","1.74"
"95","Dakota Laufenberg","Texas Southern","Sr.","P","13","51.3","10","1.75"
"96","Jarred Hippen","Iowa","Jr.","P","11","71.7","14","1.76"
"97","Tanner Peters","UNLV","Jr.","P","11","87.0","17","1.76"
"98","Shane McCain","Troy","So.","P","12","46.0","9","1.76"
"99","Alex Wood","Georgia","So.","P","10","66.0","13","1.77"
"100","Nick Tropeano","Stony Brook","Jr.","P","10","65.7","13","1.78"
"101","Gerrit Cole","UCLA","Jr.","P","11","75.7","15","1.78"
"102","Josh Turley","Baylor","So.","P","13","65.3","13","1.79"
"103","Tim Cooney","Wake Forest","So.","P","10","70.0","14","1.80"
"","Ben Nelson","Navy","So.","P","12","65.0","13","1.80"
"","Matt Rein","Coastal Caro.","Sr.","P","13","50.0","10","1.80"
"106","Brook Hart","Yale","Sr.","P","11","64.7","13","1.81"
"107","Jonathan Smart","Alabama","Sr.","P","23","44.7","9","1.81"
"108","Tripp Davis","NJIT","So.","P","11","79.0","16","1.82"
"109","Randall Fant","Arkansas","So.","P","15","49.3","10","1.83"
"110","John Niggli","Liberty","Jr.","P","11","63.7","13","1.84"
"111","Aaron Elias","Jacksonville St.","Jr.","P","11","63.3","13","1.85"
"112","Scott Garner","Bethune-Cookman","Fr.","P","10","58.3","12","1.85"
"113","Shane Davis","Canisius","Sr.","P","11","68.0","14","1.85"
"114","Alex Alemann","Saint Louis","So.","P","11","72.7","15","1.86"
"","Mac Thoreson","Miami (OH)","So.","P","11","72.7","15","1.86"
"116","Ryan Overcash","Davidson","Jr.","P","12","53.3","11","1.86"
"117","Alex Baker","Georgetown","Fr.","-","13","43.3","9","1.87"
"118","D.J Baxendale","Arkansas","So.","P","13","48.0","10","1.88"
"","Colby Tognetti","North Dakota St.","Sr.","P","9","48.0","10","1.88"
"120","Ryan Dull","UNC Asheville","Jr.","P","11","62.3","13","1.88"
"121","Ryan Arrowood","Appalachian St.","Jr.","P","14","67.0","14","1.88"
"122","Kolton Emery","South Dakota St.","Fr.","P","11","52.3","11","1.89"
"123","Sean McKeown","Marist","Sr.","P","12","47.3","10","1.90"
"124","Jordan Beistline","Jacksonville St.","Sr.","P","9","42.3","9","1.91"
"125","Rudy Jaramillo","New Mexico","Jr.","P","11","65.7","14","1.92"
"","Jesse Meaux","UC Santa Barbara","Sr.","P","10","65.7","14","1.92"
"","Kyle Putkonen","Samford","Jr.","P","10","65.7","14","1.92"
"128","Brian Adkins","UCF","So.","P","11","61.0","13","1.92"
"","Eric Van Wyk","La Salle","Jr.","P","10","61.0","13","1.92"
"130","Keegan Linza","Liberty","Sr.","P","11","79.7","17","1.92"
"131","Martin Agosta","St. Mary's (CA)","So.","P","10","65.3","14","1.93"
"","Tristan Archer","Tennessee Tech","So.","P","12","65.3","14","1.93"
"","Cole Green","Texas","Sr.","P","12","65.3","14","1.93"
"134","Robert Lake","Winthrop","Sr.","P","13","69.7","15","1.94"
"135","Kevin Herlihy","Savannah St.","So.","P","13","74.3","16","1.94"
"136","Jacob Clem","Washington","Sr.","P","12","55.7","12","1.94"
"","Jason Forjet","Fla. Gulf Coast","Jr.","P","15","55.7","12","1.94"
"138","Tanner Perkins","Western Ky.","So.","P","11","74.0","16","1.95"
"139","Nathan Kilcrease","Alabama","Sr.","P","11","69.3","15","1.95"
"140","Steven Eagerton","Jacksonville","Jr.","P","9","55.3","12","1.95"
"","Brooks Fiala","Miami (OH)","So.","P","13","55.3","12","1.95"
"","Drew Rucinski","Ohio St.","Sr.","P","9","55.3","12","1.95"
"143","Thomas Taylor","Kansas","So.","P","13","50.3","11","1.97"
"144","Ben White","Temple","Sr.","P","12","77.7","17","1.97"
"145","David Starn","Kent St.","Jr.","P","11","73.0","16","1.97"
"146","Mike Lebo","Lehigh","Fr.","-","8","41.0","9","1.98"
"","Evan Marshall","Kansas St.","Jr.","P","21","41.0","9","1.98"
"148","Mark Anderson","St. Mary's (CA)","Jr.","P","11","77.3","17","1.98"
"149","Conrad Flynn","Tulane","Sr.","P","11","68.0","15","1.99"
"","Josh Renfro","Col. of Charleston","Jr.","P","11","68.0","15","1.99"
"151","Mj Schifano","Sacred Heart","Sr.","INF","11","45.3","10","1.99"
"152","Cory Hall","Santa Clara","Sr.","P","11","77.0","17","1.99"
"","Michael Wacha","Texas A&M","So.","P","11","77.0","17","1.99"
"154","Tyler Mizenko","Winthrop","Jr.","P","11","63.3","14","1.99"
"155","Tyler Gebler","Rutgers","So.","P","11","81.3","18","1.99"
"","Garrett Harris","South Ala.","Sr.","P","11","81.3","18","1.99"
"157","Chris Capper","BYU","So.","P","11","67.7","15","1.99"
"158","Matt Freeman","Nebraska","Sr.","P","14","54.0","12","2.00"
"","Branden Pinder","Long Beach St.","Jr.","P","12","54.0","12","2.00"
"","Taylor Rogers","Kentucky","So.","P","11","63.0","14","2.00"
"161","Justice French","Mercer","Sr.","P","11","58.0","13","2.02"
"162","Charley Olson","Georgia St.","Sr.","P","11","66.7","15","2.02"
"163","Andrew McGee","Monmouth","Fr.","P","22","40.0","9","2.03"
"164","Josh Conway","Coastal Caro.","So.","INF","14","53.3","12","2.03"
"165","Joe Calogero","Rider","So.","P","9","57.7","13","2.03"
"166","Michael Newby","Ark.-Pine Bluff","Fr.","P","12","57.3","13","2.04"
"167","Charles Basford","Samford","Jr.","P","12","61.7","14","2.04"
"168","Taylor Hubbell","La.-Lafayette","Sr.","P","12","74.7","17","2.05"
"169","Adam Plutko","UCLA","Fr.","P","11","70.3","16","2.05"
"170","Derek Self","Louisville","Jr.","P","16","48.3","11","2.05"
"171","Mike McCarthy","CSU Bakersfield","Sr.","P","12","87.7","20","2.05"
"172","Tyler Pill","Cal St. Fullerton","Jr.","P","11","70.0","16","2.06"
"173","Paul Tremlin","Cal St. Northridge","Sr.","P","17","43.7","10","2.06"
"174","Robert Machado","Massachusetts","Jr.","P","8","48.0","11","2.06"
"175","Bryan Blough","Kennesaw St.","Sr.","P","10","61.0","14","2.07"
"176","Matt Andriese","UC Riverside","Jr.","P","10","69.7","16","2.07"
"177","Andrew Smith","Charlotte","Jr.","P","11","74.0","17","2.07"
"178","Kurt Heyer","Arizona","So.","P","14","91.3","21","2.07"
"179","Tory Doerr","Bradley","Jr.","P","10","43.3","10","2.08"
"180","Stephen Bougher","South Dakota St.","So.","P","9","56.0","13","2.09"
"181","Aaron West","Washington","Jr.","P","11","60.3","14","2.09"
"182","Dominic Sgroi","La Salle","Fr.","P","17","43.0","10","2.09"
"183","Matt McClain","Delaware St.","Fr.","P","14","73.0","17","2.10"
"184","John Anderson","Illinois","Sr.","P","12","68.7","16","2.10"
"185","David D'Errico","Hofstra","So.","P","11","64.3","15","2.10"
"186","Owen Jones","Portland","Jr.","P","11","60.0","14","2.10"
"","Nick Opitz","IPFW","Sr.","P","9","60.0","14","2.10"
"188","Josh Davis","Belmont","So.","P","14","47.0","11","2.11"
"","Austin Voth","Washington","Fr.","P","10","47.0","11","2.11"
"190","Sam Gaviglio","Oregon St.","Jr.","P","11","81.0","19","2.11"
"191","Justin Amlung","Louisville","So.","P","11","76.7","18","2.11"
"192","Max Brittenham","Mt. St. Mary's","Sr.","P","11","76.0","18","2.13"
"193","Matt Click","McNeese St.","Fr.","-","11","71.7","17","2.13"
"194","Dan Smith","Monmouth","So.","P","10","59.0","14","2.14"
"195","Dylan Floro","Cal St. Fullerton","So.","P","20","46.3","11","2.14"
"","Kyle Paeplow","Gardner-Webb","Sr.","-","9","46.3","11","2.14"
"197","Chase Brookshire","Belmont","So.","P","11","75.7","18","2.14"
"198","Danny Kelley","UT Martin","Jr.","P","15","63.0","15","2.14"
"","Austin Perez","Stetson","Fr.","P","17","42.0","10","2.14"
"200","Michael Roth","South Carolina","Jr.","P","12","79.7","19","2.15"
"201","Paul Sewald","San Diego","Jr.","P","17","46.0","11","2.15"
"202","David Benson","VCU","Sr.","P","11","58.3","14","2.16"
"","Will Dorsey","Stetson","Jr.","P","14","58.3","14","2.16"
"","Justin Frane","Valparaiso","Sr.","P","12","58.3","14","2.16"
"205","Jeremy Cole","Nevada","Sr.","P","11","45.7","11","2.17"
"","Erik Miller","TCU","Jr.","P","20","45.7","11","2.17"
"207","Nick Meyers","Monmouth","Sr.","P","10","62.3","15","2.17"
"208","Matt Barnes","Connecticut","Jr.","P","11","83.0","20","2.17"
"209","Alex Keudell","Oregon","Jr.","P","11","58.0","14","2.17"
"210","Daniel Cropper","UNC Wilmington","Sr.","P","10","62.0","15","2.18"
"211","Grier Harrington","UNC Asheville","Sr.","P","15","53.7","13","2.18"
"","Pat Light","Monmouth","So.","P","11","53.7","13","2.18"
"","Chris Pickering","Rhode Island","Jr.","P","11","53.7","13","2.18"
"214","Andy Berry","West Virginia","Sr.","P","11","74.3","18","2.18"
"215","Jeremy Brown","VMI","Jr.","P","12","57.7","14","2.18"
"216","Trent Appleby","TCU","Sr.","P","16","45.3","11","2.19"
"","Shelby Aulds","La.-Monroe","So.","P","16","45.3","11","2.19"
"218","Trent Howard","Central Mich.","Jr.","P","11","70.0","17","2.19"
"219","Rick Anton","Utah","Sr.","P","11","74.0","18","2.19"
"220","Brian Dupra","Notre Dame","Sr.","P","11","78.0","19","2.19"
"221","Mike Eliasen","Fairleigh Dickinson","Jr.","-","10","53.3","13","2.20"
"","Danny Winkler","UCF","Jr.","P","13","53.3","13","2.20"
"223","Greg Gonzalez","Fresno St.","Sr.","P","11","73.7","18","2.20"
"224","Steven Fischback","Cal Poly","Sr.","P","10","61.3","15","2.20"
"225","Jeremy Gendlek","Utah Valley","Jr.","P","10","61.0","15","2.21"
"226","Anthony Kupbens","UC Davis","Jr.","P","11","73.0","18","2.22"
"227","Tyler Johnson","Stony Brook","Jr.","P","10","56.7","14","2.22"
"","Ryan Woolley","UAB","Sr.","P","13","81.0","20","2.22"
"229","Paul Davis","Fla. Atlantic","Jr.","P","12","72.7","18","2.23"
"230","Jake Meiers","Fla. Atlantic","So.","P","13","44.3","11","2.23"
"231","Warren Slack","UNC Greensboro","Sr.","P","12","60.3","15","2.24"
"232","R.J. Fondon","FIU","Jr.","P","11","64.3","16","2.24"
"","Phil Parcell","McNeese St.","Sr.","P","18","64.3","16","2.24"
"234","Tyler Barnette","Charlotte","Fr.","P","11","64.0","16","2.25"
"","Abel Gonzales","Rice","Sr.","P","16","48.0","12","2.25"
"","Tom Harlan","Fresno St.","Jr.","P","13","44.0","11","2.25"
"237","Marco Gonzales","Gonzaga","Fr.","P","11","75.3","19","2.27"
"238","Seth Cutler-Voltz","VCU","Jr.","P","11","71.3","18","2.27"
"","Chris Lamb","Davidson","Jr.","P","11","71.3","18","2.27"
"","Logan Verrett","Baylor","Jr.","P","12","71.3","18","2.27"
"241","Andrew Chafin","Kent St.","Jr.","P","10","63.3","16","2.27"
"242","Mike Ford","Princeton","Fr.","P","9","55.3","14","2.28"
"243","Adam Morgan","Alabama","Jr.","P","11","67.0","17","2.28"
"244","Daniel Desimone","FIU","Sr.","P","11","63.0","16","2.29"
"245","Andrew Revello","St. Bonaventure","So.","P","11","43.3","11","2.29"
"246","Alex Oberle","South Dakota St.","Sr.","P","12","55.0","14","2.29"
"247","Michael Listi","Prairie View","Jr.","P","11","66.7","17","2.29"
"","Kyle Shaw","Toledo","Jr.","P","11","66.7","17","2.29"
"249","Kevin Fuqua","La Salle","Sr.","P","11","74.3","19","2.30"
"","Cole Johnson","Notre Dame","Sr.","P","11","74.3","19","2.30"
"251","Scott McNally","East Tenn. St.","So.","P","22","43.0","11","2.30"
"252","Lance Day","Texas-Arlington","Jr.","P","12","82.0","21","2.30"
"253","Eric Whaley","Miami (FL)","So.","P","11","66.3","17","2.31"
"254","Colby Holmes","South Carolina","So.","P","10","46.7","12","2.31"
"255","Zach Oates","Northern Ill.","Sr.","P","10","70.0","18","2.31"
"256","Shaun Coughlin","Maine","Fr.","P","15","42.7","11","2.32"
"257","Mike Frongello","Davidson","Sr.","P","34","62.0","16","2.32"
"258","Troy Scribner","Sacred Heart","So.","P","11","69.7","18","2.32"
"259","Nick Bruns","Bowling Green","So.","-","14","50.3","13","2.33"
"260","Rob Wendzicki","Eastern Mich.","Sr.","P","11","69.3","18","2.34"
"261","Matt Koch","Louisville","So.","P","10","57.7","15","2.34"
"262","Benjamin Blackburn","Prairie View","Sr.","P","12","50.0","13","2.34"
"263","Jon Dicus","Southeast Mo. St.","Sr.","P","13","57.3","15","2.36"
"","James Giulietti","Binghamton","Sr.","P","10","57.3","15","2.36"
"","Kevin Kilpatrick","St. John's (NY)","Jr.","P","13","57.3","15","2.36"
"","Michael Woytek","Wright St.","Sr.","P","10","57.3","15","2.36"
"267","Caleb Dudley","Louisiana Tech","So.","P","23","42.0","11","2.36"
"268","Jacob Lee","Arkansas St.","Jr.","P","11","76.3","20","2.36"
"269","Matt Hamann","Belmont","Jr.","P","19","61.0","16","2.36"
"270","Kyle Hallock","Kent St.","Sr.","P","11","72.3","19","2.37"
"271","Myles McVeigh","Akron","Fr.","P","12","57.0","15","2.37"
"272","Andrew Thurman","UC Irvine","Fr.","P","15","49.3","13","2.37"
"273","Tyler Anderson","Oregon","Jr.","P","11","83.3","22","2.38"
"274","Logan Lee","Army","Jr.","P","11","64.0","17","2.39"
"275","Damon McCormick","Valparaiso","Sr.","P","11","79.0","21","2.39"
"","John Stilson","Texas A&M","Jr.","P","12","79.0","21","2.39"
"277","Alex Meyer","Georgetown","Fr.","-","8","41.3","11","2.40"
"278","John Long","East Tenn. St.","Jr.","P","12","63.7","17","2.40"
"279","Chris Rowley","Army","So.","P","10","59.7","16","2.41"
"","Blake Treinen","South Dakota St.","Sr.","P","9","59.7","16","2.41"
"281","Matt Murray","Ga. Southern","Jr.","P","19","44.7","12","2.42"
"282","Matt Applegate","Kansas St.","Jr.","P","11","67.0","18","2.42"
"283","Casey Henn","Wright St.","Jr.","P","11","55.7","15","2.42"
"","Mike Hernandez","Butler","Jr.","P","11","55.7","15","2.42"
"285","Chris Franzese","LIU Brooklyn","So.","P","15","59.3","16","2.43"
"","Taylor Hill","Vanderbilt","Sr.","P","11","59.3","16","2.43"
"287","Matt Iannazzo","Pittsburgh","Jr.","P","10","70.3","19","2.43"
"","Mike Wright","East Carolina","Jr.","P","11","70.3","19","2.43"
"289","Jack Boehm","Bucknell","Jr.","P","10","44.3","12","2.44"
"290","Dylan Seeley","Bucknell","Sr.","P","12","59.0","16","2.44"
"291","Ty Blach","Creighton","So.","P","12","66.3","18","2.44"
"","Tyler Wilson","Virginia","Sr.","P","11","66.3","18","2.44"
"293","Dustin Lloyd","McNeese St.","Jr.","P","19","47.7","13","2.45"
"","Brandon Moore","Arkansas","Fr.","P","12","47.7","13","2.45"
"","Greg Terhune","Seton Hall","So.","P","12","47.7","13","2.45"
"296","Chris Chung","Southern Utah","Fr.","OF","11","58.7","16","2.45"
"297","Andrew Brown","Akron","Jr.","P","12","80.7","22","2.45"
"298","Brad Reimer","LIU Brooklyn","So.","P","11","44.0","12","2.45"
"299","Bo Burton","East Tenn. St.","Sr.","P","18","62.3","17","2.46"
"300","Hunter Scantling","Florida St.","Jr.","P","11","40.3","11","2.46"
"301","Steven Maxwell","TCU","Sr.","P","10","62.0","17","2.47"
"","Jared Wagoner","Butler","Sr.","P","10","62.0","17","2.47"
"303","Dixon Anderson","California","Jr.","P","10","54.7","15","2.47"
"304","Geoff Brown","Washington","Sr.","P","18","43.7","12","2.47"
"","Will Harris","Georgetown","Jr.","-","8","43.7","12","2.47"
"306","Jeff Murray","Delaware","Jr.","P","25","40.0","11","2.48"
"307","Steven Gruver","Tennessee","Jr.","P","11","76.3","21","2.48"
"308","Mark Appel","Stanford","So.","P","11","65.3","18","2.48"
"","Austin Kubitza","Rice","Fr.","P","10","65.3","18","2.48"
"310","Max Friedman","Wright St.","Sr.","P","11","50.7","14","2.49"
"311","Todd Savatsky","Central Conn. St.","So.","P","9","54.3","15","2.49"
"312","Tyler Koors","Xavier","Jr.","P","10","57.7","16","2.50"
"313","Steven Ewing","Miami (FL)","So.","P","10","61.3","17","2.50"
"","Dave Kubiak","Albany (NY)","Sr.","P","10","61.3","17","2.50"
"315","Justin Jones","California","So.","P","11","79.3","22","2.50"
"316","John Leonard","Boston College","Sr.","P","12","68.3","19","2.50"
"","Connor Sinclair","Lipscomb","Fr.","-","12","68.3","19","2.50"
"318","Matthew Sisto","Hawaii","Jr.","P","11","64.7","18","2.50"
"319","Kyle Ziimmer","San Francisco","So.","P","14","61.0","17","2.51"
"320","Kurt Wunderlich","Michigan St.","Sr.","P","11","71.7","20","2.51"
"321","Josh Schneider","Morehead St.","Jr.","P","17","53.7","15","2.51"
"","Tyler Wood","Furman","Fr.","P","11","53.7","15","2.51"
"323","Justin Wiley","Iona","Sr.","P","11","68.0","19","2.51"
"324","Cole Vicars","Alcorn St.","Sr.","INF","9","46.3","13","2.53"
"","Matt Wainman","William & Mary","So.","P","18","46.3","13","2.53"
"326","Cody Hall","Southern U.","Sr.","P","12","53.3","15","2.53"
"327","Preston Wasmund","NYIT","Sr.","P","10","49.7","14","2.54"
"328","Chad Martin","Indiana","Fr.","P","13","60.3","17","2.54"
"329","Cody Allen","High Point","Jr.","P","10","67.3","19","2.54"
"","Eddie Macaluso","Iona","Fr.","P","11","67.3","19","2.54"
"331","Brandon Kimbrel","Sam Houston St.","Sr.","P","11","74.3","21","2.54"
"332","Max Perlman","Harvard","Sr.","P","10","60.0","17","2.55"
"333","Nick Petree","Missouri St.","Fr.","P","12","67.0","19","2.55"
"","Jon Richard","Xavier","So.","P","11","67.0","19","2.55"
"335","Chris Briere","Longwood","Sr.","P","9","59.7","17","2.56"
"","Ryan Pfaeffle","George Mason","Jr.","P","11","59.7","17","2.56"
"","Derek Varnadore","Auburn","Jr.","P","10","59.7","17","2.56"
"338","Justin Hess","Ga. Southern","So.","P","15","42.0","12","2.57"
"339","Jonas Dufek","Creighton","Sr.","P","12","73.3","21","2.58"
"340","Jordan Smith","Western Caro.","Fr.","P","10","59.3","17","2.58"
"341","Matt McCormick","LIU Brooklyn","So.","P","14","55.7","16","2.59"
"","Charles Wooten","Bowling Green","Sr.","P","13","55.7","16","2.59"
"343","T.J. Oakes","Minnesota","So.","P","10","59.0","17","2.59"
"","Eric Young","Delaware","Jr.","P","11","59.0","17","2.59"
"345","Zak Hermans","Princeton","So.","P","9","58.7","17","2.61"
"346","Erik Heiligenstadt","Gardner-Webb","Fr.","-","13","48.3","14","2.61"
"","Scott Weismann","Clemson","Jr.","P","16","48.3","14","2.61"
"348","Esteban Guzman","San Jose St.","Jr.","P","14","51.7","15","2.61"
"","Brian Muransky","Xavier","Sr.","P","15","51.7","15","2.61"
"350","Stephen Peterson","Rhode Island","Sr.","P","10","62.0","18","2.61"
"","Justin Topa","LIU Brooklyn","So.","P","13","62.0","18","2.61"
"352","Brad LaBruyere","Southeast Mo. St.","Sr.","P","11","55.0","16","2.62"
"353","Jason Wheeler","Loyola Marymount","Jr.","P","10","72.0","21","2.63"
"354","Cody Martin","Gonzaga","Sr.","P","17","41.0","12","2.63"
"355","Kramer Champlin","Arizona St.","Jr.","P","11","75.0","22","2.64"
"356","Zach Fritz","Lafayette","Sr.","P","9","47.7","14","2.64"
"357","Rob Zastryzny","Missouri","Fr.","P","11","64.7","19","2.64"
"358","Matt Gwaltney","Longwood","Jr.","P","11","51.0","15","2.65"
"359","Trevor Bauer","UCLA","Jr.","P","11","91.7","27","2.65"
"360","Brian Pendergast","Fordham","Sr.","P","11","71.3","21","2.65"
"361","Robbie Kilcrease","Texas Tech","Jr.","P","13","54.3","16","2.65"
"","Justin Russell","Citadel","Fr.","P","11","54.3","16","2.65"
"363","Alex Maffett","Richmond","Jr.","P","22","40.7","12","2.65"
"364","Joe Parsons","Virginia Tech","Sr.","P","12","61.0","18","2.66"
"365","Jordan Lewis","Houston","Jr.","P","12","67.7","20","2.66"
"366","Dan Tyson","Northwestern","Fr.","P","12","44.0","13","2.66"
"367","Joe DiRocco","Seton Hall","Sr.","P","11","77.7","23","2.66"
"368","Kyle Hunter","Dartmouth","So.","P","8","54.0","16","2.67"
"369","Derek Bushey","East Tenn. St.","So.","P","13","60.7","18","2.67"
"","Brandon McNelis","Northeastern","Sr.","P","10","60.7","18","2.67"
"","Taylor Wood","Cornell","Sr.","P","10","60.7","18","2.67"
"372","Zak Griffith","Kennesaw St.","Jr.","P","10","57.3","17","2.67"
"373","Chad Pierce","Milwaukee","Sr.","P","11","70.7","21","2.67"
"374","Jake Barrett","Arizona St.","So.","P","12","67.3","20","2.67"
"375","Mason Radeke","Cal Poly","Jr.","P","11","74.0","22","2.68"
