"Rank","Name","Team","Cl","Pos","G","SH"
"","Tyler Urps","Old Dominion","Sr.","INF","22","6"
"","Doug Votolato","Central Ark.","Sr.","INF","21","6"
"","Ty Warrington","Delaware","Jr.","C","21","6"
"","Jomarcos Woods","UCF","Jr.","OF","22","6"
"60","Kyle Bacak","TCU","Sr.","C","20","5"
"","Caden Bailey","Georgia St.","Jr.","INF","22","5"
"","Sam Balzano","Maine","Jr.","OF","23","5"
"","Tyler Beckwith","Richmond","So.","INF","16","5"
"","Braden Bishop","Washington","So.","OF","22","5"
"","Brad Borosak","Navy","Jr.","INF","22","5"
"","Bobby Boyd","West Virginia","Jr.","OF","20","5"
"","Vince Bruno","California","---","LF","19","5"
"","Josh Bunselmeyer","Saint Louis","So.","INF","16","5"
"","Derek Campbell","California","Jr.","OF","22","5"
"","Samuel Capielano","New Orleans","Fr.","SS","20","5"
"","Bryan Case","Oklahoma St.","Jr.","C","17","5"
"","Branden Cogswell","Virginia","Jr.","INF","22","5"
"","Ro Coleman","Vanderbilt","Fr.","INF","21","5"
"","Bud Collura","South Ala.","Jr.","INF","19","5"
"","Tanner Dearman","Wichita St.","So.","INF","21","5"
"","Alex Diaz","FGCU","Jr.","INF","24","5"
"","Trent Drumheller","Oakland","Jr.","OF","15","5"
"","Ryan Farney","Sam Houston St.","Jr.","INF","21","5"
"","Lucas Feddersen","Arkansas St.","Jr.","INF","23","5"
"","Josh Gardiner","Radford","Jr.","INF","22","5"
"","Robert Garza","Texas Southern","Jr.","INF","22","5"
"","Anfernee Grier","Auburn","Fr.","OF","19","5"
"","Damon Haecker","Auburn","Fr.","INF","25","5"
"","Derek Hannahs","Indiana St.","Jr.","INF","20","5"
"","Colby Harrison","Northern Colo.","Sr.","INF","22","5"
"","Connor Heady","Kentucky","Fr.","INF","19","5"
"","Tyler Hibbert","FIU","Sr.","OF","24","5"
"","Logan Ice","Oregon St.","Fr.","C","24","5"
"","Nate Irving","Virginia","Jr.","C","18","5"
"","C.J. Jarvis","Houston Baptist","Sr.","INF","20","5"
"","A.J. Kennedy","Cal St. Fullerton","So.","C","13","5"
"","Stephen Kerr","Fla. Atlantic","Fr.","INF","24","5"
"","Tyler Krieger","Clemson","So.","INF","23","5"
"","Eric Lowe","Villanova","So.","SS","21","5"
"","Charlie Madden","Mercer","Fr.","C","21","5"
"","Danny Mannion","Saint Louis","Fr.","OF","17","5"
"","Tyler Martis","Siena","So.","INF","20","5"
"","Austin Miller","Loyola Marymount","Fr.","OF","24","5"
"","Jeremy Montalbano","Texas","So.","C","22","5"
"","Andy Moore","Elon","Jr.","INF","23","5"
"","Ramon Nelson","Alabama A&M","Jr.","OF","20","5"
"","Alex Pastorius","Col. of Charleston","So.","OF","20","5"
"","Aaron Payne","Oregon","Sr.","INF","22","5"
"","Mark Payton","Texas","Sr.","OF","25","5"
"","Ashton Perritt","Liberty","Jr.","P","25","5"
"","AJ Ramirez","Southern California","So.","INF","21","5"
"","Errol Robinson","Ole Miss","Fr.","INF","24","5"
"","Joseph Runco","Fordham","So.","INF","19","5"
"","Noel Santos","Central Mich.","Sr.","INF","20","5"
"","Will Savage","Columbia","Fr.","INF","14","5"
"","Blake Schmit","Maryland","Sr.","SS","22","5"
"","Chris Selden","Seton Hall","Sr.","OF","19","5"
"","Geoff Seto","Niagara","Fr.","INF","22","5"
"","Will Shepherd","Liberty","Fr.","OF","21","5"
"","Mike Small","Richmond","Sr.","INF","21","5"
"","T. Smith","Jackson St.","---","1B","23","5"
"","Thomas Smith","Georgia Tech","Jr.","INF","22","5"
"","Chad Smith","Winthrop","Jr.","INF","23","5"
"","Wyler Smith","Utah","So.","OF","22","5"
"","Andrew Stevenson","LSU","So.","OF","23","5"
"","Gary Thomas","Jackson St.","Jr.","INF","14","5"
"","Darien Tubbs","Memphis","Fr.","OF","23","5"
"","Casey Turgeon","Florida","Jr.","INF","24","5"
"","Lamonte Wade","Maryland","So.","1B","21","5"
"","Riley White","Utah Valley","Sr.","OF","22","5"
"126","Josh Abshire","UNC Wilmington","Sr.","C","15","4"
"","Nick Alfonso","South Fla.","So.","SS","22","4"
"","Jay Anderson","Nevada","Jr.","OF","19","4"
"","Brandon Angus","VMI","Jr.","OF","22","4"
"","Landon Appling","Houston","Sr.","OF","22","4"
"","Hughston Armstrong","Citadel","Sr.","OF","24","4"
"","Joel Atkinson","Northwestern St.","Jr.","INF","22","4"
"","Michael Babb","Jacksonville","So.","OF","17","4"
"","Carlton Bailey","Harvard","Sr.","INF","12","4"
"","Erik Barber","UCF","Jr.","OF","24","4"
"","Robert Bennie","Virginia","So.","OF","7","4"
"","Cole Bieser","Southeast Mo. St.","Sr.","OF","23","4"
"","Nick Blaser","Cal St. Northridge","Jr.","INF","19","4"
"","Greyson Bogdon","Utah Valley","So.","INF","20","4"
"","Cody Bohanek","Ill.-Chicago","Fr.","INF","12","4"
"","LJ Brewster","Hawaii","So.","INF","19","4"
"","Justin Bridgman","Nevada","Fr.","INF","22","4"
"","Jacob Bruce","Kennesaw St.","Jr.","OF","26","4"
"","James Bunn","VCU","So.","OF","17","4"
"","Scotty Burcham","Sacramento St.","Jr.","INF","23","4"
"","Brad Burcroff","Northeastern","Sr.","OF","19","4"
"","Hunter Burton","Furman","Sr.","INF","24","4"
"","Kenny Byram","Sacred Heart","Jr.","INF","16","4"
"","Leon Byrd","Rice","So.","OF","25","4"
"","Green Campbell","Yale","Jr.","INF","15","4"
"","Brian Carroll","UCLA","Sr.","OF","22","4"
"","Mike Carter","Rutgers","Fr.","OF","19","4"
"","Trent Chatterton","UCLA","So.","INF","22","4"
"","Tommy Cheek","Loyola Marymount","Sr.","INF","24","4"
"","Anthony Cheky","Michigan St.","Jr.","OF","20","4"
"","Sal Ciccone","Fairfield","Jr.","INF","16","4"
"","Thomas Clay","Houston Baptist","Jr.","OF","19","4"
"","Danny Collier","New Mexico","Fr.","OF","18","4"
"","Terence Connelly","UNC Wilmington","So.","INF","21","4"
"","Keenan Cook","Rice","Sr.","OF","25","4"
"","Ryan Cooper","Elon","Jr.","OF","23","4"
"","Zach Coppola","South Dakota St.","So.","OF","19","4"
"","Vince Corbi","UMBC","Jr.","INF","15","4"
"","Jacob Cronenworth","Michigan","So.","INF","24","4"
"","Jose Cuas","Maryland","So.","INF","19","4"
"","Stephen Curtis","Jackson St.","Sr.","INF","19","4"
"","Todd Czinege","Villanova","Fr.","SS","21","4"
"","Nick Dawson","Southern Miss.","So.","INF","24","4"
"","Nick DeRegis","Rhode Island","Jr.","OF","16","4"
"","Chris DelDebbio","Hartford","So.","OF","17","4"
"","Danny Diekroeger","Stanford","Sr.","INF","18","4"
"","Colin Dower","Coppin St.","So.","INF","14","4"
"","Brian Dudek","Buffalo","Fr.","INF","15","4"
"","Caleb Dugas","Northwestern St.","Jr.","P","22","4"
"","Camden Duzenack","Dallas Baptist","Fr.","INF","20","4"
"","Michael Eaton","San Francisco","So.","INF","16","4"
"","Kyle Edwards","Winthrop","So.","INF","24","4"
"","David Edwards","Loyola Marymount","Jr.","INF","23","4"
"","Kaiana Eldredge","Kansas","Sr.","C","20","4"
"","Brenden Farney","California","Jr.","INF","15","4"
"","Regan Flaherty","Western Ky.","Sr.","OF","24","4"
"","Mick Foley","George Mason","Sr.","1B","17","4"
"","Joe Ford","Wright St.","Sr.","INF","22","4"
"","Joe Forney","Xavier","Jr.","INF","22","4"
"","Justin Fox","West Virginia","Jr.","2B","18","4"
"","Chandler Geller","Ohio","Sr.","OF","15","4"
"","Nico Giarratano","San Francisco","Fr.","INF","21","4"
"","Dan Glevenyak","Auburn","Sr.","INF","25","4"
"","Adam Groesbeck","Air Force","Fr.","INF","19","4"
"","Fred Hampton","Jackson St.","Sr.","OF","24","4"
"","Kyle Hann","Mississippi St.","So.","INF","12","4"
"","Seth Harrison","La.-Lafayette","Sr.","OF","24","4"
"","Demarcus Henderson","Mississippi St.","Sr.","INF","21","4"
"","Kevin Herlihy","Savannah St.","Sr.","1B","17","4"
"","Aaron Hernandez","Kansas","Jr.","INF","24","4"
"","Colby Hines","Prairie View","Sr.","OF","17","4"
"","Chris Hoo","Cal Poly","Sr.","C","23","4"
"","John Howell","Binghamton","Sr.","INF","16","4"
"","Cory Hunt","Utah","Sr.","INF","22","4"
"","Christian Ibarra","LSU","Sr.","INF","21","4"
"","Josh Ingham","Central Conn. St.","Sr.","INF","9","4"
"","Anthony Italiano","Stony Brook","Sr.","C","10","4"
"","Drew Jackson","Stanford","So.","INF","17","4"
"","Ben Johnson","Texas","So.","OF","25","4"
"","Cody Jones","TCU","Jr.","OF","23","4"
"","Chris Kalousdian","Manhattan","Jr.","INF","18","4"
"","Cory Kingston","Albany (NY)","Jr.","OF","10","4"
"","Ross Kivett","Kansas St.","Sr.","INF","23","4"
"","Kenny Koplove","Duke","So.","INF","25","4"
"","Drew LaBounty","South Ala.","Fr.","INF","22","4"
"","Sasha LaGarde","Mercer","Sr.","OF","25","4"
"","Kyle Leady","Campbell","Jr.","INF","25","4"
"","Erik Lockwood","Pacific","Sr.","OF","26","4"
"","Derek Long","Presbyterian","So.","C","24","4"
"","Anthony Lyons","Texas Tech","Fr.","OF","19","4"
"","Brooks Marlow","Texas","Jr.","2B","25","4"
"","Emmanuel Marrero","Alabama St.","Jr.","INF","29","4"
"","Benigno Marrerro","UNC Greensboro","So.","OF","16","4"
"","Hayden Martin","UALR","So.","INF","19","4"
"","Cole Martin","Michigan","Sr.","C","21","4"
"","Evan Mason","Tex.-Pan American","Jr.","OF","24","4"
"","Matt McCallister","UNLV","Sr.","INF","23","4"
"","Dane McDermott","High Point","Jr.","INF","23","4"
"","Max McDowell","UConn","So.","C","19","4"
"","Andy McGuire","Texas","Fr.","INF","19","4"
"","Jack Meggs","Washington","Fr.","OF","19","4"
"","Matt Mendenhall","Washington St.","So.","INF","16","4"
"","David Metzgar","Bakersfield","Fr.","INF","20","4"
"","Lance Miles","Kansas St.","So.","INF","14","4"
"","Troy Montgomery","Ohio St.","Fr.","OF","18","4"
"","Gage Morey","FGCU","Fr.","OF","23","4"
"","Walker Moses","Northwestern","Jr.","OF","16","4"
"","Billy Motroni","Presbyterian","Jr.","INF","24","4"
"","Hayden Nielsen","BYU","So.","SS","25","4"
"","Nick Oberg","Coastal Caro.","So.","INF","18","4"
"","Joseph Olson","Stephen F. Austin","Jr.","C","20","4"
"","Michael Paez","Coastal Caro.","Fr.","OF","22","4"
"","Manny Pazos","Pittsburgh","Fr.","C","21","4"
"","Ryan Peurifoy","Georgia Tech","Fr.","OF","18","4"
"","Sergio Plasencia","Dayton","Jr.","INF","18","4"
"","Eddie Posavec","Binghamton","Fr.","C","11","4"
"","Justin Protacio","Kansas","Jr.","INF","23","4"
"","Scott Quinlan","UC Santa Barbara","Sr.","OF","16","4"
"","Chris Rabago","UC Irvine","Jr.","INF","23","4"
"","Cody Ramer","Arizona","So.","INF","26","4"
"","Nick Ramos","Indiana","So.","INF","21","4"
"","Mike Reuvekamp","California","Sr.","INF","16","4"
"","Steven Reveles","Nebraska","Jr.","INF","15","4"
"","Austin Roberts","UC Riverside","Fr.","INF","12","4"
"","Casey Rodrigue","Indiana","Jr.","INF","21","4"
"","Ramsey Romano","Michigan","Fr.","INF","24","4"
"","Jack Ross","Pepperdine","Fr.","OF","19","4"
"","John Ruiz","Miami (FL)","Fr.","INF","15","4"
"","Brody Russell","Fresno St.","So.","OF","23","4"
"","Jonathan Salcedo","Maine","So.","C","23","4"
"","Saulyer Saxon","Oklahoma St.","Sr.","OF","21","4"
"","Michael Scarcello","Buffalo","Sr.","INF","17","4"
"","David Schanz","Binghamton","So.","INF","12","4"
"","Aaron Scoville","Radford","Sr.","OF","22","4"
"","Jacob Seward","Southeastern La.","Fr.","OF","21","4"
"","Travis Sibley","Texas-Arlington","Jr.","INF","23","4"
"","Mike Simonini","San Jose St.","So.","INF","15","4"
"","Jace Statum","Texas A&M","Sr.","OF","21","4"
"","Trek Stemp","Washington St.","So.","INF","20","4"
"","Brett Stephens","UCLA","Fr.","OF","14","4"
"","Evan Stephens","Wake Forest","Sr.","OF","25","4"
"","Johnathan Stokes","Citadel","Jr.","INF","22","4"
"","Bradley Strong","Western Caro.","Jr.","INF","22","4"
"","Michael Suiter","Kansas","Jr.","OF","24","4"
"","Dansby Swanson","Vanderbilt","So.","INF","25","4"
"","Ryan Tella","Auburn","Sr.","OF","23","4"
"","Alex Tomasovich","Charleston So.","Sr.","INF","25","4"
"","Bret Underwood","Northwestern St.","Jr.","OF","21","4"
"","Jacob Valdez","San Jose St.","Sr.","INF","22","4"
"","Tyler Vaughn","Troy","Sr.","INF","23","4"
"","Colton Vaughn","Long Beach St.","Sr.","INF","20","4"
"","JJ Wagner","Pacific","So.","INF","26","4"
"","Donnie Walton","Oklahoma St.","So.","INF","24","4"
"","Tim Wetzel","Ohio St.","Sr.","OF","20","4"
"","Charlie White","Maryland","Jr.","OF","21","4"
"","Carter White","Memphis","Jr.","C","21","4"
"","Brock Whitney","BYU","Sr.","1B","25","4"
"","John Williams","UC Davis","Jr.","OF","17","4"
"","Clay Williamson","Cal St. Fullerton","Jr.","OF","20","4"
"","Jake Wise","Arkansas","Sr.","C","19","4"
"","Jacob Wolf","Miami (OH)","So.","OF","15","4"
"","Dylan Wolsonovich","Pittsburgh","So.","INF","22","4"
"","Caleb Wood","Gonzaga","So.","INF","22","4"
"","Colby Wright","Kansas","So.","INF","15","4"
"","Chesny Young","Mercer","Jr.","3B","23","4"
"","David Zorn","Nicholls St.","Jr.","OF","22","4"
