"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"","Reese Gregory","St. Cloud St.","So.","P","7","19.0","2","0.95"
"","Matt Theiss","Northwood (MI)","---","P","4","19.0","2","0.95"
"41","David Herd","California Baptist","Jr.","P","8","37.2","4","0.96"
"42","Ben Williams","Adams St.","Jr.","P","7","28.0","3","0.96"
"43","Sean Becker","Cal St. East Bay","Sr.","P","7","46.1","5","0.97"
"44","Jake Peterson","Quincy","So.","P","4","27.2","3","0.98"
"45","A.J. Turnier","Southern Conn. St.","Jr.","P","3","18.1","2","0.98"
"46","Bryce Bellin","Minn. St. Mankato","Sr.","1B","5","27.1","3","0.99"
"47","Andrew Bacon","Albany St. (GA)","---","DH","8","36.1","4","0.99"
"48","Maso Cotton","Virginia St.","Sr.","P","4","27.0","3","1.00"
"","Zach Gresch","Notre Dame (OH)","Jr.","P","5","27.0","3","1.00"
"","David Reese","Mo. Southern St.","Sr.","P","6","36.0","4","1.00"
"","Cole Yoder","Ohio Valley","---","P","3","18.0","2","1.00"
"52","Jake Heissler","Central Mo.","Sr.","P","6","34.2","4","1.04"
"53","Tyler Howell","Ala.-Huntsville","Jr.","P","8","51.1","6","1.05"
"54","Trey Oest","Tampa","So.","P","8","51.0","6","1.06"
"55","Kyle Schneider","Slippery Rock","Jr.","P","6","33.2","4","1.07"
"56","Brig Gerlich","Lubbock Christian","---","P","8","49.2","6","1.09"
"57","Kennie Silvestri","Palm Beach Atl.","Jr.","P","8","41.0","5","1.10"
"58","Vince Frate","Ashland","Jr.","P","6","32.2","4","1.10"
"","Jay Kluka","Wilmington (DE)","Jr.","P","5","16.1","2","1.10"
"","Stephen Vaughn","Wingate","Sr.","P","7","32.2","4","1.10"
"61","Drew Eiland","Ala.-Huntsville","Sr.","P","7","48.1","6","1.12"
"62","Mick Fennell","California (PA)","So.","INF","4","24.0","3","1.13"
"63","Tyler Thompson","Pittsburg St.","Sr.","P","7","39.2","5","1.13"
"64","Preston Felgate","William Jewell","Jr.","P","4","31.2","4","1.14"
"65","Wilson Ashford","Fresno Pacific","Jr.","P","8","46.1","6","1.17"
"66","Scott Ward","Florida Tech","Jr.","P","8","61.2","8","1.17"
"67","Craig Jacobs","Nyack","Jr.","INF","5","30.1","4","1.19"
"68","Drew Reidt","Cameron","Sr.","P","7","45.1","6","1.19"
"69","Sean Grant","Catawba","So.","P","10","37.1","5","1.21"
"70","Heath Kelley","Lake Erie","Jr.","P","5","22.1","3","1.21"
"71","James Roman","Benedict","---","P","13","29.2","4","1.21"
"72","Casey Cooperman","Bloomsburg","Sr.","P","5","37.0","5","1.22"
"73","Kerry Kelley","Cal St. San B'dino","Sr.","P","8","44.1","6","1.22"
"74","Joey Arena","LIU Post","Jr.","P","3","22.0","3","1.23"
"75","Andrew Groves","Northwest Nazarene","Jr.","P","8","29.0","4","1.24"
"76","Andrew Joseph","Northwood (MI)","Sr.","P","4","21.2","3","1.25"
"77","Brannon Easterling","St. Edward's","Sr.","P","8","57.2","8","1.25"
"78","Barry Amett","Ill.-Springfield","Sr.","P","4","28.0","4","1.29"
"","Derek Drag","New Haven","Sr.","P","1","7.0","1","1.29"
"","Harrison Paige","American Int'l","So.","P","2","14.0","2","1.29"
"","Frank Vilacha","New Haven","Sr.","P","2","14.0","2","1.29"
"","Ben Wright","Southern Ind.","Jr.","P","5","28.0","4","1.29"
"83","Cody Johns","Northern St.","Jr.","P","4","20.2","3","1.31"
"84","Wesley Camp","Newberry","Jr.","P","11","61.2","9","1.31"
"85","Stephen Hux","Chowan","Fr.","P","6","27.1","4","1.32"
"86","Davis Ward","Ouachita Baptist","Sr.","P","8","61.1","9","1.32"
"87","Jack Dennis","California (PA)","So.","P","4","20.1","3","1.33"
"","Tyler Omlid","Maryville (MO)","So.","P","4","20.1","3","1.33"
"89","Nikolay Uherek","Lee","Jr.","P","6","33.2","5","1.34"
"90","Logan Johnson","Ark.-Monticello","Jr.","P","8","53.2","8","1.34"
"91","Rocco Cundari","Southern Conn. St.","Sr.","P","3","20.0","3","1.35"
"","Caleb Edwards","Mars Hill","So.","P","8","53.1","8","1.35"
"","null Klaiber","UVa-Wise","---","P/RF","4","20.0","3","1.35"
"","Dylan Lynn","Southern Ark.","Sr.","P","8","53.1","8","1.35"
"","Evan McNair","Bellarmine","So.","P","4","26.2","4","1.35"
"","Aaron Vaughn","Northwest Nazarene","Sr.","P","6","40.0","6","1.35"
"97","Cole Cromer","Newberry","Jr.","P","8","46.1","7","1.36"
"98","Alex Smith","Ashland","So.","P","6","33.0","5","1.36"
"99","Jacob French","Tarleton St.","Jr.","P","8","46.0","7","1.37"
"","Ben Monticello","Eastern N.M.","Sr.","P","7","46.0","7","1.37"
"101","Gj Senchak","California (PA)","Jr.","P","5","32.2","5","1.38"
"102","Joey Danner","Colorado Mesa","Sr.","P","5","25.2","4","1.40"
"","Noah Star","Northwest Nazarene","Fr.","P","6","25.2","4","1.40"
"104","Taylor Bratton","West Ala.","Sr.","P","7","44.1","7","1.42"
"","Nathan Humpal","St. Mary's (TX)","Sr.","P","7","44.1","7","1.42"
"","Brandon Pierce","Okla. Christian","Sr.","P","6","38.0","6","1.42"
"107","Jon Richards","Sonoma St.","Sr.","P","5","31.1","5","1.44"
"","Dayan Rodriguez","West Florida","Sr.","P","7","31.1","5","1.44"
"","Mark Smyth","West Liberty","So.","P","5","31.1","5","1.44"
"110","Mitchell Hillert","Concordia (NY)","So.","P","4","18.2","3","1.45"
"","Johnathon Wandling","Southern Ind.","Sr.","P","6","37.1","6","1.45"
"112","Michael Pope","Cal St. East Bay","Jr.","P","7","30.2","5","1.47"
"113","Colton Burleson","Tarleton St.","Jr.","P","8","49.0","8","1.47"
"114","Jake Winicki","Northwood (MI)","Sr.","P","4","18.1","3","1.47"
"115","Eric Ryan","Lenoir-Rhyne","Sr.","P","9","42.2","7","1.48"
"116","Scott Lueders","Bentley","Sr.","P","4","24.0","4","1.50"
"","Austin Warner","Bellarmine","So.","P","4","24.0","4","1.50"
"118","Ben Brown","Coker","---","P","9","41.2","7","1.51"
"119","Brandon Shimo","Kutztown","Sr.","P","4","17.2","3","1.53"
"120","John Branum","Newman","Sr.","INF","6","35.0","6","1.54"
"","John Conquy","Dixie St.","Jr.","P","8","35.0","6","1.54"
"","Tom Hudon","St. Anselm","So.","P","4","23.1","4","1.54"
"123","Nick Hudson","Cal St. East Bay","Sr.","P","6","40.2","7","1.55"
"124","Luke Barker","Cal St. Chico","Jr.","P","11","29.0","5","1.55"
"125","Ashton Fronsoe","Florida Tech","Jr.","P","9","46.1","8","1.55"
"126","Dan Bartlett","Caldwell","Sr.","P","3","17.1","3","1.56"
"","Patrick Kelly","Grand Valley St.","So.","P","5","34.2","6","1.56"
"128","David Heintz","Tampa","So.","P","8","40.1","7","1.56"
"","Liam O'Sullivan","Saint Leo","Jr.","P","10","40.1","7","1.56"
"130","Ethan Bader","Armstrong","Sr.","P","8","57.1","10","1.57"
"","Joe Carnavale","Merrimack","Jr.","P","4","28.2","5","1.57"
"132","Matt Bowles","Southern Ind.","Sr.","INF","6","34.1","6","1.57"
"133","Chance Abrath","Dixie St.","Jr.","P","7","40.0","7","1.58"
"134","Jeff Beall","Urbana","Jr.","P","5","17.0","3","1.59"
"","Greg Gonzalez","Queens (NY)","Jr.","P","4","11.1","2","1.59"
"","Cort Lesmeister","Pittsburg St.","Fr.","P","6","28.1","5","1.59"
"","Connor Root","Bentley","Jr.","P","5","17.0","3","1.59"
"","Kellen Sheppard","Point Loma","Fr.","P","8","51.0","9","1.59"
"139","Matthew Artalejo","Eastern N.M.","Jr.","P","7","45.0","8","1.60"
"140","Marcus Shippey","Shippensburg","So.","P","5","33.2","6","1.60"
"141","Mason Crenshaw","Southeastern Okla.","---","P","12","28.0","5","1.61"
"","Brad Schnelle","Seton Hill","Sr.","P","6","28.0","5","1.61"
"143","Zach Parks","West Ala.","Sr.","P","8","55.2","10","1.62"
"144","Bryson Gauthe","Hawaii Pacific","Sr.","P","9","27.2","5","1.63"
"145","Max Bethell","Cal Poly Pomona","So.","P","8","44.0","8","1.64"
"","Ethan Davis","Southwestern Okla.","Jr.","P","7","44.0","8","1.64"
"","null Zgardowski","Angelo St.","---","P","8","44.0","8","1.64"
"","Kyle Zimmerman","Wayne St. (MI)","Jr.","P","4","22.0","4","1.64"
"149","Kodi Whitley","Mount Olive","Fr.","P","8","43.2","8","1.65"
"150","Zac Wittmus","Ga. Southwestern","Jr.","P","10","48.2","9","1.66"
"151","Janson Carr","Southern Ark.","Jr.","P","8","32.1","6","1.67"
"152","Colton Lorance","Henderson St.","---","P","7","43.0","8","1.67"
"153","Dan Altavilla","Mercyhurst","Jr.","P","4","26.2","5","1.69"
"","Tyler Delval","Clarion","So.","P","3","16.0","3","1.69"
"","Jesse Goertzen","Minot St.","So.","P","3","16.0","3","1.69"
"","Drew Hargrove","Findlay","Sr.","P","4","26.2","5","1.69"
"","Zachary Hedges","Azusa Pacific","Jr.","P","6","42.2","8","1.69"
"","Brian O'Keefe","Bridgeport","Jr.","P","5","26.2","5","1.69"
"","Kyle Rufer","Barton","Jr.","P","10","42.2","8","1.69"
"160","Scott Cone","West Tex. A&M","Sr.","P","7","42.1","8","1.70"
"","Tyler Vails","Stillman","Sr.","P","10","42.1","8","1.70"
"162","Eric Schweitzer","Ohio Valley","So.","P","4","26.1","5","1.71"
"163","Jamie Driver","Shepherd","So.","P","6","31.0","6","1.74"
"164","Mason Marquette","Rogers St.","Jr.","P","7","51.1","10","1.75"
"165","Michael Scott","Tusculum","Sr.","P","8","46.0","9","1.76"
"166","Brandon Williams","Central Wash.","---","P","7","35.2","7","1.77"
"167","Andrew MacMahon","Adams St.","Jr.","P","7","40.2","8","1.77"
"","Chris Murphy","Millersville","Jr.","P","6","40.2","8","1.77"
"169","T.J. Law","Rogers St.","Jr.","P","8","30.1","6","1.78"
"","Cody Skinner","West Ga.","Sr.","P","8","60.2","12","1.78"
"171","Zachery Jordan","Virginia St.","So.","OF","6","35.1","7","1.78"
"","T.J. Miller","Tusculum","Sr.","P","9","35.1","7","1.78"
"173","Cody Brown","N.M. Highlands","Jr.","P","6","25.0","5","1.80"
"","Tyler Honeycutt","Davis & Elkins","Fr.","P","3","20.0","4","1.80"
"","Dylan James","West Tex. A&M","Sr.","P","7","50.0","10","1.80"
"","Eric Keling","Maryville (MO)","Jr.","C","4","20.0","4","1.80"
"","Drew Mitrisin","William Jewell","Sr.","P","4","30.0","6","1.80"
"","Madison Neddo","Lock Haven","Jr.","P","5","20.0","4","1.80"
"","Zach Soulier","Stonehill","Sr.","P","3","20.0","4","1.80"
"180","Brad Banker","Saint Martin's","Jr.","P","9","29.2","6","1.82"
"181","Jeremy Bagnall","Montevallo","Jr.","P","11","34.1","7","1.83"
"","Jonathan Moody","Delta St.","Jr.","P","7","34.1","7","1.83"
"183","Lanny Zier","McMurry","---","P","8","49.0","10","1.84"
"184","Nathan Arnold","Pittsburg St.","Jr.","C","6","34.0","7","1.85"
"185","Cody Stull","Belmont Abbey","Sr.","P","10","48.1","10","1.86"
"186","Stephen Dickerson","Philadelphia U.","Jr.","P","5","24.0","5","1.88"
"","Conner McMahon","Merrimack","Sr.","P","4","24.0","5","1.88"
"188","Kevin Lillicrop","Point Loma","Fr.","P","6","28.2","6","1.88"
"189","Shawn Talkington","Emporia St.","Jr.","P","6","33.1","7","1.89"
"190","Denver Diefenbach","Tex. A&M-Kingsville","Sr.","P","7","38.0","8","1.89"
"","Joe Gutowski","West Chester","---","P","3","19.0","4","1.89"
"192","Austin Klein","Lindenwood (MO)","Jr.","P","7","37.2","8","1.91"
"","Zac Pearman","Lindenwood (MO)","Sr.","P","8","37.2","8","1.91"
"194","Brantley Claunch","North Ala.","Jr.","P","8","51.2","11","1.92"
"195","Mac Cooley","Christian Bros.","Jr.","P","5","28.0","6","1.93"
"","Jordan DeLorenzo","West Florida","Jr.","P","7","51.1","11","1.93"
"","Aaron Hatch","Winston-Salem","Jr.","INF","7","37.1","8","1.93"
"","Jason Hoppe","Minn. St. Mankato","Sr.","P","5","32.2","7","1.93"
"","Grant Willcoxon","Florida Tech","Fr.","P","7","37.1","8","1.93"
"200","Damian Powers","Le Moyne","Fr.","P","5","27.2","6","1.95"
