"Rank","Name","Team","Cl","Pos","G","3B"
"","Ethan Satterfield","Catawba","So.","OF","52","4"
"","Blake Schmenk","Findlay","Jr.","OF","45","4"
"","Jarvis Smith","West Tex. A&M","Jr.","OF","37","4"
"","Taylor Steen","Chestnut Hill","Fr.","SS","41","4"
"","Brad Stoudt","Kutztown","Sr.","OF","36","4"
"","Landon Sullins","Arkansas Tech","Sr.","C","49","4"
"","Zach Taylor","Armstrong","Jr.","OF","48","4"
"","Peter Testa","Southern Conn. St.","Sr.","OF","42","4"
"","Jovany Valenzuela","Colorado St.-Pueblo","Jr.","1B","46","4"
"","William VanWinkle","Paine","Jr.","1B","46","4"
"","Jake Warner","Pitt.-Johnstown","So.","C","48","4"
"","Jared Wright","Central Okla.","Jr.","OF","40","4"
"","Mickey Zudonyi","Felician","Sr.","2B","44","4"
"","John Zule","Incarnate Word","Jr.","INF","30","4"
"117","Blake Amaral","Hawaii Pacific","Sr.","INF","45","3"
"","null Ammar","Wheeling Jesuit","Fr.","-","39","3"
"","Carlos Avila","Cal St. Dom. Hills","Fr.","SS","35","3"
"","Bryce Bastien","Maryville (MO)","Fr.","OF","39","3"
"","Kenny Bellavance","North Ga.","Jr.","OF","48","3"
"","BrYan Berry","Kentucky St.","Jr.","OF","32","3"
"","Michael Bigogno","Drury","Sr.","OF","33","3"
"","Todd Blair","Post","Jr.","INF","39","3"
"","Bret Blevins","Concord","So.","INF","48","3"
"","Mike Bolling","Lewis","Sr.","OF","46","3"
"","Matt Borgschulte","Drury","Jr.","OF","40","3"
"","Brett Botsford","Le Moyne","Sr.","OF","44","3"
"","Matt Boulter","Southern N.H.","Jr.","SS","48","3"
"","John Bowron","Ohio Dominican","Sr.","OF","41","3"
"","Mike Briseno","Tex. Permian Basin","Jr.","OF","43","3"
"","Brooke Brooks","Eastern N.M.","Jr.","OF","45","3"
"","Tucker Brown","Central Okla.","Sr.","INF","47","3"
"","Dustin Carpenter","North Ga.","Jr.","INF","47","3"
"","Stephen Castiglione","Southwestern Okla.","Sr.","OF","30","3"
"","Tyler Christophel","Southwest Baptist","Sr.","OF","44","3"
"","Taylor Coleman","Henderson St.","Jr.","OF","44","3"
"","Sean Collette","Alderson-Broaddus","Jr.","OF","45","3"
"","Alexi Colon","Tusculum","Sr.","OF","54","3"
"","Matthew Consigli","Assumption","So.","INF","30","3"
"","Jordan Coons","Central Mo.","Sr.","INF","44","3"
"","Kyle Cummings","Southern Conn. St.","So.","INF","39","3"
"","Chris Curtis","Cal Poly Pomona","Sr.","INF","44","3"
"","James DeAlto","Stonehill","Jr.","OF","35","3"
"","Stephen Dodd","Caldwell","So.","OF","35","3"
"","Eric Dorton","West Tex. A&M","So.","OF","37","3"
"","Chris Dula","Catawba","So.","3B","44","3"
"","Jimmy Earp","Fairmont St.","Sr.","OF","38","3"
"","Mike Eckhart","Minn. St. Mankato","Jr.","OF","32","3"
"","Bobby Egeberg","Colorado Mines","Jr.","OF","36","3"
"","Damon Elder","Tampa","Sr.","2B","41","3"
"","Joseph Eusebio","Cal Poly Pomona","So.","OF","45","3"
"","Brandon Evans","Colorado St.-Pueblo","Jr.","OF","40","3"
"","Justin Farnum","Adelphi","Sr.","OF","38","3"
"","Mike Farrell","Felician","Jr.","3B","44","3"
"","Emilio Fernandez","Bloomfield","Sr.","OF","37","3"
"","Ysander Figueroa","Assumption","So.","P","38","3"
"","Matt Fisher","Mansfield","Jr.","3B","49","3"
"","Christian Gallegos","Ark.-Monticello","Jr.","INF","44","3"
"","Zach Gawrych","Tampa","So.","OF","35","3"
"","Adam Gendall","Southwestern Okla.","Sr.","P","44","3"
"","Christian Glisson","Valdosta St.","Sr.","C","42","3"
"","Ethan Gold","East Central","So.","OF","34","3"
"","Eric Grabe","Tampa","Sr.","3B","43","3"
"","Derek Hansen","Augustana (SD)","Jr.","INF","43","3"
"","Ian Harvey","Lander","Jr.","OF","41","3"
"","Keaton Hawks","Catawba","So.","OF","47","3"
"","Bennett Hixson","Brevard","Fr.","C","32","3"
"","Sheldon Howell","Fort Hays St.","Sr.","INF","44","3"
"","Joe Huwer","Eastern N.M.","Sr.","C","40","3"
"","Colton Jones","Drury","Jr.","INF","39","3"
"","Wade Kaido","Ashland","So.","INF","45","3"
"","Logan Kalis","Bemidji St.","Jr.","P","44","3"
"","Jon Kemmer","Clarion","Jr.","OF","40","3"
"","Ryan Kirkland","Anderson (SC)","Sr.","OF","43","3"
"","Brian Knight","Augustana (SD)","Sr.","OF","42","3"
"","Joe Kornbrust","Emporia St.","Sr.","INF","42","3"
"","Ben Kozma","Ark.-Fort Smith","Sr.","OF","31","3"
"","Chase Lacomb","Colorado St.-Pueblo","Jr.","2B","46","3"
"","Dan Lagasse","St. Anselm","So.","INF","48","3"
"","Zach Leonard","Saint Martin's","Fr.","C","40","3"
"","Weston Lewis","Truman","Sr.","OF","33","3"
"","Aaron Lindgren","Lake Erie","Fr.","OF","36","3"
"","Scott Liske","UC San Diego","So.","OF","45","3"
"","Zach Long","Carson-Newman","Jr.","3B","52","3"
"","Michael Lott","Shepherd","So.","OF","46","3"
"","Mike Lupia","Indiana (PA)","So.","INF","42","3"
"","Rodge Macy","Abilene Christian","Jr.","C","43","3"
"","Quaid McKinnon","Angelo St.","Jr.","INF","50","3"
"","Jason Merjano","Cal St. Monterey Bay","Jr.","SS","46","3"
"","Keith Meyer","Bloomsburg","Sr.","SS","42","3"
"","Gavin Meyer","Quincy","Jr.","OF","21","3"
"","Eddie Newton","Merrimack","So.","INF","44","3"
"","Mike Palkovitz","Pitt.-Johnstown","Fr.","P","43","3"
"","Nick Papas","Mercy","Jr.","OF","30","3"
"","Aaron Parnell","UNC Pembroke","Sr.","INF","49","3"
"","Zach Persky","Rollins","So.","OF","44","3"
"","Chris Pfau","Lincoln (MO)","Sr.","P","42","3"
"","Angel Pimentel","C.W. Post","Jr.","INF","41","3"
"","Luis Quinones","Eastern N.M.","Jr.","OF","46","3"
"","Anthony Ragos","Davis & Elkins","Jr.","OF","43","3"
"","Andrew Ramsey","Kentucky St.","Sr.","OF","28","3"
"","Will Rebman","USciences","So.","OF","26","3"
"","Bradon Reitano","Mount Olive","So.","SS","47","3"
"","Cody Ridinger","Urbana","So.","SS","41","3"
"","Austin Rinard","Northwood (MI)","Sr.","OF","42","3"
"","Josh Robinette","Davis & Elkins","Jr.","OF","44","3"
"","Chris Ross","Montevallo","Sr.","OF","49","3"
"","Austin Rycroft","Central Okla.","Sr.","OF","48","3"
"","Chris Schindler","Colorado St.-Pueblo","Sr.","C","45","3"
"","Michael Schmidt","North Ala.","Sr.","INF","50","3"
"","Jonathan Schmitz","Tarleton St.","Fr.","C","29","3"
"","Dylan Schwegler","Gannon","Jr.","OF","44","3"
"","Kurt Seiders","Millersville","Fr.","P","44","3"
"","Luis Serrano","Paine","Jr.","C","51","3"
"","Cameron Sherrer","Mount Olive","Sr.","SS","47","3"
"","Dan Skelly","Northeastern St.","Sr.","C","46","3"
"","Travis Smith","Assumption","Sr.","OF","38","3"
"","Nick Smith","Cameron","Jr.","OF","46","3"
"","Buddy Sosnoskie","Francis Marion","Sr.","OF","47","3"
"","Kevin Spatkowski","Southern N.H.","Sr.","C","42","3"
"","Ethan Stuckly","Tarleton St.","Sr.","INF","21","3"
"","Rafael Thomas","Southern Ark.","Sr.","OF","44","3"
"","Shane Timberlake","King (TN)","Sr.","INF","44","3"
"","Ryan Veltre","Dowling","So.","INF","41","3"
"","Michael Vinson","Delta St.","Jr.","DH","44","3"
"","Bryant Walker","King (TN)","Sr.","OF","43","3"
"","Derrick Walls","Incarnate Word","So.","OF","39","3"
"","Brent Weinzapfel","Southern Ind.","So.","C","32","3"
"","Caleb Wenzel","Colo. Christian","Jr.","OF","39","3"
"","Darryl Wilson","Paine","Jr.","OF","51","3"
"","Jordan Wlodarczyk","West Chester","Jr.","C","38","3"
"","Garrett Wright","Cal St. Stanislaus","Sr.","INF","28","3"
"","Brian Wuest","Neb.-Kearney","Jr.","1B","44","3"
"","Jacob Yates","Pfeiffer","Jr.","INF","50","3"
"","Josh Young","Georgia College","Sr.","OF","47","3"
"","Landon Young","Southwest Baptist","So.","INF","44","3"
"","Kyle Young","Southwest Minn. St.","Jr.","OF","40","3"
