"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"59","Eric Craft","West Virginia St.","Sr.","INF","20","63","3","21.0"
"","Bryan Rudolph","Ohio Dominican","Sr.","OF","18","63","3","21.0"
"61","Jordan Brower","Azusa Pacific","Jr.","1B","22","83","4","20.8"
"62","Bryan Blondeaux","Notre Dame (OH)","Jr.","OF","15","41","2","20.5"
"","David Jacob","Quincy","Fr.","OF","12","41","2","20.5"
"","Brad Rolff","Minot St.","Jr.","INF","13","41","2","20.5"
"65","Corey Baiada","Bloomsburg","So.","C","16","61","3","20.3"
"66","Jordan Oshiro","Hawaii Pacific","Jr.","OF","24","100","5","20.0"
"","Julio Zubillaga","Catawba","Sr.","2B","29","100","5","20.0"
"","Matt Jervis","Point Loma","Fr.","3B","22","60","3","20.0"
"","Robert Rosser","Okla. Christian","Jr.","INF","20","60","3","20.0"
"","Chris Salvo","Mercy","Jr.","INF","12","40","2","20.0"
"71","Paul Winterbottom","Stillman","Jr.","INF","28","98","5","19.6"
"72","Tyler Tichenor","Trevecca Nazarene","So.","OF","25","97","5","19.4"
"73","Cliff Brantley","Adelphi","Jr.","OF","15","58","3","19.3"
"74","Logan Moon","Mo. Southern St.","Sr.","OF","26","95","5","19.0"
"","Alvaro Moreno","Tarleton St.","Sr.","3B","25","95","5","19.0"
"","Fernando Tanaka","Stillman","Jr.","INF","29","95","5","19.0"
"","Joe O'Donnell","Caldwell","Sr.","SS","10","38","2","19.0"
"78","Yuta Okazaki","Rollins","Sr.","INF","25","92","5","18.4"
"79","Eric Renegar","Brevard","Sr.","INF","30","110","6","18.3"
"80","Logan Galliher","Erskine","Jr.","OF","26","91","5","18.2"
"81","Tom Walraven","New Haven","Fr.","SS","6","18","1","18.0"
"82","Chris Dennis","Fla. Southern","Jr.","3B","29","107","6","17.8"
"83","Jarod Hahn","Truman","Jr.","OF","17","53","3","17.7"
"","Josh Hudeck","Lake Erie","Jr.","INF","16","53","3","17.7"
"","Matt Petrizzi","West Chester","---","SS","14","53","3","17.7"
"86","Marty Dunlap","Franklin Pierce","Sr.","C","24","88","5","17.6"
"87","S. McWhorter","West Ga.","---","3B/1B","29","105","6","17.5"
"","Elliot Powell","Concordia-St. Paul","Sr.","1B","11","35","2","17.5"
"89","Clinton Harwick","Point Loma","Sr.","SS","27","104","6","17.3"
"","John Dockins","Kutztown","Sr.","INF","15","52","3","17.3"
"91","Justin Manning","Mount Olive","Jr.","3B","27","85","5","17.0"
"","Nick Perez","Saint Leo","Jr.","INF","21","85","5","17.0"
"","Mike Perry","Bridgeport","Jr.","INF","18","51","3","17.0"
"","Joe Boland","St. Thomas Aquinas","So.","INF","12","34","2","17.0"
"95","Colton Sims","Eastern N.M.","Sr.","INF","24","84","5","16.8"
"96","Derek Hirsch","St. Thomas Aquinas","Jr.","OF","15","50","3","16.7"
"","Brad Johnson","Charleston (WV)","Sr.","INF","17","50","3","16.7"
"","Chris Perna","Ohio Valley","Jr.","INF","16","50","3","16.7"
"99","Tyler Roberts","GRU Augusta","Fr.","2B","28","98","6","16.3"
"100","Joey Casselberry","Bloomsburg","So.","INF","18","65","4","16.3"
"","Nick Thimesch","Drury","Sr.","OF","17","65","4","16.3"
"102","Sean Keady","Bentley","Sr.","OF","13","48","3","16.0"
"","Jason Reyes","Concordia (NY)","Fr.","INF","9","32","2","16.0"
"104","Alex Kirby","Newberry","Jr.","OF","25","79","5","15.8"
"105","Chris Farrell","Palm Beach Atl.","Jr.","3B","25","94","6","15.7"
"","Michael Stemle","Lynn","Jr.","INF","29","94","6","15.7"
"107","Darryl Baca","Metro St.","Jr.","C","18","62","4","15.5"
"","Anthony Connacher","Wheeling Jesuit","So.","OF","18","62","4","15.5"
"","Kyle Fagan","LIU Post","Fr.","C","9","31","2","15.5"
"110","Sam Summerlin","Cedarville","Jr.","INF","20","77","5","15.4"
"111","Brandon Huske","Northwest Mo. St.","Sr.","INF","22","92","6","15.3"
"112","Zac Bellinger","Saint Rose","Jr.","1B","17","61","4","15.3"
"","Caleb Cole","Drury","Sr.","INF","17","61","4","15.3"
"","Brett Flutie","Rollins","Jr.","INF","23","61","4","15.3"
"","Ken McCormick","Philadelphia U.","Jr.","OF","19","61","4","15.3"
"116","Jason Fletcher","Cal St. East Bay","Jr.","INF","21","76","5","15.2"
"117","Albert Baur","Newberry","Jr.","INF","31","120","8","15.0"
"","Ryan Abernathy","Northwest Mo. St.","Sr.","OF","24","90","6","15.0"
"","Eren Miravalles","Cal St. East Bay","Sr.","INF","21","75","5","15.0"
"","Giancarlo Saia","Mercyhurst","Jr.","INF","15","45","3","15.0"
"121","Zachary Lowe","Morehouse","---","C","23","74","5","14.8"
"","Adam Urbania","Slippery Rock","---","LF","20","74","5","14.8"
"","Marshall Vallandingham","Lindenwood (MO)","Sr.","OF","23","74","5","14.8"
"124","Mike Forgione","Merrimack","So.","INF","15","59","4","14.8"
"","Ethan Wiskur","Hillsdale","Fr.","P","18","59","4","14.8"
"126","J. Underwood","West Ga.","---","3B/LF","24","88","6","14.7"
"","Damin Muth","Bloomsburg","Fr.","C","15","44","3","14.7"
"128","Lance Portwood","Missouri S&T","So.","1B","22","73","5","14.6"
"129","Josh Carpenter","North Ala.","Sr.","SS","31","102","7","14.6"
"","Wes Koenig","St. Edward's","Sr.","1B","29","102","7","14.6"
"","Anthony Pacheco","Neb.-Kearney","So.","OF","27","102","7","14.6"
"132","Mac Cooley","Christian Bros.","Jr.","P","26","87","6","14.5"
"","Tyler Raymond","King (TN)","Jr.","OF","30","87","6","14.5"
"","Zach Stone","Millersville","Sr.","OF","23","87","6","14.5"
"","Ben Carson","California (PA)","Sr.","OF","18","58","4","14.5"
"","Josh Dennett","Rockhurst","Sr.","1B","17","58","4","14.5"
"","Angel Martinez","Mercyhurst","Jr.","INF","16","58","4","14.5"
"138","R.J. Dennard","Armstrong","Jr.","C","26","101","7","14.4"
"","Casey Ryan","Cal St. L.A.","Sr.","INF","25","101","7","14.4"
"140","Matt Paculan","Urbana","Jr.","OF","12","43","3","14.3"
"141","Skippy Ferreria","Cal St. Stanislaus","Jr.","INF","26","100","7","14.3"
"142","Curtis Clark","Ark.-Fort Smith","Jr.","OF","25","71","5","14.2"
"143","Omar Garcia","St. Mary's (TX)","Jr.","SS","27","85","6","14.2"
"144","Connor Andrus","Winston-Salem","Sr.","C","31","99","7","14.1"
"145","Andrew Arteaga","Tex. A&M Int'l","---","RF","29","113","8","14.1"
"146","Trey Drewery","Tusculum","Sr.","OF","29","112","8","14.0"
"","Jordan Bernal","Okla. Panhandle","Sr.","OF","30","98","7","14.0"
"","Matt Kimmel","Azusa Pacific","Sr.","OF","22","84","6","14.0"
"","Kingsley Alarcon","Oakland City","Jr.","INF","13","42","3","14.0"
"","Don McGuirl","Saint Michael's","Jr.","SS","5","14","1","14.0"
"151","Keith Curcio","Fla. Southern","Jr.","OF","29","111","8","13.9"
"152","Noah Chandler","Harding","So.","INF","28","97","7","13.9"
"153","Joshua Markins","Virginia St.","Jr.","INF","24","69","5","13.8"
"154","Zade Denton","UNC Pembroke","Jr.","INF","29","110","8","13.8"
"","Mike Marcinko","Shippensburg","So.","INF","17","55","4","13.8"
"","Bryan Porting","William Jewell","Fr.","INF","17","55","4","13.8"
"157","Richard Mejia","Adelphi","Sr.","INF","13","41","3","13.7"
"158","Drew Cole","UNC Pembroke","Jr.","INF","30","122","9","13.6"
"159","Thomas Kain","Lynn","Jr.","3B","29","108","8","13.5"
"160","Kyle Smith","Stillman","Sr.","INF","23","67","5","13.4"
"161","Mark Hurley","Cal St. Monterey Bay","Sr.","OF","29","107","8","13.4"
"162","Drew McLaughlin","Dixie St.","Fr.","SS","30","120","9","13.3"
"163","Nolan Almodovar","Cal St. San B'dino","Sr.","P","24","93","7","13.3"
"164","Tony Kossina","McKendree","Sr.","OF","14","53","4","13.3"
"","Dennon Koziol","Ky. Wesleyan","Jr.","2B","17","53","4","13.3"
"166","null B.Hesselberg","Colo. Christian","---","3B","20","66","5","13.2"
"167","Ryan Light","Lindenwood (MO)","Jr.","INF","25","79","6","13.2"
"","Sean O'Brien","Tampa","Sr.","1B","25","79","6","13.2"
"169","David Weber","Northeastern St.","Sr.","OF","26","91","7","13.0"
"","Jerrod Groves","Concord","Jr.","INF","22","78","6","13.0"
"","Nick Baviello","Southern Conn. St.","Jr.","INF","15","65","5","13.0"
"","Colten Dickerman","Northwestern Okla.","Sr.","3B","23","65","5","13.0"
"","Chris Hoyt","Stonehill","So.","2B","17","65","5","13.0"
"","Sean Bennett","Hillsdale","Jr.","C","16","52","4","13.0"
"","Cody Scheler","Bellarmine","Sr.","OF","18","52","4","13.0"
"","Max Brown","Ohio Valley","So.","INF","14","39","3","13.0"
"","Thomas Brunswick","West Va. Wesleyan","Sr.","SS","12","39","3","13.0"
"","Joey Arena","LIU Post","Jr.","P","10","26","2","13.0"
"179","David Chew","Mo. Western St.","Sr.","OF","24","90","7","12.9"
"180","Jack Cockrum","West Ala.","So.","C","23","77","6","12.8"
"181","Max Waletich","Minn. St. Mankato","Jr.","INF","18","64","5","12.8"
"182","Tyler Adams","Upper Iowa","Sr.","OF","13","51","4","12.8"
"","Eric Forth","East Stroudsburg","Sr.","C","18","51","4","12.8"
"","Sam Goines","Wilmington (DE)","Jr.","1B","15","51","4","12.8"
"","Michael Rizzitello","Dowling","So.","C","17","51","4","12.8"
"","Karl Sorensen","St. Cloud St.","So.","OF","15","51","4","12.8"
"","Kyle Stoudt","Kutztown","Sr.","1B","16","51","4","12.8"
"188","Joshua Banuelos","Fresno Pacific","Jr.","INF","25","89","7","12.7"
"","Joseph Daris","Azusa Pacific","Sr.","OF","22","89","7","12.7"
"190","Justin Rodriguez","N.M. Highlands","Sr.","INF","23","63","5","12.6"
"191","Derrick Lott","Clark Atlanta","Jr.","INF","17","50","4","12.5"
"192","Paul Johnson","Northwest Mo. St.","Jr.","INF","23","87","7","12.4"
"193","Eric Loxtercamp","St. Cloud St.","Jr.","OF","17","74","6","12.3"
"","Cameron Stallings","Stillman","Sr.","OF","27","74","6","12.3"
"","Tomas Paine","Assumption","So.","INF","12","37","3","12.3"
"196","Andy Crowley","California Baptist","Jr.","OF","28","123","10","12.3"
"197","Will Kengor","Slippery Rock","Sr.","INF","20","86","7","12.3"
"","Jocobby Robinson","West Ala.","Sr.","INF","27","86","7","12.3"
"199","Michael Douglas","Shippensburg","Sr.","OF","17","61","5","12.2"
"","Eric Peterson`","Minn. St. Mankato","Fr.","INF","19","61","5","12.2"
"","Zack Ranta","Gannon","Jr.","INF","18","61","5","12.2"
"","Ethan Sterkel","Central Wash.","Sr.","OF","20","61","5","12.2"
"","Ben Stewart","Lincoln (MO)","Sr.","INF","20","61","5","12.2"
