"Rank","Name","Team","Cl","Pos","G","AB","H"
"","Ryan Walsh","Mass.-Boston","Sr.","2B","34","138","57"
"","Ryan Yezak","East Tex. Baptist","Sr.","INF","40","153","57"
"63","Kyle Allaire","Rhode Island Col.","Jr.","SS","32","135","56"
"","Rob Benedict","Wesley","Jr.","INF","36","142","56"
"","William Bissell","Gallaudet","Fr.","OF","42","128","56"
"","Zach Boyes","Johnson & Wales (RI)","So.","OF","39","143","56"
"","Nate Carlson","Redlands","Sr.","INF","37","141","56"
"","Sam Hill","Birmingham-So.","Sr.","C","38","143","56"
"","Todd Keneborus","St. Joseph's (ME)","Sr.","OF","40","132","56"
"","Corey Kopec","Maryville (TN)","Jr.","OF","40","151","56"
"","Corey McDonald","Worcester St.","Sr.","OF","34","116","56"
"","Christian Muscarello","Trinity (TX)","Fr.","INF","44","164","56"
"","Ryan Normoyle","Washington Col.","Jr.","SS","35","142","56"
"","Timothy Novom","Pomona-Pitzer","Fr.","OF","36","158","56"
"","Matt Oliveto","FDU-Florham","Sr.","OF","32","123","56"
"","Brandon Owashi","Redlands","Sr.","OF","36","155","56"
"","Collin Radack","Hendrix","Fr.","OF","41","157","56"
"","Chris Ray","Alvernia","So.","INF","34","122","56"
"","Chris Reynolds","Luther","Jr.","INF","35","134","56"
"","Jim Schult","Eastern Conn. St.","Sr.","OF","34","135","56"
"","Beattie Southerland","Mary Washington","Fr.","OF","40","159","56"
"","Brent Steffey","Mary Washington","Jr.","INF","37","142","56"
"","Chase Tucker","Redlands","Jr.","INF","36","143","56"
"","Iggy Wagner","Cal Lutheran","Jr.","OF","38","159","56"
"85","Kevin Callahan","Ill. Wesleyan","So.","1B","34","122","55"
"","Chris Campbell","St. Joseph's (ME)","Sr.","INF","35","118","55"
"","Tony Deshler","Brandeis","Sr.","INF","41","162","55"
"","Jason Diemer","Texas-Dallas","Sr.","OF","43","173","55"
"","Matt Forgatch","Denison","Sr.","3B","36","124","55"
"","Mike Galetta","Haverford","Sr.","3B","38","146","55"
"","Matt Hampp","Wittenberg","Jr.","C","37","138","55"
"","Justin Jirschele","Wis.-Stevens Point","Jr.","3B","33","136","55"
"","Cody Koback","Wis.-Stevens Point","Jr.","P","33","134","55"
"","Garrett Methvin","LeTourneau","So.","P","40","148","55"
"","Mikee Moore","Maryville (TN)","So.","OF","40","163","55"
"","Jake Northrup","Endicott","Fr.","P","40","125","55"
"","Eric Rehbein","Mary Washington","Sr.","INF","40","152","55"
"","Steve Seminerio","FDU-Florham","Jr.","SS","32","138","55"
"","Jeb Weymouth","Randolph-Macon","So.","OF","42","165","55"
"100","Kyle Billig","Washington-St. Louis","Fr.","OF","43","158","54"
"","Cole Bixenman","Linfield","Sr.","C","37","141","54"
"","Kevin Calbick","Trinity (TX)","Sr.","OF","37","135","54"
"","Nick Cortese","Brandeis","So.","OF","41","144","54"
"","Matt Gilbert","Rhodes","Sr.","P","43","166","54"
"","Rob Gonzalez","New Jersey City","Jr.","2B","35","153","54"
"","Ken Gregory","Kean","Sr.","OF","37","138","54"
"","Drew Harrell","Huntingdon","Sr.","DH","40","157","54"
"","John Holm","Wabash","Jr.","INF","39","140","54"
"","Bruce Maxwell","Birmingham-So.","So.","1B","38","139","54"
"","Bill Pace","Neumann","So.","C","35","134","54"
"","Patrick Riebsame","Emory","Sr.","OF","42","154","54"
"","John Snyder","Marietta","Sr.","OF","32","119","54"
"","Brandon Thigpen","Methodist","So.","INF","43","149","54"
"","Michael Tucker","Anderson (IN)","Jr.","C","35","123","54"
"115","Dave Bartek","Piedmont","Sr.","OF","45","147","53"
"","Jason Cohen","DePauw","So.","INF","40","144","53"
"","Josh Davidson","Aurora","Sr.","OF","33","125","53"
"","Ryan Dudzinski","Western New Eng.","Sr.","OF","40","140","53"
"","Tyson Giza","Willamette","So.","OF","39","159","53"
"","Zach Harrelson","Hampden-Sydney","Sr.","C","41","152","53"
"","Kevin Hendricks","Benedictine (IL)","So.","OF","34","134","53"
"","J.D. Hulse","Birmingham-So.","Sr.","OF","39","152","53"
"","Brian Inghram","Methodist","Sr.","INF","44","156","53"
"","Devan Jones","Suffolk","Fr.","INF","39","142","53"
"","Matt June","SUNY Cortland","Jr.","2B","37","142","53"
"","Michael Kovacs","Rose-Hulman","Sr.","OF","35","141","53"
"","Ricardo Lizcano","Heidelberg","Jr.","INF","35","131","53"
"","Jacob Ludvik","La Verne","Jr.","OF","39","139","53"
"","Alexander Melcher","Salve Regina","Sr.","INF","39","143","53"
"","Shayne Paskanik","Va. Wesleyan","Jr.","OF","36","138","53"
"","John Schmaltz","Springfield","Sr.","OF","33","136","53"
"","Jay Thompson","Bridgewater (VA)","Jr.","INF","43","155","53"
"","Chase Valdez","Schreiner","So.","C","35","133","53"
"","Oat Wilson","Augustana (IL)","Fr.","INF","32","139","53"
"","David Wolak","Elmhurst","Fr.","OF","34","123","53"
"136","Nick Alosco","Johnson & Wales (RI)","Sr.","INF","41","164","52"
"","Travis Crump","Ferrum","Sr.","OF","34","136","52"
"","Josh Denny","Mt. St. Joseph","Jr.","INF","35","122","52"
"","Joseph Guido","Old Westbury","Jr.","2B","41","164","52"
"","Jason Henning","Redlands","So.","INF","36","136","52"
"","Adam Higgins","Averett","Sr.","OF","38","142","52"
"","Kevin Knox","Ramapo","Jr.","INF","34","138","52"
"","Art Levenson","Rensselaer","Jr.","OF","32","124","52"
"","Marc Magliaro","Rowan","Jr.","INF","37","145","52"
"","Travis May","Washington-St. Louis","Sr.","INF","46","147","52"
"","Rob McPike","DePauw","Jr.","INF","39","144","52"
"","Erik Munzer","Pomona-Pitzer","So.","OF","39","157","52"
"","Bobby Newman","Rose-Hulman","So.","3B","35","127","52"
"","Ray Noe","Wittenberg","Sr.","OF","35","131","52"
"","John Phelan","Fitchburg St.","Sr.","INF","34","134","52"
"","Michael Pratt","St. Joseph's (ME)","So.","INF","40","129","52"
"","Brady Roundtree","Anderson (IN)","Sr.","2B","35","141","52"
"","Luke Saunders","Chris. Newport","Jr.","INF","44","166","52"
"","Logan Smith","LeTourneau","So.","OF","40","168","52"
"","Nathan Tomaszewski","LeTourneau","Jr.","INF","40","142","52"
"","Brett Watanabe","Claremont-M-S","Fr.","1B","39","145","52"
