"Rank","Name","Team","Cl","Pos","G","RBI"
"","Sean Cotten","Tusculum","Sr.","C","50","43"
"","Tim Dye","Belmont Abbey","Sr.","OF","46","43"
"","Jerry Lloyd","Bloomsburg","Sr.","1B","37","43"
"","Jared Mothershed","North Ala.","Sr.","OF","43","43"
"","Cameron Robulack","Delta St.","Jr.","1B","44","43"
"","Jordan Smith","St. Cloud St.","So.","OF","41","43"
"85","Juan Alvarez","Lincoln Memorial","Sr.","INF","51","42"
"","Nate Baumann","Augustana (SD)","Sr.","OF","39","42"
"","O'Koyea Dickson","Sonoma St.","Jr.","INF","44","42"
"","Travis Echols","Georgia College","So.","3B","50","42"
"","Andrew Garcia","Cameron","Jr.","1B","44","42"
"","Jason Garcia","St. Mary's (TX)","Sr.","OF","47","42"
"","Gip Hendrix","Henderson St.","Sr.","OF","45","42"
"","Derek Ingui","Franklin Pierce","Sr.","DH","43","42"
"","Adam Lewis","Mars Hill","Sr.","C","49","42"
"","Jeremy Miller","Tex. Permian Basin","Sr.","OF","46","42"
"","Billy Ninemire","Harding","So.","INF","46","42"
"","Zach Smith","Erskine","Fr.","INF","51","42"
"","Jeremy Soliday","Southwestern Okla.","Jr.","3B","44","42"
"","Brad Vance","Southern Ind.","Jr.","C","45","42"
"99","Bruce Alter","Columbus St.","Sr.","3B","45","41"
"","Jarius Brown","Stillman","Fr.","OF","41","41"
"","William Calhoun","Abilene Christian","Sr.","DH","47","41"
"","Tyler Choate","Southern Ind.","Sr.","P","45","41"
"","Daniel Coffey","Mount Olive","Jr.","3B","46","41"
"","Grant DeBruin","Ala.-Huntsville","Jr.","INF","45","41"
"","Andrew Durden","Nova Southeastern","Sr.","OF","44","41"
"","Jed Hanson","Neb. Omaha","Sr.","INF","46","41"
"","Shayne Houck","Kutztown","Jr.","INF","39","41"
"","Mark Jeffery","Tarleton St.","Sr.","C","43","41"
"","Ryan Rua","Lake Erie","Jr.","SS","41","41"
"","Rusty Smith","Mars Hill","Sr.","OF","49","41"
"","Steven Vidaurri","Incarnate Word","Sr.","OF","47","41"
"","Mitch Wolfe","Eastern N.M.","Sr.","INF","42","41"
"113","Anthony Boza","Lynn","Jr.","1B","45","40"
"","Chris Casazza","Tarleton St.","Sr.","INF","45","40"
"","J Cox","Virginia St.","Fr.","-","46","40"
"","Tom Deangelis","Seton Hill","Sr.","INF","39","40"
"","Ryan Geffert","Southern Conn. St.","Jr.","1B","37","40"
"","Brandon Gipson","Benedict","Sr.","C","40","40"
"","Joe Halley","Cameron","Sr.","INF","45","40"
"","Adam Jury","Slippery Rock","Sr.","INF","44","40"
"","Dusty Maggs","Nova Southeastern","Sr.","INF","46","40"
"","Justin Miller","Southeastern Okla.","Sr.","OF","45","40"
"","Heath Peterson","Montevallo","Jr.","1B","43","40"
"","Andy Petz","Washburn","Sr.","C","41","40"
"","Jake Sloan","North Ala.","Jr.","P","42","40"
"","Donald Smith","Claflin","Jr.","OF","34","40"
"","Bobby Triglia","Valdosta St.","Jr.","INF","44","40"
"","Abe Williams","Abilene Christian","Sr.","C","40","40"
"","Drew Willingham","Erskine","So.","1B","51","40"
"130","Tyler Benzel","Fla. Southern","Sr.","INF","41","39"
"","Jacob Campbell","Albany St. (GA)","Fr.","OF","47","39"
"","Derek Fulmer","North Greenville","Jr.","P","44","39"
"","Brock Green","Ouachita Baptist","Jr.","1B","47","39"
"","Josh Haley","UNC Pembroke","Jr.","OF","48","39"
"","Garrett Harris","Angelo St.","Jr.","OF","45","39"
"","Mike Jackson","Stillman","Jr.","OF","41","39"
"","Andrew Jones","Tampa","Jr.","OF","45","39"
"","Jj Loker","S.C. Aiken","So.","INF","50","39"
"","Josh Miller","S.C. Aiken","So.","C","46","39"
"","Isaac Rome","Mo. Western St.","Sr.","INF","44","39"
"","Tyler Ruch","Central Mo.","Sr.","INF","46","39"
"","Ryan Saxon","Anderson (SC)","Sr.","2B","50","39"
"","Jon Shoutta","Regis (CO)","Fr.","1B","43","39"
"","Brian Simone","West Ala.","Sr.","OF","41","39"
"","Zach Stone","Millersville","So.","3B","45","39"
"","Jordan Stouffer","Metro St.","Sr.","1B","40","39"
"","Travis Taijeron","Cal Poly Pomona","Sr.","OF","45","39"
"","Mike Williams","Newman","Sr.","INF","46","39"
"","Christian Wise","Southwestern Okla.","Jr.","INF","44","39"
"","John Zule","Incarnate Word","So.","INF","37","39"
"151","Mike August","Millersville","Jr.","SS","45","38"
"","Aaron Berner","Minn. St. Mankato","Fr.","-","39","38"
"","Josh Dawson","Cameron","Jr.","INF","44","38"
"","Weston Dodson","Elizabeth City St.","Fr.","OF","40","38"
"","Logan Dollar","Columbus St.","Jr.","1B","46","38"
"","Brad Hall","North Ga.","Sr.","INF","49","38"
"","Josh Hohn","Catawba","Sr.","C","51","38"
"","Derek Kline","Millersville","Sr.","1B","45","38"
"","Bryan Lippincott","Concordia-St. Paul","Jr.","3B","29","38"
"","Jeff May","Lander","So.","C","44","38"
"","Colby McCord","Neb. Omaha","Jr.","C","46","38"
"","Jordan Owens","Lander","Jr.","1B","42","38"
"","K. C. Pfister","Southeastern Okla.","Sr.","OF","43","38"
"","Sebastian Ray","St. Andrews","So.","INF","44","38"
"","Buddy Sosnoskie","Francis Marion","Jr.","OF","47","38"
"","Jenzen Torres","Cal Poly Pomona","Jr.","C","41","38"
"","Joe Vaskas","Emporia St.","Jr.","INF","43","38"
"","Eric Walker","Southeastern Okla.","Sr.","C","45","38"
"","Josh Wenger","Concord","So.","INF","43","38"
"","Casey Winckowski","Erskine","Sr.","INF","51","38"
"171","Madison Beaird","Arkansas Tech","So.","OF","46","37"
"","Mike Bisenius","Wayne St. (NE)","Jr.","OF","36","37"
"","Rolando Bonner","Tusculum","Sr.","OF","43","37"
"","Angelo Burrage","St. Joseph's (IN)","So.","1B","41","37"
"","Caleb Cole","Drury","Fr.","INF","45","37"
"","Andy Cotton","Emporia St.","Sr.","INF","45","37"
"","Josh Cyr","North Ala.","So.","INF","44","37"
"","Ryan Engrav","Newman","Sr.","INF","42","37"
"","Joey Frabasile","Belmont Abbey","Jr.","1B","46","37"
"","Dillon Hazlett","Emporia St.","Sr.","INF","45","37"
"","Matt Henriksen","Tusculum","So.","INF","48","37"
"","Matt Howard","Slippery Rock","Sr.","OF","44","37"
"","Robert Kelly","St. Anselm","So.","1B","44","37"
"","Colin Kish","Fla. Southern","Jr.","OF","40","37"
"","Brian Kochik","Lock Haven","Sr.","C","39","37"
"","Joe Mangum","UNC Pembroke","Sr.","INF","44","37"
"","Jose Mendoza","Henderson St.","Sr.","INF","42","37"
"","Edwin Mendoza","Southwestern Okla.","Jr.","INF","45","37"
"","Tyler Migl","St. Mary's (TX)","Jr.","OF","48","37"
"","Nathan Minnich","Shepherd","Jr.","1B","33","37"
"","Tony Mitchell","Fla. Southern","Sr.","OF","41","37"
"","Randy O'Dell","Brevard","Jr.","INF","41","37"
"","Richard Pirkle","Georgia College","Sr.","C","50","37"
"","Albert Selanders","Central Mo.","So.","C","42","37"
"","Jason Simone","Mount Olive","Sr.","OF","37","37"
"","Nate Wilder","Arkansas Tech","Jr.","3B","38","37"
"","Deaun Williams","Lincoln Memorial","Sr.","OF","45","37"
"","John Willner","Valdosta St.","Sr.","OF","47","37"
"199","Carlos Asuaje","Nova Southeastern","Fr.","INF","45","36"
"","Chase Barnes","Pittsburg St.","Jr.","OF","38","36"
"","Trent Chapman","West Liberty","Sr.","OF","45","36"
"","Kevin Deese","West Ala.","Sr.","OF","41","36"
"","Brian Dice","Lenoir-Rhyne","Sr.","C","47","36"
"","Damon Elder","Tampa","Jr.","OF","45","36"
"","Blake Gentry","Southeastern Okla.","Jr.","OF","45","36"
"","Mike Godwin","Wilmington (DE)","Jr.","P","39","36"
"","J.T. Greenhood","Colorado St.-Pueblo","Jr.","OF","44","36"
"","Dan Hayduk","Mount Olive","Sr.","SS","44","36"
"","Taylor Johnson","St. Edward's","So.","2B","44","36"
"","Kyle Jones","Sonoma St.","Sr.","OF","44","36"
"","Deryk Marks","Augustana (SD)","Sr.","INF","43","36"
"","Sam Mcgill","Ouachita Baptist","Sr.","P","45","36"
"","Abel Medina","Cal St. Dom. Hills","Sr.","3B","45","36"
"","Luis Penate","Nova Southeastern","Sr.","INF","45","36"
"","Matt Petty","Barry","Sr.","INF","50","36"
"","Areo Regoli","Nova Southeastern","Jr.","OF","41","36"
"","Josh Riley","Arkansas Tech","Sr.","SS","45","36"
"","Ryan Schoonover","Central Okla.","Sr.","OF","46","36"
"","Robert Skinner","Lander","Sr.","INF","49","36"
"","Blake Stroth","North Ala.","Sr.","INF","42","36"
"","Landon Sullins","Arkansas Tech","Jr.","C","40","36"
"","Kale Sumner","Hawaii Pacific","So.","INF","45","36"
"","Kyle Wager","Colorado St.-Pueblo","Sr.","C","40","36"
"","Jon Wegener","Central Mo.","Sr.","OF","24","36"
"","Jordan Williams","Colorado Mines","So.","C","40","36"
"","Josh Young","Georgia College","Jr.","OF","49","36"
"","Selwyn Young","Benedict","Sr.","SS","39","36"
"228","Stephen Andrews","Lenoir-Rhyne","Sr.","OF","46","35"
"","Andrew Archer","Ga. Southwestern","Jr.","OF","48","35"
"","Weston Baros","St. Mary's (TX)","Sr.","2B","47","35"
"","Al Benson","Limestone","Jr.","OF","52","35"
"","Kyle Buchanan","Belmont Abbey","Jr.","C","44","35"
"","K.C. Clabough","Florida Tech","Jr.","INF","47","35"
"","Cody Coffman","Tusculum","Jr.","1B","47","35"
"","Gus Fernandez","Florida Tech","Sr.","INF","39","35"
"","David Harvey","Morehouse","Jr.","OF","37","35"
"","Wade Koester","Quincy","Sr.","INF","44","35"
"","Jp LaMunyon","North Ala.","Jr.","3B","43","35"
"","Ryan Lewis","Columbus St.","Jr.","OF","46","35"
"","Colt Loehrs","Arkansas Tech","Sr.","OF","45","35"
"","Eric Maupin","N.M. Highlands","Jr.","INF","42","35"
"","Patrick Melvin","Miles","Sr.","1B","39","35"
"","Reagan Moczygemba","St. Mary's (TX)","Sr.","INF","50","35"
"","Kyle O'Boyle","Saginaw Valley","So.","OF","39","35"
"","Carmine Pellechia","Molloy","Jr.","OF","45","35"
"","Jeff Popick","Colorado Mesa","Jr.","OF","40","35"
"","Chase Presley","Harding","Jr.","INF","46","35"
"","Jerry Rodriguez","Tex. A&M-Kingsville","Sr.","INF","46","35"
"","Erick Sanderson","Anderson (SC)","So.","P","49","35"
"","Martin Sartin","Neb. Omaha","Jr.","OF","44","35"
"","Bret Schwartz","Central Mo.","Jr.","SS","46","35"
"","Spencer Shockley","Mo. Western St.","So.","INF","44","35"
"","Mike Snyder","Fla. Southern","Jr.","INF","41","35"
"","Kyle Stacken","Fort Hays St.","Sr.","1B","43","35"
"","Adam Taylor","North Greenville","So.","P","44","35"
"","Drew Walker","Armstrong","Jr.","INF","48","35"
"","Keith Whitman","UNC Pembroke","Sr.","OF","44","35"
"","Jeremy Williams","Tuskegee","So.","P","32","35"
"259","David Albritton","Emporia St.","Sr.","C","43","34"
"","Chad Balderman","Limestone","Fr.","OF","51","34"
"","Josh Beal","Stillman","Fr.","-","39","34"
"","Angelo Bruno","Stonehill","Sr.","1B","43","34"
"","Jason Coker","UNC Pembroke","Sr.","INF","48","34"
"","Corey Cowan","Newman","Jr.","INF","47","34"
"","Kaleb Cunningham","Indianapolis","Sr.","INF","43","34"
"","Gus Durst","Lincoln (MO)","Sr.","OF","41","34"
"","Evan Kehoe","UC San Diego","Sr.","INF","46","34"
"","R.J. Knese","Drury","Sr.","C","45","34"
"","Mike Love","Ala.-Huntsville","Jr.","OF","44","34"
"","Cody Pate","Mars Hill","Jr.","INF","43","34"
"","Kevin Phillips","Southeastern Okla.","Jr.","INF","45","34"
"","Kevin Pillar","Cal St. Dom. Hills","Sr.","OF","45","34"
"","Eric Rodriguez","Benedict","Sr.","OF","34","34"
"","Dane Simoneau","Washburn","Sr.","INF","42","34"
"","Frank Sirolli","Indiana (PA)","Sr.","OF","46","34"
"","Anthony Sully","Lenoir-Rhyne","Sr.","1B","47","34"
"","Nate Valdez","Cameron","Sr.","INF","43","34"
"278","Greg Anderson","Colorado Mesa","Sr.","OF","44","33"
"","Eric Barnes","Oakland City","Jr.","INF","29","33"
"","Bryant Chambliss","Tuskegee","Sr.","C","31","33"
"","Michel Coffey","Ga. Southwestern","So.","C","48","33"
"","Christian Diaz","Mars Hill","Jr.","INF","48","33"
"","Brian Ernst","East Stroudsburg","So.","1B","39","33"
"","John Fouchet","Florida Tech","Sr.","INF","47","33"
"","P.J. Garcia","Grand Canyon","Jr.","2B","35","33"
"","Aaron Johnson","Saint Martin's","Sr.","DH","47","33"
"","Jesse Kinzey","Mo. Southern St.","Jr.","P","45","33"
"","Zach Martin","Pitt.-Johnstown","Sr.","OF","33","33"
"","Chris Miller","Cal Poly Pomona","Jr.","1B","44","33"
"","Derek Moczygemba","St. Mary's (TX)","So.","P","47","33"
"","Ryan Moore","Chowan","Fr.","P","50","33"
"","Mike Munoz","Franklin Pierce","Sr.","OF","41","33"
"","Chris O'Neil","Southern N.H.","Sr.","OF","42","33"
"","Ernesto Ortiz","Grand Canyon","Jr.","SS","42","33"
"","Jordan Parker","Ala.-Huntsville","Sr.","INF","36","33"
"","Blaine Rosenberg","Montevallo","Jr.","C","44","33"
"","Ethan Santora","Mercyhurst","Jr.","INF","44","33"
"","Michael Schmidt","North Ala.","Jr.","INF","44","33"
"","Sloan Soulia","Fort Hays St.","Sr.","C","44","33"
"","Nick Sydnor","Concord","Fr.","OF","44","33"
"","Kevin Wempe","Emporia St.","Sr.","INF","45","33"
"","Paul Young","Grand Valley St.","Sr.","OF","39","33"
"","Kyle Zimmerman","Ouachita Baptist","Sr.","INF","47","33"
"304","Nick Adams","Rollins","Jr.","INF","46","32"
"","Jared Allen","Ga. Southwestern","Sr.","INF","48","32"
"","John Avanzino","Rollins","Sr.","INF","33","32"
"","Josh Avery","Okla. Panhandle","Jr.","1B","42","32"
"","Chris Ballou","Tex. A&M-Kingsville","Jr.","OF","42","32"
"","Kenny Bellavance","North Ga.","So.","OF","49","32"
"","Bret Blevins","Concord","Fr.","INF","40","32"
"","Tucker Brown","Central Okla.","Jr.","INF","43","32"
"","Adam Capps","Chowan","Jr.","INF","48","32"
"","Roberto Castillo","Tex. A&M Int'l","Jr.","P","42","32"
"","Zach Cohen","Angelo St.","Jr.","INF","47","32"
"","Chris Collazo","Tex. A&M Int'l","Sr.","OF","47","32"
"","Josh Dabbs","Montevallo","Sr.","OF","41","32"
"","Patrick Donahue","Tampa","Sr.","INF","43","32"
"","Collin Elmore","St. Edward's","Jr.","INF","42","32"
"","Jordan Erisman","North Ga.","Jr.","INF","49","32"
"","David Frazier","North Greenville","Jr.","INF","44","32"
"","Chandler Goode","Tex. Permian Basin","Sr.","OF","46","32"
"","Eric Grabe","Tampa","Jr.","2B","45","32"
"","Casey Hall","Stillman","Jr.","INF","40","32"
"","Chandler Klute","Neb.-Kearney","So.","C","35","32"
"","Preston Lyon","Pfeiffer","Jr.","INF","49","32"
"","Sean McDonald","Northwest Nazarene","Jr.","OF","44","32"
"","Luis Meija","Palm Beach Atl.","Jr.","3B","50","32"
"","Shawn Pleffner","Tampa","Jr.","OF","41","32"
"","Chris Pula","West Chester","Fr.","INF","40","32"
"","Matthew Pullos","Colorado Mines","So.","OF","43","32"
"","Elliott Riege","Colorado Mines","Sr.","INF","42","32"
"","Brad Shankle","Southeastern Okla.","Jr.","C","42","32"
"","Dan Skelly","Northeastern St.","Jr.","C","38","32"
"","Brandon Small","Albany St. (GA)","Jr.","SS","45","32"
"","Darryl Stringfield","Virginia St.","Sr.","P","47","32"
"","Kelvin Tanner","Clark Atlanta","Fr.","INF","30","32"
"","Chris Vazquez","Wingate","Jr.","SS","52","32"
"","Michael Wiseman","Wayne St. (MI)","Sr.","C","41","32"
"","Andre Yates","Southwestern Okla.","Jr.","2B","47","32"
"340","Manny Acosta","Cal St. L.A.","Fr.","INF","45","31"
"","Branfy Arias","Tusculum","Sr.","OF","46","31"
"","Patrick Arntson","Upper Iowa","Jr.","1B","44","31"
"","Tyler Bair","Grand Canyon","Sr.","OF","47","31"
"","Matt Barr","Davis & Elkins","So.","INF","42","31"
"","Joey Benke","St. Cloud St.","Jr.","INF","36","31"
"","Matt Boulter","Southern N.H.","So.","SS","44","31"
"","Brandon Brewer","West Fla.","Sr.","SS","48","31"
"","Ty Chancelor","Ala.-Huntsville","Jr.","OF","43","31"
"","Evan Claus","Metro St.","Jr.","1B","31","31"
"","Brett Delcambre","Newman","Jr.","SS","47","31"
"","Junnior Dishmey-Perez","Tarleton St.","Sr.","2B","36","31"
"","Alex Frederick","Armstrong","Jr.","SS","46","31"
"","Casey Hanrahan","Augusta St.","Sr.","C","47","31"
"","Brian Hansen","St. Cloud St.","So.","OF","41","31"
"","Kenneth Hatfield","Miles","Sr.","INF","37","31"
"","Taylor Honeycutt","Wingate","Sr.","C","48","31"
"","Trey Horn","West Tex. A&M","Sr.","INF","42","31"
"","Rashad Ingram","St. Augustine's","Sr.","INF","54","31"
"","Brandon Lowe","Morehouse","Fr.","1B","40","31"
"","Zach Mathieu","Franklin Pierce","Fr.","1B","43","31"
"","Will McCaleb","St. Edward's","Jr.","SS","44","31"
"","Kevin McCall","Mercyhurst","Sr.","1B","44","31"
"","Evan Melendez","Ashland","Sr.","OF","45","31"
"","Gene Stewart Moody","Tuskegee","Fr.","P","33","31"
"","Rob Noe","Mass.-Lowell","Jr.","C","36","31"
"","Colby Robison","Mont. St. Billings","So.","INF","39","31"
"","J.R. Roland","Abilene Christian","Jr.","OF","42","31"
"","Kyle Rosadino","Southern Conn. St.","Sr.","OF","37","31"
"","Jackie Samora","Grand Canyon","Fr.","2B","44","31"
"","Alex Schultz","Eastern N.M.","Jr.","INF","36","31"
"","Chase Stokes","Ark.-Monticello","Jr.","OF","38","31"
"","Edward Tamarez","Elizabeth City St.","Jr.","OF","34","31"
"","Zach Taylor","West Fla.","Sr.","OF","36","31"
"","Michael Thames","Paine","So.","OF","39","31"
"","Michael Tomko","Gannon","So.","OF","37","31"
"","Ryan Vanbeek","Northwest Nazarene","Sr.","C","44","31"
"","Marcus Weese","Davis & Elkins","Sr.","OF","42","31"
"","Joseph Westbrook","Mount Olive","Sr.","OF","34","31"
"","Jordan White","Ky. Wesleyan","Jr.","OF","35","31"
"","Jacob Yates","Pfeiffer","So.","INF","49","31"
"381","Mitchell Broughton","Quincy","Fr.","OF","41","30"
"","Dustin Brown","Saint Leo","Jr.","OF","44","30"
"","Brennan Brown","Metro St.","Sr.","OF","32","30"
"","Tyler Callicutt","North Greenville","Sr.","1B","44","30"
"","Andrew Castaneda","Colorado St.-Pueblo","Jr.","OF","46","30"
"","Chase Corn","Erskine","Fr.","OF","45","30"
"","Colin Courtland","Grand Canyon","Sr.","P","42","30"
"","Arrow Cunningham","Central Okla.","Sr.","C","43","30"
"","Mark Darlington","West Va. Wesleyan","Sr.","OF","36","30"
"","Evan Darr","Newberry","So.","INF","46","30"
"","Brandon Day","Cal St. San B'dino","Jr.","C","40","30"
"","Patrick Deao","Mo. Southern St.","Sr.","OF","46","30"
"","Patrick Dockendorf","Minn. St. Mankato","Jr.","INF","40","30"
"","Chris Edgar","Millersville","Jr.","OF","44","30"
"","Christian Glisson","Valdosta St.","Jr.","C","44","30"
"","Jake Griesemer","East Stroudsburg","Jr.","INF","39","30"
"","Tyler Hancock","Central Okla.","Jr.","INF","41","30"
"","Lans Hardin","Christian Bros.","Jr.","OF","41","30"
"","Wayne Hawkins","Ark.-Monticello","Jr.","OF","28","30"
"","Brady Hohl","Neb. Omaha","Jr.","INF","46","30"
"","Patrick Johnson","Southern Ark.","Sr.","OF","43","30"
"","John Jones","Francis Marion","Jr.","OF","41","30"
"","Aaron Kicklighter","Valdosta St.","Jr.","INF","44","30"
"","Jimmie Koch","Florida Tech","Fr.","P","46","30"
"","Dane Kolkmeyer","Mo. Southern St.","So.","INF","38","30"
"","Josh Logan","Seton Hill","Jr.","OF","35","30"
"","Blake May","Anderson (SC)","Jr.","INF","50","30"
"","Jordan Mitchelhill","Neb.-Kearney","Sr.","2B","43","30"
"","Joshua Moore","Miles","Sr.","1B","20","30"
"","Keith Morrisroe","Concord","Jr.","C","41","30"
"","Jordan Oncay","Wilmington (DE)","Jr.","OF","40","30"
"","Ryan Reddick","Pittsburg St.","So.","C","44","30"
"","Alec Rosales","Northwest Mo. St.","Jr.","OF","45","30"
"","Alex Trojan","Wayne St. (MI)","Jr.","3B","39","30"
"","Jason Trulin","Neb.-Kearney","Sr.","OF","38","30"
"","Jordan Whitman","Cal Poly Pomona","So.","OF","45","30"
"417","Nate Alfson","Augustana (SD)","Sr.","C","38","29"
"","Andrew Anderson","Ga. Southwestern","Jr.","INF","48","29"
"","Cody Baker","Lincoln Memorial","So.","OF","51","29"
"","Nick Barbera","Pitt.-Johnstown","Sr.","INF","37","29"
"","Charlie Basil","Colorado Mines","Fr.","OF","41","29"
"","Duncan Blades","Abilene Christian","Jr.","INF","34","29"
"","Zak Blair","Mercyhurst","So.","INF","44","29"
"","Andrew Brauer","Lewis","Jr.","OF","33","29"
"","Trey Buck","Southern Ark.","Jr.","SS","45","29"
"","Adam Connell","Hillsdale","Sr.","INF","42","29"
"","Patrick Daugherty","Georgia College","Jr.","OF","49","29"
"","Tyler Davies","Neb. Omaha","Sr.","C","40","29"
"","Dane Derstine","Lynn","Sr.","C","40","29"
"","Eric Dorton","West Tex. A&M","Fr.","OF","48","29"
"","Mike Dowd","Franklin Pierce","Jr.","C","43","29"
"","R.J. Etchebarren","Grand Canyon","Sr.","OF","46","29"
"","Haven FitzSimmonds","Nova Southeastern","Sr.","C","31","29"
"","Hector Flores","Incarnate Word","Jr.","INF","41","29"
"","Nick Fuoco","Coker","Sr.","1B","38","29"
"","Adam Gemuenden","Winona St.","Jr.","1B","37","29"
"","null Gerstenslage","Mercyhurst","Fr.","-","40","29"
"","Paden Grubbs","Southwest Baptist","Sr.","OF","43","29"
"","Troy Handza","California (PA)","Jr.","OF","44","29"
"","Chris Hardy","Bentley","Sr.","OF","37","29"
"","Steven Helget","Minn. St. Mankato","Sr.","C","39","29"
"","Zane Hensley","Tarleton St.","Sr.","DH","46","29"
"","Josh Huggins","West Fla.","Jr.","3B","47","29"
"","Joey Ianiero","Bloomsburg","Sr.","INF","40","29"
"","Kyle Kemp","Lake Erie","Jr.","INF","40","29"
"","Leo Lamarche","West Fla.","Jr.","2B","45","29"
"","Brain Laznik","Erskine","Sr.","OF","50","29"
"","Dave Lojeski","Wis.-Parkside","Sr.","INF","36","29"
"","Mario Lopez","Dominican (NY)","Sr.","INF","38","29"
"","Cj Matthews","Mo. Southern St.","Sr.","OF","46","29"
"","Zach McCarthy","Erskine","Jr.","INF","49","29"
"","Danny Nelson","Cal St. Monterey Bay","Jr.","INF","44","29"
"","Tony Nelson","Dixie St.","Sr.","INF","44","29"
"","Aj Nunziato","Lander","Jr.","INF","47","29"
