"Rank","Name","Team","Cl","Pos","G","R"
"","Jeremy Lucas","Indiana St.","Jr.","C","45","44"
"","Nathan Orf","Baylor","Jr.","C","45","44"
"","Jimmy Rider","Kent St.","Sr.","INF","44","44"
"","Chris Serritella","Southern Ill.","Jr.","1B","44","44"
"","Andy Smith","Liberty","Jr.","OF","41","44"
"","Brett Vertigan","UC Santa Barbara","Jr.","OF","42","44"
"55","Will Callaway","Appalachian St.","Jr.","INF","41","43"
"","Zach Costello","Radford","Sr.","OF","42","43"
"","Hector Crespo","Appalachian St.","Jr.","INF","41","43"
"","Landon Curry","Indiana St.","Fr.","OF","43","43"
"","Anthony Defabio","Pittsburgh","Sr.","C","41","43"
"","Nick Favatella","Rutgers","So.","2B","43","43"
"","Matt Fleishman","Villanova","Sr.","OF","45","43"
"","Austin Heaps","Utah Valley","Sr.","OF","41","43"
"","Daniel Kassouf","Appalachian St.","Sr.","INF","41","43"
"","Trevor Kirk","UNLV","Sr.","OF","40","43"
"","Seth Mejias-Brean","Arizona","Jr.","INF","42","43"
"","D.J. Peterson","New Mexico","So.","3B","45","43"
"","Chris Wolfe","Grambling","Sr.","INF","41","43"
"","Josh Wright","Old Dominion","Sr.","INF","43","43"
"69","Shane Brown","Charlotte","Sr.","OF","39","42"
"","Chris Gruarin","Canisius","Jr.","OF","45","42"
"","Goose Kallunki","Utah Valley","Sr.","1B","41","42"
"","Max Muncy","Baylor","Jr.","1B","46","42"
"","Tim Ryan","Oakland","Sr.","OF","42","42"
"","Christian Stringer","Rice","Jr.","INF","41","42"
"","Scooter Williams","Ga. Southern","Jr.","OF","45","42"
"","Kyle Wren","Georgia Tech","So.","OF","43","42"
"77","Joe Corfman","Toledo","Sr.","INF","44","41"
"","Aaron Dobbs","Kennesaw St.","Sr.","INF","46","41"
"","Derek Hagy","Tex.-Pan American","Jr.","INF","36","41"
"","Jared Hammer","Hofstra","Jr.","1B","42","41"
"","Tyler Hannah","Troy","Sr.","INF","44","41"
"","Stewart Ijames","Louisville","Sr.","OF","44","41"
"","Mike Miller","Cal Poly","Sr.","INF","42","41"
"","Kevin Plawecki","Purdue","Jr.","C","41","41"
"","Zach Price","Army","Sr.","INF","47","41"
"","Robert Refsnyder","Arizona","Jr.","OF","42","41"
"","Richie Rodriguez","Eastern Ky.","Sr.","SS","41","41"
"","Devon Travis","Florida St.","Jr.","2B","43","41"
"","Ryan Walker","Texas-Arlington","So.","INF","44","41"
"90","Nick Backlund","Mercer","So.","1B","47","40"
"","Roger Bernal","Tex.-Pan American","Sr.","INF","36","40"
"","Daniel Bowman","Coastal Caro.","Sr.","OF","43","40"
"","Evan Boyd","Mercer","Jr.","SS","47","40"
"","Chris Burke","Iona","Sr.","INF","43","40"
"","William Carmona","Stony Brook","Jr.","INF","44","40"
"","Eric Charles","Purdue","Sr.","INF","40","40"
"","Tyler Gaffney","Stanford","Jr.","OF","37","40"
"","Logan Gaines","Mercer","Jr.","OF","47","40"
"","Pat Gelwicks","Butler","Jr.","1B","44","40"
"","C.J. Gillman","Dayton","Sr.","INF","45","40"
"","Justin Guidry","Middle Tenn.","Sr.","OF","46","40"
"","Reed Harper","Austin Peay","Jr.","INF","43","40"
"","Jake Hibberd","Wright St.","Sr.","INF","44","40"
"","Jake Kirkland","Campbell","Jr.","INF","45","40"
"","Luke Maile","Kentucky","Jr.","C","45","40"
"","Alex Mejia","Arizona","Jr.","INF","42","40"
"","Brent Ohrman","Eastern Mich.","Sr.","INF","40","40"
"","Cameron Perkins","Purdue","Jr.","INF","40","40"
"","Wes Satzinger","North Dakota St.","So.","INF","43","40"
"","Mark Shannon","UNLV","Jr.","OF","44","40"
"","Zach Stephens","Tennessee Tech","So.","1B","43","40"
"","Austin Wilson","Stanford","So.","OF","39","40"
"","Tyler Zupcic","Appalachian St.","Jr.","OF","40","40"
"114","Andy Almonte","Kennesaw St.","Jr.","2B","47","39"
"","Ryan Ashe","Wright St.","Sr.","OF","43","39"
"","Andrew Cain","UNC Wilmington","Sr.","INF","43","39"
"","Evan Campbell","Kent St.","Jr.","INF","42","39"
"","Andy Chriscaden","Kennesaw St.","Sr.","INF","48","39"
"","Scott Davis","Delaware St.","Sr.","INF","44","39"
"","Joey DeMichele","Arizona St.","Jr.","INF","43","39"
"","Chris Diaz","North Carolina St.","Jr.","INF","42","39"
"","Luis Diaz","N.C. Central","Jr.","OF","44","39"
"","Nolan Fontana","Florida","Jr.","INF","44","39"
"","Michael Fransoso","Maine","Jr.","2B","41","39"
"","Alex Friedrich","UCF","Sr.","OF","44","39"
"","Parker Hipp","New Mexico St.","Jr.","C","43","39"
"","Sherman Johnson","Florida St.","Sr.","3B","43","39"
"","Andrew Karmeris","North Florida","Sr.","INF","43","39"
"","Jeff Kemp","Radford","Jr.","INF","41","39"
"","L.J. Mazzilli","Connecticut","Jr.","INF","43","39"
"","Brendan McGaheran","Lehigh","Sr.","SS","49","39"
"","Will Miller","Furman","Sr.","OF","43","39"
"","Brad Moss","Samford","Sr.","C","44","39"
"","Logan Pierce","Troy","Jr.","INF","44","39"
"","Matt Pollock","Buffalo","Jr.","OF","38","39"
"","Bryce Redeker","Miami (OH)","Sr.","OF","45","39"
"","Dalton Rouleau","Hofstra","Jr.","INF","36","39"
"","Kyle Schwarber","Indiana","Fr.","C","45","39"
"","Brig Tison","George Mason","Sr.","INF","47","39"
"","Tyler White","Western Caro.","Jr.","INF","44","39"
"","Ty Young","Louisville","So.","INF","42","39"
"142","Landon Anderson","Dallas Baptist","Sr.","OF","43","38"
"","Andrew Aplin","Arizona St.","Jr.","OF","43","38"
"","Jeremy Baltz","St. John's (NY)","Jr.","OF","44","38"
"","Brandon Bayardi","UNLV","Jr.","OF","44","38"
"","Ryan Brenner","Miami (OH)","Sr.","OF","45","38"
"","Stephen Bruno","Virginia","Jr.","INF","44","38"
"","Pat Cantwell","Stony Brook","Sr.","C","42","38"
"","Chad Christensen","Nebraska","Jr.","OF","43","38"
"","Donny Duschinsky","Southern Ill.","So.","INF","44","38"
"","Adam Engel","Louisville","So.","OF","36","38"
"","Phillip Ervin","Samford","So.","P","45","38"
"","Ashley Graeter","Southern Miss.","Sr.","INF","43","38"
"","Spiker Helms","Missouri St.","Sr.","OF","45","38"
"","D.J. Hicks","UCF","Jr.","1B","45","38"
"","Travis Isaak","Murray St.","Sr.","INF","42","38"
"","Patrick Kivlehan","Rutgers","Sr.","3B","38","38"
"","Brandon Miller","Samford","Sr.","OF","44","38"
"","Tyler Naquin","Texas A&M","Jr.","OF","44","38"
"","Ethan Newton","Ohio","Sr.","OF","43","38"
"","Austin Nyman","Hofstra","Jr.","OF","39","38"
"","Thomas Pope","UNC Wilmington","Sr.","OF","41","38"
"","Michael Pritchard","Nebraska","So.","OF","43","38"
"","Ronnie Richardson","UCF","Jr.","OF","44","38"
"","Matthew Scruggs","East Tenn. St.","Sr.","OF","43","38"
"","Darnell Sweeney","UCF","Jr.","INF","44","38"
"","Steve Wilkerson","Clemson","So.","INF","42","38"
