"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"44","Britton Quayle","Frostburg St.","Sr.","P","15","42.3","48","10.21"
"45","Christian Martin","Bowdoin","Fr.","-","8","54.0","61","10.17"
"46","Jacob Becker","Lebanon Valley","Sr.","P","10","40.0","45","10.13"
"47","Zach Schneider","Webster","Fr.","P","9","54.3","61","10.11"
"48","Shane Mattingly","Washington Col.","Jr.","P","9","42.0","47","10.07"
"49","James Dalton","Mass.-Boston","Jr.","P","9","56.3","63","10.07"
"50","Mike Swietanski","Rowan","Sr.","P","8","44.7","50","10.07"
"51","Nathan VanMeter","Muskingum","Sr.","P","10","53.7","60","10.06"
"52","Doug Papuga","Wentworth Inst.","Sr.","P","7","42.3","47","10.00"
"53","Jason Pankau","Ill. Wesleyan","Sr.","P","10","64.0","71","9.98"
"54","Zach Guiles","Penn St.-Berks","Fr.","3B","9","46.0","51","9.98"
"55","Anthony Cavalier","Rutgers-Camden","Sr.","P","9","39.7","44","9.97"
"56","Shawn Marcelle","Newbury","Fr.","P","18","41.7","46","9.93"
"57","Curtis Arsi","Rowan","Jr.","P","9","57.3","63","9.90"
"58","Cody Colly","Mount Union","Sr.","P","9","44.7","49","9.87"
"59","Gary Gerhardt","Saint Vincent","So.","P","11","60.3","66","9.85"
"60","Curtis Mallery","Manchester","Sr.","P","11","66.7","73","9.85"
"61","Jackson Baker","Rhodes","So.","P","14","63.3","69","9.81"
"62","Cody Nees","Franklin","Sr.","P","9","52.3","57","9.81"
"63","Derrick Pankow","Concordia (WI)","Sr.","P","10","60.7","66","9.79"
"64","Scott Williams","Wis.-Stevens Point","Sr.","P","10","68.3","74","9.75"
"65","Chad Rafferty","St. Joseph's (ME)","So.","P","7","45.3","49","9.74"
"66","Phil Matte","Finlandia","Fr.","P","9","37.0","40","9.73"
"67","Brian Koehl","Heidelberg","Sr.","P","9","54.7","59","9.71"
"68","Jonathan Bishop","Plymouth St.","Jr.","P","9","52.0","56","9.69"
"69","Jared Ramsey","Wilmington (OH)","Jr.","P","10","48.7","52","9.61"
"70","Luke Westphal","Wis.-Oshkosh","Jr.","P","6","42.3","45","9.57"
"71","Jeff Frost","Keystone","Sr.","P","11","52.7","56","9.56"
"72","Sean White","Dickinson","Jr.","P","12","75.3","80","9.56"
"73","Drew Ernst","Mt. St. Joseph","Jr.","P","11","48.3","51","9.50"
"74","Chuck Nicholas","Alvernia","Sr.","P","10","60.0","63","9.45"
"75","Jim Schult","Eastern Conn. St.","Sr.","OF","11","63.0","66","9.43"
"76","Greg Ball","Principia","Jr.","P","13","67.0","70","9.40"
"","Gregg Laswell","Wash. & Lee","Sr.","P","16","67.0","70","9.40"
"78","Derek Johnson","Redlands","Sr.","P","14","90.0","94","9.40"
"79","Mitch Monke","Suffolk","Jr.","P","7","47.0","49","9.38"
"80","Justin McDowell","Wooster","Sr.","P","10","49.0","51","9.37"
"81","Sam Briend","Oglethorpe","Sr.","P","15","60.7","63","9.34"
"82","Michael Schweiss","Dallas","Jr.","P","19","54.3","56","9.28"
"83","Albert Baez","Purchase St.","Sr.","P","9","55.3","57","9.28"
"","Brian Goddard","Shenandoah","Sr.","P","10","55.3","57","9.28"
"85","David Massengill","Greenville","Sr.","OF","8","43.7","45","9.27"
"86","Nick Tingos","Staten Island","Sr.","P","8","44.7","46","9.26"
"87","Evan Hilberg","Linfield","Sr.","P","12","39.0","40","9.23"
"88","Matt Baudino","La Verne","Sr.","P","14","67.3","69","9.23"
"","Kyle Smith","Brockport","Sr.","P","9","67.3","69","9.23"
"90","Josh Scott","Baldwin-Wallace","Jr.","P","11","42.0","43","9.21"
"91","Austin Blaski","Marietta","Jr.","OF","12","57.7","59","9.20"
"92","Sylvestor Nino","Heidelberg","Jr.","P","9","41.3","42","9.15"
"93","Corey Gorman","Scranton","Jr.","P","8","42.3","43","9.15"
"94","Joel Pulliam","Central (IA)","Jr.","P","10","67.0","68","9.13"
"95","Jordan Burchette","Birmingham-So.","Jr.","P","13","43.7","44","9.06"
"96","Kellin Bliss","Baruch","Sr.","P","11","45.7","46","9.06"
"","Eric Howard","Lasell","Fr.","P","9","45.7","46","9.06"
"98","Derek Dubois","Clark (MA)","So.","INF","8","49.7","50","9.05"
"99","Alex Raver","Wis. Lutheran","Fr.","P","8","52.7","53","9.05"
"100","Robert Vaughn","Linfield","Sr.","P","9","54.7","55","9.05"
"101","Bobby Chatfield","Plymouth St.","Jr.","P","10","38.0","38","9.00"
"","Brian Gasser","Marietta","Jr.","P","9","55.0","55","9.00"
"","Cole Lentz","La Roche","Fr.","P","8","43.0","43","9.00"
"","Brad Watson","Wartburg","Sr.","P","11","74.0","74","9.00"
"","Ryan Zamorsky","Kean","Jr.","P","8","39.0","39","9.00"
"106","David Colvin","Pomona-Pitzer","Sr.","P","13","94.3","94","8.97"
"107","Adam Painter","Earlham","Sr.","P","14","75.3","75","8.96"
"108","Ryan Taylor","Gettysburg","So.","P","10","74.3","74","8.96"
"109","Pedro Maldonado","Concordia (TX)","Sr.","OF","12","72.3","72","8.96"
"110","Sean Hille","Montclair St.","Jr.","P","12","62.3","62","8.96"
"111","Philip Carkhuff","Dallas","Sr.","P","14","57.3","57","8.95"
"112","Gary Levesque","Rhode Island Col.","Sr.","DH","10","53.3","53","8.95"
"113","Blake O'Brien","Edgewood","So.","P","8","51.3","51","8.95"
"114","Kris Edwards","St. Thomas (MN)","Sr.","P","13","46.3","46","8.94"
"115","Rob Rogers","Keystone","So.","P","9","43.3","43","8.94"
"116","Nathan Albers","Polytechnic (NY)","Fr.","-","9","38.3","38","8.93"
"117","Ryan Glover","Mississippi Col.","Jr.","P","11","48.7","48","8.87"
"118","Zach Jones","McDaniel","So.","P","10","46.7","46","8.87"
"119","Josh Depew","Mt. St. Mary (NY)","Jr.","P","7","41.7","41","8.85"
"","Tyler Watson","Anderson (IN)","So.","P","10","41.7","41","8.85"
"121","Michael Dirkx","Buena Vista","Jr.","P","8","36.7","36","8.83"
"122","Vince Claudio","Shenandoah","So.","P","11","51.0","50","8.82"
"123","Nick Soldano","North Park","So.","INF","9","47.0","46","8.81"
"124","Seth Harrington","Castleton","Sr.","P","10","46.0","45","8.80"
"","Josh Russell","Thiel","Sr.","P","10","46.0","45","8.80"
"126","Tyler Dierke","Kenyon","So.","P","10","56.3","55","8.79"
"127","John Terlesky","Roanoke","Sr.","1B","12","36.0","35","8.75"
"","Brad Warnecke","Aurora","Fr.","P","7","36.0","35","8.75"
"","Ryan Wuebker","Buena Vista","Jr.","P","6","36.0","35","8.75"
"130","Ian Durham","Cal Lutheran","Sr.","P","13","59.7","58","8.74"
"131","Kyle Hart","Redlands","So.","P","15","78.3","76","8.74"
"132","Matt Smith","Neumann","Jr.","P","11","56.7","55","8.73"
"133","Cody Koback","Wis.-Stevens Point","Jr.","P","8","43.3","42","8.73"
"","Dominic Poretta","Otterbein","So.","C","14","43.3","42","8.73"
"135","Tim Freda","Marywood","Jr.","P","9","61.0","59","8.70"
"136","Travis Thome","Messiah","Sr.","P","11","69.3","67","8.70"
"137","Brian Gaskell","Cazenovia","So.","OF","8","38.3","37","8.69"
"138","Ryan Ullmann","Concordia (TX)","So.","P","16","48.7","47","8.69"
"139","Brian Davenport","Illinois Col.","So.","P","10","56.0","54","8.68"
"140","Paul Martinez","Mitchell","Sr.","P","10","45.7","44","8.67"
"141","Robert Della Polla","Scranton","So.","P","8","53.0","51","8.66"
"142","Chris Phelan","Farmingdale St.","Jr.","P","11","69.7","67","8.65"
"143","Danny Dahm","Carthage","Sr.","P","7","43.7","42","8.65"
"","Caleb Long","Emory","So.","P","8","43.7","42","8.65"
"145","Ben Lause","Centre","Jr.","P","9","51.0","49","8.65"
"146","Chris Greiner","Salisbury","Sr.","P","12","81.3","78","8.63"
"147","Errick Maddern","Becker","Sr.","P","8","49.0","47","8.63"
"148","Steven Dooley","Webster","So.","P","12","39.7","38","8.61"
"149","Larry Milsteadt","Monmouth (IL)","Jr.","P","9","52.3","50","8.60"
"150","Tony Pikos","Rhodes","So.","P","11","45.0","43","8.60"
