"Rank","Name","Team","Cl","Pos","App","IP","SO"
"","Reece Cross","Ark.-Monticello","Sr.","P","12","66.7","51"
"","Derek Fogel","Washburn","Fr.","P","11","66.0","51"
"","Brett Hauber","Felician","Jr.","P","15","55.3","51"
"","Kevin Holdsworth","West Va. Wesleyan","Sr.","P","9","54.0","51"
"","William Krasne","Rollins","Sr.","P","18","57.3","51"
"","Jason Lembo","Molloy","Jr.","P","10","48.7","51"
"","Luis Mendoza","Bloomfield","Jr.","P","11","49.3","51"
"","Phillip Mozingo","Francis Marion","Sr.","P","11","45.3","51"
"","Cory Rupert","Indianapolis","Sr.","P","11","58.3","51"
"","Steven Thiele","Belmont Abbey","Jr.","P","11","64.0","51"
"","Ryan Weatherholtz","Concord","Fr.","P","13","67.7","51"
"","Corey Witkowski","Barry","Jr.","P","13","97.0","51"
"","Tyler Wood","UNC Pembroke","Sr.","P","12","45.3","51"
"226","Steven Brault","Regis (CO)","Fr.","P","10","59.0","50"
"","Cameron Cecil","Elizabeth City St.","Fr.","P","15","71.3","50"
"","Mitchell Fairley","Quincy","Sr.","P","10","53.3","50"
"","Mike Fuller","Colorado Mines","Jr.","P","10","57.3","50"
"","Cody Greibling","Mo. Southern St.","Jr.","P","13","64.7","50"
"","Isaac Hicks","Nova Southeastern","Sr.","P","13","67.7","50"
"","Curtis Hudson","Mount Olive","Sr.","P","11","55.0","50"
"","Nathan Lewis","Tarleton St.","Sr.","P","11","56.3","50"
"","Bradley McWilliams","Miles","So.","P","17","83.0","50"
"","Dustin Ramey","Mass.-Lowell","Sr.","P","11","49.0","50"
"","Rick Reyna","Angelo St.","Jr.","P","14","64.0","50"
"","Dalton Self","Paine","Fr.","SS","16","102.3","50"
"","Brett Shankin","Wayne St. (MI)","Sr.","P","11","55.7","50"
"","Brandon Simmons","Mo. Western St.","So.","P","12","74.0","50"
"","Josh Thrailkill","Tampa","Sr.","P","13","58.0","50"
"","Jeff Welsh","West Liberty","Sr.","P","11","62.7","50"
"","Matt White","Rollins","Sr.","P","19","54.0","50"
"","Jared Winder","Davis & Elkins","Sr.","P","12","64.0","50"
"244","Phil Bray","Bemidji St.","So.","P","9","50.3","49"
"","J Graham","West Liberty","Fr.","-","10","47.7","49"
"","Chris Hallett","Paine","Fr.","SS","16","55.7","49"
"","Andy Lewton","Fort Hays St.","Sr.","P","11","68.3","49"
"","Don Lisi","Central Mo.","Sr.","P","11","60.3","49"
"","James Mahler","Dixie St.","Jr.","P","12","67.3","49"
"","Eric Meyerchick","St. Joseph's (IN)","Jr.","P","12","63.0","49"
"","Anthony Smith","Eastern N.M.","Sr.","P","15","55.7","49"
"","Donnie Smith","Tiffin","Sr.","P","12","66.7","49"
"","Trey Stastny","Colo. Christian","Sr.","P","12","72.0","49"
"","Sean Tracy","Coker","Jr.","P","15","61.3","49"
