"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"75","William Carmona","Stony Brook","Jr.","INF","44","166","62","0.373"
"76","Justin Guidry","Middle Tenn.","Sr.","OF","46","185","69","0.373"
"","Ryan Jones","Michigan St.","Jr.","INF","42","185","69","0.373"
"78","Tyler Sciacca","Villanova","Sr.","SS","45","177","66","0.373"
"79","Adam Hilker","Northern Colo.","Sr.","INF","42","161","60","0.373"
"80","Jimmy Luppens","Canisius","So.","1B","35","102","38","0.373"
"81","Erik Lockwood","Pacific","So.","OF","38","129","48","0.372"
"82","Brandon Bayardi","UNLV","Jr.","OF","44","164","61","0.372"
"83","Kevin Flynn","Hofstra","Sr.","DH","35","121","45","0.372"
"84","Kevin Plawecki","Purdue","Jr.","C","41","156","58","0.372"
"85","Kevin McKague","Army","Sr.","1B","46","167","62","0.371"
"86","Bill Cullen","VCU","So.","OF","44","194","72","0.371"
"87","Josh Ludy","Baylor","Sr.","C","43","159","59","0.371"
"88","Matt Foat","Southern California","Sr.","INF","38","143","53","0.371"
"89","Erik Hink","Niagara","Sr.","3B","40","170","63","0.371"
"90","Richard Stock","Nebraska","Jr.","C","39","154","57","0.370"
"91","Luis Diaz","N.C. Central","Jr.","OF","44","157","58","0.369"
"92","Cody Keefer","UCLA","Jr.","OF","39","149","55","0.369"
"93","George Roberts","Kent St.","Jr.","INF","43","160","59","0.369"
"94","Bryan Aanderud","Liberty","Jr.","INF","48","179","66","0.369"
"95","Scott Burkett","Longwood","So.","C","38","133","49","0.368"
"","Ty Young","Louisville","So.","INF","42","133","49","0.368"
"97","Corey LeVier","San Diego","Sr.","INF","43","163","60","0.368"
"98","Will Callaway","Appalachian St.","Jr.","INF","41","166","61","0.367"
"","Drew Dosch","Youngstown St.","So.","INF","41","166","61","0.367"
"100","Jake Madsen","Ohio","Fr.","P","43","169","62","0.367"
"","Cameron Perkins","Purdue","Jr.","INF","40","169","62","0.367"
"102","Jeff Roy","Rhode Island","So.","OF","45","180","66","0.367"
"","Maxx Tissenbaum","Stony Brook","Jr.","INF","42","150","55","0.367"
"104","Clinton Freeman","East Tenn. St.","So.","P","43","172","63","0.366"
"105","Sam Eberle","Jacksonville St.","Sr.","INF","38","142","52","0.366"
"106","Zac Mitchell","Belmont","Sr.","INF","44","153","56","0.366"
"107","Rhys Hoskins","Sacramento St.","Fr.","INF","41","156","57","0.365"
"108","Tony Renda","California","Jr.","INF","41","167","61","0.365"
"109","Trent Miller","Middle Tenn.","So.","C","46","178","65","0.365"
"","Jordan Steranka","Penn St.","Sr.","3B","44","178","65","0.365"
"111","Matt Pollock","Buffalo","Jr.","OF","38","159","58","0.365"
"","Richie Rodriguez","Eastern Ky.","Sr.","SS","41","159","58","0.365"
"113","Brennan Middleton","Tulane","Jr.","INF","43","151","55","0.364"
"114","Jake Hibberd","Wright St.","Sr.","INF","44","184","67","0.364"
"115","Mitch Delfino","California","Jr.","INF","39","143","52","0.364"
"","Angel Ibanez","Tex.-Pan American","Jr.","INF","35","143","52","0.364"
"","Ryan Padilla","New Mexico","Fr.","OF","40","154","56","0.364"
"","Jake Rickenbach","Utah Valley","Sr.","SS","41","165","60","0.364"
"","Christian Stringer","Rice","Jr.","INF","41","165","60","0.364"
"","Max White","Oklahoma","Jr.","INF","44","165","60","0.364"
"","Ty Wiesemeyer","Illinois St.","Sr.","OF","39","154","56","0.364"
"122","Jordan Dean","Central Mich.","Jr.","INF","45","201","73","0.363"
"123","Brendon Hayden","Virginia Tech","Fr.","INF","35","102","37","0.363"
"124","Brandon Thomas","Georgia Tech","Jr.","OF","44","171","62","0.363"
"125","Jordan Parr","Illinois","So.","INF","43","160","58","0.363"
"126","Billy Urban","St. Bonaventure","Jr.","3B","36","138","50","0.362"
"127","Sal Pezzino","High Point","Sr.","INF","40","152","55","0.362"
"128","Stephen Bruno","Virginia","Jr.","INF","44","177","64","0.362"
"","Bob Donato","Bucknell","Sr.","OF","46","177","64","0.362"
"130","Jimmy Rider","Kent St.","Sr.","INF","44","191","69","0.361"
"131","Derek Hagy","Tex.-Pan American","Jr.","INF","36","147","53","0.361"
"132","Thomas Pope","UNC Wilmington","Sr.","OF","41","161","58","0.360"
"","Joe Sever","Pepperdine","Jr.","2B","40","161","58","0.360"
"134","Jon Eisen","Columbia","Sr.","INF","41","150","54","0.360"
"","Dario Pizzano","Columbia","Jr.","OF","44","150","54","0.360"
"","Tyler Powell","Delaware","Fr.","OF","38","125","45","0.360"
"137","Chris Burke","Iona","Sr.","INF","43","164","59","0.360"
"138","Cameron Bentley","UALR","Sr.","OF","42","178","64","0.360"
"","Andrew Daniel","San Diego","Fr.","INF","43","178","64","0.360"
"140","Cameron Cecil","Delaware St.","So.","C","43","153","55","0.359"
"","Cullen Wacker","Auburn","Jr.","OF","43","153","55","0.359"
"142","Mike Albaladejo","Fla. Atlantic","Sr.","C","43","167","60","0.359"
"143","Phil Ruzbarsky","Richmond","Sr.","OF","39","142","51","0.359"
"144","David Olson","Campbell","Jr.","P","43","156","56","0.359"
"145","Jeremy Lucas","Indiana St.","Jr.","C","45","170","61","0.359"
"146","Kevin Wager","Villanova","Sr.","1B","45","184","66","0.359"
"147","Derek Jones","Washington St.","Sr.","OF","39","148","53","0.358"
"148","Kris Bryant","San Diego","So.","3B","44","162","58","0.358"
"149","Anthony Gomez","Vanderbilt","Jr.","INF","44","176","63","0.358"
"150","Josh Scheffert","Nebraska","Jr.","OF","36","123","44","0.358"
"151","Mike Miller","Cal Poly","Sr.","INF","42","179","64","0.358"
"152","Jensen Park","Northern Colo.","Fr.","OF","43","154","55","0.357"
"","Patrick Puentes","Holy Cross","Jr.","OF","39","126","45","0.357"
"","Brig Tison","George Mason","Sr.","INF","47","196","70","0.357"
"155","Matt Wessinger","St. John's (NY)","Sr.","2B","44","171","61","0.357"
"156","Alex Swim","Elon","Jr.","C","46","188","67","0.356"
"157","Billy Ferriter","Connecticut","Jr.","OF","41","174","62","0.356"
"158","Tyler Marincov","North Florida","So.","OF","43","160","57","0.356"
"159","Derek Gibson","Southeast Mo. St.","So.","INF","37","146","52","0.356"
"160","Rick Devereaux","Pittsburgh","Sr.","C","42","177","63","0.356"
"","Chad Pinder","Virginia Tech","So.","INF","44","177","63","0.356"
"162","Michael Conforto","Oregon St.","Fr.","OF","40","149","53","0.356"
"163","Saxon Butler","Samford","Sr.","INF","45","180","64","0.356"
"164","Matt Snyder","Ole Miss","Sr.","INF","44","166","59","0.355"
"","Trea Turner","North Carolina St.","Fr.","INF","42","166","59","0.355"
"166","Brashad Johnson","Bethune-Cookman","Sr.","SS","43","152","54","0.355"
"","Curt Powell","Georgia","Jr.","INF","44","152","54","0.355"
"168","Brian Billigen","Cornell","Sr.","OF","38","138","49","0.355"
"169","Jonathan Pace","Southeastern La.","Sr.","INF","45","169","60","0.355"
"170","Blake Austin","Auburn","So.","C","33","93","33","0.355"
"","Evan Campbell","Kent St.","Jr.","INF","42","186","66","0.355"
"","Cody Jones","Western Caro.","So.","OF","41","155","55","0.355"
"173","Peter O'Brien","Miami (FL)","Sr.","C","36","127","45","0.354"
"174","Johnny Field","Arizona","So.","OF","42","161","57","0.354"
"175","Brian Klukowicz","UMBC","Sr.","OF","31","113","40","0.354"
"176","Mark Quaranta","Mt. St. Mary's","Jr.","C","46","164","58","0.354"
"177","Bo Altobelli","Texas Tech","Jr.","C","46","181","64","0.354"
"178","Jimmy Allen","Cal Poly","So.","INF","42","167","59","0.353"
"","Sean Bignall","UALR","Sr.","OF","43","167","59","0.353"
"","Alex Friedrich","UCF","Sr.","OF","44","167","59","0.353"
"181","Ryan Walker","Texas-Arlington","So.","INF","44","184","65","0.353"
"182","Derrick Chung","Sacramento St.","Sr.","C","44","170","60","0.353"
"","Ryan Lindemuth","William & Mary","So.","INF","45","170","60","0.353"
"","T.J. McManus","Eastern Ill.","Sr.","INF","37","136","48","0.353"
"","Dalton Rouleau","Hofstra","Jr.","INF","36","136","48","0.353"
"186","Bobby Glover","Dayton","Sr.","OF","45","190","67","0.353"
"187","Garrett Custons","Air Force","Jr.","OF","36","139","49","0.353"
"188","Jake McGuiggan","Harvard","So.","INF","37","122","43","0.352"
"189","Lawton Langford","Baylor","So.","INF","40","142","50","0.352"
"","Tyler Wells","Ohio","Fr.","OF","40","142","50","0.352"
"191","Kai Hatch","Utah Valley","Jr.","INF","41","162","57","0.352"
"192","Ben Moore","Alabama","Fr.","C","45","165","58","0.352"
"193","Sam Mulroy","Princeton","Sr.","C","39","148","52","0.351"
"194","Aaron Dobbs","Kennesaw St.","Sr.","INF","46","188","66","0.351"
"195","Ben Carhart","Stetson","Sr.","INF","43","174","61","0.351"
"196","Jeremy Hill","Nicholls St.","Sr.","INF","39","137","48","0.350"
"197","Mason Katz","LSU","Jr.","1B","44","157","55","0.350"
"","Jeremy Rathjen","Rice","Jr.","OF","42","157","55","0.350"
"199","Ryan Deitrich","Penn","Jr.","P","39","140","49","0.350"
"","Sam Dove","Georgia Tech","Jr.","INF","45","180","63","0.350"
"","Kyle Larrow","Harvard","Jr.","2B","33","100","35","0.350"
"202","Aaron Barbosa","Northeastern","So.","OF","38","163","57","0.350"
"","Mac Doyle","Wofford","Sr.","C","43","163","57","0.350"
"204","Preston Beck","Texas-Arlington","Jr.","INF","40","146","51","0.349"
"","Zac Johnson","Illinois St.","Jr.","INF","38","146","51","0.349"
"206","John Murphy","Sacred Heart","Jr.","INF","38","126","44","0.349"
"207","Ray Hernandez","Texas Southern","Sr.","INF","43","149","52","0.349"
"","Kevin Miller","Sam Houston St.","Jr.","3B","39","149","52","0.349"
"","Robby Newman","Longwood","Sr.","OF","40","149","52","0.349"
"210","Zach Wentz","North Dakota St.","Sr.","INF","43","175","61","0.349"
"211","Claude Johnson","Arkansas St.","So.","INF","37","132","46","0.348"
"212","Mark Zagunis","Virginia Tech","Fr.","C","40","155","54","0.348"
"213","Matt Hillsinger","Radford","Sr.","OF","43","158","55","0.348"
"214","Dominic Ficociello","Arkansas","So.","INF","43","161","56","0.348"
"","Mitch Haniger","Cal Poly","Jr.","OF","42","161","56","0.348"
"","Stephen Talbott","Purdue","Jr.","OF","38","138","48","0.348"
"217","Austin Cousino","Kentucky","Fr.","OF","44","187","65","0.348"
"218","Joey DeMichele","Arizona St.","Jr.","INF","43","164","57","0.348"
"219","Mike McQuillan","Iowa","Sr.","2B","39","141","49","0.348"
"220","Jimmy Yezzo","Delaware","So.","INF","35","118","41","0.347"
"221","Chase Greenwell","Morehead St.","Jr.","SS","43","167","58","0.347"
"","Richie Shaffer","Clemson","Jr.","INF","45","167","58","0.347"
"223","Travis Shreve","UCF","Sr.","INF","41","144","50","0.347"
"224","Connor Spencer","UC Irvine","Fr.","INF","38","121","42","0.347"
"225","Jared King","Kansas St.","So.","OF","43","170","59","0.347"
"226","Harold Earls","Army","Fr.","INF","45","147","51","0.347"
"227","Pat Gelwicks","Butler","Jr.","1B","44","150","52","0.347"
"228","Sean Potkay","Tulane","Jr.","INF","38","127","44","0.346"
"229","Elias Todman","Grambling","Jr.","INF","40","153","53","0.346"
"230","Ross Heffley","Western Caro.","Sr.","OF","44","179","62","0.346"
"231","Andy Chriscaden","Kennesaw St.","Sr.","INF","48","185","64","0.346"
"232","Mason Robbins","Southern Miss.","Fr.","OF","41","159","55","0.346"
"233","Logan Vick","Baylor","Jr.","OF","45","162","56","0.346"
"234","Alec Keller","Princeton","So.","INF","34","136","47","0.346"
"235","Sam Kimmel","Stetson","Jr.","C","43","165","57","0.345"
"236","Matt Lopez","San Jose St.","So.","INF","34","84","29","0.345"
"","Marquis Riley","N.C. A&T","Sr.","2B","43","168","58","0.345"
"","Chesny Young","Mercer","Fr.","INF","47","168","58","0.345"
"239","Bobby Brown","Arizona","Sr.","OF","32","116","40","0.345"
"","Ryan Plourde","Fairfield","So.","C","40","145","50","0.345"
"241","Dan Dispensa","Western Ill.","Jr.","OF","42","151","52","0.344"
"242","William Arnold","Central Mich.","Sr.","INF","42","154","53","0.344"
"243","Ronnie Freeman","Kennesaw St.","Jr.","C","48","186","64","0.344"
"244","Jeremy Rataczyk","Chicago St.","Sr.","INF","36","125","43","0.344"
"245","Bryan Willson","Central Ark.","Sr.","P","40","157","54","0.344"
"246","Brian Bien","Bowling Green","Fr.","INF","38","128","44","0.344"
"","Chris Wolfe","Grambling","Sr.","INF","41","160","55","0.344"
"248","Andrew Dixon","Purdue","Sr.","OF","32","99","34","0.343"
"249","Boomer Collins","Dallas Baptist","Jr.","OF","43","166","57","0.343"
"","Eric Jagielo","Notre Dame","So.","OF","42","166","57","0.343"
