"Rank","Name","Team","Cl","Pos","G","HBP"
"","William Lariscy","Paine","Sr.","2B","40","7"
"","Taye Larry","West Fla.","Jr.","OF","47","7"
"","Scott Lawley","Indianapolis","Jr.","2B","40","7"
"","Jeremy Lee","Miles","So.","C","32","7"
"","William Loza","Upper Iowa","So.","C","22","7"
"","Brandon Mack","Chowan","So.","INF","50","7"
"","Aric Marquardt","St. Joseph's (IN)","Jr.","C","42","7"
"","Landan McCall","Tarleton St.","So.","SS","43","7"
"","David McCarthy","Seton Hill","Sr.","INF","37","7"
"","Shannon McCormick","Northern Ky.","Sr.","INF","43","7"
"","Paul McCoy","St. Edward's","Sr.","OF","42","7"
"","Ian McKay","Cal St. Chico","Jr.","OF","31","7"
"","Colton McKithan","Okla. Panhandle","Jr.","INF","31","7"
"","Kyle McNiff","American Int'l","Sr.","OF","36","7"
"","Joe Meola","Bloomfield","Fr.","OF","27","7"
"","Gavin Meyer","Quincy","So.","OF","44","7"
"","Lucas Mohon","Carson-Newman","So.","OF","42","7"
"","Logan Mohr","Oakland City","So.","INF","22","7"
"","Ryan Morgan","Angelo St.","Jr.","INF","24","7"
"","Jared Mothershed","North Ala.","Sr.","OF","43","7"
"","Tj Murphy","St. Anselm","Sr.","OF","42","7"
"","Nick Nardacci","Stonehill","Sr.","2B","43","7"
"","Danny Nelson","Cal St. Monterey Bay","Jr.","INF","44","7"
"","Eric Nordine","Colorado Mesa","Sr.","INF","33","7"
"","Kyle O'Boyle","Saginaw Valley","So.","OF","39","7"
"","Connor Obrochta","Tampa","Fr.","OF","35","7"
"","Jordan Ollenberger","Newman","Fr.","C","32","7"
"","P.J. Ortega","Cameron","Sr.","C","44","7"
"","Brett Paterson","Northwest Mo. St.","So.","INF","42","7"
"","Bryan Patterson","Hawaii Hilo","Sr.","INF","42","7"
"","Matt Petty","Barry","Sr.","INF","50","7"
"","Kyle Pond","Cal St. Dom. Hills","Sr.","DH","41","7"
"","Ethan Powell","St. Andrews","Jr.","INF","34","7"
"","Tim Quinn","Assumption","Jr.","C","41","7"
"","Trevor Rogers","Southern Ark.","Jr.","OF","41","7"
"","Caleb Saggus","Augusta St.","Jr.","OF","47","7"
"","Erick Sanderson","Anderson (SC)","So.","P","49","7"
"","Ryan Schoonover","Central Okla.","Sr.","OF","46","7"
"","Albert Selanders","Central Mo.","So.","C","42","7"
"","Ryan Serena","Colo. Christian","Sr.","3B","47","7"
"","Michael Shepherd","Ohio Valley","Jr.","INF","36","7"
"","Howard Spencer","Virginia St.","Jr.","OF","39","7"
"","Brandon Stevens","Indianapolis","Jr.","C","38","7"
"","Craig Szymczak","Fairmont St.","Fr.","2B","37","7"
"","Adam Taylor","North Greenville","So.","P","44","7"
"","Edward Thayres","Philadelphia U.","Fr.","-","37","7"
"","Blake Thomsen","Eastern N.M.","Jr.","OF","43","7"
"","Taylor Trotter","Southwest Baptist","Sr.","OF","43","7"
"","Justin Vasquez","Belmont Abbey","Sr.","OF","43","7"
"","Chris Vazquez","Wingate","Jr.","SS","52","7"
"","Steven Vidaurri","Incarnate Word","Sr.","OF","47","7"
"","Mark Waldron","Neb. Omaha","Jr.","OF","30","7"
"","Tj Walsh","Concordia (NY)","Sr.","C","35","7"
"","Derrion Washington","LeMoyne-Owen","Fr.","-","26","7"
"","Derrick Webb","Central Wash.","Fr.","-","38","7"
"","Josh Wenger","Concord","So.","INF","43","7"
"","Michael Whiten","Virginia St.","Jr.","INF","42","7"
"","Jordan Williams","Colorado Mines","So.","C","40","7"
"","Matthew Winn","Cal St. San B'dino","So.","OF","42","7"
"","Troy Zawadzki","Carson-Newman","Jr.","SS","48","7"
"417","Rey Alvarez","Tex. A&M Int'l","Sr.","OF","47","6"
"","Troy Ambros","Anderson (SC)","Fr.","C","23","6"
"","Joe Andrade","Dixie St.","Jr.","C","43","6"
"","Tyler Anthony","Central Mo.","Sr.","OF","46","6"
"","Andrew Archer","Ga. Southwestern","Jr.","OF","48","6"
"","Andrew Armour","Indianapolis","Jr.","OF","40","6"
"","Fred Atkins","Cal St. Stanislaus","Sr.","OF","30","6"
"","Ryan Avery","Ashland","Sr.","OF","44","6"
"","Cullen Baxter","Mo. Southern St.","Jr.","INF","42","6"
"","Justin Beranek","Wayne St. (NE)","So.","OF","36","6"
"","Nick Bidroski","Wayne St. (NE)","Sr.","2B","34","6"
"","Brett Bielec","Central Wash.","Jr.","OF","34","6"
"","Derek Bley","Newberry","Sr.","OF","29","6"
"","Jeremy Bohnett","Harding","Fr.","OF","38","6"
"","Jeffrey Bohus","Philadelphia U.","So.","INF","37","6"
"","John Bonvillian","Hillsdale","Jr.","INF","25","6"
"","Ryan Bostian","Catawba","Jr.","OF","53","6"
"","Tyler Boyd","Francis Marion","Jr.","OF","44","6"
"","Connor Brackhahn","Henderson St.","Fr.","OF","22","6"
"","Clint Brown","West Ala.","Sr.","C","33","6"
"","Justin Burgess","Montevallo","Fr.","OF","33","6"
"","Luis Buron","Bloomfield","Fr.","DH","33","6"
"","Roberto Castillo","Tex. A&M Int'l","Jr.","P","42","6"
"","Ryan Chesler","Millersville","So.","C","42","6"
"","K.C. Clabough","Florida Tech","Jr.","INF","47","6"
"","Antonio Clark","Valdosta St.","Sr.","OF","42","6"
"","Lyndon Coleman","Barry","Jr.","OF","41","6"
"","Kevin Deese","West Ala.","Sr.","OF","41","6"
"","Craig Denman","Mercyhurst","Sr.","OF","44","6"
"","Anthony DiFrancesco","Philadelphia U.","Sr.","3B","36","6"
"","Nick Erminio","Seton Hill","Jr.","INF","37","6"
"","Ken Evanson","Colorado Mesa","Sr.","INF","33","6"
"","Scott Fackrell","N.M. Highlands","Sr.","OF","20","6"
"","Bo Folkinga","Western Ore.","Jr.","OF","36","6"
"","Alex Frederick","Armstrong","Jr.","SS","46","6"
"","Evan Gallagher","East Stroudsburg","Jr.","SS","39","6"
"","Rico Garcia","Bluefield St.","Jr.","INF","35","6"
"","Kevin Gibbs","Philadelphia U.","So.","C","28","6"
"","Brandon Gipson","Benedict","Sr.","C","40","6"
"","Michael Goodwin","Northwood (MI)","Sr.","2B","35","6"
