"Rank","Name","Team","Cl","Pos","App","IP","SV"
"","Jesse Cooper","Seton Hill","So.","INF","6","5.2","4"
"","Austin Bartley","Shippensburg","Sr.","P","7","8.0","4"
"","Reed Brown","Missouri S&T","Jr.","INF","7","5.2","4"
"","Joshua Falbo","West Virginia St.","So.","P","7","7.0","4"
"","Austin Mock","Indiana (PA)","Jr.","INF","7","9.2","4"
"","Keenan Stare","East Stroudsburg","Sr.","P","8","12.0","4"
"","Cory Welch","Central Wash.","---","SS/P","8","15.2","4"
"","Jeremy Hatfield","Francis Marion","Jr.","P","9","11.0","4"
"","Andrew Melchor","Lynn","Sr.","P","9","13.2","4"
"","Ryan McKay","Pittsburg St.","So.","P","10","19.1","4"
"","Taylor Owens","Eckerd","So.","P","10","13.2","4"
"","Tanner Rainey","West Ala.","Jr.","INF","10","13.1","4"
"","Nate Carter","Fla. Southern","Sr.","P","11","18.2","4"
"","Clint Echols","GRU Augusta","Sr.","P","11","21.1","4"
"","Devin McLemore","Winston-Salem","So.","P","11","19.2","4"
"","Trey Watson","Columbus St.","Jr.","P","11","15.1","4"
"","Graylon Brown","Angelo St.","So.","P","14","33.1","4"
"","Aron McRee","Montevallo","So.","P","14","18.2","4"
"63","Blair Dukes","Lane","So.","OF","0","0.0","3"
"","Darrell Moore","Lane","Jr.","OF","0","0.0","3"
"","Tyler Austin","Lane","So.","INF","1","0.2","3"
"","Evan Love","Lane","So.","INF","1","1.1","3"
"","Duke Coleman","Lane","Jr.","C","2","6.2","3"
"","Lareko Flowers","Lane","So.","INF","2","3.0","3"
"","Scott Freiburger","Winona St.","Jr.","P","4","5.0","3"
"","Jesse Pintado","Lubbock Christian","---","SS","4","4.0","3"
"","Travis Bonner","Cal St. Monterey Bay","Sr.","C","5","5.1","3"
"","Curtis Bussard","Wayne St. (NE)","So.","P","5","5.2","3"
"","Tyler Cuming","Merrimack","Sr.","P","5","9.0","3"
"","Nick Wagner","Cal St. Dom. Hills","Sr.","P","5","7.2","3"
"","Phillip Wilson","Central Okla.","Sr.","P","5","8.0","3"
"","Zach Chinchilla","Indiana (PA)","---","P","6","10.1","3"
"","Luke Floer","Philadelphia U.","So.","P","6","6.0","3"
"","Kyle Weary","West Chester","Sr.","P","6","12.1","3"
"","Brandan Alfson","Southwest Minn. St.","Jr.","P","7","17.0","3"
"","Josh Glick","Nova Southeastern","So.","P","7","10.2","3"
"","Tyler Hurt","Cedarville","So.","P","7","6.0","3"
"","Nick Marics","Wilmington (DE)","Sr.","P","7","7.0","3"
"","Luis Martinez","Azusa Pacific","Jr.","P","7","7.1","3"
"","Armand Rugel","Stonehill","Jr.","P","7","14.2","3"
"","Taylor Stark","Delta St.","Sr.","P","7","8.0","3"
"","Jeffrey Stoner","Francis Marion","Sr.","P","7","12.1","3"
"","Matt Swarmer","Kutztown","So.","P","7","10.2","3"
"","Chris Williams","Minn. St. Mankato","Sr.","P","7","7.0","3"
"","Dan Becks","St. Edward's","Jr.","P","8","6.2","3"
"","Ben Criscuolo","Southern N.H.","Fr.","P","8","12.0","3"
"","Tyler Fries","Wilmington (DE)","Jr.","P","8","8.1","3"
"","John Holland","Felician","So.","P","8","14.1","3"
"","Aaron Lidgett","Lock Haven","So.","OF","8","7.0","3"
"","Ethan Bornstein","Valdosta St.","Jr.","P","9","19.2","3"
"","Michael Donaldson","Trevecca Nazarene","Sr.","P","9","14.1","3"
"","Josh Frederick","Mount Olive","Sr.","P","9","24.0","3"
"","Seth Hudson","Northeastern St.","Jr.","P","9","11.2","3"
"","Derek Quame","Augustana (SD)","Sr.","P","9","12.0","3"
"","Kolby Rimer","Colorado St.-Pueblo","Jr.","P","9","9.2","3"
"","Jarod Stanley","Valdosta St.","Jr.","P","9","15.2","3"
"","Scott Zeman","UC San Diego","Sr.","P","9","11.0","3"
"","null G.Dollarhyde","Colo. Christian","---","P","10","38.1","3"
"","Adrian Garcia","St. Mary's (TX)","Sr.","OF","10","13.1","3"
"","Aaron Gray","Cal St. Dom. Hills","Sr.","3B","10","19.0","3"
"","Brad Paramapoonya","Tex. Permian Basin","Jr.","P","10","15.2","3"
"","Ryan Scott","Tex. A&M-Kingsville","Jr.","P","10","7.2","3"
"","Zach Bernard","Mount Olive","Sr.","P","11","19.2","3"
"","Ryan Good","Armstrong","Jr.","P","11","22.2","3"
"","Eric Morse","Rollins","Sr.","P","11","19.1","3"
"","Bronson Smith","Harding","Sr.","P","11","16.1","3"
"","Caleb Dirks","California Baptist","Jr.","P","12","25.0","3"
"","Wes Schuler","Erskine","Jr.","P","12","19.2","3"
"","Tyler Sanders","Mo. Western St.","Jr.","P","13","32.1","3"
"","Stephen Vaughn","Mo. Southern St.","Sr.","P","15","20.2","3"
"","Andrew Goot","Coker","Sr.","P","16","28.2","3"
