"Rank","Name","Team","Cl","Pos","G","BB"
"","Daniel Fraga","UNC Pembroke","Sr.","INF","30","18"
"","Ben Hall","Ala.-Huntsville","Jr.","INF","29","18"
"","Alex Lang","Ark.-Monticello","Sr.","INF","28","18"
"","Erik Lewis","UC San Diego","Jr.","INF","21","18"
"","Matthew Molbury","Central Mo.","Jr.","C","17","18"
"","Bradley Noland","North Ala.","Sr.","INF","31","18"
"","Michael Tittle","Fresno Pacific","Jr.","INF","27","18"
"","Bobby Twitty","Saint Leo","Jr.","OF","26","18"
"67","Daniel Bick","Georgia College","Sr.","INF","25","17"
"","JC Cardenas","Barry","So.","SS","27","17"
"","Jacob Carter","Southeastern Okla.","---","DH/3B","27","17"
"","Drew Cole","UNC Pembroke","Jr.","INF","30","17"
"","Michael Danner","Tampa","Sr.","OF","26","17"
"","Michael Falsetti","Belmont Abbey","Sr.","C","30","17"
"","Chris Farrell","Palm Beach Atl.","Jr.","3B","25","17"
"","Josh Hickman","Anderson (SC)","Sr.","OF","30","17"
"","Brett Kauten","Lubbock Christian","Fr.","LF","27","17"
"","Dalton Knight","UNC Pembroke","Jr.","INF","26","17"
"","Paul Kronenfeld","Catawba","Sr.","1B","29","17"
"","Blair Moore","California Baptist","Sr.","INF","28","17"
"","Matt Munoz","Cal Poly Pomona","---","SS","22","17"
"","Tyler Orris","Millersville","So.","SS","23","17"
"","Matt Perez","Tex. A&M-Kingsville","Sr.","SS","21","17"
"","Mario Sanchez","Colorado St.-Pueblo","Sr.","SS","23","17"
"","Jake Sandlin","Georgia College","Jr.","INF","25","17"
"","Jackson Stogner","Sonoma St.","Sr.","INF","21","17"
"","Spencer Thomas","Young Harris","Jr.","C","30","17"
"","Ivan Vieitez","Lenoir-Rhyne","Jr.","OF","27","17"
"","Trey Williamon","West Ala.","Sr.","INF","26","17"
"","Lorenzo Wright","Belmont Abbey","Fr.","C","26","17"
"89","Ty Barkell","S.C. Aiken","Jr.","INF","28","16"
"","Tyler Blair","Dixie St.","Sr.","1B","31","16"
"","Andrew Bowerman","Tusculum","Jr.","OF","27","16"
"","Cody Britt","Mount Olive","Sr.","2B","28","16"
"","Giancarlo Brugnoni","Grand Valley St.","Sr.","INF","18","16"
"","Calvin Butcher","Saint Augustine's","Sr.","INF","26","16"
"","Carey Cheek","Saint Augustine's","So.","INF","28","16"
"","Garrett Cook","King (TN)","Sr.","OF","33","16"
"","Toby Cornejo","Emporia St.","---","SS","25","16"
"","Marquis Curry","Francis Marion","Sr.","OF","27","16"
"","Adrian English","Barry","Sr.","INF","27","16"
"","Alex Freedman","Lynn","Jr.","SS","29","16"
"","Blake Houston","Catawba","Jr.","OF","29","16"
"","Matt Johnson","Central Okla.","Sr.","INF","23","16"
"","Yuto Kata","Dixie St.","Jr.","2B","30","16"
"","Justin Manning","Mount Olive","Jr.","3B","27","16"
"","Chas McCormick","Millersville","Fr.","OF","23","16"
"","Elisha McDaniel","Benedict","Sr.","OF","26","16"
"","Mike McGraw","Georgia College","---","3B","24","16"
"","Grant McKown","Florida Tech","Fr.","INF","28","16"
"","Adam Moore","Young Harris","Sr.","P","31","16"
"","Taylor Perez","Saint Leo","So.","INF","27","16"
"","Tim Rausch","Western Ore.","Jr.","OF","26","16"
"","Ryan Sabalaskey","Georgia College","Sr.","INF","25","16"
"","Rob Shipman","Mount Olive","Jr.","1B","27","16"
"","Sammy Song","Coker","Sr.","OF","28","16"
"","Joe Tipton","Carson-Newman","So.","OF","30","16"
"116","Kyle Bailey","Anderson (SC)","So.","INF","31","15"
"","Alex Bell","Slippery Rock","---","DH","19","15"
"","Chris Brown","Stillman","So.","OF","28","15"
"","Tyler Bugner","Newman","---","LF","20","15"
"","Matt Calhoun","Harding","Sr.","INF","28","15"
"","Jake Cardoza","Tex. A&M Int'l","---","LF","28","15"
"","Daniel Catalan","Holy Names","Sr.","OF","26","15"
"","Blake Cooper","Eastern N.M.","Jr.","INF","26","15"
"","Steven Cooper","Anderson (SC)","So.","INF","31","15"
"","TJ Costen","S.C. Aiken","---","3B","28","15"
"","Gavin Culler","Winston-Salem","Fr.","OF","29","15"
"","Jordan Edgerton","UNC Pembroke","Jr.","INF","30","15"
"","Adrian Garcia","St. Mary's (TX)","Sr.","OF","29","15"
"","Kaohu Gaspar","Fresno Pacific","Sr.","OF","25","15"
"","Bronson Gillam","Ark.-Monticello","Jr.","INF","21","15"
"","Chris Hyatt","Lander","Jr.","C","22","15"
"","Geoff Jimenez","Nova Southeastern","Sr.","OF","28","15"
"","Ty Johnson","Dixie St.","Sr.","C","27","15"
"","Thomas Kain","Lynn","Jr.","3B","29","15"
"","Evan Kenebrew","Colorado St.-Pueblo","Sr.","OF","24","15"
"","Trevor McMaster","Cal St. San B'dino","Sr.","INF","24","15"
"","Parker Miles","Western Ore.","Sr.","INF","27","15"
"","Scott Miller","Lincoln Memorial","Jr.","INF","30","15"
"","Travis Naraine","North Georgia","Jr.","INF","26","15"
"","Jon Pomatto","Northwest Mo. St.","Sr.","P","24","15"
"","Dylan Riner","Shorter","---","CF","28","15"
"","Zach Santos","Shorter","---","SS","28","15"
"","Ben Schmucker","UNC Pembroke","Jr.","OF","30","15"
"","Julian Sobin","Southern Conn. St.","Jr.","INF","15","15"
"","Elijah Sudduth","Morehouse","---","2B","24","15"
"","Taylor Taska","Tex. A&M-Kingsville","Sr.","P","23","15"
"","Mario Urdaneta","Nova Southeastern","Jr.","OF","28","15"
"","Tom Valichka","Young Harris","Sr.","INF","30","15"
"149","Brandon Alexander","Cal St. East Bay","Sr.","OF","24","14"
"","Eric Angerer","Cal St. Chico","Sr.","1B","25","14"
"","Lorenzo Butler","Flagler","Jr.","OF","21","14"
"","Daniel Caresio","Sonoma St.","Fr.","OF","17","14"
"","Cade Clay","Southeastern Okla.","---","PH/3B","22","14"
"","Josh Coker","Lincoln Memorial","Sr.","P","30","14"
"","Alex DeBellis","Lynn","Jr.","C","29","14"
"","Chris Dennis","Fla. Southern","Jr.","3B","29","14"
"","Zade Denton","UNC Pembroke","Jr.","INF","29","14"
"","Parks Flowers","Union (TN)","Fr.","OF","21","14"
"","Kyle Fultz","Southern Nazarene","Jr.","C","24","14"
"","Levi Grassley","Winston-Salem","Sr.","1B","31","14"
"","Aaron Haag","West Florida","Sr.","OF","26","14"
"","Brian Hamm","Cal St. Monterey Bay","Jr.","INF","29","14"
"","Tadarius Hawkins","Henderson St.","So.","OF","26","14"
"","Fentress Henderson","Paine","Fr.","INF","26","14"
"","Rob Hogenkamp","Georgia College","Sr.","INF","25","14"
"","Nick Howell","Trevecca Nazarene","Sr.","OF","25","14"
"","Todd Juliano","Flagler","Jr.","INF","28","14"
"","Trey Kamachi","Dixie St.","Fr.","C","24","14"
"","Kevin Krupp","North Georgia","So.","C","25","14"
"","Weston Lawing","Lander","Jr.","OF","29","14"
"","Ryan Light","Lindenwood (MO)","Jr.","INF","25","14"
"","Jared Lupo","Mo. Southern St.","Jr.","INF","25","14"
"","Mike McClellan","Columbus St.","So.","1B","22","14"
"","Akeem Morris","Benedict","---","1B","22","14"
"","Andres Nelo","Lee","Jr.","INF","29","14"
"","Barrett Noirfalise","Central Mo.","Sr.","OF","26","14"
"","Connor Obrochta","Tampa","Sr.","OF","27","14"
"","Levi Parker","Emporia St.","Jr.","INF","25","14"
"","Enrique Perez","Lynn","Sr.","OF","27","14"
"","Tanner Rainey","West Ala.","Jr.","INF","27","14"
"","Ryan Raper","North Georgia","---","1B","25","14"
"","Zach Roberts","Lincoln (MO)","Sr.","OF","20","14"
"","Tony Sandifer","Central Mo.","Jr.","INF","27","14"
"","G. Smith","West Ga.","---","C","29","14"
"","Thomas Spitz","Wingate","Jr.","OF","28","14"
"","Jake Taylor","Flagler","Jr.","1B","28","14"
"","Tremayne Toorie","North Georgia","Jr.","OF","26","14"
"","Justin Trent","King (TN)","Sr.","INF","31","14"
"","J.D. Wallace","King (TN)","Sr.","C","29","14"
"","Zach Wylie","Union (TN)","So.","C","27","14"
"","Trent Zaks","Cal St. L.A.","Jr.","OF","25","14"
"","Julio Zubillaga","Catawba","Sr.","2B","29","14"
"193","Connor Andrus","Winston-Salem","Sr.","C","31","13"
"","Bo Ausmus","Carson-Newman","Jr.","SS","32","13"
"","Trey Bartholomew","Morehouse","So.","INF","21","13"
"","Christian Binger","Southwest Baptist","So.","INF","23","13"
"","Dillion Bollig","Adams St.","So.","2B","25","13"
"","Colin Buckner","Lincoln Memorial","Jr.","1B","30","13"
"","Ryan Christian","Morehouse","So.","OF","24","13"
"","Cliff Covington","West Florida","Sr.","INF","21","13"
"","R.J. Dennard","Armstrong","Jr.","C","26","13"
"","James Earlywine","Lincoln (MO)","Jr.","OF","18","13"
"","Stephen Eldridge","Ga. Southwestern","Sr.","1B","25","13"
"","Brooks Fleming","Nova Southeastern","Sr.","OF","27","13"
"","Byron Freitas","Hawaii Hilo","Fr.","INF","22","13"
"","Tyler Gaby","King (TN)","Sr.","OF","32","13"
"","Steven Garber","Northwest Mo. St.","Jr.","1B","22","13"
"","Ryan Garcia","Point Loma","Fr.","1B","27","13"
"","Andrew Gordon","North Georgia","Jr.","OF","25","13"
"","Dalton Gress","Francis Marion","Sr.","OF","24","13"
"","Sixto Guerrero","Claflin","So.","OF","25","13"
"","Brett Guzay","North Ala.","Jr.","INF","30","13"
"","Kevin Harris","Miles","Sr.","2B","22","13"
"","Aaron Hatch","Winston-Salem","Jr.","INF","27","13"
"","Dane Hutcheon","Montevallo","Fr.","INF","30","13"
"","Joe Huthsing","Azusa Pacific","So.","P","20","13"
"","C. James","West Ga.","---","1B/RF","29","13"
"","Sean Keady","Bentley","Sr.","OF","13","13"
"","Samuel Kim","Hawaii Hilo","Jr.","3B","21","13"
"","Caleb Kohlmeyer","Rogers St.","So.","INF","25","13"
"","Conor Kwalwasser","Belmont Abbey","So.","OF","29","13"
"","Aaron Lupia","Indiana (PA)","Sr.","C","16","13"
"","S. McWhorter","West Ga.","---","3B/1B","29","13"
"","Cam McWilliams","Cedarville","Sr.","OF","20","13"
"","Payton Osbon","Okla. Panhandle","So.","2B","31","13"
"","Mitchell Osburn","Mo. Southern St.","So.","C","25","13"
"","Tyler Phillips","Miles","So.","2B","17","13"
"","Joe Post","Flagler","Sr.","INF","27","13"
"","Caleb Psycher","Morehouse","---","RF","24","13"
"","Mike Raimo","West Chester","Sr.","OF","14","13"
"","Tanner Rainey","Lubbock Christian","Fr.","CF","24","13"
"","Mike Reed","Valdosta St.","Jr.","SS","25","13"
"","Reginald Rodgers","Claflin","Fr.","SS","25","13"
"","E. Schanzenb","Mansfield","---","3B","15","13"
"","Jalen Shuffler","Tusculum","Jr.","OF","24","13"
"","Jackson Slaid","Montevallo","Sr.","C","30","13"
"","Kelly Starnes","Cal St. East Bay","Jr.","OF","24","13"
"","Matt Urakami","Cal St. Monterey Bay","So.","INF","29","13"
"","Jake Warner","Pitt.-Johnstown","Sr.","2B","19","13"
"","Beau Welborn","North Georgia","---","3B","20","13"
"","Miles Wright","St. Edward's","Fr.","OF","25","13"
