"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"","Mitchell Gunsolus","Gonzaga","Jr.","INF","22","78","30","0.385"
"73","Zach Zarzour","Tennessee Tech","Sr.","2B","24","99","38","0.384"
"74","Tyler Baumgartner","Oregon","Sr.","OF","22","86","33","0.384"
"","Sam Foy","Davidson","So.","INF","20","86","33","0.384"
"","Steve Snyder","Penn St.","Sr.","OF","23","86","33","0.384"
"77","Jimmy Luppens","Canisius","Sr.","1B","21","73","28","0.384"
"78","Nathaniel Causey","Arizona St.","Jr.","C","19","60","23","0.383"
"79","Shane Zeile","UCLA","Jr.","C","22","81","31","0.383"
"80","Kristian Gayday","IPFW","Sr.","INF","20","68","26","0.382"
"81","Garrett Chapman","Ga. Southern","Fr.","INF","23","89","34","0.382"
"82","Jon McAllister","LIU Brooklyn","Jr.","OF","18","76","29","0.382"
"83","Nick Blaser","Cal St. Northridge","Jr.","INF","19","63","24","0.381"
"84","Andrew Daniel","San Diego","Jr.","INF","22","92","35","0.380"
"85","Jack St. Clair","Holy Cross","Jr.","OF","19","71","27","0.380"
"","Damek Tomscha","Auburn","Sr.","INF","24","71","27","0.380"
"87","Louie Lechich","San Diego","Sr.","P","23","100","38","0.380"
"88","Jeff Gardner","Louisville","Sr.","OF","22","79","30","0.380"
"89","Troy Black","Maine","Sr.","INF","24","103","39","0.379"
"","Auston Bousfield","Ole Miss","Jr.","OF","25","103","39","0.379"
"91","Brian O'Keefe","Saint Joseph's","Jr.","C","17","74","28","0.378"
"92","Brett Austin","North Carolina St.","Jr.","C","21","82","31","0.378"
"","A.J. Reed","Kentucky","Jr.","P","24","82","31","0.378"
"94","Casey Jones","Elon","Jr.","INF","23","90","34","0.378"
"","Alex Larivee","Youngstown St.","Fr.","INF","15","45","17","0.378"
"96","David Hall","Troy","Jr.","OF","22","77","29","0.377"
"97","Andrew Guillotte","McNeese St.","Jr.","OF","22","101","38","0.376"
"98","Forrest Brandt","Davidson","Sr.","OF","20","80","30","0.375"
"","Michael Burke","Buffalo","Sr.","P","17","48","18","0.375"
"","Lance Jones","Southern U.","Jr.","OF","16","64","24","0.375"
"101","Kevin Husum","James Madison","Jr.","OF","22","83","31","0.373"
"","Evan Ocello","Holy Cross","Jr.","OF","19","83","31","0.373"
"103","Michael Conforto","Oregon St.","Jr.","OF","24","75","28","0.373"
"104","Jason Goldstein","Illinois","So.","C","18","67","25","0.373"
"105","Ryan Reese","North Dakota","Jr.","INF","14","51","19","0.373"
"106","Jon Crucitti","Army","Sr.","OF","20","78","29","0.372"
"","Jake Mangler","Iowa","Jr.","INF","20","78","29","0.372"
"","Ryan McBroom","West Virginia","Sr.","1B","20","78","29","0.372"
"109","Austin Cousino","Kentucky","Jr.","OF","24","105","39","0.371"
"110","Taylor Ward","Fresno St.","So.","C","24","89","33","0.371"
"111","Chase Harris","New Mexico","Sr.","OF","25","108","40","0.370"
"112","Brad Zebedis","Presbyterian","Sr.","1B","25","100","37","0.370"
"113","Sal Annunziata","Seton Hall","Jr.","INF","19","73","27","0.370"
"","Ruhlman D.J.","Seton Hall","Jr.","P","19","73","27","0.370"
"","Pete Leonello","LIU Brooklyn","Sr.","OF","18","73","27","0.370"
"116","Tommy Cheek","Loyola Marymount","Sr.","INF","24","92","34","0.370"
"","Julio Nunez","Alabama A&M","Sr.","3B","25","92","34","0.370"
"","Connor Owings","Coastal Caro.","So.","INF","23","92","34","0.370"
"","Logan Regnier","Central Mich.","So.","OF","23","92","34","0.370"
"120","Jameson Fisher","Southeastern La.","So.","C","23","84","31","0.369"
"121","Adam Martin","Western Caro.","Sr.","C","21","76","28","0.368"
"","Tyler Mautner","Buffalo","Jr.","INF","17","57","21","0.368"
"123","Scott Splett","South Dakota St.","Sr.","OF","22","87","32","0.368"
"124","Mitch Williams","UAB","So.","C","21","49","18","0.367"
"125","Emmanuel Marrero","Alabama St.","Jr.","INF","29","109","40","0.367"
"","Matt Shortall","Texas-Arlington","Sr.","OF","23","109","40","0.367"
"127","Stryker Brown","Ga. Southern","Sr.","INF","25","90","33","0.367"
"","Jackson Gooch","McNeese St.","Sr.","OF","22","90","33","0.367"
"129","Kade Scivicque","LSU","Jr.","C","23","71","26","0.366"
"130","Vincent Citro","Siena","Sr.","INF","20","82","30","0.366"
"","Ryan Nagle","Illinois","So.","INF","21","82","30","0.366"
"","RJ Santigate","Kansas St.","Sr.","INF","23","82","30","0.366"
"","Tyson Simpson Jr.","N.C. Central","Sr.","INF","23","82","30","0.366"
"","Kyle Teaf","South Fla.","Jr.","INF","23","82","30","0.366"
"135","Aaron Mizell","Ga. Southern","Jr.","OF","23","93","34","0.366"
"","Chris Robinson","Morehead St.","Jr.","C","23","93","34","0.366"
"137","Jake Noll","FGCU","Fr.","INF","24","104","38","0.365"
"138","Nick Day","Iowa","Jr.","INF","18","63","23","0.365"
"139","Anthony Critelli","Holy Cross","Fr.","INF","19","74","27","0.365"
"","Andrew Ely","Washington","Jr.","INF","22","74","27","0.365"
"141","Robert Currie","Navy","So.","OF","23","85","31","0.365"
"","Austin Darby","Nebraska","Jr.","OF","21","85","31","0.365"
"143","Dalton Britt","Liberty","So.","INF","25","96","35","0.365"
"144","Saige Jenco","Virginia Tech","Fr.","OF","21","66","24","0.364"
"","Eric Sams","Bethune-Cookman","Sr.","INF","25","88","32","0.364"
"","Spencer Scorza","Cornell","Jr.","INF","13","44","16","0.364"
"147","Bobby Ison","Charleston So.","Jr.","OF","25","102","37","0.363"
"148","Aaron Brown","Pepperdine","Jr.","OF","23","91","33","0.363"
"","Kevin Swick","Southern California","Sr.","C","22","91","33","0.363"
"150","Josh Leemhuis","George Mason","Sr.","OF","21","80","29","0.363"
"151","Jordan Hopkins","Tennessee Tech","Jr.","C","21","69","25","0.362"
"","Hezekiah Randolph","New Orleans","Fr.","OF","19","69","25","0.362"
"153","Scott Heath","Maine","Jr.","P","21","58","21","0.362"
"","Ryan Messex","Western Ky.","Jr.","C","21","58","21","0.362"
"155","Austin Anderson","Ole Miss","Sr.","INF","25","94","34","0.362"
"","Mike Rampone","NJIT","Jr.","INF","13","47","17","0.362"
"157","Drew Ferguson","Belmont","Jr.","OF","23","83","30","0.361"
"","Tyler Filliben","Samford","Jr.","INF","22","83","30","0.361"
"159","Joe Abeln","Lehigh","Sr.","OF","17","61","22","0.361"
"160","Devyn Bolasky","UC Riverside","Jr.","OF","20","86","31","0.360"
"","Corey Dick","UNC Wilmington","Jr.","INF","22","86","31","0.360"
"","Zack Lee","N.C. Central","Sr.","INF","23","86","31","0.360"
"","Austin Miller","Loyola Marymount","Fr.","OF","24","86","31","0.360"
"164","Christ Conley","Canisius","Fr.","C","16","50","18","0.360"
"","Joe Ogren","Bucknell","So.","INF","20","75","27","0.360"
"","Tanner Rockwell","UALR","Jr.","P","21","75","27","0.360"
"167","Jared Walker","Florida A&M","Sr.","OF","19","64","23","0.359"
"168","Seth Harrison","La.-Lafayette","Sr.","OF","24","92","33","0.359"
"","Connor Joe","San Diego","Jr.","INF","23","92","33","0.359"
"","Jacob Midkiff","Presbyterian","So.","INF","25","92","33","0.359"
"171","Lou Clemente","Rutgers","Sr.","OF","19","53","19","0.358"
"","Hunter Mercado-Hood","San Diego","Fr.","OF","19","53","19","0.358"
"","Joel Roman","Fairleigh Dickinson","So.","INF","16","53","19","0.358"
"174","Jordan Serena","Columbia","Jr.","OF","16","67","24","0.358"
"175","Daniel Dwyer","Illinois St.","So.","OF","21","81","29","0.358"
"","Ryan Lindemuth","William & Mary","---","2B","22","81","29","0.358"
"","Ryan Tella","Auburn","Sr.","OF","23","81","29","0.358"
"178","Clinton Freeman","East Tenn. St.","Sr.","INF","23","95","34","0.358"
"179","Will Allen","Ole Miss","Sr.","INF","25","98","35","0.357"
"","Brandon Angus","VMI","Jr.","OF","22","84","30","0.357"
"","Moses Charles","Alcorn","So.","INF","24","84","30","0.357"
"","Waldyvan Estrada","Alabama St.","Jr.","OF","28","98","35","0.357"
"","Kyle Nowlin","Eastern Ky.","So.","OF","24","98","35","0.357"
"","Marquis Webb","Texas Southern","Jr.","INF","21","56","20","0.357"
"","JD Whetsel","Cornell","Jr.","OF","14","56","20","0.357"
"","Andrew Widell","Charleston So.","Jr.","C","22","70","25","0.357"
"187","Josh Anderson","FIU","Sr.","INF","24","101","36","0.356"
"","Tyler Sullivan","Pacific","Jr.","OF","26","101","36","0.356"
"189","Doug Votolato","Central Ark.","Sr.","INF","21","87","31","0.356"
"190","Alex Call","Ball St.","Fr.","OF","20","73","26","0.356"
"","Ronnie Dawson","Ohio St.","Fr.","OF","20","73","26","0.356"
"","Thomas Miller","Middle Tenn.","Fr.","C","18","73","26","0.356"
"","Matt Williams","McNeese St.","Sr.","OF","21","73","26","0.356"
"194","Max Andresen","Miami (OH)","Jr.","C","16","59","21","0.356"
"195","Tim Zier","San Diego St.","Sr.","INF","23","90","32","0.356"
"196","Joe Kelch","Illinois St.","So.","INF","20","62","22","0.355"
"197","Mike Hollenbeck","Illinois St.","Sr.","C","21","79","28","0.354"
"198","Scott Slappey","Miami (OH)","Jr.","INF","16","65","23","0.354"
"199","Matthew Dickey","Stephen F. Austin","So.","OF","18","82","29","0.354"
"200","Austin Fisher","Kansas St.","Jr.","INF","23","85","30","0.353"
"","Johnny Sewald","Arizona St.","So.","OF","20","68","24","0.353"
"","Andrew Stevenson","LSU","So.","OF","23","68","24","0.353"
"","Alex Tomasovich","Charleston So.","Sr.","INF","25","102","36","0.353"
"","Tyler Wampler","Indiana St.","Sr.","INF","19","68","24","0.353"
"205","Matt Dickason","Longwood","Sr.","INF","25","105","37","0.352"
"206","Bobby Boyd","West Virginia","Jr.","OF","20","88","31","0.352"
"","Austin Hulsey","Alabama A&M","So.","INF","23","88","31","0.352"
"","Tyler Krieger","Clemson","So.","INF","23","88","31","0.352"
"209","Nick Senzel","Tennessee","Fr.","INF","22","71","25","0.352"
"210","Blair Beck","Kansas","Jr.","OF","20","54","19","0.352"
"","Brian MacDonald","Hofstra","Jr.","P","14","54","19","0.352"
"212","Anthony Gonsolin","St. Mary's (CA)","So.","INF","23","91","32","0.352"
"","Hunter Haley","Oklahoma","So.","INF","22","91","32","0.352"
"214","Austen Smith","Alabama","Sr.","INF","22","74","26","0.351"
"","Dan Walsh","Miami (OH)","Sr.","INF","19","74","26","0.351"
"216","Zach Houchins","East Carolina","Sr.","3B","24","94","33","0.351"
"217","Ben Arkin","Davidson","Jr.","INF","18","57","20","0.351"
"","Mike Brosseau","Oakland","So.","INF","14","57","20","0.351"
"","Landon Cray","Seattle","So.","OF","17","57","20","0.351"
"","Nick Howard","Virginia","Jr.","INF","21","57","20","0.351"
"221","Cody Daily","Southern Ill.","Sr.","INF","21","77","27","0.351"
"","Mike Papi","Virginia","Jr.","OF","22","77","27","0.351"
"","Jesse Puscheck","Canisius","Jr.","INF","20","77","27","0.351"
"","Ty Stetson","Murray St.","Sr.","OF","21","77","27","0.351"
"225","Griff Gordon","Jacksonville St.","Sr.","OF","23","97","34","0.351"
"","Bryan Reynolds","Vanderbilt","Fr.","OF","25","97","34","0.351"
"227","Robert Chavarria","Stony Brook","Jr.","INF","16","60","21","0.350"
"","Alex Dunlap","Stanford","Fr.","OF","14","40","14","0.350"
"","Jordan Ebert","Auburn","So.","INF","24","80","28","0.350"
"","John Elson","Lehigh","Jr.","INF","17","60","21","0.350"
"","Josh Goossen-Brown","San Diego","Sr.","OF","21","60","21","0.350"
"","Jake Hernandez","Southern California","Sr.","C","20","60","21","0.350"
"","Dalton Hewitt","Southeast Mo. St.","Jr.","C","23","80","28","0.350"
"","Zack Short","Sacred Heart","Fr.","INF","17","60","21","0.350"
"235","Tim Hoehn","William & Mary","Fr.","INF","22","83","29","0.349"
"236","Alex Blandino","Stanford","Jr.","INF","18","63","22","0.349"
"","Brandyn Crutcher","Alabama A&M","Jr.","OF","21","63","22","0.349"
"","Korey Hall","Grambling","Sr.","OF","18","63","22","0.349"
"","Bobby Webb","LIU Brooklyn","Jr.","INF","18","63","22","0.349"
"240","Derek Atkinson","San Francisco","Jr.","OF","21","86","30","0.349"
"","Austin Bailey","San Diego","Jr.","INF","23","86","30","0.349"
"","Garrett Boulware","Clemson","Jr.","C","23","86","30","0.349"
"","Taylor Gushue","Florida","Jr.","C","24","86","30","0.349"
"","Jon Kristoffersen","Saint Peter's","So.","INF","19","86","30","0.349"
"","Kevin Tatum","Cornell","Jr.","OF","14","43","15","0.349"
"246","Jordan Betts","Duke","Sr.","INF","23","89","31","0.348"
"","Kendall Keeton","Missouri","Sr.","INF","23","89","31","0.348"
"","Scott Price","Tennessee","Sr.","1B","23","89","31","0.348"
"249","Mark Mathias","Cal Poly","So.","INF","23","69","24","0.348"
"","Mike Vigliarolo","Saint Louis","Jr.","INF","22","92","32","0.348"
"251","Connor Marabell","Jacksonville","So.","INF","20","72","25","0.347"
"","Tanner Pinkston","Cal St. Fullerton","So.","INF","21","72","25","0.347"
"","Justin Thomas","Rider","Jr.","3B","20","72","25","0.347"
"254","Nate Irving","Virginia","Jr.","C","18","49","17","0.347"
"255","Jordan McDonald","UNC Greensboro","Jr.","INF","21","75","26","0.347"
"256","Zach Gibbons","Arizona","So.","OF","26","101","35","0.347"
"257","Braden Bishop","Washington","So.","OF","22","78","27","0.346"
"","Charles Dailey","Delaware St.","Jr.","OF","19","52","18","0.346"
"","Justin Dattilo","UMES","Fr.","C","17","52","18","0.346"
"260","Kyle Martin","South Carolina","Jr.","1B","22","81","28","0.346"
"","Ryan Raslowsky","Cal St. Northridge","Jr.","INF","22","81","28","0.346"
"262","Tyler Adkison","San Diego St.","Fr.","OF","19","55","19","0.345"
"","Ray Toto","George Mason","Jr.","C","16","55","19","0.345"
"264","Zach Fish","Oklahoma St.","Jr.","OF","24","84","29","0.345"
"","Greg Harisis","Santa Clara","Sr.","INF","20","84","29","0.345"
"","Kyler Holder","San Diego","So.","SS","23","84","29","0.345"
"","Alex Howe","Tex.-Pan American","Sr.","OF","26","84","29","0.345"
"","Kavin Keyes","Oregon St.","Sr.","INF","24","84","29","0.345"
"","Charles Sikes","Savannah St.","Jr.","1B","23","84","29","0.345"
"270","Aaron Barnett","Pepperdine","Fr.","C","23","87","30","0.345"
"","Kevin Baron","La Salle","Jr.","INF","22","87","30","0.345"
"272","Spencer Angelis","High Point","Jr.","C","23","90","31","0.344"
"","Nick Torres","Cal Poly","Jr.","OF","23","90","31","0.344"
"274","Sam Tolleson","UCF","Jr.","INF","19","61","21","0.344"
"275","Blake Butler","Col. of Charleston","So.","INF","23","96","33","0.344"
"","Ross Cardwell","Norfolk St.","Sr.","1B","22","64","22","0.344"
"","Jarrett Jarvis","BYU","Jr.","C","19","64","22","0.344"
"278","Kody Adams","Ga. Southern","Jr.","OF","20","70","24","0.343"
"","Matt Davis","VCU","Fr.","INF","19","70","24","0.343"
"","Dustin DeMuth","Indiana","Sr.","INF","19","70","24","0.343"
"","Yale Rosen","Washington St.","Jr.","OF","20","70","24","0.343"
"","Gary Russo","Miami (OH)","So.","OF","18","70","24","0.343"
"283","Brandon Powell","Samford","Sr.","OF","19","73","25","0.342"
"284","Richard Amion","Alabama St.","Jr.","OF","29","111","38","0.342"
"285","Kyle Grimm","Seton Hall","Jr.","INF","19","76","26","0.342"
"","Grant Kay","Louisville","Jr.","INF","23","76","26","0.342"
"","Cody Leichman","Central Mich.","Jr.","1B","22","76","26","0.342"
"288","Kyle Weston","James Madison","So.","INF","19","79","27","0.342"
"289","Norm Donkin","Delaware","Jr.","OF","22","82","28","0.341"
"","A.J. Simcox","Tennessee","So.","SS","21","82","28","0.341"
"291","Andrew Godbold","Southeastern La.","Jr.","OF","23","85","29","0.341"
"","Hunter Higgerson","Radford","Jr.","INF","23","85","29","0.341"
"293","Teddy Bickert","NJIT","Sr.","1B","11","44","15","0.341"
"","Curtis Jones","Houston Baptist","Jr.","INF","20","88","30","0.341"
"","Kristoffer Koerper","New Mexico St.","Sr.","INF","23","88","30","0.341"
"","Zach Sterry","Oakland","Fr.","INF","13","44","15","0.341"
"297","Jordan Luplow","Fresno St.","Jr.","OF","24","91","31","0.341"
"","Aaron Machbitz","South Dakota St.","Sr.","INF","22","91","31","0.341"
"299","Anthony Hermelyn","Oklahoma","So.","INF","25","94","32","0.340"
"","Sasha LaGarde","Mercer","Sr.","OF","25","94","32","0.340"
"","Chris Mariscal","Fresno St.","Jr.","INF","23","94","32","0.340"
"","Ty McFarland","James Madison","Sr.","INF","22","94","32","0.340"
