"Rank","Name","Team","Cl","Pos","G","SB","CS"
"","Tom Coulombe","Rhode Island","Sr.","INF","43","20","2"
"","Jerry Hildredth","Mississippi Val.","Sr.","3B","46","20","11"
"","Chad Hinshaw","Illinois St.","So.","OF","40","20","5"
"","Brian Kownacki","Fordham","Jr.","INF","44","20","3"
"","Michael O'Neill","Michigan","Fr.","OF","41","20","6"
"50","Les Aulds","La.-Monroe","Jr.","INF","41","19","3"
"","Aaron Barbosa","Northeastern","Fr.","OF","39","19","4"
"","Jeff Holm","Michigan St.","Sr.","1B","40","19","6"
"","Sean Jamieson","Canisius","Sr.","SS","42","19","2"
"","Mike LeBel","Rhode Island","Jr.","INF","43","19","4"
"","Chris Manning","Valparaiso","Fr.","OF","43","19","3"
"","Joseph McCrary III","Savannah St.","So.","OF","47","19","7"
"","Brendan Mcgaheran","Lehigh","Sr.","SS","45","19","2"
"","Taylor Ratliff","Jacksonville","Fr.","INF","37","19","4"
"","Michael Scicutella","Saint Peter's","Jr.","2B","37","19","2"
"","Kelby Tomlinson","Texas Tech","Jr.","INF","47","19","7"
"","Justin Wilson","Charlotte","Sr.","OF","44","19","5"
"62","Jeff Cammans","Rhode Island","Jr.","OF","42","18","7"
"","Nick Cox","Columbia","Sr.","OF","36","18","1"
"","Jonathan Davis","Central Ark.","Fr.","INF","36","18","5"
"","Aaron Dobbs","Kennesaw St.","Jr.","INF","43","18","5"
"","Brandon Eckerle","Michigan St.","Sr.","OF","40","18","7"
"","Brock Hebert","Southeastern La.","So.","INF","45","18","5"
"","John Hinson","Clemson","Jr.","INF","41","18","4"
"","Matt Johns","Western Caro.","Sr.","INF","41","18","0"
"","Micah Johnson","Indiana","So.","OF","43","18","2"
"","John McCambridge","Xavier","Sr.","INF","43","18","3"
"","Brad Miller","Clemson","Jr.","INF","37","18","3"
"","William Piwnica-Worms","Duke","Jr.","OF","46","18","2"
"","Alfredo Rodriguez","Maryland","Jr.","INF","47","18","5"
"","R.J. Talamantes","Centenary (LA)","Fr.","INF","21","18","4"
"","Andrew Toles","Tennessee","Fr.","OF","40","18","5"
"","M.L. Williams","Lipscomb","Jr.","OF","43","18","1"
"78","John Andreoli","Connecticut","Jr.","OF","45","17","5"
"","Landon Appling","Houston","Fr.","OF","45","17","2"
"","Harry Austin","Elon","Sr.","OF","44","17","3"
"","Isaac Ballou","Marshall","So.","OF","41","17","4"
"","Blake Brown","Missouri","So.","OF","40","17","5"
"","Chris Burke","Iona","Jr.","INF","41","17","6"
"","C.J. Gillman","Dayton","Jr.","INF","44","17","3"
"","Cody Hudson","Austin Peay","So.","OF","39","17","4"
"","Trey Karlen","UT Martin","Sr.","3B","39","17","1"
"","Alex Maldonado","Holy Cross","So.","INF","48","17","5"
"","Drew Martinez","Memphis","Jr.","OF","44","17","3"
"","Cole McInturff","James Madison","So.","OF","43","17","5"
"","Brantley Meier","Charleston So.","Sr.","OF","43","17","5"
"","Ethan Newton","Ohio","Fr.","-","43","17","6"
"","Brent Ohrman","Eastern Mich.","Jr.","INF","43","17","5"
"","Shawn Payne","Ga. Southern","Sr.","OF","44","17","2"
"","Jake Proctor","Cincinnati","So.","OF","40","17","2"
"","Casey Rasmus","Liberty","Jr.","C","33","17","2"
"","Johnny Ruettiger","Arizona St.","Jr.","OF","40","17","11"
"","Jamison Wells","Northern Ill.","So.","INF","37","17","3"
"","Charlie White","Maryland","Fr.","OF","45","17","1"
"","Taylor White","South Ala.","Sr.","OF","43","17","6"
"","Chris Wolfe","Grambling","Jr.","INF","39","17","9"
"","Kolten Wong","Hawaii","Jr.","INF","40","17","5"
"","Mike Yastrzemski","Vanderbilt","So.","OF","43","17","2"
"103","Willie Argo","Illinois","Jr.","OF","39","16","8"
"","Barrett Barnes","Texas Tech","So.","OF","46","16","2"
"","Brett Botsford","Le Moyne","Jr.","OF","42","16","5"
"","Niko Fraser","Elon","So.","OF","41","16","11"
"","Collin Kuhn","Arkansas","Jr.","OF","36","16","2"
"","Don Lambert","Wichita St.","Jr.","OF","46","16","2"
"","Pete Lavin","San Francisco","Sr.","OF","44","16","8"
"","John Lenherr","VCU","Sr.","OF","41","16","2"
"","Taylor Lewis","Maine","Jr.","OF","40","16","2"
"","Kendall Logan","Jackson St.","Jr.","OF","38","16","2"
"","Michael Lowe","Mississippi Val.","Jr.","OF","44","16","2"
"","Nathan Melendres","Miami (FL)","Jr.","OF","39","16","3"
"","Kevin Muno","San Diego","Sr.","OF","41","16","5"
"","Jack Myers","Appalachian St.","Sr.","OF","41","16","5"
"","Bryce Ortega","Arizona","Sr.","INF","43","16","2"
"","Victor Ramos","Marshall","Sr.","INF","41","16","7"
"","Cordarian Robertson","Savannah St.","Jr.","INF","36","16","3"
"","Richie Rodriguez","Eastern Ky.","Jr.","SS","44","16","2"
"","Brad Steinbach","St. Bonaventure","Sr.","3B","36","16","7"
"","Stephen Talbott","Purdue","So.","OF","43","16","0"
"","Mike Tauchman","Bradley","So.","OF","39","16","3"
"","Ivory Thomas","Cal St. Fullerton","So.","OF","33","16","6"
"125","Landon Anderson","Dallas Baptist","Jr.","OF","43","15","1"
"","Pablo Bermudez","FIU","Jr.","OF","41","15","5"
"","Bo Bigham","Arkansas","Jr.","INF","41","15","5"
"","Brian Blasik","Dayton","Jr.","INF","29","15","1"
"","Nick Boullosa","Tulane","Sr.","OF","44","15","6"
"","Kris Bryant","San Diego","Fr.","3B","41","15","2"
"","Tom Burkett","Charleston So.","Sr.","OF","44","15","4"
"","Jann Butler","Alcorn St.","Jr.","OF","38","15","3"
"","Tim Carver","Arkansas","Jr.","INF","38","15","0"
"","Troy Drummond","Delaware St.","Sr.","OF","39","15","0"
"","Riley Good","UTSA","Fr.","OF","45","15","6"
"","Andrew Law","BYU","Sr.","SS","40","15","2"
"","Pete Leonello","LIU Brooklyn","Fr.","OF","40","15","4"
"","Byron McKoy","Temple","Sr.","OF","41","15","0"
"","Paul Nice","VCU","Jr.","INF","41","15","7"
"","Joe Panik","St. John's (NY)","Jr.","INF","39","15","2"
"","Eric Phillips","Ga. Southern","Jr.","INF","44","15","3"
"","Danny Poma","Hofstra","Jr.","OF","37","15","4"
"","Logan Robbins","Western Ky.","Jr.","INF","38","15","3"
"","Tim Ryan","Oakland","Jr.","OF","34","15","7"
"","Tyler Sibley","Texas St.","Jr.","INF","41","15","4"
"","Luke Walker","Mississippi Val.","Sr.","OF","44","15","3"
"","Matt Zink","Richmond","So.","OF","38","15","2"
"148","Eldred Barnett","Grambling","Jr.","OF","40","14","6"
"","Nick Becker","Saint Louis","Fr.","-","42","14","2"
"","Jon Berti","Bowling Green","Jr.","INF","35","14","3"
"","John Calhoun","Cleveland St.","Jr.","INF","40","14","3"
"","Brett Christopher","Pacific","Jr.","OF","38","14","3"
"","Jon Clinard","Austin Peay","Jr.","INF","32","14","4"
"","Carvell Copeland","N.C. A&T","Jr.","OF","37","14","3"
"","Cody Cotter","Saint Louis","Sr.","OF","43","14","4"
"","Tommy Coyle","North Carolina","So.","2B","43","14","2"
"","Hector Crespo","Appalachian St.","So.","INF","42","14","5"
"","Bo Cuthbertson","Southern Utah","Jr.","SS","39","14","3"
"","Jordan Dean","Central Mich.","So.","INF","43","14","2"
"","Michael Faulkner","Arkansas St.","So.","OF","44","14","2"
"","Austin Hall","BYU","Jr.","INF","38","14","3"
"","William Ladd","Citadel","Sr.","OF","43","14","3"
"","Jack Laurendeau","Holy Cross","Sr.","OF","42","14","2"
"","Ellis Lowe","Campbell","Sr.","INF","43","14","2"
"","Zack MacPhee","Arizona St.","Jr.","INF","41","14","5"
"","Andre McKoy","N.C. A&T","So.","OF","43","14","7"
"","Nick Natoli","Towson","Sr.","SS","41","14","5"
"","Lee Orr","McNeese St.","Jr.","INF","46","14","2"
"","Thomas Pope","UNC Wilmington","Jr.","OF","44","14","5"
"","Kenneth Rowan","Alcorn St.","Sr.","OF","36","14","3"
"","Brandon Scott","Mt. St. Mary's","Fr.","2B","35","14","3"
"","Brandon Thomas","Georgia Tech","So.","OF","45","14","2"
"","Tanner Witt","Kansas St.","So.","INF","41","14","2"
"","Chad Wright","Kentucky","Jr.","OF","45","14","4"
"","Ryan Wright","Louisville","Jr.","SS","43","14","1"
"176","Jared Andreoli","Western Ky.","Jr.","OF","44","13","4"
"","Danny Baatz","UNC Asheville","Sr.","OF","36","13","2"
"","Nick Baligod","Oral Roberts","Sr.","OF","39","13","0"
"","Pat Blair","Wake Forest","So.","INF","40","13","3"
"","Ryan Brown","William & Mary","So.","OF","46","13","5"
"","Ridge Carpenter","Cal St. Northridge","Sr.","OF","42","13","5"
"","Bryan Condotta","Georgia St.","Sr.","SS","46","13","4"
"","Peter Copa","Massachusetts","Sr.","3B","35","13","0"
"","Larry Cornelia","Fairfield","Jr.","INF","36","13","3"
"","Zach Costello","Radford","Jr.","OF","42","13","4"
"","Nick Crawford","UAB","Sr.","INF","44","13","3"
"","Chris Dudics","Toledo","Sr.","INF","43","13","2"
"","Jon Edgington","Miami (OH)","Sr.","INF","44","13","1"
"","Cody Elliott","Ball St.","Jr.","OF","39","13","5"
"","Brad Felder","Citadel","Sr.","OF","41","13","2"
"","Tommy Flynn","Mt. St. Mary's","Sr.","OF","38","13","5"
"","James Foster","Wofford","Jr.","OF","44","13","5"
"","Patrick Gamblin","Winthrop","So.","OF","42","13","3"
"","Eric Garcia","Missouri","So.","INF","42","13","2"
"","Reginald Grant","Florida A&M","So.","INF","45","13","4"
"","Juluis Green","Savannah St.","Jr.","INF","45","13","4"
"","Mark Haddow","UC Santa Barbara","Sr.","OF","38","13","4"
"","Mark Hudson","Sam Houston St.","Sr.","OF","44","13","4"
"","Tre-von Johnson","Md.-East. Shore","So.","OF","43","13","2"
"","Karl Johnston","Rider","Sr.","OF","37","13","1"
"","Mark Jones","Stetson","Jr.","INF","42","13","0"
"","Chris Kashangaki","Coppin St.","So.","OF","39","13","2"
"","Jordan Lurie","UNC Asheville","Jr.","INF","40","13","1"
"","Joey Martin","Maine","Sr.","INF","40","13","2"
"","Brian Martin","Bradley","Sr.","OF","42","13","4"
"","Nick Martini","Kansas St.","Jr.","OF","43","13","3"
"","Mike Mergenthaler","Richmond","Sr.","OF","43","13","2"
"","Kylie Ming","Mississippi Val.","Sr.","C","45","13","6"
"","Chris Peters","Cincinnati","Sr.","SS","41","13","3"
"","Cole Rakar","Col. of Charleston","Sr.","OF","45","13","4"
"","Sam Roberts","VMI","Sr.","INF","44","13","4"
"","Michael Robertson","Liberty","Jr.","OF","44","13","2"
"","Erik Ross","Oklahoma","Jr.","OF","32","13","4"
"","Taylor Shaw","Southern Utah","So.","C","37","13","3"
"","Zach Thompson","Cleveland St.","Jr.","OF","30","13","2"
"","Brett Tiagwad","Saint Joseph's","Jr.","OF","34","13","5"
"","Matt Williams","Liberty","Jr.","INF","44","13","3"
"","Joey Winiecki","Oral Roberts","Sr.","OF","35","13","3"
"","Kyle Wren","Georgia Tech","Fr.","OF","45","13","6"
"","Josh Wright","Old Dominion","Jr.","INF","38","13","3"
"","Tyler Wynn","Cleveland St.","Jr.","INF","41","13","1"
"222","Bret Atwood","Texas St.","Sr.","OF","43","12","5"
"","Shane Basen","Charlotte","So.","INF","43","12","3"
"","Justin Boudreaux","Southeastern La.","Jr.","INF","46","12","2"
"","Jake Brown","Kansas St.","Jr.","INF","42","12","1"
"","Andrew Cain","UNC Wilmington","Jr.","INF","41","12","3"
"","Joel Capote","FIU","Jr.","OF","35","12","3"
"","Aaron Conway","Missouri St.","Sr.","OF","40","12","4"
"","Joe Corfman","Toledo","Jr.","INF","43","12","3"
"","Justin Cureton","Indiana","So.","OF","35","12","1"
"","Frank DeSico","Notre Dame","So.","INF","38","12","5"
"","Nick Driscoll","Navy","Sr.","OF","49","12","3"
"","Chris Ellison","Oklahoma","Jr.","OF","38","12","4"
"","Charles Epperson","Jackson St.","So.","OF","40","12","1"
"","Ben Farina","Quinnipiac","Sr.","OF","41","12","2"
"","Alex Foltz","James Madison","Sr.","OF","37","12","2"
"","B Haar","San Diego","Jr.","INF","37","12","1"
"","Dain Hall","Villanova","Sr.","OF","42","12","2"
"","Tyler Hall","Central Mich.","Jr.","INF","44","12","4"
"","David Herbek","James Madison","Sr.","SS","45","12","4"
"","Craig Hertler","San Jose St.","Sr.","INF","43","12","3"
"","Alex Johnson","Cleveland St.","Jr.","OF","40","12","4"
"","JaCoby Jones","LSU","Fr.","INF","45","12","5"
"","Trevor Kirk","UNLV","Jr.","OF","40","12","4"
"","Kyle Kubitza","Texas St.","Jr.","INF","44","12","2"
"","Jason Leblebijian","Bradley","So.","INF","42","12","3"
"","Bobby Martin","UNC Greensboro","Jr.","OF","41","12","2"
"","Andrew Megee","Yale","Sr.","3B","42","12","9"
"","Levi Michael","North Carolina","Jr.","SS","41","12","1"
"","Aaron Miller","Gardner-Webb","Sr.","SS","42","12","2"
"","Will Miller","Furman","Jr.","OF","46","12","3"
"","Sam Mulroy","Princeton","Jr.","C","40","12","1"
"","Danny Muno","Fresno St.","Sr.","INF","38","12","5"
"","Dillon O'Neill","Harvard","Sr.","OF","44","12","8"
"","Mark Onorati","Manhattan","Sr.","OF","38","12","4"
"","Dan Paolini","Siena","Jr.","2B","44","12","0"
"","Bryan Peters","Nebraska","So.","2B","45","12","4"
"","Zach Price","Army","Jr.","INF","43","12","4"
"","Jarryd Reid","Florida A&M","Jr.","OF","38","12","3"
"","Marquis Riley","N.C. A&T","Jr.","2B","44","12","0"
"","Ryan Shober","Ill.-Chicago","So.","INF","35","12","1"
"","Matt Simonelli","Citadel","Sr.","OF","42","12","1"
"","Steve Tedesco","Sacred Heart","Sr.","OF","39","12","1"
"","Riccio Torrez","Arizona St.","Jr.","INF","41","12","4"
"","Trey Watkins","LSU","Jr.","OF","38","12","3"
"","Brandon Williams","Georgia St.","Jr.","3B","45","12","1"
"","Tyler Zupcic","Appalachian St.","So.","OF","41","12","5"
"268","Trever Adams","Creighton","Sr.","INF","41","11","3"
"","Michael Bass","UNC Wilmington","So.","INF","42","11","2"
"","Brandon Beans","Navy","Fr.","OF","38","11","2"
"","Ryan Bellamy","Xavier","Sr.","C","42","11","1"
"","Wynton Bernard","Niagara","Jr.","OF","39","11","4"
"","Brian Billigen","Cornell","Jr.","OF","36","11","3"
"","Ben Bunting","North Carolina","Sr.","OF","43","11","4"
"","Brannon Champagne","Missouri","So.","OF","43","11","9"
"","Raymond Church","Fla. Atlantic","Sr.","INF","43","11","2"
"","Zach Cone","Georgia","Jr.","OF","45","11","2"
"","Bill Cullen","VCU","Fr.","OF","40","11","4"
"","Adam Davis","Illinois","Jr.","C","39","11","3"
"","Doug Dekoning","Milwaukee","Sr.","OF","40","11","1"
"","Mark Elwell","Xavier","So.","OF","36","11","2"
"","Jason Esposito","Vanderbilt","Jr.","INF","43","11","8"
"","Samuel Franklin","Harvard","Sr.","OF","37","11","6"
"","Michael Gallic","Marist","Sr.","OF","41","11","1"
"","Adam Gliebe","Winthrop","Sr.","SS","45","11","3"
"","Colby Gratton","Fla. Atlantic","Sr.","OF","34","11","3"
"","Dan Gulbransen","Jacksonville","So.","OF","42","11","3"
"","Jordan Hammerman","Saint Louis","Fr.","-","42","11","1"
"","Adam Hilker","Northern Colo.","Jr.","INF","43","11","7"
"","Philip Incaviglia","Texas-Arlington","Jr.","OF","42","11","1"
"","Chase Jaramillo","Nicholls St.","Sr.","INF","44","11","6"
"","D.J. Jarrad","Oakland","Sr.","INF","35","11","4"
"","Brant Jones","Longwood","Sr.","2B","40","11","1"
"","Anthony Kaskadden","Western Ill.","Sr.","INF","31","11","3"
"","Jabair Khan","Temple","Jr.","OF","41","11","2"
"","Jared King","Kansas St.","Fr.","OF","37","11","3"
"","Jason Krizan","Dallas Baptist","Sr.","OF","43","11","3"
"","Andrew Letourneau","CSU Bakersfield","Jr.","OF","40","11","3"
"","Blake Lynd","Penn St.","Sr.","OF","30","11","0"
"","Justin Mackert","Citadel","Jr.","INF","43","11","4"
"","Justin Maynard","Marshall","Sr.","OF","30","11","4"
"","Kevin McDonnell","Wagner","Sr.","OF","42","11","4"
"","Ryan McIntyre","CSU Bakersfield","Jr.","OF","40","11","3"
"","Mark Micowski","Georgia St.","Sr.","OF","46","11","3"
"","Ian Miller","Wagner","Fr.","OF","38","11","1"
"","Scott Moseley","Nicholls St.","Sr.","OF","42","11","3"
"","Blake Newalu","Ole Miss","Jr.","INF","41","11","1"
"","James Newsome","Md.-East. Shore","Jr.","INF","41","11","1"
"","Josh Parr","Illinois","Jr.","SS","33","11","2"
"","Darrion Pedro","Alabama St.","Sr.","SS","37","11","1"
"","Stephen Perez","Miami (FL)","So.","SS","34","11","1"
"","Steven Proscia","Virginia","Jr.","INF","47","11","5"
"","Josue Quinones","Alabama St.","So.","INF","21","11","2"
"","Joey Rickard","Arizona","So.","OF","43","11","6"
"","Andrew Rodriguez","San Jose St.","So.","OF","22","11","1"
"","Jesse Savage","Coppin St.","Jr.","OF","40","11","8"
"","Ryan Still","Houston","Sr.","2B","45","11","3"
"","Marcus Stroman","Duke","So.","P","44","11","3"
"","Jeremy Sy","La.-Monroe","Jr.","INF","40","11","3"
"","Corey Taylor","Binghamton","Sr.","OF","35","11","1"
"","Matt Tenaglia","James Madison","So.","1B","45","11","0"
"","Ryan Terry","Monmouth","Sr.","INF","43","11","2"
"","Derek Toadvine","Kent St.","Fr.","2B","42","11","1"
"","Jeffrey Van Doornum","Hawaii","Sr.","DH","41","11","1"
"","Peter Verdin","Georgia","Jr.","OF","45","11","1"
"","Korey Wacker","Maryland","Jr.","OF","45","11","5"
"","Joe Wallace","UC Santa Barbara","Jr.","OF","37","11","5"
"","Cam Walters","Winthrop","Jr.","OF","42","11","1"
"","Willie Wesley","Jackson St.","Sr.","1B","27","11","6"
"","Trevor Willis","Iowa","Sr.","OF","41","11","5"
"","Chad Zurcher","Memphis","Jr.","INF","42","11","4"
"332","Michael Adamson","Southeast Mo. St.","Sr.","OF","43","10","2"
"","Tony Balisteri","Virginia Tech","Sr.","INF","45","10","4"
"","Ken Battiston","Eastern Mich.","Sr.","OF","42","10","2"
"","T.J. Baumet","Ball St.","Sr.","SS","36","10","4"
"","Taylor Black","Kentucky","Sr.","INF","45","10","3"
"","Brett Bowers","George Washington","Jr.","INF","42","10","1"
"","Seth Boyd","Wagner","Sr.","INF","42","10","9"
"","James Brooks","Utah","Jr.","INF","37","10","2"
"","Connor Brown","James Madison","Fr.","INF","36","10","2"
"","Jaycob Brugman","BYU","Fr.","OF","35","10","2"
"","Kirby Campbell","Ball St.","So.","OF","35","10","2"
"","Ryan Cowhey","Western Ill.","Jr.","OF","39","10","2"
"","Chas Crane","Winthrop","Jr.","3B","45","10","3"
"","Garrett Custons","Air Force","So.","OF","45","10","4"
"","Sean Deegan","Penn St.","Jr.","OF","40","10","1"
"","Mac Doyle","Wofford","Jr.","C","44","10","1"
"","Cameron Dullnig","Western Caro.","Jr.","INF","42","10","3"
"","Todd Dunham","Oakland","So.","INF","26","10","1"
"","Bret Fanning","Northern Colo.","Sr.","OF","43","10","3"
"","Greg Fontenot","La.-Lafayette","Sr.","SS","44","10","3"
"","Michael Fransoso","Maine","So.","2B","32","10","1"
"","Joey Fuda","Texas St.","Jr.","OF","35","10","3"
"","Alex Fuselier","La.-Lafayette","Jr.","OF","43","10","4"
"","Drew Gehringer","UNC Greensboro","Sr.","OF","42","10","1"
"","Chris Giovinazzo","UCLA","Sr.","OF","38","10","1"
"","Billy Goldman","Lehigh","Sr.","OF","36","10","2"
"","Andrew Hahn","Navy","Jr.","OF","32","10","1"
"","Reed Harper","Austin Peay","So.","INF","41","10","3"
"","Drew Helenihi","Northwestern St.","Fr.","-","45","10","4"
"","Kevin Herlihy","Savannah St.","So.","P","46","10","1"
"","Scott Hornstra","Mississippi Val.","Jr.","3B","42","10","3"
"","Daniel Johnston","Pacific","Jr.","INF","38","10","2"
"","Ryan Jones","Michigan St.","So.","INF","38","10","5"
"","Kash Kalkowski","Nebraska","So.","OF","42","10","2"
"","Jason Kanzler","Buffalo","So.","OF","26","10","1"
"","Dan Klem","La Salle","So.","INF","41","10","3"
"","Will Lamb","Clemson","Jr.","OF","43","10","1"
"","Rob Lind","Georgia St.","Sr.","2B","46","10","4"
"","Matt Mack","Radford","Jr.","3B","43","10","1"
"","Jack Marder","Oregon","So.","INF","41","10","2"
"","Jeramie Marek","A&M-Corpus Christi","Jr.","INF","45","10","4"
"","Justin Martinez","Northwestern St.","Sr.","INF","34","10","4"
"","Daniel Merck","Gardner-Webb","Sr.","INF","42","10","5"
"","Zac Mitchell","Belmont","Jr.","INF","45","10","4"
"","Taylor Motter","Coastal Caro.","Jr.","SS","45","10","2"
"","Tucker Nathans","Fairfield","Sr.","2B","37","10","2"
"","Chad Oberacker","Tennessee Tech","Sr.","P","41","10","1"
"","Greg Olson","Sam Houston St.","So.","OF","46","10","7"
"","Nick Orvin","Citadel","Jr.","OF","42","10","2"
"","Will Owens","Furman","Jr.","2B","45","10","3"
"","John Rasberry","Norfolk St.","Sr.","OF","37","10","1"
"","Anthony Rendon","Rice","Jr.","3B","44","10","4"
"","Matt Reynolds","Arkansas","So.","INF","41","10","2"
"","Ronnie Richardson","UCF","So.","OF","44","10","5"
"","T.J. Rivera","Troy","Sr.","2B","44","10","2"
"","Brance Rivera","TCU","Jr.","OF","44","10","1"
"","Ali Rodriguez","NYIT","So.","INF","30","10","2"
"","Shon Roe","Loyola Marymount","Jr.","INF","41","10","2"
"","Mj Schifano","Sacred Heart","Sr.","INF","43","10","4"
"","Casey Selsor","UTSA","Jr.","P","45","10","1"
"","Blake Slattery","Southeast Mo. St.","Sr.","OF","42","10","1"
"","Kevan Smith","Pittsburgh","Sr.","C","39","10","1"
"","Cody Smith","San Diego St.","Fr.","OF","42","10","1"
"","Dustin Sollars","Longwood","Jr.","OF","40","10","2"
"","Cam Stykemain","Niagara","Sr.","OF","39","10","3"
"","Zack Swasey","Hawaii","Jr.","OF","39","10","4"
"","Darnell Sweeney","UCF","So.","INF","44","10","2"
"","Spencer Theisen","Stetson","Jr.","OF","44","10","3"
"","Adam Brett Walker","Jacksonville","So.","C","42","10","0"
"","Landis Ware","Baylor","Sr.","INF","43","10","1"
"","Matt Wessinger","St. John's (NY)","Jr.","2B","39","10","5"
"","Troy White","Northern Ill.","Jr.","INF","41","10","5"
"","Brady Wilson","West Virginia","So.","OF","43","10","1"
"","Derrick Workman","Mercer","Fr.","OF","46","10","4"
"406","Brian Adams","Kentucky","So.","OF","36","9","2"
"","Aj Albee","Rider","Sr.","2B","40","9","2"
"","Breland Almadova","Hawaii","So.","OF","37","9","3"
"","Chris Benson","Utah Valley","Sr.","OF","38","9","3"
"","Cameron Bentley","UALR","Jr.","OF","37","9","3"
"","Zeke Blanton","Gardner-Webb","So.","-","33","9","4"
"","Tadd Bower","William & Mary","Jr.","INF","45","9","1"
"","Kenny Burns","Rhode Island","Sr.","OF","34","9","1"
"","Matt Burton","Mississippi Val.","Jr.","OF","44","9","2"
"","Pat Cantwell","Stony Brook","Jr.","C","40","9","2"
"","Eric Charles","Purdue","Jr.","INF","43","9","5"
"","Dave Ciocchi","Binghamton","Jr.","1B","37","9","2"
"","Philip Clark","East Carolina","So.","OF","40","9","3"
"","Trentt Copeland","Evansville","Jr.","INF","39","9","2"
"","Nick Crucet","Columbia","So.","2B","31","9","2"
"","Chris Davis","Alabama St.","Sr.","INF","30","9","3"
"","Mick Doyle","Notre Dame","Sr.","INF","38","9","3"
"","Zach Duggan","Pittsburgh","Sr.","OF","37","9","5"
"","Sam Eberle","Jacksonville St.","Jr.","INF","42","9","2"
"","Austin Elkins","Dallas Baptist","So.","INF","33","9","1"
"","Billy Ferriter","Connecticut","So.","OF","42","9","2"
"","Ryan Fuller","Connecticut","Jr.","INF","42","9","1"
"","Sebastian Gomez","Elon","Fr.","INF","39","9","0"
"","Ray Hernandez","Texas Southern","Jr.","INF","39","9","1"
"","Trey Holmes","Appalachian St.","Jr.","INF","44","9","4"
"","Brian Humphries","Pepperdine","Jr.","OF","38","9","1"
"","Ronald James","Alabama St.","Sr.","1B","31","9","2"
"","Brendon Kelliher","George Washington","Sr.","OF","43","9","0"
"","Mike Kindel","Kansas St.","Jr.","OF","43","9","1"
"","Jason King","Kansas St.","Jr.","INF","43","9","0"
"","Cory Krupp","Northern Ill.","Sr.","OF","26","9","0"
"","Ozzie Lamis","Southern U.","Sr.","INF","32","9","3"
"","Kurt Lee","Iowa","Sr.","SS","41","9","4"
"","Diego Lopez","Alabama A&M","Jr.","OF","38","9","2"
"","Matt Lowenstein","Loyola Marymount","So.","OF","41","9","5"
"","Brandon Loy","Texas","Jr.","SS","44","9","3"
"","Casey Lytle","Kansas","Sr.","OF","44","9","8"
"","Jeremy Maas","Penn","Sr.","P","36","9","3"
"","Conner Mach","Missouri","Jr.","INF","44","9","4"
"","Trey Martin","Southeastern La.","Sr.","OF","33","9","5"
