"Rank","Name","Team","Cl","Pos","G","AB","TB"
"46","Kelvin Brito","Lincoln Memorial","---","RF","28","105","64"
"","Nathan Galliford","Anderson (SC)","Jr.","OF","31","105","64"
"","Nick Howell","Trevecca Nazarene","Sr.","OF","25","98","64"
"","Sheehan Planas-Arteaga","Barry","Jr.","1B","27","97","64"
"50","Ben Agredano","Ark.-Monticello","Sr.","INF","31","121","63"
"","David Armendariz","Cal Poly Pomona","---","LF","26","109","63"
"","Raymond Crawford","Winston-Salem","Jr.","INF","30","114","63"
"","Andy Crowley","California Baptist","Jr.","OF","28","123","63"
"","Danny Droll","Neb.-Kearney","Jr.","INF","27","102","63"
"","Wes Koenig","St. Edward's","Sr.","1B","29","102","63"
"","Derrick Pitts","Lee","Sr.","OF","30","104","63"
"","Michael Wilson","Francis Marion","Sr.","INF","28","112","63"
"58","Jon Gray","Pfeiffer","Sr.","INF","30","123","62"
"","Bryant Hayman","Valdosta St.","Jr.","C","25","85","62"
"","Brandon Landanger","Neb.-Kearney","Jr.","OF","27","107","62"
"","Zach Smith","Erskine","Jr.","INF","26","97","62"
"62","Logan Galliher","Erskine","Jr.","OF","26","91","61"
"","Matt Kimmel","Azusa Pacific","Sr.","OF","22","84","61"
"","T.J. Wharton","Catawba","Jr.","C","28","107","61"
"65","Albert Baur","Newberry","Jr.","INF","31","120","60"
"","R.J. Dennard","Armstrong","Jr.","C","26","101","60"
"","Dalton Eisenbath","Mars Hill","So.","INF","32","110","60"
"","Cody Fox","Carson-Newman","Jr.","OF","31","109","60"
"","Austin Kaiser","Colorado Mesa","Sr.","OF","21","77","60"
"","Jimmy Obermark","Columbus St.","Sr.","SS","30","111","60"
"","Eric Serra","Wingate","Sr.","OF","28","97","60"
"","Tyler Vanover","Flagler","Sr.","OF","29","112","60"
"73","Clay Ardeeser","Georgia College","Jr.","INF","24","102","59"
"","Adam Moore","Young Harris","Sr.","P","31","119","59"
"","Blake Stringer","Okla. Christian","Sr.","1B","23","85","59"
"","Trey Vavra","Fla. Southern","Sr.","1B","29","109","59"
"77","Eric Barbieri","Newberry","Sr.","INF","31","118","58"
"","Thomas Kain","Lynn","Jr.","3B","29","108","58"
"","Blake Massey","Ala.-Huntsville","Sr.","INF","29","106","58"
"","KJ McAllister","Limestone","Sr.","SS","30","115","58"
"","Nick Perez","Saint Leo","Jr.","INF","21","85","58"
"","Evan Rogers","Mars Hill","So.","INF","32","125","58"
"","Zach Santos","Shorter","---","SS","28","102","58"
"","Rustin Thomas","Tarleton St.","Sr.","OF","23","86","58"
"","Brandon Wilson","Lubbock Christian","Fr.","1B","27","96","58"
"","Paul Winterbottom","Stillman","Jr.","INF","28","98","58"
"87","Austin Braddock","Ark.-Monticello","Jr.","DH","31","117","57"
"","Nick Chapman","West Tex. A&M","Jr.","OF","29","113","57"
"","Garrett Donohoe","East Central","Jr.","INF","29","99","57"
"","Chris Morley","Adams St.","So.","OF","25","91","57"
"91","Austin Allen","Florida Tech","So.","C","29","104","56"
"","Joshua Banuelos","Fresno Pacific","Jr.","INF","25","89","56"
"","Matt Calhoun","Harding","Sr.","INF","28","89","56"
"","Phillip Carroll","Mars Hill","So.","OF","32","113","56"
"","Blake Cooper","Eastern N.M.","Jr.","INF","26","86","56"
"","Nick Kranick","Flagler","Jr.","INF","29","107","56"
"","Joey Miller","Concord","Sr.","1B","22","72","56"
"98","Shane Billings","Wingate","Fr.","2B","28","113","55"
"","Sam Cothran","Erskine","So.","OF","24","88","55"
"","Trey Drewery","Tusculum","Sr.","OF","29","112","55"
"","Chris Farrell","Palm Beach Atl.","Jr.","3B","25","94","55"
"","Jay Gonzalez","Mount Olive","Sr.","OF","30","114","55"
"","Mitch Holgate","West Ala.","So.","INF","27","112","55"
"","Hunter Newman","Trevecca Nazarene","So.","1B","25","100","55"
"","Anthony Pacheco","Neb.-Kearney","So.","OF","27","102","55"
"","Jon Phillips","Southern Ark.","Jr.","INF","31","117","55"
"","Dillon Schroeder","Neb.-Kearney","Jr.","SS","24","93","55"
"","Daniel Young","Benedict","So.","3B","26","83","55"
"109","Hunter Boose","GRU Augusta","So.","C","23","87","54"
"","Kyle Booth","Limestone","Jr.","1B","30","106","54"
"","Brendan Collins","Columbus St.","Jr.","OF","32","132","54"
"","Chase Corn","Erskine","Sr.","OF","26","98","54"
"","Chris Dennis","Fla. Southern","Jr.","3B","29","107","54"
"","Dylan Harris","Saint Leo","Fr.","INF","27","107","54"
"","David King","Mars Hill","Jr.","DH","31","111","54"
"","Dalton Knight","UNC Pembroke","Jr.","INF","26","101","54"
"","Morgan McCasland","N.M. Highlands","Jr.","C","22","78","54"
"","Fernando Tanaka","Stillman","Jr.","INF","29","95","54"
"","Joe Tipton","Carson-Newman","So.","OF","30","116","54"
"120","Chris Carlson","Cal Poly Pomona","Sr.","OF","27","105","53"
"","Alex DeBellis","Lynn","Jr.","C","29","108","53"
"","Ryan Degner","Mo. Western St.","Jr.","OF","24","88","53"
"","Zade Denton","UNC Pembroke","Jr.","INF","29","110","53"
"","Mike Failoni","Lindenwood (MO)","Sr.","1B","25","82","53"
"","Sal Giardina","Lynn","Sr.","3B","29","98","53"
"","Steve Hazel","Georgia College","Jr.","C","23","78","53"
"","Ernie Kirkwood","Coker","Sr.","OF","28","99","53"
"","Andrew Kozak","Erskine","Jr.","OF","26","100","53"
"","Logan Moon","Mo. Southern St.","Sr.","OF","26","95","53"
"","Jesse Pintado","Lubbock Christian","---","SS","26","106","53"
"","Jake Sandlin","Georgia College","Jr.","INF","25","94","53"
"","Tom Valichka","Young Harris","Sr.","INF","30","110","53"
"","Brandon Weller","Mo. Southern St.","Jr.","INF","26","94","53"
"","Fran Whitten","Saint Leo","Sr.","P","27","84","53"
"135","Max Ayoub","Neb.-Kearney","Jr.","OF","23","78","52"
"","Anthony Diminio","Belmont Abbey","So.","OF","32","109","52"
"","Skippy Ferreria","Cal St. Stanislaus","Jr.","INF","26","100","52"
"","Skylar Fox","Flagler","Jr.","INF","28","116","52"
"","Keaton Hawks","Catawba","Sr.","OF","29","110","52"
"","Vinny Rodriguez","Montevallo","Jr.","OF","23","102","52"
"","Thomas Spitz","Wingate","Jr.","OF","28","101","52"
"","Landon Young","Southwest Baptist","Sr.","INF","24","87","52"
"143","Andrew Bartlett","Florida Tech","Sr.","INF","29","119","51"
"","Jordan Brower","Azusa Pacific","Jr.","1B","22","83","51"
"","Patrick Castleberry","Arkansas Tech","Jr.","C","28","98","51"
"","Tyler Coughenour","Angelo St.","Sr.","INF","28","96","51"
"","Ryan Cranmer","Newberry","Sr.","INF","26","101","51"
"","Tyler Ding","Tampa","Sr.","INF","26","101","51"
"","Matthew Fears","Valdosta St.","Sr.","INF","25","98","51"
"","Cooper Gunter","Limestone","Sr.","1B","30","103","51"
"","Matthew Haskins","Montevallo","Jr.","OF","30","116","51"
"","Dex Herrington","Delta St.","Sr.","OF","22","87","51"
"","Kevin Kline","Dixie St.","Jr.","INF","31","116","51"
"","Kevin Lenik","Hawaii Pacific","---","RF","21","70","51"
"","Jordan Lopez","Okla. Christian","Jr.","OF","23","84","51"
"","Ryan Metzler","S.C. Aiken","Jr.","INF","28","108","51"
"","Tyler Nordgren","Point Loma","Sr.","3B","27","100","51"
"","Eason Spivey","North Georgia","Jr.","C","26","99","51"
"","Tyler Summers","Pfeiffer","Sr.","INF","30","117","51"
"","Alvin Swoope","Nova Southeastern","Fr.","INF","28","107","51"
"","Chase Williams","Miles","So.","C","24","96","51"
"","Zack Willoughby","Montevallo","Jr.","OF","30","114","51"
"","Brad Wilson","Central Mo.","Sr.","OF","25","88","51"
"164","Nick Baldelli-Boggs","Stillman","Fr.","P","25","83","50"
"","Tyler Blair","Dixie St.","Sr.","1B","31","115","50"
"","David Chew","Mo. Western St.","Sr.","OF","24","90","50"
"","Matt Johnson","Central Okla.","Sr.","INF","23","77","50"
"","Sean Miller","S.C. Aiken","So.","INF","28","101","50"
"","Tyler Tichenor","Trevecca Nazarene","So.","OF","25","97","50"
"170","Andrew Arteaga","Tex. A&M Int'l","---","RF","29","113","49"
"","Chandler Brock","Ala.-Huntsville","Jr.","OF","29","104","49"
"","JC Cardenas","Barry","So.","SS","27","97","49"
"","Paul Como","Anderson (SC)","Sr.","OF","31","117","49"
"","Ben Donath","S.C. Aiken","Sr.","INF","27","94","49"
"","Chris Faulkner","Southwestern Okla.","Sr.","OF","25","86","49"
"","David Hebert","West Tex. A&M","Sr.","INF","29","113","49"
"","Taylor Hinshaw","Georgia College","Sr.","OF","23","84","49"
"","Mark Hurley","Cal St. Monterey Bay","Sr.","OF","29","107","49"
"","Grant McKown","Florida Tech","Fr.","INF","28","92","49"
"","Drew McLaughlin","Dixie St.","Fr.","SS","30","120","49"
"","Brody Miller","Mont. St. Billings","Jr.","INF","24","86","49"
"","Tyler Raymond","King (TN)","Jr.","OF","30","87","49"
"","JD Sabo","GRU Augusta","Sr.","OF","28","115","49"
"","Chance San Miguel","Southern Nazarene","Sr.","C","28","103","49"
"","Rob Shipman","Mount Olive","Jr.","1B","27","96","49"
"","Chevis Springer","Southeastern Okla.","Sr.","OF","28","107","49"
"","Tremayne Toorie","North Georgia","Jr.","OF","26","112","49"
"","J.D. Wallace","King (TN)","Sr.","C","29","99","49"
"","Drew Wold","Adams St.","Sr.","OF","25","90","49"
"190","Cody Ball","Pittsburg St.","Sr.","OF","24","77","48"
"","Matthew Burks","Eastern N.M.","Jr.","OF","28","102","48"
"","Josh Clark","Wingate","Jr.","C","28","103","48"
"","Joseph Eusebio","Cal Poly Pomona","Sr.","OF","27","109","48"
"","Bryan Everhart","Carson-Newman","Jr.","3B","32","103","48"
"","Blake Houston","Catawba","Jr.","OF","29","112","48"
"","Paul Johnson","Northwest Mo. St.","Jr.","INF","23","87","48"
"","Mario Maldonado","St. Mary's (TX)","Jr.","P","29","100","48"
"","Jim Martin","Union (TN)","Jr.","1B","27","97","48"
"","Brian Mathews","Shorter","---","1B","28","99","48"
"","Reise McDaniel","Albany St. (GA)","---","CF","31","113","48"
"","Alex McKeon","Tex. A&M Int'l","Jr.","C","26","90","48"
"","Blair Moore","California Baptist","Sr.","INF","28","105","48"
"","Ivan Vieitez","Lenoir-Rhyne","Jr.","OF","27","89","48"
