"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"87","Joe Gunkel","West Chester","So.","P","8","52.0","10","1.73"
"88","Nic Kovacs","Palm Beach Atl.","Jr.","P","17","67.3","13","1.74"
"89","Ryan Goodbrand","UC San Diego","Jr.","P","12","77.3","15","1.75"
"90","Rob Spragis","Philadelphia U.","So.","P","31","46.0","9","1.76"
"91","Brad McAllister","Barry","Jr.","P","11","61.0","12","1.77"
"92","Josh Branstetter","Delta St.","Jr.","P","12","86.3","17","1.77"
"93","John Yohe","Bentley","Jr.","P","12","76.0","15","1.78"
"94","Matthew Cascello","Queens (NY)","So.","P","9","60.3","12","1.79"
"","Tadd Johnansen","Wayne St. (NE)","Jr.","P","10","60.3","12","1.79"
"96","David Hatt","Wilmington (DE)","Jr.","P","21","65.3","13","1.79"
"97","Sean Hayden","St. Anselm","Sr.","P","12","65.0","13","1.80"
"","Bobby Hopkins","Chestnut Hill","Jr.","P","14","75.0","15","1.80"
"99","S Wells","Winston-Salem","Fr.","-","10","54.3","11","1.82"
"100","Wyatt Brown","S.C. Aiken","Jr.","P","17","64.0","13","1.83"
"101","Ryan Weatherholtz","Concord","So.","P","16","83.3","17","1.84"
"102","Brandon Simmons","Mo. Western St.","Jr.","P","12","78.3","16","1.84"
"103","Justin Pasichnyk","Southwest Baptist","Jr.","P","12","58.7","12","1.84"
"104","Jon Boersma","Cal St. Dom. Hills","Sr.","P","14","53.7","11","1.84"
"105","Kevin Bosson","Cal Poly Pomona","Jr.","P","11","68.3","14","1.84"
"106","Zach Pettiford","Tex. A&M-Kingsville","Jr.","P","10","48.7","10","1.85"
"107","Jamie Treml","Wilmington (DE)","So.","P","29","63.0","13","1.86"
"108","Tyler Vails","Stillman","So.","P","20","53.3","11","1.86"
"109","Rick Teasley","Saint Leo","Jr.","P","12","67.7","14","1.86"
"110","Taylor Keinat","North Ga.","Fr.","P","18","62.3","13","1.88"
"111","Aaron Newcomb","Delta St.","Sr.","P","11","81.3","17","1.88"
"","Lucas Waddell","Harding","Jr.","P","12","81.3","17","1.88"
"113","Kyle Petty","California (PA)","Jr.","P","12","71.7","15","1.88"
"114","David Reese","Mo. Southern St.","So.","P","11","52.3","11","1.89"
"115","Dan Bradley","Assumption","Jr.","INF","7","57.0","12","1.89"
"","Jack Crawford","Franklin Pierce","Sr.","P","10","57.0","12","1.89"
"117","Mike Gonzalez","Nova Southeastern","Jr.","P","12","42.7","9","1.90"
"118","Don Sandifer","Francis Marion","Jr.","P","27","47.3","10","1.90"
"119","Junior Mendez","Southern N.H.","So.","P","14","75.3","16","1.91"
"120","John Hailey","St. Augustine's","---","P","17","89.3","19","1.91"
"121","Nick Venditti","Ohio Dominican","Jr.","P","12","65.3","14","1.93"
"122","Mike Nicks","Wis.-Parkside","Sr.","P","10","69.7","15","1.94"
"123","Garrett Carpenter","Colorado Mesa","Jr.","P","11","64.7","14","1.95"
"","Josh Rolan","Central Okla.","Sr.","P","12","64.7","14","1.95"
"125","Ryan Leach","Franklin Pierce","So.","P","13","60.0","13","1.95"
"126","Austin Leary","Stillman","Sr.","P","14","64.3","14","1.96"
"127","Janson Carr","Southern Ark.","So.","P","14","55.0","12","1.96"
"","Caleb Whiteley","Dominican (NY)","Jr.","P","11","55.0","12","1.96"
"129","Marc Rutledge","Dowling","Sr.","P","14","73.3","16","1.96"
"130","Evan Hart","Chowan","Fr.","P","19","50.3","11","1.97"
"131","Derek Beasley","S.C. Aiken","So.","P","21","64.0","14","1.97"
"132","Casey Cooperman","Bloomsburg","So.","P","10","45.7","10","1.97"
"133","Gabe Wallmeyer","Belmont Abbey","Jr.","P","13","82.0","18","1.98"
"134","Tyler Carman","Florida Tech","Sr.","P","14","68.3","15","1.98"
"135","Kodey Simon","Winona St.","Sr.","P","11","59.0","13","1.98"
"136","Tyler Bean","Washburn","Sr.","INF","8","49.7","11","1.99"
"137","Spencer Jordan","Francis Marion","Jr.","P","13","81.3","18","1.99"
"138","Jake Moser","Mount Olive","Sr.","P","13","90.0","20","2.00"
"139","Adam Kramer","Concordia-St. Paul","So.","P","10","53.7","12","2.01"
"","Jason Sirak","N.M. Highlands","Sr.","P","14","53.7","12","2.01"
"141","Harvey Martin","Minn. St. Mankato","Jr.","OF","10","58.0","13","2.02"
"142","Maso Cotton","Virginia St.","So.","P","13","66.3","15","2.04"
"143","Anthony Campanella","Grand Valley St.","Jr.","P","11","53.0","12","2.04"
"144","Matthew Anderson","Lincoln (PA)","Fr.","P","9","44.0","10","2.05"
"145","Miles Campbell","Bemidji St.","So.","P","12","52.7","12","2.05"
"146","Brett Ash","Washburn","Jr.","P","9","57.0","13","2.05"
"","Robert Kelly","St. Anselm","Jr.","1B","10","57.0","13","2.05"
"148","Travis Terrill","Merrimack","So.","P","18","61.3","14","2.06"
"149","Mike Dunn","Clarion","So.","P","8","47.7","11","2.08"
"150","John Healy","St. Anselm","Sr.","P","11","78.0","18","2.08"
"151","Warren Hammel","West Va. Wesleyan","Sr.","P","14","69.3","16","2.08"
"152","Brett Mueller","Rollins","Fr.","P","12","56.3","13","2.08"
"153","Casey McCarthy","Cal St. San B'dino","Sr.","P","11","82.0","19","2.09"
"154","Ryan Gibbard","Lynn","Jr.","P","12","69.0","16","2.09"
"155","Carson Beauchaine","Saginaw Valley","Jr.","P","7","43.0","10","2.09"
"156","John Albert","Hawaii Pacific","Fr.","P","13","73.0","17","2.10"
"157","Scott Lieser","St. Cloud St.","Jr.","P","14","68.0","16","2.12"
"","Bryce Miller","Cal St. East Bay","Sr.","P","10","68.0","16","2.12"
"159","A.J. Gallardo","Cal St. East Bay","Sr.","P","13","50.7","12","2.13"
"160","Taylor Rakes","Tusculum","Jr.","P","14","76.0","18","2.13"
"161","Cory Caruso","Cal St. San B'dino","Sr.","P","11","71.3","17","2.15"
"162","Andrew Hyde","Notre Dame (OH)","Sr.","P","10","58.7","14","2.15"
"163","Ryan Houston","West Tex. A&M","Jr.","P","11","62.7","15","2.15"
"164","Jorge Perez","Grand Canyon","Fr.","P","11","54.3","13","2.15"
"165","Ethan Bader","Armstrong","So.","P","24","96.0","23","2.16"
"166","Adam Peters","Neb.-Kearney","Jr.","P","11","50.0","12","2.16"
"167","Nathan Nietfeld","Northern St.","Jr.","P","12","62.3","15","2.17"
"168","Hayden Walch","Northeastern St.","Fr.","P","16","49.7","12","2.17"
"169","Drew Bryson","West Fla.","Jr.","P","17","62.0","15","2.18"
"170","David Arredondo","Cal St. L.A.","Sr.","P","10","53.7","13","2.18"
"171","Chris Chojnowski","St. Joseph's (IN)","Sr.","P","15","45.3","11","2.19"
"","Bryant Hollingsworth","Cal St. San B'dino","Sr.","P","10","45.3","11","2.19"
"173","Casey Jacobson","Augustana (SD)","Sr.","P","13","69.7","17","2.20"
"174","Tomas Duffek","Mo.-St. Louis","Sr.","P","8","49.0","12","2.20"
"","Craig Jacobs","Nyack","Fr.","INF","22","49.0","12","2.20"
"","Derek Younker","Pitt.-Johnstown","So.","P","14","49.0","12","2.20"
"177","Brandon Renoll","Lock Haven","So.","P","11","53.0","13","2.21"
"","Jake Stevenson","Pittsburg St.","Fr.","P","13","53.0","13","2.21"
"","Michael White","Stonehill","Sr.","OF","10","53.0","13","2.21"
"180","Kyle Long","Central Wash.","Sr.","P","12","65.0","16","2.22"
"181","Eric Meyerchick","St. Joseph's (IN)","Sr.","P","11","72.7","18","2.23"
"182","Joe Salanitri","Queens (NY)","So.","INF","10","56.3","14","2.24"
"183","Bo Budkevics","C.W. Post","Jr.","P","16","68.0","17","2.25"
"","Taylor Herbert","Sonoma St.","Jr.","P","12","44.0","11","2.25"
"","Dallas Nunes","Mass.-Lowell","Sr.","P","34","48.0","12","2.25"
"186","Jake Feckley","Angelo St.","So.","INF","11","55.7","14","2.26"
"187","Dan Bartlett","Caldwell","So.","P","8","51.3","13","2.28"
"188","Daniel Sterling","Eastern N.M.","Jr.","P","9","47.3","12","2.28"
"189","Jake Guengerich","Fla. Southern","Sr.","P","14","43.3","11","2.29"
"190","Austen Wisroth","Wayne St. (NE)","Sr.","P","9","55.0","14","2.29"
"191","Jon Wandling","Ky. Wesleyan","So.","P","11","70.7","18","2.29"
"192","Jordan Wellander","Barry","Sr.","P","11","62.7","16","2.30"
"193","Erick Ruvalcaba","Cal Poly Pomona","Jr.","P","12","94.0","24","2.30"
"194","Adam Sigmon","Tusculum","Jr.","P","13","78.3","20","2.30"
"195","Craig Goodman","Tusculum","Sr.","P","12","86.0","22","2.30"
"196","Ryan Milewski","S.C. Aiken","Jr.","P","19","66.3","17","2.31"
"197","Aaron Brandt","Saint Leo","Sr.","P","12","62.3","16","2.31"
"","Jake Stephens","West Fla.","Jr.","P","12","62.3","16","2.31"
"199","Jaden Dillon","Tex. A&M-Kingsville","Sr.","P","12","70.0","18","2.31"
"200","Dillon McNamara","Adelphi","Jr.","P","11","58.3","15","2.32"
