"Rank","Name","Team","Cl","Pos","G","RBI"
"","Billy Steel","Chris. Newport","Fr.","INF","44","42"
"","Nick Stoia","Franklin","So.","INF","34","42"
"54","Brandon Benton","Mississippi Col.","Sr.","OF","37","41"
"","William Bissell","Gallaudet","Fr.","OF","42","41"
"","Mike Domenick","North Park","Sr.","INF","35","41"
"","David Giglio","Scranton","Sr.","INF","33","41"
"","Travis May","Washington-St. Louis","Sr.","INF","46","41"
"","Joseph Odom","Huntingdon","Fr.","C","40","41"
"","Josef Schaetzle","Old Westbury","Sr.","DH","41","41"
"","John Snyder","Marietta","Sr.","OF","32","41"
"","Brett VanAsdlen","Aurora","Jr.","1B","33","41"
"63","Connor Bierfeldt","Western Conn. St.","So.","P","29","40"
"","Matt Bittner","Penn St.-Behrend","So.","INF","31","40"
"","Cole Bixenman","Linfield","Sr.","C","37","40"
"","Kevin Brashears","Shenandoah","Sr.","OF","39","40"
"","Ryan Dudzinski","Western New Eng.","Sr.","OF","40","40"
"","Ryan Pacyga","Concordia Chicago","So.","1B","33","40"
"","Patrick Riebsame","Emory","Sr.","OF","42","40"
"","John Smolinski","Manchester","Sr.","C","36","40"
"","Tyler Turgeon","Eastern Conn. St.","Sr.","P","34","40"
"","Pat Warrington","Southern Vt.","Jr.","OF","36","40"
"73","Beau Banglesdorf","East. Mennonite","Jr.","OF","36","39"
"","Trey Forbes","Manchester","Sr.","C","36","39"
"","Johnny Phelps","Pitt.-Bradford","So.","1B","31","39"
"","Mike Rubino","Western New Eng.","So.","INF","40","39"
"","Nick Stein","Coe","So.","OF","34","39"
"","Max Stepan","Willamette","Sr.","C","39","39"
"79","Shane Bennett","Mississippi Col.","Sr.","INF","40","38"
"","Taylor Berlin","Hardin-Simmons","Sr.","1B","42","38"
"","Nate Carlson","Redlands","Sr.","INF","37","38"
"","Curtis Cornett","Piedmont","Jr.","INF","43","38"
"","Austin Driggers","Wheaton (IL)","Jr.","C","36","38"
"","Derrek Etsell","Neumann","Jr.","OF","31","38"
"","Anthony Genna","Webster","Sr.","INF","34","38"
"","Justin Jirschele","Wis.-Stevens Point","Jr.","3B","33","38"
"","Todd Keneborus","St. Joseph's (ME)","Sr.","OF","40","38"
"","Gary Levesque","Rhode Island Col.","Sr.","DH","32","38"
"","Kyle Moody","St. Scholastica","Jr.","C","28","38"
"","Donald Morse","Elms","Jr.","OF","33","38"
"","Bobby Newman","Rose-Hulman","So.","3B","35","38"
"","David Seibel","Wabash","Sr.","INF","41","38"
"","Prateek Thaman","St. Joseph's (L.I.)","Jr.","OF","35","38"
"","Clayton Truex","Linfield","So.","INF","37","38"
"","Greg Van Sickler","Shenandoah","Sr.","P","39","38"
"","Drew Zuckerman","Transylvania","Sr.","C","29","38"
"97","Jeff Donovan","Wis.-Whitewater","Sr.","INF","32","37"
"","Kenny Durling","Misericordia","So.","OF","34","37"
"","Leo Fusilli","St. John Fisher","Sr.","C","29","37"
"","Cody Koback","Wis.-Stevens Point","Jr.","P","33","37"
"","Shawn Lovette","Methodist","Sr.","INF","44","37"
"","Alvin Mata","Baruch","Jr.","OF","36","37"
"","Alexander Melcher","Salve Regina","Sr.","INF","39","37"
"","Nick Nolan","Kean","Sr.","OF","37","37"
"","Brandon Peterson","St. Scholastica","Jr.","OF","30","37"
"","Brandon Ricco","Birmingham-So.","Sr.","INF","36","37"
"","Sam Stahl","George Fox","Sr.","INF","35","37"
"","Trey Such","Methodist","Jr.","C","44","37"
"","Brandon Thigpen","Methodist","So.","INF","43","37"
"","Tucker White","Southern Me.","So.","OF","29","37"
"","Justin Zeller","Wheaton (IL)","Jr.","OF","36","37"
"112","Erik Bergstrom","Keene St.","Jr.","INF","35","36"
"","Jeff Butera","Haverford","Sr.","OF","38","36"
"","Wilmer Chavez","John Jay","Sr.","P","34","36"
"","Thomas Daly","Baruch","Jr.","OF","36","36"
"","Jeff Forgerson","Hendrix","Sr.","INF","41","36"
"","Zach Frentsos","Ohio Wesleyan","Sr.","OF","38","36"
"","Ken Gregory","Kean","Sr.","OF","37","36"
"","Kevin Hendricks","Benedictine (IL)","So.","OF","34","36"
"","Brian Henry","Keystone","Sr.","C","33","36"
"","Casey Hicks","Gallaudet","Fr.","C","42","36"
"","T.J. Martin","Texas-Tyler","So.","3B","39","36"
"","Zac Mathie","Wooster","Fr.","OF","34","36"
"","Tim Saunders","Marietta","Jr.","OF","32","36"
"","Jesse Sikorski","Johns Hopkins","Sr.","OF","35","36"
"","Colin Sitarz","Endicott","Jr.","OF","40","36"
"","Matt Thompson","McMurry","Jr.","1B","41","36"
"","Travis Wrambel","Alvernia","Jr.","OF","25","36"
"","Ryan Yezak","East Tex. Baptist","Sr.","INF","40","36"
"130","Jason Cohen","DePauw","So.","INF","40","35"
"","Felix Colarte","Mitchell","Jr.","OF","28","35"
"","Chris Colquhoun","Lynchburg","Sr.","C","38","35"
"","Daniel Covert","Greenville","Sr.","OF","31","35"
"","Mike Galeotafiore","TCNJ","Jr.","C","35","35"
"","Joe Giaimo","Wesleyan (CT)","Sr.","1B","33","35"
"","Drew Harrell","Huntingdon","Sr.","DH","40","35"
"","Cord Heine","Penn St.-Altoona","Jr.","OF","35","35"
"","Aaron Hopper","Marietta","So.","OF","31","35"
"","Oscar Ibieta","Schreiner","Sr.","1B","37","35"
"","Taylor Irwin","Sewanee","Sr.","3B","27","35"
"","Art Levenson","Rensselaer","Jr.","OF","32","35"
"","Ben Lowmaster","Allegheny","Jr.","C","28","35"
"","Dan Matkovic","Elmhurst","Sr.","OF","34","35"
"","Alex Meadow","Wesleyan (CT)","Jr.","INF","34","35"
"","Angus Neary","Wilkes","Jr.","INF","35","35"
"","Cory Nelson","Shenandoah","Jr.","3B","39","35"
"","Ryan Normoyle","Washington Col.","Jr.","SS","35","35"
"","Eric Rosenberg","Brandeis","Sr.","1B","39","35"
"","Landon Scott","Whitworth","Jr.","INF","40","35"
"","Chase Valdez","Schreiner","So.","C","35","35"
