"Rank","Name","Team","Cl","Pos","G","SF"
"","Matt Mays","Urbana","Sr.","OF","43","5"
"","Pat McCarthy","Seton Hill","So.","INF","40","5"
"","Kameron McCreless","Stillman","So.","INF","42","5"
"","Josh Miller","S.C. Aiken","Jr.","C","46","5"
"","Brett Moreland","Flagler","Jr.","C","49","5"
"","Christopher Moye","Benedict","Sr.","C","37","5"
"","Jacob O'Keefe","Mass.-Lowell","Fr.","C","36","5"
"","Ernesto Ortiz","Grand Canyon","Sr.","SS","39","5"
"","Jordan Owens","Lander","Sr.","1B","48","5"
"","Mike Page","Indianapolis","Sr.","INF","44","5"
"","Mike Palkovitz","Pitt.-Johnstown","Fr.","P","43","5"
"","Heath Peterson","Montevallo","Sr.","1B","49","5"
"","Kevin Phillips","Southeastern Okla.","Sr.","INF","47","5"
"","Sean Reilly","Rollins","Sr.","C","43","5"
"","Carl Roberts","King (TN)","So.","INF","39","5"
"","Drew Rodela","Cal St. Dom. Hills","Sr.","OF","44","5"
"","Beau Rogers","St. Edward's","Jr.","OF","37","5"
"","Justin Rosales","Colorado Mesa","Jr.","2B","39","5"
"","Mark Sanborn","Mass.-Lowell","Sr.","1B","42","5"
"","Anthony Santa","Saint Leo","Sr.","1B","39","5"
"","Ethan Satterfield","Catawba","So.","OF","52","5"
"","Luis Serrano","Paine","Jr.","C","51","5"
"","T.J. Shea","Southern Conn. St.","So.","C","39","5"
"","Vince Smarrelli","Bloomsburg","So.","INF","45","5"
"","Kelend Smith","Miles","Fr.","1B","41","5"
"","Allen Staton","North Greenville","Fr.","P","53","5"
"","Zach Stone","Millersville","Jr.","3B","46","5"
"","Eric Swain","Northwest Mo. St.","Jr.","INF","44","5"
"","Alex Trojan","Wayne St. (MI)","Sr.","3B","41","5"
"","Lance Vannoy","Davis & Elkins","Fr.","OF","36","5"
"","Andy Vogel","Newberry","Jr.","INF","48","5"
"","Donald Walter","Cal Poly Pomona","Jr.","OF","48","5"
"","Jordan White","Ky. Wesleyan","Sr.","OF","45","5"
"","Justin Winters","Hawaii Pacific","Jr.","INF","29","5"
"","Keith Wolf","Coker","Jr.","SS","46","5"
"","Mike Zeiner","Stonehill","Jr.","SS","44","5"
"111","Matt Adamczyk","Mercyhurst","Sr.","C","48","4"
"","Troy Ajer","Hawaii Pacific","Sr.","OF","28","4"
"","David Allday","Southern Ark.","Sr.","1B","46","4"
"","Tate Allison","Angelo St.","Sr.","OF","44","4"
"","Andrew Almon","North Ala.","Jr.","3B","50","4"
"","null Ammar","Wheeling Jesuit","Fr.","-","39","4"
"","Vincente Andrews","Montevallo","Jr.","OF","46","4"
"","Joe Antenucci","St. Thomas Aquinas","Sr.","OF","44","4"
"","Zac Asman","Northern Ky.","So.","OF","43","4"
"","Ty Barkell","S.C. Aiken","Fr.","1B","49","4"
"","Charlie Basil","Colorado Mines","So.","OF","35","4"
"","Brandon Bates","St. Mary's (TX)","Jr.","DH","49","4"
"","Aaron Bingham","Urbana","So.","OF","42","4"
"","Kyle Blackwell","Western Ore.","Jr.","C","30","4"
"","Ryan Bostian","Catawba","Sr.","OF","50","4"
"","Tyler Bourdo","S.C. Aiken","Sr.","INF","47","4"
"","Steven Brault","Regis (CO)","So.","P","39","4"
"","Ryan Brockett","New Haven","Sr.","SS","38","4"
"","Kyle Buchanan","Belmont Abbey","Sr.","C","51","4"
"","Brayan Cacique","Lake Erie","Sr.","OF","43","4"
"","Jacob Campbell","Albany St. (GA)","So.","OF","41","4"
"","Joe Candela","Dowling","Jr.","INF","39","4"
"","Seve Carbajal","Colo. Christian","Sr.","OF","47","4"
"","Josh Carpenter","North Ala.","So.","SS","50","4"
"","Reid Carter","Neb.-Kearney","Fr.","OF","34","4"
"","Preston Cash","Northeastern St.","Fr.","INF","43","4"
"","Matthew Ciraco","Le Moyne","Sr.","OF","36","4"
"","Michael Cleary","Southern Conn. St.","Jr.","OF","42","4"
"","Julian Concepcion","American Int'l","Sr.","INF","38","4"
"","Tripper Crisson","Tusculum","Jr.","INF","52","4"
"","Kyle Crist","Davis & Elkins","Jr.","P","46","4"
"","Jayden Darrington","Dixie St.","Fr.","C","30","4"
"","Alexander Davie","Kentucky St.","Fr.","-","36","4"
"","Eric Dawson","Emporia St.","Jr.","INF","41","4"
"","Patrick Dockendorf","Minn. St. Mankato","Sr.","INF","40","4"
"","Logan Dollar","Columbus St.","Sr.","1B","49","4"
"","Cory Dorman","Lock Haven","Sr.","OF","44","4"
"","Bryan Dorsey","Southern Conn. St.","Sr.","OF","42","4"
"","Eric Dorton","West Tex. A&M","So.","OF","37","4"
"","Markus Duckworth","North Greenville","Sr.","OF","51","4"
"","Daniel Duran","Cal St. L.A.","Sr.","INF","42","4"
"","Tyler Durant","Northwest Mo. St.","Jr.","OF","40","4"
"","Jordan Easom","West Tex. A&M","Sr.","OF","45","4"
"","Brian Ernst","East Stroudsburg","Jr.","1B","46","4"
"","Percy Evans","Virginia St.","So.","INF","43","4"
"","Bryce Feller","Indianapolis","Jr.","OF","24","4"
"","Jonathan Finnegan","Arkansas Tech","Jr.","INF","48","4"
"","Brooks Fleming","Palm Beach Atl.","So.","OF","36","4"
"","Miguel Flores","San Fran. St.","Jr.","INF","45","4"
"","Mitch Frey","Henderson St.","Jr.","SS","44","4"
"","Tanner Funk","Georgia College","Sr.","SS","48","4"
"","Evan Gallagher","East Stroudsburg","Sr.","SS","45","4"
"","Joe Gallub","Concordia (NY)","So.","OF","36","4"
"","Keegan Ghidotti","Ouachita Baptist","So.","P","46","4"
"","Blake Gibbs","Cal St. Chico","Jr.","OF","46","4"
"","Logan Gillis","Bentley","Jr.","INF","46","4"
"","Chris Glynn","Wis.-Parkside","Jr.","INF","43","4"
"","Chase Graskewicz","Central Mo.","Jr.","C","41","4"
"","Ryan Greer","Angelo St.","Jr.","OF","50","4"
"","Joshua Grooms","Miles","Fr.","OF","32","4"
"","Ryan Hathaway","Charleston (WV)","Sr.","OF","44","4"
"","Justin Henderson","West Tex. A&M","Jr.","OF","43","4"
"","Logan Hunter","Stillman","So.","INF","37","4"
"","Jacob Karr","Wingate","Sr.","INF","55","4"
"","Evan King","Millersville","Jr.","2B","46","4"
"","Garrett Kiser","West Virginia St.","Jr.","1B","45","4"
"","Kyle Koeneman","Carson-Newman","Sr.","1B","49","4"
"","Fico Kondla","Coker","So.","3B","45","4"
"","Mace Krol","Fort Hays St.","Sr.","INF","44","4"
"","Nick La Face","UC San Diego","So.","C","48","4"
"","Austin Lastimado","Pittsburg St.","Jr.","INF","44","4"
"","Ryan Lewicki","West Va. Wesleyan","Jr.","1B","43","4"
"","Michael Lott","Shepherd","So.","OF","46","4"
"","Casey Maloney","Armstrong","Jr.","OF","48","4"
"","J.P. Maples","Central Okla.","Jr.","OF","34","4"
"","Blaine Matthews","Washburn","---","INF","39","4"
"","Jeff May","Lander","Jr.","C","48","4"
"","Brock McCallister","Francis Marion","Sr.","INF","47","4"
"","Gavan McCauley","Southern Ark.","Sr.","OF","41","4"
"","Josh McElwee","Newberry","Sr.","P","39","4"
"","Dodson McPherson","Wingate","Sr.","OF","55","4"
"","Bobby Mclaughlin","Alderson-Broaddus","Jr.","INF","45","4"
"","Tyler Migl","St. Mary's (TX)","Sr.","OF","49","4"
"","Ken Morgan","Clarion","Sr.","C","37","4"
"","Chad Murphy","Shepherd","Jr.","C","46","4"
"","Dennis Murphy","USciences","Sr.","C","33","4"
"","Travis Murrary","Palm Beach Atl.","Sr.","C","40","4"
"","Brett Neill","Drury","Jr.","INF","42","4"
"","Aj Nunziato","Lander","Sr.","INF","48","4"
"","Jordan Oncay","Wilmington (DE)","Sr.","OF","41","4"
"","Aaron Parnell","UNC Pembroke","Sr.","INF","49","4"
"","Robert Patete","East Stroudsburg","Fr.","3B","42","4"
"","Kean Paxton","Bemidji St.","So.","2B","23","4"
"","Nick Pressley","Lincoln Memorial","Sr.","C","49","4"
"","Rusty Rainey","Bluefield St.","Fr.","P","42","4"
"","Patrick Ramirez","West Tex. A&M","So.","C","33","4"
"","Micah Reaves","West Ala.","Sr.","C","46","4"
"","German Reyes","Winston-Salem","Jr.","INF","47","4"
"","Michael Robbins","Winston-Salem","Sr.","C","49","4"
"","Fernando Robles","Northwest Nazarene","Jr.","INF","39","4"
"","Jacob Rogers","Mount Olive","Sr.","3B","48","4"
"","Tommy Roush","Findlay","Jr.","INF","44","4"
"","Drew Ryan","Urbana","So.","3B","43","4"
"","Austin Rycroft","Central Okla.","Sr.","OF","48","4"
"","Jimmy Ryerson","Central Wash.","Jr.","OF","33","4"
"","Frank Salerno","St. Thomas Aquinas","Jr.","INF","45","4"
"","Erick Sanderson","Anderson (SC)","Jr.","INF","43","4"
"","Colton Schoelkopf","Colorado Mesa","So.","C","38","4"
"","Brad Shankle","Southeastern Okla.","Sr.","C","40","4"
"","Spencer Shockley","Mo. Western St.","Jr.","INF","44","4"
"","Tyler Shover","Shippensburg","Jr.","C","46","4"
"","Justin Sizemore","Palm Beach Atl.","Sr.","1B","38","4"
"","Dan Skelly","Northeastern St.","Sr.","C","46","4"
"","Jake Sloan","North Ala.","Sr.","P","50","4"
"","Nick Smith","Cameron","Jr.","OF","46","4"
"","Dylan Songer","Indiana (PA)","Sr.","1B","48","4"
"","Buddy Sosnoskie","Francis Marion","Sr.","OF","47","4"
"","Lee Spinelle","Eckerd","Jr.","INF","43","4"
"","Frank Suarez","Coker","Jr.","C","45","4"
"","Javi Sujo","Nova Southeastern","Sr.","INF","38","4"
"","Kale Sumner","Hawaii Pacific","Jr.","INF","44","4"
"","Adam Taylor","North Greenville","Jr.","OF","53","4"
"","Brett Teschner","Columbus St.","Jr.","C","49","4"
"","Peter Testa","Southern Conn. St.","Sr.","OF","42","4"
"","William VanWinkle","Paine","Jr.","1B","46","4"
"","Lee Voth-Gaeddert","Missouri S&T","Sr.","OF","39","4"
"","George Wargo","St. Thomas Aquinas","Sr.","C","40","4"
"","Eric Weiss","Columbus St.","Sr.","OF","44","4"
"","Nathan Wilson","Coker","Jr.","1B","44","4"
"","Ross Wolfe","Southwest Baptist","Fr.","INF","42","4"
"","Andrew Woolfe","Cal St. East Bay","Sr.","INF","40","4"
"","Brian Yeung","Wingate","Jr.","INF","55","4"
"","Kevin Zak","Grand Valley St.","Fr.","INF","44","4"
