"Rank","Name","Team","Cl","Pos","G","AB","H"
"","D.J. Hicks","UCF","Jr.","DH","43","158","56"
"","Ryan Hutchison","Western Ky.","Jr.","OF","44","187","56"
"","Angel Ibanez","Tex.-Pan American","So.","INF","37","157","56"
"","Sean Jamieson","Canisius","Sr.","SS","42","148","56"
"","Zach Johnson","Oklahoma St.","Jr.","1B","42","160","56"
"","Koby Kraemer","Indiana St.","So.","INF","42","167","56"
"","Dave Milanes","Navy","So.","C","48","180","56"
"","Colin Moran","North Carolina","Fr.","3B","43","161","56"
"","Max Muncy","Baylor","So.","1B","45","175","56"
"","Robby Ort","Indiana St.","So.","OF","41","160","56"
"","Will Owens","Furman","Jr.","2B","45","178","56"
"","D.J. Peterson","New Mexico","Fr.","3B","45","178","56"
"","Dario Pizzano","Columbia","So.","OF","43","156","56"
"","Andrew Rash","Virginia Tech","So.","OF","42","158","56"
"","Victor Roache","Ga. Southern","So.","OF","44","172","56"
"","Joe Sclafani","Dartmouth","Jr.","SS","38","155","56"
"","Ronnie Shaban","Virginia Tech","Jr.","INF","45","183","56"
"","Tyler Spillner","Purdue","Jr.","OF","43","175","56"
"","Cody Terry","UT Martin","Sr.","SS","41","167","56"
"","Devon Travis","Florida St.","So.","2B","44","171","56"
"","Brady Wilson","West Virginia","So.","OF","43","168","56"
"267","Cody Asche","Nebraska","Jr.","3B","44","173","55"
"","Andy Chriscaden","Kennesaw St.","Jr.","INF","43","170","55"
"","Steve Cochrane","Ga. Southern","Sr.","INF","44","160","55"
"","Johnny Coy","Wichita St.","So.","INF","46","187","55"
"","Jake Davies","Georgia Tech","Jr.","P","44","156","55"
"","Taylor Davis","Morehead St.","Jr.","C","38","140","55"
"","Konstantine Diamaduros","Wofford","Jr.","INF","44","173","55"
"","Nolan Earley","South Ala.","So.","OF","42","163","55"
"","Greg Fontenot","La.-Lafayette","Sr.","SS","44","160","55"
"","Tyler Grimes","Wichita St.","Jr.","INF","47","175","55"
"","Adam Hilker","Northern Colo.","Jr.","INF","43","166","55"
"","Scott Hornstra","Mississippi Val.","Jr.","3B","42","156","55"
"","Matt Johns","Western Caro.","Sr.","INF","41","165","55"
"","Brashad Johnson","Bethune-Cookman","Fr.","-","45","162","55"
"","Tre-von Johnson","Md.-East. Shore","So.","OF","43","167","55"
"","Andrew Karmeris","North Florida","Jr.","INF","41","158","55"
"","Jonathan Koscso","South Fla.","Sr.","INF","43","170","55"
"","Mikie Mahtook","LSU","Jr.","OF","45","151","55"
"","Deven Marrero","Arizona St.","So.","INF","39","162","55"
"","Jeff McVaney","Texas St.","Jr.","OF","44","160","55"
"","Andrew Megee","Yale","Sr.","3B","42","167","55"
"","Daniel Merck","Gardner-Webb","Sr.","INF","42","165","55"
"","Mike Mergenthaler","Richmond","Sr.","OF","43","175","55"
"","Kevin Mihalik","Lehigh","Sr.","1B","44","155","55"
"","Brad Miller","Clemson","Jr.","INF","37","126","55"
"","A.J. Miller","Lafayette","Sr.","C","38","131","55"
"","Jon Myers","Saint Louis","Sr.","3B","42","169","55"
"","Khayyan Norfork","Tennessee","Sr.","2B","42","157","55"
"","Bryce Ortega","Arizona","Sr.","INF","43","153","55"
"","Jose Rodriguez","Col. of Charleston","Jr.","OF","45","182","55"
"","Cameron Seitzer","Oklahoma","Jr.","INF","44","158","55"
"","Alex Swim","Elon","So.","C","47","190","55"
"","Mark Threlkeld","Louisiana Tech","Jr.","INF","46","170","55"
"","Zachary Voight","New Mexico St.","Jr.","3B","44","162","55"
"","Chris Walker","Fordham","Sr.","C","43","170","55"
"","Erich Weiss","Texas","Fr.","3B","44","146","55"
"","Kyle Weldon","Miami (OH)","Sr.","INF","43","172","55"
"","Ryan Wright","Louisville","Jr.","SS","43","166","55"
"305","Nick Baligod","Oral Roberts","Sr.","OF","39","157","54"
"","Aaron Barbosa","Northeastern","Fr.","OF","39","161","54"
"","Eldred Barnett","Grambling","Jr.","OF","40","152","54"
"","Johnny Bladel","James Madison","So.","OF","40","148","54"
"","Joel Blake","South Dakota St.","Sr.","1B","37","147","54"
"","Marc Bourgeois","Southern Miss.","Sr.","OF","39","142","54"
"","Forrest Brandt","Davidson","Fr.","OF","43","170","54"
"","Chris Burke","Iona","Jr.","INF","41","147","54"
"","Michael Carpen","Chicago St.","Sr.","2B","37","147","54"
"","Phillip Chapman","Memphis","Sr.","C","43","160","54"
"","Tom Coulombe","Rhode Island","Sr.","INF","43","177","54"
"","Jordan Dean","Central Mich.","So.","INF","43","173","54"
"","Andrew Deeds","Morehead St.","Jr.","OF","40","145","54"
"","Sean Deegan","Penn St.","Jr.","OF","40","169","54"
"","Chris Diaz","North Carolina St.","So.","INF","45","157","54"
"","Casanova Donaldson","Tennessee Tech","Sr.","OF","41","159","54"
"","Doug Elliot","Connecticut","Sr.","C","44","166","54"
"","Kurt Farmer","Nebraska","So.","1B","45","161","54"
"","Mitchell Garver","New Mexico","So.","C","45","171","54"
"","Mike Garza","Georgetown","So.","INF","44","178","54"
"","Robert Griffith","Sacred Heart","Jr.","1B","43","160","54"
"","Ben Hammer","Toledo","Jr.","OF","42","145","54"
"","Reed Harper","Austin Peay","So.","INF","41","157","54"
"","Ryan Jones","Michigan St.","So.","INF","38","150","54"
"","Greg Kumpel","Saint Joseph's","So.","INF","38","139","54"
"","Sean Lamont","Georgetown","Sr.","INF","46","172","54"
"","Chris Lashmet","Northwestern","Sr.","INF","39","151","54"
"","Andrew Letourneau","CSU Bakersfield","Jr.","OF","40","172","54"
"","D.J. Long","Delaware","So.","INF","44","179","54"
"","Matt Lowenstein","Loyola Marymount","So.","OF","41","157","54"
"","Ethan Newton","Ohio","Fr.","-","43","177","54"
"","Greg Olson","Sam Houston St.","So.","OF","46","171","54"
"","Nick Orvin","Citadel","Jr.","OF","42","178","54"
"","Dan Paolini","Siena","Jr.","2B","44","158","54"
"","Mike Petello","La.-Lafayette","Sr.","OF","39","157","54"
"","George Piccirilli","VMI","Jr.","INF","44","160","54"
"","Phil Pohl","Clemson","Jr.","C","41","150","54"
"","Trey Rallis","Yale","Sr.","INF","41","148","54"
"","Tyler Robbins","Dallas Baptist","Sr.","INF","43","143","54"
"","Rance Roundy","UNLV","Sr.","OF","40","154","54"
"","Johnny Ruettiger","Arizona St.","Jr.","OF","40","165","54"
"","Daniel Russell","Eastern Mich.","So.","OF","42","161","54"
"","Mj Schifano","Sacred Heart","Sr.","INF","43","147","54"
"","John Schultz","Pittsburgh","Sr.","OF","41","152","54"
"","Brent Seifert","Missouri St.","Jr.","INF","41","175","54"
"","Travis Shreve","UCF","Jr.","INF","43","170","54"
"","Garrett Smith","Stephen F. Austin","Sr.","OF","40","159","54"
"","Bryan Soloman","Eastern Ky.","Fr.","INF","44","169","54"
"","Billy Stitz","South Dakota St.","Sr.","OF","38","176","54"
"","Aaron Thompkins","Furman","Sr.","1B","42","156","54"
"","Drew Turocy","Akron","Jr.","OF","41","160","54"
"","Erik Underwood","Jacksonville St.","Jr.","INF","42","145","54"
"","Scott Woodward","Coastal Caro.","Sr.","OF","42","147","54"
"358","Ryan Aguayo","New Mexico St.","Sr.","INF","44","149","53"
"","Preston Aldridge","Saint Peter's","Jr.","OF","39","140","53"
"","Michael Amanti","Quinnipiac","Sr.","INF","40","161","53"
"","James Beck","Iona","Jr.","1B","40","148","53"
"","Brian Blasik","Dayton","Jr.","INF","29","128","53"
"","Zach Borenstein","Eastern Ill.","Jr.","OF","39","153","53"
"","Kameron Brunty","Southern Miss.","Jr.","OF","42","176","53"
"","Matt Fleishman","Villanova","Jr.","OF","42","164","53"
"","Kyle Gaedele","Valparaiso","Jr.","OF","43","163","53"
"","Adam Gliebe","Winthrop","Sr.","SS","45","167","53"
"","Mark Hudson","Sam Houston St.","Sr.","OF","44","169","53"
"","Braden Kapteyn","Kentucky","Jr.","INF","45","171","53"
"","Cole Kraft","Milwaukee","Sr.","INF","40","170","53"
"","Ryan Kresky","Fairleigh Dickinson","Jr.","INF","41","156","53"
"","Jason Leblebijian","Bradley","So.","INF","42","157","53"
"","Justin Lesson","Georgetown","So.","OF","46","188","53"
"","Justin Mackert","Citadel","Jr.","INF","43","163","53"
"","Chris Marconcini","Duke","Fr.","1B","46","174","53"
"","Jake Matuszak","Central Conn. St.","Jr.","OF","39","146","53"
"","Mike McCann","Manhattan","Sr.","OF","38","136","53"
"","Mike McQuillan","Iowa","Jr.","2B","41","157","53"
"","Trenton Moses","Southeast Mo. St.","Sr.","INF","41","134","53"
"","Peter O'Brien","Bethune-Cookman","Jr.","C","48","179","53"
"","Ricky Oropesa","Southern California","Jr.","1B","43","158","53"
"","Hayes Orton","Coastal Caro.","Sr.","OF","45","180","53"
"","Kilby Perdomo","Alcorn St.","Sr.","OF","37","136","53"
"","Chris Peters","Cincinnati","Sr.","SS","41","162","53"
"","Stephen Piscotty","Stanford","So.","INF","37","145","53"
"","Joey Rapp","La.-Monroe","Jr.","INF","43","157","53"
"","Ryan Retz","High Point","So.","1B","44","180","53"
"","Dan Schafferman","George Mason","Jr.","OF","38","147","53"
"","Austin Schultz","Western Caro.","Sr.","INF","42","173","53"
"","Barrett Serrato","Purdue","Jr.","INF","43","163","53"
"","Wesley Starkes","New Mexico St.","Sr.","OF","40","154","53"
"","Darnell Sweeney","UCF","So.","INF","44","171","53"
"","Zach Tanner","Wright St.","Jr.","INF","38","154","53"
"","Kelby Tomlinson","Texas Tech","Jr.","INF","47","172","53"
"","Riccio Torrez","Arizona St.","Jr.","INF","41","166","53"
"","Greg Wallace","Evansville","Sr.","OF","39","153","53"
"","Joe Winker","Mercer","Sr.","OF","45","137","53"
"398","Alex Bacon","North Florida","Fr.","OF","39","150","52"
"","Barrett Barnes","Texas Tech","So.","OF","46","179","52"
"","Preston Beck","Texas-Arlington","So.","INF","44","169","52"
"","T.J. Berge","Northern Colo.","Sr.","INF","42","150","52"
"","Brett Botsford","Le Moyne","Jr.","OF","42","160","52"
"","Seth Boyd","Wagner","Sr.","INF","42","155","52"
"","Kris Bryant","San Diego","Fr.","3B","41","151","52"
"","J.T. Chargois","Rice","So.","P","44","182","52"
"","Josh Chism","Lipscomb","Sr.","OF","44","161","52"
"","Darren Crabtree","Stephen F. Austin","Sr.","1B","43","156","52"
"","Garrett Custons","Air Force","So.","OF","45","174","52"
"","Joey DeBernardis","Penn St.","Jr.","1B","41","157","52"
"","Drew DeKerlegand","Citadel","Fr.","INF","43","160","52"
"","Adam Doleac","Southern Miss.","Sr.","INF","40","153","52"
"","Blake Ellender","McNeese St.","Sr.","OF","46","204","52"
"","Cody Elliott","Ball St.","Jr.","OF","39","163","52"
"","Brandon Elliott","Murray St.","So.","INF","34","123","52"
"","Kyle Farmer","Georgia","So.","INF","45","172","52"
"","Grant Fillipitch","Butler","Sr.","INF","38","147","52"
"","Jeff Flax","La Salle","Jr.","INF","41","170","52"
"","James Foster","Wofford","Jr.","OF","44","174","52"
"","Cory Franklin","Florida A&M","Jr.","C","45","168","52"
"","Michael Gallic","Marist","Sr.","OF","41","162","52"
"","Mark Ginther","Oklahoma St.","Jr.","INF","43","171","52"
"","Alex Guerra","Radford","Sr.","INF","43","160","52"
"","Trevor Hairgrove","UC Riverside","Sr.","INF","37","149","52"
"","Kevin Hall","Wichita St.","Jr.","OF","47","190","52"
"","Cass Hargis","Southeastern La.","Sr.","OF","46","177","52"
"","Jeremy Hill","Nicholls St.","Jr.","INF","44","174","52"
"","Josh Holskey","Campbell","Jr.","INF","41","153","52"
"","Dexter Kelley","Savannah St.","Sr.","OF","48","167","52"
"","Trevor Kirk","UNLV","Jr.","OF","40","159","52"
"","Justin Lacy","Longwood","So.","1B","40","155","52"
"","Jacob Lamb","Washington","So.","3B","40","157","52"
"","Jeremy Maas","Penn","Sr.","P","36","141","52"
"","Wilmy Marrero","Southern U.","Jr.","INF","40","155","52"
"","Chad Marshall","Stony Brook","Sr.","INF","40","166","52"
"","Thomas McCarthy","Kentucky","Jr.","INF","45","167","52"
"","Justin McDavid","West Virginia","Sr.","INF","43","174","52"
"","Aaron Miller","Gardner-Webb","Sr.","SS","42","164","52"
"","Zack Osborne","Tennessee","Jr.","INF","42","150","52"
"","Drew Pettit","Canisius","Jr.","INF","42","154","52"
"","Daniel Pigott","Florida","Jr.","OF","44","161","52"
"","Danny Poma","Hofstra","Jr.","OF","37","140","52"
