"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"102","Isaac Rome","Mo. Western St.","Sr.","INF","44","139","83","0.597"
"103","Noe Flores","Cal St. L.A.","Sr.","1B","41","124","74","0.597"
"104","Stephen Carmon","S.C. Aiken","Jr.","SS","50","193","115","0.596"
"105","Josh Dawson","Cameron","Jr.","INF","44","168","100","0.595"
"106","Kyle O'Boyle","Saginaw Valley","So.","OF","39","121","72","0.595"
"107","Kevin Pillar","Cal St. Dom. Hills","Sr.","OF","45","185","110","0.595"
"108","Eric Rodriguez","Benedict","Sr.","OF","34","101","60","0.594"
"109","Joey Hallinan","Ohio Valley","Jr.","INF","35","118","70","0.593"
"110","Edwin Mendoza","Southwestern Okla.","Jr.","INF","45","157","93","0.592"
"111","Andy Marinelli","West Ga.","Fr.","-","48","169","100","0.592"
"112","Grant DeBruin","Ala.-Huntsville","Jr.","INF","45","151","89","0.589"
"113","Jordan Parker","Ala.-Huntsville","Sr.","INF","36","129","76","0.589"
"114","Jake Sloan","North Ala.","Jr.","P","42","141","83","0.589"
"115","Tyler Benzel","Fla. Southern","Sr.","INF","41","158","93","0.589"
"","Josh Riley","Arkansas Tech","Sr.","SS","45","158","93","0.589"
"117","Brad Shankle","Southeastern Okla.","Jr.","C","42","126","74","0.587"
"118","Sean Cotten","Tusculum","Sr.","C","50","174","102","0.586"
"119","Kyle Wager","Colorado St.-Pueblo","Sr.","C","40","128","75","0.586"
"120","Erik Scott","N.M. Highlands","Jr.","OF","36","99","58","0.586"
"121","Charlie Dubanoski","Augustana (SD)","Sr.","INF","40","140","82","0.586"
"122","William Calhoun","Abilene Christian","Sr.","DH","47","181","106","0.586"
"123","Mitchell Broughton","Quincy","Fr.","OF","41","135","79","0.585"
"124","Evan Claus","Metro St.","Jr.","1B","31","96","56","0.583"
"125","Jeremy Sudbeck","Minn. St. Mankato","Jr.","OF","35","98","57","0.582"
"126","Josh Haley","UNC Pembroke","Jr.","OF","48","191","111","0.581"
"127","Greg Anderson","Colorado Mesa","Sr.","OF","44","148","86","0.581"
"128","Ralph Sanchez","Concord","Fr.","INF","38","112","65","0.580"
"129","Keoni Manago","Hawaii Hilo","Sr.","OF","39","150","87","0.580"
"130","Tom Deangelis","Seton Hill","Sr.","INF","39","138","80","0.580"
"131","Jared Mothershed","North Ala.","Sr.","OF","43","140","81","0.579"
"132","K.C. Clabough","Florida Tech","Jr.","INF","47","173","100","0.578"
"","Steven Vidaurri","Incarnate Word","Sr.","OF","47","173","100","0.578"
"134","Rolando Bonner","Tusculum","Sr.","OF","43","163","94","0.577"
"135","Eric Dorton","West Tex. A&M","Fr.","OF","48","158","91","0.576"
"136","Omar Velazquez","Adelphi","Sr.","OF","42","162","93","0.574"
"137","Chase Presley","Harding","Jr.","INF","46","183","105","0.574"
"138","Matt Kuchenbecker","Minn. St. Mankato","Jr.","INF","39","129","74","0.574"
"139","Derek Kline","Millersville","Sr.","1B","45","157","90","0.573"
"140","Vallmer Jordan","Morehouse","Jr.","OF","33","103","59","0.573"
"141","Bobby Triglia","Valdosta St.","Jr.","INF","44","152","87","0.572"
"142","Rashad Ingram","St. Augustine's","Sr.","INF","54","173","99","0.572"
"143","Tyler Choate","Southern Ind.","Sr.","P","45","154","88","0.571"
"","David Harvey","Morehouse","Jr.","OF","37","119","68","0.571"
"","John Willner","Valdosta St.","Sr.","OF","47","182","104","0.571"
"146","Bryant Chambliss","Tuskegee","Sr.","C","31","93","53","0.570"
"147","Cody Pack","Lincoln Memorial","Sr.","OF","51","179","102","0.570"
"148","Colt Loehrs","Arkansas Tech","Sr.","OF","45","174","99","0.569"
"149","Richard Pirkle","Georgia College","Sr.","C","50","167","95","0.569"
"150","Tucker Brown","Central Okla.","Jr.","INF","43","160","91","0.569"
"","Buddy Sosnoskie","Francis Marion","Jr.","OF","47","160","91","0.569"
"152","Bryce Baugh","West Tex. A&M","Jr.","INF","45","153","87","0.569"
"153","Robert LaRusso","Molloy","Sr.","1B","45","155","88","0.568"
"154","Drew Westover","Pitt.-Johnstown","Jr.","OF","40","141","80","0.567"
"155","Austin Rycroft","Central Okla.","Jr.","OF","40","120","68","0.567"
"156","Chris Collazo","Tex. A&M Int'l","Sr.","OF","47","173","98","0.566"
"157","Jeremy Miller","Tex. Permian Basin","Sr.","OF","46","175","99","0.566"
"158","Matt Henriksen","Tusculum","So.","INF","48","168","95","0.565"
"159","Jp LaMunyon","North Ala.","Jr.","3B","43","161","91","0.565"
"160","Michael Leviseur","Seton Hill","Jr.","C","34","101","57","0.564"
"161","Eric Maupin","N.M. Highlands","Jr.","INF","42","133","75","0.564"
"162","Braxton Graven","Bellarmine","Sr.","OF","44","149","84","0.564"
"163","Patrick Chandler","Rockhurst","So.","OF","37","112","63","0.563"
"","Eric Kitts","Lincoln Memorial","Sr.","1B","48","160","90","0.563"
"","Brain Laznik","Erskine","Sr.","OF","50","176","99","0.563"
"166","Kevin McCall","Mercyhurst","Sr.","1B","44","162","91","0.562"
"167","Jordan White","Ky. Wesleyan","Jr.","OF","35","132","74","0.561"
"168","John Bolding","Erskine","Sr.","INF","51","207","116","0.560"
"169","Jason Trulin","Neb.-Kearney","Sr.","OF","38","141","79","0.560"
"170","Eric Grabe","Tampa","Jr.","2B","45","175","98","0.560"
"171","Derek Fulmer","North Greenville","Jr.","P","44","159","89","0.560"
"172","Chris O'Neil","Southern N.H.","Sr.","OF","42","168","94","0.560"
"173","Miguel Amesquita","Lewis","Sr.","INF","29","102","57","0.559"
"174","Frank Sirolli","Indiana (PA)","Sr.","OF","46","145","81","0.559"
"175","Evan Gazza","Davis & Elkins","Sr.","OF","42","154","86","0.558"
"176","Tim Quinn","Assumption","Jr.","C","41","140","78","0.557"
"","Jordan Stouffer","Metro St.","Sr.","1B","40","140","78","0.557"
"178","Chris Ross","Montevallo","Jr.","OF","43","158","88","0.557"
"179","Ethan Gold","East Central","Fr.","OF","36","106","59","0.557"
"180","Brad Bridgeman","UNC Pembroke","Jr.","OF","48","148","82","0.554"
"181","Nash Hutter","Shepherd","Jr.","OF","33","121","67","0.554"
"182","Justin Vasquez","Belmont Abbey","Sr.","OF","43","159","88","0.553"
"183","Ryan Lewis","Columbus St.","Jr.","OF","46","179","99","0.553"
"184","Erick Sanderson","Anderson (SC)","So.","P","49","181","100","0.552"
"185","Ryan Schoonover","Central Okla.","Sr.","OF","46","143","79","0.552"
"186","Tyler Ruch","Central Mo.","Sr.","INF","46","156","86","0.551"
"187","Nick Erminio","Seton Hill","Jr.","INF","37","129","71","0.550"
"188","Mike August","Millersville","Jr.","SS","45","149","82","0.550"
"189","Justin Bagbey","Chowan","Jr.","INF","46","140","77","0.550"
"190","Bryan Butcher","Morehouse","Jr.","C","41","142","78","0.549"
"191","Chase Stokes","Ark.-Monticello","Jr.","OF","38","122","67","0.549"
"192","Dustin Lawley","West Fla.","Sr.","OF","48","184","101","0.549"
"193","Kyle Thomas","Lewis","Fr.","C","30","82","45","0.549"
"194","Eric Walker","Southeastern Okla.","Sr.","C","45","135","74","0.548"
"195","Drew Dwelly","Barry","Sr.","3B","50","223","122","0.547"
"196","John Couch","Lincoln Memorial","Sr.","INF","51","192","105","0.547"
"197","Joe Huber","St. Joseph's (IN)","Sr.","INF","44","161","88","0.547"
"198","Curran Collins","Quincy","Jr.","INF","33","108","59","0.546"
"199","Kevin Childs","Lander","Jr.","OF","37","119","65","0.546"
"200","K. C. Pfister","Southeastern Okla.","Sr.","OF","43","152","83","0.546"
"201","Joel Potts","Drury","Sr.","3B","45","143","78","0.545"
"202","Alec Rosales","Northwest Mo. St.","Jr.","OF","45","156","85","0.545"
"","Brian Simone","West Ala.","Sr.","OF","41","156","85","0.545"
"204","Josh Dabbs","Montevallo","Sr.","OF","41","145","79","0.545"
"","Vincent Malzahn","St. Thomas Aquinas","Sr.","1B","43","145","79","0.545"
"206","O'Koyea Dickson","Sonoma St.","Jr.","INF","44","158","86","0.544"
"207","Randy O'Dell","Brevard","Jr.","INF","41","147","80","0.544"
"208","Ryan McChesney","Florida Tech","Jr.","C","47","182","99","0.544"
"","Will Miller","West Tex. A&M","Sr.","OF","47","182","99","0.544"
"210","Bruce Alter","Columbus St.","Sr.","3B","45","175","95","0.543"
"211","Sloan Soulia","Fort Hays St.","Sr.","C","44","155","84","0.542"
"212","Deryk Marks","Augustana (SD)","Sr.","INF","43","168","91","0.542"
"","Jon Stockton","Concordia-St. Paul","Sr.","OF","29","96","52","0.542"
"214","Rob LaFrance","Southwestern Okla.","Jr.","OF","37","109","59","0.541"
"","Jeremy Williams","Tuskegee","So.","P","32","109","59","0.541"
"216","Blake Tagmyer","UC San Diego","Sr.","2B","37","111","60","0.541"
"217","Dan Skelly","Northeastern St.","Jr.","C","38","137","74","0.540"
"218","Brandon Small","Albany St. (GA)","Jr.","SS","45","150","81","0.540"
"219","Casey Winckowski","Erskine","Sr.","INF","51","189","102","0.540"
"220","Jed Hanson","Neb. Omaha","Sr.","INF","46","165","89","0.539"
"221","Michael Tomko","Gannon","So.","OF","37","115","62","0.539"
"222","Chris Pula","West Chester","Fr.","INF","40","128","69","0.539"
"223","Trevor Rogers","Southern Ark.","Jr.","OF","41","106","57","0.538"
"224","Branfy Arias","Tusculum","Sr.","OF","46","149","80","0.537"
"225","Abe Williams","Abilene Christian","Sr.","C","40","123","66","0.537"
"226","Anthony Salinas","Fort Hays St.","Jr.","OF","39","138","74","0.536"
"","Michael Wiseman","Wayne St. (MI)","Sr.","C","41","138","74","0.536"
"228","Andy Petz","Washburn","Sr.","C","41","140","75","0.536"
"229","Cedric Belt","Lincoln (MO)","Sr.","OF","40","155","83","0.535"
"230","Michael Niemann","Delta St.","Sr.","OF","46","170","91","0.535"
"231","Brian Bello","Colorado Mesa","Sr.","OF","34","114","61","0.535"
"","Cameron Duncan","Tuskegee","Fr.","P","33","114","61","0.535"
"233","Raphael Amey","Kentucky St.","Jr.","SS","38","129","69","0.535"
"234","Josh Cyr","North Ala.","So.","INF","44","131","70","0.534"
"235","Elliott Riege","Colorado Mines","Sr.","INF","42","161","86","0.534"
"236","Matt Barr","Davis & Elkins","So.","INF","42","135","72","0.533"
"","Travis Parsons","Wayne St. (NE)","Jr.","OF","29","90","48","0.533"
"","Anthony Santa","Saint Leo","Jr.","INF","43","165","88","0.533"
"239","Stephen Andrews","Lenoir-Rhyne","Sr.","OF","46","156","83","0.532"
"240","Mike Dowd","Franklin Pierce","Jr.","C","43","160","85","0.531"
"","John Jones","Francis Marion","Jr.","OF","41","128","68","0.531"
"242","Pierce Joseph","St. Augustine's","Sr.","OF","54","164","87","0.530"
"243","J.L. Buchanan","Colo. Christian","Sr.","1B","47","187","99","0.529"
"244","Brady Hohl","Neb. Omaha","Jr.","INF","46","172","91","0.529"
"245","Kenny Bechaud","Mo.-St. Louis","Sr.","1B","38","138","73","0.529"
"","Jacob Mays","Concord","Jr.","P","42","138","73","0.529"
"247","Jeff Heisey","Millersville","So.","3B","43","104","55","0.529"
"248","Trent Chapman","West Liberty","Sr.","OF","45","159","84","0.528"
"","David Silvas","Cal St. San B'dino","Jr.","OF","41","159","84","0.528"
"250","Patrick Melvin","Miles","Sr.","1B","39","125","66","0.528"
"251","Brett Mazmanian","Ouachita Baptist","Jr.","C","42","146","77","0.527"
"252","Sean Estand","St. Joseph's (IN)","Sr.","3B","44","165","87","0.527"
"253","Dusty Maggs","Nova Southeastern","Sr.","INF","46","152","80","0.526"
"254","John Roberts","Armstrong","Jr.","C","46","198","104","0.525"
"255","Landon Sullins","Arkansas Tech","Jr.","C","40","139","73","0.525"
"256","Brandon James","Lake Erie","Sr.","OF","41","141","74","0.525"
"257","Brian Norwood","Lewis","So.","C","30","101","53","0.525"
"258","Anthony DiFrancesco","Philadelphia U.","Sr.","3B","36","143","75","0.524"
"259","Zach Stone","Millersville","So.","3B","45","145","76","0.524"
"260","Wally Derosier","Assumption","Sr.","OF","38","126","66","0.524"
"","Colby Robison","Mont. St. Billings","So.","INF","39","147","77","0.524"
"262","Garrett Furr","Catawba","So.","DH","50","193","101","0.523"
"263","Jeremy Soliday","Southwestern Okla.","Jr.","3B","44","151","79","0.523"
"264","Ryan Moore","Chowan","Fr.","P","50","155","81","0.523"
"265","Chris Amate","American Int'l","So.","INF","31","113","59","0.522"
"","Brian Kochik","Lock Haven","Sr.","C","39","113","59","0.522"
"267","Stuart Drew","West Ga.","Jr.","2B","48","182","95","0.522"
"268","Andrew Pickering","West Virginia St.","Fr.","INF","28","69","36","0.522"
"269","Dallas Burke","Mo. Southern St.","Jr.","C","41","140","73","0.521"
"270","Patrick Deao","Mo. Southern St.","Sr.","OF","46","167","87","0.521"
"271","Luis Meija","Palm Beach Atl.","Jr.","3B","50","192","100","0.521"
"","Tyler Splichal","Neb. Omaha","So.","INF","39","144","75","0.521"
"273","Tanner Funk","Georgia College","Jr.","SS","50","196","102","0.520"
"274","Parker Amos","Emporia St.","Sr.","OF","40","123","64","0.520"
"275","Gus Durst","Lincoln (MO)","Sr.","OF","41","148","77","0.520"
"276","Angelo Bruno","Stonehill","Sr.","1B","43","152","79","0.520"
"277","Edward Tamarez","Elizabeth City St.","Jr.","OF","34","129","67","0.519"
"278","Troy Snitker","North Ga.","Jr.","C","49","185","96","0.519"
"279","Arrow Cunningham","Central Okla.","Sr.","C","43","133","69","0.519"
"280","Cody Pate","Mars Hill","Jr.","INF","43","164","85","0.518"
"281","J.R. Roland","Abilene Christian","Jr.","OF","42","139","72","0.518"
"282","Matt Umba","Wilmington (DE)","Sr.","SS","40","141","73","0.518"
"283","Bret Blevins","Concord","Fr.","INF","40","149","77","0.517"
"284","Chad Balderman","Limestone","Fr.","OF","51","180","93","0.517"
"285","Cory Phillips","Grand Valley St.","Sr.","INF","36","91","47","0.516"
"286","Casey Allison","Wingate","Jr.","OF","54","213","110","0.516"
"287","Nick Jelacie","Bemidji St.","Sr.","OF","40","122","63","0.516"
"288","Zach Cohen","Angelo St.","Jr.","INF","47","157","81","0.516"
"289","Jordan Smith","Barton","Sr.","OF","44","161","83","0.516"
"290","Caleb Palensky","Neb. Omaha","Fr.","INF","41","130","67","0.515"
"291","R.J. Knese","Drury","Sr.","C","45","165","85","0.515"
"292","Jason Reitenbach","Findlay","Sr.","INF","43","134","69","0.515"
"293","Joe Mangum","UNC Pembroke","Sr.","INF","44","136","70","0.515"
"294","Shawn Pleffner","Tampa","Jr.","OF","41","138","71","0.514"
"295","Ryan Geffert","Southern Conn. St.","Jr.","1B","37","140","72","0.514"
"296","Aj Burlington","Salem Int'l","So.","P","35","107","55","0.514"
"297","Trey Horn","West Tex. A&M","Sr.","INF","42","148","76","0.514"
"","Ryan Noelte","Valdosta St.","Jr.","OF","40","111","57","0.514"
"","Cameron Robulack","Delta St.","Jr.","1B","44","148","76","0.514"
"300","Austin Chubb","Fla. Southern","Jr.","C","38","113","58","0.513"
"301","Peter Barrows","Bridgeport","Sr.","1B","33","115","59","0.513"
"","Willis Bradwell","Morehouse","Sr.","OF","35","115","59","0.513"
"303","Rusty Smith","Mars Hill","Sr.","OF","49","193","99","0.513"
"304","Damon Elder","Tampa","Jr.","OF","45","164","84","0.512"
"305","Kendal Norman","Henderson St.","Sr.","C","39","127","65","0.512"
"306","C.J. Stabler","King (TN)","Sr.","INF","41","131","67","0.511"
"307","Blake Gentry","Southeastern Okla.","Jr.","OF","45","176","90","0.511"
"","Zach Miller","Northern St.","Jr.","OF","29","88","45","0.511"
"309","Michael Brittian","Mars Hill","Sr.","OF","48","180","92","0.511"
"310","Josh Hohn","Catawba","Sr.","C","51","184","94","0.511"
"311","Joey Ianiero","Bloomsburg","Sr.","INF","40","141","72","0.511"
"312","Trey Buck","Southern Ark.","Jr.","SS","45","143","73","0.510"
"313","Jesse Kinzey","Mo. Southern St.","Jr.","P","45","151","77","0.510"
"314","Jarius Brown","Stillman","Fr.","OF","41","155","79","0.510"
"315","Daniel Qualls","Incarnate Word","Sr.","C","38","106","54","0.509"
"316","Joey Frabasile","Belmont Abbey","Jr.","1B","46","161","82","0.509"
"317","Jason Garcia","St. Mary's (TX)","Sr.","OF","47","165","84","0.509"
"318","Lucas Mohon","Carson-Newman","So.","OF","42","114","58","0.509"
"319","Joey Benke","St. Cloud St.","Jr.","INF","36","120","61","0.508"
"320","Martin Sartin","Neb. Omaha","Jr.","OF","44","126","64","0.508"
"321","Mike Love","Ala.-Huntsville","Jr.","OF","44","136","69","0.507"
"322","Jordan Oncay","Wilmington (DE)","Jr.","OF","40","138","70","0.507"
"323","Nelson Espinal","Southwestern Okla.","Sr.","2B","39","144","73","0.507"
"","Zach Maggard","Fla. Southern","Sr.","C","37","144","73","0.507"
"325","Chris Pfau","Lincoln (MO)","Jr.","P","38","146","74","0.507"
"326","Josh Wenger","Concord","So.","INF","43","150","76","0.507"
"327","J Cox","Virginia St.","Fr.","-","46","152","77","0.507"
"","Tim Dye","Belmont Abbey","Sr.","OF","46","152","77","0.507"
"329","Josh Huggins","West Fla.","Jr.","3B","47","162","82","0.506"
"330","Cameron Scott","Columbus St.","So.","2B","46","166","84","0.506"
"","Drew Walker","Armstrong","Jr.","INF","48","166","84","0.506"
"","Christian Wise","Southwestern Okla.","Jr.","INF","44","166","84","0.506"
"333","Luis Saenz","N.M. Highlands","Jr.","INF","34","97","49","0.505"
"334","Bo Folkinga","Western Ore.","Jr.","OF","36","113","57","0.504"
"335","Andrew Brauer","Lewis","Jr.","OF","33","121","61","0.504"
"336","Zach Ragsdale","Southeastern Okla.","Sr.","OF","40","139","70","0.504"
"","Kyle Stacken","Fort Hays St.","Sr.","1B","43","139","70","0.504"
"338","Weston Baros","St. Mary's (TX)","Sr.","2B","47","145","73","0.503"
"","Cody Coffman","Tusculum","Jr.","1B","47","145","73","0.503"
"340","Kevin Deese","West Ala.","Sr.","OF","41","147","74","0.503"
"341","Deaun Williams","Lincoln Memorial","Sr.","OF","45","149","75","0.503"
"342","Brandon Brewer","West Fla.","Sr.","SS","48","151","76","0.503"
"343","Ryan Powers","Saint Leo","Sr.","INF","44","153","77","0.503"
"344","Tate Allison","Angelo St.","Jr.","OF","47","155","78","0.503"
"","Jordan Owens","Lander","Jr.","1B","42","155","78","0.503"
"346","Nate Valdez","Cameron","Sr.","INF","43","157","79","0.503"
"347","Chad Nacapoy","Cal St. L.A.","Jr.","C","46","167","84","0.503"
"348","Ryan Brnovich","Saint Leo","So.","INF","45","179","90","0.503"
"349","Braulio Acosta","Wayne St. (NE)","Jr.","SS","34","108","54","0.500"
"","A.J. Alexander","N.M. Highlands","Jr.","OF","41","132","66","0.500"
"","Madison Beaird","Arkansas Tech","So.","OF","46","184","92","0.500"
"","Ty Chancelor","Ala.-Huntsville","Jr.","OF","43","140","70","0.500"
"","Patrick Donahue","Tampa","Sr.","INF","43","156","78","0.500"
"","Patrick Johnson","Southern Ark.","Sr.","OF","43","152","76","0.500"
"","Dane Kolkmeyer","Mo. Southern St.","So.","INF","38","138","69","0.500"
"","Joe Kornbrust","Emporia St.","Fr.","-","37","106","53","0.500"
"","Billy Ninemire","Harding","So.","INF","46","174","87","0.500"
"","Chris Reese","Arkansas Tech","Jr.","INF","44","140","70","0.500"
"","Jeff Ridgeway","Mont. St. Billings","Sr.","OF","37","128","64","0.500"
"","Kalvin Scheler","Bellarmine","Jr.","OF","38","120","60","0.500"
"","Eric Schlitter","Bridgeport","Jr.","1B","33","112","56","0.500"
"","Albert Stanton","Southern N.H.","Fr.","OF","39","136","68","0.500"
"","Kyle Stoudt","Kutztown","Fr.","-","35","122","61","0.500"
"","Darryl Stringfield","Virginia St.","Sr.","P","47","154","77","0.500"
"","Kyle Zimmerman","Ouachita Baptist","Sr.","INF","47","170","85","0.500"
"366","Patrick Daugherty","Georgia College","Jr.","OF","49","181","90","0.497"
"367","Logan Dollar","Columbus St.","Jr.","1B","46","171","85","0.497"
"368","Brian Dice","Lenoir-Rhyne","Sr.","C","47","165","82","0.497"
"369","Matthew Pullos","Colorado Mines","So.","OF","43","157","78","0.497"
"370","Nick Sydnor","Concord","Fr.","OF","44","151","75","0.497"
"371","Matt Boulter","Southern N.H.","So.","SS","44","149","74","0.497"
