"Rank","Name","Team","Cl","Pos","G","SF"
"","Rob Noe","Mass.-Lowell","Jr.","C","36","4"
"","J.C. Ochoa","Fort Hays St.","Jr.","INF","27","4"
"","Aaron Ordy","California (PA)","Sr.","INF","44","4"
"","Ernesto Ortiz","Grand Canyon","Jr.","SS","42","4"
"","Jordan Owens","Lander","Jr.","1B","42","4"
"","Luis Penate","Nova Southeastern","Sr.","INF","45","4"
"","Kevin Phillips","Southeastern Okla.","Jr.","INF","45","4"
"","Richard Pirkle","Georgia College","Sr.","C","50","4"
"","Shawn Pleffner","Tampa","Jr.","OF","41","4"
"","Steve Popp","Stonehill","Jr.","3B","33","4"
"","Erik Pyle","Molloy","So.","OF","42","4"
"","Luis Quinones","Eastern N.M.","So.","OF","40","4"
"","Zach Ragsdale","Southeastern Okla.","Sr.","OF","40","4"
"","Michael Rezin","Arkansas Tech","Jr.","1B","30","4"
"","Kyle Rice","S.C. Aiken","Sr.","C","41","4"
"","Jacob Rogers","Mount Olive","Jr.","3B","45","4"
"","Trevor Rogers","Southern Ark.","Jr.","OF","41","4"
"","Aryn Ross","Indianapolis","Sr.","INF","41","4"
"","Jackie Samora","Grand Canyon","Fr.","2B","44","4"
"","Ryan Saxon","Anderson (SC)","Sr.","2B","50","4"
"","Michael Schmidt","North Ala.","Jr.","INF","44","4"
"","Bret Schwartz","Central Mo.","Jr.","SS","46","4"
"","Toby Semler","Angelo St.","Jr.","C","39","4"
"","Preston Shuey","Francis Marion","Sr.","1B","47","4"
"","Anthony Simon","Mercy","Fr.","INF","37","4"
"","Brian Simone","West Ala.","Sr.","OF","41","4"
"","James Simpson","Felician","Jr.","INF","43","4"
"","Dan Skelly","Northeastern St.","Jr.","C","38","4"
"","Robert Skinner","Lander","Sr.","INF","49","4"
"","Brandon Small","Albany St. (GA)","Jr.","SS","45","4"
"","Spenser Smith","Indianapolis","Jr.","INF","29","4"
"","Dylan Songer","Indiana (PA)","Jr.","1B","43","4"
"","Charlie Stewart","Flagler","Jr.","OF","47","4"
"","Zach Stone","Millersville","So.","3B","45","4"
"","Corey Stonelake","Wis.-Parkside","Jr.","OF","36","4"
"","Steve Sulcoski","Shippensburg","So.","C","41","4"
"","Danny Susdorf","UC San Diego","So.","OF","46","4"
"","Jake Sutton","Augusta St.","So.","SS","47","4"
"","Kyle Thomas","Lewis","Fr.","C","30","4"
"","Andrew Trepel","Grand Valley St.","Sr.","INF","40","4"
"","Alex Trojan","Wayne St. (MI)","Jr.","3B","39","4"
"","Jason Trulin","Neb.-Kearney","Sr.","OF","38","4"
"","Nate Valdez","Cameron","Sr.","INF","43","4"
"","Brad Vance","Southern Ind.","Jr.","C","45","4"
"","Chris Vazquez","Belmont Abbey","Sr.","C","45","4"
"","Omar Velazquez","Adelphi","Sr.","OF","42","4"
"","Lee Voth-Gaeddert","Missouri S&T","Jr.","OF","38","4"
"","Drew Walker","Armstrong","Jr.","INF","48","4"
"","Shawn Ward","Georgia College","Sr.","OF","49","4"
"","Tyler Welch","Ohio Valley","Sr.","INF","36","4"
"","Kevin Wempe","Emporia St.","Sr.","INF","45","4"
"","Josh Wenger","Concord","So.","INF","43","4"
"","Max Wheeler","Southwestern Okla.","Jr.","OF","33","4"
"","Jere Wilkins","St. Augustine's","Fr.","-","42","4"
"","J.J. Williams","UNC Pembroke","Jr.","INF","47","4"
"","Drew Willingham","Erskine","So.","1B","51","4"
"","Tyler Witzel","Coker","So.","P","39","4"
"","Spencer Wolfe","S.C. Aiken","Fr.","INF","24","4"
"","Blake Youngblood","Assumption","Sr.","OF","42","4"
"247","David Albritton","Emporia St.","Sr.","C","43","3"
"","Jonathan Allen","Tuskegee","Fr.","P","34","3"
"","Mike Apreda","St. Thomas Aquinas","So.","INF","40","3"
"","Matt Arruda","Tex. A&M Int'l","Jr.","C","35","3"
"","Zac Asman","Northern Ky.","Fr.","INF","41","3"
"","Josh Avery","Okla. Panhandle","Jr.","1B","42","3"
"","Cody Baker","Lincoln Memorial","So.","OF","51","3"
"","Colin Barnathan","Dowling","Sr.","INF","31","3"
"","Eric Barnes","Oakland City","Jr.","INF","29","3"
"","Joey Benke","St. Cloud St.","Jr.","INF","36","3"
"","Al Benson","Limestone","Jr.","OF","52","3"
"","Tyler Benzel","Fla. Southern","Sr.","INF","41","3"
"","Duncan Blades","Abilene Christian","Jr.","INF","34","3"
"","Mike Blanchard","Hillsdale","Jr.","OF","31","3"
"","Zachary Blanchard","Bellarmine","Sr.","C","44","3"
"","Jack Bond","Mo. Western St.","Jr.","INF","31","3"
"","Adam Boucher","Southern Ark.","Sr.","2B","41","3"
"","Tyler Bourdo","S.C. Aiken","Jr.","INF","45","3"
"","Kyle Bowser","California (PA)","Jr.","INF","33","3"
"","Eric Boyer","East Stroudsburg","So.","OF","25","3"
"","Andrew Brauer","Lewis","Jr.","OF","33","3"
"","Zach Braun","Bemidji St.","Fr.","C","33","3"
"","Kaleb Brawner","Cameron","So.","INF","31","3"
"","Brandon Brewer","West Fla.","Sr.","SS","48","3"
"","Adrian Bringas","Cal St. Chico","Sr.","3B","40","3"
"","Brett Brinson","Brevard","So.","INF","36","3"
"","Michael Brittian","Mars Hill","Sr.","OF","48","3"
"","Giancarlo Brugnoni","Grand Valley St.","So.","1B","32","3"
"","Corey Bryant","Benedict","Sr.","DH","10","3"
"","null Bryant-28","Benedict","Fr.","-","24","3"
"","Trey Buck","Southern Ark.","Jr.","SS","45","3"
"","Michael Bueker","Mars Hill","Jr.","INF","48","3"
"","Aj Burlington","Salem Int'l","So.","P","35","3"
"","Caleb Burrow","Christian Bros.","Sr.","OF","31","3"
"","Nicholas Canterbury","Alderson-Broaddus","Sr.","OF","33","3"
"","Adam Capps","Chowan","Jr.","INF","48","3"
"","Seve Carbajal","Colo. Christian","Jr.","C","47","3"
"","Travis Cariveau","St. Cloud St.","So.","INF","36","3"
"","Benny Carter","Paine","Jr.","1B","37","3"
"","Roberto Castillo","Tex. A&M Int'l","Jr.","P","42","3"
"","Trent Chapman","West Liberty","Sr.","OF","45","3"
"","Kevin Chenicek","C.W. Post","So.","P","38","3"
"","David Chew","Mo. Western St.","Fr.","OF","35","3"
"","Michael Chiarelli","Western Ore.","Sr.","C","41","3"
"","Jordan Chiero","Tiffin","Jr.","INF","43","3"
"","K.C. Clabough","Florida Tech","Jr.","INF","47","3"
"","Evan Claus","Metro St.","Jr.","1B","31","3"
"","Daniel Coffey","Mount Olive","Jr.","3B","46","3"
"","Chase Corn","Erskine","Fr.","OF","45","3"
"","Andy Cotton","Emporia St.","Sr.","INF","45","3"
"","John Couch","Lincoln Memorial","Sr.","INF","51","3"
"","Corey Cowan","Newman","Jr.","INF","47","3"
"","Jake Danneffel","Metro St.","Sr.","C","20","3"
"","Ryan Daughtry","Barton","Jr.","OF","43","3"
"","Geno DeAngelis","Northwest Mo. St.","Jr.","INF","45","3"
"","Brian Dean","Pittsburg St.","Sr.","3B","40","3"
"","Tom Deangelis","Seton Hill","Sr.","INF","39","3"
"","Eric Deese","Ala.-Huntsville","Jr.","DH","44","3"
"","Kevin Deese","West Ala.","Sr.","OF","41","3"
"","Nate Defilippi","Seton Hill","Jr.","OF","38","3"
"","Steve Del Rio","Washington Adventist","Jr.","INF","18","3"
"","Junnior Dishmey-Perez","Tarleton St.","Sr.","2B","36","3"
"","Weston Dodson","Elizabeth City St.","Fr.","OF","40","3"
"","Joe Doerrer","Caldwell","Jr.","OF","39","3"
"","Logan Dollar","Columbus St.","Jr.","1B","46","3"
"","Trey Drewery","Tusculum","Fr.","OF","38","3"
"","Troy DuBay","Concordia-St. Paul","Jr.","SS","29","3"
"","Austin Dubberly","Montevallo","So.","INF","39","3"
"","Treavor Dubiel","Davis & Elkins","Fr.","P","28","3"
"","Gus Durst","Lincoln (MO)","Sr.","OF","41","3"
"","Chris Eaton","Eastern N.M.","Sr.","INF","30","3"
"","Chris Edgar","Millersville","Jr.","OF","44","3"
"","Ryan Engrav","Newman","Sr.","INF","42","3"
"","Vinnie Eruzione","Bentley","Jr.","INF","34","3"
"","Marshall Escue","Ill.-Springfield","Fr.","INF","31","3"
"","Dustin Fackrell","Colorado Mesa","Jr.","1B","21","3"
"","Anthony Foulk","North Greenville","Jr.","C","44","3"
"","Jimmy Franklin","Christian Bros.","Jr.","OF","44","3"
"","David Frazier","North Greenville","Jr.","INF","44","3"
"","Nick Fuoco","Coker","Sr.","1B","38","3"
"","Tyler Gans","Rockhurst","Fr.","OF","31","3"
"","Rico Garcia","Bluefield St.","Jr.","INF","35","3"
"","Andrew Garcia","Cameron","Jr.","1B","44","3"
"","Sanchez Gartman","Newberry","Sr.","OF","37","3"
"","Mike Gasque","Lenoir-Rhyne","Fr.","INF","40","3"
"","Jeff Gaston","Francis Marion","Jr.","C","22","3"
"","Logan Gillis","Bentley","So.","INF","39","3"
"","Mike Godwin","Wilmington (DE)","Jr.","P","39","3"
"","Daren Grace","Neb.-Kearney","Sr.","OF","33","3"
"","Patrick Grady","Lander","Fr.","OF","36","3"
"","Mike Grassano","Mercy","Sr.","INF","18","3"
"","Tyler Gray","Ashland","Fr.","1B","43","3"
"","Jake Griesemer","East Stroudsburg","Jr.","INF","39","3"
"","Aaron Guinn","Tusculum","Jr.","1B","44","3"
"","Yogi Gunther","Palm Beach Atl.","Jr.","INF","47","3"
"","Andrew Haake","Neb.-Kearney","Sr.","1B","43","3"
"","Jason Hamm","Saint Leo","Sr.","C","42","3"
"","Colton Hansley","Lenoir-Rhyne","So.","1B","34","3"
"","Jed Hanson","Neb. Omaha","Sr.","INF","46","3"
"","Dalton Hardee","Mars Hill","Sr.","INF","42","3"
"","David Harvey","Morehouse","Jr.","OF","37","3"
"","Dillon Hazlett","Emporia St.","Sr.","INF","45","3"
"","Jeff Heisey","Millersville","So.","3B","43","3"
"","Matt Henriksen","Tusculum","So.","INF","48","3"
"","Daniel Hiatt","Coker","Sr.","SS","42","3"
"","Kolten Hoffman","Gannon","Sr.","INF","38","3"
"","Dave Holland","Regis (CO)","Jr.","3B","39","3"
"","Taylor Honeycutt","Wingate","Sr.","C","48","3"
"","Matt Howard","Slippery Rock","Sr.","OF","44","3"
"","Joe Huber","St. Joseph's (IN)","Sr.","INF","44","3"
"","Will Huff","Erskine","Fr.","INF","43","3"
"","Jordan Inamasu","Hawaii Pacific","So.","C","30","3"
"","Mike Jackson","Stillman","Jr.","OF","41","3"
"","Joe Jacobson","Grand Canyon","Sr.","1B","39","3"
"","Clint Jeffers","Ill.-Springfield","Sr.","INF","35","3"
"","Mark Jeffery","Tarleton St.","Sr.","C","43","3"
"","Nick Jelacie","Bemidji St.","Sr.","OF","40","3"
"","Patrick Johnson","Southern Ark.","Sr.","OF","43","3"
"","Andrew Jones","Tampa","Jr.","OF","45","3"
"","Pierce Joseph","St. Augustine's","Sr.","OF","54","3"
"","Taylor Kaprive","Palm Beach Atl.","So.","3B","41","3"
"","Shane Keddy","Assumption","So.","3B","42","3"
"","Garret Keenan","Saint Rose","Sr.","OF","41","3"
"","Robert Kelly","St. Anselm","So.","1B","44","3"
"","Kyle Kemp","Lake Erie","Jr.","INF","40","3"
"","Jonathan Keppler","Mercyhurst","Sr.","INF","44","3"
"","Ben Kincaid","Minn. St. Mankato","Jr.","P","38","3"
"","Chandler Klute","Neb.-Kearney","So.","C","35","3"
"","Jimmie Koch","Florida Tech","Fr.","P","46","3"
"","Patrick Kohl","Seton Hill","Sr.","OF","28","3"
"","Carson Koontz","West Liberty","So.","INF","25","3"
"","Nick LaCroix","Franklin Pierce","So.","OF","33","3"
"","Rob LaFrance","Southwestern Okla.","Jr.","OF","37","3"
"","Leo Lamarche","West Fla.","Jr.","2B","45","3"
"","Justin Lamborn","West Chester","Jr.","2B","31","3"
"","William Lariscy","Paine","Sr.","2B","40","3"
"","Shane Latshaw","Mercyhurst","Jr.","OF","43","3"
"","Brain Laznik","Erskine","Sr.","OF","50","3"
"","Joseph Leftridge","Angelo St.","Jr.","OF","45","3"
"","Chris Leon","Barry","Sr.","C","40","3"
"","Michael Leviseur","Seton Hill","Jr.","C","34","3"
"","Carlos Leyva","Cal St. Dom. Hills","Sr.","2B","43","3"
"","Greg Liming","Urbana","So.","1B","40","3"
"","Tim Lipp","Gannon","Jr.","INF","38","3"
"","Bryan Lippincott","Concordia-St. Paul","Jr.","3B","29","3"
"","Jared Littler","Seton Hill","Sr.","1B","31","3"
"","Jerry Lloyd","Bloomsburg","Sr.","1B","37","3"
"","Mike Love","Ala.-Huntsville","Jr.","OF","44","3"
"","Colin Lowe","Tiffin","Sr.","INF","43","3"
"","Stephen Luczaj","Caldwell","Fr.","SS","37","3"
"","Mike Lupia","Indiana (PA)","Fr.","INF","40","3"
"","Brett Macari","Fort Hays St.","Jr.","INF","44","3"
"","Dusty Maggs","Nova Southeastern","Sr.","INF","46","3"
"","Andy Marinelli","West Ga.","Fr.","-","48","3"
"","Pablo Martell","Montevallo","Fr.","INF","35","3"
"","Zach Martin","Pitt.-Johnstown","Sr.","OF","33","3"
"","Dylan Mascarenas","East Central","Jr.","INF","40","3"
"","Bradford Mattox","West Ga.","Fr.","-","25","3"
"","Rob Maxwell","Christian Bros.","Jr.","3B","43","3"
"","Colby McCord","Neb. Omaha","Jr.","C","46","3"
"","Ryan McCormick","Millersville","Sr.","SS","45","3"
"","Paul McCoy","St. Edward's","Sr.","OF","42","3"
"","William McCray","Tuskegee","Fr.","3B","32","3"
"","Dodson McPherson","Wingate","Jr.","OF","54","3"
"","Richie McVey","Lynn","Sr.","OF","36","3"
"","Sam Mcgill","Ouachita Baptist","Sr.","P","45","3"
"","Joe Mederios","Cal St. Stanislaus","Jr.","C","28","3"
"","Rafael Medina","Bloomfield","Jr.","1B","38","3"
"","Patrick Melvin","Miles","Sr.","1B","39","3"
"","Edwin Mendoza","Southwestern Okla.","Jr.","INF","45","3"
"","Jeremy Miller","Tex. Permian Basin","Sr.","OF","46","3"
"","Will Miller","West Tex. A&M","Sr.","OF","47","3"
"","Chris Miller","Cal Poly Pomona","Jr.","1B","44","3"
"","Jordan Mitchelhill","Neb.-Kearney","Sr.","2B","43","3"
"","Derek Moczygemba","St. Mary's (TX)","So.","P","47","3"
"","Keith Morrisroe","Concord","Jr.","C","41","3"
"","Brett Neill","Drury","So.","INF","44","3"
"","Nick Nelson","Saint Michael's","Fr.","-","24","3"
"","James Nelson","Miles","Fr.","P","32","3"
"","Tony Nelson","Dixie St.","Sr.","INF","44","3"
"","Kyle O'Boyle","Saginaw Valley","So.","OF","39","3"
"","Connor Obrochta","Tampa","Fr.","OF","35","3"
"","Patrick Oliver","Neb.-Kearney","Sr.","OF","38","3"
"","Andy Onufrak","Augusta St.","Sr.","SS","41","3"
"","Caleb Palensky","Neb. Omaha","Fr.","INF","41","3"
"","Ryan Palmer","Northwood (MI)","Jr.","C","31","3"
"","Stephen Pelc","Eckerd","Sr.","INF","45","3"
"","Gelson Perez","Lincoln Memorial","Jr.","INF","49","3"
"","Joe Petosa","Felician","So.","OF","43","3"
"","Sam Phillips","Shippensburg","So.","SS","47","3"
"","Jeff Popick","Colorado Mesa","Jr.","OF","40","3"
"","Ryan Porter","Rockhurst","Jr.","1B","43","3"
"","Paschel Poston","Ga. Southwestern","Jr.","C","44","3"
"","Ryan Powers","Saint Leo","Sr.","INF","44","3"
"","null Price","Saint Rose","Fr.","-","36","3"
"","Jack Provine","West Chester","So.","OF","29","3"
"","Joe Pudlo","St. Joseph's (IN)","Jr.","OF","39","3"
"","Chris Pula","West Chester","Fr.","INF","40","3"
"","Reid Pulford","West Chester","Jr.","C","37","3"
"","Tim Rainey","Tarleton St.","Sr.","OF","46","3"
"","Matt Ranaudo","Bridgeport","Jr.","P","33","3"
"","Esteban Raygoza","St. Mary's (TX)","Jr.","SS","39","3"
"","Tyler Reboulet","Mars Hill","Jr.","INF","34","3"
"","Ryan Reddick","Pittsburg St.","So.","C","44","3"
"","Areo Regoli","Nova Southeastern","Jr.","OF","41","3"
"","Sean Reilly","Rollins","Jr.","C","43","3"
"","Mitch Rider","Columbus St.","Sr.","C","33","3"
"","Noah Ringenberger","Northeastern St.","So.","OF","34","3"
"","Clayton Roach","Paine","Fr.","P","34","3"
"","Colby Robison","Mont. St. Billings","So.","INF","39","3"
"","Thomas Robulack","Newman","Sr.","INF","42","3"
