"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"129","Michael Pratt","St. Joseph's (ME)","So.","INF","40","129","79","0.612"
"130","Sean Gerber","Wis.-Stevens Point","So.","INF","26","98","60","0.612"
"","Justin Juneau","Texas-Tyler","Sr.","1B","39","147","90","0.612"
"132","Landon Scott","Whitworth","Jr.","INF","40","149","91","0.611"
"133","Nick Beaman","Ripon","Sr.","3B","29","113","69","0.611"
"134","Nate Carlson","Redlands","Sr.","INF","37","141","86","0.610"
"135","Ben Lowmaster","Allegheny","Jr.","C","28","105","64","0.610"
"136","John Martinez","Juniata","Sr.","OF","37","110","67","0.609"
"137","Kevin Brashears","Shenandoah","Sr.","OF","39","156","95","0.609"
"138","Brian Bilius","Adrian","Sr.","3B","34","115","70","0.609"
"139","Matt Thompson","McMurry","Jr.","1B","41","153","93","0.608"
"140","Josh Mackey","Southern Me.","Sr.","INF","29","107","65","0.607"
"141","Kevin Calbick","Trinity (TX)","Sr.","OF","37","135","82","0.607"
"142","Victor Nunez","Centenary (NJ)","So.","C","29","84","51","0.607"
"143","Felix Colarte","Mitchell","Jr.","OF","28","109","66","0.606"
"144","Brian Giebel","Wis.-Stout","Sr.","OF","32","124","75","0.605"
"145","Mike Pereslucha","Allegheny","Sr.","P","29","91","55","0.604"
"146","Will Hawkins","Millsaps","Sr.","INF","42","171","103","0.602"
"147","Garrick Fisher","St. Norbert","Jr.","INF","24","93","56","0.602"
"","Jason Handley","Thomas More","Fr.","2B","28","93","56","0.602"
"149","Teagen Barresi","Ithaca","Jr.","OF","24","80","48","0.600"
"","Harry Steldt","Concordia (WI)","Fr.","P","29","80","48","0.600"
