"Rank","Name","Team","Cl","Pos","G","HBP"
"","Landon Moore","Ouachita Baptist","So.","OF","44","12"
"","Joe Mullin","Chestnut Hill","So.","C","33","12"
"","Tyler Patterson","Okla. Panhandle","Jr.","DH","44","12"
"","Jack Provine","West Chester","Jr.","OF","39","12"
"","Pat Ross","Notre Dame (OH)","Jr.","OF","45","12"
"","Ethan Satterfield","Catawba","So.","OF","52","12"
"","Lucas Swartzentruber","Oakland City","Jr.","OF","33","12"
"","Drew Walker","Armstrong","Sr.","INF","48","12"
"112","Manny Acosta","Cal St. L.A.","So.","INF","42","11"
"","Drake Austin","Quincy","Jr.","INF","38","11"
"","Clayton Brandt","Ouachita Baptist","Fr.","-","36","11"
"","William Buford","Tuskegee","Jr.","P","43","11"
"","Josh Cyr","North Ala.","Jr.","INF","49","11"
"","Mike Darley","Minn. Duluth","Sr.","C","43","11"
"","Cameron Essex","LeMoyne-Owen","Jr.","C","21","11"
"","Jarod Hahn","Truman","Fr.","OF","44","11"
"","Troy Handza","California (PA)","Sr.","OF","48","11"
"","Ryan Hooker","Saint Rose","Fr.","SS","28","11"
"","Nash Hutter","Shepherd","Sr.","OF","45","11"
"","Chandler Klute","Neb.-Kearney","Jr.","C","45","11"
"","Blake May","Anderson (SC)","Sr.","INF","49","11"
"","Gavan McCauley","Southern Ark.","Sr.","OF","41","11"
"","Ryan McChesney","Florida Tech","Sr.","C","45","11"
"","Alex Miller","Neb.-Kearney","Jr.","OF","43","11"
"","Mike Nowak","Neb.-Kearney","Sr.","P","38","11"
"","Brett Parsons","Angelo St.","Sr.","OF","45","11"
"","Frank Salerno","St. Thomas Aquinas","Jr.","INF","45","11"
"","Chris Schindler","Colorado St.-Pueblo","Sr.","C","45","11"
"","Nash Smith","Fort Hays St.","Sr.","OF","43","11"
"","Phil Smith","Northern Ky.","Jr.","C","42","11"
"","Chase Stokes","Ark.-Monticello","Sr.","OF","34","11"
"","Rafael Thomas","Southern Ark.","Sr.","OF","44","11"
"","Chandler Tracy","Saint Martin's","Fr.","C","44","11"
"","Dj Turo","West Ala.","Jr.","INF","48","11"
"138","Matt Albaugh","Kutztown","Jr.","C","38","10"
"","Blake Amaral","Hawaii Pacific","Sr.","INF","45","10"
"","Jordan Bisharat","Miles","Fr.","P","30","10"
"","Jeremy Bohnett","Harding","So.","OF","43","10"
"","David Borchardt","Augustana (SD)","Jr.","P","41","10"
"","Brady Capshaw","Southern Ark.","Jr.","3B","42","10"
"","Seve Carbajal","Colo. Christian","Sr.","OF","47","10"
"","Sako Chapjian","Cal St. Dom. Hills","Fr.","3B","43","10"
"","Kristofer Chatman","Nyack","Fr.","INF","33","10"
"","Jordan Chovanec","Delta St.","So.","OF","45","10"
"","Tyler Christophel","Southwest Baptist","Sr.","OF","44","10"
"","Kevin Cressman","Lock Haven","Sr.","1B","43","10"
"","Zac Crumpler","Barton","Jr.","C","40","10"
"","Cody Crutcher","Southwest Baptist","Sr.","INF","35","10"
"","Kyle DeGennaro","Philadelphia U.","Fr.","INF","42","10"
"","Sean Embry","Ky. Wesleyan","Jr.","P","36","10"
"","Geno Escalante","Mount Olive","Jr.","C","48","10"
"","Curt Fuqua","Lincoln Memorial","Jr.","INF","49","10"
"","J.T. Greenhood","Colorado St.-Pueblo","Sr.","OF","44","10"
"","Aaron Guinn","Tusculum","Sr.","1B","54","10"
"","Greg Hamrock","East Central","Jr.","INF","47","10"
"","Shayne Houck","Kutztown","Sr.","INF","46","10"
"","Alex Howard","St. Augustine's","Sr.","INF","40","10"
"","Brent Kakwitch","Delta St.","Sr.","INF","46","10"
"","Garrett Kiser","West Virginia St.","Jr.","1B","45","10"
"","Andrew LaCombe","Angelo St.","Jr.","C","50","10"
"","Ruben Marrero","Newman","Jr.","C","45","10"
"","Matt Mayo","Mars Hill","Fr.","C","43","10"
"","Pat McCarthy","Seton Hill","So.","INF","40","10"
"","Billy Ninemire","Harding","Jr.","INF","49","10"
"","Christopher Patton","Tarleton St.","Jr.","OF","41","10"
"","Jeff Popick","Colorado Mesa","Sr.","OF","43","10"
"","Steve Popp","Stonehill","Sr.","3B","44","10"
"","Cody Queen","Brevard","Fr.","C","46","10"
"","Eric Ringblom","Neb.-Kearney","Jr.","1B","43","10"
"","Reid Rizzo","Lake Erie","So.","INF","42","10"
"","Evan Robinson","Tarleton St.","Fr.","INF","45","10"
"","Fernando Robles","Northwest Nazarene","Jr.","INF","39","10"
"","K Schade","St. Andrews","Fr.","-","42","10"
"","Ian Schneider","Dowling","So.","INF","40","10"
"","Jeremy Soliday","Southwestern Okla.","Sr.","3B","42","10"
"","Dylan Songer","Indiana (PA)","Sr.","1B","48","10"
"","Andre Southern","Morehouse","Fr.","INF","19","10"
"","Zach Stone","Millersville","Jr.","3B","46","10"
"","Kale Sumner","Hawaii Pacific","Jr.","INF","44","10"
"","Brandon Tangney","Rockhurst","Jr.","OF","42","10"
"","Evan Thomas","Pittsburg St.","So.","INF","44","10"
"","Austin Voros","Tex. A&M Int'l","Sr.","OF","43","10"
"","Keith Wolf","Coker","Jr.","SS","46","10"
"187","Matt Adamczyk","Mercyhurst","Sr.","C","48","9"
"","Richie Anderson","Armstrong","Jr.","C","26","9"
"","Chaz Bagwell","Valdosta St.","Jr.","INF","36","9"
"","Mike Barnhill","Armstrong","Jr.","2B","47","9"
"","Brandon Bates","St. Mary's (TX)","Jr.","DH","49","9"
"","Derek Bettinson","Northwest Nazarene","Sr.","INF","45","9"
"","Jc Brandmaier","Dowling","So.","1B","35","9"
"","Trey Buck","Southern Ark.","Sr.","SS","46","9"
"","Garrett Cook","King (TN)","So.","OF","40","9"
"","Jon Cotter","Central Mo.","Jr.","INF","43","9"
"","Curtis Cowell","Colorado St.-Pueblo","Jr.","INF","43","9"
"","Collin Elmore","St. Edward's","Sr.","INF","38","9"
"","Nick Erminio","Seton Hill","Sr.","INF","49","9"
"","Cj Flannery","Merrimack","So.","C","19","9"
"","Chuck Gasti","California (PA)","So.","INF","48","9"
"","Christian Glisson","Valdosta St.","Sr.","C","42","9"
"","Mike Godwin","Wilmington (DE)","Sr.","C","41","9"
"","Tyson Goo","Hawaii Hilo","Sr.","OF","29","9"
"","William Gorman","Paine","Jr.","INF","47","9"
"","Mac Grace","East Central","Jr.","C","28","9"
"","Lukas Graves","Tusculum","Sr.","OF","53","9"
"","Nathan Hedgepath","Ky. Wesleyan","So.","C","32","9"
"","Sheldon Howell","Fort Hays St.","Sr.","INF","44","9"
"","null Joey Belviso","Mars Hill","Fr.","-","48","9"
"","Gavin Johnson","Northeastern St.","Jr.","OF","32","9"
"","James Katsiroubas","Mass.-Lowell","Sr.","3B","43","9"
"","Fico Kondla","Coker","So.","3B","45","9"
"","Jp LaMunyon","North Ala.","Sr.","3B","44","9"
"","Taye Larry","West Fla.","Sr.","OF","43","9"
"","Zach Leonard","Saint Martin's","Fr.","C","40","9"
"","Brett Levy","UC San Diego","Fr.","C","33","9"
"","Ryan Lewis","LeMoyne-Owen","Fr.","INF","33","9"
"","Chase Loudenback","Post","Jr.","OF","20","9"
"","Colin Loughner","Mercyhurst","So.","1B","41","9"
"","Aaron Lupia","Indiana (PA)","So.","C","48","9"
"","Preston Lyon","Pfeiffer","Sr.","INF","50","9"
"","Frank Marchisello","Molloy","Sr.","INF","39","9"
"","Taylor Martin","Coker","Jr.","2B","38","9"
"","Colton McKithan","Okla. Panhandle","Sr.","2B","45","9"
"","Rafael Medina","Bloomfield","Sr.","1B","37","9"
"","John Neill","Drury","Jr.","C","41","9"
"","Beau Parker","Ga. Southwestern","Sr.","INF","40","9"
"","Heath Peterson","Montevallo","Sr.","1B","49","9"
"","Aj Royal","Western Ore.","Sr.","OF","38","9"
"","Andy Ruiz","Barry","Jr.","INF","30","9"
"","Aaron Russell","Bloomsburg","So.","SS","37","9"
"","Sam Ryan","Mo. Southern St.","Jr.","C","44","9"
"","Jimmy Ryerson","Central Wash.","Jr.","OF","33","9"
"","Tommy Scala","Mars Hill","So.","OF","48","9"
"","Josh Schroeder","Bloomsburg","Fr.","OF","41","9"
"","Brad Shankle","Southeastern Okla.","Sr.","C","40","9"
"","Charlie Sharrer","Cal St. East Bay","Jr.","OF","39","9"
"","Matt Simone","C.W. Post","Jr.","C","23","9"
"","Todd Standish","Minn. St. Mankato","So.","INF","33","9"
"","Zach Steele","Northwest Nazarene","Sr.","OF","44","9"
"","Jeremy Stein","East Central","Jr.","OF","39","9"
"","Shaun Vernesoni","Fairmont St.","Sr.","C","32","9"
"","Ben Villafuerte","Tex. A&M-Kingsville","Jr.","INF","44","9"
"","Michael Vinson","Delta St.","Jr.","DH","44","9"
"","Brian Voigt","Augustana (SD)","Sr.","INF","40","9"
"","Kirk Waligora","Montevallo","Sr.","OF","41","9"
"","Greg Walsh","Molloy","Jr.","INF","42","9"
"","Nick Whitty","Indianapolis","Jr.","C","41","9"
"","Jeremy Williams","Tuskegee","Jr.","P","42","9"
"","Zack Willoughby","Montevallo","Fr.","OF","36","9"
"","Brett Wright","West Ga.","Jr.","OF","42","9"
