"Rank","Name","Team","Cl","Pos","G","HR"
"","Will Allen","Ole Miss","Sr.","INF","25","4"
"","Anthony Azar","Sam Houston St.","Sr.","C","22","4"
"","Nick Backlund","Mercer","Sr.","1B","25","4"
"","Austin Baker","Arkansas St.","So.","OF","23","4"
"","Dylan Bosheers","Tennessee Tech","Jr.","SS","24","4"
"","Aaron Brown","Pepperdine","Jr.","OF","23","4"
"","Derek Campbell","California","Jr.","OF","22","4"
"","Jeff Campbell","North Dakota","Jr.","P","15","4"
"","Dale Carey","Miami (FL)","Sr.","OF","24","4"
"","Garrett Chapman","Ga. Southern","Fr.","INF","23","4"
"","Ryan Church","Western Ky.","Jr.","1B","24","4"
"","Zack Collins","Miami (FL)","Fr.","C","22","4"
"","Brandon Downes","Virginia","Jr.","OF","20","4"
"","Tyler Filliben","Samford","Jr.","INF","22","4"
"","Zach Fish","Oklahoma St.","Jr.","OF","24","4"
"","Tyler France","San Diego St.","So.","INF","23","4"
"","Mike Gerber","Creighton","Sr.","OF","18","4"
"","Casey Gillaspie","Wichita St.","Jr.","INF","22","4"
"","Sean Godfrey","Ball St.","Sr.","OF","24","4"
"","Josh Goossen-Brown","San Diego","Sr.","OF","21","4"
"","Dominiq Harris","Prairie View","Sr.","INF","18","4"
"","Brendon Hayden","Virginia Tech","Jr.","INF","22","4"
"","Troy Kuhn","Ohio St.","So.","INF","22","4"
"","Louie Lechich","San Diego","Sr.","P","23","4"
"","Zach Lucas","Louisville","Jr.","INF","23","4"
"","Jordan Luplow","Fresno St.","Jr.","OF","24","4"
"","Nick Lynch","UC Davis","Jr.","INF","19","4"
"","Nick Masonia","Troy","Jr.","INF","24","4"
"","Greg McCall","Texas-Arlington","Sr.","C","22","4"
"","Mitchell McGeein","Eastern Mich.","So.","INF","17","4"
"","Cam McRae","Presbyterian","Jr.","C","25","4"
"","Mitch Montaldo","Penn","Jr.","INF","15","4"
"","Alex Mottle","Delaware","Sr.","OF","21","4"
"","Brandon Murray","Col. of Charleston","Sr.","OF","23","4"
"","Logan Nottebrok","Texas A&M","Jr.","INF","20","4"
"","Ryan O'Hearn","Sam Houston St.","Jr.","INF","24","4"
"","Mark Podlas","Dayton","Sr.","OF","16","4"
"","Tanner Rockwell","UALR","Jr.","P","21","4"
"","Gary Russo","Miami (OH)","So.","OF","18","4"
"","Max Schrock","South Carolina","So.","INF","16","4"
"","Matt Shortall","Texas-Arlington","Sr.","OF","23","4"
"","Brantley Smith","Gardner-Webb","Jr.","C","17","4"
"","Ryan Stephens","Middle Tenn.","Sr.","OF","22","4"
"","DJ Stewart","Florida St.","So.","OF","23","4"
"","P.J. Torres","Austin Peay","Sr.","C","20","4"
"","Nick Torres","Cal Poly","Jr.","OF","23","4"
"","Jose Trevino","Oral Roberts","Jr.","INF","22","4"
"","Boo Vazquez","Pittsburgh","Jr.","OF","22","4"
"","Taylor Ward","Fresno St.","So.","C","24","4"
"","Kyri Washington","Longwood","So.","OF","25","4"
"","Taylor Zeutenhorst","Iowa","Sr.","OF","20","4"
"112","Drew Adams","Lipscomb","Sr.","OF","25","3"
"","Devan Ahart","Akron","Jr.","OF","19","3"
"","Jared Allen","Middle Tenn.","Jr.","OF","22","3"
"","Richard Amion","Alabama St.","Jr.","OF","29","3"
"","DC Arendas","South Carolina","So.","INF","19","3"
"","Tyson Ashcraft","Lipscomb","Jr.","INF","25","3"
"","Alex Bacon","North Florida","Sr.","OF","19","3"
"","Jesse Baker","UTSA","So.","INF","24","3"
"","Connor Barron","Southern Miss.","Jr.","OF","24","3"
"","Nick Berry","Charleston So.","Sr.","OF","23","3"
"","John Bormann","UTSA","Jr.","C","21","3"
"","Auston Bousfield","Ole Miss","Jr.","OF","25","3"
"","Tyler Boyd","Seton Hall","Jr.","INF","18","3"
"","Vahn Bozoian","Southern California","So.","OF","17","3"
"","Forrest Brandt","Davidson","Sr.","OF","20","3"
"","Connor Brown","James Madison","Sr.","INF","17","3"
"","Brad Burcroff","Northeastern","Sr.","OF","19","3"
"","Earl Burl","Alcorn","Jr.","P","23","3"
"","Austin Byler","Nevada","Jr.","INF","23","3"
"","Kelton Caldwell","BYU","Sr.","OF","25","3"
"","Matt Carroll","San Jose St.","Sr.","INF","22","3"
"","Matt Chapman","Cal St. Fullerton","Jr.","INF","21","3"
"","Ryan Cleveland","Ga. Southern","Fr.","INF","24","3"
"","Chris Cook","George Mason","Sr.","INF","21","3"
"","Conor Costello","Oklahoma St.","So.","DH","22","3"
"","Jose Cuas","Maryland","So.","INF","19","3"
"","Tommy Cunningham","Saint Joseph's","Sr.","INF","17","3"
"","Andrew Daniel","San Diego","Jr.","INF","22","3"
"","J.D. Davis","Cal St. Fullerton","Jr.","INF","21","3"
"","Paul DeJong","Illinois St.","So.","INF","20","3"
"","Tyler Detmer","Ill.-Chicago","Jr.","OF","18","3"
"","Corey Dick","UNC Wilmington","Jr.","INF","22","3"
"","Dillon Dobson","Appalachian St.","So.","INF","22","3"
"","Norm Donkin","Delaware","Jr.","OF","22","3"
"","Joe Dudek","North Carolina","Fr.","1B","23","3"
"","Matt Durst","Southern Miss.","Jr.","C","20","3"
"","Donny Duschinsky","Southern Ill.","Sr.","INF","22","3"
"","Nick Egli","Belmont","Fr.","C","20","3"
"","Mendez Elder","Savannah St.","So.","OF","22","3"
"","Joey Epperson","UC Santa Barbara","Sr.","OF","20","3"
"","Tyler Ervine","Louisiana Tech","Sr.","1B","21","3"
"","Brandon Estep","Ball St.","Jr.","INF","22","3"
"","Skyler Ewing","Rice","Jr.","INF","25","3"
"","Mike Fitzgerald","Indiana St.","Sr.","OF","17","3"
"","Sam Foy","Davidson","So.","INF","20","3"
"","Michael Fuhrman","Niagara","So.","INF","22","3"
"","Jeff Gardner","Louisville","Sr.","OF","22","3"
"","Andrew Garner","Tulane","Sr.","OF","21","3"
"","Brandon Glazer","Col. of Charleston","Jr.","OF","21","3"
"","Danny Grauer","Liberty","Sr.","P","22","3"
"","Logan Gray","Austin Peay","Fr.","INF","22","3"
"","Grayson Greiner","South Carolina","Jr.","C","22","3"
"","Tyler Griffin","Citadel","Sr.","OF","24","3"
"","Eric Gutierrez","Texas Tech","So.","INF","26","3"
"","Pete Guy","UNC Asheville","So.","C","9","3"
"","Greg Harisis","Santa Clara","Sr.","INF","20","3"
"","Bryce Harman","East Carolina","Fr.","DH","19","3"
"","Chase Harris","New Mexico","Sr.","OF","25","3"
"","Derek Hasenbeck","Xavier","Jr.","C","22","3"
"","Brad Haynal","San Diego St.","Jr.","C","20","3"
"","Gunnar Heidt","Col. of Charleston","Jr.","INF","22","3"
"","Blake Hickman","Iowa","So.","P","20","3"
"","Tanner Hill","Texas St.","So.","INF","20","3"
"","Brandon Hunley","Sacramento St.","Fr.","INF","20","3"
"","Josh Hyman","Wofford","Sr.","INF","23","3"
"","Jimmy Jack","Loyola Marymount","Jr.","1B","20","3"
"","Mac James","Oklahoma","Jr.","C","24","3"
"","Howard Joe","Mercer","Fr.","INF","14","3"
"","Connor Jones","Villanova","Sr.","OF","21","3"
"","Bre'Shon Kimbell","Louisiana Tech","Jr.","1B","22","3"
"","Brandon Kiser","Grambling","Sr.","OF","22","3"
"","Kristoffer Koerper","New Mexico St.","Sr.","INF","23","3"
"","Karch Kowalczyk","Valparaiso","Sr.","P","16","3"
"","Doug Kraeger","Richmond","So.","INF","21","3"
"","Kevin Krause","Stony Brook","Jr.","C","17","3"
"","Ryan Lindemuth","William & Mary","---","2B","22","3"
"","Aaron Machbitz","South Dakota St.","Sr.","INF","22","3"
"","Chris Manning","Valparaiso","Sr.","OF","18","3"
"","Kyle Martin","South Carolina","Jr.","1B","22","3"
"","Jordan McDonald","UNC Greensboro","Jr.","INF","21","3"
"","Sean McHugh","Purdue","Sr.","C","19","3"
"","Drew McWhorter","Samford","Sr.","C","23","3"
"","Ryan Mincher","Penn","So.","INF","15","3"
"","Ben Morgan","Ga. Southern","Sr.","INF","25","3"
"","John Mullen","Bryant","Jr.","INF","16","3"
"","Brian Mundell","Cal Poly","So.","C","23","3"
"","Max Murphy","Bradley","Jr.","OF","19","3"
"","Danny Murphy","Saint Louis","Jr.","OF","22","3"
"","Brian O'Keefe","Saint Joseph's","Jr.","C","17","3"
"","Corbin Olmstead","North Florida","So.","P","15","3"
"","Alex Owens","Longwood","Sr.","1B","25","3"
"","Joey Pankake","South Carolina","Jr.","INF","20","3"
"","Tyler Pearson","Texas St.","Sr.","C","23","3"
"","Robert Pehl","Washington","Jr.","2B","22","3"
"","Frankie Perrone","Eastern Ill.","Fr.","OF","22","3"
"","Dexter Price","Alabama St.","Sr.","INF","29","3"
"","Scott Price","Tennessee","Sr.","1B","23","3"
"","Lucas Quary","McNeese St.","Jr.","P","17","3"
"","Heath Quinn","Samford","Fr.","OF","23","3"
"","Hezekiah Randolph","New Orleans","Fr.","OF","19","3"
"","Logan Ratledge","North Carolina St.","Jr.","INF","21","3"
"","Wes Rea","Mississippi St.","Jr.","1B","26","3"
"","Chris Riopedre","East Tenn. St.","Jr.","INF","23","3"
"","Cesar Rivera","Alabama St.","Jr.","OF","27","3"
"","Mason Robbins","Southern Miss.","Jr.","OF","24","3"
"","Bennie Robinson","Florida A&M","Sr.","INF","21","3"
"","Reid Roper","Illinois","Jr.","INF","21","3"
"","Matt Rose","Georgia St.","So.","P","22","3"
"","Jake Salpietro","Fairfield","So.","3B","15","3"
"","Daniel Salters","Dallas Baptist","So.","C","23","3"
"","Ricky Santiago","Fla. Atlantic","Jr.","INF","24","3"
"","Alex Schmidt","Washington","Jr.","INF","22","3"
"","Kyle Schwarber","Indiana","Jr.","C","21","3"
"","Spencer Scorza","Cornell","Jr.","INF","13","3"
"","Brett Siddall","Canisius","So.","OF","17","3"
"","Chet Simoneaux","La.-Monroe","Sr.","P","25","3"
"","Ben Slaton","Old Dominion","Sr.","OF","24","3"
"","Austen Smith","Alabama","Sr.","INF","22","3"
"","Ridge Smith","Austin Peay","Fr.","C","22","3"
"","Bryan Soloman","Eastern Ky.","Sr.","INF","23","3"
"","Dykota Spiess","Western Caro.","Sr.","INF","21","3"
"","Tanner Stanley","Richmond","So.","OF","21","3"
"","Christin Stewart","Tennessee","So.","OF","23","3"
"","Granger Studdard","Texas St.","Fr.","INF","22","3"
"","Brett Sullivan","Pacific","So.","SS","26","3"
"","Matt Tenaglia","James Madison","Sr.","1B","21","3"
"","Tucker Tharp","Kansas","Sr.","OF","24","3"
"","Bryson Thionnet","UALR","Sr.","INF","21","3"
"","Justin Thomas","Rider","Jr.","3B","20","3"
"","Ian Townsend","East Carolina","Jr.","OF","22","3"
"","Christian Triplett","N.C. Central","So.","INF","23","3"
"","Trea Turner","North Carolina St.","Jr.","INF","22","3"
"","Andrew Utterback","Alabama A&M","Jr.","OF","25","3"
"","Mike Vigliarolo","Saint Louis","Jr.","INF","22","3"
"","Ryan Wagner","New Mexico St.","So.","INF","20","3"
"","Caleb Whalen","Portland","Jr.","INF","23","3"
"","Mark Williams","La Salle","Jr.","P","20","3"
"","Carter Williamson","N.C. Central","Sr.","C","23","3"
"","Cody Wofford","Western Ky.","Jr.","SS","17","3"
"","Shaun Wood","West Virginia","So.","OF","18","3"
"","Luke Wurzelbacher","Eastern Ky.","So.","INF","23","3"
