"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"","Neal Horan","Stonehill","Jr.","P","4","25.1","19","6.75"
"","Eric Keling","Maryville (MO)","Jr.","C","4","20.0","15","6.75"
"","James Long","LIU Post","Fr.","P","4","13.1","10","6.75"
"","Trevor Oaks","California Baptist","So.","P","8","53.1","40","6.75"
"","Preston Packrall","Tampa","Sr.","P","11","29.1","22","6.75"
"","Stephen Paladino","Felician","Sr.","P","10","21.1","16","6.75"
"","Josh Serio","Wis.-Parkside","Fr.","P","5","25.1","19","6.75"
"114","Lanny Zier","McMurry","---","P","8","49.0","37","6.80"
"115","Wilson Ashford","Fresno Pacific","Jr.","P","8","46.1","35","6.80"
"116","Nick Baker","Cal St. Chico","Sr.","P","7","43.2","33","6.80"
"117","Dalton Brown","St. Edward's","Jr.","P","6","29.0","22","6.83"
"118","William Landsheft","Drury","Sr.","P","5","25.0","19","6.84"
"119","Tanner Delahoy","Mercyhurst","Sr.","P","4","17.0","13","6.88"
"120","Mark Smyth","West Liberty","So.","P","5","31.1","24","6.89"
"121","Taylor Gentry","Washburn","Sr.","P","5","28.2","22","6.91"
"122","Curtis McCombs","Bellarmine","Sr.","P","4","27.1","21","6.91"
"123","Aaron Johnson","Arkansas Tech","Jr.","P","8","40.1","31","6.92"
"124","Nikolay Uherek","Lee","Jr.","P","6","33.2","26","6.95"
"125","Kyle Zaorski","Indiana (PA)","Jr.","P","4","22.0","17","6.95"
"126","Jacob Westerhouse","North Ala.","Jr.","P","19","32.1","25","6.96"
"127","Ryan Harper","Saint Rose","Sr.","P","4","20.2","16","6.97"
"128","Michael Letewicz","Augustana (SD)","So.","P","7","19.1","15","6.98"
"129","Brendan O'Rourke","Franklin Pierce","Jr.","P","5","28.1","22","6.99"
"130","Adrian Benitez","Barry","So.","P","8","45.0","35","7.00"
"","Mike Reef","West Liberty","Jr.","P","5","27.0","21","7.00"
"132","Scott Ward","Florida Tech","Jr.","P","8","61.2","48","7.01"
"133","Jack Fowler","Felician","Jr.","P","7","34.2","27","7.01"
"134","Matt Bowles","Southern Ind.","Sr.","INF","6","34.1","27","7.08"
"135","Joseph Saverino","Caldwell","Jr.","P","4","12.2","10","7.11"
"136","Zach Parks","West Ala.","Sr.","P","8","55.2","44","7.11"
"137","Conyon Conley","Southeastern Okla.","Sr.","P","6","36.2","29","7.12"
"138","Stephen Dickerson","Philadelphia U.","Jr.","P","5","24.0","19","7.13"
"139","Aaron Cox","Gannon","So.","P","6","34.0","27","7.15"
"140","Dom Demasi","Valdosta St.","Jr.","P","8","49.0","39","7.16"
"","Vince Frate","Ashland","Jr.","P","6","32.2","26","7.16"
"142","Tyler Badamo","Dowling","Sr.","P","5","40.0","32","7.20"
"","JR Black","Erskine","Jr.","P","11","30.0","24","7.20"
"","Rocco Cundari","Southern Conn. St.","Sr.","P","3","20.0","16","7.20"
"","Johnathan Earnest","Mansfield","Sr.","P","4","20.0","16","7.20"
"","Aaron Jackson","Gannon","Fr.","P","4","20.0","16","7.20"
"","Robert Krehel","Elizabeth City St.","Jr.","P","6","30.0","24","7.20"
"","Joe Nestor","Lock Haven","Jr.","P","6","30.0","24","7.20"
"","null Sweeney","Drury","---","P","5","25.0","20","7.20"
"150","Tom Bammann","Dowling","Sr.","P","7","33.2","27","7.22"
"151","Daniel Barfield","Francis Marion","So.","P","6","28.2","23","7.22"
"152","Spenser Watkins","Western Ore.","Sr.","P","8","47.1","38","7.23"
"153","Tyler Vails","Stillman","Sr.","P","10","42.1","34","7.23"
"154","Trey Oest","Tampa","So.","P","8","51.0","41","7.24"
"155","Jon Anderson","Slippery Rock","So.","P","7","32.1","26","7.24"
"","Tyler Sanders","Mo. Western St.","Jr.","P","13","32.1","26","7.24"
"157","Wesley Mleziva","Minn. Duluth","Jr.","P","3","13.2","11","7.24"
"158","Paul Covelle","Franklin Pierce","So.","P","5","26.0","21","7.27"
"","David Haerle","Cal St. Dom. Hills","Sr.","P","8","43.1","35","7.27"
"160","Jim Duff","Stonehill","Jr.","P","3","21.0","17","7.29"
"161","B. Bass","Angelo St.","---","1B","6","33.1","27","7.29"
"162","Dawson Brown","West Florida","Jr.","P","7","45.2","37","7.29"
"163","John Dondero","Queens (NY)","So.","P","4","16.0","13","7.31"
"164","Garrett Hickman","UNC Pembroke","Jr.","P","8","54.0","44","7.33"
"165","Colton Burleson","Tarleton St.","Jr.","P","8","49.0","40","7.35"
"166","Sean Blackburn","Ohio Dominican","Sr.","P","5","18.1","15","7.36"
"","Thomas Burke","Concordia (NY)","Fr.","P","3","11.0","9","7.36"
"","Logan Hudson","Wheeling Jesuit","Jr.","P","5","29.1","24","7.36"
"","Alex Miden","Molloy","Sr.","P","3","14.2","12","7.36"
"","null Zgardowski","Angelo St.","---","P","8","44.0","36","7.36"
"171","Tyler Lequire","Pfeiffer","Jr.","P","11","53.2","44","7.38"
"172","Oscar Gomez","East Central","Jr.","P","10","46.1","38","7.38"
"173","Eann Cox","Lewis","Jr.","P","5","36.1","30","7.43"
"174","Tad Barton","Millersville","Sr.","P","6","29.0","24","7.45"
"175","Yale Hughes","West Liberty","Fr.","P","5","25.1","21","7.46"
"176","Michael Morales","Northwestern Okla.","Sr.","P","7","41.0","34","7.46"
"177","Pete Baumgartner","Saginaw Valley","---","P","3","15.2","13","7.47"
"178","David Bancroft","Cedarville","So.","P","5","21.2","18","7.48"
"","Jonathan Murphy","Glenville St.","So.","INF","5","21.2","18","7.48"
"180","Jake Peterson","Quincy","So.","P","4","27.2","23","7.48"
"181","Alberto Canales","Ohio Dominican","Jr.","P","4","18.0","15","7.50"
"","Lucas Junger","Bloomfield","So.","P","3","18.0","15","7.50"
"","Michael Trombino","Catawba","Sr.","P","16","30.0","25","7.50"
"184","Eric Schweitzer","Ohio Valley","So.","P","4","26.1","22","7.52"
"185","Zachary Brian","St. Anselm","Sr.","P","4","28.2","24","7.53"
"","Joe Carnavale","Merrimack","Jr.","P","4","28.2","24","7.53"
"","Levi Westerlund","Lubbock Christian","---","P","8","28.2","24","7.53"
"188","Mason Marquette","Rogers St.","Jr.","P","7","51.1","43","7.54"
"189","Alex Shoulders","Trevecca Nazarene","Sr.","P","7","37.0","31","7.54"
"190","Graylon Brown","Angelo St.","So.","P","14","33.1","28","7.56"
"","John Bryant","Tuskegee","Jr.","P","8","33.1","28","7.56"
"","Billy Kirkpatrick","William Jewell","So.","P","3","25.0","21","7.56"
"193","Jared Sterling","Central Okla.","Jr.","INF","6","38.0","32","7.58"
"194","Jonathan Moody","Delta St.","Jr.","P","7","34.1","29","7.60"
"195","Trevor Richards","Drury","Jr.","P","4","26.0","22","7.62"
"196","Steve Matta","Cameron","Sr.","P","5","30.2","26","7.63"
"197","Colben McGuire","Northwest Nazarene","Jr.","P","7","37.2","32","7.65"
"","Danny Wissman","S.C. Aiken","Jr.","P","9","37.2","32","7.65"
"199","Anthony Morris","St. Thomas Aquinas","Fr.","P","3","20.0","17","7.65"
"200","Heath Kelley","Lake Erie","Jr.","P","5","22.1","19","7.66"
