"Rank","Name","Team","Cl","Pos","App","IP","SO"
"","Colton Gunn","Virginia St.","So.","P","6","38.2","36"
"","Jake Heissler","Central Mo.","Sr.","P","6","34.2","36"
"","Olen Little","Wingate","Sr.","P","8","51.0","36"
"","Travis McPherson","Shorter","---","P","7","26.1","36"
"","Michael Morales","Northwestern Okla.","Sr.","P","7","41.0","36"
"","Jeff Owen","Cal St. Monterey Bay","Jr.","P","8","43.1","36"
"","Darrin Pittman","Ark.-Fort Smith","Jr.","P","7","29.2","36"
"","Aaron Vaughn","Northwest Nazarene","Sr.","P","6","40.0","36"
"","Lanny Zier","McMurry","---","P","8","49.0","36"
"111","Robert Baroniel","Nova Southeastern","Jr.","P","8","58.1","35"
"","Adam McCreery","Azusa Pacific","Jr.","P","6","34.1","35"
"","Darrell Render","Paine","Fr.","P","9","41.0","35"
"","Jamie Sexton","West Ga.","Jr.","P","9","56.0","35"
"115","Nathan Arnold","Pittsburg St.","Jr.","C","6","34.0","34"
"","Wilson Ashford","Fresno Pacific","Jr.","P","8","46.1","34"
"","Dawson Brown","West Florida","Jr.","P","7","45.2","34"
"","Rico Garcia","Hawaii Pacific","So.","P","6","40.2","34"
"","Kevin Hamilton","Brevard","Sr.","P","9","50.0","34"
"","Julian Loret de Mola","Nova Southeastern","Jr.","P","8","43.2","34"
"","Josh Mann","Valdosta St.","Sr.","P","8","44.2","34"
"","Cody Skinner","West Ga.","Sr.","P","8","60.2","34"
"","Stephen Vaughn","Wingate","Sr.","P","7","32.2","34"
"","Ryan Woodring","North Greenville","Sr.","P","9","41.1","34"
"125","Yaniel Delgado","Benedict","So.","P","13","29.2","33"
"","Jimmy Gutowski","Eckerd","Jr.","P","7","43.0","33"
"","Evan Hart","Chowan","So.","P","7","36.1","33"
"","Adam Hofacket","California Baptist","So.","P","7","37.1","33"
"","Zach Joyce","Brevard","Jr.","P","9","43.2","33"
"","Lucas Kaplan","East Central","Jr.","P","8","49.1","33"
"","Michael Letewicz","Augustana (SD)","So.","P","7","19.1","33"
"","Ben O'Bryan","Cal St. East Bay","Sr.","P","6","33.2","33"
"","Bryan Rivera","Saint Augustine's","Jr.","P","9","43.1","33"
"","Jordy Santak","Francis Marion","Jr.","P","8","41.1","33"
"","Ryan Santhon","Cal St. L.A.","Sr.","P","6","28.0","33"
"","Thomas Schellhardt","Southern Nazarene","Jr.","P","9","46.1","33"
"","David Thompson","Anderson (SC)","So.","P","8","34.0","33"
"","Jed Vandernaald","Lynn","Sr.","P","8","47.1","33"
"139","Derek Beasley","S.C. Aiken","Sr.","P","7","43.1","32"
"","Richard Cruz-Sanchez","Eckerd","Sr.","P","7","34.1","32"
"","Spencer Earle","Anderson (SC)","Jr.","P","8","39.2","32"
"","Drew Eiland","Ala.-Huntsville","Sr.","P","7","48.1","32"
"","Ryker Fox","Northwest Mo. St.","Sr.","P","8","41.0","32"
"","Ashton Fronsoe","Florida Tech","Jr.","P","9","46.1","32"
"","Jake Garbuzinski","Christian Bros.","Sr.","P","7","47.2","32"
"","Andrew Grifol","Tex. Permian Basin","Jr.","P","7","38.0","32"
"","David Haerle","Cal St. Dom. Hills","Sr.","P","8","43.1","32"
"","Tyler Howell","Ala.-Huntsville","Jr.","P","8","51.1","32"
"","Mason Queen","Mo. Western St.","Sr.","P","8","29.0","32"
"","null Rumberg","Belmont Abbey","---","P","10","36.0","32"
"","Jared Sterling","Central Okla.","Jr.","INF","6","38.0","32"
"","Johnathon Wandling","Southern Ind.","Sr.","P","6","37.1","32"
"","Quinton Yocom","Carson-Newman","Jr.","P","8","48.1","32"
"154","George Asmus","Sonoma St.","Sr.","P","6","38.2","31"
"","Jesse Baird","Rogers St.","Sr.","P","7","37.0","31"
"","Nick Baker","Cal St. Chico","Sr.","P","7","43.2","31"
"","Danny Brown","Flagler","Jr.","INF","12","28.1","31"
"","Collin Campbell","Harding","So.","P","7","33.2","31"
"","Eann Cox","Lewis","Jr.","P","5","36.1","31"
"","Mason Crenshaw","Southeastern Okla.","---","P","12","28.0","31"
"","Joel DePorte","McMurry","Sr.","P","8","44.1","31"
"","Yumezo Densaki","Southern Ark.","Jr.","P","9","31.1","31"
"","Caleb Dirks","California Baptist","Jr.","P","12","25.0","31"
"","null Greener","Palm Beach Atl.","---","P","9","37.1","31"
"","Matt Hendricks","Rollins","So.","INF","9","35.0","31"
"","David Herd","California Baptist","Jr.","P","8","37.2","31"
"","Logan Holthaus","Harding","Sr.","P","7","42.1","31"
"","T.J. Larson","Minn. St. Mankato","Sr.","P","5","20.2","31"
"","David Lerro","Philadelphia U.","Jr.","P","6","27.0","31"
"","Jonathan Moody","Delta St.","Jr.","P","7","34.1","31"
"","Matt Rhodes","Tex. A&M-Kingsville","Sr.","P","8","40.0","31"
"","Alex Shoulders","Trevecca Nazarene","Sr.","P","7","37.0","31"
"","Josh Taylor","Georgia College","---","P","7","42.0","31"
"","Dylan Terrell","Lindenwood (MO)","Jr.","P","8","26.2","31"
"","Tyler Vails","Stillman","Sr.","P","10","42.1","31"
"","Payton Walker","Mo. Southern St.","So.","P","6","35.1","31"
"","Jake Welch","Notre Dame (OH)","Jr.","P","4","25.0","31"
"178","Chance Abrath","Dixie St.","Jr.","P","7","40.0","30"
"","Alex Aultman","Ala.-Huntsville","Sr.","P","8","42.2","30"
"","Andrew Bacon","Albany St. (GA)","---","DH","8","36.1","30"
"","Tom Bammann","Dowling","Sr.","P","7","33.2","30"
"","Justin Bartley","Miles","Jr.","3B","7","41.0","30"
"","Zachary Brian","St. Anselm","Sr.","P","4","28.2","30"
"","Jesse Bristow","Colorado St.-Pueblo","Jr.","P","7","44.1","30"
"","Zac Butler","Lincoln Memorial","Jr.","P","8","55.1","30"
"","Luis De Jesus","Ouachita Baptist","Sr.","P","8","50.1","30"
"","Nate Gercken","Academy of Art","Jr.","P","7","43.2","30"
"","Cody Hughes","Montevallo","So.","P","8","39.1","30"
"","Bryan McClellan","Northeastern St.","Jr.","P","9","27.2","30"
"","Jake Mielock","Tampa","Fr.","P","9","25.1","30"
"","Jack Murray","Rollins","Sr.","P","7","35.0","30"
"","Daniel Patrick","Lynn","Sr.","P","8","44.2","30"
"","null Redmond","Belmont Abbey","---","P","10","40.0","30"
"","Reiss Stanley","King (TN)","Sr.","P","8","36.1","30"
"","Blake Sullivan","Southern Ark.","So.","P","13","31.2","30"
"","Russell Tyler Thompson","West Virginia St.","Jr.","P","5","18.2","30"
"","Brandon White","Lander","Fr.","P","14","17.1","30"
"","Ricky Winters","Delta St.","Sr.","P","7","43.1","30"
"199","Vince Apicella","Carson-Newman","So.","P","8","32.1","29"
"","JJ Bessell","Dowling","Sr.","P","4","26.0","29"
"","Mark Biesma","Washburn","Jr.","P","5","31.2","29"
"","Justin Blue","Georgia College","Sr.","P","7","44.1","29"
"","Austin Boyle","Cal Poly Pomona","---","P","10","21.2","29"
"","Dalton Brown","St. Edward's","Jr.","P","6","29.0","29"
"","Jeffrey Conley","Alderson Broaddus","Sr.","P","5","25.2","29"
"","Mitchell Dolan","Armstrong","Sr.","P","10","32.1","29"
"","Dustin Dunagan","Carson-Newman","Sr.","P","8","46.1","29"
"","Kyle Gehrs","Central Mo.","Sr.","P","8","29.1","29"
"","Jonathan Johnson","Southwestern Okla.","Sr.","P","7","53.0","29"
"","Derek Justice","Mount Olive","Jr.","OF","8","40.0","29"
"","Gunner Kines","Mount Olive","Jr.","P","8","40.2","29"
"","William Landsheft","Drury","Sr.","P","5","25.0","29"
"","Andrew MacMahon","Adams St.","Jr.","P","7","40.2","29"
"","Jameson McGrane","Limestone","Jr.","P","9","35.2","29"
"","Colben McGuire","Northwest Nazarene","Jr.","P","7","37.2","29"
"","Tyson Miller","California Baptist","Fr.","P","7","35.2","29"
"","Brian O'Keefe","Bridgeport","Jr.","P","5","26.2","29"
"","Brendan O'Rourke","Franklin Pierce","Jr.","P","5","28.1","29"
"","Liam O'Sullivan","Saint Leo","Jr.","P","10","40.1","29"
"","Jaime Paxton","Southeastern Okla.","---","P","9","30.2","29"
"","Kurtis Schuyler","Central Mo.","Sr.","P","7","34.0","29"
"","Allen Staton","North Greenville","Jr.","INF","4","20.2","29"
"","Kyle Vail","Southern Nazarene","So.","P","8","43.2","29"
"","Scott Ward","Florida Tech","Jr.","P","8","61.2","29"
"","Cole Warren","Southern N.H.","Jr.","P","4","28.0","29"
