"Rank","Name","Team","Cl","Pos","G","SH"
"110","Rick Alessi","LIU Post","Jr.","SS","9","4"
"","Deandre Allen","Mount Olive","Jr.","2B","30","4"
"","Jonathan Allen","Tuskegee","Sr.","P","23","4"
"","Robert Alonso","Dominican (NY)","Jr.","INF","12","4"
"","Dilon Argo","Central Okla.","So.","OF","23","4"
"","Anthony Asalon","Indianapolis","So.","2B","20","4"
"","Shadi Azar","Bloomfield","Jr.","OF","11","4"
"","null B.Hesselberg","Colo. Christian","---","3B","20","4"
"","Danny Beaver","Notre Dame (OH)","Fr.","OF","16","4"
"","A. Beyer","Mary","---","CF","16","4"
"","Kasey Bielec","Central Wash.","Jr.","INF","21","4"
"","Kyle Booth","Limestone","Jr.","1B","30","4"
"","Brian Brademan","Tex. Permian Basin","Sr.","INF","27","4"
"","Cameron Brewster","Lee","Sr.","OF","28","4"
"","Justin Brock","Franklin Pierce","So.","SS","24","4"
"","Chase Bryant","Montevallo","So.","INF","29","4"
"","Drew Butler","Neb.-Kearney","So.","OF","15","4"
"","Jacob Carney","Shepherd","Fr.","INF","18","4"
"","Markus Carr","Okla. Christian","Sr.","OF","19","4"
"","Joey Cecere","North Georgia","---","SS","26","4"
"","Zac Chuvala","Cal St. East Bay","Sr.","INF","23","4"
"","Ryne Clark","Cal St. Chico","Sr.","OF","24","4"
"","Curtis Clark","Ark.-Fort Smith","Jr.","OF","25","4"
"","Cade Clay","Southeastern Okla.","---","PH/3B","22","4"
"","Will Cleary","Hawaii Hilo","So.","INF","8","4"
"","Marty Dunlap","Franklin Pierce","Sr.","C","24","4"
"","Matt Evans","Henderson St.","Jr.","INF","28","4"
"","Bryan Everhart","Carson-Newman","Jr.","3B","32","4"
"","Gabriel Fellin","Felician","Sr.","OF","19","4"
"","Mick Fennell","California (PA)","So.","INF","18","4"
"","Chad Fisher","Brevard","So.","P","28","4"
"","Daniel Fraga","UNC Pembroke","Sr.","INF","30","4"
"","Austin Freeman","Miles","Sr.","INF","23","4"
"","Steven Garber","Northwest Mo. St.","Jr.","1B","22","4"
"","Al Gonzalez","St. Mary's (TX)","So.","INF","29","4"
"","Chas Goodwin","Newberry","Sr.","C","15","4"
"","Joseph Graves","Paine","Fr.","OF","26","4"
"","Gooch Greer","Carson-Newman","So.","C","22","4"
"","Dalton Gust","Dixie St.","Jr.","SS","26","4"
"","Wade Hanna","Emporia St.","Fr.","OF","22","4"
"","Dusty Harper","Mo. Southern St.","Sr.","1B","25","4"
"","Calvin Hawke","Barton","Fr.","INF","13","4"
"","Joe Hermsen","St. Mary's (TX)","Jr.","3B","27","4"
"","Rob Hogenkamp","Georgia College","Sr.","INF","25","4"
"","Taylor Hollifield","North Greenville","Sr.","INF","27","4"
"","Ty Huie","East Central","Jr.","OF","21","4"
"","Zach Huskey","Cedarville","Jr.","INF","16","4"
"","Dane Hutcheon","Montevallo","Fr.","INF","30","4"
"","C. James","West Ga.","---","1B/RF","29","4"
"","Trumon Jefferson","West Florida","Jr.","OF","23","4"
"","Jay Johnson","Arkansas Tech","Sr.","3B","28","4"
"","Ryan Khan","GRU Augusta","Sr.","C","27","4"
"","Alex Kirby","Newberry","Jr.","OF","25","4"
"","Stewart Knight","Valdosta St.","Jr.","INF","9","4"
"","Robert Kosch","Newberry","Fr.","INF","21","4"
"","Zach Kurzejeski","Lindenwood (MO)","Sr.","INF","11","4"
"","Alex Lator","Newman","---","DH","23","4"
"","David Lee","Tex. Permian Basin","Jr.","INF","19","4"
"","Thomas Lundborg","North Ala.","Sr.","C","16","4"
"","CJ Manning","St. Edward's","Sr.","C","9","4"
"","Joe Marciano","Wilmington (DE)","Sr.","1B","13","4"
"","Brandon Marshall","Montevallo","So.","INF","26","4"
"","Jacoby Martin","Pittsburg St.","Sr.","C","17","4"
"","Nate Mastervick","Salem Int'l","---","CF","18","4"
"","Hunter Mayfield","Rollins","Sr.","OF","22","4"
"","Matt McMillen","Pitt.-Johnstown","Jr.","INF","18","4"
"","Dillon Meyer","San Fran. St.","Sr.","OF","23","4"
"","Cole Morris","Francis Marion","So.","INF","27","4"
"","Joel Murphy","West Ala.","So.","INF","25","4"
"","Travis Naraine","North Georgia","Jr.","INF","26","4"
"","Andres Nelo","Lee","Jr.","INF","29","4"
"","LJ Newman","Anderson (SC)","So.","C","19","4"
"","Brooks Orton","St. Mary's (TX)","Jr.","OF","29","4"
"","Ethan Perla","Palm Beach Atl.","Sr.","OF","22","4"
"","Eric Peterson`","Minn. St. Mankato","Fr.","INF","19","4"
"","Joe Post","Flagler","Sr.","INF","27","4"
"","Nathan Prindle","Lindenwood (MO)","So.","INF","25","4"
"","Jacob Rand","Mars Hill","Jr.","C","30","4"
"","Luke Reinschmidt","Mont. St. Billings","So.","OF","24","4"
"","Drake Roberts","St. Mary's (TX)","Jr.","SS","29","4"
"","Stevie Robinson","Cal St. Stanislaus","---","2B","20","4"
"","Brad Rolff","Minot St.","Jr.","INF","13","4"
"","Casey Ryan","Cal St. L.A.","Sr.","INF","25","4"
"","Ricky Sanchez","Newman","Sr.","OF","21","4"
"","Mark Sanchez","California Baptist","So.","C","28","4"
"","Ethan Satterfield","Catawba","Sr.","OF","29","4"
"","Cody Scheler","Bellarmine","Sr.","OF","18","4"
"","Taylor Seaman","Christian Bros.","Jr.","P","22","4"
"","Jordan Shank","Walsh","Jr.","SS","22","4"
"","Ryan Siegel","Mercyhurst","Jr.","OF","16","4"
"","Cody Slader","Cal St. Chico","Jr.","SS","24","4"
"","Brad Smith","Bloomsburg","Sr.","P","18","4"
"","Josh Solemsaas","Western Ore.","Sr.","INF","9","4"
"","Kelly Starnes","Cal St. East Bay","Jr.","OF","24","4"
"","Nate Steffler","Maryville (MO)","Jr.","INF","16","4"
"","Michael Stemle","Lynn","Jr.","INF","29","4"
"","Gus Strunk","Fort Hays St.","Jr.","INF","21","4"
"","Conor Szczerba","Fla. Southern","Sr.","2B","29","4"
"","Matt Taylor","Western Ore.","Jr.","OF","27","4"
"","Tashaun Taylor","Virginia St.","So.","-","23","4"
"","Rustin Thomas","Tarleton St.","Sr.","OF","23","4"
"","Hunter Thompson","Valdosta St.","Jr.","P","25","4"
"","John Topoleski","Tusculum","---","3B","26","4"
"","Justin Trent","King (TN)","Sr.","INF","31","4"
"","Jarrod Turner","Western Ore.","Jr.","C","6","4"
"","Sergio Valenzuela","Colorado Mesa","Jr.","OF","14","4"
"","Will Wallace","Ouachita Baptist","So.","INF","24","4"
"","Nathan Ward","Armstrong","So.","OF","18","4"
"","Matt Wheeler","Malone","Jr.","OF","16","4"
"","Gable Whitacre","St. Edward's","Fr.","C","24","4"
"","Avery Wilson","Paine","Jr.","INF","26","4"
"","Trent Woodridge","Harding","Sr.","OF","28","4"
"","Darrin Zombro","Fairmont St.","Fr.","INF","12","4"
