"Rank","Name","Team","Cl","Pos","G","HBP"
"","Corey Ketterer","Framingham St.","Sr.","OF","35","12"
"","Drew Leonard","Millsaps","Jr.","INF","42","12"
"","Nick Martin","Neumann","Jr.","OF","30","12"
"","Garrett Methvin","LeTourneau","So.","P","40","12"
"","Brad Murphy","Manchester","So.","OF","36","12"
"","Nick Nolan","Kean","Sr.","OF","37","12"
"","Jonathan Rea","MIT","Fr.","INF","33","12"
"","Walt Roman","Rochester Inst.","Fr.","INF","24","12"
"","Garrett Russell","Clarkson","Sr.","OF","28","12"
"","Billy Steel","Chris. Newport","Fr.","INF","44","12"
"","Michael Takemura","Whitworth","Jr.","INF","39","12"
"","Michael Tucker","Anderson (IN)","Jr.","C","35","12"
"","Billy Uberti","Lasell","Fr.","INF","34","12"
"","Jon Walker","Birmingham-So.","Jr.","INF","36","12"
"","Tim Wiand","Westminster (PA)","Jr.","1B","31","12"
"74","Jeremy Aliff","Millsaps","Sr.","OF","40","11"
"","Doug Bloom","Willamette","Sr.","INF","40","11"
"","Ryan Brown","Messiah","So.","-","36","11"
"","Nicko Burnett","Swarthmore","Fr.","OF","32","11"
"","Ryan Byrnes","McDaniel","Jr.","OF","26","11"
"","Jon Carlson","Wesley","So.","OF","35","11"
"","Kenny Destremps","Brandeis","Jr.","C","36","11"
"","Sean Fischer","Fontbonne","So.","OF","30","11"
"","Zach Herd","Bethany Lutheran","Sr.","INF","28","11"
"","J.D. Hulse","Birmingham-So.","Sr.","OF","39","11"
"","Kellen Jarrett","Delaware Valley","Sr.","OF","30","11"
"","Dennis Lopez","John Jay","So.","SS","34","11"
"","Mike Mattei","Mass.-Boston","Jr.","3B","33","11"
"","Mitch McClune","WPI","Jr.","OF","33","11"
"","Rob McPike","DePauw","Jr.","INF","39","11"
"","Alex Mullendore","Wis.-Oshkosh","Jr.","C","32","11"
"","Kevin Schuver","Coe","Sr.","C","34","11"
"","Matt Skinner","Washington-St. Louis","Sr.","1B","46","11"
"","Zac Talis","Mass.-Dartmouth","Sr.","C","32","11"
"93","Derek Aldrich","George Fox","Sr.","OF","35","10"
"","Logan Allen","Occidental","So.","OF","32","10"
"","Robb Arndt","Colby","Jr.","1B","33","10"
"","Dave Bartek","Piedmont","Sr.","OF","45","10"
"","Justin Beasley","Concordia (TX)","Sr.","INF","34","10"
"","Stephen Bishop","Huntingdon","Sr.","OF","40","10"
"","Joe Bogdewiecz","Wash. & Jeff.","Sr.","SS","32","10"
"","Corey B. Briggs","Southern Vt.","Fr.","OF","32","10"
"","Spencer Brunson","Mississippi Col.","Jr.","INF","42","10"
"","Thomas Butler","Farmingdale St.","Jr.","C","24","10"
"","Peter Byron","Ferrum","Jr.","OF","34","10"
"","Matt Consiglio","Mass.-Boston","So.","SS","34","10"
"","William Crofton","Framingham St.","So.","OF","33","10"
"","Steven DeBonis","Drew","Jr.","C","36","10"
"","Cody Ewest","Becker","Fr.","INF","31","10"
"","Tim Gindville","Benedictine (IL)","So.","INF","29","10"
"","Jason Handley","Thomas More","Fr.","2B","28","10"
"","Nate Hickok","George Fox","Sr.","OF","34","10"
"","Jordan Jaenicke","Beloit","Jr.","INF","28","10"
"","Adam Kordich","Chapman","Sr.","C","34","10"
"","Kurt Krout","Shenandoah","So.","SS","39","10"
"","Tim Kwilos","Swarthmore","So.","OF","30","10"
"","Dustin Lalle","La Roche","Jr.","OF","30","10"
"","Cody Laprarie","Louisiana Col.","Sr.","OF","43","10"
"","Daniel Mauriello","Ramapo","Jr.","OF","31","10"
"","Mark McDermott","Ill. Wesleyan","Jr.","C","34","10"
"","Danny Mello","Endicott","Fr.","INF","40","10"
"","Thomas Nakamura","Swarthmore","Sr.","INF","29","10"
"","Dan Noonan","Mass.-Boston","Sr.","SS","29","10"
"","Brandon O'Connell","Wis.-Stout","Sr.","3B","32","10"
"","Chris Reynolds","Luther","Jr.","INF","35","10"
"","Matt Rodriguez","Curry","So.","C","36","10"
"","Dustin Sauter","Minn.-Morris","Fr.","SS","23","10"
"","Graham Sherman","Coast Guard","Sr.","2B","25","10"
"","Lj Travaglia","Catholic","Sr.","INF","30","10"
"","Ted Williams","Earlham","Fr.","INF","34","10"
"","Steve Zerbini","Pitt.-Greensburg","Jr.","C","31","10"
"","Dave Zubia","Moravian","Jr.","INF","31","10"
"131","Anthony Benoit","Louisiana Col.","Sr.","C","37","9"
"","Robert Brown","Concordia (TX)","Sr.","OF","42","9"
"","Mike Canvello","Loras","So.","INF","29","9"
"","Chris Cocci","Salem St.","Jr.","SS","34","9"
"","Donny Coolidge","Plattsburgh St.","Sr.","3B","33","9"
"","Joe Corey","Becker","Jr.","OF","31","9"
"","Clay Crosswhite","Mississippi Col.","Sr.","INF","37","9"
"","Tom DeAngelis","Widener","Sr.","OF","34","9"
"","Zach Deutscher","North Park","Sr.","C","35","9"
"","Chris Dominguez","Endicott","Sr.","INF","38","9"
"","Clint Dunham","Texas-Dallas","Sr.","1B","36","9"
"","Kyle Eaves","Texas Lutheran","Sr.","P","41","9"
"","Benjamin Farias","Old Westbury","So.","SS","39","9"
"","Adam Farris","Dallas","So.","OF","29","9"
"","Andrew Fatse","Western New Eng.","Sr.","OF","40","9"
"","Kyle Felix","Trinity (TX)","Sr.","C","44","9"
"","Justin Freres","Wesleyan (CT)","Sr.","OF","33","9"
"","Nick Genetti","Westminster (MO)","Jr.","INF","30","9"
"","Brian Green","Salisbury","Sr.","INF","34","9"
"","Scott Hansen","Wm. Paterson","So.","OF","34","9"
"","Casey Hicks","Gallaudet","Fr.","C","42","9"
"","Aaron Hopper","Marietta","So.","OF","31","9"
"","Ryan Jones","Emory","Sr.","1B","40","9"
"","Ryan Jordan","Medaille","Fr.","C","31","9"
"","Todd Keneborus","St. Joseph's (ME)","Sr.","OF","40","9"
"","David Kinney","Clarkson","Jr.","INF","30","9"
"","Chester Kirkwood","La Roche","Sr.","C","34","9"
"","Patrick Kuhns","Hampden-Sydney","So.","C","29","9"
"","Ben Lenda","Chris. Newport","Jr.","C","42","9"
"","Jay Lichter","Randolph-Macon","Sr.","C","42","9"
"","Noah Lynd","Bates","Sr.","1B","31","9"
"","Jon Mahaffey","Washington Col.","Fr.","2B","23","9"
"","Chris Mattson","Hope","Jr.","SS","32","9"
"","Will Mentor","Puget Sound","Jr.","INF","30","9"
"","Craig Mobley","LaGrange","Sr.","C","37","9"
"","Cody Nelson","Centre","Fr.","OF","26","9"
"","Brandon Owashi","Redlands","Sr.","OF","36","9"
"","Joe Parillo","Mass. Liberal Arts","Sr.","OF","29","9"
"","Jimmy Polster","Rockford","Sr.","INF","23","9"
"","Justin Portzline","Susquehanna","Sr.","INF","28","9"
"","Garrett Price","Frostburg St.","Jr.","C","33","9"
"","Collin Radack","Hendrix","Fr.","OF","41","9"
"","Joe Reilly","Sewanee","Sr.","INF","31","9"
"","Patrick Reitemeyer","Rutgers-Newark","Sr.","SS","36","9"
"","Kyle Rose","Mt. Aloysius","Sr.","OF","25","9"
"","Anthony Salsedo","Occidental","Jr.","OF","30","9"
"","Bryan Sanderson","Bridgewater (VA)","Fr.","INF","40","9"
"","Eric Sousanes","North Park","Fr.","INF","29","9"
"","Bobby Stachura","Lasell","So.","INF","34","9"
"","Jordan Stephans","Carroll (WI)","So.","INF","28","9"
"","Russell Tischler","Frank. & Marsh.","Sr.","C","34","9"
"","Greg Van Sickler","Shenandoah","Sr.","P","39","9"
"","Drue Vernon","Chris. Newport","Sr.","DH","38","9"
"","Chris Waguespack","Louisiana Col.","Sr.","C","41","9"
"","Scott Weaver","Rowan","Sr.","OF","37","9"
"","Matt Will","Frank. & Marsh.","Sr.","INF","38","9"
"","Jay Zehring","Arcadia","Fr.","INF","25","9"
