"Rank","Name","Team","Cl","Pos","G","SB","CS"
"","Jace Conrad","La.-Lafayette","Jr.","2B","24","9","2"
"","Tres Eberhardt","Xavier","Sr.","INF","21","9","3"
"","Ryan Farney","Sam Houston St.","Jr.","INF","21","9","0"
"","Jerry Ford","Texas Southern","Jr.","OF","22","9","3"
"","Dan Glevenyak","Auburn","Sr.","INF","25","9","1"
"","Gage Green","Oklahoma St.","Jr.","C","22","9","1"
"","Gunnar Heidt","Col. of Charleston","Jr.","INF","22","9","0"
"","Demarcus Henderson","Mississippi St.","Sr.","INF","21","9","0"
"","Dalton Herrington","La.-Monroe","Sr.","OF","25","9","2"
"","Alex Howe","Tex.-Pan American","Sr.","OF","26","9","4"
"","Tyler Krieger","Clemson","So.","INF","23","9","2"
"","Patrick Lancaster","Bowling Green","Sr.","OF","21","9","2"
"","Will Maddox","Tennessee","Jr.","INF","23","9","2"
"","Lee Moore","Savannah St.","So.","OF","22","9","1"
"","Andre Moore","Norfolk St.","So.","P","21","9","1"
"","JJ Nazzaro","Gardner-Webb","Sr.","OF","24","9","2"
"","Julio Nunez","Alabama A&M","Sr.","3B","25","9","6"
"","Jacob Rice","West Virginia","Sr.","OF","20","9","2"
"","Casey Rodrigue","Indiana","Jr.","INF","21","9","3"
"","John Rubino","Eastern Mich.","Jr.","INF","19","9","2"
"","Tyler Sullivan","Pacific","Jr.","OF","26","9","3"
"","Doug Votolato","Central Ark.","Sr.","INF","21","9","2"
"","Charlie White","Maryland","Jr.","OF","21","9","0"
"","Alex Witkus","Fairfield","Jr.","OF","13","9","0"
"101","Tim Arakawa","Oklahoma St.","Jr.","INF","24","8","0"
"","Derrick Armstrong","Mississippi St.","Sr.","OF","23","8","1"
"","Austin Baker","Arkansas St.","So.","OF","23","8","0"
"","Jesse Baker","UTSA","So.","INF","24","8","1"
"","Zack Burling","Western Ill.","Sr.","OF","17","8","1"
"","Andrew Calica","UC Santa Barbara","So.","OF","20","8","2"
"","Jose Carrera","Manhattan","Fr.","INF","18","8","0"
"","Tom D'Alessandro","Cornell","Sr.","OF","12","8","1"
"","Kyle Danford","A&M-Corpus Christi","Jr.","OF","26","8","2"
"","Ben DeLuzio","Florida St.","Fr.","INF","21","8","0"
"","T.J. Dixon","Samford","Fr.","OF","22","8","2"
"","Joey Epperson","UC Santa Barbara","Sr.","OF","20","8","0"
"","Zach Fisher","Towson","Sr.","3B","20","8","1"
"","Michael Foster","Northeastern","Jr.","INF","18","8","1"
"","Sebastian Gomez","Elon","Sr.","INF","22","8","4"
"","Ethan Gross","Memphis","Sr.","INF","23","8","3"
"","Kenny Jackson","Hofstra","Sr.","OF","15","8","0"
"","Chris Kalousdian","Manhattan","Jr.","INF","18","8","0"
"","Braxton Lee","Ole Miss","Jr.","OF","25","8","2"
"","Zack Lee","N.C. Central","Sr.","INF","23","8","1"
"","Ryan Leonards","La.-Lafayette","Sr.","SS","24","8","1"
"","Colin Lyman","Louisville","Fr.","OF","19","8","1"
"","Alex Miklos","Kent St.","Jr.","OF","20","8","1"
"","Hutton Moyer","Pepperdine","So.","INF","23","8","1"
"","Danny Pardo","Campbell","Fr.","OF","24","8","4"
"","Max Pentecost","Kennesaw St.","Jr.","C","27","8","1"
"","Ashton Perritt","Liberty","Jr.","P","25","8","3"
"","Frankie Ratcliff","Houston","Sr.","INF","23","8","3"
"","Henry Rundio","Gardner-Webb","Jr.","2B","22","8","1"
"","Connor Schaefbauer","Minnesota","So.","INF","19","8","0"
"","Zach Schira","Dayton","Jr.","OF","20","8","1"
"","Nick Senzel","Tennessee","Fr.","INF","22","8","1"
"","A.J. Simcox","Tennessee","So.","SS","21","8","2"
"","Taylor Skerpon","Penn St.","Jr.","INF","23","8","2"
"","Michael Suchy","FGCU","Jr.","OF","24","8","1"
"","Jordan Tarsovich","VMI","Jr.","INF","22","8","1"
"","Nelson Ward","Georgia","Jr.","INF","25","8","4"
"","Drew Weeks","North Florida","Jr.","OF","23","8","2"
"","Jacob Williams","Southeastern La.","Jr.","INF","21","8","3"
"","Austin Wilson","Eastern Mich.","So.","OF","19","8","0"
"","Stephen Wrenn","Georgia","Fr.","OF","24","8","1"
"142","Mike Alexander","Delaware St.","Sr.","P","16","7","2"
"","Michael Babb","Jacksonville","So.","OF","17","7","1"
"","Michael Bishop","Jacksonville St.","Sr.","OF","21","7","0"
"","Kent Blackstone","New Mexico St.","So.","INF","23","7","2"
"","Alex Bregman","LSU","So.","INF","25","7","2"
"","Earl Burl","Alcorn","Jr.","P","23","7","1"
"","Heath Burton","Furman","Sr.","OF","24","7","3"
"","Dale Carey","Miami (FL)","Sr.","OF","24","7","4"
"","Kyle Cedotal","Southeastern La.","So.","OF","23","7","1"
"","Chris Coia","Radford","So.","INF","23","7","5"
"","Keenan Cook","Rice","Sr.","OF","25","7","0"
"","Ruhlman D.J.","Seton Hall","Jr.","P","19","7","2"
"","Carter DeBoe","IPFW","Sr.","OF","20","7","0"
"","Matthew Dickey","Stephen F. Austin","So.","OF","18","7","6"
"","TJ Ehrsam","Hofstra","Sr.","OF","10","7","1"
"","Mitch Elliott","Xavier","Sr.","OF","9","7","0"
"","David Fletcher","Loyola Marymount","Fr.","INF","24","7","4"
"","Collin Forgey","Saint Joseph's","---","RF","17","7","0"
"","Spencer Gaa","Bradley","Fr.","INF","19","7","2"
"","Jesus Garcia","Tex.-Pan American","Jr.","INF","26","7","6"
"","Zach Gibbons","Arizona","So.","OF","26","7","3"
"","Edwin Gomez","Northwestern St.","Sr.","OF","21","7","0"
"","Damon Haecker","Auburn","Fr.","INF","25","7","1"
"","Mott Hyde","Georgia Tech","Sr.","INF","23","7","1"
"","Bobby Ison","Charleston So.","Jr.","OF","25","7","4"
"","Kevin Kaczmarski","Evansville","Jr.","OF","19","7","2"
"","Brandon Kiser","Grambling","Sr.","OF","22","7","0"
"","Ross Kivett","Kansas St.","Sr.","INF","23","7","0"
"","Colton Konvicka","Longwood","So.","OF","16","7","1"
"","Andy Lack","Southeast Mo. St.","Jr.","INF","13","7","0"
"","Justin Lee","Norfolk St.","Jr.","INF","21","7","1"
"","Pete Leonello","LIU Brooklyn","Sr.","OF","18","7","3"
"","Jake Little","Memphis","So.","INF","23","7","4"
"","Philip Lyons","Nicholls St.","Sr.","INF","25","7","3"
"","Travis Maezes","Michigan","So.","INF","23","7","3"
"","Benigno Marrerro","UNC Greensboro","So.","OF","16","7","1"
"","Richie Martin","Florida","So.","INF","24","7","2"
"","Mike Martin","Harvard","Jr.","OF","17","7","0"
"","Grant Massey","Lipscomb","Jr.","INF","25","7","1"
"","Jon McAllister","LIU Brooklyn","Jr.","OF","18","7","2"
"","Ryan McNally","Fordham","So.","OF","19","7","1"
"","Dylan Moore","UCF","Jr.","INF","25","7","2"
"","Michael Morman","Valparaiso","Jr.","OF","17","7","0"
"","Max Murphy","Bradley","Jr.","OF","19","7","0"
"","Connor Myers","Old Dominion","So.","OF","24","7","3"
"","Aaron Nardone","Delaware St.","Sr.","OF","19","7","2"
"","Kyle Nowlin","Eastern Ky.","So.","OF","24","7","1"
"","Tyler Palmer","Miami (FL)","Sr.","OF","23","7","3"
"","Alec Paradowski","Wofford","So.","INF","23","7","4"
"","Joshua Powell","Alcorn","Sr.","INF","21","7","1"
"","Cody Ramer","Arizona","So.","INF","26","7","5"
"","Matthew Ramsay","Wofford","Jr.","C","16","7","1"
"","Dalton Rouleau","Hofstra","Sr.","SS","15","7","0"
"","Joseph Runco","Fordham","So.","INF","19","7","3"
"","RJ Santigate","Kansas St.","Sr.","INF","23","7","1"
"","Brandon Scott","Mt. St. Mary's","Sr.","2B","14","7","2"
"","Jordan Serena","Columbia","Jr.","OF","16","7","3"
"","Connor Short","Auburn","Fr.","INF","15","7","0"
"","Daniel Spingola","Georgia Tech","Jr.","OF","24","7","1"
"","Brett Sullivan","Pacific","So.","SS","26","7","1"
"","Jack Sundberg","UConn","So.","OF","20","7","3"
"","Kyle Survance","Houston","So.","OF","23","7","2"
"","Tim Swatek","Fordham","Sr.","P","19","7","4"
"","Deion Tansel","Toledo","So.","INF","20","7","3"
"","Ryan Tella","Auburn","Sr.","OF","23","7","1"
"","Ka'Ai Tom","Kentucky","So.","OF","18","7","2"
"","Joe Torres","Iona","Sr.","OF","13","7","0"
"","Dylan Tritsch","East Tenn. St.","Sr.","OF","21","7","2"
"","Trea Turner","North Carolina St.","Jr.","INF","22","7","2"
"","Xavier Turner","Vanderbilt","So.","INF","24","7","5"
"","Bret Underwood","Northwestern St.","Jr.","OF","21","7","1"
"","JD Whetsel","Cornell","Jr.","OF","14","7","2"
"","Zander Wiel","Vanderbilt","So.","INF","25","7","2"
"","Caleb Wood","Gonzaga","So.","INF","22","7","1"
"","Kyle Zech","Stetson","Sr.","OF","20","7","0"
