"Rank","Name","Team","Cl","Pos","G","SF"
"","Dan Findley","Bowdoin","Jr.","C","33","5"
"","Cameron Fishman","Centre","Sr.","C","31","5"
"","Zach Fitzpatrick","Lynchburg","So.","C","39","5"
"","Jake Fletcher","Randolph-Macon","Jr.","OF","38","5"
"","Devin Frye","SUNYIT","Sr.","INF","30","5"
"","Mitch Glasser","Macalester","Sr.","INF","37","5"
"","Tad Gold","Endicott","So.","OF","39","5"
"","Marc Hanna","Catholic","So.","INF","37","5"
"","Wade Hauser","Tufts","Fr.","INF","29","5"
"","Michael Herzog","Adrian","Sr.","3B","32","5"
"","Mike Kastelic","Allegheny","Jr.","OF","35","5"
"","Chris Kemp","Dominican (IL)","Sr.","INF","35","5"
"","Aaron Klinec","Wash. & Jeff.","Sr.","INF","31","5"
"","Tim Kuzniar","St. Thomas (MN)","So.","OF","34","5"
"","Cory Leff","Oglethorpe","Jr.","OF","39","5"
"","J.R. Lopez","Chicago","Jr.","INF","33","5"
"","Alex Lorenc","St. Joseph's (ME)","So.","C","40","5"
"","Cody Makin","Thomas More","So.","1B","35","5"
"","Mark Manthe","Roanoke","Jr.","DH","35","5"
"","Colin McCarthy","Catholic","Fr.","1B","31","5"
"","Aaron Mills","Lebanon Valley","Sr.","OF","38","5"
"","Mike Mulvihill","Plattsburgh St.","Jr.","OF","28","5"
"","Jimmy Napolitano","Rutgers-Newark","So.","OF","37","5"
"","Cory Nelson","Shenandoah","Sr.","3B","40","5"
"","Kyle Neverman","Johns Hopkins","Jr.","INF","39","5"
"","Kevin O'Connor","Emory","Sr.","INF","37","5"
"","Sean Osterman","St. John Fisher","Sr.","OF","35","5"
"","Nick Pappas","Trinity (TX)","Sr.","INF","44","5"
"","Steve Perone","Wesley","Jr.","INF","36","5"
"","Matt Quick","Methodist","Sr.","INF","41","5"
"","Collin Radack","Hendrix","So.","OF","40","5"
"","Drew Risk","Emerson","Fr.","C","38","5"
"","Jay Ruiz","Purchase St.","Fr.","INF","30","5"
"","Morgan Rupp","Wesley","Jr.","INF","41","5"
"","Sean Ryan","Wheaton (MA)","Jr.","OF","39","5"
"","Steve Sanguiliano","Kean","Sr.","INF","38","5"
"","Josh Sharpe","Mt. St. Vincent","So.","OF","33","5"
"","Ryan Shaughnessy","St. John Fisher","Sr.","C","20","5"
"","Kevin Shields","Frank. & Marsh.","Jr.","INF","31","5"
"","David Simone","Western Conn. St.","Sr.","C","25","5"
"","Rob Somers","Wm. Paterson","Sr.","OF","39","5"
"","Yancy Taveras","Baruch","So.","INF","35","5"
"","Prateek Thaman","St. Joseph's (L.I.)","Sr.","OF","28","5"
"","Andrew Thole","Thomas More","Sr.","1B","36","5"
"","Alex Toth","Marietta","Jr.","C","33","5"
"","Chris Tuttle","Misericordia","Sr.","C","38","5"
"","Pat Warrington","Southern Vt.","Sr.","OF","40","5"
"","Ian Williams","Bridgewater St.","Sr.","OF","38","5"
"","Dave Wolak","Elmhurst","So.","OF","35","5"
"","Jon Wylie","Colby-Sawyer","So.","OF","39","5"
