"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"35","Austin Stone","Baylor","Jr.","P","6","37.0","9","4","0.97"
"36","Michael Burke","Buffalo","Sr.","P","5","36.0","8","4","1.00"
"","Alex Luna","UAB","Jr.","P","6","36.0","5","4","1.00"
"","Connor Cuff","Penn","Jr.","P","4","27.0","5","3","1.00"
"39","Nathan Thornhill","Texas","Sr.","P","9","35.2","4","4","1.01"
"40","Chase Mallard","UAB","Sr.","P","6","43.2","6","5","1.03"
"41","Lucas Bakker","Elon","Jr.","P","6","43.0","10","5","1.05"
"42","Jeff Brigham","Washington","Jr.","P","6","34.0","4","4","1.06"
"","Zech Lemond","Rice","Jr.","P","8","34.0","5","4","1.06"
"44","Connor Jones","Virginia","Fr.","P","9","25.0","3","3","1.08"
"45","Nick Eicholtz","Alabama","Fr.","P","7","24.2","5","3","1.09"
"46","Preston Brown","Mississippi St.","So.","P","7","32.0","5","4","1.13"
"47","Grayson Long","Texas A&M","So.","P","6","39.2","5","5","1.13"
"48","Logan Shore","Florida","Fr.","P","6","31.1","8","4","1.15"
"49","Kyle McKenzie","Tulane","Sr.","P","6","23.1","4","3","1.16"
"50","Mike Franco","FIU","Sr.","P","6","38.2","8","5","1.16"
"","Jimmy Herget","South Fla.","So.","P","6","38.2","12","5","1.16"
"52","Aaron Garza","Houston","Jr.","P","6","46.0","8","6","1.17"
"","Kyle Crawford","Pacific","Sr.","P","12","30.2","9","4","1.17"
"54","Vinny Nittoli","Xavier","Sr.","P","5","30.0","7","4","1.20"
"55","Nathan Kirby","Virginia","So.","P","6","37.1","6","5","1.21"
"","Cody Schumacher","Missouri St.","Sr.","P","6","37.1","7","5","1.21"
"57","Montana Durapau","Bethune-Cookman","Sr.","P","9","52.0","9","7","1.21"
"58","Christian Taugner","Brown","Fr.","P","3","22.0","5","3","1.23"
"59","Nolan Trabanino","UTSA","So.","P","6","36.1","8","5","1.24"
"","Grahamm Wiest","Cal St. Fullerton","Jr.","P","5","36.1","15","5","1.24"
"61","Aaron Hauge","Southern Ill.","Jr.","P","5","28.2","7","4","1.26"
"62","Mike Shawaryn","Maryland","Fr.","P","6","35.2","6","5","1.26"
"","Jacob Smigelski","UC Riverside","Sr.","P","5","35.2","6","5","1.26"
"64","Matt Imhof","Cal Poly","Jr.","P","6","42.2","7","6","1.27"
"","Jason Foley","Sacred Heart","Fr.","P","6","21.1","7","3","1.27"
"66","Andrew Moore","Oregon St.","So.","P","5","35.1","11","5","1.27"
"67","David Hearne","Notre Dame","So.","P","10","35.0","7","5","1.29"
"68","Mac Gill","UMBC","Sr.","P","4","27.2","5","4","1.30"
"69","Matt Cooper","Hawaii","Sr.","P","6","41.0","10","6","1.32"
"70","Cale Elam","Wichita St.","Sr.","P","5","34.0","6","5","1.32"
"71","Tyler Ferguson","Vanderbilt","So.","P","6","33.2","8","5","1.34"
"","Anthony Magovney","Buffalo","Jr.","P","5","33.2","6","5","1.34"
"73","Chris Carmain","Northeastern","Sr.","P","6","40.1","10","6","1.34"
"74","Corey Miller","Pepperdine","Sr.","P","6","47.0","10","7","1.34"
"75","Tyler Mapes","Tulane","---","P","5","26.2","7","4","1.35"
"","Greg Mahle","UC Santa Barbara","Jr.","P","11","20.0","5","3","1.35"
"77","Tyler Davis","Washington","Jr.","P","7","33.0","8","5","1.36"
"78","Blake Fox","Rice","So.","P","6","39.1","6","6","1.37"
"79","Chase McDowell","Rice","Sr.","P","7","32.2","11","5","1.38"
"80","Carson Baranik","La.-Lafayette","Jr.","P","6","45.2","9","7","1.38"
"81","Sam Street","Tex.-Pan American","Sr.","P","6","51.2","11","8","1.39"
"82","Andy Cox","Tennessee","So.","P","14","32.0","5","5","1.41"
"83","Nate Griep","Kansas St.","Fr.","P","7","25.1","6","4","1.42"
"84","David Hess","Tennessee Tech","Jr.","P","6","37.2","8","6","1.43"
"","Sam Howard","Ga. Southern","Jr.","P","6","37.2","9","6","1.43"
"86","Zach Rodgers","UCF","Jr.","P","10","31.1","8","5","1.44"
"87","Sean Poppen","Harvard","So.","P","4","25.0","6","4","1.44"
"88","Brandon Finnegan","TCU","Jr.","P","6","43.2","7","7","1.44"
"89","David Bednar","Lafayette","Fr.","P","3","18.2","4","3","1.45"
"90","John Means","West Virginia","Jr.","P","5","31.0","7","5","1.45"
"91","Dylan Craig","Illinois St.","So.","P","6","37.0","11","6","1.46"
"","Scott Effross","Indiana","So.","P","13","24.2","5","4","1.46"
"","Brett Hanewich","Stanford","Fr.","P","5","24.2","7","4","1.46"
"94","Kenny Oakley","UNLV","So.","P","7","30.2","8","5","1.47"
"95","Thomas Eshelman","Cal St. Fullerton","So.","P","6","49.0","10","8","1.47"
"96","Chris McKenna","Monmouth","Jr.","P","5","30.1","5","5","1.48"
"97","Brett Mabry","East Carolina","Sr.","P","8","24.0","7","4","1.50"
"","Alex Palsha","Sacramento St.","Jr.","P","14","24.0","5","4","1.50"
"","Vaughn Hayward","Bryant","Sr.","P","5","18.0","5","3","1.50"
"100","Brett Graves","Missouri","Jr.","P","6","41.2","8","7","1.51"
"101","Eric Hall","Chicago St.","Jr.","P","6","29.2","11","5","1.52"
"102","Ryan Clark","UNC Greensboro","So.","P","6","35.1","13","6","1.53"
"103","Bailey Ober","Col. of Charleston","Fr.","P","6","35.0","6","6","1.54"
"104","Cameron Gann","Stephen F. Austin","Jr.","P","7","40.2","8","7","1.55"
"105","Cody Crouse","FIU","Fr.","P","6","29.0","9","5","1.55"
"106","Bryan Bonnell","UNLV","So.","P","6","46.1","13","8","1.55"
"107","Jalen Beeks","Arkansas","Jr.","P","6","34.2","8","6","1.56"
"108","Jared Miller","Vanderbilt","Jr.","P","5","28.2","6","5","1.57"
"109","Shane McCain","Troy","Sr.","P","6","40.0","8","7","1.58"
"110","Bryan Chenoweth","Cincinnati","So.","P","8","22.2","5","4","1.59"
"111","Matt Maurer","Pepperdine","Sr.","P","9","28.0","6","5","1.61"
"112","Parker French","Texas","Jr.","P","7","39.0","14","7","1.62"
"113","Johnny Lieske","UAB","Jr.","P","7","33.1","10","6","1.62"
"114","Charles Cantrell","N.C. A&T","Jr.","P","6","38.2","10","7","1.63"
"","Wil Crowe","South Carolina","Fr.","P","6","38.2","7","7","1.63"
"116","Devin Kanorik","Texas Southern","Jr.","P","7","33.0","6","6","1.64"
"","Jon Keller","Alabama","Jr.","P","6","33.0","6","6","1.64"
"","Brad Kuntz","Baylor","Jr.","P","6","33.0","8","6","1.64"
"119","Nick Deckert","FGCU","Jr.","P","7","38.1","11","7","1.64"
"120","Aaron Myers","Longwood","Jr.","P","6","49.0","11","9","1.65"
"","Brett Lilek","Arizona St.","So.","P","6","32.2","6","6","1.65"
"","Dirk Masters","Sam Houston St.","So.","INF","6","32.2","8","6","1.65"
"123","Reed Garrett","VMI","Jr.","P","6","38.0","14","7","1.66"
"124","Brock Downey","Murray St.","Jr.","OF","6","43.1","12","8","1.66"
"","Ross Mitchell","Mississippi St.","Jr.","P","9","43.1","9","8","1.66"
"","Tate Scioneaux","Southeastern La.","So.","P","6","43.1","10","8","1.66"
"127","Michael Martin","Manhattan","Jr.","P","6","27.0","10","5","1.67"
"128","Josh Prevost","Seton Hall","Sr.","P","6","48.0","12","9","1.69"
"","David Ernst","North Dakota St.","Jr.","P","5","32.0","9","6","1.69"
"","Fernando Rosa","Rutgers","Fr.","P","6","21.1","6","4","1.69"
"131","Kevin Duchene","Illinois","So.","P","5","37.0","7","7","1.70"
"132","Chris Anderson","South Dakota St.","Jr.","P","6","42.0","12","8","1.71"
"133","Alex Daniele","NJIT","Fr.","P","4","26.0","5","5","1.73"
"","Brandon Jackson","Nicholls St.","Sr.","INF","5","26.0","9","5","1.73"
"135","Andrew Istler","Duke","Jr.","P","8","36.1","14","7","1.73"
"136","Chris Oliver","Arkansas","Jr.","P","6","31.0","8","6","1.74"
"137","Matt McClain","Delaware St.","Sr.","P","5","36.0","8","7","1.75"
"","Brycen Rutherford","Cal St. Northridge","Sr.","P","6","36.0","8","7","1.75"
"139","William Munro","Fresno St.","Jr.","P","6","25.2","5","5","1.75"
"140","Grant Watson","UCLA","Jr.","P","6","41.0","12","8","1.76"
"141","Austin Robichaux","La.-Lafayette","Jr.","P","6","46.0","11","9","1.76"
"","Eric Skoglund","UCF","Jr.","P","6","46.0","11","9","1.76"
"","Cole Prejean","McNeese St.","Jr.","P","8","30.2","7","6","1.76"
"144","Stephen Moore","Navy","Jr.","P","6","40.2","11","8","1.77"
"145","Tyler Bolton","East Carolina","Jr.","P","5","25.1","12","5","1.78"
"","James Marvel","Duke","So.","P","4","25.1","8","5","1.78"
"147","Koby Gauna","Cal St. Fullerton","Jr.","P","9","30.1","7","6","1.78"
"148","Dillon Peters","Texas","Jr.","P","6","40.1","11","8","1.79"
"149","Frank Duncan","Kansas","Sr.","P","6","45.1","11","9","1.79"
"150","Colin Welmon","Loyola Marymount","Jr.","P","6","45.0","11","9","1.80"
"","Richie Navari","Louisiana Tech","Sr.","P","6","40.0","9","8","1.80"
"","Jason Richman","Ga. Southern","So.","P","18","35.0","8","7","1.80"
"","Scott Schultz","Oregon St.","Sr.","P","9","35.0","9","7","1.80"
"","Michael Elefante","Elon","So.","P","7","30.0","10","6","1.80"
"","Jeremy Rhoades","Illinois St.","Jr.","P","8","25.0","6","5","1.80"
"","Elliot Ashbeck","Bradley","So.","P","4","20.0","5","4","1.80"
"","Jack Hartman","Penn","Fr.","P","4","15.0","4","3","1.80"
"158","Casey Bloomquist","Cal Poly","So.","P","7","34.2","8","7","1.82"
"159","Andrew Chin","Boston College","So.","P","6","29.2","9","6","1.82"
"160","Jeremy Null","Western Caro.","Jr.","P","6","44.1","11","9","1.83"
"161","Brandon Leibrandt","Florida St.","Jr.","P","6","39.1","11","8","1.83"
"162","Gunnar Carroll","Army","Sr.","P","6","39.0","10","8","1.85"
"163","Zachary Fowler","Jacksonville St.","Jr.","P","6","34.0","7","7","1.85"
"164","Joseph Camacho","Alabama St.","So.","P","6","43.2","12","9","1.85"
"165","Matt McCormick","LIU Brooklyn","Sr.","P","5","24.0","11","5","1.88"
"166","Nick Williams","Tennessee","Sr.","P","6","38.1","9","8","1.88"
"167","Erick Fedde","UNLV","Jr.","P","6","43.0","11","9","1.88"
"168","Daniel Thorpe","Saint Joseph's","Sr.","P","6","33.1","10","7","1.89"
"169","Calvin Mathews","Iowa","So.","P","6","38.0","11","8","1.89"
"170","Jared Poche'","LSU","Fr.","P","6","33.0","7","7","1.91"
"","Robert Tyler","Georgia","Fr.","P","7","33.0","13","7","1.91"
"172","Ryan Koopman","Campbell","Sr.","P","10","42.1","9","9","1.91"
"173","Pat Kaminska","Central Mich.","Sr.","P","6","42.0","13","9","1.93"
"","Trent Thornton","North Carolina","So.","P","6","42.0","10","9","1.93"
"","Joshua Freeman","Alabama A&M","Jr.","P","5","28.0","8","6","1.93"
"","Aaron Rhodes","Florida","So.","P","12","28.0","6","6","1.93"
"177","David Ellingson","Georgetown","Fr.","P","6","27.2","9","6","1.95"
"178","Kevin Long","Lehigh","So.","P","8","23.0","13","5","1.96"
"179","Dillon Ortman","Auburn","Sr.","P","6","41.1","13","9","1.96"
"180","Dylan Nelson","Radford","So.","P","5","32.0","8","7","1.97"
"181","Harrison Musgrave","West Virginia","Jr.","P","6","41.0","11","9","1.98"
"182","Jack Wynkoop","South Carolina","So.","P","6","36.1","10","8","1.98"
"183","Jordan Brink","Fresno St.","Jr.","P","7","36.0","11","8","2.00"
"","Will Hibbs","Lamar","So.","P","6","36.0","11","8","2.00"
"","Matt Krook","Oregon","Fr.","P","6","36.0","11","8","2.00"
"186","Kyle Hart","Indiana","Jr.","P","8","31.1","8","7","2.01"
"","George Michael","Delaware St.","So.","P","5","31.1","12","7","2.01"
"","Steven O'Bryant","McNeese St.","Jr.","P","10","31.1","10","7","2.01"
"189","Jarrett Arakawa","Hawaii","Jr.","P","5","31.0","10","7","2.03"
"","Walker Buehler","Vanderbilt","So.","P","6","31.0","8","7","2.03"
"191","Sam Smith","Ole Miss","Jr.","P","6","35.1","10","8","2.04"
"","Tyler Stubblefield","Texas A&M","Fr.","P","10","35.1","12","8","2.04"
"193","Jeff Gold","Oregon","Sr.","P","6","39.2","10","9","2.04"
"194","Zach Adams","Utah","Sr.","P","9","22.0","6","5","2.05"
"","Michael Byrne","Cornell","So.","P","4","22.0","8","5","2.05"
"","Sam Shutes","Toledo","Fr.","P","6","22.0","5","5","2.05"
"197","Eric Lauer","Kent St.","Fr.","P","6","30.2","8","7","2.05"
"198","Tyler Beede","Vanderbilt","Jr.","P","6","35.0","17","8","2.06"
"199","Louie Lechich","San Diego","Sr.","P","6","39.1","9","9","2.06"
"200","Jace Fry","Oregon St.","Jr.","P","6","47.2","13","11","2.08"
"","Justin Jacome","UC Santa Barbara","So.","P","5","34.2","9","8","2.08"
"","David Berg","UCLA","Jr.","P","18","26.0","7","6","2.08"
"","Devin Hemmerich","Norfolk St.","Fr.","P","11","26.0","9","6","2.08"
"","Tom Coughlin","Central Conn. St.","Sr.","P","2","13.0","8","3","2.08"
"205","Matt Hockenberry","Temple","Sr.","P","6","34.1","17","8","2.10"
"206","Sam Odom","Sam Houston St.","Fr.","P","6","30.0","10","7","2.10"
"207","Hector Cedano","Campbell","Sr.","P","5","25.2","6","6","2.10"
"208","Ryan Daniels","SIU Edwardsville","Jr.","P","6","38.1","11","9","2.11"
"209","Justin Hageman","Western Ky.","Sr.","P","6","34.0","14","8","2.12"
"210","Christian Talley","Southern Miss.","Jr.","P","5","29.2","9","7","2.12"
"211","Curtis Jones","Houston Baptist","Jr.","INF","5","38.0","12","9","2.13"
"","Ben Meyer","Minnesota","Jr.","P","6","38.0","10","9","2.13"
"213","Keith Zuniga","Bethune-Cookman","Jr.","P","6","42.0","11","10","2.14"
"214","Jason Inghram","William & Mary","Jr.","P","6","41.2","15","10","2.16"
"","Scott Squier","Hawaii","Jr.","P","6","41.2","16","10","2.16"
"","Zach Plesac","Ball St.","Fr.","P","12","33.1","9","8","2.16"
"","Nick Andros","Lipscomb","Jr.","P","7","25.0","9","6","2.16"
"218","Sam Long","Sacramento St.","Fr.","P","6","29.0","8","7","2.17"
"219","Angel Landazuri","UC Riverside","Fr.","P","6","20.2","7","5","2.18"
"","Carlos Rodon","North Carolina St.","Jr.","P","6","41.1","23","10","2.18"
"221","Danny Mooney","Davidson","Sr.","P","6","33.0","17","8","2.18"
"222","Cameron Neff","St. Mary's (CA)","Fr.","P","6","37.0","15","9","2.19"
"","Craig Pearcy","Morehead St.","So.","P","9","24.2","8","6","2.19"
"224","Ryan Askew","Mercer","Fr.","P","11","41.0","17","10","2.20"
"","A.J. Reed","Kentucky","Jr.","P","6","41.0","15","10","2.20"
"","Chandler Shepherd","Kentucky","Jr.","P","6","41.0","14","10","2.20"
"227","Kyle Bouman","LSU","Jr.","P","5","28.2","7","7","2.20"
"228","Anthony Marzi","UConn","Sr.","P","6","36.2","13","9","2.21"
"229","Grant Dyer","UCLA","Fr.","P","9","28.1","8","7","2.22"
"230","Andro Cutura","Southeastern La.","Jr.","P","6","40.1","13","10","2.23"
"","Thomas Thorpe","Oregon","Jr.","P","6","40.1","14","10","2.23"
"232","Rohn Pierce","Canisius","Jr.","P","6","44.0","13","11","2.25"
"","Michael Fain","Nevada","So.","P","6","36.0","11","9","2.25"
"","Andrew McGee","Monmouth","Sr.","P","5","36.0","10","9","2.25"
"","James Norwood","Saint Louis","Jr.","P","6","36.0","11","9","2.25"
"","Jake Stalzer","Elon","Jr.","P","6","36.0","15","9","2.25"
"","Kyle Freeland","Evansville","Jr.","P","5","32.0","15","8","2.25"
"","Bob Wheatley","Southern California","Sr.","P","6","32.0","11","8","2.25"
"239","Andrew Barnett","Gardner-Webb","Sr.","P","6","39.2","17","10","2.27"
"","Cy Sneed","Dallas Baptist","Jr.","P","6","39.2","12","10","2.27"
"241","Santos Saldivar","Southern U.","Jr.","P","5","27.2","10","7","2.28"
"242","Nolan Blackwood","Memphis","Fr.","P","13","23.2","10","6","2.28"
"243","Nick Dignacco","Army","Sr.","P","6","35.1","10","9","2.29"
"","Jordan Hilyer","Kennesaw St.","So.","P","6","35.1","14","9","2.29"
"","John McLeod","Wake Forest","Jr.","P","6","35.1","13","9","2.29"
"246","Brandon McNitt","Stony Brook","Sr.","P","5","31.1","8","8","2.30"
"247","Phil Bickford","Cal St. Fullerton","Fr.","P","9","27.1","10","7","2.30"
"","Asa Johnson","St. Bonaventure","Sr.","P","4","27.1","15","7","2.30"
"249","Tyler Moore","Appalachian St.","Sr.","P","6","39.0","16","10","2.31"
"","Jack Rogalla","Binghamton","Sr.","P","6","39.0","13","10","2.31"
"","Locke St. John","South Ala.","Jr.","P","6","39.0","11","10","2.31"
