"Rank","Name","Team","Cl","Pos","App","IP","SO"
"","Patrick Dolan","Charleston So.","Jr.","P","10","46.0","53"
"","Jordan Elliott","Delaware St.","So.","P","15","76.7","53"
"","Nick Oelker","N.C. A&T","Jr.","P","14","65.0","53"
"","Casey Selsor","UTSA","Jr.","P","11","68.7","53"
"","Alex Valadja","James Madison","Sr.","P","14","59.3","53"
"","Matt Wainman","William & Mary","So.","P","18","46.3","53"
"","Kurt Wunderlich","Michigan St.","Sr.","P","11","71.7","53"
"","Rob Zastryzny","Missouri","Fr.","P","11","64.7","53"
"252","Ryan Beck","New Mexico St.","So.","P","12","68.0","52"
"","Paul Davis","Fla. Atlantic","Jr.","P","12","72.7","52"
"","Ryan Dull","UNC Asheville","Jr.","P","11","62.3","52"
"","Blake Ford","Lamar","Sr.","P","12","72.3","52"
"","Mike Giordano","Manhattan","Jr.","P","10","61.3","52"
"","Casey Hauptman","Nebraska","Sr.","P","22","54.3","52"
"","Matt Hiserman","San Francisco","Sr.","P","14","71.0","52"
"","Taylor Hubbell","La.-Lafayette","Sr.","P","12","74.7","52"
"","Anthony Kupbens","UC Davis","Jr.","P","11","73.0","52"
"","Joe Mantiply","Virginia Tech","So.","P","11","66.0","52"
"","Steven Maxwell","TCU","Sr.","P","10","62.0","52"
"","Brian Muransky","Xavier","Sr.","P","15","51.7","52"
"","Chris O'Grady","George Mason","So.","C","12","45.7","52"
"","Tyler Olson","Gonzaga","Jr.","P","10","60.7","52"
"","Stephen Peterson","Rhode Island","Sr.","P","10","62.0","52"
"","Mitchell Pitts","Texas St.","Jr.","P","13","70.3","52"
"","Dan Savas","Illinois St.","Fr.","P","10","47.0","52"
"","Mike Strong","Oklahoma St.","Sr.","P","11","52.7","52"
"","Matt Talley","Citadel","Sr.","P","10","62.3","52"
"","Zach Toney","Austin Peay","So.","P","13","47.0","52"
"","Dustin Ward","Central Ark.","Jr.","P","16","61.0","52"
"","Seth Webster","Nicholls St.","Sr.","P","11","75.0","52"
"","James Wise","Washington St.","Sr.","P","12","59.0","52"
"","Alex Wood","Georgia","So.","P","10","66.0","52"
"","Mike Wright","East Carolina","Jr.","P","11","70.3","52"
"277","Tristan Archer","Tennessee Tech","So.","P","12","65.3","51"
"","Derek Bushey","East Tenn. St.","So.","P","13","60.7","51"
"","Matt Chaffee","Arizona","Jr.","P","27","34.0","51"
"","Corey Chaffins","Eastern Mich.","Sr.","P","14","63.7","51"
"","Mike Hamann","Toledo","So.","P","9","59.7","51"
"","Ryan Holland","Memphis","Sr.","P","13","70.3","51"
"","Brandon Kimbrel","Sam Houston St.","Sr.","P","11","74.3","51"
"","Brett Koehler","William & Mary","So.","P","22","51.7","51"
"","Matt Marksberry","Campbell","Fr.","P","18","45.3","51"
"","Cody Martin","Gonzaga","Sr.","P","17","41.0","51"
"","Nick Meyers","Monmouth","Sr.","P","10","62.3","51"
"","Jarett Miller","UNC Greensboro","Jr.","P","20","49.0","51"
"","Matthew Neil","BYU","Sr.","P","14","51.3","51"
"","Charley Olson","Georgia St.","Sr.","P","11","66.7","51"
"","Ryan Pfaeffle","George Mason","Jr.","P","11","59.7","51"
"","Anthony Sambula","Cleveland St.","Sr.","P","12","73.0","51"
"","Arik Sikula","Marshall","Sr.","P","11","56.7","51"
"","Rob Smorol","Rutgers","So.","-","11","69.0","51"
"","Andrew Strenge","Cincinnati","So.","P","11","59.7","51"
"","Scott Warwick","Fairfield","Jr.","P","10","62.0","51"
"","Austin Wright","Ole Miss","Jr.","P","11","56.3","51"
"298","R.J. Alvarez","Fla. Atlantic","So.","P","12","55.0","50"
"","Sander Beck","Maryland","Jr.","P","11","49.0","50"
"","Tony Cingrani","Rice","Sr.","P","22","40.3","50"
"","Tyler Duffey","Rice","So.","P","20","37.0","50"
"","Luke Farrell","Northwestern","So.","P","10","60.0","50"
"","Matt Freeman","Nebraska","Sr.","P","14","54.0","50"
"","Elliot Gardner","Delaware St.","So.","OF","14","55.3","50"
"","David Goforth","Ole Miss","Jr.","P","11","65.3","50"
"","Seth Grant","Appalachian St.","Jr.","P","11","63.3","50"
"","Kevin Herlihy","Savannah St.","So.","P","13","74.3","50"
"","Ed Kohout","Le Moyne","Jr.","P","15","54.3","50"
"","Andrew Leenhouts","Northeastern","Jr.","P","10","65.7","50"
"","Keegan Linza","Liberty","Sr.","P","11","79.7","50"
"","Scott Lyman","UC Davis","Jr.","INF","11","60.7","50"
"","Matt McClain","Delaware St.","Fr.","P","14","73.0","50"
"","Brant Norlander","Temple","Jr.","P","11","59.3","50"
"","Jordan Pries","Stanford","Jr.","P","11","60.0","50"
"","Brad Schreiber","Purdue","So.","P","8","47.3","50"
"","John Soldinger","Manhattan","So.","P","11","76.7","50"
"","Jared Stafford","Dallas Baptist","Sr.","P","11","74.0","50"
"","Kyle Sumple","Siena","Sr.","P","11","60.3","50"
"","Matt Tracy","Ole Miss","Sr.","P","10","42.7","50"
"","Andrew Triggs","Southern California","Jr.","P","11","69.3","50"
"","Jason Wheeler","Loyola Marymount","Jr.","P","10","72.0","50"
"322","Mark Appel","Stanford","So.","P","11","65.3","49"
"","Mike Augliera","Binghamton","Jr.","P","10","64.7","49"
"","A.J. Bazdanes","Maine","Jr.","P","10","54.7","49"
"","Matt Benedict","Western Caro.","Sr.","P","10","57.7","49"
"","Dustin Crenshaw","South Ala.","Sr.","P","12","79.3","49"
"","Kyle Eastham","South Fla.","Sr.","P","14","61.3","49"
"","Ryan Ebner","Bucknell","Jr.","P","10","58.3","49"
"","Cody Hall","Southern U.","Sr.","P","12","53.3","49"
"","Tommy Hoenshell","CSU Bakersfield","Jr.","P","12","84.7","49"
"","Brady Kirkpatrick","Maryland","Fr.","P","16","47.3","49"
"","Pat Ludwig","Yale","Jr.","P","8","47.7","49"
"","Mike Mason","Marshall","Jr.","P","11","59.3","49"
"","Tyler Melling","Miami (OH)","Sr.","P","11","63.0","49"
"","Michael Morin","North Carolina","So.","P","18","46.0","49"
"","Kyle Mullen","Saint Joseph's","So.","P","11","69.3","49"
"","Dillon Napoleon","UAB","Jr.","P","11","73.3","49"
"","Michael Palazzone","Georgia","Jr.","P","11","80.0","49"
"","Dayne Quist","UC Davis","Jr.","P","10","56.3","49"
"","Gera Sanchez","New Mexico","Jr.","P","15","41.7","49"
"","Matthew Shepherd","Tennessee Tech","Jr.","P","13","59.7","49"
"","Jordan Smith","Western Caro.","Fr.","P","10","59.3","49"
"","Caleb Smith","Sam Houston St.","Fr.","P","14","49.7","49"
"","Cole Sulser","Dartmouth","Jr.","P","8","48.7","49"
"","Mac Thoreson","Miami (OH)","So.","P","11","72.7","49"
"","Justin Topa","LIU Brooklyn","So.","P","13","62.0","49"
"","Jared Wagoner","Butler","Sr.","P","10","62.0","49"
"","Brandon Williamson","Dallas Baptist","Sr.","P","14","79.3","49"
"349","Blake Barber","Missouri St.","Sr.","P","12","67.7","48"
"","Heath Blackburn","Florida A&M","So.","P","12","78.7","48"
"","Matt Crouse","Ole Miss","Jr.","P","11","71.3","48"
"","Aaron Gates","Pepperdine","Jr.","P","10","63.7","48"
"","Chuck Ghysels","Maryland","Jr.","P","15","43.0","48"
"","Jordan Guth","Milwaukee","So.","P","11","51.0","48"
"","Greg Holt","North Carolina","Sr.","P","23","43.0","48"
"","Kevin Johnson","Illinois","So.","P","11","71.7","48"
"","Jon Keller","Nebraska","Fr.","P","11","52.0","48"
"","Alex Keudell","Oregon","Jr.","P","11","58.0","48"
"","Logan Lee","Army","Jr.","P","11","64.0","48"
"","Cory Luckie","Auburn","Jr.","P","11","44.7","48"
"","Matt Maurer","Pepperdine","Fr.","P","15","56.7","48"
"","Jonathan Meyer","Clemson","So.","P","18","47.0","48"
"","Sam Moll","Memphis","Fr.","P","11","40.3","48"
"","Matt Murray","Ga. Southern","Jr.","P","19","44.7","48"
"","Branden Pinder","Long Beach St.","Jr.","P","12","54.0","48"
"","Joe Scanio","Northwestern St.","Fr.","-","17","42.0","48"
"","Dom Silvestri","Butler","Sr.","P","10","62.3","48"
"","Todd Simko","A&M-Corpus Christi","Jr.","P","14","66.7","48"
"","Matthew Sisto","Hawaii","Jr.","P","11","64.7","48"
"","Zack Taylor","Stephen F. Austin","Jr.","P","12","57.0","48"
"","Kyle Westwood","North Florida","So.","P","10","56.0","48"
"","Matt Witte","Md.-East. Shore","Sr.","C","11","65.3","48"
"","Taylor Wolfe","Alabama","So.","P","15","46.3","48"
"374","Joe Bircher","Bradley","Jr.","P","11","73.0","47"
"","Ken Ferrer","Elon","Sr.","P","11","63.3","47"
"","Steven Fischback","Cal Poly","Sr.","P","10","61.3","47"
"","Justin Frane","Valparaiso","Sr.","P","12","58.3","47"
"","Chris Franzese","LIU Brooklyn","So.","P","15","59.3","47"
"","Brook Hart","Yale","Sr.","P","11","64.7","47"
"","Zak Hermans","Princeton","So.","P","9","58.7","47"
"","Owen Jones","Portland","Jr.","P","11","60.0","47"
"","Justin Jones","California","So.","P","11","79.3","47"
"","Andrew Mitchell","TCU","Fr.","P","17","45.3","47"
"","John Neely","Texas Tech","Jr.","P","24","49.7","47"
"","Nick Nuemann","Central Conn. St.","So.","P","9","56.0","47"
"","Zach Oates","Northern Ill.","Sr.","P","10","70.0","47"
"","J.T. Odom","Mercer","Sr.","P","25","34.7","47"
"","Mark Peterson","Radford","Jr.","P","11","71.7","47"
"","Matt Purke","TCU","So.","P","8","40.7","47"
"","Tyler Ray","Troy","Jr.","P","11","78.7","47"
"","Warren Slack","UNC Greensboro","Sr.","P","12","60.3","47"
"","Trey Smith","Morehead St.","Sr.","P","17","56.7","47"
"","Zach Spahn","Coppin St.","Fr.","P","13","61.7","47"
"","Brent Suter","Harvard","Jr.","P","9","39.0","47"
"","Ryan VanAssche","Norfolk St.","Fr.","P","15","63.0","47"
"","Charles Wooten","Bowling Green","Sr.","P","13","55.7","47"
"","Drew Zizinia","Tulane","Sr.","P","14","48.3","47"
"398","Richard Bautista","Grambling","So.","P","11","80.0","46"
"","D.J Baxendale","Arkansas","So.","P","13","48.0","46"
"","Brent Choban","Ohio","Jr.","P","11","73.0","46"
"","Cash Collins","Wofford","Jr.","P","14","75.7","46"
"","Zach Hartman","Siena","Sr.","P","11","72.7","46"
"","Ryan Harvey","Seton Hall","So.","P","19","28.0","46"
"","Steven Hill","Penn St.","So.","P","11","78.3","46"
"","Jarred Hippen","Iowa","Jr.","P","11","71.7","46"
"","Nick Johnson","Cincinnati","Sr.","P","11","60.0","46"
"","Joe Pond","Utah","So.","P","12","50.3","46"
"","Logan Self","Campbell","So.","P","16","55.3","46"
"","John Simms","Rice","Fr.","P","18","43.7","46"
"","John Taylor","South Carolina","Sr.","P","28","44.0","46"
"","John Walter","Penn St.","So.","P","11","62.7","46"
"","Cody Weiss","La Salle","Jr.","P","12","53.0","46"
"","Rob Wendzicki","Eastern Mich.","Sr.","P","11","69.3","46"
"","Cody Winiarski","Virginia","Sr.","P","10","52.3","46"
"415","Kevin Brandt","East Carolina","Jr.","P","14","65.7","45"
"","Will Dorsey","Stetson","Jr.","P","14","58.3","45"
"","Calvin Drummond","San Diego","So.","P","11","61.0","45"
"","Trevor Frank","UC Riverside","So.","P","9","62.0","45"
"","Kyle Haynes","VCU","So.","P","11","61.3","45"
"","Stephen Hefler","Eastern Ky.","Sr.","P","11","67.3","45"
"","Mike Hoekstra","Eastern Ill.","Jr.","P","11","67.0","45"
"","Brian Holmes","Wake Forest","So.","P","11","43.3","45"
"","Colby Holmes","South Carolina","So.","P","10","46.7","45"
"","Lucas Kesterson","IPFW","Sr.","P","9","45.3","45"
"","Max Krakowiak","Fordham","Sr.","P","11","63.7","45"
"","Dominic Leone","Clemson","So.","P","10","40.0","45"
"","Logan Mahon","Southeast Mo. St.","Sr.","P","17","36.3","45"
"","Bobby Mares","New Mexico","So.","P","13","54.0","45"
"","Shane McCain","Troy","So.","P","12","46.0","45"
"","Paul Paez","San Diego","Fr.","P","21","55.3","45"
"","Daniel Palo","Middle Tenn.","So.","P","10","58.3","45"
