name,year,class,team,framing
"Austin, Brett",2014,Jr,North Carolina St.,0.024
"Autenrieth, Steven",2012,Jr,South Dakota St.,-0.084
"Autenrieth, Steven",2013,Sr,South Dakota St.,-0.084
"Ayers, Chris",2012,So,VCU,0.009
"Ayers, Chris",2013,Jr,VCU,0.009
"Ayers, Chris",2014,Sr,VCU,0.009
"Azar, Anthony",2012,So,Sam Houston St.,0.060
"Azar, Anthony",2013,Jr,Sam Houston St.,0.060
"Azar, Anthony",2014,Sr,Sam Houston St.,0.060
"Bacak, Kyle",2013,Jr,TCU,0.120
"Bacak, Kyle",2014,Sr,TCU,0.120
"Bailey, Ryan",2014,Fr,Monmouth,0.006
"Bailey, Ryan",2015,So,Monmouth,0.006
"Bailiff, Ben",2014,Fr,UNC Asheville,-0.024
"Bailiff, Ben",2015,Fr,UNC Asheville,-0.024
"Bainer, Eric",2012,Sr,Morehead St.,-0.159
"Bajer, Brian",2012,Sr,Southern Ill.,0.069
"Baker, Tyler",2012,Fr,Wichita St.,0.055
"Baker, Tyler",2013,So,Wichita St.,0.055
"Baker, Tyler",2014,Jr,Wichita St.,0.055
"Baldani, Kyle",2012,Jr,Siena,-0.103
"Baldani, Kyle",2013,Sr,Siena,-0.103
"Baldwin, Alan",2012,Fr,Hawaii,0.021
"Baldwin, Alan",2013,So,Hawaii,0.021
"Baldwin, Alan",2014,So,Hawaii,0.021
"Baldwin, Alan",2015,Jr,Hawaii,0.021
"Baldwin, Robert",2012,Fr,Yale,0.059
"Baldwin, Robert",2013,So,Yale,0.059
"Baldwin, Robert",2014,Jr,Yale,0.059
"Baldwin, Robert",2015,Sr,Yale,0.059
"Balfantz, Scott",2015,Fr,A&M-Corpus Chris,-0.036
"Balkwill, Larry",2012,Jr,Siena,-0.039
"Balkwill, Larry",2013,Sr,Siena,-0.039
"Barash, Michael",2015,Jr,Texas A&M,0.051
"Barber, Austen",2012,Jr,Winthrop,-0.006
"Barber, Austen",2013,Sr,Winthrop,-0.006
"Barber, Sam",2015,Jr,Delaware St.,0.000
"Barbier, Brett",2013,Fr,Cal Poly,-0.033
"Barbier, Brett",2014,Fr,Cal Poly,-0.033
"Barbier, Brett",2015,So,Cal Poly,-0.033
"Barefoot, Robert",2013,Fr,Norfolk St.,-0.045
"Barefoot, Robert",2014,So,Norfolk St.,-0.045
"Bare, Matt",2014,Fr,Massachusetts,0.042
"Bare, Matt",2015,So,Massachusetts,0.042
"Barker, Caleb",2013,Jr,Houston,0.082
"Barker, Caleb",2014,Sr,Houston,0.082
"Barlow, Jeremy",2014,Jr,Florida A&M,0.023
"Barlow, Jeremy",2015,Sr,Florida A&M,0.023
"Barnes, Jared",2015,Fr,South Ala.,-0.023
"Barnes, Ryan",2012,Fr,Southeast Mo. St.,-0.022
"Barnes, Ryan",2013,So,Southeast Mo. St.,-0.022
"Barnes, Ryan",2014,Jr,Southeast Mo. St.,-0.022
"Barnes, Ryan",2015,Sr,Southeast Mo. St.,-0.022
"Barnett, Aaron",2014,Fr,Pepperdine,0.017
"Barnett, Aaron",2015,So,Pepperdine,0.017
"Barnett, Chris",2012,Fr,Loyola Marymount,0.121
"Barnett, Chris",2013,So,Loyola Marymount,0.121
"Barnett, Chris",2014,Jr,Loyola Marymount,0.121
"Barnett, Chris",2015,Sr,Loyola Marymount,0.121
"Barnett, Skyler",2012,Sr,East Tenn. St.,-0.035
"Barr, Austin",2013,Fr,Stanford,-0.058
"Barr, Austin",2014,So,Stanford,-0.058
"Barr, Austin",2015,Jr,Stanford,-0.058
"Barrera, Tres",2014,Fr,Texas,0.043
"Barrera, Tres",2015,So,Texas,0.043
"Barrett, Austin",2012,So,Mercer,0.029
"Barrett, Austin",2013,Jr,Mercer,0.029
"Barrett, Austin",2014,Sr,Mercer,0.029
"Barry, Nick",2015,Fr,UMass Lowell,0.046
"Bartlett, Stephen",2012,So,Jacksonville St.,-0.146
"Bartlett, Stephen",2013,Jr,Jacksonville St.,-0.146
"Bartlett, Stephen",2014,Sr,Jacksonville St.,-0.146
"Bartolomucci, Ray",2014,Fr,Valparaiso,0.003
"Bartolomucci, Ray",2015,So,Valparaiso,0.003
"Bass, Corey",2012,Jr,North Florida,0.006
"Bass, Corey",2013,Sr,North Florida,0.006
"Battaglia, Joe",2012,So,Northern Ill.,-0.014
"Battaglia, Joe",2013,Jr,Northern Ill.,-0.014
"Battaglia, Joe",2014,Sr,Northern Ill.,-0.014
"Baum, Derek",2012,Jr,Northern Colo.,-0.052
"Baum, Derek",2013,Sr,Northern Colo.,-0.052
"Baxendale, Blake",2013,Fr,Arkansas,-0.078
"Baxendale, Blake",2014,Fr,Arkansas,-0.078
"Beal, Ryan",2013,So,Central Conn. St.,-0.008
"Beal, Ryan",2014,Jr,Central Conn. St.,-0.008
"Beal, Ryan",2015,Sr,Central Conn. St.,-0.008
"Beary, Johnathan",2013,Jr,Marshall,-0.021
"Beary, Johnathan",2014,Jr,Marshall,-0.021
"Bechtel, Drew",2013,Fr,Oakland,0.013
"Bechtel, Drew",2014,So,Oakland,0.013
"Beckett, Alex",2014,Fr,Iona,-0.006
"Beckett, Alex",2015,So,Iona,-0.006
"Beck, James",2012,Sr,Iona,0.038
"Bee, Alex",2013,Fr,Kansas St.,0.019
"Bee, Alex",2014,So,Kansas St.,0.019
"Bee, Alex",2015,Jr,Kansas St.,0.019
"Beilke, Brooks",2012,Jr,Western Mich.,-0.032
"Beilke, Brooks",2013,Jr,Western Mich.,-0.032
"Bell, Alex",2013,Fr,St. Bonaventure,0.006
"Bell, Travaurs",2014,Fr,Grambling,0.035
"Bell, Travaurs",2015,So,Grambling,0.035
"Bemboom, Anthony",2012,Sr,Creighton,0.015
"Benecke, Brendan",2014,Fr,Wagner,-0.006
"Benecke, Brendan",2015,So,Wagner,-0.006
"Benford, Jordan",2013,Fr,Alabama A&M,-0.125
"Benford, Jordan",2014,So,Alabama A&M,-0.125
"Benford, Jordan",2015,Jr,Alabama A&M,-0.125
"Bennett, Ethan",2012,So,Tennessee,-0.051
"Bennett, Ethan",2013,Jr,Tennessee,-0.051
"Bennett, Mike",2012,Jr,Fairfield,-0.007
"Bennett, Mike",2013,Sr,Fairfield,-0.007
"Berger, Blake",2014,Jr,FGCU,0.002
"Berger, Blake",2015,Sr,FGCU,0.002
"Berger, Jordan",2012,Fr,Arizona,-0.088
"Berger, Jordan",2013,So,Arizona,-0.088
"Berger, Jordan",2014,Jr,Arizona,-0.088
"Berg, Taylor",2012,Jr,Utah Valley,-0.025
"Berg, Taylor",2013,Sr,Utah Valley,-0.025
"Berman, Stevie",2014,Fr,Santa Clara,-0.028
"Berman, Stevie",2015,So,Santa Clara,-0.028
"Bermudez, Danny",2013,Fr,Western Caro.,-0.018
"Bermudez, Danny",2014,So,Western Caro.,-0.018
"Bermudez, Danny",2015,Jr,Western Caro.,-0.018
"Bernick, Ronnie",2012,So,Canisius,-0.041
"Bernick, Ronnie",2013,Jr,Canisius,-0.041
"Bernick, Ronnie",2014,Sr,Canisius,-0.041
"Besett, Colton",2014,Jr,Incarnate Word,0.105
"Besett, Colton",2015,Sr,Incarnate Word,0.105
"Best, Jimmy",2012,Sr,George Washington,-0.035
"Bethea, Danny",2012,Jr,St. John's (NY),0.019
"Bethea, Danny",2013,Sr,St. John's (NY),0.019
"Bethune, Tyler",2013,Fr,Lipscomb,-0.130
"Bethune, Tyler",2014,So,Lipscomb,-0.130
"Bethune, Tyler",2015,Jr,Lipscomb,-0.130
"Bickford, Tim",2012,So,Monmouth,0.015
"Biddix, Travis",2012,Fr,Longwood,0.048
"Biddix, Travis",2013,So,Longwood,0.048
"Biddix, Travis",2014,Jr,Longwood,0.048
"Biddix, Travis",2015,Sr,Longwood,0.048
"Biggs, Tyler",2014,Fr,Omaha,-0.021
"Binder, Brody",2015,Fr,Troy,0.025
"Biocic, Chris",2015,So,Alabama St.,-0.042
"Biocic, Chris",2013,Fr,Bethune-Cookman,0.090
"Bishop, Alex",2014,Jr,Long Beach St.,-0.012
"Bishop, Alex",2015,Sr,Long Beach St.,-0.012
"Bisplinghoff, Nick",2015,Fr,Wake Forest,-0.061
"Bitar, Ellis",2015,Fr,Cornell,0.014
"Blackman, Trey",2012,Sr,Stetson,-0.004
"Blair, Shane",2012,Jr,Southeast Mo. St.,-0.055
"Bleakley, Bryan",2012,Sr,NJIT,0.039
"Bobillo, Jack",2012,Sr,Chicago St.,0.003
"Bond, Brett",2015,Fr,Missouri,0.008
"Booth, Brett",2012,Jr,Alabama,-0.049
"Booth, Brett",2013,Sr,Alabama,-0.049
"Booth, Mike",2012,Fr,Canisius,-0.028
"Booth, Mike",2013,So,Canisius,-0.028
"Booth, Mike",2014,Jr,Canisius,-0.028
"Borders, Levi",2013,Fr,South Fla.,0.079
"Borders, Levi",2014,So,South Fla.,0.079
"Borders, Levi",2015,Jr,South Fla.,0.079
"Bormann, John",2012,Fr,UTSA,0.014
"Bormann, John",2013,So,UTSA,0.014
"Bormann, John",2014,Jr,UTSA,0.014
"Bormann, John",2015,Sr,UTSA,0.014
"Bossart, Austin",2012,Fr,Penn,0.042
"Bossart, Austin",2013,So,Penn,0.042
"Bossart, Austin",2014,Jr,Penn,0.042
"Bossart, Austin",2015,Sr,Penn,0.042
"Bossi, Aaron",2013,Fr,Marshall,0.052
"Bossi, Aaron",2014,So,Marshall,0.052
"Bossi, Aaron",2015,Jr,Marshall,0.052
"Boulware, Garrett",2012,Fr,Clemson,-0.085
"Boulware, Garrett",2013,So,Clemson,-0.085
"Boulware, Garrett",2014,Jr,Clemson,-0.085
"Bowen, Caleb",2012,Sr,Auburn,-0.078
"Bowen, Marty",2012,Jr,CSUN,-0.068
"Bowers, Zack",2013,Fr,Georgia,-0.092
"Bowers, Zack",2014,So,Georgia,-0.092
"Bowers, Zack",2015,Jr,Georgia,-0.092
"Bowles, Nate",2012,Jr,Miami (OH),0.022
"Bowles, Nate",2013,Sr,Miami (OH),0.022
"Boxwell, Tyler",2013,Fr,Southeast Mo. St.,0.017
"Boxwell, Tyler",2015,Jr,Stephen F. Austin,-0.018
"Boyce, Blake",2012,Jr,Campbell,-0.014
"Boyce, Blake",2013,Sr,Campbell,-0.014
"Boyd, Tyler",2012,Fr,Seton Hall,0.063
"Boyd, Tyler",2013,So,Seton Hall,0.063
"Boyd, Tyler",2014,Jr,Seton Hall,0.063
"Boyd, Tyler",2015,Sr,Seton Hall,0.063
"Boyher, Logan",2013,Fr,Columbia,0.052
"Boyher, Logan",2014,So,Columbia,0.052
"Boyher, Logan",2015,Jr,Columbia,0.052
"Boykin, Ben",2013,Jr,Col. of Charleston,0.051
"Boykin, Ben",2014,Sr,Col. of Charleston,0.051
"Braddock, Colby",2012,Sr,UTSA,-0.090
"Bradley, Michael",2015,N/A,Ark.-Pine Bluff,-0.002
"Braithwaite, Collin",2013,Fr,BYU,0.034
"Brand, Keith",2012,So,Iowa,-0.013
"Brand, Keith",2013,Jr,Iowa,-0.013
"Brandner, Tony",2014,Jr,Northern Ill.,-0.084
"Brandner, Tony",2015,Sr,Northern Ill.,-0.084
"Brann, Spencer",2012,So,UC Davis,0.037
"Brann, Spencer",2013,Jr,UC Davis,0.037
"Brann, Spencer",2014,Sr,UC Davis,0.037
"Bravo, Alex",2014,Fr,Mississippi Val.,-0.113
"Bravo, Alex",2015,So,Mississippi Val.,-0.113
"Brazil, C.J.",2014,Fr,Ga. Southern,-0.038
"Brazil, C.J.",2015,So,Ga. Southern,-0.038
"Breazeale, Ben",2014,Fr,Wake Forest,-0.043
"Breazeale, Ben",2015,So,Wake Forest,-0.043
"Bredeson, Nick",2014,Fr,Ohio,-0.085
"Bredeson, Nick",2015,So,Ohio,-0.085
"Breen, Ryan",2012,Jr,UCF,-0.021
"Breen, Ryan",2013,Sr,UCF,-0.021
"Brennan, Kyle",2013,Fr,Buffalo,0.006
"Brennan, Kyle",2014,So,Buffalo,0.006
"Brennan, Kyle",2015,Jr,Buffalo,0.006
"Brennan, Mark",2012,Fr,Marist,0.052
"Brennan, Mark",2013,So,Marist,0.052
"Brennan, Mark",2014,Jr,Marist,0.052
"Brennan, Mark",2015,Sr,Marist,0.052
"Brenner, Ryan",2012,Sr,Yale,0.018
"Brewer, Ben",2012,Jr,UT Martin,-0.068
"Brewer, Ben",2013,Sr,UT Martin,-0.068
"Briggs, Zach",2012,Sr,South Dakota St.,-0.038
"Bright, Zack",2015,Fr,UMBC,-0.008
"Britcliffe, Hunter",2012,So,UT Martin,0.015
"Britcliffe, Hunter",2013,Jr,UT Martin,0.015
"Brockmeyer, Cael",2012,So,Bakersfield,0.063
"Brockmeyer, Cael",2013,Jr,Bakersfield,0.063
"Broehl, Peter",2012,Jr,Delaware St.,0.040
"Broehl, Peter",2013,Sr,Delaware St.,0.040
"Brophy, Joel",2014,Fr,Niagara,-0.067
"Brophy, Joel",2015,So,Niagara,-0.067
"Brosman, Scott",2012,So,NJIT,0.037
"Brosman, Scott",2013,Jr,NJIT,0.037
"Brosman, Scott",2014,Sr,NJIT,0.037
"Brown, Alex",2012,Fr,Coppin St.,-0.105
"Brown, Alex",2013,So,Coppin St.,-0.105
"Brown, Brandon",2012,Jr,Troy,0.017
"Brown, Brandon",2013,Sr,Troy,0.017
"Brown, Cassidy",2014,Fr,Loyola Marymount,0.058
"Brown, Cassidy",2015,So,Loyola Marymount,0.058
"Brown, Jesse",2012,Fr,LIU Brooklyn,-0.014
"Brown, Jesse",2013,So,LIU Brooklyn,-0.014
"Brown, Trevor",2012,Jr,UCLA,0.005
"Brown, William",2014,Jr,Coppin St.,-0.105
"Brown, William",2015,Sr,Coppin St.,-0.105
"Bryant, Zachary",2012,Fr,Alabama A&M,-0.021
"Buban, Aaron",2014,So,Milwaukee,-0.069
"Buban, Aaron",2015,Jr,Milwaukee,-0.069
"Bulger, Alex",2012,Sr,Hartford,-0.063
"Burant, Dan",2012,Sr,Akron,-0.015
"Burgess, Andrew",2012,Jr,Delaware,-0.006
"Burgess, Andrew",2013,Sr,Delaware,-0.006
"Burgess, Ben",2012,Sr,Tennessee Tech,-0.140
"Burke, Chris",2012,Jr,Cornell,0.056
"Burke, Chris",2013,Sr,Cornell,0.056
"Burkett, Scott",2012,So,Longwood,-0.024
"Burkett, Scott",2013,Jr,Longwood,-0.024
"Burkett, Scott",2014,Sr,Longwood,-0.024
"Burleson, Bryant",2012,Fr,Texas Tech,-0.022
"Burleson, Bryant",2013,So,Texas Tech,-0.022
"Burleson, Bryant",2014,Jr,Texas Tech,-0.022
"Burleson, Bryant",2015,Sr,Texas Tech,-0.022
"Burleson, Cory",2012,Sr,Nebraska,-0.024
"Burns, Bobby",2013,Jr,Morehead St.,-0.011
"Burns, Bobby",2014,Sr,Morehead St.,-0.011
"Burns, Cameron",2013,Fr,Tulane,-0.053
"Burns, Cameron",2014,So,Tulane,-0.053
"Burns, Cameron",2015,Jr,Tulane,-0.053
"Burridge, Alex",2012,Fr,Southeast Mo. St.,-0.004
"Burridge, Alex",2013,So,Southeast Mo. St.,-0.004
"Burridge, Alex",2014,Jr,Southeast Mo. St.,-0.004
"Burridge, Alex",2015,Sr,Southeast Mo. St.,-0.004
"Burt, Patrick",2015,Jr,Presbyterian,-0.049
"Bynum, Andrew",2013,Jr,Valparaiso,0.021
"Bynum, Andrew",2014,Sr,Valparaiso,0.021
"Cabral, Manny",2013,Jr,Texas Southern,-0.018
"Cabreja, Enmanuel",2012,So,Columbia,-0.031
"Cabreja, Enmanuel",2013,Jr,Columbia,-0.031
"Cafiero, Robbie",2013,Jr,Hofstra,0.032
"Cafiero, Robbie",2014,Sr,Hofstra,0.032
"Calabrese, Rob",2015,Fr,Ill.-Chicago,-0.024
"Caldari, Chris",2012,So,Quinnipiac,-0.048
"Caldari, Chris",2013,Jr,Quinnipiac,-0.048
"Calhoon, Jeff",2012,Jr,Niagara,0.074
"Calhoon, Jeff",2013,Sr,Niagara,0.074
"Calhoun, Tripp",2014,Jr,Troy,-0.051
"Calhoun, Tripp",2015,Sr,Troy,-0.051
"Callahan, Dan",2013,Fr,La Salle,0.015
"Callahan, Dan",2014,So,La Salle,0.015
"Callahan, Dan",2015,Jr,La Salle,0.015
"Camano, Dan",2012,Sr,Fordham,0.014
"Camberos, Steven",2013,Fr,San Francisco,0.027
"Camel, Jordan",2013,Jr,Stephen F. Austin,-0.032
"Camel, Jordan",2014,Sr,Stephen F. Austin,-0.032
"Campbell, Cameron",2012,Sr,Lamar,-0.043
"Campbell, Jacob",2013,Fr,Houston,0.118
"Campbell, Jacob",2014,So,Houston,0.118
"Campbell, Jacob",2015,Jr,Houston,0.118
"Campbell, Kody",2012,Sr,Southeast Mo. St.,0.023
"Campbell, Matt",2012,Sr,UNCW,-0.025
"Campos, Brandon",2015,Fr,Villanova,0.040
"Canela, Danny",2012,Jr,North Carolina St.,0.081
"Cannon, Chris",2012,Fr,Navy,-0.013
"Cannon, Chris",2013,So,Navy,-0.013
"Cannon, Chris",2014,Jr,Navy,-0.013
"Cannon, John",2012,Sr,Houston,0.015
"Cantu, Michael",2015,Fr,Texas,-0.036
"Cantwell, Pat",2012,Sr,Stony Brook,0.001
"Capitano, Nick",2015,Fr,Canisius,0.045
"Carballo, Jose",2013,Fr,Bethune-Cookman,0.027
"Carballo, Jose",2014,So,Bethune-Cookman,0.027
"Carballo, Jose",2015,Jr,Bethune-Cookman,0.027
"Carlile, Drew",2014,Jr,Bradley,0.033
"Carlile, Drew",2015,Sr,Bradley,0.033
"Carmichael, Derek",2012,Fr,Akron,0.018
"Carmichael, Derek",2013,So,Akron,0.018
"Carmichael, Derek",2014,So,Akron,0.018
"Carmichael, Derek",2015,Jr,Akron,0.018
"Carpenter, Charlie",2015,Fr,USC Upstate,-0.021
"Carstens, Mitch",2013,Fr,UNC Asheville,-0.001
"Carswell, Kevin",2013,Fr,New Mexico St.,0.049
"Carswell, Kevin",2014,So,New Mexico St.,0.049
"Carswell, Kevin",2015,Jr,New Mexico St.,0.049
"Carter, AC",2014,Jr,Georgetown,0.025
"Carter, AC",2015,Sr,Georgetown,0.025
"Case, Bryan",2014,Jr,Oklahoma St.,-0.016
"Case, Bryan",2015,Sr,Oklahoma St.,-0.016
"Casillas, Ryan",2013,Jr,Southern Ill.,0.002
"Casillas, Ryan",2014,Sr,Southern Ill.,0.002
"Cassidy, Kenneth",2013,Fr,Longwood,-0.044
"Castro, Eduardo",2015,Jr,Missouri St.,0.069
"Caton, Caleb",2012,Fr,Western Mich.,-0.087
"Caton, Caleb",2013,So,Western Mich.,-0.087
"Caton, Caleb",2014,Jr,Western Mich.,-0.087
"Caton, Caleb",2015,Sr,Western Mich.,-0.087
"Causey, Nathaniel",2012,Fr,Arizona St.,-0.032
"Causey, Nathaniel",2013,So,Arizona St.,-0.032
"Causey, Nathaniel",2014,Jr,Arizona St.,-0.032
"Cecil, Cameron",2012,So,Delaware St.,-0.013
"Cecil, Cameron",2013,Jr,Delaware St.,-0.013
"Cecil, Cameron",2014,Sr,Delaware St.,-0.013
"Cerbo, Zach",2014,Fr,Arizona St.,0.003
"Cerbo, Zach",2015,So,Arizona St.,0.003
"Chacon, Adrian",2014,Fr,North Carolina,0.118
"Chacon, Adrian",2015,So,North Carolina,0.118
"Chadwick, Tyler",2013,Fr,Coastal Caro.,0.046
"Chadwick, Tyler",2014,So,Coastal Caro.,0.046
"Champion, Garrett",2012,Sr,Hawaii,-0.003
"Chapman, Brandon",2015,Fr,George Washington,-0.006
"Chase, Shaun",2012,Fr,Oregon,0.097
"Chase, Shaun",2013,So,Oregon,0.097
"Chase, Shaun",2014,Jr,Oregon,0.097
"Chase, Shaun",2015,Sr,Oregon,0.097
"Chavez-Rusova, Pavel",2013,Fr,Niagara,0.040
"Chavez-Rusova, Pavel",2014,So,Niagara,0.040
"Cheray, Eric",2012,Fr,Missouri St.,-0.008
"Cheray, Eric",2013,So,Missouri St.,-0.008
"Cheray, Eric",2014,Jr,Missouri St.,-0.008
"Cheray, Eric",2015,Sr,Missouri St.,-0.008
"Chinea, Chris",2013,Fr,LSU,0.000
"Chinea, Chris",2014,So,LSU,0.000
"Chinea, Chris",2015,Jr,LSU,0.000
"Chinnery, Adrian",2014,Fr,Navy,0.127
"Chinnery, Adrian",2015,So,Navy,0.127
"Chung, Derrick",2012,Sr,Sacramento St.,0.005
"Cialone, John",2012,So,Villanova,-0.007
"Cialone, John",2013,Jr,Villanova,-0.007
"Cialone, John",2014,Sr,Villanova,-0.007
"Cieri, Nick",2014,Fr,Maryland,-0.029
"Cieri, Nick",2015,So,Maryland,-0.029
"Clark, Brandon",2012,Jr,Villanova,-0.015
"Clark, Brandon",2013,Sr,Villanova,-0.015
"Clark, Chad",2012,Fr,Indiana,0.033
"Clark, Chad",2013,So,Indiana,0.033
"Clark, Chad",2014,Jr,Indiana,0.033
"Clark, Clint",2012,Fr,Ga. Southern,0.006
"Clark, Cody",2012,Fr,Hawaii,-0.022
"Clark, Harry",2012,Jr,UAB,-0.112
"Clark, Harry",2013,Sr,UAB,-0.112
"Clark, Russell",2013,Fr,Cincinnati,0.000
"Clark, Russell",2014,So,Cincinnati,0.000
"Clark, Russell",2015,Jr,Cincinnati,0.000
"Clark, Ryan",2012,Sr,Penn St.,0.032
"Clary, Reid",2013,So,South Dakota St.,0.028
"Clary, Reid",2014,Jr,South Dakota St.,0.028
"Clary, Reid",2015,Sr,South Dakota St.,0.028
"Clayton, Chris",2015,Fr,Col. of Charleston,0.055
"Cleary, Jack",2012,Jr,Maryland,-0.013
"Cleary, Jack",2013,Sr,Maryland,-0.013
"Close, Alex",2012,Fr,Liberty,-0.001
"Close, Alex",2013,So,Liberty,-0.001
"Close, Alex",2014,Jr,Liberty,-0.001
"Close, Alex",2015,Sr,Liberty,-0.001
"Clow, Andrew",2012,Fr,Mt. St. Mary's,-0.005
"Clow, Andrew",2013,So,Mt. St. Mary's,-0.005
"Clow, Andrew",2014,Jr,Mt. St. Mary's,-0.005
"Clow, Andrew",2015,Sr,Mt. St. Mary's,-0.005
"Coale, Ryan",2015,Fr,VCU,0.015
"Coban, Jc",2012,Fr,Penn St.,-0.080
