year	division_id	school_id	uniform_number	player_id	player_name	player_url	class_year	position	g	gs	w	l	sv	cg	ip	h	r	er	b	k	k_g	hr	era
2014	1	lakelandcollege	3	joshmandalakes7xn3	Josh Mandalakes	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/joshmandalakes7xn3	So	RHP	6	4	1	2	0		18.0	38	28	23	8	7	3.50		11.50
2014	1	lakelandcollege	12	loganrippy2d4g	Logan Rippy	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/loganrippy2d4g	Fr	RHP	9	3	0	2	0		16.1	27	24	22	13	16	8.82	1	12.12
2014	1	lakelandcollege	2	iansnowdenv5r6	Ian Snowden	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/iansnowdenv5r6	So	RHP	6	4	1	2	0		16.0	23	29	17	21	8	4.50		9.56
2014	1	lakelandcollege	7	nickwilsonhkva	Nick Wilson	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/nickwilsonhkva	Fr	RHP	10	2	0	1	0		15.2	24	17	12	8	8	4.60		6.89
2014	1	lakelandcollege	28	luisvilchezvjg4	Luis Vilchez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/luisvilchezvjg4	So	RHP	7	1	1	1	2		11.1	14	14	11	3	8	6.35		8.74
2014	1	lakelandcollege	20	jakeangeloeow5	Jake Angelo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jakeangeloeow5	So	RHP	5	0	0	0	1		6.0	11	9	7	3	5	7.50		10.50
2014	1	lakelandcollege	1	jacobdailyz8v3	Jacob Daily	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jacobdailyz8v3	So	OF	1	0	0	1	0		3.0	3	1		1	3	9.00		0.00
2014	1	lakelandcollege	8	blakekauer86yy	Blake Kauer	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/blakekauer86yy	Fr	C	1	0	0	0	0		1.1	2	3	2	2	2	13.50		13.50
2014	1	lakelandcollege	10	tylerbushue8akt	Tyler Bushue	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/tylerbushue8akt	So	INF	1	0	0	0	0		1.0	4	3	3	1		.00		27.00
2014	1	lakelandcollege	24	alonsoruzal6x	Alonso Ruz	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/alonsoruzal6x	So	INF	1	0	0	1	0		1.0	2	3	1	4	1	9.00		9.00
2013	2	kankakeecommunitycollege	33	tylersabolw0xx	Tyler Sabol	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/tylersabolw0xx	So	RHP	6	0	5	0	0	2	32.2	35	19	15	7	9	2.48		4.13
2013	2	kankakeecommunitycollege	39	alexbullardvhxq	Alex Bullard	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/alexbullardvhxq	So	RHP	7	0	3	0	0		31.2	27	15	15	11	33	9.38		4.26
2013	2	kankakeecommunitycollege	45	jimmybrandtwv5j	Jimmy Brandt	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/jimmybrandtwv5j	Fr	LHP	5	0	4	0	0	2	30.1	29	11	9	7	20	5.93	1	2.67
2013	2	kankakeecommunitycollege	49	coriherbertw8no	Cori Herbert	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/coriherbertw8no	So	RHP	6	0	1	2	1	2	28.1	33	12	9	6	13	4.13		2.86
2013	2	kankakeecommunitycollege	47	lukejarvisl1zq	Luke Jarvis	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/lukejarvisl1zq	So	LHP	6	0	2	2	0	2	23.2	31	21	17	10	22	8.37		6.46
2013	2	kankakeecommunitycollege	3	kylepool01oi	Kyle Pool	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/kylepool01oi	So	RHP	7	0	3	1	0	2	23.1	28	22	19	4	18	6.94		7.33
2013	2	kankakeecommunitycollege	37	thomaswolgemuthir43	Thomas Wolgemuth	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/thomaswolgemuthir43	Fr	RHP	4	0	1	0	0		12.0	9	7	7	14	6	4.50		5.25
2013	2	kankakeecommunitycollege	35	henrygerritsonb80q	Henry Gerritson	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/henrygerritsonb80q	Fr	LHP	9	0	2	1	2		9.1	4	3	2	6	11	10.61		1.93
2013	2	kankakeecommunitycollege	44	adamslagerhggu	Adam Slager	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/adamslagerhggu	Fr	RHP	8	0	0	0	0		9.1	8	7	4	3	4	3.86		3.86
2013	2	kankakeecommunitycollege	41	scottrunyanj9pj	Scott Runyan	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/scottrunyanj9pj	Fr	RHP	4	0	0	0	0		7.0	10	9	6	4	3	3.86		7.71
2013	2	kankakeecommunitycollege	30	zachbarkdulltqd7	Zach Barkdull	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/zachbarkdulltqd7	So	C/1B	3	0	0	0	0		5.2	8	5	3	3	3	4.76		4.76
2013	1	asacollege	1	placidotorresv2fa	Placido Torres	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/placidotorresv2fa	So	Pitcher	5	5	4	1	0	4	35.0	22	5	2	11	61	15.69	1	0.51
2013	1	asacollege	35	jesusreyesljip	Jesus Reyes	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jesusreyesljip	Fr	Pitcher	6	5	2	3	0	1	31.2	24	17	15	17	42	11.94	1	4.26
2013	1	asacollege	25	miguelpentildeafht2	Miguel Peña	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/miguelpentildeafht2	Fr	Pitcher	5	4	4	0	1	3	30.0	22	7	5	3	20	6.00		1.50
2013	1	asacollege	30	carlostejedaef27	Carlos Tejeda	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/carlostejedaef27	So	Pitcher	4	4	1	3	0	2	23.2	19	12	9	7	20	7.61		3.42
2013	1	asacollege	36	michaelmelendezyj3o	Michael Melendez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/michaelmelendezyj3o	Fr	Pitcher	5	5	3	2	0	1	20.2	20	21	6	7	22	9.58		2.61
2013	1	asacollege	22	josephfernandez9um1	Joseph Fernandez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/josephfernandez9um1	So	Pitcher	5	2	1	0	0		12.2	11	7	2	2	6	4.26		1.42
2013	1	asacollege	3	ryancabrejat5l4	Ryan Cabreja	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/ryancabrejat5l4	So	Pitcher	5	1	0	0	1		11.0	19	20	11	5	6	4.91		9.00
2013	1	asacollege	31	emmanuelcastro0mnh	Emmanuel Castro	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/emmanuelcastro0mnh	Fr	Pitcher	5	0	1	0	0		10.1	8	5	1	3	9	7.84		0.87
2013	1	asacollege	55	josereynosovm4k	Jose Reynoso	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/josereynosovm4k	Fr	Pitcher	3	0	0	0	0		3.2	4	6	1	3	1	2.45		2.45
2013	1	asacollege	16	renebarrientosoj5m	Rene Barrientos	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/renebarrientosoj5m	Fr	Pitcher	2	0	0	0	0		2.0	3	3	2	1	2	9.00		9.00
2013	1	asacollege	32	rolmancandelariozbgj	Rolman Candelario	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/rolmancandelariozbgj	So	Pitcher	2	0	0	0	0		2.0	4	3	1		2	9.00	1	4.50
2013	1	asacollege	20	hendryrodriguez3bzh	Hendry Rodriguez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/hendryrodriguez3bzh	Fr	Pitcher	2	0	0	0	0		2.0	2				5	22.50		0.00
2013	1	asacollege	19	eduardohiraldodq7f	Eduardo Hiraldo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/eduardohiraldodq7f	So	Pitcher	1	0	0	0	0		0.0			1	1				INF
2013	3	brookhavencollege	15	dylanportergq3c	Dylan Porter	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/dylanportergq3c	Fr	P	9	6	5	2	0	1	54.2	57	23	14	22	48	7.90		2.30
2013	3	brookhavencollege	30	garrettharrisw9hb	Garrett Harris	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/garrettharrisw9hb	So	P	9	5	6	2	0	2	52.0	36	27	11	34	69	11.94	1	1.90
2013	3	brookhavencollege	36	brandonleeg53u	Brandon Lee	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/brandonleeg53u	So	RHP	9	5	4	1	0	4	50.0	32	27	12	20	47	8.46	0	2.16
2013	3	brookhavencollege	10	cassitylandvpbr	Cassity Land	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/cassitylandvpbr	So	RHP	11	1	3	1	1	1	24.2	18	14	10	12	24	8.76	0	3.65
2013	3	brookhavencollege	26	austinkufrovichu6ax	Austin Kufrovich	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/austinkufrovichu6ax	Fr	LHP	5	1	2	2	0	0	15.1	12	7	4	8	15	8.80	1	2.35
2013	3	brookhavencollege	21	carloscontrerashyup	Carlos Contreras	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/carloscontrerashyup	Fr	P/C/2B/SS	6	0	1	0	0	0	14.0	13	8	7	7	14	9.00	2	4.50
2013	3	brookhavencollege	18	ericschildtx367	Eric Schildt	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/ericschildtx367	Fr	RHP/OF	7	0	0	1	3		11.2	13	4		2	10	7.71		0.00
2013	3	brookhavencollege	20	codeyupton6vek	Codey Upton	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/codeyupton6vek	So	LHP/OF	4	1	1	0	1		9.0	4	1	1	1	11	11.00		1.00
2013	3	brookhavencollege	28	cameronbrockhoffnre0	Cameron Brockhoff	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/cameronbrockhoffnre0	Fr	RHP	4	0	1	0	0		5.2	8	4	1	4	6	9.53		1.59
2013	3	brookhavencollege	27	chrishansencj6p	Chris Hansen	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/chrishansencj6p	So	RHP	1	0	0	0	0		1.0				1	1	9.00		0.00
2013	3	brookhavencollege	23	coltonspearsmhn2	Colton Spears	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/coltonspearsmhn2	So	3B	2	0	0	0	0	0	1.0	0	0	0	0	1	9.00	0	0.00
2013	3	brookhavencollege	33	davisszantouvaw	Davis Szanto	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/davisszantouvaw	Fr	OF/P	2	0	0	0	0	0	1.0	2	4	4	2	1	9.00	0	36.00
2014	2	lakelandcommunitycollege	31	stevedorsey36wx	Steve Dorsey	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/stevedorsey36wx	So	RHP	5	5	3	1	0	4	29.1	28	17	12	13	31	9.51	1	3.68
2014	2	lakelandcommunitycollege	30	michaelbearkqj8	Michael Bear	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/michaelbearkqj8	Fr	RHP	5	4	3	0	0	4	27.0	24	11	8	3	22	7.33	1	2.67
2014	2	lakelandcommunitycollege	8	kyletuckert7oj	Kyle Tucker	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/kyletuckert7oj	Fr	RHP	5	4	0	2	0	2	18.1	19	11	2	8	14	6.87		0.98
2014	2	lakelandcommunitycollege	21	scottwoodd8rm	Scott Wood	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/scottwoodd8rm	Fr	LHP	4	3	0	2	0	1	17.0	25	20	15	15	8	4.24		7.94
2014	2	lakelandcommunitycollege	9	trevoradams0af6	Trevor Adams	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/trevoradams0af6	Fr	RHP	2	2	0	0	0		11.2	14	7	3	9	2	1.54		2.31
2014	2	lakelandcommunitycollege	19	wessiekrisuxb3	Wes Siekris	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/wessiekrisuxb3	Fr	RHP	5	1	1	1	1		11.0	23	20	14	7	7	5.73	2	11.45
2014	2	lakelandcommunitycollege	24	tylerchattinynkm	Tyler Chattin	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/tylerchattinynkm	Fr	RHP	5	0	0	2	0		9.1	6	10	4	10	2	1.93	1	3.86
2014	2	lakelandcommunitycollege	15	derekrosefibe	Derek Rose	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/derekrosefibe	So	LHP	3	2	1	0	0		7.1	8	10	6	4	8	9.82		7.36
2014	2	lakelandcommunitycollege	33	tannersmithc969	Tanner Smith	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/tannersmithc969	Fr	RHP	2	0	0	1	0		6.0	11	9	9	2		.00		13.50
2014	2	lakelandcommunitycollege	20	zachpopelydycy	Zach Popely	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/zachpopelydycy	So	3B/1B	2	0	0	0	0		2.0	2	1	1	3	1	4.50		4.50
2014	2	lakelandcommunitycollege	11	saygewoodhamj2z6	Sayge Woodham	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/saygewoodhamj2z6	Fr	OF	1	0	0	0	0		1.0				1	1	9.00		0.00
2013	1	threeriverscommunitycollegemo	11	kevenlong0dg3	Keven Long	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/kevenlong0dg3	Fr	RHP/UT	7	7	5	1	0	4	48.0	48	18	15	10	45	8.44		2.81
2013	1	threeriverscommunitycollegemo	14	dylanslaytonherp	Dylan Slayton	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/dylanslaytonherp	Fr	LHP	8	6	4	0	0	3	41.1	27	13	10	13	26	5.66	2	2.18
2013	1	threeriverscommunitycollegemo	21	mattulrichzegn	Matt Ulrich	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/mattulrichzegn	Fr	RHP	6	5	1	1	0		23.2	37	24	15	9	16	6.08	1	5.70
2013	1	threeriverscommunitycollegemo	9	coleboardmanif1d	Cole Boardman	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/coleboardmanif1d	Fr	OF/RHP	7	1	2	1	2		19.1	13	8	4	4	18	8.38	1	1.86
2013	1	threeriverscommunitycollegemo	13	jamiemiddleton0a58	Jamie Middleton	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jamiemiddleton0a58	So	RHP	9	0	1	2	0		16.2	21	16	11	14	10	5.40	1	5.94
2013	1	threeriverscommunitycollegemo	28	michaelgloverkrk6	Michael Glover	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/michaelgloverkrk6	Fr	RHP/UT	6	1	1	0	1	1	15.0	11	3	2	5	8	4.80		1.20
2013	1	threeriverscommunitycollegemo	30	chadtomlinson0ll5	Chad Tomlinson	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/chadtomlinson0ll5	Fr	RHP	4	3	0	2	0		13.0	10	15	7	12	4	2.77	1	4.85
2013	1	threeriverscommunitycollegemo	22	hermenilarrazahk7d	Hermen Ilarraza	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/hermenilarrazahk7d	So	RHP	4	3	1	2	0		12.0	16	17	7	10	8	6.00	2	5.25
2013	1	threeriverscommunitycollegemo	19	adampenningtonh68b	Adam Pennington	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/adampenningtonh68b	Fr	LHP	2	1	0	2	0	1	9.0	7	5	4	2	12	12.00		4.00
2013	1	threeriverscommunitycollegemo	12	stetsonadams9j7x	Stetson Adams	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/stetsonadams9j7x	Fr	INF	4	0	1	0	0		7.2	8	5	3	2	4	4.70	2	3.52
2013	1	threeriverscommunitycollegemo	16	spencerjoneseso7	Spencer Jones	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/spencerjoneseso7	Fr	LHP	1	0	0	0	0		1.1	3	1	1	3		.00		6.75
2013	2	kelloggcommunitycollege	10	tylerkirkland9xlr	Tyler Kirkland	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/tylerkirkland9xlr	So	RHP	5	0	2	1	0		15.2	15	12	9	11	5	2.87		5.17
2013	2	kelloggcommunitycollege	20	keithphillipsu9gu	Keith Phillips	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/keithphillipsu9gu	So	LHP/UTL	3	0	1	1	0		13.2	10	6	3	11	14	9.22		1.98
2013	2	kelloggcommunitycollege	30	benspieldenner8jf2	Ben Spieldenner	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/benspieldenner8jf2	So	UT/RHP	4	0	3	0	1		13.0	6	1		2	15	10.38		0.00
2013	2	kelloggcommunitycollege	6	haydenrobbins9fk8	Hayden Robbins	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/haydenrobbins9fk8	Fr	RHP	4	0	1	2	0		11.0	14	14	8	8	11	9.00		6.55
2013	2	kelloggcommunitycollege	21	kameronjoostbernskkfv	Kameron Joostberns	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/kameronjoostbernskkfv	So	RHP	4	0	0	0	0		10.2	12	6	5	8	3	2.53		4.22
2013	2	kelloggcommunitycollege	22	kylemallwitzr8fc	Kyle Mallwitz	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/kylemallwitzr8fc	Fr	RHP	5	0	1	1	1		10.1	9	8	8	5	8	6.97		6.97
2013	2	kelloggcommunitycollege	14	kylesmith2t07	Kyle Smith	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/kylesmith2t07	So	RHP	3	0	0	2	0		9.2	11	8	5	2	4	3.72		4.66
2013	2	kelloggcommunitycollege	27	tylerbradnerbb8i	Tyler Bradner	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/tylerbradnerbb8i	Fr	P/UTL	4	0	0	0	1		7.1	18	7	5	6	7	8.59		6.14
2013	2	kelloggcommunitycollege	13	scottsnowqn2n	Scott Snow	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/scottsnowqn2n	Fr	RHP	4	0	0	0	0		6.2	7	7	5	3	2	2.70		6.75
2013	2	kelloggcommunitycollege	15	calebfreinpkpg	Caleb Frein	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/calebfreinpkpg	Fr	LHP	4	0	0	0	0		6.0	8	10	5	6	4	6.00		7.50
2013	2	kelloggcommunitycollege	29	loganholwerda2vho	Logan Holwerda	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/loganholwerda2vho	Fr	INF/C	3	0	0	1	0		5.2	10	14	10			.00		15.88
2013	2	kelloggcommunitycollege	23	mattbloomberg9hsw	Matt Bloomberg	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/mattbloomberg9hsw	Fr	LHP	3	0	0	1	0		4.2	5	7	6	8	6	11.57		11.57
2013	2	kelloggcommunitycollege	24	aarondehn93v6	Aaron Dehn	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/aarondehn93v6	Fr	RHP	2	0	0	1	1		4.0	3	3	1	1	2	4.50		2.25
2013	2	kelloggcommunitycollege	34	steveremesnikvcvr	Steve Remesnik	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/steveremesnikvcvr	So	LHP/1B	2	0	0	0	0		2.2	6	3	3	1	2	6.75		10.12
2013	2	kelloggcommunitycollege	28	joelledfordku2u	Joel Ledford	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/joelledfordku2u	Fr	OF	1	0	0	0	0		1.0						.00		0.00
2013	1	kishwaukeecollege	15	jermeykarasewskiuumn	Jermey Karasewski	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jermeykarasewskiuumn	So	P	6	5	1	3	0	3	30.0	33	18	15	12	15	4.50		4.50
2013	1	kishwaukeecollege	13	kylelawsonqa0f	Kyle Lawson	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/kylelawsonqa0f	So	P	5	2	0	3	0		18.2	26	23	16	15	9	4.34	1	7.71
2013	1	kishwaukeecollege	36	coreynelsonwxfw	Corey Nelson	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/coreynelsonwxfw	Fr	P	7	2	1	1	0		14.1	26	22	17	9	14	8.79		10.67
2013	1	kishwaukeecollege	5	craigcleaverrs8c	Craig Cleaver	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/craigcleaverrs8c	Fr	P	4	2	0	0	0		13.2	15	11	8	8	12	7.90		5.27
2013	1	kishwaukeecollege	14	isaacpinat8i0	Isaac Pina	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/isaacpinat8i0	Fr	SS	4	3	0	1	0		11.2	22	25	16	6	14	10.80		12.34
2013	1	kishwaukeecollege	12	josevillarpunf	Jose Villar	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/josevillarpunf	So	P	4	2	1	1	0		11.2	14	13	12	7	2	1.54	1	9.26
2013	1	kishwaukeecollege	22	devonbranch4ytv	Devon Branch	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/devonbranch4ytv	Fr	P	4	1	0	0	0		10.2	27	17	13	4	5	4.22		10.97
2013	1	kishwaukeecollege	17	codyvargauw42	Cody Varga	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/codyvargauw42	So	P	4	2	0	1	0		10.0	9	11	9	8	2	1.80		8.10
2013	1	kishwaukeecollege	29	miketrefilg2u9	Mike Trefil	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/miketrefilg2u9	So	OF	3	1	0	0	0	1	8.2	2	2	2	6	4	4.15		2.08
2013	1	kishwaukeecollege	10	coreydemoszuuz	Corey Demos	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/coreydemoszuuz	Fr	P	2	0	0	0	0		5.1	11	9	3	2	3	5.06		5.06
2013	1	kishwaukeecollege	2	joedragesk3l	Joe Drage	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/joedragesk3l	So	OF	1	0	0	0	0		2.0	2	4	2	3		.00		9.00
2013	1	kishwaukeecollege	34	jeremymccartynah9	Jeremy McCarty	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jeremymccartynah9	Fr	OF	1	1	0	0	0		2.0	2	2		3	5	22.50		0.00
2013	1	kishwaukeecollege	23	justensmithrk7t	Justen Smith	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/justensmithrk7t	Fr	P	3	1	0	0	0		1.2	5	8	6	6	0	.00	1	32.40
2014	1	alvincommunitycollege	16	brysonmitchell0erc	bryson mitchell	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/brysonmitchell0erc	So	rhp	6	3	4	1	0	4	39.0	30	4	2	5	18	4.15		0.46
2014	1	alvincommunitycollege	15	nickhernandez7wku	nick hernandez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/nickhernandez7wku	Fr	p	6	3	4	0	0	1	35.1	30	6	4	7	29	7.39		1.02
2014	1	alvincommunitycollege	20	armandoarevalo4bp7	armando arevalo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/armandoarevalo4bp7	So	p	7	3	2	1	0		33.0	36	26	17	12	22	6.00	1	4.64
2014	1	alvincommunitycollege	14	bryanbelotexooa	bryan belote	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/bryanbelotexooa	So	p	5	2	2	1	0	1	29.0	25	19	9	8	19	5.90	2	2.79
2014	1	alvincommunitycollege	4	rickyramirezyfct	ricky ramirez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/rickyramirezyfct	So	of/lhp	4	0	2	0	0		16.0	9	1	1	3	20	11.25		0.56
