year	division_id	school_id	school_name	school_url
2013	1	lakesumtercommunitycollege	Lake Sumter Community College	http://stats.njcaa.org/sports/bsb/teams/lakesumtercommunitycollege?view=lineup
2013	1	lamarcommunitycollege	Lamar Community College	http://stats.njcaa.org/sports/bsb/teams/lamarcommunitycollege?view=lineup
2013	1	laredocommunitycollege	Laredo Community College	http://stats.njcaa.org/sports/bsb/teams/laredocommunitycollege?view=lineup
2013	1	lawsonstatecommunitycollege	Lawson State Community College	http://stats.njcaa.org/sports/bsb/teams/lawsonstatecommunitycollege?view=lineup
2013	1	lincolntrailcollege	Lincoln Trail College	http://stats.njcaa.org/sports/bsb/teams/lincolntrailcollege?view=lineup
2013	1	lonmorriscollege	Lon Morris College	http://stats.njcaa.org/sports/bsb/teams/lonmorriscollege?view=lineup
2013	1	louisburgcollege	Louisburg College	http://stats.njcaa.org/sports/bsb/teams/louisburgcollege?view=lineup
2013	1	lunacommunitycollege	Luna Community College	http://stats.njcaa.org/sports/bsb/teams/lunacommunitycollege?view=lineup
2013	1	lurleenbwallacecommunitycollege	Lurleen B. Wallace Community College	http://stats.njcaa.org/sports/bsb/teams/lurleenbwallacecommunitycollege?view=lineup
2013	1	mccmaplewoods	MCC-Maple Woods	http://stats.njcaa.org/sports/bsb/teams/mccmaplewoods?view=lineup
2013	1	marionmilitaryinstitute	Marion Military Institute	http://stats.njcaa.org/sports/bsb/teams/marionmilitaryinstitute?view=lineup
2013	1	marshalltowncommunitycollege	Marshalltown Community College	http://stats.njcaa.org/sports/bsb/teams/marshalltowncommunitycollege?view=lineup
2013	1	mccookcommunitycollege	McCook Community College	http://stats.njcaa.org/sports/bsb/teams/mccookcommunitycollege?view=lineup
2013	1	mclennancommunitycollege	McLennan Community College	http://stats.njcaa.org/sports/bsb/teams/mclennancommunitycollege?view=lineup
2013	1	meridiancommunitycollege	Meridian Community College	http://stats.njcaa.org/sports/bsb/teams/meridiancommunitycollege?view=lineup
2013	1	miamidadecollege	Miami Dade College	http://stats.njcaa.org/sports/bsb/teams/miamidadecollege?view=lineup
2013	1	middlegeorgiacollege	Middle Georgia College	http://stats.njcaa.org/sports/bsb/teams/middlegeorgiacollege?view=lineup
2013	1	midlandcollege	Midland College	http://stats.njcaa.org/sports/bsb/teams/midlandcollege?view=lineup
2013	1	mineralareacollege	Mineral Area College	http://stats.njcaa.org/sports/bsb/teams/mineralareacollege?view=lineup
2013	1	monroecollege	Monroe College	http://stats.njcaa.org/sports/bsb/teams/monroecollege?view=lineup
2013	1	monroecommunitycollege	Monroe Community College	http://stats.njcaa.org/sports/bsb/teams/monroecommunitycollege?view=lineup
2013	1	motlowstatecommunitycollege	Motlow State Community College	http://stats.njcaa.org/sports/bsb/teams/motlowstatecommunitycollege?view=lineup
2013	1	muscatinecommunitycollege	Muscatine Community College	http://stats.njcaa.org/sports/bsb/teams/muscatinecommunitycollege?view=lineup
2013	1	navarrocollege	Navarro College	http://stats.njcaa.org/sports/bsb/teams/navarrocollege?view=lineup
2013	1	neoshocountycommunitycollege	Neosho County Community College	http://stats.njcaa.org/sports/bsb/teams/neoshocountycommunitycollege?view=lineup
2013	1	newmexicojuniorcollege	New Mexico Junior College	http://stats.njcaa.org/sports/bsb/teams/newmexicojuniorcollege?view=lineup
2013	1	newmexicomilitaryinstitute	New Mexico Military Institute	http://stats.njcaa.org/sports/bsb/teams/newmexicomilitaryinstitute?view=lineup
2013	1	northcentralmissouricollege	North Central Missouri College	http://stats.njcaa.org/sports/bsb/teams/northcentralmissouricollege?view=lineup
2013	1	northcentraltexascollege	North Central Texas College	http://stats.njcaa.org/sports/bsb/teams/northcentraltexascollege?view=lineup
2013	1	northeasttexascommunitycollege	Northeast Texas Community College	http://stats.njcaa.org/sports/bsb/teams/northeasttexascommunitycollege?view=lineup
